	GTEX.11GSP.0726.SM.5986L	GTEX.111VG.0726.SM.5GIDC	TCGA.56.8082.11A.01R.2247.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.KK.A8IG.01A.11R.A36G.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.HC.7737.01A.11R.2118.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.KC.A4BR.01A.32R.A32Y.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.VP.A87E.01A.31R.A352.07	TCGA.J9.A52C.01A.11R.A26U.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9O7.01A.21R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EL.A3CO.01A.11R.A19O.07	TCGA.AJ.A3NE.11A.11R.A22K.07
SLC20A1	1044.52	1242.34	1628.26	236.21	343.89	158.79	277.2	205.5	389.72	414.87	181.28	218.79	267.73	441.64	170.25	198.47	307.69	507.46	305.55	166.73	460.44	353.59	145.02	147.06	603.67	343.89	218.79	246.28	212.78	329.84	441.64	209.84	229.72	559.28	166.73	353.59	312.0	271.48	307.69	392.44	209.84	260.38	389.72	206.94	279.14	234.57	277.2	299.25	204.07	201.25	343.89	283.05	173.85	389.72	309.83	185.11	199.85	157.68	277.2	486.75	291.04	236.21	169.07	967.76	1008.9
SLC25A25	2400.97	2451.44	2367.9	323.03	305.55	336.79	493.56	251.48	1896.65	490.14	379.04	518.15	624.99	583.07	368.65	373.81	318.57	1295.13	764.36	309.83	1225.22	1051.79	279.14	314.17	1896.65	954.43	381.68	293.07	373.81	1963.57	825.0	309.83	260.38	1467.37	450.94	599.49	466.88	392.44	463.65	1015.93	303.44	279.14	896.64	432.53	269.6	351.14	239.52	224.97	406.31	299.25	423.61	518.15	246.28	693.58	325.29	299.25	237.86	246.28	444.72	1909.85	1023.0	303.44	249.73	1151.06	2032.85
SLCO4A1	532.74	633.73	5006.93	37.32	41.52	21.63	23.42	90.77	61.68	93.35	22.59	47.17	29.27	134.3	44.57	9.13	108.14	64.34	135.24	23.59	119.26	65.72	21.16	16.63	297.17	29.48	28.86	45.85	31.22	152.28	269.6	38.67	22.26	166.73	28.86	70.51	21.32	39.22	66.65	46.5	29.7	6.46	39.5	19.53	33.06	40.64	23.25	16.88	28.04	17.38	77.79	13.72	57.08	55.89	13.52	60.39	43.63	6.67	26.28	77.79	52.82	20.86	16.63	226.54	825.0
SNAI1	651.58	314.17	599.49	39.5	41.22	2.53	10.55	29.06	81.71	103.69	27.25	130.6	55.1	141.02	22.75	10.63	94.67	189.02	33.78	31.0	218.79	140.04	24.11	22.75	293.07	108.9	14.45	22.92	25.17	197.09	173.85	28.86	22.1	176.29	12.45	100.13	29.7	111.99	34.75	95.34	11.21	3.96	237.86	25.54	18.97	21.94	15.8	9.06	19.11	50.98	96.68	54.33	40.64	198.47	30.34	4.03	8.51	11.13	37.32	115.97	76.17	50.27	36.79	624.99	457.25
SOCS1	368.65	191.67	579.04	50.27	52.45	7.4	21.16	67.12	79.45	466.88	106.63	193.01	74.58	84.04	22.59	46.84	94.67	64.8	87.65	27.25	141.02	56.68	48.87	46.5	195.72	314.17	31.22	19.82	62.56	199.85	198.47	76.17	81.14	161.02	33.3	87.03	38.67	74.58	164.42	249.73	11.55	12.09	98.73	31.45	48.18	47.5	35.5	36.27	50.63	47.5	351.14	77.79	152.28	102.25	66.18	14.24	46.84	13.93	55.89	167.9	56.68	78.34	63.45	157.68	275.28
SOCS3	12244.81	9540.5	19082.0	115.16	1540.37	20.41	242.88	764.36	4802.93	1991.0	1498.22	4123.49	915.51	2485.67	149.12	155.5	1199.98	5711.87	2720.15	260.38	2997.45	2664.15	376.41	299.25	7749.1	4038.61	29.06	73.54	679.29	7537.18	4328.55	503.95	229.72	5366.37	75.64	2193.99	166.73	954.43	1457.23	5255.91	58.3	34.02	4903.87	220.32	43.02	223.41	171.45	78.34	303.44	483.38	1594.73	1733.13	1407.55	2935.74	656.11	42.11	80.01	108.9	872.1	9876.98	4450.27	995.0	332.14	10296.45	8305.36
SOX17	138.1	150.17	289.02	20.41	43.02	9.85	10.08	18.97	217.27	31.0	70.51	56.68	28.45	176.29	32.59	22.59	79.45	135.24	151.22	13.93	163.28	165.57	33.06	73.03	551.56	73.54	19.39	8.51	58.3	466.88	106.63	32.59	17.38	387.02	23.93	58.3	28.24	91.41	104.42	102.97	19.25	7.82	133.36	26.67	22.92	19.11	13.72	10.39	44.57	33.3	54.33	48.18	104.42	85.82	43.63	8.65	16.88	17.0	39.22	264.03	82.29	119.26	21.16	346.29	1487.87
SPHK1	3372.43	1977.24	1794.29	34.02	81.14	38.4	27.05	108.9	104.42	395.18	82.29	85.82	64.8	131.51	47.84	36.27	198.47	111.21	63.0	33.06	108.9	117.6	33.3	26.86	665.29	56.68	41.52	39.79	28.24	214.27	392.44	95.34	53.95	236.21	54.33	177.53	67.59	176.29	68.55	75.11	17.51	16.88	90.14	37.05	64.34	63.0	96.68	53.57	23.59	47.84	180.02	78.89	50.98	85.22	84.04	57.08	105.15	67.12	120.94	256.78	127.89	90.77	58.71	679.29	813.63
SRF	2367.9	2434.5	1359.57	366.09	764.36	264.03	457.25	698.41	1295.13	848.22	981.29	1096.5	1008.9	954.43	642.59	536.45	954.43	1388.16	1051.79	759.08	1936.53	1583.71	373.81	457.25	1963.57	1167.14	417.77	511.0	748.61	1519.15	1457.23	703.28	620.67	1685.71	483.38	941.27	703.28	656.11	830.75	1104.13	363.56	291.04	1159.07	525.39	567.1	466.88	633.73	441.64	723.08	414.87	808.0	665.29	669.92	1037.29	525.39	493.56	447.82	486.75	1135.2	1447.15	1870.53	974.5	708.18	1697.45	1832.01
SRGN	21026.65	23009.42	16269.83	579.04	854.13	186.4	162.14	713.11	1417.35	1225.22	1008.9	1183.45	890.44	2468.49	518.15	460.44	1709.26	2384.37	1583.71	559.28	4512.4	1081.39	529.06	647.07	2701.35	1111.82	551.56	332.14	1628.26	3874.05	4095.0	830.75	444.72	3639.7	406.31	1216.75	759.08	1870.53	2004.85	2384.37	262.2	476.71	2193.99	412.0	457.25	348.71	389.72	258.57	759.08	441.64	1583.71	559.28	961.07	1359.57	486.75	193.01	299.25	384.34	616.37	1909.85	1498.22	1304.15	902.89	6840.04	3982.99
STC1	329.84	209.84	514.56	47.84	73.03	17.77	76.71	48.18	314.17	336.79	30.34	301.33	159.9	693.58	84.04	36.01	309.83	303.44	974.5	105.15	1583.71	323.03	43.63	46.84	346.29	88.26	78.89	38.4	258.57	303.44	486.75	18.84	8.58	480.04	25.17	132.44	139.07	353.59	305.55	361.04	54.33	153.34	103.69	131.51	37.05	21.16	7.17	13.42	154.42	72.01	249.73	163.28	67.59	224.97	84.63	27.25	11.13	18.84	64.34	209.84	242.88	79.45	36.01	2739.08	802.41
STOM	15075.35	19482.97	13215.02	490.14	1295.13	153.34	198.47	1277.29	2047.0	2701.35	1008.9	1259.69	1066.48	1950.0	743.43	376.41	2400.97	3716.2	988.12	718.08	2720.15	1286.18	529.06	665.29	5112.16	921.88	679.29	470.14	1427.22	2178.83	3515.68	743.43	830.75	2758.13	633.73	1583.71	1295.13	1594.73	1487.87	1806.78	221.86	376.41	2255.7	638.15	728.11	470.14	473.41	314.17	878.17	743.43	1242.34	607.87	947.83	1721.16	743.43	285.03	454.09	753.83	1674.06	3443.31	3614.55	1572.76	1427.22	4543.8	6887.62
STX11	1397.83	2303.12	1685.71	2.73	15.34	1.85	2.34	7.82	34.26	31.67	18.97	25.72	15.34	59.97	6.62	7.28	31.9	46.18	28.24	6.62	71.5	32.13	9.93	6.78	73.03	47.84	13.03	8.92	16.03	85.22	52.45	14.67	15.68	57.49	7.22	43.02	12.64	41.52	31.22	63.0	5.36	5.19	63.45	11.04	9.63	4.24	7.17	3.72	10.24	8.51	33.78	13.12	12.09	28.86	9.85	4.98	5.63	9.7	7.06	48.87	23.25	11.04	8.99	228.13	129.69
THBD	11992.79	1417.35	3325.99	78.34	132.44	14.78	49.21	115.97	358.54	180.02	114.36	307.69	127.89	587.13	68.55	38.12	145.02	483.38	351.14	102.25	483.38	395.18	69.52	61.25	1378.57	258.57	24.28	37.05	148.09	836.53	368.65	42.71	48.87	825.0	46.18	295.11	204.07	376.41	159.9	457.25	32.13	48.18	406.31	105.15	35.0	51.71	43.63	21.01	88.26	129.69	206.94	167.9	113.56	332.14	117.6	18.84	32.13	36.27	78.34	373.81	426.57	150.17	88.88	2400.97	1286.18
THBS1	20170.07	13215.02	19214.73	71.5	579.04	94.01	131.51	318.57	3124.78	3847.29	698.41	2400.97	2627.46	1883.54	234.57	275.28	872.1	9344.14	1561.89	251.48	5479.15	2573.36	217.27	154.42	8901.53	848.22	176.29	149.12	1628.26	5076.84	2720.15	351.14	511.0	4607.24	116.78	2287.2	733.19	1369.04	2417.67	4481.23	248.0	466.88	4543.8	212.78	201.25	289.02	166.73	255.0	848.22	224.97	3081.75	1127.35	500.46	1407.55	400.71	189.02	301.33	318.57	395.18	2193.99	1709.26	409.15	299.25	7331.05	18689.27
TNFAIP6	486.75	1096.5	1594.73	4.03	10.96	1.66	6.41	7.63	6.94	23.25	4.43	14.45	12.36	81.14	7.4	1.97	20.41	31.67	33.78	1.58	17.64	57.89	4.24	1.99	83.45	9.06	2.78	4.24	5.82	75.64	53.19	4.54	3.89	69.52	5.36	16.15	7.17	18.29	11.47	14.14	2.56	0.0	35.0	9.85	5.77	2.71	4.98	0.0	4.39	8.78	13.83	7.28	4.82	18.16	4.21	3.08	2.1	2.27	2.73	13.32	11.82	12.83	5.36	108.9	87.65
TNFRSF12A	21468.49	8538.88	8363.13	624.99	239.52	215.77	819.3	450.94	1769.57	2720.15	447.82	1697.45	684.02	1529.73	341.51	148.09	1268.46	2061.24	1135.2	214.27	2271.4	1721.16	249.73	150.17	5076.84	389.72	93.35	166.73	301.33	1388.16	4607.24	341.51	163.28	1651.0	244.57	1427.22	183.82	2104.58	1044.52	466.88	73.54	136.19	1023.0	173.85	71.5	447.82	121.79	109.66	255.0	214.27	2047.0	1015.93	660.68	616.37	447.82	175.07	109.66	101.54	293.07	1286.18	1508.65	521.76	332.14	7485.11	8191.0
TNFRSF1A	7695.57	6121.9	6887.62	1437.15	1709.26	967.76	1286.18	2224.63	1685.71	4575.41	1572.76	2193.99	1295.13	2004.85	2018.8	1175.27	2555.58	3614.55	1963.57	1519.15	2367.9	1909.85	1447.15	1340.84	3467.27	1066.48	1199.98	1119.56	1617.0	2468.49	3235.01	1745.2	1508.65	2255.7	1896.65	1769.57	1427.22	1551.09	1407.55	1950.0	1225.22	769.69	2485.67	1225.22	1378.57	1674.06	1167.14	1066.48	1477.58	1242.34	3467.27	1757.34	1286.18	2485.67	1639.59	1477.58	1044.52	1674.06	2468.49	2224.63	3515.68	2104.58	2090.03	5479.15	5791.62
TNFRSF1B	1923.14	2075.59	1883.54	138.1	162.14	35.76	26.28	92.7	178.77	212.78	232.94	181.28	180.02	332.14	99.43	125.24	447.82	303.44	132.44	111.21	444.72	169.07	105.15	84.63	414.87	211.31	127.0	109.66	175.07	563.18	432.53	241.19	147.06	457.25	136.19	346.29	139.07	199.85	211.31	316.37	55.49	56.28	361.04	129.69	99.43	78.34	70.01	52.82	126.12	86.43	212.78	111.99	98.73	269.6	140.04	52.08	77.25	75.64	82.87	325.29	180.02	177.53	135.24	896.64	684.02
TRIM47	2502.97	1844.76	1991.0	262.2	381.68	81.71	234.57	271.48	547.75	890.44	291.04	447.82	228.13	381.68	343.89	102.25	616.37	463.65	180.02	297.17	356.05	341.51	314.17	205.5	854.13	336.79	177.53	295.11	215.77	447.82	1066.48	356.05	260.38	480.04	323.03	854.13	297.17	480.04	264.03	361.04	165.57	181.28	532.74	173.85	214.27	291.04	269.6	314.17	293.07	353.59	896.64	305.55	414.87	575.03	473.41	206.94	178.77	165.57	297.17	503.95	813.63	441.64	351.14	1322.37	1844.76
TSC22D2	2240.11	1477.58	1407.55	180.02	202.66	171.45	228.13	246.28	603.67	336.79	215.77	493.56	339.14	397.93	190.34	169.07	287.01	738.29	356.05	248.0	583.07	348.71	195.72	209.84	848.22	329.84	209.84	183.82	392.44	486.75	460.44	164.42	205.5	651.58	186.4	327.56	229.72	251.48	361.04	403.5	269.6	279.14	551.56	323.03	218.79	232.94	180.02	251.48	339.14	325.29	356.05	289.02	209.84	283.05	376.41	164.42	209.84	189.02	244.57	429.54	521.76	220.32	273.37	1044.52	669.92
UPP1	3639.7	1870.53	3847.29	146.03	166.73	36.53	59.55	155.5	299.25	348.71	109.66	279.14	134.3	728.11	106.63	59.97	511.0	237.86	361.04	100.83	684.02	336.79	72.01	108.14	954.43	208.38	112.77	105.89	65.26	466.88	967.76	198.47	126.12	878.17	236.21	277.2	264.03	426.57	251.48	305.55	49.91	91.41	201.25	129.69	136.19	151.22	79.45	87.03	119.26	134.3	253.23	264.03	148.09	244.57	120.1	71.0	108.9	92.7	169.07	376.41	346.29	232.94	165.57	2090.03	1295.13
VCAM1	884.29	1883.54	2075.59	43.32	118.43	13.62	24.99	41.81	91.41	295.11	110.43	176.29	129.69	713.11	46.5	75.11	209.84	346.29	211.31	33.06	229.72	236.21	60.82	32.36	397.93	135.24	39.22	59.13	239.52	381.68	299.25	46.5	87.65	334.46	41.22	332.14	65.72	256.78	231.32	149.12	14.89	21.47	194.36	57.08	31.67	28.24	36.27	26.1	65.72	48.52	95.34	94.01	40.93	180.02	80.57	13.83	25.35	53.19	36.01	212.78	414.87	91.41	56.28	551.56	2796.65
VMP1	7230.1	6381.92	3982.99	2796.65	2367.9	2520.38	3665.02	2609.3	10808.41	8191.0	3395.89	3124.78	4066.71	2720.15	2061.24	2193.99	3794.3	6561.36	6294.04	1870.53	5711.87	4736.79	2271.4	3716.2	8078.22	5872.48	2319.15	2609.3	2271.4	7537.18	5403.7	1806.78	3168.41	9279.58	1991.0	4769.75	3257.52	3419.52	5255.91	3372.43	2777.33	2796.65	5594.3	2520.38	2664.15	2976.74	3103.19	2468.49	2720.15	2739.08	2796.65	3690.52	1819.35	2915.45	3901.01	1806.78	3146.52	1963.57	2816.11	13123.73	1870.53	3212.66	2133.97	5255.91	4181.07
YWHAH	5555.65	6079.61	3515.68	1001.93	1519.15	981.29	769.69	1151.06	1757.34	2956.17	1250.98	2193.99	1159.07	1781.89	988.12	775.05	1745.2	2335.28	1745.2	1059.11	1977.24	1991.0	1340.84	813.63	2739.08	1883.54	769.69	961.07	1617.0	2075.59	2485.67	1242.34	909.17	1896.65	642.59	1529.73	1605.83	2018.8	1806.78	1709.26	571.05	1936.53	2351.53	1143.1	854.13	848.22	791.35	665.29	1407.55	1119.56	2287.2	1143.1	1572.76	2004.85	1159.07	947.83	738.29	967.76	1167.14	1594.73	1896.65	1487.87	1427.22	3491.39	2915.45
ZNF460	131.51	68.55	60.39	5.11	23.08	6.52	21.47	15.11	121.79	37.32	28.65	40.36	19.68	29.06	16.27	28.45	13.72	115.97	112.77	15.11	88.88	40.64	14.35	12.36	140.04	42.11	15.45	16.27	21.01	83.45	21.01	5.59	18.43	57.49	10.96	19.11	11.38	18.7	32.13	43.94	9.13	7.94	60.39	20.86	18.97	13.32	18.7	8.65	25.54	15.8	30.56	31.0	16.63	35.0	16.15	29.91	8.58	25.72	27.05	68.07	67.12	25.91	25.17	37.85	64.34
