	TCGA.G4.6321.01A.11R.1723.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.131YS.2926.SM.5EGKI	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.111VG.2226.SM.5N9DU	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.145MO.2626.SM.5QGPD	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.Z93S.2426.SM.5HL8N	GTEX.WQUQ.2526.SM.4MVNO	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.XBEW.1926.SM.4SOJO	GTEX.UPIC.1726.SM.4IHKG	GTEX.XQ8I.2126.SM.4BOOM	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.13FHP.2426.SM.5KLZ5	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.1122O.1526.SM.5N9CL	GTEX.W5WG.2426.SM.4LMI6	GTEX.Y8E4.2426.SM.4WWDN	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZTSS.1126.SM.5985O	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.ZAB4.2226.SM.5HL97	GTEX.Q2AH.1226.SM.48TZL	GTEX.13VXT.2426.SM.5LU46	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.11DYG.1926.SM.5H12I	TCGA.AG.3732.11A.01R.1660.07
PCDHGC5	1.81	11.38	73.03	1.73	4.86	5.92	2.66	0.82	1.13	1.03	3.63	3.53	4.31	20.11	5.68	13.72	2.39	2.29	11.04	9.63	2.71	2.43	3.76	15.68	3.11	4.86	12.18	4.5	4.1	5.15	1.25	0.82	6.84	7.0	8.38	0.65	6.89	1.62	5.54	0.77	6.36	1.23	1.87	0.6	1.46	8.32	2.03	3.38	2.1	10.47	3.63	4.06	5.36	2.14	3.5	3.23	0.91	2.01	2.12	18.7	1.16	4.13	1.93	2.43	7.4	1.69	3.0	2.36	4.13	7.75	2.14	3.17	7.57	1.27	1.85	4.28	1.81	3.0	1.58	3.38	4.43	0.4	4.98	5.45	2.27	5.59	10.96	7.11	7.63	9.48	0.48	8.32	1.91	0.0	53.95	19.53
PCID2	346.29	743.43	748.61	547.75	368.65	698.41	389.72	432.53	460.44	529.06	607.87	454.09	567.1	738.29	473.41	555.41	457.25	305.55	563.18	698.41	409.15	426.57	351.14	884.29	466.88	536.45	733.19	860.08	392.44	638.15	271.48	403.5	460.44	703.28	629.35	366.09	543.96	432.53	409.15	412.0	444.72	521.76	358.54	486.75	497.0	575.03	414.87	583.07	400.71	551.56	785.88	490.14	713.11	521.76	555.41	432.53	429.54	255.0	379.04	785.88	493.56	532.74	325.29	435.55	713.11	376.41	441.64	460.44	409.15	669.92	307.69	438.59	693.58	356.05	466.88	514.56	303.44	470.14	414.87	748.61	571.05	470.14	543.96	612.11	483.38	616.37	830.75	854.13	684.02	780.44	476.71	825.0	521.76	325.29	902.89	878.17
PDZD4	7.34	293.07	1639.59	47.5	55.1	172.65	68.07	43.02	47.5	48.52	139.07	85.22	84.63	511.0	98.04	129.69	89.51	24.81	170.25	361.04	19.25	40.36	46.84	403.5	42.11	144.01	392.44	314.17	44.89	204.07	30.78	32.13	141.02	283.05	241.19	31.9	343.89	30.34	102.25	29.06	38.95	75.11	19.68	70.51	51.35	154.42	30.12	83.45	46.84	348.71	117.6	61.68	136.19	52.82	77.25	28.24	38.4	21.63	13.83	525.39	51.35	76.71	25.35	44.89	221.86	18.16	40.36	67.12	72.01	161.02	39.22	35.5	157.68	29.27	41.81	137.14	26.67	41.52	30.78	197.09	147.06	31.67	94.67	134.3	93.35	153.34	473.41	154.42	190.34	409.15	29.27	231.32	43.02	21.32	708.18	669.92
PHF10	457.25	981.29	1233.75	656.11	507.46	796.86	599.49	511.0	559.28	660.68	819.3	486.75	780.44	1008.9	603.67	647.07	624.99	543.96	698.41	981.29	490.14	738.29	473.41	1216.75	679.29	629.35	1030.12	1111.82	599.49	587.13	376.41	571.05	551.56	928.3	1051.79	543.96	825.0	529.06	624.99	521.76	583.07	612.11	429.54	633.73	571.05	733.19	511.0	830.75	540.19	808.0	728.11	555.41	825.0	723.08	679.29	656.11	454.09	547.75	511.0	1111.82	551.56	647.07	441.64	563.18	884.29	612.11	603.67	599.49	583.07	884.29	387.02	616.37	819.3	497.0	595.34	728.11	493.56	693.58	525.39	1066.48	866.07	642.59	718.08	753.83	571.05	860.08	1159.07	981.29	915.51	941.27	674.59	1001.93	733.19	409.15	1216.75	1781.89
PHGR1	783730.52	75280.1	819.3	472513.8	269512.87	180294.02	386469.83	313910.86	492579.5	329517.51	260332.24	273275.14	273275.14	2835.7	253213.41	233003.78	338781.54	348306.01	267651.2	33224.42	355624.68	307450.64	301123.38	954.43	271387.49	248002.34	1594.73	133825.1	288856.81	175363.84	509950.32	271387.49	262143.0	126606.21	138544.47	320506.81	208544.12	299043.36	229795.93	253213.41	437825.58	414208.18	311742.51	341137.96	267651.2	228208.61	279017.26	225066.78	301123.38	119776.72	226632.25	256748.15	198667.0	290865.98	239554.43	249727.34	249727.34	279017.26	313910.86	70238.75	338781.54	311742.51	307450.64	256748.15	140478.49	204252.32	284880.02	303217.87	248002.34	148488.36	378516.38	253213.41	244588.0	370726.6	322736.12	389157.95	209994.66	269512.87	400098.69	117311.73	114103.8	290865.98	226632.25	184082.4	419990.32	135693.24	81244.48	253213.41	134755.94	45386.27	263966.36	48982.22	288856.81	294926.33	7857.29	633.73
PIEZO2	11.3	105.89	473.41	11.21	33.78	37.32	27.84	9.2	5.68	8.51	24.63	33.06	36.01	115.97	18.43	51.71	29.06	7.22	28.65	215.77	6.31	6.62	9.34	275.28	11.21	21.01	144.01	66.18	16.27	41.22	5.41	12.0	20.11	48.87	74.58	5.02	69.03	4.13	23.08	12.0	10.63	21.01	6.73	28.24	10.08	51.71	5.59	33.06	8.51	62.12	8.65	24.28	33.54	8.19	45.21	6.73	4.9	13.72	13.32	92.05	3.17	19.97	9.27	10.63	55.1	10.55	9.48	12.93	33.06	76.17	13.42	15.0	40.93	8.58	18.03	41.81	10.88	6.01	9.27	44.25	81.71	11.38	35.0	43.63	12.27	85.22	109.66	58.3	64.34	121.79	9.85	101.54	9.78	4.03	54.33	194.36
PKNOX2	5.32	52.82	108.9	27.84	24.46	35.25	19.68	14.03	16.63	17.77	51.71	30.78	24.81	74.06	21.78	28.65	19.39	5.96	42.11	180.02	17.51	23.59	9.56	94.67	8.51	35.0	88.88	52.45	10.79	38.4	1.31	18.7	51.71	35.76	22.59	9.34	33.06	10.79	23.93	10.96	18.97	15.91	9.48	12.83	28.65	25.72	8.92	20.71	12.93	45.21	30.34	28.24	29.48	15.45	34.75	10.0	12.09	8.85	7.11	133.36	13.03	24.99	5.41	14.24	45.53	8.85	13.52	15.56	21.16	27.25	15.22	11.38	43.32	14.03	9.06	47.17	11.64	20.26	17.64	49.91	46.18	9.48	20.41	19.82	22.59	75.64	88.88	27.25	31.45	119.26	19.68	48.52	13.72	5.87	107.38	115.16
PLA2G5	4.03	450.94	1832.01	23.59	43.94	141.02	97.36	27.25	24.63	21.32	114.36	84.04	52.82	470.14	156.59	185.11	48.87	16.75	134.3	327.56	7.28	28.04	71.0	376.41	43.02	77.25	148.09	373.81	62.56	122.64	26.86	27.44	116.78	185.11	273.37	19.82	346.29	20.56	75.64	3.56	8.99	40.93	25.35	33.54	43.63	171.45	8.51	169.07	28.04	339.14	80.01	32.59	146.03	14.45	54.33	18.43	14.78	23.93	6.16	320.8	38.95	36.01	15.68	42.71	249.73	11.47	18.56	28.24	100.13	150.17	17.9	13.72	135.24	16.51	31.67	82.29	9.48	33.3	10.39	175.07	121.79	17.9	69.03	108.14	90.77	88.88	320.8	107.38	191.67	153.34	18.7	234.57	25.35	9.56	426.57	1340.84
PLN	31.9	4095.0	14361.31	122.64	234.57	435.55	693.58	74.58	37.32	92.7	656.11	332.14	567.1	2796.65	1008.9	1225.22	616.37	38.95	693.58	3081.75	57.89	136.19	161.02	2193.99	164.42	457.25	2417.67	1617.0	244.57	759.08	44.25	49.21	480.04	1923.14	1781.89	99.43	2682.69	44.25	703.28	48.52	40.93	336.79	80.01	239.52	236.21	1104.13	35.0	2104.58	113.56	2224.63	679.29	212.78	1037.29	228.13	819.3	171.45	43.02	120.94	36.79	2739.08	271.48	679.29	63.45	323.03	2047.0	48.52	47.17	309.83	1044.52	1977.24	118.43	54.72	842.36	64.8	208.38	607.87	40.07	180.02	54.72	1498.22	2451.44	71.5	813.63	708.18	941.27	1936.53	2287.2	890.44	1870.53	1572.76	28.45	3257.52	105.15	25.91	3847.29	16157.44
PLP1	29.27	813.63	2609.3	98.04	175.07	226.54	195.72	74.58	53.95	80.57	170.25	92.7	148.09	1295.13	265.87	435.55	156.59	53.19	195.72	2777.33	234.57	154.42	92.7	1991.0	141.02	299.25	1487.87	366.09	195.72	289.02	17.64	135.24	353.59	283.05	476.71	69.52	356.05	71.0	397.93	118.43	97.36	267.73	90.77	90.14	112.77	679.29	42.11	208.38	55.49	521.76	412.0	72.01	281.09	146.03	368.65	90.77	69.03	80.57	87.65	2367.9	85.82	236.21	94.67	111.21	334.46	113.56	80.01	127.89	187.71	420.68	69.52	57.49	417.77	76.71	120.94	529.06	38.12	82.87	89.51	466.88	612.11	55.1	244.57	264.03	264.03	403.5	842.36	536.45	381.68	1769.57	50.98	866.07	63.0	54.72	2090.03	2609.3
PNMAL1	3.17	116.78	476.71	6.78	8.99	20.71	13.52	4.74	5.87	5.77	9.85	12.83	51.71	45.85	29.48	29.91	25.54	6.06	69.52	127.89	7.88	7.11	14.03	87.03	3.82	10.63	127.0	60.39	6.11	46.84	5.36	11.38	36.53	22.92	35.5	9.2	38.12	3.38	17.13	7.11	13.42	19.53	3.35	9.48	7.22	59.13	5.28	18.84	4.86	47.17	27.05	21.32	14.67	7.94	23.59	9.78	6.11	6.41	5.5	115.16	9.93	13.32	4.98	5.82	48.18	4.39	15.22	10.63	20.56	60.82	21.01	10.88	30.78	2.41	11.64	40.64	2.18	3.44	3.06	19.82	31.22	5.02	23.93	41.22	26.67	86.43	63.0	13.32	27.44	50.98	6.89	51.35	8.0	3.06	185.11	102.25
PNMAL2	2.34	49.21	110.43	7.94	10.08	14.24	11.04	4.7	4.62	6.73	12.64	16.03	21.16	33.3	12.45	18.56	10.24	3.63	17.77	43.94	2.76	9.56	5.45	38.12	6.94	12.83	48.18	41.22	9.06	23.25	3.44	6.67	23.08	16.27	18.16	4.35	24.11	2.61	11.82	3.99	6.06	8.25	2.84	4.13	5.68	23.59	4.7	9.06	2.66	21.94	14.78	19.53	8.78	8.65	12.74	3.44	5.77	5.32	1.38	40.93	4.21	8.19	2.43	7.4	35.25	2.63	6.84	9.34	11.64	23.42	6.94	2.84	27.05	5.87	6.26	23.76	2.43	2.89	3.5	14.56	23.59	3.59	10.39	18.16	7.46	35.76	29.06	9.7	14.45	27.25	3.72	26.47	5.5	1.95	31.67	41.52
PPAPDC3	8.0	177.53	490.14	34.75	27.84	40.64	32.13	25.91	18.7	21.16	51.35	49.21	45.21	182.55	44.57	91.41	35.25	14.14	46.84	121.79	17.77	18.43	28.65	134.3	19.39	34.02	135.24	129.69	26.47	77.25	18.16	18.97	37.85	89.51	96.68	21.94	90.77	12.93	48.18	19.11	14.56	45.53	8.92	22.75	25.35	70.51	13.22	76.17	22.75	94.67	47.17	33.54	61.25	23.93	56.28	17.13	14.89	11.55	10.55	145.02	25.17	41.22	15.34	25.54	102.25	10.71	21.16	35.76	34.26	73.03	20.26	19.25	66.65	11.38	23.25	53.95	7.51	22.43	8.99	82.29	71.0	16.27	49.21	55.1	40.64	73.54	119.26	67.59	103.69	94.01	20.41	120.1	22.75	12.93	189.02	228.13
PTGER3	6.31	323.03	647.07	62.12	27.44	56.68	60.82	7.46	6.94	17.77	42.71	57.89	61.68	193.01	69.52	95.34	60.82	1.85	61.25	351.14	10.71	10.31	25.72	460.44	39.79	25.17	264.03	221.86	23.25	211.31	10.31	8.19	51.71	147.06	153.34	12.45	166.73	11.3	64.34	5.15	8.06	65.72	17.64	34.51	20.56	94.67	10.24	127.0	12.74	140.04	48.52	69.52	70.51	10.79	88.88	11.3	4.7	18.84	3.41	242.88	15.11	53.57	10.88	28.65	132.44	7.0	12.83	45.85	73.54	197.09	24.63	7.82	172.65	21.78	29.06	94.01	9.85	21.32	12.93	75.64	172.65	12.64	50.98	114.36	36.27	181.28	412.0	88.26	136.19	132.44	8.51	178.77	27.05	6.21	392.44	397.93
PTPLAD2	24.99	218.79	327.56	98.04	53.19	143.01	90.14	69.03	68.07	65.26	136.19	96.01	105.89	269.6	117.6	144.01	71.5	47.17	145.02	303.44	77.79	48.52	58.71	218.79	57.49	67.59	193.01	161.02	73.03	92.7	36.27	59.13	81.14	119.26	152.28	67.59	127.0	36.79	115.16	82.29	60.82	82.87	35.25	70.51	80.57	138.1	44.57	123.5	94.67	224.97	82.87	89.51	181.28	68.55	141.02	63.0	62.56	53.95	50.63	236.21	67.12	91.41	41.22	73.03	206.94	59.97	83.45	82.29	115.97	135.24	45.21	53.57	108.9	43.32	45.53	108.9	49.91	77.79	57.08	170.25	166.73	48.52	117.6	94.01	105.89	183.82	264.03	137.14	163.28	275.28	82.29	178.77	83.45	41.52	301.33	368.65
PYGO1	1.55	54.72	183.82	7.4	5.82	18.43	11.64	3.38	2.51	4.62	11.21	7.75	14.35	45.21	13.83	19.53	7.46	3.56	13.93	40.64	4.24	3.99	7.4	57.08	8.0	10.31	39.5	40.07	9.63	17.38	2.78	3.2	12.36	31.67	33.06	2.68	31.45	2.1	11.21	4.28	3.26	10.31	2.51	6.31	5.77	17.9	4.03	28.24	5.19	34.26	13.83	8.58	17.25	5.92	20.26	5.77	2.41	4.13	2.14	42.11	6.06	10.71	2.78	7.17	30.34	2.78	4.03	8.51	14.78	32.59	4.5	2.92	22.1	3.14	5.06	13.52	1.3	3.38	2.05	32.82	28.45	2.86	15.11	18.7	7.4	26.67	33.78	23.93	28.65	30.34	3.66	38.95	5.5	2.2	115.97	165.57
RASSF8	8.99	183.82	1088.92	24.99	27.84	68.55	69.03	15.22	5.82	19.68	40.36	26.47	68.55	190.34	87.03	111.21	38.67	13.03	43.02	241.19	13.52	31.9	17.9	178.77	30.78	38.4	423.61	201.25	30.34	100.83	7.88	19.39	110.43	130.6	175.07	19.39	104.42	12.36	48.87	19.68	19.97	42.71	11.64	39.5	31.67	89.51	9.7	144.01	22.1	169.07	56.28	52.08	92.7	25.91	106.63	17.38	10.24	17.38	8.06	199.85	26.67	70.01	12.83	28.45	198.47	11.55	14.45	38.67	71.5	234.57	16.03	12.0	128.79	14.24	27.64	88.88	8.06	22.26	14.03	199.85	182.55	10.71	78.34	81.14	60.82	136.19	132.44	94.67	148.09	156.59	14.24	190.34	17.13	8.0	336.79	947.83
RGS11	47.5	199.85	358.54	202.66	106.63	85.22	58.3	32.59	202.66	69.52	116.78	73.03	115.16	255.0	94.67	134.3	116.78	31.0	217.27	432.53	43.32	40.07	44.57	279.14	64.8	87.03	629.35	429.54	78.34	169.07	59.13	46.84	138.1	186.4	87.65	25.91	170.25	104.42	79.45	32.13	109.66	59.13	46.84	19.82	91.41	134.3	55.89	84.63	30.78	181.28	139.07	102.97	132.44	66.18	53.57	46.84	49.21	45.53	42.11	397.93	62.56	86.43	57.89	53.19	153.34	31.22	115.16	105.15	69.52	72.52	18.97	109.66	102.97	28.86	56.28	138.1	59.97	68.55	64.8	163.28	115.97	34.75	141.02	139.07	141.02	81.71	346.29	117.6	202.66	595.34	24.11	132.44	56.68	29.91	1225.22	260.38
RGS9	22.1	132.44	371.22	39.79	48.18	68.55	40.64	42.11	29.91	26.47	71.5	43.94	35.25	202.66	41.81	53.95	63.89	30.34	57.89	156.59	15.45	23.93	26.67	204.07	38.95	45.53	148.09	73.03	20.71	69.03	25.54	37.05	83.45	56.68	88.88	15.45	120.94	21.78	67.59	25.17	33.06	55.89	18.16	32.36	45.53	71.5	40.07	80.01	22.59	137.14	45.53	47.17	60.82	33.3	56.68	28.65	35.25	50.98	27.05	144.01	28.86	38.12	29.7	25.54	97.36	21.01	40.36	40.93	62.56	69.03	23.42	31.45	61.25	29.48	36.27	69.52	37.05	29.06	16.03	98.04	82.87	31.9	46.5	59.97	63.89	117.6	236.21	69.52	79.45	149.12	25.35	120.94	35.5	23.08	373.81	387.02
RORB	0.92	3.14	8.0	0.35	0.73	1.91	1.07	0.0	0.33	0.68	1.55	0.36	1.93	6.57	1.35	1.64	0.97	1.03	1.55	7.75	1.1	0.79	1.0	2.36	1.64	1.53	7.4	2.81	1.55	1.6	0.0	1.06	1.03	1.97	2.53	1.03	1.38	0.36	1.73	1.31	1.91	2.12	0.36	1.87	0.95	2.84	0.39	1.77	0.0	1.43	2.39	1.01	2.03	1.28	1.95	0.73	1.0	1.57	0.74	5.96	1.0	1.04	0.99	1.04	2.32	0.79	0.95	0.97	0.69	2.2	0.64	0.0	1.35	0.97	0.74	2.51	0.37	1.28	0.95	1.64	1.99	0.39	1.11	1.28	0.74	2.29	5.28	3.79	1.99	6.84	1.31	3.96	0.72	0.4	8.19	15.34
RP11-795F19.5	0.0	14.78	78.89	3.17	3.79	11.55	3.35	0.25	1.35	3.96	6.67	4.17	10.88	41.81	9.78	5.32	5.06	0.89	12.36	19.39	2.53	3.76	10.0	23.93	2.68	6.94	10.96	9.93	0.68	12.83	1.31	3.96	5.11	10.24	13.03	3.41	14.14	0.0	7.06	0.84	0.85	6.67	2.27	4.31	2.89	5.36	4.62	8.45	5.54	16.88	7.4	5.73	10.55	3.32	4.9	0.39	0.09	0.8	2.86	23.25	3.29	3.2	0.83	7.75	11.82	2.81	2.78	4.58	6.78	6.11	0.0	3.66	6.89	0.93	1.08	2.89	1.91	4.78	4.06	5.54	6.78	2.27	9.06	5.73	1.87	10.31	24.11	14.45	13.42	11.21	4.9	16.63	8.99	0.99	44.57	43.02
RPRD1A	291.04	591.22	1001.93	423.61	373.81	387.02	358.54	267.73	273.37	387.02	432.53	361.04	414.87	629.35	529.06	463.65	409.15	336.79	373.81	728.11	339.14	371.22	307.69	813.63	438.59	447.82	743.43	753.83	339.14	497.0	281.09	381.68	450.94	466.88	591.22	325.29	409.15	358.54	403.5	334.46	334.46	334.46	273.37	353.59	371.22	460.44	295.11	525.39	295.11	540.19	450.94	366.09	493.56	368.65	476.71	420.68	256.78	237.86	432.53	796.86	366.09	414.87	283.05	392.44	486.75	332.14	358.54	356.05	361.04	547.75	279.14	426.57	536.45	339.14	336.79	400.71	293.07	400.71	334.46	536.45	543.96	395.18	454.09	470.14	392.44	486.75	607.87	525.39	559.28	651.58	305.55	669.92	368.65	251.48	1127.35	1066.48
RUSC2	50.27	521.76	2163.77	59.97	77.79	133.36	100.13	49.56	41.52	49.91	115.97	110.43	134.3	480.04	159.9	201.25	92.7	52.82	128.79	307.69	41.52	55.49	75.64	314.17	96.01	105.15	353.59	320.8	80.57	271.48	33.78	49.21	154.42	283.05	236.21	46.5	231.32	51.35	139.07	37.59	51.71	98.73	34.51	59.97	60.39	146.03	52.08	149.12	65.72	312.0	130.6	94.01	145.02	75.64	153.34	52.82	48.18	54.33	27.05	366.09	67.12	115.97	38.67	64.34	316.37	32.59	59.55	88.88	121.79	208.38	59.97	52.45	187.71	52.45	60.39	161.02	37.05	66.18	35.76	281.09	194.36	43.02	154.42	139.07	101.54	237.86	320.8	204.07	253.23	255.0	46.84	343.89	71.5	41.81	842.36	1331.57
SALL2	10.96	237.86	854.13	47.5	37.85	66.18	58.71	21.94	21.01	30.56	60.82	66.65	108.14	178.77	68.07	120.94	68.55	15.56	79.45	150.17	23.25	19.25	36.79	264.03	43.63	57.08	212.78	186.4	43.94	77.79	5.82	22.26	49.91	122.64	146.03	14.45	120.94	19.68	63.0	17.9	12.64	46.84	18.7	41.52	25.35	63.0	20.71	144.01	28.65	178.77	68.55	68.07	75.11	35.5	78.34	22.1	24.11	21.32	14.24	152.28	35.0	41.52	9.85	37.05	120.94	15.22	27.05	41.81	50.63	145.02	26.28	18.97	86.43	17.51	33.3	105.89	16.63	28.65	10.96	144.01	167.9	30.78	80.01	81.71	51.35	198.47	152.28	84.63	145.02	141.02	23.93	151.22	30.78	15.11	167.9	473.41
SEPT4	51.71	327.56	518.15	126.12	132.44	218.79	110.43	100.13	71.0	69.52	166.73	135.24	164.42	318.57	115.16	127.0	88.26	57.08	176.29	633.73	125.24	120.1	87.65	417.77	78.34	205.5	420.68	275.28	70.51	170.25	26.28	88.26	190.34	183.82	153.34	111.99	212.78	72.52	152.28	68.07	58.3	134.3	48.87	93.35	90.77	143.01	79.45	97.36	127.0	228.13	229.72	123.5	159.9	95.34	173.85	83.45	96.68	75.64	47.5	733.19	51.35	109.66	55.89	70.01	265.87	51.35	117.6	92.05	74.06	237.86	81.71	64.8	169.07	70.01	70.01	152.28	66.65	120.1	110.43	202.66	163.28	72.01	115.97	158.79	118.43	182.55	327.56	202.66	185.11	607.87	78.34	202.66	103.69	81.14	543.96	387.02
SGMS1	258.57	232.94	363.56	120.94	88.26	145.02	197.09	121.79	76.17	110.43	139.07	98.04	157.68	287.01	159.9	189.02	133.36	98.73	162.14	435.55	112.77	129.69	105.89	332.14	158.79	117.6	353.59	253.23	107.38	161.02	57.08	124.37	167.9	218.79	277.2	107.38	198.47	111.99	125.24	124.37	100.83	112.77	117.6	129.69	119.26	159.9	86.43	191.67	131.51	229.72	135.24	161.02	180.02	124.37	158.79	137.14	94.01	90.14	120.1	318.57	120.94	145.02	124.37	145.02	221.86	105.15	143.01	129.69	172.65	258.57	96.68	106.63	187.71	128.79	113.56	132.44	85.82	119.26	109.66	271.48	248.0	105.15	136.19	156.59	148.09	224.97	260.38	206.94	189.02	295.11	134.3	291.04	120.1	62.56	389.72	432.53
SGTB	29.7	56.68	112.77	28.24	21.94	38.12	28.24	22.92	10.63	18.56	27.05	19.97	32.13	54.33	22.75	39.22	22.43	23.93	21.78	91.41	22.59	26.47	24.28	75.64	15.68	26.28	68.55	49.21	18.03	31.9	10.08	19.68	27.05	38.67	48.87	21.47	49.91	23.42	25.17	20.41	24.63	24.81	18.97	27.64	29.48	27.84	20.11	38.67	21.32	46.84	33.3	31.67	46.18	25.17	31.45	22.1	14.45	21.01	13.12	98.73	21.78	20.41	17.77	15.11	43.32	15.11	16.75	30.56	29.27	43.02	19.39	15.0	28.04	17.25	17.64	26.67	14.03	34.02	14.89	49.91	46.18	15.11	19.11	24.99	22.92	34.26	65.26	44.89	47.5	87.03	30.56	65.72	28.86	12.36	118.43	153.34
SLC16A2	67.59	151.22	441.64	37.05	33.3	74.06	40.07	23.93	18.29	23.08	57.89	51.35	50.63	218.79	42.71	81.14	27.05	14.14	89.51	275.28	19.11	22.43	31.9	190.34	16.88	59.97	221.86	94.01	28.45	83.45	3.86	25.91	55.89	78.89	115.16	18.16	122.64	13.52	45.85	15.22	17.9	42.11	19.97	39.79	31.45	79.45	14.56	46.84	23.42	132.44	48.52	33.78	66.65	27.64	70.01	20.56	20.71	19.25	11.21	232.94	23.42	37.32	11.21	25.72	84.63	11.04	30.78	22.92	44.57	73.03	22.43	17.25	62.56	15.22	17.51	74.58	14.35	25.54	15.56	82.87	77.25	17.77	52.45	52.45	37.05	123.5	183.82	96.68	78.34	215.77	18.7	127.0	31.67	11.47	297.17	283.05
SLC4A3	4.17	55.89	189.02	10.24	11.55	34.02	12.09	3.17	3.72	6.41	13.32	20.11	26.67	63.0	21.63	32.13	11.3	2.32	31.0	50.63	1.62	3.82	15.22	60.82	11.21	15.91	66.18	60.82	11.82	23.59	2.58	4.28	29.06	43.63	35.25	7.69	40.36	6.62	14.35	2.41	5.06	11.55	3.26	5.68	8.58	31.0	3.82	19.97	6.73	48.52	13.32	14.45	19.68	3.92	15.11	12.09	4.62	2.92	1.58	72.01	8.45	7.82	2.76	6.11	50.98	4.98	6.84	13.42	9.41	34.75	4.98	4.17	40.64	1.95	7.94	32.13	2.39	3.14	2.07	37.05	24.11	3.38	14.78	18.16	12.64	34.51	61.25	16.03	27.25	57.89	3.63	51.71	4.86	1.64	591.22	81.71
SMAD9	40.64	163.28	314.17	80.01	53.57	93.35	78.89	52.45	13.62	39.5	68.55	35.25	91.41	224.97	78.34	100.13	44.89	21.01	49.21	221.86	33.3	19.97	31.22	281.09	52.45	48.52	197.09	202.66	36.79	69.03	32.36	44.25	75.64	198.47	126.12	29.27	165.57	23.25	61.68	41.81	68.55	29.48	22.1	43.32	48.18	87.03	33.54	96.01	25.72	140.04	71.0	70.01	93.35	70.51	111.21	40.64	24.11	43.63	73.03	255.0	27.64	54.72	28.24	38.4	133.36	32.13	26.86	50.63	59.97	193.01	34.75	47.17	109.66	31.0	41.22	74.06	18.16	36.53	16.39	139.07	198.47	38.4	82.87	74.58	88.88	180.02	305.55	87.65	157.68	258.57	40.07	232.94	53.19	11.47	307.69	309.83
