	TCGA.LC.A66R.01A.41R.A30C.07	TCGA.XF.AAN0.01A.11R.A42T.07	TCGA.DK.A3WY.01A.11R.A22U.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.UY.A8OC.01A.11R.A36F.07	TCGA.XF.AAMQ.01A.11R.A42T.07	TCGA.DK.AA6T.01A.11R.A39I.07	TCGA.MA.AA43.01A.11R.A42T.07	TCGA.AA.A02K.01A.03R.A32Y.07	TCGA.G4.6307.01A.11R.1723.07	TCGA.CC.A3M9.01A.11R.A213.07	TCGA.38.4628.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07	TCGA.05.5423.01A.01R.1628.07	TCGA.38.4629.01A.02R.1206.07	TCGA.50.5068.01A.01R.1628.07	TCGA.55.6968.11A.01R.1949.07	TCGA.91.6829.11A.01R.1858.07	TCGA.49.4512.11A.01R.1858.07	TCGA.49.4490.11A.01R.1858.07	TCGA.38.4625.11A.01R.1758.07	GTEX.132NY.1226.SM.5PNVF	GTEX.14ABY.1126.SM.5Q5F8	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.12584.1426.SM.5EGJ9	GTEX.13FTZ.0526.SM.5IJCW	GTEX.PVOW.1026.SM.2XCF9	GTEX.ZXG5.0826.SM.5GID6	GTEX.Y111.1026.SM.4TT22	GTEX.147JS.1226.SM.5RQK4	GTEX.11PRG.0926.SM.5EGI8	GTEX.111FC.1126.SM.5GZWU	GTEX.11EI6.0826.SM.5985V	GTEX.S33H.0626.SM.2XCBJ	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.1477Z.0626.SM.5NQB7	GTEX.13FHP.0726.SM.5K7YI	GTEX.11ZUS.0126.SM.5EQM5	GTEX.13QJ3.1026.SM.5QGQU	GTEX.12ZZW.0926.SM.5LZUD	GTEX.T6MN.0826.SM.32PM4	GTEX.11NUK.0826.SM.5HL4U	GTEX.1212Z.1026.SM.5EGJ8	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.12KS4.0726.SM.5FQSX	GTEX.ZYT6.0526.SM.5GIEA	GTEX.YJ8O.1826.SM.5HL82	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.T2IS.0526.SM.32QP9	GTEX.13G51.0426.SM.5K7Z5	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.14A6H.0526.SM.5NQAZ	TCGA.22.1017.01A.01R.0692.07	TCGA.58.8386.11A.01R.2296.07	TCGA.77.7335.11A.01R.2045.07	TCGA.77.7337.11A.01R.2045.07	TCGA.56.7580.11A.01R.2045.07	TCGA.DC.5337.01A.01R.1660.07	TCGA.AG.3591.01A.01R.1736.07	TCGA.E6.A2P8.01A.11R.A19W.07	TCGA.SL.A6JA.01A.11R.A31O.07	TCGA.EO.A22X.01A.11R.A180.07
TMEM35	3.5	2.12	27.05	3.69	17.25	1.87	4.66	13.12	4.43	12.93	4.74	8.45	0.0	28.04	8.32	15.22	24.46	21.01	64.8	96.01	60.39	22.26	49.21	65.72	8.71	20.26	361.04	358.54	262.2	336.79	38.95	307.69	281.09	155.5	57.49	68.07	30.56	753.83	334.46	91.41	159.9	231.32	158.79	89.51	109.66	84.63	57.08	256.78	37.85	255.0	373.81	154.42	150.17	142.01	44.57	77.25	114.36	6.01	58.3	100.13	56.68	52.45	4.94	9.06	5.23	0.58	27.64
TMEM47	63.89	1111.82	117.6	16.39	105.89	785.88	40.93	236.21	58.71	23.25	85.22	110.43	0.0	73.03	129.69	159.9	139.07	198.47	708.18	1044.52	507.46	540.19	941.27	432.53	206.94	1304.15	954.43	1359.57	2303.12	1295.13	281.09	947.83	1183.45	567.1	547.75	457.25	454.09	2351.53	1295.13	1359.57	1259.69	854.13	1519.15	1313.23	813.63	638.15	764.36	1044.52	403.5	890.44	2075.59	708.18	1417.35	1819.35	629.35	961.07	299.25	49.91	348.71	896.64	866.07	500.46	59.55	82.29	187.71	107.38	43.63
TMOD3	642.59	1111.82	305.55	325.29	563.18	575.03	373.81	718.08	197.09	92.05	435.55	231.32	381.68	356.05	718.08	371.22	718.08	819.3	872.1	748.61	624.99	1143.1	1617.0	1119.56	1111.82	1259.69	1594.73	2271.4	1617.0	1605.83	995.0	1277.29	1167.14	872.1	1250.98	872.1	941.27	1870.53	2178.83	1628.26	1519.15	1135.2	1216.75	1151.06	1313.23	1059.11	988.12	1583.71	842.36	1583.71	1037.29	1233.75	1350.18	1757.34	1225.22	1096.5	974.5	543.96	703.28	1127.35	1519.15	1191.69	277.2	201.25	723.08	381.68	432.53
TMSB4X	260332.24	440870.9	265802.39	400098.69	260332.24	524287.0	279017.26	394590.4	242898.5	208544.12	581732.96	531605.79	368165.8	561916.97	408505.64	789181.81	265802.39	318292.9	527933.71	542775.98	309589.14	569761.05	691801.16	550352.86	945028.61	546551.29	668235.84	447025.24	456418.21	485798.0	353168.2	585779.24	517068.97	475800.4	400098.69	405683.88	405683.88	682276.92	565825.41	456418.21	672883.8	577714.63	479109.86	524287.0	632189.57	550352.86	459592.86	546551.29	422911.59	682276.92	663619.99	492579.5	696613.03	663619.99	554180.87	649962.87	408505.64	561916.97	299043.36	520665.48	305326.92	313910.86	489177.0	378516.38	440870.9	542775.98	475800.4
TMX4	283.05	307.69	291.04	159.9	234.57	395.18	157.68	825.0	101.54	148.09	215.77	381.68	287.01	511.0	334.46	463.65	412.0	429.54	656.11	728.11	563.18	466.88	579.04	397.93	728.11	525.39	884.29	1191.69	1883.54	1175.27	368.65	518.15	928.3	305.55	967.76	518.15	406.31	1896.65	1066.48	830.75	866.07	1001.93	836.53	961.07	373.81	579.04	384.34	441.64	444.72	860.08	836.53	486.75	1008.9	688.78	571.05	723.08	406.31	507.46	493.56	723.08	629.35	738.29	486.75	559.28	193.01	647.07	258.57
TNFSF10	2875.3	1781.89	1369.04	2935.74	2976.74	8479.89	273.37	1295.13	134.3	363.56	954.43	1697.45	1806.78	5366.37	1457.23	12589.08	2018.8	2075.59	3742.05	6840.04	4038.61	4388.98	20170.07	8363.13	4512.4	1175.27	6887.62	15607.02	3491.39	20737.16	2664.15	9279.58	11345.82	4575.41	4210.15	1268.46	3325.99	18689.27	8840.04	8363.13	25887.07	9409.14	8022.41	6426.31	21768.19	5711.87	5517.27	5219.6	629.35	10368.08	7382.04	9025.81	15392.14	14163.58	21468.49	5255.91	4607.24	1378.57	4639.29	7966.99	7695.57	4239.45	728.11	1388.16	412.0	651.58	438.59
TRAK2	127.0	191.67	218.79	94.01	143.01	183.82	209.84	146.03	208.38	153.34	209.84	265.87	0.0	262.2	171.45	497.0	392.44	426.57	454.09	603.67	373.81	211.31	503.95	297.17	191.67	218.79	607.87	915.51	884.29	1059.11	339.14	547.75	759.08	486.75	733.19	483.38	295.11	941.27	947.83	1250.98	693.58	1286.18	1322.37	890.44	521.76	297.17	426.57	521.76	473.41	759.08	813.63	1135.2	743.43	348.71	267.73	503.95	511.0	287.01	470.14	759.08	575.03	521.76	142.01	312.0	166.73	165.57	123.5
TRPC3	5.63	6.89	2.01	1.97	2.94	1.85	4.28	3.38	0.53	0.52	1.55	2.73	0.0	2.51	2.07	1.39	4.86	7.57	21.16	13.03	9.7	10.47	35.76	17.25	9.27	8.06	75.64	64.8	22.43	43.32	8.13	43.32	36.53	25.54	21.78	12.64	13.22	44.57	43.02	36.27	29.91	23.59	21.78	40.93	15.45	10.71	15.8	17.38	5.59	29.27	17.38	13.93	21.01	2.53	11.04	8.0	13.42	2.43	10.88	14.14	12.83	14.89	1.3	1.99	3.47	0.0	1.07
TTC33	145.02	95.34	147.06	100.13	92.7	118.43	113.56	98.04	94.01	59.97	54.72	295.11	0.0	351.14	215.77	271.48	151.22	171.45	267.73	309.83	217.27	122.64	532.74	277.2	260.38	161.02	361.04	525.39	571.05	351.14	327.56	381.68	366.09	356.05	241.19	249.73	206.94	490.14	346.29	361.04	381.68	389.72	249.73	351.14	283.05	234.57	397.93	432.53	194.36	341.51	379.04	423.61	198.47	316.37	265.87	244.57	189.02	197.09	258.57	363.56	287.01	236.21	154.42	239.52	98.04	49.91	102.25
TWSG1	366.09	305.55	327.56	336.79	435.55	551.56	141.02	511.0	125.24	93.35	387.02	743.43	0.0	417.77	733.19	563.18	356.05	423.61	748.61	780.44	503.95	872.1	1023.0	521.76	607.87	961.07	1015.93	1151.06	1605.83	1183.45	633.73	866.07	988.12	397.93	532.74	842.36	896.64	1551.09	1051.79	1111.82	890.44	447.82	1175.27	836.53	536.45	511.0	813.63	1378.57	603.67	1096.5	988.12	819.3	703.28	723.08	381.68	587.13	532.74	575.03	441.64	981.29	733.19	642.59	607.87	775.05	457.25	217.27	348.71
TYRP1	3.47	1.39	18.03	16.63	3.26	1.85	0.35	0.0	0.6	0.0	0.46	36.53	0.0	35.0	11.47	124.37	52.45	78.34	149.12	127.0	75.64	116.78	368.65	175.07	113.56	120.1	167.9	161.02	185.11	518.15	255.0	193.01	358.54	264.03	332.14	228.13	444.72	253.23	199.85	80.57	1487.87	221.86	228.13	356.05	141.02	108.14	346.29	170.25	141.02	551.56	248.0	323.03	397.93	85.22	22.1	187.71	389.72	27.64	70.51	166.73	99.43	69.52	0.27	4.58	3.92	0.0	1.71
ULBP1	5.06	4.17	5.63	0.87	1.0	6.73	1.35	16.63	9.41	2.89	3.35	98.04	0.0	9.06	14.67	15.34	7.88	18.56	23.42	29.91	14.24	77.79	38.67	13.12	17.64	61.68	279.14	397.93	12.09	28.86	43.32	106.63	161.02	38.12	105.89	25.17	16.39	87.03	44.25	77.79	54.72	27.25	49.56	191.67	50.27	0.18	83.45	14.24	129.69	88.26	15.11	129.69	37.05	49.91	8.19	59.97	57.89	17.13	20.26	37.32	40.64	48.52	11.91	7.82	33.06	1.55	73.03
UNC5D	0.0	0.0	0.66	0.0	0.0	0.0	0.33	0.33	0.44	0.43	0.0	0.4	0.0	0.0	0.4	0.42	0.0	0.0	0.52	3.72	0.88	0.87	14.89	0.59	0.0	1.11	5.63	17.64	0.24	1.31	10.96	6.89	1.46	4.13	1.91	1.04	2.1	7.69	4.7	3.14	4.24	0.64	9.48	0.24	4.7	0.64	4.98	2.2	0.17	7.0	5.96	6.11	0.0	0.57	1.27	6.16	0.82	0.0	0.51	0.48	1.62	1.28	0.0	0.54	0.3	0.0	0.27
USP25	363.56	303.44	381.68	511.0	305.55	191.67	231.32	283.05	373.81	249.73	246.28	351.14	0.0	454.09	358.54	242.88	476.71	579.04	395.18	392.44	435.55	307.69	1508.65	486.75	995.0	264.03	693.58	1896.65	1111.82	738.29	423.61	379.04	733.19	934.76	620.67	503.95	603.67	1096.5	665.29	860.08	698.41	343.89	660.68	647.07	476.71	775.05	780.44	665.29	361.04	941.27	620.67	941.27	473.41	480.04	674.59	785.88	536.45	343.89	480.04	629.35	802.41	647.07	190.34	269.6	406.31	329.84	158.79
VAMP3	1572.76	2133.97	1119.56	1583.71	2367.9	1832.01	473.41	2163.77	1417.35	988.12	1923.14	2701.35	1487.87	1977.24	1870.53	1923.14	2119.22	2777.33	2701.35	3540.14	2855.44	2758.13	4704.07	2451.44	2451.44	1806.78	2796.65	6079.61	3742.05	6079.61	2133.97	4481.23	4419.52	2591.27	3589.58	2627.46	2240.11	5006.93	4358.66	4038.61	4671.57	2193.99	3794.3	3060.45	3257.52	2287.2	2935.74	2701.35	2739.08	5255.91	4419.52	3491.39	4704.07	3146.52	2915.45	2682.69	3820.7	2520.38	2148.82	3742.05	3491.39	2956.17	915.51	2148.82	1175.27	1081.39	1127.35
VAMP4	279.14	426.57	204.07	384.34	429.54	253.23	241.19	198.47	178.77	115.16	148.09	389.72	0.0	684.02	743.43	693.58	309.83	358.54	476.71	525.39	476.71	348.71	733.19	447.82	480.04	348.71	432.53	571.05	521.76	571.05	503.95	267.73	493.56	307.69	305.55	460.44	587.13	796.86	476.71	511.0	599.49	423.61	543.96	497.0	381.68	656.11	647.07	429.54	275.28	563.18	559.28	480.04	381.68	387.02	476.71	521.76	493.56	299.25	373.81	603.67	493.56	409.15	180.02	450.94	156.59	334.46	197.09
VAMP5	1923.14	1127.35	3349.13	3235.01	1286.18	1331.57	866.07	363.56	420.68	279.14	7032.37	9409.14	1350.18	5366.37	3212.66	4736.79	2915.45	1883.54	8247.98	10883.59	5672.41	10154.69	5831.91	2255.7	1378.57	1662.49	15075.35	7331.05	5791.62	16157.44	2319.15	19892.37	22072.07	5255.91	6207.38	4836.35	5711.87	7966.99	10014.87	9876.98	6935.54	6699.25	9945.68	7642.41	10512.82	2090.03	2224.63	1870.53	3124.78	6699.25	12076.21	4419.52	18950.18	4066.71	6983.79	1540.37	6037.61	6426.31	4869.99	5954.47	4210.15	3540.14	808.0	961.07	1896.65	414.87	1015.93
VANGL2	17.0	56.28	165.57	2.36	34.75	638.15	33.06	198.47	13.93	63.0	1.53	138.1	0.0	46.84	13.93	16.51	73.54	51.35	35.0	60.39	62.12	158.79	543.96	139.07	90.77	130.6	125.24	633.73	127.0	511.0	169.07	813.63	363.56	514.56	105.15	67.12	98.04	358.54	202.66	287.01	872.1	438.59	409.15	262.2	521.76	187.71	218.79	212.78	40.93	381.68	327.56	297.17	361.04	500.46	303.44	105.89	248.0	21.63	90.77	63.89	134.3	127.0	60.82	215.77	54.33	29.27	318.57
WASL	543.96	591.22	206.94	236.21	432.53	1023.0	114.36	420.68	466.88	314.17	212.78	612.11	332.14	656.11	1561.89	563.18	447.82	376.41	651.58	571.05	423.61	460.44	872.1	587.13	703.28	536.45	713.11	830.75	1066.48	769.69	555.41	718.08	780.44	660.68	575.03	507.46	466.88	1015.93	842.36	802.41	836.53	660.68	802.41	813.63	669.92	551.56	669.92	830.75	486.75	733.19	775.05	738.29	638.15	684.02	563.18	693.58	540.19	470.14	460.44	698.41	748.61	651.58	348.71	316.37	567.1	361.04	351.14
ZC3H12B	1.28	9.34	6.31	2.56	1.97	2.48	6.57	1.6	18.03	13.12	9.48	1.77	0.0	1.53	2.76	1.2	10.39	8.32	4.58	9.06	5.19	9.2	22.75	7.17	13.12	14.24	21.78	41.52	37.05	25.35	9.93	24.63	24.46	30.78	23.08	15.56	10.96	49.21	38.95	23.25	21.63	24.11	19.97	19.97	20.86	20.26	12.83	59.97	10.16	29.06	31.9	13.52	17.13	29.7	10.47	13.62	16.51	1.81	10.08	9.56	15.68	21.94	15.8	14.67	34.02	1.04	2.63
ZNF22	237.86	264.03	460.44	156.59	293.07	373.81	460.44	432.53	733.19	289.02	884.29	384.34	0.0	432.53	460.44	633.73	397.93	277.2	633.73	813.63	420.68	279.14	536.45	237.86	185.11	166.73	529.06	753.83	825.0	830.75	599.49	463.65	612.11	267.73	878.17	1143.1	275.28	1135.2	607.87	836.53	759.08	525.39	890.44	669.92	417.77	224.97	447.82	435.55	444.72	612.11	599.49	759.08	748.61	234.57	314.17	447.82	656.11	417.77	457.25	743.43	579.04	466.88	500.46	273.37	507.46	181.28	447.82
