	GTEX.13CF3.2126.SM.5IFJP	GTEX.144GM.1326.SM.5LU5E	GTEX.14C38.1526.SM.5RQJ7	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.EL.A3ZT.11A.13R.A23N.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW7.0826.SM.5L3EL	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZVT3.0726.SM.5GICN	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.132NY.1026.SM.5P9IY	GTEX.ZT9W.0226.SM.4YCCZ	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13FTY.0726.SM.5J2OH	GTEX.144GL.1226.SM.5O9A4	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.13112.0326.SM.5P9IW	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.V1D1.0926.SM.4JBHQ	GTEX.13FTW.0626.SM.5IFEX
PPFIBP2	220.32	204.07	176.29	0.0	0.62	126.12	808.0	896.64	1167.14	1066.48	1733.13	1551.09	884.29	2417.67	1467.37	1551.09	1167.14	954.43	1183.45	1733.13	1135.2	1250.98	2895.31	954.43	1037.29	3395.89	2895.31	1519.15	866.07	733.19	1407.55	1685.71	1159.07	1081.39	974.5	1044.52	1030.12	941.27	1639.59	921.88	1191.69	995.0	1059.11	1508.65	2133.97	1806.78	1883.54	1605.83	1183.45	1359.57	1369.04	981.29	1250.98	819.3	1806.78	890.44	2835.7	2119.22	1233.75	1819.35	1023.0	2367.9	1159.07	1199.98	1030.12	1191.69	967.76	1639.59	1151.06	1457.23	1001.93	1561.89	825.0	1059.11	2119.22	775.05	836.53	1277.29	1191.69	1015.93	1388.16	1477.58	2018.8	981.29	981.29	2090.03	1151.06	1551.09	2018.8	1369.04	2720.15	1685.71	1119.56	1628.26	2018.8	1199.98
PPOX	182.55	89.51	251.48	0.0	0.39	166.73	358.54	305.55	373.81	339.14	743.43	733.19	450.94	902.89	483.38	819.3	543.96	441.64	476.71	842.36	423.61	587.13	836.53	518.15	486.75	486.75	934.76	796.86	395.18	358.54	583.07	854.13	669.92	624.99	392.44	486.75	366.09	493.56	612.11	343.89	511.0	507.46	285.03	688.78	738.29	941.27	825.0	791.35	842.36	679.29	457.25	381.68	579.04	463.65	665.29	358.54	796.86	802.41	351.14	866.07	579.04	934.76	728.11	435.55	941.27	371.22	521.76	802.41	435.55	909.17	551.56	896.64	457.25	389.72	764.36	444.72	353.59	507.46	470.14	521.76	981.29	1096.5	1127.35	420.68	559.28	775.05	454.09	764.36	595.34	612.11	791.35	540.19	470.14	665.29	1059.11	392.44
PSRC1	20.41	6.73	13.32	0.0	0.39	269.6	40.36	60.82	53.57	42.71	98.73	124.37	53.95	153.34	88.26	94.67	51.35	63.89	53.57	82.29	59.97	66.65	46.5	34.02	68.55	32.82	97.36	76.71	54.72	17.77	60.39	115.97	79.45	57.49	71.0	63.45	60.82	88.26	72.52	53.57	71.5	56.68	21.78	96.01	102.25	108.14	107.38	108.14	39.22	59.13	81.14	78.89	60.39	45.21	68.07	60.39	100.13	102.25	51.35	135.24	94.01	102.25	61.25	49.21	173.85	52.45	100.13	76.71	82.29	82.87	45.21	95.34	66.18	51.71	73.03	53.95	27.64	41.81	51.71	69.03	105.89	115.16	121.79	52.08	49.21	92.05	72.01	55.49	46.84	86.43	96.01	56.28	49.91	110.43	112.77	64.34
PURG	0.55	0.0	0.0	0.0	0.05	0.0	1.77	2.12	2.81	0.66	11.13	8.45	2.41	3.44	4.46	6.89	0.29	2.94	2.78	3.76	2.46	2.25	2.32	1.04	7.94	0.45	2.68	2.84	2.05	3.56	3.41	6.06	2.81	1.66	1.64	5.87	2.05	3.76	5.19	1.87	5.5	3.53	0.53	7.46	4.94	5.23	4.74	6.31	0.71	6.01	2.36	2.25	4.43	1.2	3.86	1.71	4.54	3.44	2.16	5.02	5.82	7.82	5.41	2.56	3.63	2.32	2.78	7.22	1.87	2.84	3.26	3.47	2.16	4.17	4.74	2.16	2.68	3.17	0.69	2.68	3.5	7.82	11.73	4.28	0.29	5.59	1.95	5.87	2.84	3.35	4.66	3.72	3.06	5.32	6.26	0.74
RBM19	186.4	180.02	180.02	0.0	1.07	149.12	400.71	373.81	314.17	341.51	718.08	579.04	373.81	559.28	376.41	616.37	493.56	346.29	389.72	656.11	368.65	432.53	693.58	493.56	426.57	493.56	728.11	579.04	358.54	325.29	420.68	684.02	423.61	559.28	351.14	389.72	387.02	426.57	403.5	353.59	406.31	435.55	332.14	435.55	536.45	624.99	651.58	607.87	642.59	450.94	414.87	361.04	547.75	518.15	466.88	339.14	647.07	633.73	373.81	656.11	435.55	684.02	540.19	420.68	540.19	414.87	392.44	579.04	334.46	688.78	387.02	490.14	381.68	303.44	591.22	438.59	316.37	389.72	368.65	371.22	656.11	698.41	780.44	312.0	441.64	540.19	329.84	583.07	511.0	532.74	529.06	470.14	353.59	555.41	896.64	346.29
ROBO3	88.88	40.36	72.01	0.0	0.85	25.91	115.16	50.98	28.86	72.01	323.03	444.72	242.88	325.29	241.19	743.43	249.73	178.77	165.57	480.04	279.14	241.19	193.01	43.63	214.27	145.02	665.29	665.29	87.03	265.87	212.78	603.67	305.55	327.56	92.05	265.87	140.04	571.05	392.44	131.51	224.97	214.27	198.47	412.0	967.76	397.93	612.11	1378.57	620.67	1135.2	199.85	177.53	379.04	309.83	934.76	139.07	395.18	511.0	39.79	381.68	145.02	764.36	723.08	195.72	551.56	142.01	178.77	603.67	224.97	703.28	305.55	575.03	100.83	158.79	258.57	185.11	165.57	78.34	206.94	129.69	579.04	748.61	1259.69	223.41	244.57	551.56	182.55	480.04	511.0	486.75	595.34	356.05	113.56	397.93	669.92	248.0
RP11-146D12.2	18.43	0.0	0.0	0.0	0.31	0.0	4.28	5.59	3.72	15.56	46.84	43.63	33.78	63.45	36.53	60.82	55.1	20.86	32.36	109.66	21.47	24.28	93.35	20.11	53.19	27.05	74.06	24.28	58.71	22.43	21.47	38.12	6.21	35.5	8.13	24.99	20.86	36.27	46.5	34.26	22.75	30.56	1.17	38.95	70.51	80.01	55.1	107.38	28.86	60.39	42.11	26.47	47.84	16.63	19.11	25.54	71.5	42.41	19.53	110.43	11.55	80.01	73.03	19.97	47.84	11.47	8.78	105.89	52.45	68.07	42.11	80.01	13.22	2.07	48.52	17.25	12.83	19.11	6.21	36.27	58.71	36.27	68.07	9.2	28.24	54.72	33.54	34.75	68.07	38.95	77.25	39.5	30.78	87.65	86.43	19.25
RP11-347C12.3	11.47	0.0	3.92	0.0	0.36	6.57	21.01	56.28	8.45	9.56	68.07	114.36	7.82	94.67	32.82	186.4	35.25	24.81	30.78	80.57	35.25	37.05	45.21	11.47	44.89	34.75	84.04	65.72	18.84	34.51	30.34	107.38	39.79	36.01	23.59	16.63	17.64	97.36	56.68	41.52	21.16	14.78	16.03	85.22	76.71	110.43	115.97	96.01	70.01	70.51	31.9	29.48	43.63	38.4	61.25	31.67	55.49	46.18	31.22	94.67	32.36	78.89	98.04	61.25	76.17	13.93	33.06	44.25	22.26	136.19	54.72	90.77	43.94	37.85	69.03	45.53	21.94	16.27	35.5	37.05	71.0	82.87	100.13	31.67	76.17	92.7	16.03	45.21	41.22	31.45	82.29	29.27	23.59	61.68	84.63	11.47
RP11-3B7.1	23.59	0.0	2.39	0.0	0.13	0.0	4.39	3.17	7.88	11.04	28.45	30.56	17.13	33.54	6.78	18.16	10.96	9.78	26.86	25.54	10.71	11.64	14.89	12.93	7.28	3.44	39.5	25.17	8.85	13.12	19.11	46.5	16.75	20.26	11.13	13.72	9.41	12.93	25.54	7.0	30.34	15.68	7.94	8.19	18.29	34.75	16.03	21.94	12.74	25.91	18.29	5.54	18.97	2.32	23.42	6.57	11.38	25.17	10.47	41.52	4.43	44.25	18.03	15.22	18.56	8.51	10.79	34.75	6.52	26.1	5.96	28.04	3.11	10.47	21.63	15.8	11.21	6.73	6.01	11.73	16.03	50.63	55.49	4.35	16.51	31.67	7.11	39.79	16.15	6.89	18.84	13.62	12.83	30.12	67.59	3.86
RRNAD1	389.72	320.8	490.14	0.0	0.67	312.0	753.83	1096.5	928.3	842.36	1295.13	1175.27	1216.75	1175.27	974.5	1467.37	1216.75	813.63	1233.75	1519.15	860.08	825.0	1191.69	836.53	928.3	1023.0	1340.84	967.76	934.76	1030.12	947.83	1313.23	988.12	1651.0	830.75	1331.57	915.51	1073.91	1159.07	1008.9	1073.91	1059.11	748.61	1322.37	1304.15	1388.16	1674.06	1551.09	1467.37	1008.9	1268.46	1225.22	1119.56	1397.83	1119.56	902.89	1191.69	1259.69	1001.93	1529.73	1081.39	1259.69	1088.92	1268.46	1167.14	981.29	1250.98	1119.56	791.35	1417.35	1259.69	1233.75	1286.18	921.88	1073.91	1208.34	884.29	1242.34	1001.93	909.17	1427.22	1259.69	1832.01	954.43	1378.57	1397.83	934.76	1508.65	1259.69	1119.56	1286.18	947.83	947.83	1199.98	1757.34	1104.13
SFI1	101.54	96.01	72.01	0.0	0.84	46.18	325.29	229.72	412.0	244.57	723.08	435.55	289.02	633.73	406.31	1023.0	368.65	332.14	486.75	743.43	334.46	356.05	651.58	379.04	368.65	466.88	878.17	497.0	271.48	339.14	460.44	493.56	500.46	403.5	318.57	514.56	307.69	470.14	507.46	312.0	368.65	420.68	191.67	493.56	603.67	679.29	764.36	738.29	656.11	497.0	454.09	289.02	514.56	423.61	473.41	246.28	684.02	563.18	291.04	603.67	486.75	684.02	435.55	414.87	429.54	297.17	323.03	607.87	480.04	842.36	379.04	567.1	341.51	293.07	603.67	320.8	343.89	392.44	334.46	476.71	808.0	842.36	1023.0	309.83	400.71	698.41	343.89	633.73	511.0	518.15	656.11	339.14	406.31	384.34	915.51	271.48
SLC25A27	9.2	9.27	11.55	0.0	1.06	6.06	373.81	320.8	220.32	81.14	1268.46	748.61	215.77	1594.73	493.56	1561.89	400.71	271.48	297.17	1119.56	323.03	507.46	1457.23	277.2	1037.29	830.75	1369.04	698.41	291.04	353.59	395.18	1388.16	348.71	612.11	248.0	463.65	189.02	656.11	341.51	316.37	441.64	429.54	172.65	796.86	1066.48	1183.45	1295.13	1088.92	1605.83	884.29	417.77	172.65	693.58	435.55	785.88	339.14	1081.39	743.43	397.93	1295.13	182.55	1259.69	688.78	429.54	995.0	121.79	480.04	1183.45	241.19	1183.45	660.68	1594.73	395.18	152.28	813.63	325.29	228.13	353.59	303.44	392.44	1023.0	1242.34	1551.09	146.03	693.58	813.63	466.88	595.34	854.13	753.83	896.64	536.45	277.2	802.41	1685.71	148.09
SLC26A1	35.0	47.5	84.04	0.0	0.57	3.2	23.76	10.88	23.42	14.89	91.41	75.64	40.64	71.0	51.71	136.19	49.56	21.63	45.53	71.5	35.25	73.54	98.04	33.54	36.27	77.79	77.79	47.84	14.24	52.08	72.01	92.7	30.78	63.0	30.12	51.71	31.9	63.89	85.82	37.85	26.28	71.5	57.49	85.82	89.51	87.65	73.54	96.68	57.08	55.89	94.01	70.01	62.12	114.36	46.84	23.25	149.12	80.01	39.5	202.66	54.33	117.6	94.67	85.22	46.18	30.78	15.68	49.21	93.35	127.0	59.97	67.59	67.59	28.65	89.51	67.59	21.01	42.11	24.46	59.55	104.42	82.29	85.82	24.46	49.21	77.25	76.17	50.27	63.0	33.06	115.97	57.89	37.05	49.21	112.77	27.44
SLC35D2	334.46	583.07	406.31	0.0	0.52	567.1	638.15	759.08	836.53	1030.12	988.12	1733.13	854.13	1001.93	1250.98	884.29	947.83	928.3	1051.79	1175.27	753.83	1225.22	1073.91	764.36	1427.22	842.36	1096.5	1268.46	1023.0	878.17	738.29	1721.16	909.17	753.83	872.1	813.63	642.59	1119.56	1044.52	753.83	884.29	836.53	684.02	1322.37	1437.15	1313.23	1233.75	981.29	1447.15	1225.22	1127.35	587.13	1119.56	743.43	1250.98	713.11	1044.52	1059.11	684.02	1167.14	1001.93	1066.48	1191.69	995.0	1225.22	665.29	854.13	1594.73	796.86	1104.13	934.76	1208.34	1044.52	848.22	1268.46	679.29	669.92	665.29	819.3	909.17	1225.22	1167.14	1268.46	842.36	1268.46	961.07	753.83	1088.92	819.3	1088.92	1417.35	1066.48	808.0	1605.83	1216.75	733.19
SLIT2	25.17	4.86	4.06	0.0	0.41	9.85	42.41	28.45	24.28	39.79	214.27	559.28	132.44	406.31	595.34	258.57	118.43	198.47	82.87	279.14	244.57	303.44	287.01	0.96	356.05	10.71	264.03	525.39	90.14	209.84	208.38	366.09	82.29	128.79	89.51	95.34	161.02	921.88	285.03	246.28	82.29	127.89	158.79	85.22	629.35	414.87	486.75	432.53	84.63	1088.92	152.28	90.77	500.46	145.02	698.41	226.54	674.59	198.47	86.43	463.65	105.15	769.69	373.81	187.71	718.08	194.36	76.71	540.19	120.94	182.55	88.26	738.29	110.43	205.5	277.2	211.31	447.82	102.25	49.56	59.97	633.73	684.02	473.41	195.72	67.12	974.5	177.53	115.16	412.0	77.25	423.61	607.87	198.47	217.27	269.6	171.45
SMPD3	0.4	1.95	4.78	0.0	0.27	3.76	13.83	7.57	11.13	7.4	53.57	81.14	25.54	34.51	32.13	85.22	29.48	15.34	15.68	56.68	19.25	30.56	65.72	15.0	35.5	18.29	70.01	62.56	11.3	10.55	46.5	78.34	25.54	28.45	25.54	32.13	10.79	58.3	27.64	11.47	31.67	19.68	9.2	32.59	63.89	68.07	79.45	56.68	43.32	54.33	42.41	15.0	36.27	22.43	38.95	15.45	53.19	50.27	12.93	50.27	15.68	47.5	59.55	20.86	52.82	14.35	15.34	90.14	14.35	71.0	27.64	68.07	7.11	15.45	56.28	14.78	15.56	14.56	11.38	14.14	78.89	92.7	74.58	23.08	20.26	58.3	9.34	37.59	36.79	23.59	41.81	39.5	16.88	53.95	96.68	15.34
SNAPC4	50.27	72.52	102.97	0.0	0.64	18.56	86.43	82.29	84.04	98.04	204.07	197.09	138.1	190.34	108.14	236.21	165.57	127.89	143.01	208.38	120.1	143.01	279.14	147.06	128.79	142.01	242.88	191.67	88.26	105.89	195.72	201.25	165.57	176.29	112.77	173.85	119.26	178.77	172.65	126.12	125.24	144.01	102.25	182.55	237.86	241.19	232.94	246.28	156.59	172.65	129.69	137.14	156.59	164.42	186.4	114.36	172.65	177.53	109.66	191.67	133.36	186.4	197.09	150.17	170.25	105.89	109.66	176.29	123.5	197.09	118.43	186.4	120.94	164.42	165.57	148.09	96.68	113.56	121.79	141.02	208.38	234.57	231.32	122.64	171.45	211.31	148.09	180.02	181.28	122.64	148.09	152.28	122.64	180.02	353.59	111.99
SPAG8	3.86	0.0	8.13	0.0	0.06	10.63	81.71	80.01	35.5	92.05	265.87	285.03	131.51	246.28	161.02	392.44	152.28	93.35	120.94	299.25	63.89	194.36	327.56	98.73	177.53	152.28	277.2	271.48	106.63	87.03	129.69	343.89	105.15	187.71	69.52	156.59	70.01	204.07	125.24	82.29	119.26	136.19	47.84	258.57	248.0	327.56	295.11	202.66	220.32	275.28	152.28	73.54	189.02	127.0	229.72	96.01	397.93	246.28	110.43	358.54	75.11	269.6	214.27	156.59	262.2	99.43	82.87	384.34	59.13	329.84	158.79	397.93	94.01	90.77	224.97	91.41	50.98	122.64	53.19	102.25	395.18	351.14	447.82	106.63	163.28	376.41	88.26	208.38	253.23	151.22	325.29	176.29	115.16	242.88	260.38	72.52
ST7-OT4	0.54	0.0	2.25	0.0	0.25	2.12	15.8	12.74	0.0	14.56	39.5	44.89	23.93	31.67	31.0	24.99	37.85	15.45	13.62	52.82	12.64	38.4	33.78	30.78	33.06	15.0	52.45	57.49	9.93	14.24	21.47	68.55	16.03	58.3	19.82	32.36	10.88	29.27	27.64	14.14	15.34	17.38	10.79	15.68	56.68	38.12	44.25	80.01	53.19	48.52	18.56	12.09	27.84	25.54	39.5	10.31	57.89	44.89	23.76	20.11	17.51	47.84	42.11	19.68	45.85	8.71	15.56	38.67	10.16	58.71	29.27	24.46	33.78	11.82	48.18	11.21	8.38	13.32	2.39	20.56	40.64	47.84	57.49	7.0	22.1	35.76	8.38	25.35	25.91	18.43	29.48	48.18	20.56	48.52	36.79	11.55
TBC1D17	591.22	748.61	595.34	0.0	0.52	211.31	909.17	915.51	941.27	981.29	1674.06	1639.59	1191.69	1183.45	884.29	1561.89	1437.15	1151.06	1551.09	1277.29	1159.07	1359.57	1757.34	1143.1	1135.2	1457.23	2018.8	1081.39	1350.18	1175.27	1191.69	1487.87	1447.15	1909.85	1199.98	1639.59	1191.69	1233.75	1359.57	1073.91	1487.87	1304.15	981.29	1605.83	1639.59	1457.23	1519.15	2075.59	1721.16	1313.23	1477.58	1199.98	1331.57	1397.83	1331.57	1135.2	1540.37	1242.34	1023.0	1628.26	1369.04	1583.71	1313.23	1331.57	1529.73	1051.79	1487.87	1639.59	1073.91	1487.87	1331.57	1467.37	1427.22	1313.23	1551.09	1250.98	981.29	1340.84	1487.87	1437.15	1617.0	1467.37	1519.15	1477.58	1259.69	1551.09	1208.34	1870.53	1407.55	1340.84	1508.65	1111.82	1313.23	1135.2	2061.24	902.89
TCF3	473.41	457.25	514.56	1628.26	5041.77	470.14	540.19	603.67	651.58	563.18	928.3	1359.57	616.37	1119.56	1073.91	1561.89	759.08	825.0	733.19	1183.45	684.02	854.13	928.3	591.22	995.0	1936.53	1417.35	1183.45	511.0	713.11	921.88	1127.35	947.83	764.36	551.56	708.18	571.05	1135.2	836.53	902.89	674.59	665.29	656.11	934.76	1322.37	988.12	1331.57	1051.79	1127.35	1037.29	854.13	684.02	1096.5	836.53	1159.07	679.29	1151.06	775.05	587.13	1233.75	848.22	1104.13	1651.0	743.43	1175.27	813.63	802.41	854.13	708.18	1088.92	878.17	848.22	775.05	764.36	802.41	698.41	612.11	854.13	718.08	674.59	947.83	1030.12	1397.83	791.35	1135.2	848.22	660.68	808.0	802.41	1088.92	1216.75	1135.2	540.19	1208.34	1216.75	718.08
TEKT2	0.0	0.0	7.22	0.0	0.0	0.92	18.03	12.74	4.46	25.72	108.14	195.72	118.43	144.01	132.44	400.71	107.38	41.81	69.03	226.54	28.24	92.05	348.71	21.47	87.65	75.11	343.89	132.44	74.58	43.32	78.34	172.65	121.79	84.63	47.5	41.81	46.18	116.78	63.45	53.19	35.5	72.01	6.73	153.34	161.02	291.04	150.17	228.13	202.66	269.6	141.02	108.14	108.14	45.21	151.22	49.91	237.86	325.29	27.25	258.57	54.72	208.38	108.9	87.65	137.14	24.63	60.82	444.72	50.63	224.97	127.89	379.04	66.65	35.0	241.19	33.54	31.0	41.52	45.53	32.82	373.81	164.42	329.84	88.88	68.07	438.59	94.01	212.78	191.67	68.55	277.2	62.56	58.3	137.14	223.41	32.36
TEKT3	12.0	0.0	5.19	0.0	0.01	3.63	14.89	11.04	15.11	6.57	37.05	66.65	27.84	29.48	78.34	38.12	18.7	18.03	10.39	94.01	61.68	50.98	33.78	11.82	32.36	65.26	63.45	40.93	6.62	29.48	26.1	32.82	29.06	23.08	10.71	7.28	20.86	19.68	40.64	17.51	14.03	10.71	33.54	58.3	90.77	45.85	25.54	63.45	53.57	70.01	29.06	16.39	50.27	10.79	67.59	7.34	53.57	26.67	8.32	75.64	31.22	43.02	47.84	22.26	39.5	20.26	34.26	54.72	24.63	41.81	21.78	91.41	4.7	3.5	85.22	39.22	12.18	31.9	31.9	16.27	84.04	32.59	53.57	21.63	23.93	84.63	50.98	18.56	26.47	11.13	64.8	44.89	67.12	57.49	51.71	17.0
TG	4.98	13.12	11.73	0.0	0.64	6.01	736332.6	822695.06	711250.37	834179.46	938500.81	1282030.25	1364554.84	1264380.15	2068278.89	828417.36	1452391.55	2247670.86	2126426.15	762299.34	1327240.99	1751305.3	1273174.62	1503610.06	2375828.71	2111737.85	569761.05	1611529.43	1204496.53	1611529.43	1299926.74	1622738.51	1493223.86	1739208.14	1634025.56	1838374.44	1997825.68	1535204.12	1984025.69	1336472.68	1273174.62	1997825.68	1290947.48	1085552.95	1984025.69	894051.48	1355129.16	839981.65	2986448.72	1567462.05	2025714.3	1318073.06	2425749.94	1402917.72	1318073.06	1929772.37	906531.99	1299926.74	762299.34	1034138.94	1943195.01	1048575.0	1622738.51	1727194.55	1589343.01	1355129.16	2636147.11	1063212.58	2263304.65	1229805.58	1775752.63	925580.18	2111737.85	1108362.75	1691649.38	1238359.56	1668359.93	1800541.22	3178687.03	3886391.01	875652.15	558035.51	789181.81	1645391.11	1622738.51	659036.03	2263304.65	1282030.25	1535204.12	2672946.37	1864037.21	1634025.56	1402917.72	1482909.4	197294.7	1026995.62
THBS3	236.21	44.89	104.42	0.0	0.93	124.37	253.23	309.83	124.37	204.07	1030.12	915.51	500.46	1059.11	490.14	902.89	571.05	466.88	607.87	915.51	426.57	579.04	915.51	518.15	587.13	595.34	1066.48	703.28	400.71	555.41	579.04	961.07	563.18	521.76	318.57	486.75	325.29	791.35	698.41	483.38	612.11	503.95	316.37	718.08	1051.79	915.51	909.17	1044.52	1051.79	1111.82	567.1	327.56	723.08	518.15	848.22	316.37	819.3	941.27	358.54	967.76	624.99	1119.56	860.08	514.56	808.0	265.87	521.76	884.29	363.56	981.29	423.61	1313.23	486.75	361.04	785.88	400.71	273.37	480.04	420.68	379.04	872.1	1378.57	1757.34	348.71	633.73	1119.56	403.5	884.29	802.41	607.87	909.17	540.19	395.18	738.29	1051.79	346.29
TLE2	579.04	395.18	129.69	0.0	0.97	8.92	1561.89	1111.82	934.76	1175.27	2895.31	2976.74	1685.71	1519.15	1963.57	2627.46	1883.54	1662.49	1794.29	3190.46	1781.89	2047.0	2520.38	1111.82	1561.89	2956.17	2287.2	3467.27	1167.14	1216.75	2335.28	2645.74	2319.15	2104.58	1331.57	1936.53	1551.09	2193.99	1977.24	1561.89	1233.75	1617.0	1437.15	2104.58	2976.74	3190.46	2417.67	3303.0	2417.67	2502.97	2224.63	1628.26	2209.26	1477.58	2075.59	1477.58	2148.82	2895.31	1104.13	2224.63	1896.65	2739.08	2976.74	1498.22	2502.97	2163.77	1896.65	1529.73	1477.58	3372.43	2047.0	1923.14	1427.22	1639.59	1883.54	1963.57	1397.83	2485.67	1757.34	1001.93	2351.53	2956.17	2664.15	1605.83	1651.0	2573.36	1617.0	2255.7	2303.12	2573.36	2758.13	2271.4	1819.35	3280.18	2997.45	1594.73
TMUB2	500.46	414.87	595.34	0.0	0.64	679.29	896.64	825.0	836.53	708.18	1225.22	1208.34	967.76	1250.98	915.51	1277.29	1119.56	1096.5	1127.35	1208.34	954.43	1167.14	1259.69	1277.29	748.61	909.17	1519.15	902.89	872.1	1081.39	1119.56	1304.15	1151.06	1225.22	1001.93	988.12	909.17	1015.93	1088.92	967.76	995.0	1111.82	819.3	1216.75	1498.22	1628.26	1417.35	1685.71	1467.37	1015.93	1059.11	981.29	1151.06	1304.15	1304.15	909.17	1111.82	1322.37	775.05	1508.65	1119.56	1340.84	1259.69	1008.9	1119.56	890.44	1088.92	1359.57	1059.11	1467.37	1183.45	1259.69	921.88	896.64	1191.69	1111.82	1037.29	884.29	1044.52	1073.91	1304.15	1388.16	1167.14	1242.34	1183.45	1350.18	909.17	1417.35	1388.16	1081.39	1407.55	995.0	934.76	1167.14	1639.59	842.36
TNK2	199.85	248.0	181.28	0.0	1.06	130.6	228.13	264.03	189.02	253.23	902.89	995.0	460.44	500.46	587.13	1216.75	454.09	253.23	379.04	830.75	379.04	591.22	842.36	423.61	473.41	327.56	791.35	599.49	205.5	251.48	567.1	890.44	466.88	543.96	341.51	444.72	291.04	660.68	587.13	289.02	521.76	318.57	271.48	748.61	981.29	1008.9	1151.06	884.29	656.11	954.43	599.49	327.56	591.22	379.04	830.75	289.02	974.5	890.44	242.88	616.37	392.44	738.29	848.22	244.57	603.67	334.46	346.29	529.06	435.55	974.5	490.14	591.22	348.71	397.93	373.81	309.83	264.03	353.59	249.73	253.23	1008.9	884.29	1030.12	358.54	669.92	915.51	297.17	575.03	587.13	713.11	759.08	796.86	361.04	743.43	848.22	273.37
