	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	TCGA.AA.3489.11A.01R.1839.07	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.ZYW4.1626.SM.5GIE6	GTEX.13OVL.2726.SM.5J2MP	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.ZYFC.1726.SM.5GZYX	GTEX.QEL4.1526.SM.447AB	GTEX.13G51.1026.SM.5K7YQ	GTEX.ZYW4.1426.SM.5SIAX	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.146FQ.1126.SM.5NQBM	GTEX.ZYVF.2326.SM.5E44Z	GTEX.P78B.1126.SM.3P615	GTEX.ZAB4.1226.SM.5CVN5	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.XQ8I.1626.SM.4BOOI	GTEX.145MH.1226.SM.5RQJT	GTEX.ZYT6.1226.SM.5E44Q	GTEX.148VJ.1126.SM.5NQBZ	GTEX.RWSA.1326.SM.47JX9	GTEX.ZA64.0526.SM.5HL9I	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.WK11.2626.SM.4OOSK	GTEX.11EQ9.1726.SM.5HL6U	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.A453.01A.11R.A24K.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.13X6H.1626.SM.5Q5CT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.OIZH.1526.SM.3NB1J	GTEX.R55D.1526.SM.48FEJ
THEM4	102.97	229.72	209.84	220.32	201.25	246.28	232.94	248.0	291.04	265.87	289.02	356.05	224.97	265.87	211.31	291.04	426.57	351.14	603.67	551.56	336.79	536.45	366.09	679.29	447.82	616.37	366.09	234.57	551.56	379.04	500.46	403.5	559.28	525.39	409.15	384.34	547.75	432.53	281.09	183.82	156.59	190.34	237.86	249.73	183.82	189.02	265.87	244.57	242.88	406.31	246.28	228.13	164.42	171.45	92.05	115.16	123.5	221.86	277.2
TIA1	429.54	503.95	624.99	559.28	480.04	514.56	890.44	848.22	1151.06	941.27	1191.69	728.11	1447.15	1519.15	909.17	1477.58	1721.16	1437.15	2609.3	1757.34	967.76	1529.73	1963.57	2004.85	1407.55	1963.57	1651.0	791.35	1909.85	1950.0	2485.67	1233.75	2148.82	1757.34	1794.29	1225.22	1447.15	1519.15	1617.0	435.55	529.06	518.15	361.04	395.18	426.57	414.87	1104.13	1313.23	872.1	967.76	708.18	915.51	269.6	1030.12	267.73	249.73	346.29	825.0	1417.35
TIAF1	130.6	87.65	101.54	110.43	108.9	105.15	176.29	170.25	162.14	285.03	82.87	217.27	125.24	159.9	145.02	279.14	366.09	603.67	293.07	642.59	466.88	497.0	403.5	660.68	392.44	466.88	466.88	236.21	329.84	234.57	423.61	486.75	536.45	279.14	466.88	376.41	480.04	305.55	154.42	124.37	105.15	101.54	105.15	139.07	73.03	82.87	84.04	175.07	181.28	169.07	172.65	145.02	77.79	110.43	103.69	58.71	88.26	95.34	132.44
TJAP1	432.53	497.0	575.03	693.58	435.55	698.41	651.58	507.46	890.44	493.56	450.94	1066.48	693.58	819.3	775.05	802.41	1216.75	1023.0	1407.55	1159.07	842.36	967.76	1304.15	1073.91	878.17	1295.13	1030.12	854.13	1008.9	890.44	941.27	988.12	1199.98	1143.1	915.51	764.36	961.07	860.08	848.22	551.56	314.17	536.45	514.56	500.46	457.25	607.87	473.41	647.07	607.87	884.29	842.36	791.35	507.46	693.58	435.55	450.94	555.41	567.1	638.15
TMCO6	100.83	49.91	70.51	112.77	57.89	72.52	181.28	204.07	182.55	193.01	189.02	500.46	312.0	251.48	140.04	334.46	406.31	303.44	543.96	483.38	242.88	348.71	346.29	387.02	476.71	521.76	244.57	182.55	457.25	323.03	426.57	234.57	339.14	325.29	293.07	281.09	265.87	215.77	244.57	127.89	82.29	153.34	152.28	182.55	131.51	106.63	167.9	197.09	171.45	193.01	149.12	204.07	202.66	159.9	117.6	85.22	186.4	136.19	163.28
TMEM86B	79.45	43.63	47.84	50.63	32.59	58.3	82.87	65.26	102.25	66.18	59.55	109.66	36.79	71.5	61.25	137.14	239.52	312.0	301.33	473.41	279.14	185.11	271.48	255.0	181.28	283.05	246.28	88.26	92.05	119.26	183.82	341.51	232.94	327.56	271.48	190.34	334.46	161.02	260.38	86.43	52.08	46.5	50.27	29.27	49.91	33.54	59.97	67.59	107.38	91.41	74.58	96.68	42.41	76.17	35.25	41.52	38.4	64.8	53.57
TRMT10B	132.44	177.53	211.31	218.79	182.55	237.86	201.25	209.84	291.04	190.34	220.32	144.01	231.32	283.05	307.69	334.46	366.09	361.04	476.71	423.61	234.57	316.37	392.44	409.15	341.51	429.54	343.89	234.57	406.31	301.33	426.57	314.17	325.29	412.0	281.09	303.44	297.17	260.38	281.09	189.02	163.28	169.07	208.38	205.5	169.07	150.17	201.25	253.23	193.01	287.01	307.69	236.21	169.07	215.77	127.89	166.73	187.71	228.13	177.53
TRMT2A	647.07	417.77	336.79	500.46	279.14	511.0	825.0	660.68	660.68	616.37	693.58	1417.35	967.76	848.22	723.08	890.44	1662.49	1709.26	1896.65	2148.82	1340.84	1685.71	1467.37	1662.49	1119.56	1498.22	1437.15	713.11	1561.89	1008.9	1191.69	1277.29	1806.78	1127.35	1551.09	1268.46	1037.29	1183.45	1175.27	708.18	595.34	934.76	579.04	718.08	571.05	511.0	660.68	638.15	599.49	651.58	567.1	748.61	400.71	647.07	361.04	387.02	273.37	575.03	642.59
TRMU	218.79	253.23	223.41	206.94	162.14	215.77	476.71	414.87	353.59	417.77	563.18	878.17	503.95	529.06	312.0	575.03	1286.18	896.64	802.41	1008.9	629.35	961.07	915.51	1001.93	928.3	961.07	884.29	249.73	934.76	497.0	848.22	872.1	1015.93	785.88	603.67	563.18	1208.34	842.36	651.58	291.04	220.32	244.57	249.73	246.28	248.0	246.28	444.72	432.53	356.05	384.34	303.44	325.29	183.82	255.0	256.78	127.89	163.28	202.66	353.59
TTC14	256.78	155.5	262.2	199.85	255.0	204.07	460.44	423.61	438.59	486.75	358.54	525.39	555.41	819.3	493.56	854.13	1721.16	1143.1	1963.57	1127.35	620.67	1268.46	1378.57	1508.65	1225.22	1378.57	941.27	476.71	1467.37	842.36	1697.45	1044.52	1417.35	1175.27	915.51	808.0	1088.92	954.43	1008.9	387.02	406.31	387.02	325.29	339.14	224.97	295.11	665.29	567.1	444.72	500.46	450.94	447.82	166.73	547.75	73.03	132.44	181.28	262.2	463.65
TUBGCP6	202.66	204.07	316.37	260.38	289.02	287.01	463.65	384.34	507.46	457.25	281.09	624.99	665.29	738.29	567.1	890.44	1286.18	1088.92	1519.15	1583.71	723.08	1191.69	1605.83	1225.22	995.0	1242.34	1030.12	423.61	1313.23	723.08	1037.29	967.76	1268.46	1073.91	1015.93	830.75	791.35	860.08	890.44	301.33	209.84	318.57	379.04	289.02	289.02	187.71	273.37	371.22	463.65	490.14	414.87	575.03	165.57	323.03	185.11	123.5	169.07	281.09	381.68
TYK2	656.11	718.08	698.41	688.78	547.75	559.28	1331.57	1167.14	1250.98	1745.2	1175.27	2664.15	1583.71	1529.73	934.76	1936.53	2895.31	3303.0	2915.45	4095.0	2609.3	3103.19	2739.08	3515.68	2417.67	3349.13	2997.45	1066.48	2739.08	1819.35	2875.3	3018.3	3589.58	2609.3	2555.58	2520.38	2061.24	2400.97	1963.57	748.61	476.71	825.0	669.92	890.44	854.13	684.02	947.83	1151.06	1159.07	1369.04	1088.92	1104.13	713.11	909.17	713.11	551.56	848.22	813.63	1268.46
TYW5	45.21	38.12	56.28	59.55	61.25	66.65	82.29	94.01	64.34	68.55	115.97	118.43	94.01	110.43	67.59	96.68	111.21	111.99	125.24	94.67	61.25	98.73	84.63	164.42	126.12	132.44	92.05	72.52	150.17	92.05	126.12	124.37	115.97	99.43	98.73	95.34	137.14	114.36	74.58	57.89	67.12	65.26	56.68	74.06	47.84	94.01	124.37	112.77	71.5	61.68	61.25	63.45	42.11	57.49	46.18	36.01	40.64	51.71	61.68
UBAP1L	18.16	38.67	21.78	42.71	21.94	36.53	52.08	40.07	51.35	41.22	25.35	54.72	66.18	82.87	69.52	90.77	140.04	116.78	223.41	141.02	86.43	98.04	127.89	128.79	96.68	169.07	97.36	78.89	91.41	108.14	98.73	149.12	199.85	123.5	90.77	62.12	161.02	120.94	112.77	13.22	12.09	25.72	31.45	11.64	19.97	24.81	40.36	34.02	44.57	43.32	46.5	66.18	18.29	40.36	20.11	26.67	21.16	26.47	50.98
UCP3	15.68	5.77	14.56	24.11	6.62	19.39	38.12	29.48	32.36	31.0	15.56	21.94	26.47	65.72	32.59	37.85	55.1	55.89	83.45	121.79	52.45	60.39	77.79	90.14	56.28	112.77	77.79	30.56	131.51	58.3	60.82	63.45	91.41	82.29	86.43	36.79	84.04	64.34	32.13	7.88	4.24	11.13	18.56	7.0	7.94	11.3	30.78	32.82	37.05	11.64	20.86	15.68	19.39	20.86	32.82	24.11	12.18	34.51	42.41
UGGT2	77.25	229.72	231.32	198.47	234.57	195.72	170.25	187.71	208.38	163.28	236.21	177.53	262.2	514.56	236.21	373.81	532.74	511.0	397.93	444.72	279.14	358.54	351.14	379.04	575.03	395.18	301.33	236.21	420.68	224.97	525.39	264.03	353.59	318.57	320.8	285.03	507.46	409.15	447.82	246.28	260.38	151.22	209.84	231.32	157.68	432.53	275.28	297.17	212.78	218.79	202.66	237.86	217.27	269.6	185.11	142.01	211.31	126.12	162.14
WDR73	239.52	249.73	343.89	351.14	287.01	395.18	397.93	397.93	490.14	356.05	490.14	511.0	447.82	595.34	441.64	575.03	825.0	540.19	967.76	708.18	470.14	575.03	830.75	802.41	718.08	988.12	802.41	397.93	947.83	473.41	616.37	642.59	791.35	679.29	587.13	529.06	470.14	507.46	486.75	356.05	246.28	432.53	332.14	320.8	325.29	332.14	518.15	444.72	429.54	426.57	591.22	476.71	361.04	447.82	285.03	239.52	258.57	400.71	486.75
WDR75	232.94	318.57	426.57	466.88	507.46	348.71	336.79	397.93	237.86	336.79	454.09	759.08	587.13	518.15	353.59	460.44	718.08	547.75	555.41	559.28	339.14	591.22	536.45	551.56	669.92	571.05	470.14	244.57	547.75	392.44	624.99	397.93	483.38	417.77	441.64	389.72	813.63	486.75	403.5	301.33	323.03	256.78	289.02	406.31	299.25	363.56	438.59	447.82	356.05	387.02	256.78	409.15	371.22	343.89	244.57	234.57	265.87	329.84	323.03
WDR90	164.42	205.5	141.02	158.79	169.07	169.07	432.53	336.79	358.54	341.51	301.33	974.5	775.05	536.45	341.51	775.05	1378.57	1096.5	1359.57	1540.37	967.76	890.44	1487.87	1313.23	947.83	1250.98	902.89	275.28	1081.39	500.46	967.76	1073.91	1583.71	860.08	915.51	802.41	974.5	1023.0	718.08	195.72	180.02	231.32	224.97	221.86	180.02	283.05	236.21	297.17	567.1	420.68	301.33	297.17	164.42	293.07	121.79	82.87	100.83	198.47	249.73
ZCCHC8	183.82	226.54	237.86	260.38	175.07	217.27	371.22	339.14	299.25	397.93	299.25	447.82	480.04	486.75	287.01	486.75	718.08	638.15	738.29	796.86	444.72	660.68	563.18	748.61	669.92	647.07	532.74	258.57	733.19	351.14	703.28	432.53	603.67	551.56	503.95	403.5	656.11	486.75	450.94	320.8	273.37	251.48	242.88	318.57	255.0	249.73	332.14	412.0	307.69	277.2	255.0	224.97	239.52	262.2	177.53	187.71	209.84	229.72	373.81
ZFC3H1	182.55	193.01	255.0	253.23	312.0	191.67	397.93	297.17	392.44	379.04	260.38	1733.13	775.05	780.44	483.38	860.08	1088.92	921.88	934.76	1119.56	486.75	825.0	974.5	1216.75	981.29	890.44	981.29	277.2	1023.0	660.68	1073.91	896.64	1051.79	819.3	708.18	647.07	1066.48	1023.0	575.03	214.27	260.38	201.25	202.66	215.77	185.11	193.01	293.07	444.72	358.54	480.04	299.25	392.44	111.21	248.0	143.01	111.21	163.28	202.66	297.17
ZNF182	38.4	68.55	45.85	63.0	29.48	57.49	69.52	71.5	94.01	80.01	74.06	70.01	66.18	98.04	53.95	89.51	113.56	149.12	141.02	186.4	62.56	131.51	111.99	185.11	130.6	172.65	116.78	56.68	170.25	100.13	244.57	103.69	158.79	130.6	125.24	87.03	162.14	139.07	121.79	64.8	69.03	57.89	44.89	63.0	61.25	44.57	80.01	100.83	54.72	75.11	57.89	75.64	28.65	43.94	15.45	19.68	39.5	50.27	52.82
ZNF224	68.55	140.04	113.56	152.28	57.49	132.44	273.37	256.78	275.28	231.32	202.66	281.09	260.38	429.54	177.53	314.17	669.92	320.8	493.56	624.99	232.94	532.74	426.57	493.56	511.0	575.03	307.69	165.57	438.59	297.17	674.59	297.17	591.22	381.68	287.01	329.84	674.59	406.31	460.44	129.69	172.65	144.01	89.51	115.16	127.0	123.5	226.54	406.31	208.38	199.85	172.65	285.03	77.25	141.02	72.52	45.85	87.03	102.25	226.54
ZNF266	154.42	267.73	220.32	226.54	118.43	277.2	423.61	403.5	457.25	457.25	373.81	595.34	599.49	743.43	476.71	529.06	703.28	909.17	1233.75	1259.69	775.05	1427.22	1304.15	1551.09	599.49	559.28	423.61	320.8	1008.9	587.13	1781.89	928.3	616.37	1008.9	728.11	312.0	1277.29	921.88	1199.98	283.05	279.14	285.03	215.77	358.54	260.38	423.61	567.1	536.45	480.04	289.02	435.55	395.18	307.69	406.31	289.02	208.38	138.1	417.77	447.82
ZNF345	38.4	53.19	23.59	57.08	46.84	52.82	59.13	120.1	101.54	71.0	88.88	42.41	67.59	109.66	98.04	120.94	271.48	249.73	224.97	258.57	80.57	231.32	323.03	229.72	289.02	303.44	253.23	47.5	199.85	125.24	309.83	177.53	264.03	258.57	242.88	85.22	348.71	260.38	94.01	52.08	65.72	67.59	37.32	66.18	65.72	68.07	111.21	110.43	70.01	86.43	73.54	102.25	32.36	68.55	9.7	20.86	52.45	41.22	71.0
ZNF354A	198.47	127.89	149.12	220.32	122.64	194.36	197.09	217.27	267.73	204.07	215.77	248.0	255.0	305.55	267.73	239.52	255.0	318.57	297.17	426.57	189.02	400.71	366.09	351.14	269.6	271.48	314.17	194.36	343.89	283.05	329.84	273.37	291.04	301.33	318.57	366.09	299.25	264.03	253.23	108.14	111.21	116.78	157.68	155.5	93.35	119.26	293.07	327.56	152.28	242.88	208.38	226.54	152.28	236.21	161.02	159.9	175.07	186.4	320.8
ZNF493	62.56	43.32	41.22	75.64	39.22	66.65	114.36	103.69	115.97	127.89	90.14	56.68	70.51	173.85	117.6	212.78	480.04	490.14	529.06	651.58	122.64	366.09	629.35	563.18	409.15	684.02	450.94	107.38	842.36	441.64	633.73	497.0	563.18	450.94	318.57	234.57	256.78	435.55	130.6	106.63	74.58	89.51	105.15	96.68	64.34	91.41	149.12	181.28	98.04	136.19	120.1	127.0	43.63	139.07	44.25	22.1	40.36	122.64	246.28
ZNF506	128.79	110.43	139.07	136.19	115.97	142.01	154.42	205.5	176.29	204.07	144.01	101.54	127.0	223.41	197.09	255.0	624.99	379.04	348.71	460.44	199.85	629.35	339.14	441.64	529.06	417.77	406.31	177.53	438.59	172.65	559.28	384.34	490.14	314.17	249.73	226.54	579.04	403.5	305.55	153.34	305.55	124.37	186.4	201.25	173.85	127.89	217.27	218.79	173.85	336.79	256.78	228.13	77.25	151.22	74.06	199.85	191.67	152.28	197.09
ZNF587	53.57	90.77	77.79	102.25	62.56	84.63	224.97	142.01	131.51	193.01	106.63	246.28	183.82	182.55	153.34	283.05	400.71	202.66	441.64	295.11	43.32	379.04	253.23	366.09	303.44	281.09	299.25	123.5	417.77	206.94	429.54	376.41	248.0	329.84	251.48	108.9	299.25	214.27	199.85	102.25	155.5	125.24	121.79	97.36	92.7	75.64	171.45	202.66	158.79	361.04	164.42	163.28	73.54	151.22	82.29	53.95	102.97	155.5	167.9
ZNF667	23.59	47.17	49.21	74.06	39.22	79.45	105.15	74.06	89.51	45.85	41.52	42.41	44.25	111.21	73.54	59.55	46.5	94.01	86.43	187.71	54.33	119.26	152.28	121.79	52.08	159.9	99.43	29.7	157.68	105.15	115.97	94.67	140.04	81.71	107.38	70.51	111.21	128.79	60.39	59.97	55.49	51.71	54.33	76.71	43.02	46.84	54.72	111.21	54.33	38.67	43.32	72.01	30.78	81.14	17.13	29.06	20.71	69.52	56.28
ZNF700	73.03	121.79	78.89	129.69	89.51	88.26	150.17	164.42	129.69	224.97	189.02	166.73	164.42	211.31	104.42	244.57	457.25	291.04	271.48	387.02	176.29	309.83	285.03	376.41	392.44	334.46	277.2	120.1	336.79	183.82	403.5	299.25	318.57	239.52	236.21	177.53	529.06	301.33	249.73	93.35	74.58	86.43	72.01	83.45	78.34	89.51	215.77	251.48	136.19	126.12	87.65	129.69	63.0	66.18	48.18	35.0	63.45	54.33	105.15
