	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.CE.A482.01A.11R.A23W.07	TCGA.EM.A4FV.01A.11R.A250.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.ET.A25K.01A.11R.A16R.07	TCGA.EM.A2CS.01A.11R.A180.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.DJ.A4UP.01A.11R.A250.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.DJ.A3UV.01A.11R.A22L.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.DJ.A3UR.01A.11R.A22L.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39R.01A.11R.A19O.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.ET.A39S.01A.11R.A19O.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.EM.A3AR.01A.12R.A20F.07	TCGA.BJ.A2N8.11A.11R.A18C.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.PX3G.2626.SM.2I3EG	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
FPGS	1175.27	1427.22	1498.22	1870.53	1639.59	1268.46	1369.04	1350.18	1651.0	1477.58	1191.69	1529.73	1457.23	1685.71	1551.09	1322.37	1806.78	1519.15	1457.23	1697.45	1628.26	1268.46	1883.54	1313.23	1561.89	1277.29	2032.85	1651.0	1674.06	1104.13	1651.0	1617.0	1639.59	1304.15	1662.49	1594.73	1233.75	1143.1	1447.15	1572.76	1233.75	961.07	947.83	842.36	995.0	1104.13	1313.23	1030.12	1216.75	1096.5	830.75	1277.29	1104.13	791.35	1583.71	981.29	1216.75	1417.35	842.36	1304.15	1233.75	988.12	1073.91	974.5	1183.45	1159.07	915.51	860.08	1167.14	1008.9	1175.27	1175.27	1081.39	1104.13	1175.27	1135.2	1242.34	1159.07	1135.2	848.22	1135.2	1051.79	1322.37	1183.45	1286.18	1111.82	1277.29	1059.11	1208.34	1073.91	1088.92	1088.92	1081.39	1216.75	1143.1	1143.1	1143.1	995.0	934.76	967.76	1023.0	836.53	842.36
FYN	3325.99	3716.2	2997.45	3614.55	2555.58	3639.7	2682.69	4769.75	4268.94	3060.45	3060.45	4010.71	2758.13	2997.45	3419.52	2468.49	3372.43	4419.52	2739.08	3540.14	3614.55	2400.97	3146.52	2895.31	3955.48	2485.67	2720.15	4639.29	2351.53	2855.44	2645.74	1417.35	2645.74	3639.7	3395.89	3768.09	3491.39	3039.3	2855.44	3257.52	2240.11	1397.83	1407.55	1477.58	890.44	1119.56	1183.45	1119.56	1427.22	1870.53	1594.73	638.15	1059.11	1277.29	595.34	1617.0	1233.75	1111.82	1457.23	884.29	1208.34	1498.22	981.29	1369.04	2796.65	995.0	2400.97	1950.0	1216.75	1037.29	753.83	1340.84	1151.06	1088.92	1540.37	1857.6	1350.18	1340.84	1572.76	713.11	1583.71	1674.06	884.29	1286.18	1498.22	1605.83	1963.57	1437.15	518.15	684.02	860.08	1096.5	1540.37	848.22	733.19	1721.16	1457.23	780.44	1487.87	1477.58	1208.34	1015.93	1709.26
GALNT7	842.36	1447.15	785.88	1216.75	1233.75	1277.29	1111.82	928.3	1639.59	1151.06	884.29	1340.84	988.12	1322.37	684.02	579.04	896.64	688.78	941.27	1183.45	1233.75	995.0	1225.22	890.44	1127.35	679.29	981.29	1427.22	753.83	808.0	493.56	583.07	764.36	1030.12	947.83	1233.75	1104.13	1286.18	679.29	825.0	473.41	271.48	105.15	248.0	164.42	79.45	183.82	136.19	366.09	80.01	234.57	161.02	228.13	176.29	334.46	228.13	148.09	107.38	392.44	198.47	176.29	255.0	226.54	112.77	236.21	129.69	177.53	173.85	87.65	98.04	149.12	183.82	255.0	72.52	77.25	256.78	277.2	132.44	223.41	149.12	244.57	234.57	460.44	121.79	371.22	379.04	78.89	356.05	679.29	124.37	297.17	159.9	277.2	173.85	218.79	244.57	197.09	140.04	102.25	125.24	181.28	217.27	127.0
GLS2	112.77	181.28	279.14	334.46	262.2	299.25	232.94	209.84	165.57	343.89	159.9	195.72	191.67	395.18	199.85	148.09	239.52	189.02	175.07	358.54	241.19	289.02	283.05	114.36	251.48	125.24	291.04	297.17	293.07	130.6	221.86	140.04	297.17	244.57	164.42	221.86	133.36	262.2	242.88	129.69	150.17	92.7	71.0	73.03	51.71	31.9	56.68	91.41	58.3	64.34	66.18	209.84	52.82	31.9	81.71	68.55	52.45	113.56	51.35	139.07	50.27	101.54	72.01	93.35	108.9	76.17	84.04	58.71	62.12	159.9	67.12	61.68	50.98	90.14	38.12	51.35	78.89	83.45	86.43	40.93	101.54	55.89	123.5	89.51	95.34	76.71	57.08	81.71	87.65	62.12	62.12	47.84	212.78	111.99	105.89	66.65	58.71	69.52	74.58	61.68	95.34	55.89	72.52
GPRC5B	1594.73	1617.0	1540.37	2178.83	2018.8	1991.0	3018.3	1199.98	1331.57	2240.11	1407.55	2240.11	1388.16	2018.8	2384.37	1286.18	1709.26	2133.97	1519.15	1697.45	2004.85	1923.14	1674.06	1605.83	2384.37	1015.93	1819.35	2018.8	1923.14	1447.15	1519.15	1457.23	2061.24	2104.58	1519.15	1896.65	2400.97	1304.15	1844.76	1977.24	1322.37	620.67	476.71	698.41	429.54	612.11	381.68	249.73	450.94	532.74	555.41	305.55	470.14	638.15	314.17	567.1	420.68	429.54	688.78	366.09	387.02	567.1	432.53	507.46	603.67	363.56	414.87	669.92	444.72	301.33	400.71	426.57	325.29	262.2	813.63	583.07	511.0	743.43	728.11	748.61	511.0	543.96	432.53	389.72	595.34	336.79	785.88	679.29	759.08	1044.52	457.25	395.18	559.28	301.33	241.19	373.81	890.44	297.17	417.77	759.08	563.18	255.0	470.14
H2AFY	3146.52	3768.09	3564.78	3372.43	3303.0	2895.31	3168.41	3349.13	3039.3	3665.02	3103.19	3901.01	3491.39	3491.39	3168.41	2997.45	3168.41	3257.52	3257.52	3257.52	3515.68	3018.3	3372.43	3303.0	3060.45	2915.45	3235.01	3768.09	3349.13	3212.66	3018.3	3235.01	3540.14	4210.15	3665.02	3325.99	3303.0	3372.43	2816.11	3124.78	2335.28	2104.58	2287.2	1991.0	2573.36	2485.67	2627.46	2335.28	1844.76	2520.38	2004.85	2255.7	1950.0	1697.45	2047.0	1977.24	2303.12	2271.4	2303.12	2682.69	2468.49	2193.99	2682.69	1733.13	2148.82	1963.57	2178.83	2178.83	2520.38	1963.57	2758.13	2895.31	1883.54	1721.16	2193.99	1781.89	2720.15	2319.15	2935.74	2855.44	1674.06	2627.46	2075.59	2816.11	2384.37	1936.53	2417.67	2417.67	2609.3	2682.69	2816.11	2133.97	1806.78	2591.27	2591.27	2682.69	1844.76	1991.0	2061.24	2255.7	2075.59	2032.85	1896.65
HECTD3	941.27	1191.69	954.43	1023.0	981.29	872.1	1037.29	947.83	1015.93	1268.46	884.29	1051.79	1111.82	1111.82	1111.82	995.0	974.5	941.27	872.1	947.83	947.83	825.0	1111.82	1096.5	825.0	941.27	1216.75	1277.29	1037.29	961.07	1008.9	1151.06	921.88	1143.1	1096.5	884.29	915.51	1127.35	808.0	934.76	743.43	669.92	540.19	457.25	511.0	808.0	902.89	547.75	703.28	967.76	358.54	684.02	500.46	397.93	748.61	503.95	928.3	733.19	579.04	620.67	780.44	684.02	785.88	624.99	830.75	497.0	490.14	679.29	555.41	595.34	759.08	579.04	684.02	444.72	860.08	571.05	665.29	775.05	603.67	633.73	684.02	718.08	808.0	708.18	764.36	616.37	684.02	651.58	629.35	674.59	872.1	769.69	698.41	698.41	612.11	638.15	759.08	718.08	583.07	616.37	733.19	497.0	514.56
HEY2	384.34	759.08	361.04	555.41	432.53	476.71	624.99	497.0	571.05	466.88	255.0	514.56	457.25	392.44	463.65	234.57	228.13	500.46	256.78	426.57	444.72	381.68	423.61	325.29	532.74	198.47	543.96	503.95	265.87	358.54	320.8	351.14	373.81	197.09	429.54	353.59	543.96	358.54	387.02	397.93	220.32	73.03	58.71	45.53	27.64	22.1	82.29	45.53	66.65	42.71	63.45	55.89	152.28	54.72	57.89	126.12	51.35	53.95	77.25	76.71	62.12	47.5	74.06	44.89	101.54	35.0	61.25	104.42	40.64	27.44	65.26	81.71	61.68	38.67	64.8	60.82	43.02	40.93	90.77	34.26	100.13	146.03	81.71	19.97	68.55	111.99	71.5	81.14	70.51	44.57	28.24	59.97	48.87	29.48	70.51	9.7	28.65	153.34	24.28	26.1	44.89	36.53	79.45
ICAM5	175.07	642.59	483.38	571.05	283.05	387.02	320.8	836.53	476.71	164.42	332.14	753.83	269.6	423.61	813.63	126.12	454.09	603.67	295.11	376.41	483.38	389.72	713.11	190.34	642.59	122.64	555.41	486.75	373.81	149.12	159.9	198.47	320.8	137.14	351.14	497.0	412.0	262.2	599.49	363.56	113.56	33.06	1.77	15.11	0.21	15.34	2.46	4.62	3.06	8.85	4.43	3.03	11.3	43.32	1.31	20.11	10.0	19.39	15.11	4.17	9.78	29.06	10.63	37.59	51.71	61.68	7.94	13.03	2.66	102.97	10.63	19.82	23.42	39.22	11.55	63.45	21.16	11.04	162.14	2.03	10.39	46.18	212.78	10.39	28.45	15.11	13.32	16.15	1.5	1.57	5.19	3.99	14.35	2.71	0.6	5.06	10.88	35.25	11.04	358.54	4.21	20.56	13.42
IL1RAP	283.05	529.06	178.77	457.25	351.14	447.82	366.09	400.71	379.04	221.86	293.07	218.79	76.71	281.09	157.68	136.19	291.04	277.2	214.27	182.55	273.37	435.55	132.44	368.65	423.61	249.73	215.77	842.36	214.27	384.34	127.0	85.22	256.78	137.14	320.8	281.09	246.28	132.44	228.13	297.17	185.11	55.1	18.97	50.98	26.67	54.33	42.41	47.17	39.5	25.72	69.52	16.27	64.34	100.83	53.19	21.47	17.38	14.67	94.67	27.84	23.25	38.95	33.78	19.82	61.68	97.36	114.36	30.12	49.21	41.22	41.52	45.21	69.03	38.12	21.47	37.32	36.27	45.85	52.45	19.68	60.82	55.1	25.54	23.42	61.68	56.28	71.5	108.14	39.79	19.25	24.28	21.78	81.14	18.97	32.59	30.78	20.71	22.26	41.22	136.19	22.43	23.76	23.93
KAL1	281.09	414.87	336.79	441.64	348.71	387.02	373.81	507.46	483.38	387.02	262.2	217.27	212.78	483.38	325.29	309.83	392.44	269.6	454.09	341.51	460.44	348.71	251.48	275.28	406.31	368.65	182.55	514.56	395.18	312.0	316.37	214.27	368.65	441.64	414.87	397.93	281.09	269.6	346.29	307.69	199.85	202.66	193.01	303.44	183.82	312.0	232.94	246.28	116.78	231.32	291.04	262.2	154.42	237.86	231.32	218.79	84.04	80.57	260.38	236.21	251.48	438.59	185.11	169.07	165.57	195.72	212.78	218.79	181.28	285.03	152.28	212.78	199.85	186.4	236.21	162.14	285.03	190.34	223.41	220.32	265.87	358.54	269.6	202.66	327.56	295.11	102.25	392.44	366.09	291.04	409.15	198.47	167.9	217.27	173.85	186.4	170.25	130.6	156.59	277.2	249.73	190.34	190.34
KIAA0408	220.32	587.13	275.28	348.71	303.44	525.39	183.82	242.88	169.07	269.6	305.55	693.58	412.0	223.41	197.09	127.0	363.56	264.03	180.02	334.46	348.71	201.25	283.05	183.82	688.78	56.68	599.49	423.61	255.0	258.57	110.43	167.9	146.03	269.6	185.11	389.72	283.05	432.53	148.09	170.25	141.02	25.35	5.92	16.15	5.41	6.21	10.63	64.34	12.55	0.14	18.56	1.93	5.28	35.0	59.13	53.19	17.13	12.27	26.47	5.45	7.88	11.21	21.01	86.43	59.97	21.47	31.22	19.53	0.99	25.17	6.62	10.71	5.54	20.11	1.22	19.39	14.67	9.27	14.89	3.29	35.76	0.6	58.71	22.75	31.9	27.64	11.38	21.16	35.0	0.0	14.67	25.91	197.09	8.0	27.25	3.23	89.51	4.5	31.22	51.71	37.85	12.74	8.78
KIAA2013	1806.78	1662.49	1832.01	2178.83	2209.26	1674.06	2193.99	2090.03	2032.85	2400.97	1540.37	2061.24	1923.14	2163.77	2351.53	1508.65	1639.59	2047.0	1697.45	1639.59	2287.2	1551.09	2573.36	1417.35	1936.53	1388.16	2209.26	1950.0	2240.11	2018.8	1909.85	1594.73	2163.77	1883.54	1909.85	1870.53	2018.8	1286.18	2133.97	1685.71	1295.13	1001.93	928.3	1096.5	785.88	988.12	928.3	1286.18	769.69	854.13	1268.46	1073.91	967.76	819.3	660.68	1059.11	819.3	1127.35	902.89	836.53	974.5	1104.13	1066.48	1208.34	1322.37	866.07	1268.46	1096.5	1073.91	1183.45	825.0	1104.13	961.07	890.44	1015.93	830.75	988.12	1073.91	1119.56	1088.92	967.76	890.44	896.64	866.07	860.08	1015.93	1015.93	808.0	743.43	1135.2	1081.39	796.86	813.63	866.07	785.88	769.69	708.18	941.27	1059.11	1208.34	1151.06	1250.98	1119.56
KL	61.25	66.18	50.63	68.07	119.26	120.1	110.43	110.43	87.03	106.63	68.55	145.02	75.11	229.72	128.79	48.52	87.03	86.43	80.01	93.35	121.79	126.12	80.01	59.55	215.77	47.17	73.54	99.43	73.54	119.26	38.67	46.84	121.79	130.6	52.82	133.36	85.82	91.41	100.83	93.35	50.27	44.57	21.16	22.59	16.15	18.43	7.28	10.39	9.93	62.56	23.59	2.05	32.82	9.56	19.53	23.93	12.74	21.63	40.64	25.17	3.53	24.11	13.93	26.67	30.12	6.73	28.86	36.01	11.38	20.71	7.94	9.63	18.97	12.64	18.84	27.84	25.17	34.75	34.51	13.93	11.73	31.45	18.43	25.72	17.51	22.75	17.51	38.12	19.39	7.51	15.34	12.27	42.71	28.24	21.16	15.56	6.73	19.82	8.85	44.57	26.1	34.02	21.16
LAMB3	2240.11	1519.15	587.13	872.1	1167.14	723.08	981.29	1605.83	2004.85	204.07	2148.82	1111.82	56.68	260.38	1322.37	336.79	743.43	872.1	665.29	1216.75	228.13	995.0	825.0	1088.92	1477.58	902.89	1697.45	860.08	947.83	141.02	214.27	182.55	1088.92	1359.57	733.19	551.56	1322.37	193.01	1119.56	1322.37	688.78	27.64	6.89	40.07	1.79	92.7	65.72	18.97	7.69	105.89	20.86	68.55	41.22	30.12	7.46	42.11	44.25	12.36	23.93	17.77	34.26	47.5	20.56	26.1	195.72	37.59	23.42	33.3	18.16	318.57	61.25	25.54	15.34	36.27	248.0	14.78	8.78	41.22	76.71	11.47	5.68	36.27	136.19	126.12	52.08	8.99	18.16	66.18	4.66	8.19	7.06	70.51	21.47	4.43	19.39	10.31	30.34	131.51	13.52	265.87	25.91	57.49	7.22
LASP1	2075.59	1832.01	1794.29	2075.59	1977.24	1896.65	2133.97	2417.67	2119.22	1936.53	1721.16	2240.11	1498.22	2645.74	1991.0	1769.57	2018.8	1991.0	1923.14	1883.54	2018.8	1819.35	2032.85	1697.45	2104.58	1806.78	1909.85	2609.3	2303.12	1709.26	1950.0	1594.73	2224.63	1617.0	2119.22	2178.83	2701.35	2018.8	1857.6	1936.53	1561.89	1151.06	1313.23	1313.23	941.27	1191.69	1135.2	1001.93	669.92	1498.22	1023.0	1242.34	1340.84	525.39	842.36	836.53	1119.56	1183.45	1008.9	1051.79	967.76	1572.76	1111.82	1111.82	981.29	674.59	1286.18	1733.13	890.44	1081.39	890.44	995.0	884.29	808.0	1127.35	1191.69	915.51	1561.89	1487.87	1167.14	1030.12	988.12	941.27	902.89	1023.0	995.0	1617.0	1378.57	902.89	902.89	890.44	1008.9	1127.35	915.51	1001.93	890.44	896.64	713.11	1268.46	1119.56	860.08	1183.45	947.83
LGALS3	16496.96	17681.08	10084.54	13306.94	11909.94	11992.79	8598.28	13586.57	12329.98	13872.08	10512.82	12160.22	11664.82	4972.34	11035.54	7537.18	9808.75	11745.96	9740.98	14561.8	10440.2	13776.25	13215.02	8598.28	10808.41	6652.97	15180.22	9474.59	9409.14	6337.83	8778.97	3955.48	11189.6	14361.31	9540.5	12589.08	16269.83	8421.31	14765.09	11909.94	6699.25	1313.23	493.56	2417.67	1119.56	928.3	403.5	728.11	595.34	738.29	2061.24	194.36	2956.17	1487.87	866.07	1225.22	2047.0	2148.82	785.88	713.11	808.0	1015.93	947.83	2997.45	1167.14	3515.68	2303.12	791.35	551.56	4543.8	2240.11	1417.35	693.58	2047.0	967.76	3419.52	1059.11	1467.37	2090.03	928.3	1286.18	323.03	2193.99	2319.15	2400.97	808.0	1331.57	2609.3	117.6	842.36	336.79	679.29	2178.83	1844.76	1023.0	703.28	1909.85	1883.54	1651.0	8778.97	1111.82	1806.78	412.0
LIPH	529.06	884.29	483.38	480.04	642.59	743.43	591.22	718.08	503.95	540.19	447.82	808.0	460.44	348.71	503.95	318.57	379.04	518.15	473.41	723.08	934.76	791.35	791.35	327.56	571.05	281.09	728.11	616.37	392.44	220.32	293.07	255.0	426.57	381.68	400.71	633.73	1088.92	529.06	607.87	591.22	157.68	26.1	17.64	2.61	2.18	0.0	0.39	1.08	0.04	77.79	0.69	9.85	7.4	3.69	3.23	2.89	0.4	15.45	58.71	2.07	2.53	0.07	9.41	5.82	5.82	2.89	7.75	1.68	0.0	7.94	4.39	1.25	1.46	1.16	23.42	0.67	5.06	2.56	253.23	0.0	0.06	0.0	65.26	0.79	3.92	9.06	9.27	4.13	10.39	2.32	2.86	3.11	16.03	36.53	17.0	0.0	8.45	4.03	2.27	40.93	1.93	0.0	2.94
LSR	2816.11	3103.19	2351.53	2855.44	2224.63	1950.0	2287.2	2956.17	2627.46	2209.26	2682.69	2573.36	1697.45	2573.36	2758.13	1950.0	2796.65	2271.4	1819.35	2090.03	2720.15	2287.2	2468.49	2351.53	2485.67	2796.65	2875.3	2796.65	2835.7	2335.28	2032.85	1733.13	2682.69	2417.67	2935.74	2209.26	2664.15	1844.76	3060.45	2835.7	1883.54	1295.13	1407.55	1487.87	1295.13	2104.58	1757.34	1605.83	1304.15	915.51	1331.57	2004.85	928.3	1191.69	1295.13	743.43	1167.14	1594.73	1397.83	2255.7	1733.13	1437.15	1551.09	1322.37	1350.18	1388.16	1066.48	1540.37	1781.89	1651.0	1757.34	2090.03	1135.2	1286.18	2193.99	1066.48	2004.85	1183.45	2119.22	1896.65	1250.98	1697.45	1561.89	2047.0	2075.59	1277.29	1242.34	1662.49	1721.16	2351.53	1896.65	1104.13	1081.39	1832.01	1417.35	1477.58	1561.89	1199.98	1498.22	1561.89	1191.69	1605.83	780.44
MAGEF1	1794.29	1697.45	1662.49	1769.57	1769.57	1540.37	1733.13	1605.83	1594.73	1617.0	1407.55	1709.26	1674.06	1757.34	1378.57	1191.69	1467.37	1757.34	1844.76	1508.65	1963.57	1427.22	1508.65	1519.15	1651.0	1151.06	1407.55	2047.0	1674.06	1721.16	1331.57	1467.37	1977.24	1651.0	1639.59	1583.71	1844.76	1605.83	1369.04	1674.06	1359.57	1167.14	1295.13	1340.84	1295.13	1081.39	1216.75	1304.15	921.88	915.51	1331.57	954.43	1159.07	848.22	947.83	981.29	830.75	1199.98	1322.37	1250.98	1286.18	1277.29	1331.57	974.5	1127.35	825.0	854.13	1313.23	1529.73	1023.0	1167.14	1242.34	1151.06	1044.52	896.64	848.22	1331.57	1059.11	1519.15	1519.15	854.13	1369.04	1008.9	1199.98	1208.34	915.51	1059.11	1111.82	1304.15	1259.69	1216.75	1111.82	769.69	1143.1	1225.22	1277.29	928.3	1066.48	1225.22	1051.79	1159.07	1151.06	1250.98
MAML3	94.01	126.12	138.1	115.16	149.12	148.09	193.01	138.1	150.17	129.69	86.43	217.27	152.28	264.03	223.41	115.97	201.25	128.79	108.14	153.34	163.28	152.28	135.24	104.42	185.11	145.02	170.25	183.82	158.79	151.22	110.43	128.79	158.79	125.24	105.89	201.25	151.22	172.65	111.21	106.63	79.45	124.37	83.45	128.79	65.72	46.18	61.68	76.71	82.87	95.34	83.45	76.71	90.77	23.08	71.0	113.56	90.77	114.36	76.17	91.41	74.58	94.01	92.05	111.99	106.63	96.68	110.43	109.66	77.79	82.29	73.03	76.17	76.71	101.54	57.89	87.65	88.88	148.09	81.71	45.85	113.56	57.49	98.04	94.67	92.05	90.14	95.34	118.43	67.12	55.89	56.28	95.34	93.35	81.71	110.43	89.51	95.34	81.71	52.82	44.25	95.34	81.71	125.24
MMS19	890.44	1159.07	1295.13	1331.57	1143.1	1216.75	1250.98	1030.12	1313.23	1313.23	988.12	1191.69	1340.84	1388.16	1225.22	1096.5	1225.22	1127.35	1081.39	1437.15	1111.82	1044.52	1242.34	974.5	1119.56	1015.93	1388.16	1457.23	1388.16	941.27	1135.2	1037.29	1286.18	1225.22	1175.27	1143.1	947.83	1350.18	1167.14	1104.13	1104.13	890.44	753.83	620.67	802.41	743.43	1073.91	723.08	854.13	967.76	780.44	738.29	848.22	532.74	954.43	1073.91	878.17	884.29	819.3	830.75	802.41	825.0	884.29	934.76	1183.45	842.36	860.08	703.28	775.05	872.1	928.3	620.67	934.76	753.83	902.89	981.29	808.0	974.5	764.36	848.22	848.22	769.69	1030.12	796.86	921.88	896.64	928.3	728.11	808.0	764.36	890.44	974.5	1073.91	954.43	718.08	854.13	1159.07	934.76	909.17	902.89	1096.5	733.19	836.53
MPRIP	4937.99	4450.27	2835.7	4671.57	4268.94	3742.05	4152.18	4937.99	3103.19	4450.27	5006.93	3589.58	4328.55	4298.64	3847.29	3190.46	3540.14	4298.64	4152.18	3955.48	4419.52	3081.75	4972.34	3419.52	4210.15	3847.29	4388.98	4268.94	3443.31	3419.52	2739.08	3467.27	3395.89	3564.78	3901.01	4481.23	3639.7	4575.41	4769.75	3716.2	2796.65	2335.28	3018.3	1757.34	2895.31	2591.27	3665.02	2796.65	2758.13	1963.57	2367.9	3768.09	3303.0	3103.19	2796.65	2720.15	3443.31	2739.08	2148.82	3190.46	2875.3	2351.53	2645.74	2855.44	2148.82	2739.08	3168.41	2591.27	2287.2	1977.24	2451.44	2468.49	2875.3	3168.41	4328.55	2609.3	2758.13	2434.5	3540.14	4038.61	2178.83	2777.33	2451.44	2061.24	2485.67	2485.67	2468.49	2835.7	3060.45	3325.99	2573.36	2855.44	3349.13	2573.36	2468.49	2682.69	3395.89	2367.9	2835.7	3325.99	2255.7	1936.53	3280.18
MPZL2	6792.79	11664.82	4769.75	7081.29	5751.61	5872.48	8778.97	5791.62	3820.7	5517.27	6164.49	4903.87	4010.71	4671.57	5555.65	3467.27	5366.37	4481.23	4836.35	5403.7	7331.05	6337.83	4972.34	6745.86	7230.1	4481.23	6935.54	6079.61	3928.15	4512.4	3146.52	2777.33	4038.61	5913.33	5831.91	6607.01	7433.4	3372.43	6381.92	4239.45	3820.7	1081.39	417.77	802.41	490.14	819.3	559.28	595.34	954.43	2855.44	1242.34	2895.31	1883.54	1143.1	633.73	466.88	1870.53	813.63	1088.92	387.02	514.56	981.29	961.07	287.01	759.08	1757.34	1540.37	660.68	684.02	764.36	708.18	624.99	1127.35	1583.71	928.3	764.36	785.88	808.0	909.17	543.96	529.06	848.22	1066.48	688.78	1417.35	1268.46	363.56	1051.79	1437.15	507.46	928.3	703.28	1583.71	764.36	915.51	738.29	669.92	559.28	1216.75	3146.52	373.81	693.58	669.92
NAB2	2319.15	2417.67	2090.03	3081.75	2701.35	1857.6	2682.69	2591.27	2417.67	3901.01	1295.13	3419.52	2240.11	3018.3	2855.44	974.5	1757.34	2555.58	1088.92	1857.6	2758.13	2351.53	3515.68	1295.13	2758.13	934.76	1870.53	2816.11	2351.53	2400.97	1870.53	1350.18	2417.67	3168.41	2351.53	2701.35	2319.15	2209.26	2855.44	2400.97	941.27	555.41	343.89	384.34	271.48	1781.89	928.3	301.33	387.02	1733.13	426.57	1378.57	674.59	1628.26	239.52	309.83	559.28	366.09	325.29	320.8	334.46	426.57	470.14	260.38	348.71	1407.55	244.57	409.15	486.75	698.41	764.36	432.53	320.8	271.48	723.08	1447.15	825.0	559.28	890.44	551.56	684.02	785.88	981.29	217.27	587.13	1467.37	389.72	866.07	409.15	493.56	460.44	299.25	279.14	381.68	269.6	332.14	559.28	457.25	748.61	563.18	412.0	389.72	271.48
