	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	GTEX.11ONC.2026.SM.5HL61	GTEX.14BMU.1326.SM.5RQIH	GTEX.ZYFG.1926.SM.5GID5	GTEX.WFON.1426.SM.4LVMT	GTEX.U3ZH.1326.SM.4DXSF	GTEX.13G51.2126.SM.5IJD9	GTEX.YJ8O.1426.SM.5PNV9	GTEX.139TS.2226.SM.5J2N1	GTEX.131YS.2926.SM.5EGKI	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1726.SM.4WWFV	GTEX.11ZTS.1526.SM.5N9G7	GTEX.111YS.1626.SM.5GZZ9	GTEX.ZYFG.1826.SM.5GZWX	GTEX.Y9LG.1526.SM.4WWDR	GTEX.145MO.2626.SM.5QGPD	GTEX.Y8LW.1226.SM.4WWDP	GTEX.WFG7.1626.SM.4LVMF	GTEX.XUZC.1526.SM.4BRV4	GTEX.Y3I4.1426.SM.4TT9C	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXY.2026.SM.5N9CZ	GTEX.1212Z.1826.SM.5FQSH	GTEX.14E6E.1726.SM.5S2R6	GTEX.13OW5.2826.SM.5KM1G	GTEX.13FTW.2126.SM.5K7YG	GTEX.11DXX.1826.SM.5H126	GTEX.WYVS.1126.SM.4SOJX	GTEX.XUW1.1826.SM.4BOQD	GTEX.11ZTT.1626.SM.5EQKR	GTEX.RWS6.1826.SM.47JXX	GTEX.117XS.2226.SM.5GIE1	GTEX.ZTSS.1226.SM.51MSZ	GTEX.Y3I4.1126.SM.4TT7Y	GTEX.11DXZ.1626.SM.5GIDI	GTEX.ZLV1.1326.SM.4WWER	GTEX.ZP4G.1526.SM.57WE5	GTEX.13CF2.1826.SM.5N9GK	GTEX.139T6.1426.SM.5P9J7	GTEX.TKQ1.0626.SM.4DXTS	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.WHWD.1526.SM.4OORV	GTEX.YEC4.1926.SM.5IFHJ	GTEX.12ZZY.2726.SM.5EQ45	GTEX.11TTK.2426.SM.5PNYO	GTEX.13D11.0826.SM.5KLZJ	GTEX.11P81.1426.SM.5P9JN	GTEX.ZXES.1726.SM.5E43G	GTEX.11PRG.2026.SM.5GU5F	GTEX.WHPG.1626.SM.4M1ZL	GTEX.SNMC.1126.SM.4DM5M	GTEX.X15G.1526.SM.4PQZM	GTEX.13OW8.2726.SM.5L3FZ	GTEX.YECK.2826.SM.5IFHF	GTEX.12WSD.2626.SM.5EGJE	GTEX.P4PP.1426.SM.3NM9L	GTEX.13111.1926.SM.5GCOL	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.ZPIC.2626.SM.57WE2	GTEX.ZYY3.2226.SM.5E45A	GTEX.147JS.2626.SM.5S2UX	GTEX.11EQ9.1526.SM.5PNY7	GTEX.Z93S.2626.SM.57WBX	GTEX.1122O.1526.SM.5N9CL	GTEX.11P7K.1826.SM.5HL5A	GTEX.1399R.2126.SM.5K7WZ	GTEX.T6MO.0826.SM.4DM51	GTEX.WEY5.1426.SM.4LMJ3	GTEX.OHPM.1426.SM.3TW8Y	GTEX.1399U.2226.SM.5KLZI	GTEX.1211K.1826.SM.5EGJ2	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.V955.1726.SM.4JBHF	GTEX.111YS.1826.SM.5GIEP	GTEX.11EMC.1426.SM.5N9E4	GTEX.11P81.1126.SM.5GU5G	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.11ONC.1926.SM.5GU75	GTEX.11GS4.1826.SM.5HL4T	GTEX.ZA64.1426.SM.5CVMC	GTEX.13X6K.2726.SM.5O9DG	GTEX.13OW6.2226.SM.5N9FL	GTEX.139UW.2326.SM.5KM1Y	GTEX.14DAR.1526.SM.5RQIX	GTEX.131XE.1026.SM.5EGKE	GTEX.13QBU.2026.SM.5KLZB	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.13PVR.1726.SM.5Q5EC	GTEX.Y114.1526.SM.4TT79	GTEX.ZVT2.1726.SM.51MRO	GTEX.13FH7.1626.SM.5J2O9	GTEX.11GSP.1626.SM.5986N	GTEX.12ZZX.2726.SM.5N9FT	GTEX.YF7O.1626.SM.5IFII	GTEX.13FH7.1526.SM.5J2N6	GTEX.Y9LG.1326.SM.4VBQB	GTEX.XV7Q.2226.SM.4BRVY	GTEX.ZDTS.2726.SM.5L3E2	GTEX.PX3G.1426.SM.48U1J	GTEX.11EM3.1626.SM.5N9CO	GTEX.132NY.2726.SM.5PNY2	GTEX.11EI6.2626.SM.5PNVT	GTEX.ZPCL.1626.SM.57WGC	GTEX.O5YW.1426.SM.3MJHF	GTEX.13N2G.2226.SM.5IJCU	GTEX.12C56.0626.SM.5EGGC	GTEX.13OW5.2626.SM.5MR3M	GTEX.13NYB.1326.SM.5K7Y1	GTEX.WEY5.1126.SM.4LMIE	GTEX.145MF.1526.SM.5LU95	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11P81.1026.SM.5GU54	GTEX.XYKS.1026.SM.4BRVH	GTEX.XBEW.1526.SM.4AT4K	GTEX.14E7W.1926.SM.5S2R9	GTEX.13O21.0726.SM.5L3EG	GTEX.11NUK.1726.SM.5A5L2	GTEX.13U4I.1326.SM.5KM25	GTEX.Y3IK.1326.SM.4YCD8	GTEX.11DXZ.1026.SM.5N9D5	GTEX.Y111.1826.SM.4SOIR	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.13111.1126.SM.5GCMZ	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.ZAK1.1826.SM.5HL93	GTEX.Y111.1726.SM.4SOIQ	GTEX.V955.1026.SM.4JBHO	GTEX.QV44.1026.SM.447CG	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.WYVS.0826.SM.4RTXB	GTEX.ZYFC.1726.SM.5GZYX	GTEX.QEL4.1526.SM.447AB	GTEX.13G51.1026.SM.5K7YQ	GTEX.Q2AG.1226.SM.4GICA	GTEX.U3ZH.1126.SM.4DXUG	GTEX.RNOR.1326.SM.48FDE	GTEX.POMQ.0626.SM.3P61E	GTEX.12WSD.1926.SM.5GCOV	GTEX.T6MN.1526.SM.4DM5P	GTEX.QMRM.0926.SM.447BR	GTEX.RU72.0826.SM.46MUS	GTEX.146FQ.1126.SM.5NQBM	GTEX.11DXY.1526.SM.5H129	GTEX.RTLS.1226.SM.46MUP	GTEX.TKQ2.1226.SM.4DXSV	GTEX.WRHK.0426.SM.4MVOG	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.13OW6.1426.SM.5L3EU	GTEX.ZAB5.1026.SM.5HL91	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.Q734.0826.SM.48U1G	GTEX.145MH.1226.SM.5RQJT	GTEX.ZEX8.1326.SM.4WWEW	GTEX.12ZZY.1526.SM.5LZWF	GTEX.ZYT6.1226.SM.5E44Q	GTEX.U3ZN.1826.SM.4DXUY	GTEX.13OW8.2226.SM.5K7Z4	GTEX.R55G.0926.SM.48FDN	GTEX.13U4I.1226.SM.5LU5M	GTEX.WZTO.1526.SM.4PQYQ	GTEX.13111.0926.SM.5DUVQ	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.V1D1.1926.SM.4JBGX	GTEX.13111.1326.SM.5GCNO	GTEX.YB5E.1826.SM.5IFI4	GTEX.Y9LG.1826.SM.4VBQC	GTEX.11TUW.2126.SM.5GU7B	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AF.2691.11A.01R.A32Z.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.AF.5654.11A.11R.1660.07	GTEX.13CF2.2426.SM.5LZYL	TCGA.FP.7735.11A.01R.2055.13	GTEX.13111.1226.SM.5GCNC	GTEX.OOBJ.1526.SM.3NB1Q	GTEX.PX3G.1526.SM.48U11	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.145LT.1426.SM.5O9B3	GTEX.12WSD.2326.SM.59HKQ	GTEX.RTLS.2626.SM.46MUJ	GTEX.QXCU.1926.SM.48FE4	GTEX.Y5V6.1326.SM.4VDTF	GTEX.QLQW.0726.SM.447AA	GTEX.R55G.1626.SM.48FF4
TAOK2	529.06	255.0	647.07	480.04	563.18	547.75	860.08	432.53	665.29	836.53	629.35	579.04	563.18	629.35	555.41	616.37	647.07	591.22	414.87	429.54	547.75	460.44	607.87	514.56	543.96	733.19	651.58	379.04	708.18	384.34	483.38	638.15	743.43	514.56	603.67	674.59	316.37	457.25	444.72	466.88	493.56	688.78	454.09	470.14	595.34	753.83	612.11	647.07	718.08	450.94	620.67	518.15	466.88	665.29	454.09	591.22	567.1	656.11	559.28	669.92	507.46	525.39	555.41	723.08	423.61	796.86	693.58	743.43	563.18	575.03	353.59	518.15	507.46	381.68	599.49	334.46	607.87	854.13	674.59	928.3	511.0	860.08	753.83	651.58	759.08	575.03	379.04	878.17	836.53	387.02	633.73	587.13	503.95	723.08	376.41	480.04	444.72	346.29	400.71	733.19	616.37	483.38	460.44	511.0	507.46	395.18	684.02	297.17	612.11	591.22	392.44	555.41	775.05	785.88	723.08	514.56	848.22	915.51	1216.75	995.0	934.76	988.12	967.76	656.11	974.5	796.86	708.18	713.11	1331.57	819.3	525.39	884.29	1001.93	854.13	1175.27	1388.16	954.43	819.3	684.02	603.67	909.17	1051.79	1216.75	1037.29	1030.12	1151.06	1127.35	947.83	718.08	934.76	775.05	974.5	647.07	796.86	1030.12	775.05	579.04	1127.35	1216.75	981.29	718.08	1037.29	1151.06	954.43	884.29	647.07	1127.35	836.53	848.22	1001.93	780.44	896.64	1259.69	796.86	713.11	343.89	555.41	381.68	559.28	473.41	490.14	603.67	497.0	647.07	563.18	473.41	633.73	403.5	591.22	454.09	543.96	457.25	543.96	403.5	346.29	301.33	599.49	353.59	483.38
TARDBP	1950.0	2032.85	2997.45	2400.97	2075.59	1896.65	2720.15	2240.11	2956.17	2287.2	2664.15	2061.24	2178.83	2895.31	2133.97	2384.37	2209.26	2875.3	2193.99	1832.01	2367.9	2004.85	1963.57	1733.13	2224.63	2997.45	3257.52	2520.38	3325.99	1721.16	1794.29	3039.3	2875.3	1806.78	2451.44	2591.27	2163.77	2303.12	2520.38	2224.63	2209.26	3491.39	1697.45	1844.76	2104.58	3168.41	2209.26	2255.7	2682.69	2133.97	1896.65	1709.26	2133.97	2777.33	1870.53	2004.85	2573.36	2976.74	2502.97	2855.44	2018.8	1883.54	2133.97	2061.24	2287.2	3039.3	2627.46	2335.28	2739.08	1936.53	2351.53	2417.67	2335.28	1819.35	2224.63	1437.15	1477.58	2319.15	2451.44	2816.11	2434.5	2875.3	2816.11	2591.27	3018.3	3060.45	1883.54	2835.7	3467.27	2758.13	2400.97	3168.41	2609.3	2400.97	1977.24	2319.15	1745.2	1991.0	1709.26	2956.17	3190.46	1832.01	1844.76	2573.36	2224.63	1819.35	2591.27	1508.65	2148.82	2682.69	2502.97	2090.03	3060.45	2335.28	2935.74	2796.65	2485.67	2935.74	2875.3	3443.31	2796.65	2976.74	3419.52	2573.36	2956.17	2485.67	3060.45	2875.3	3491.39	2855.44	1437.15	3060.45	2796.65	3280.18	3443.31	3564.78	2739.08	2609.3	2133.97	3060.45	3325.99	3372.43	3768.09	3690.52	3395.89	3395.89	3395.89	2451.44	3060.45	3372.43	2537.92	2816.11	1950.0	2816.11	3190.46	2555.58	1769.57	3372.43	3467.27	3325.99	2835.7	2976.74	3325.99	2796.65	3146.52	2271.4	2935.74	2682.69	2573.36	3212.66	2627.46	2956.17	3081.75	2004.85	1529.73	2240.11	2163.77	2061.24	2240.11	2485.67	2209.26	2627.46	2627.46	2555.58	2682.69	1991.0	2255.7	1757.34	1781.89	1340.84	1216.75	1183.45	1594.73	1594.73	1508.65	1135.2	1250.98	1216.75	2240.11
TAZ	327.56	339.14	595.34	283.05	460.44	571.05	511.0	387.02	825.0	1008.9	769.69	642.59	470.14	830.75	414.87	414.87	642.59	713.11	409.15	303.44	599.49	540.19	540.19	612.11	450.94	934.76	674.59	346.29	928.3	543.96	555.41	497.0	738.29	309.83	532.74	775.05	255.0	417.77	483.38	361.04	536.45	954.43	348.71	387.02	457.25	738.29	540.19	518.15	733.19	612.11	555.41	299.25	323.03	607.87	429.54	540.19	967.76	954.43	759.08	656.11	409.15	325.29	607.87	587.13	334.46	921.88	703.28	638.15	764.36	423.61	297.17	327.56	473.41	318.57	532.74	320.8	379.04	902.89	595.34	1143.1	409.15	995.0	444.72	540.19	791.35	551.56	320.8	785.88	947.83	525.39	536.45	629.35	457.25	748.61	435.55	341.51	346.29	447.82	314.17	748.61	915.51	356.05	343.89	490.14	684.02	376.41	511.0	283.05	733.19	884.29	412.0	435.55	884.29	665.29	921.88	921.88	802.41	1242.34	1208.34	780.44	1096.5	1143.1	1242.34	703.28	1199.98	624.99	638.15	728.11	1508.65	638.15	647.07	1030.12	1135.2	1167.14	1088.92	1572.76	921.88	995.0	1037.29	884.29	651.58	1216.75	1322.37	1331.57	1073.91	1015.93	1617.0	791.35	928.3	1225.22	808.0	1167.14	500.46	1073.91	1628.26	665.29	525.39	1183.45	1447.15	1119.56	698.41	1175.27	1457.23	1175.27	1143.1	497.0	1111.82	988.12	647.07	1199.98	890.44	679.29	1437.15	587.13	441.64	376.41	493.56	277.2	332.14	309.83	327.56	480.04	514.56	583.07	684.02	651.58	389.72	420.68	629.35	395.18	490.14	507.46	423.61	366.09	454.09	305.55	371.22	444.72	279.14
TBC1D9B	743.43	909.17	1331.57	1030.12	941.27	1457.23	1498.22	981.29	1242.34	1447.15	1331.57	1369.04	1088.92	1111.82	1059.11	1073.91	1651.0	1081.39	909.17	866.07	1191.69	995.0	1340.84	1159.07	1350.18	1427.22	1073.91	981.29	1008.9	785.88	1369.04	1331.57	1551.09	1001.93	1088.92	1250.98	748.61	921.88	1030.12	890.44	1066.48	1143.1	1001.93	1008.9	1066.48	1167.14	1340.84	1104.13	1167.14	921.88	1397.83	1059.11	890.44	1151.06	1044.52	967.76	1447.15	1044.52	1167.14	1143.1	1397.83	896.64	1529.73	1605.83	872.1	1685.71	1407.55	1191.69	1340.84	1697.45	909.17	1111.82	1073.91	825.0	1359.57	866.07	947.83	1883.54	1674.06	1757.34	995.0	1331.57	1268.46	1183.45	1561.89	1111.82	802.41	1135.2	1417.35	607.87	1561.89	988.12	909.17	1594.73	860.08	954.43	872.1	688.78	842.36	1183.45	1216.75	1104.13	1044.52	941.27	1135.2	854.13	1417.35	693.58	1295.13	981.29	995.0	1268.46	1233.75	2664.15	1135.2	1104.13	1313.23	1617.0	1757.34	1388.16	1519.15	1369.04	1745.2	1286.18	1331.57	1417.35	1119.56	1295.13	1896.65	1199.98	860.08	1111.82	1745.2	1369.04	1331.57	1870.53	1757.34	1340.84	1135.2	1081.39	1268.46	1457.23	1487.87	1781.89	1447.15	1757.34	1674.06	1551.09	1295.13	2303.12	1487.87	1508.65	981.29	1529.73	1605.83	1340.84	1044.52	1605.83	1662.49	1674.06	1359.57	1662.49	1794.29	1745.2	1487.87	1359.57	1757.34	1286.18	1628.26	1369.04	1037.29	1427.22	2032.85	1096.5	1540.37	884.29	1561.89	941.27	1369.04	1322.37	1242.34	1286.18	1233.75	1437.15	1242.34	713.11	1096.5	665.29	1233.75	1044.52	1159.07	921.88	902.89	743.43	642.59	890.44	1143.1	1096.5	1127.35
TBCK	173.85	110.43	305.55	279.14	193.01	201.25	406.31	239.52	371.22	346.29	275.28	202.66	135.24	389.72	214.27	258.57	187.71	279.14	260.38	228.13	171.45	262.2	255.0	260.38	217.27	258.57	332.14	420.68	389.72	161.02	169.07	395.18	229.72	221.86	206.94	327.56	164.42	279.14	169.07	279.14	212.78	379.04	148.09	205.5	269.6	256.78	307.69	217.27	353.59	234.57	202.66	218.79	124.37	271.48	264.03	223.41	267.73	279.14	251.48	299.25	194.36	212.78	260.38	229.72	271.48	395.18	343.89	201.25	191.67	178.77	211.31	323.03	237.86	143.01	289.02	127.89	223.41	182.55	215.77	486.75	187.71	316.37	353.59	291.04	351.14	325.29	169.07	256.78	361.04	212.78	231.32	371.22	228.13	256.78	167.9	199.85	127.89	181.28	166.73	267.73	293.07	237.86	159.9	150.17	384.34	182.55	211.31	169.07	285.03	373.81	145.02	277.2	420.68	236.21	312.0	346.29	182.55	403.5	368.65	438.59	271.48	318.57	420.68	291.04	336.79	281.09	387.02	239.52	363.56	351.14	171.45	303.44	307.69	366.09	423.61	323.03	368.65	353.59	236.21	297.17	438.59	329.84	612.11	392.44	454.09	334.46	392.44	236.21	334.46	346.29	242.88	336.79	191.67	291.04	341.51	320.8	224.97	287.01	417.77	403.5	316.37	316.37	323.03	764.36	339.14	217.27	511.0	246.28	241.19	450.94	316.37	409.15	420.68	224.97	241.19	231.32	363.56	226.54	295.11	264.03	142.01	256.78	140.04	318.57	212.78	149.12	221.86	234.57	343.89	199.85	295.11	295.11	336.79	232.94	256.78	134.3	293.07	177.53	208.38
TDG	253.23	146.03	256.78	283.05	291.04	258.57	387.02	334.46	381.68	312.0	406.31	387.02	215.77	426.57	244.57	343.89	351.14	351.14	260.38	239.52	301.33	255.0	368.65	277.2	281.09	470.14	341.51	262.2	423.61	195.72	275.28	312.0	305.55	242.88	237.86	318.57	273.37	231.32	264.03	197.09	293.07	457.25	217.27	265.87	258.57	376.41	343.89	323.03	341.51	265.87	363.56	205.5	299.25	343.89	249.73	346.29	307.69	312.0	305.55	309.83	371.22	246.28	363.56	325.29	291.04	466.88	368.65	275.28	258.57	320.8	205.5	255.0	239.52	285.03	353.59	156.59	279.14	397.93	397.93	483.38	281.09	303.44	341.51	325.29	379.04	256.78	301.33	327.56	397.93	258.57	406.31	343.89	327.56	361.04	212.78	224.97	258.57	218.79	214.27	256.78	343.89	277.2	234.57	334.46	351.14	283.05	389.72	366.09	232.94	283.05	202.66	403.5	493.56	392.44	314.17	312.0	316.37	414.87	389.72	373.81	395.18	353.59	387.02	295.11	339.14	255.0	277.2	234.57	457.25	312.0	217.27	420.68	236.21	346.29	483.38	466.88	334.46	285.03	241.19	242.88	320.8	358.54	412.0	361.04	403.5	301.33	368.65	253.23	229.72	351.14	312.0	341.51	220.32	258.57	316.37	279.14	336.79	476.71	444.72	384.34	318.57	343.89	400.71	435.55	358.54	244.57	486.75	323.03	260.38	503.95	295.11	309.83	363.56	312.0	255.0	194.36	211.31	197.09	256.78	248.0	226.54	289.02	397.93	460.44	454.09	217.27	191.67	275.28	414.87	185.11	239.52	205.5	186.4	242.88	260.38	279.14	277.2	201.25	173.85
TIAL1	1066.48	791.35	1628.26	1378.57	1208.34	1096.5	1923.14	1242.34	1806.78	1639.59	1639.59	1143.1	1498.22	1832.01	1781.89	1268.46	1313.23	1819.35	1378.57	974.5	1498.22	1111.82	1225.22	1183.45	1407.55	1583.71	1781.89	1331.57	2682.69	1135.2	1225.22	1651.0	1991.0	1304.15	2061.24	1794.29	1359.57	1233.75	1583.71	1135.2	1295.13	1794.29	1216.75	1259.69	1066.48	1857.6	1628.26	1561.89	1313.23	1519.15	1225.22	961.07	1322.37	1857.6	1277.29	1151.06	1519.15	2178.83	1745.2	1709.26	1286.18	1151.06	1208.34	1304.15	1295.13	2104.58	1594.73	1437.15	1572.76	1225.22	1066.48	1250.98	1674.06	878.17	1417.35	974.5	1369.04	1208.34	1529.73	2209.26	1697.45	1617.0	1806.78	1359.57	1909.85	1498.22	1023.0	1721.16	2004.85	1697.45	1359.57	2148.82	1674.06	1378.57	1487.87	1369.04	1104.13	1487.87	1081.39	1794.29	1721.16	1183.45	981.29	1350.18	1561.89	947.83	1359.57	836.53	1250.98	1745.2	1388.16	1508.65	1991.0	1268.46	2335.28	2133.97	1417.35	2047.0	1628.26	2335.28	1697.45	1896.65	2104.58	1388.16	1529.73	1628.26	1572.76	1617.0	2255.7	1540.37	1159.07	1963.57	1781.89	1721.16	2271.4	2384.37	1806.78	1628.26	1208.34	1674.06	1963.57	2032.85	2997.45	2061.24	2224.63	1794.29	2133.97	1583.71	1605.83	1781.89	1844.76	1806.78	961.07	1721.16	2287.2	1883.54	1322.37	1605.83	2609.3	2193.99	1407.55	1963.57	2133.97	2163.77	2004.85	1286.18	1769.57	1721.16	1295.13	2520.38	1709.26	1709.26	2104.58	1369.04	842.36	1175.27	934.76	995.0	1051.79	1119.56	1059.11	1322.37	1233.75	1388.16	1427.22	802.41	1066.48	1001.93	1286.18	830.75	1378.57	1508.65	1268.46	1242.34	1135.2	1073.91	1030.12	1199.98	764.36
TIGD7	275.28	232.94	127.89	134.3	130.6	60.39	180.02	154.42	202.66	169.07	165.57	46.84	127.89	165.57	76.17	171.45	44.57	144.01	146.03	79.45	88.88	114.36	37.32	34.75	92.05	236.21	193.01	138.1	214.27	118.43	20.26	150.17	151.22	103.69	133.36	131.51	96.68	133.36	108.9	105.15	53.57	255.0	75.64	102.97	154.42	180.02	147.06	102.97	189.02	158.79	43.32	165.57	81.71	88.88	138.1	52.08	112.77	169.07	141.02	177.53	77.79	92.7	47.5	75.11	158.79	211.31	181.28	65.26	155.5	23.76	71.0	185.11	91.41	112.77	54.72	109.66	71.0	34.26	43.94	155.5	97.36	138.1	197.09	127.0	176.29	144.01	116.78	176.29	150.17	120.1	50.27	165.57	143.01	61.25	105.15	112.77	72.01	71.5	97.36	84.04	180.02	87.65	99.43	126.12	153.34	152.28	74.58	95.34	157.68	169.07	96.68	92.05	185.11	40.07	149.12	173.85	180.02	267.73	229.72	303.44	198.47	201.25	271.48	108.14	143.01	312.0	258.57	157.68	237.86	187.71	127.89	226.54	139.07	185.11	195.72	320.8	167.9	164.42	152.28	161.02	293.07	201.25	273.37	199.85	212.78	191.67	271.48	163.28	202.66	232.94	143.01	215.77	185.11	209.84	281.09	187.71	128.79	339.14	236.21	150.17	171.45	171.45	202.66	226.54	234.57	125.24	253.23	277.2	151.22	244.57	189.02	301.33	199.85	157.68	82.87	190.34	239.52	218.79	181.28	285.03	155.5	107.38	78.89	127.0	51.35	101.54	105.89	85.82	72.01	68.55	60.39	41.81	59.13	35.25	113.56	20.71	115.16	61.68	96.01
TMEM63A	307.69	205.5	1277.29	579.04	642.59	1350.18	1208.34	780.44	1313.23	1081.39	1104.13	967.76	780.44	1417.35	728.11	669.92	1378.57	713.11	591.22	361.04	808.0	738.29	1268.46	785.88	902.89	872.1	1023.0	607.87	1427.22	518.15	974.5	1250.98	1295.13	599.49	743.43	1119.56	237.86	616.37	813.63	497.0	647.07	1313.23	500.46	567.1	612.11	1119.56	872.1	703.28	802.41	842.36	1208.34	603.67	669.92	1104.13	647.07	878.17	1388.16	1250.98	1199.98	961.07	909.17	624.99	1628.26	1378.57	389.72	1477.58	1143.1	1096.5	947.83	1259.69	507.46	743.43	848.22	463.65	1551.09	215.77	575.03	1870.53	1857.6	2193.99	748.61	1159.07	1111.82	1216.75	1745.2	860.08	412.0	1119.56	1369.04	708.18	1551.09	1096.5	796.86	1697.45	309.83	435.55	363.56	241.19	429.54	1733.13	902.89	497.0	460.44	379.04	1008.9	379.04	1259.69	334.46	909.17	921.88	309.83	1594.73	1088.92	1594.73	1806.78	1175.27	995.0	1331.57	1477.58	2148.82	2004.85	1870.53	2119.22	1135.2	1199.98	1551.09	1467.37	1331.57	1540.37	1457.23	647.07	1477.58	1977.24	1143.1	1950.0	1498.22	1208.34	1407.55	909.17	1331.57	1697.45	1529.73	2119.22	2271.4	1437.15	2209.26	2271.4	1175.27	1417.35	1508.65	1250.98	2032.85	547.75	1331.57	1977.24	1350.18	406.31	1119.56	1447.15	2335.28	1183.45	1857.6	2240.11	1909.85	1233.75	748.61	1119.56	1044.52	1066.48	1519.15	1359.57	1286.18	2004.85	796.86	647.07	343.89	1216.75	457.25	1594.73	785.88	620.67	718.08	830.75	878.17	941.27	291.04	500.46	447.82	1870.53	665.29	1277.29	967.76	1008.9	878.17	796.86	493.56	616.37	679.29	198.47
TMUB2	1001.93	616.37	813.63	748.61	723.08	1277.29	1066.48	915.51	1030.12	1151.06	1073.91	1023.0	878.17	928.3	669.92	775.05	1208.34	825.0	819.3	688.78	836.53	967.76	1111.82	1313.23	819.3	1119.56	961.07	723.08	780.44	775.05	1199.98	934.76	921.88	633.73	830.75	872.1	713.11	813.63	802.41	819.3	866.07	974.5	759.08	896.64	967.76	759.08	890.44	974.5	974.5	947.83	1259.69	988.12	638.15	665.29	1015.93	866.07	896.64	954.43	1015.93	866.07	981.29	848.22	1199.98	1225.22	738.29	909.17	1023.0	896.64	947.83	1397.83	607.87	967.76	848.22	759.08	1066.48	808.0	842.36	1388.16	1208.34	1143.1	656.11	775.05	915.51	866.07	1001.93	915.51	679.29	1037.29	1037.29	620.67	1286.18	854.13	819.3	1378.57	764.36	688.78	679.29	780.44	780.44	769.69	785.88	656.11	688.78	842.36	909.17	633.73	1030.12	616.37	954.43	1044.52	890.44	1008.9	890.44	1286.18	854.13	848.22	819.3	1044.52	1225.22	1001.93	836.53	1183.45	1216.75	808.0	961.07	1044.52	848.22	884.29	1015.93	928.3	878.17	1037.29	802.41	1066.48	1104.13	1104.13	1059.11	1066.48	1096.5	808.0	941.27	961.07	1119.56	1104.13	1088.92	967.76	1051.79	902.89	825.0	954.43	921.88	1001.93	819.3	808.0	974.5	890.44	753.83	1081.39	902.89	974.5	780.44	902.89	1088.92	1331.57	1073.91	808.0	1008.9	836.53	819.3	1066.48	769.69	1066.48	902.89	813.63	1001.93	1037.29	1322.37	836.53	1066.48	1208.34	878.17	934.76	743.43	872.1	759.08	450.94	813.63	1015.93	878.17	616.37	785.88	954.43	748.61	540.19	563.18	483.38	713.11	785.88	647.07
TOP3B	197.09	118.43	457.25	199.85	201.25	412.0	361.04	214.27	323.03	470.14	346.29	267.73	307.69	341.51	258.57	251.48	387.02	325.29	187.71	180.02	283.05	161.02	384.34	314.17	356.05	271.48	353.59	215.77	511.0	209.84	255.0	346.29	529.06	194.36	251.48	397.93	100.13	159.9	204.07	156.59	191.67	507.46	212.78	212.78	226.54	318.57	281.09	239.52	281.09	204.07	387.02	201.25	237.86	236.21	217.27	194.36	301.33	435.55	358.54	368.65	291.04	177.53	343.89	466.88	183.82	463.65	435.55	307.69	273.37	283.05	152.28	249.73	260.38	141.02	450.94	193.01	186.4	579.04	420.68	693.58	246.28	532.74	269.6	289.02	532.74	241.19	186.4	329.84	432.53	234.57	493.56	320.8	229.72	438.59	158.79	248.0	214.27	139.07	85.82	262.2	353.59	176.29	116.78	226.54	339.14	176.29	307.69	194.36	336.79	473.41	220.32	320.8	454.09	400.71	480.04	318.57	301.33	466.88	480.04	435.55	429.54	373.81	476.71	297.17	500.46	316.37	316.37	301.33	748.61	423.61	234.57	450.94	743.43	438.59	638.15	698.41	518.15	435.55	497.0	336.79	412.0	518.15	743.43	693.58	555.41	551.56	583.07	409.15	409.15	642.59	363.56	607.87	236.21	457.25	607.87	316.37	279.14	486.75	665.29	674.59	275.28	679.29	575.03	587.13	366.09	273.37	483.38	412.0	361.04	473.41	366.09	379.04	934.76	277.2	178.77	180.02	199.85	121.79	239.52	246.28	234.57	287.01	205.5	258.57	295.11	206.94	232.94	162.14	356.05	232.94	423.61	293.07	242.88	232.94	215.77	175.07	285.03	189.02	223.41
