	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A7CK.01A.11R.A32P.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2RE.01A.11R.A18M.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.LN.A49O.01A.11R.A24K.31	TCGA.VR.AA7D.01A.11R.A406.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.CV.A45X.01A.21R.A24Z.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.CV.5439.01A.01R.1686.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.HD.7753.01A.11R.2081.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.QK.A8ZB.01A.11R.A39I.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CN.5355.01A.01R.1436.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.HD.7832.01A.11R.2132.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CV.5436.01A.01R.1514.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.UF.A71E.01A.31R.A34R.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7236.01A.11R.2016.07	TCGA.CQ.A4C6.01A.11R.A24Z.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CN.A6V3.01A.12R.A34R.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CN.A499.01A.11R.A24H.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.77.8130.01A.11R.2247.07
UBQLN1	426.57	2520.38	1651.0	1340.84	1583.71	1191.69	2485.67	1143.1	1923.14	1183.45	1617.0	3190.46	2758.13	1781.89	988.12	1561.89	1111.82	1572.76	1340.84	860.08	1551.09	1037.29	2417.67	1487.87	1322.37	1896.65	1477.58	1151.06	1417.35	2796.65	1051.79	1088.92	1674.06	1417.35	1977.24	1662.49	1896.65	1066.48	1044.52	1721.16	1088.92	2417.67	2303.12	1073.91	4066.71	3212.66	1583.71	1268.46	1044.52	2303.12	1991.0	1685.71	1242.34	1923.14	1639.59	1583.71	1733.13	1487.87	1417.35	2956.17	2609.3	1359.57	2255.7	947.83	1286.18	2193.99	1769.57	1417.35	2664.15	1388.16	1066.48	819.3	470.14	1143.1
UCK1	206.94	698.41	332.14	567.1	346.29	314.17	642.59	684.02	718.08	595.34	928.3	1008.9	825.0	995.0	361.04	423.61	273.37	460.44	277.2	182.55	336.79	297.17	511.0	307.69	327.56	397.93	500.46	234.57	323.03	438.59	237.86	295.11	283.05	209.84	466.88	303.44	571.05	316.37	351.14	281.09	211.31	567.1	426.57	223.41	915.51	796.86	226.54	299.25	307.69	543.96	323.03	406.31	547.75	738.29	450.94	293.07	341.51	483.38	356.05	490.14	595.34	293.07	511.0	269.6	293.07	599.49	271.48	384.34	769.69	305.55	384.34	420.68	371.22	275.28
URM1	642.59	2032.85	1199.98	2468.49	1350.18	555.41	1685.71	2319.15	1477.58	2255.7	2133.97	1896.65	2255.7	2090.03	743.43	995.0	1191.69	1857.6	884.29	463.65	1151.06	872.1	2271.4	902.89	1199.98	1639.59	1617.0	647.07	928.3	2104.58	591.22	753.83	1745.2	1143.1	796.86	1340.84	2193.99	371.22	1096.5	1037.29	872.1	1427.22	1295.13	2032.85	4181.07	2645.74	825.0	1119.56	1540.37	1697.45	802.41	1250.98	2133.97	1963.57	1697.45	1119.56	1151.06	1583.71	1331.57	1991.0	2468.49	1487.87	1628.26	656.11	738.29	2018.8	1268.46	1745.2	1733.13	934.76	1674.06	633.73	748.61	802.41
WDR34	713.11	3280.18	1015.93	2609.3	728.11	2701.35	2224.63	3419.52	2816.11	2855.44	2645.74	2627.46	1651.0	2895.31	733.19	567.1	647.07	890.44	733.19	409.15	915.51	830.75	1572.76	624.99	1191.69	1397.83	1487.87	476.71	698.41	1350.18	486.75	563.18	1199.98	830.75	947.83	775.05	1467.37	366.09	713.11	656.11	759.08	1457.23	1388.16	1286.18	4268.94	1059.11	447.82	860.08	1104.13	1199.98	423.61	791.35	1143.1	1617.0	743.43	753.83	1023.0	1561.89	872.1	915.51	1359.57	1359.57	836.53	698.41	507.46	1519.15	708.18	1519.15	2485.67	579.04	1199.98	239.52	460.44	579.04
WDR5	267.73	1697.45	915.51	1508.65	713.11	295.11	1199.98	1066.48	775.05	947.83	1023.0	1277.29	1104.13	1277.29	647.07	435.55	563.18	738.29	463.65	356.05	703.28	426.57	738.29	599.49	647.07	733.19	738.29	379.04	688.78	961.07	236.21	417.77	836.53	591.22	595.34	540.19	1030.12	341.51	466.88	559.28	638.15	1519.15	1096.5	830.75	1397.83	1250.98	454.09	595.34	629.35	1322.37	559.28	769.69	769.69	1191.69	567.1	571.05	511.0	693.58	638.15	981.29	1015.93	543.96	764.36	432.53	417.77	1159.07	669.92	764.36	1096.5	525.39	567.1	220.32	450.94	486.75
ZBTB26	28.45	144.01	46.84	52.08	29.91	35.5	142.01	84.04	73.03	101.54	76.71	115.16	95.34	98.73	29.06	34.51	24.63	40.64	16.03	18.03	51.35	22.1	67.59	53.57	37.32	38.67	61.68	23.93	35.76	70.01	29.06	23.76	43.32	38.67	37.32	39.79	54.72	32.59	45.53	25.35	22.43	63.89	18.97	30.12	77.25	40.07	21.16	32.36	30.78	37.05	17.51	34.75	44.89	83.45	28.24	43.63	47.84	35.0	35.76	43.63	59.55	34.02	48.87	28.65	16.88	80.57	51.71	34.02	90.77	45.53	30.12	17.51	20.41	21.32
ZBTB6	28.65	175.07	71.0	108.9	64.8	94.01	205.5	143.01	122.64	142.01	88.88	172.65	180.02	116.78	96.01	149.12	60.39	108.14	87.03	34.26	98.04	63.0	123.5	120.1	48.52	90.77	72.52	57.49	91.41	149.12	65.72	86.43	108.9	80.57	110.43	122.64	97.36	63.89	96.68	85.22	62.56	115.97	87.65	87.03	193.01	153.34	103.69	96.01	41.22	121.79	86.43	90.77	73.54	139.07	128.79	102.97	98.04	98.73	74.58	148.09	185.11	120.1	148.09	33.54	89.51	109.66	176.29	94.01	234.57	118.43	94.67	40.93	24.46	40.07
ZER1	358.54	825.0	373.81	629.35	518.15	567.1	540.19	713.11	567.1	607.87	780.44	995.0	753.83	836.53	463.65	366.09	293.07	607.87	460.44	201.25	500.46	371.22	872.1	642.59	295.11	473.41	320.8	187.71	500.46	842.36	470.14	320.8	563.18	441.64	450.94	514.56	591.22	312.0	438.59	403.5	353.59	733.19	529.06	361.04	928.3	902.89	432.53	371.22	248.0	693.58	575.03	373.81	435.55	921.88	599.49	511.0	540.19	693.58	511.0	753.83	733.19	457.25	629.35	281.09	486.75	591.22	647.07	470.14	684.02	409.15	507.46	253.23	193.01	332.14
ZMYND19	438.59	1896.65	775.05	1175.27	371.22	559.28	909.17	1388.16	1111.82	1540.37	1467.37	1167.14	1151.06	1662.49	796.86	316.37	656.11	684.02	447.82	466.88	674.59	454.09	934.76	718.08	693.58	642.59	1417.35	387.02	647.07	842.36	511.0	379.04	1286.18	878.17	507.46	420.68	775.05	356.05	406.31	656.11	684.02	884.29	1331.57	642.59	1427.22	1350.18	547.75	624.99	708.18	848.22	450.94	595.34	890.44	1242.34	379.04	679.29	656.11	723.08	679.29	642.59	974.5	543.96	836.53	674.59	612.11	1769.57	629.35	780.44	1051.79	603.67	638.15	166.73	291.04	466.88
ZNF367	17.9	154.42	74.06	102.97	30.56	438.59	583.07	167.9	283.05	223.41	154.42	334.46	190.34	267.73	19.97	35.76	31.9	63.89	25.91	14.78	51.71	45.53	78.34	51.71	54.33	100.83	72.52	40.36	41.22	112.77	17.64	76.17	132.44	51.35	60.39	35.0	109.66	25.72	51.71	50.27	29.27	91.41	79.45	31.0	483.38	205.5	17.13	61.25	40.64	122.64	62.12	52.45	70.51	102.97	57.89	45.85	79.45	58.71	43.02	163.28	92.7	75.64	132.44	24.99	22.26	101.54	74.58	94.67	325.29	64.34	43.94	34.02	18.97	30.78
ZNF484	18.43	50.63	34.75	70.51	47.17	12.83	96.68	44.57	52.45	46.84	32.82	115.97	110.43	61.68	24.46	33.78	25.17	39.5	17.25	16.39	30.12	20.56	82.29	36.53	40.93	35.76	27.64	25.72	23.25	46.18	14.35	41.81	30.78	31.22	53.95	40.93	34.75	37.32	31.45	31.22	14.03	70.01	63.0	31.45	142.01	120.1	22.75	24.81	23.25	82.87	29.7	54.72	38.12	47.17	39.79	35.0	46.5	52.45	19.82	73.54	85.22	41.22	45.21	19.39	16.63	74.06	31.67	33.78	80.57	35.0	15.34	13.52	9.13	24.28
ZNF510	29.7	127.0	47.84	87.03	39.79	39.5	206.94	82.87	89.51	120.94	66.18	155.5	102.97	99.43	29.7	48.52	38.67	81.14	48.87	46.5	51.35	38.67	70.01	74.58	48.52	62.12	64.34	49.21	34.51	66.18	26.67	64.34	52.08	68.07	79.45	82.87	34.26	43.63	43.02	27.64	31.0	123.5	50.98	48.87	173.85	99.43	30.34	38.4	43.63	97.36	30.56	68.07	54.33	40.64	43.32	58.3	55.1	104.42	32.59	101.54	102.97	40.93	84.04	27.84	31.67	104.42	61.68	57.49	116.78	51.71	34.26	44.89	30.34	43.02
ZNF618	8.99	70.01	59.97	202.66	120.94	9.41	164.42	143.01	35.0	129.69	22.75	158.79	209.84	83.45	38.4	19.11	43.63	121.79	32.36	8.13	35.0	45.21	49.91	68.55	53.95	52.45	55.89	28.24	16.39	5.92	30.56	90.77	31.9	90.77	47.84	37.59	100.83	24.46	70.51	24.99	14.35	52.08	98.04	59.13	273.37	177.53	8.58	31.0	51.71	202.66	79.45	120.1	83.45	31.22	63.45	49.91	47.5	112.77	72.52	65.72	68.07	104.42	80.57	20.26	22.43	108.14	102.25	64.8	215.77	8.38	27.25	51.35	44.57	54.72
ZNF79	47.5	95.34	72.01	108.9	40.64	67.59	142.01	158.79	130.6	127.89	46.5	80.01	71.5	60.39	78.34	33.06	44.57	71.5	47.17	37.05	40.93	21.94	115.97	99.43	73.03	40.64	73.03	30.56	38.12	125.24	46.18	61.25	53.57	92.05	89.51	91.41	48.52	40.36	96.01	69.03	24.81	63.0	43.94	130.6	217.27	72.52	57.89	66.18	26.47	76.17	46.18	85.82	93.35	103.69	70.51	76.71	55.49	75.64	44.89	86.43	108.9	46.5	86.43	32.13	39.5	82.87	99.43	99.43	143.01	48.87	62.12	27.64	53.19	26.67
