	TCGA.A2.A0SX.01A.12R.A084.07	TCGA.D8.A147.01A.11R.A115.07	TCGA.AR.A1AW.01A.21R.A12P.07	TCGA.VS.A9UT.01A.11R.A42T.07	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.W5.AA2I.11A.11R.A41I.07	TCGA.CW.6087.01A.11R.1672.07	TCGA.DZ.6131.01A.11R.1965.07	TCGA.CC.A9FS.01A.11R.A37K.07	TCGA.5C.A9VH.01A.11R.A37K.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.DD.A1EI.01A.11R.A131.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.ZP.A9D2.01A.11R.A38B.07	TCGA.ED.A4XI.01A.11R.A266.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.UB.AA0U.01A.11R.A38B.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.2Y.A9HA.01A.11R.A39D.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.ED.A5KG.01A.11R.A27V.07	TCGA.UB.A7ME.01A.11R.A33J.07	TCGA.2Y.A9H0.01A.11R.A38B.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.G3.A3CH.01A.11R.A22L.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.ED.A66X.01A.11R.A311.07	TCGA.DD.A113.01A.11R.A131.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.BC.A10U.01A.11R.A131.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.RC.A7SB.01A.21R.A352.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.A1EF.01A.11R.A131.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.DD.A4NJ.01A.11R.A27V.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11GSP.0626.SM.5986T	GTEX.11NV4.1326.SM.5HL6V	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.44.6778.01A.11R.1858.07	TCGA.D7.A4YU.01A.21R.A251.31
PUS7	403.5	368.65	275.28	221.86	126.12	58.71	249.73	134.3	242.88	182.55	72.01	109.66	87.65	149.12	120.1	239.52	220.32	108.9	77.25	103.69	305.55	89.51	115.97	90.77	327.56	153.34	112.77	94.01	264.03	206.94	92.7	118.43	118.43	133.36	162.14	166.73	166.73	74.06	115.97	389.72	26.86	121.79	289.02	182.55	52.08	146.03	209.84	231.32	178.77	136.19	152.28	129.69	255.0	172.65	110.43	111.21	73.03	112.77	169.07	346.29	71.5	202.66	67.59	48.18	34.26	72.01	98.04	72.52	31.0	63.89	71.5	218.79	60.39	55.89	34.26	59.55	92.05	24.63	43.02	108.14	53.57	32.59	70.01	56.28	55.49	47.17	34.51	38.67	39.5	57.89	40.64	50.98	114.36	38.4	25.54	50.98	68.55	271.48	563.18
PUS7L	116.78	161.02	130.6	131.51	31.45	14.24	137.14	66.65	36.79	38.4	22.1	52.45	21.78	17.25	28.04	35.5	50.63	23.42	39.79	34.75	137.14	25.17	43.32	44.89	57.08	57.89	16.15	64.8	48.52	105.89	20.71	38.67	17.51	17.9	52.08	78.89	99.43	70.51	31.0	60.82	11.73	45.53	39.5	26.28	19.68	32.59	41.52	61.68	46.18	23.93	60.82	31.0	42.41	28.45	46.84	71.5	19.97	24.28	60.82	74.58	51.35	68.07	23.08	12.55	4.74	27.64	22.59	24.11	19.82	25.72	6.21	56.28	10.24	14.35	23.76	35.25	48.87	12.09	27.05	19.53	18.97	11.3	37.85	10.39	42.41	23.42	16.51	27.25	17.64	21.63	45.53	29.27	21.94	20.11	10.0	20.26	37.59	96.01	221.86
QTRTD1	423.61	307.69	327.56	312.0	147.06	86.43	400.71	152.28	139.07	147.06	78.34	106.63	76.71	91.41	85.82	132.44	152.28	57.89	109.66	120.1	264.03	137.14	144.01	201.25	199.85	162.14	88.88	126.12	171.45	185.11	90.77	119.26	96.01	102.25	165.57	167.9	205.5	82.29	102.25	215.77	44.25	137.14	177.53	111.21	87.03	72.01	159.9	113.56	163.28	93.35	148.09	119.26	105.89	132.44	97.36	153.34	86.43	64.8	181.28	231.32	100.83	178.77	63.0	69.03	52.82	84.63	63.0	83.45	76.17	64.8	83.45	106.63	60.39	82.29	47.84	97.36	146.03	55.49	73.03	69.03	51.35	94.67	99.43	110.43	63.89	82.87	90.77	61.68	120.94	75.11	92.7	59.55	72.01	107.38	31.9	90.77	87.03	392.44	432.53
R3HCC1L	373.81	293.07	358.54	275.28	80.57	77.79	220.32	183.82	84.04	156.59	94.67	113.56	102.25	114.36	101.54	241.19	181.28	72.52	258.57	139.07	285.03	154.42	115.97	68.55	141.02	127.0	67.12	110.43	177.53	197.09	79.45	111.99	80.01	85.82	125.24	118.43	323.03	112.77	113.56	194.36	74.58	113.56	159.9	103.69	71.0	99.43	197.09	178.77	156.59	77.79	151.22	151.22	169.07	175.07	113.56	178.77	41.22	82.87	182.55	226.54	177.53	165.57	56.28	52.82	36.01	84.04	64.8	59.55	72.52	74.58	77.79	104.42	112.77	45.53	101.54	85.82	82.29	43.63	68.07	86.43	78.34	72.52	130.6	42.41	136.19	80.01	69.52	74.58	71.0	61.25	75.11	74.58	77.25	87.03	35.25	104.42	44.57	229.72	403.5
RAB35	1199.98	915.51	738.29	995.0	301.33	208.38	1295.13	954.43	395.18	432.53	376.41	708.18	483.38	423.61	400.71	595.34	555.41	277.2	713.11	285.03	791.35	490.14	454.09	303.44	368.65	575.03	497.0	450.94	450.94	665.29	291.04	387.02	543.96	358.54	633.73	500.46	890.44	500.46	753.83	698.41	273.37	466.88	633.73	403.5	432.53	289.02	521.76	674.59	616.37	297.17	532.74	397.93	629.35	412.0	559.28	521.76	395.18	223.41	476.71	463.65	366.09	642.59	177.53	228.13	262.2	325.29	165.57	260.38	277.2	228.13	182.55	193.01	193.01	223.41	198.47	392.44	236.21	190.34	312.0	275.28	229.72	256.78	251.48	271.48	323.03	309.83	217.27	258.57	305.55	248.0	514.56	316.37	341.51	195.72	204.07	387.02	265.87	1008.9	802.41
RAB3GAP2	620.67	409.15	476.71	309.83	150.17	120.1	271.48	312.0	167.9	279.14	159.9	149.12	171.45	146.03	155.5	194.36	157.68	75.11	176.29	241.19	358.54	198.47	248.0	204.07	361.04	209.84	144.01	161.02	275.28	500.46	156.59	90.77	158.79	231.32	273.37	473.41	339.14	224.97	151.22	293.07	69.52	182.55	195.72	138.1	115.97	110.43	305.55	291.04	400.71	109.66	208.38	198.47	244.57	237.86	143.01	256.78	106.63	131.51	307.69	438.59	301.33	346.29	98.04	76.71	35.5	105.15	115.97	98.73	165.57	135.24	57.08	297.17	102.97	85.22	102.97	94.01	130.6	61.68	87.65	88.88	63.45	72.52	176.29	112.77	253.23	170.25	82.87	112.77	93.35	72.52	161.02	144.01	123.5	108.9	41.22	158.79	120.1	420.68	500.46
RALGAPB	575.03	620.67	780.44	536.45	154.42	111.99	507.46	351.14	169.07	214.27	92.05	189.02	191.67	133.36	148.09	295.11	236.21	100.13	211.31	191.67	295.11	178.77	265.87	167.9	334.46	275.28	130.6	193.01	285.03	555.41	176.29	255.0	149.12	155.5	221.86	209.84	334.46	239.52	140.04	351.14	94.01	198.47	220.32	157.68	136.19	111.21	241.19	295.11	226.54	155.5	218.79	126.12	211.31	265.87	211.31	403.5	129.69	100.83	237.86	373.81	180.02	299.25	97.36	69.52	63.45	117.6	95.34	102.97	79.45	105.89	65.26	301.33	92.05	72.52	112.77	111.21	186.4	59.55	104.42	108.14	76.71	61.25	127.0	57.49	139.07	180.02	110.43	66.18	85.82	74.58	134.3	130.6	204.07	143.01	37.32	121.79	73.54	507.46	733.19
RBM12	941.27	1233.75	934.76	796.86	178.77	125.24	967.76	612.11	204.07	231.32	95.34	262.2	264.03	137.14	181.28	483.38	368.65	116.78	329.84	283.05	373.81	244.57	353.59	180.02	400.71	454.09	150.17	277.2	486.75	764.36	151.22	253.23	173.85	143.01	314.17	289.02	665.29	334.46	198.47	511.0	116.78	309.83	381.68	208.38	154.42	109.66	412.0	438.59	497.0	162.14	275.28	265.87	281.09	358.54	269.6	368.65	106.63	127.0	511.0	718.08	239.52	409.15	134.3	125.24	107.38	215.77	128.79	211.31	140.04	303.44	111.21	237.86	127.89	124.37	118.43	267.73	244.57	114.36	356.05	124.37	93.35	106.63	133.36	93.35	185.11	201.25	178.77	283.05	283.05	201.25	234.57	182.55	204.07	126.12	201.25	190.34	255.0	995.0	954.43
RFWD3	476.71	698.41	341.51	417.77	78.89	53.95	441.64	205.5	64.8	115.97	63.45	139.07	84.04	82.87	63.89	159.9	100.13	32.59	105.89	84.63	384.34	103.69	167.9	102.97	189.02	220.32	87.65	143.01	221.86	287.01	76.17	63.89	80.57	82.29	159.9	161.02	223.41	145.02	183.82	248.0	63.89	149.12	167.9	82.87	131.51	45.85	129.69	187.71	94.67	51.71	121.79	85.82	122.64	171.45	122.64	148.09	45.21	75.64	116.78	186.4	90.14	173.85	55.1	55.49	45.85	70.51	52.08	70.51	51.35	60.39	26.67	68.07	49.56	53.57	47.84	124.37	50.98	38.67	104.42	34.26	28.86	35.5	69.03	49.56	57.49	51.71	82.29	88.88	77.25	25.35	120.94	53.57	59.13	66.65	27.05	29.48	101.54	536.45	629.35
RNF34	808.0	813.63	785.88	909.17	218.79	214.27	753.83	358.54	450.94	480.04	358.54	693.58	470.14	229.72	454.09	591.22	457.25	189.02	511.0	236.21	688.78	325.29	346.29	231.32	718.08	708.18	248.0	463.65	470.14	638.15	403.5	470.14	384.34	249.73	371.22	423.61	733.19	412.0	872.1	656.11	289.02	395.18	629.35	353.59	389.72	180.02	559.28	476.71	450.94	323.03	285.03	536.45	616.37	417.77	493.56	486.75	221.86	307.69	406.31	476.71	341.51	563.18	202.66	193.01	127.0	228.13	226.54	191.67	124.37	194.36	166.73	323.03	209.84	241.19	231.32	178.77	177.53	106.63	189.02	127.89	167.9	191.67	379.04	166.73	253.23	265.87	242.88	269.6	241.19	130.6	358.54	158.79	199.85	212.78	71.0	162.14	236.21	759.08	753.83
SART3	769.69	738.29	775.05	1030.12	329.84	215.77	848.22	563.18	329.84	400.71	329.84	603.67	624.99	318.57	403.5	486.75	395.18	253.23	426.57	389.72	591.22	379.04	476.71	295.11	684.02	559.28	312.0	389.72	483.38	583.07	255.0	450.94	293.07	226.54	457.25	376.41	688.78	423.61	808.0	665.29	209.84	507.46	555.41	325.29	343.89	237.86	400.71	483.38	583.07	249.73	373.81	392.44	463.65	412.0	441.64	616.37	301.33	255.0	583.07	500.46	323.03	607.87	211.31	181.28	178.77	256.78	189.02	199.85	185.11	171.45	169.07	420.68	249.73	167.9	199.85	271.48	255.0	141.02	195.72	177.53	180.02	173.85	237.86	146.03	275.28	256.78	236.21	209.84	251.48	197.09	301.33	231.32	293.07	275.28	82.87	189.02	231.32	825.0	759.08
SBNO1	358.54	295.11	368.65	348.71	156.59	92.7	379.04	231.32	164.42	108.14	55.49	157.68	64.8	81.14	146.03	98.73	176.29	95.34	156.59	78.89	223.41	143.01	150.17	98.04	187.71	172.65	64.8	149.12	134.3	197.09	94.01	133.36	102.97	75.11	177.53	180.02	215.77	108.14	153.34	172.65	47.5	209.84	183.82	123.5	99.43	126.12	142.01	211.31	190.34	73.54	277.2	120.94	134.3	80.57	133.36	206.94	54.72	100.13	214.27	236.21	172.65	157.68	72.52	69.03	42.71	131.51	71.0	115.97	86.43	110.43	53.57	88.26	61.25	63.0	97.36	140.04	117.6	77.79	136.19	102.25	78.89	56.28	82.87	92.7	94.67	115.16	85.82	138.1	101.54	83.45	128.79	57.49	101.54	117.6	43.94	68.55	162.14	339.14	327.56
SCAF11	1167.14	1268.46	1437.15	1081.39	532.74	351.14	1447.15	547.75	607.87	511.0	307.69	503.95	656.11	420.68	511.0	796.86	769.69	318.57	567.1	638.15	854.13	514.56	633.73	406.31	961.07	759.08	273.37	595.34	764.36	921.88	346.29	603.67	525.39	363.56	713.11	842.36	995.0	708.18	497.0	769.69	318.57	759.08	713.11	595.34	460.44	371.22	579.04	669.92	708.18	395.18	698.41	348.71	525.39	466.88	571.05	1081.39	441.64	441.64	802.41	759.08	688.78	718.08	307.69	348.71	117.6	381.68	366.09	325.29	353.59	507.46	305.55	620.67	281.09	409.15	438.59	457.25	450.94	277.2	633.73	432.53	251.48	312.0	353.59	447.82	500.46	490.14	320.8	353.59	454.09	218.79	518.15	395.18	802.41	426.57	237.86	450.94	470.14	1059.11	1605.83
SEC23IP	624.99	769.69	738.29	642.59	312.0	193.01	591.22	432.53	281.09	381.68	193.01	397.93	307.69	211.31	242.88	420.68	463.65	115.97	232.94	376.41	713.11	249.73	435.55	201.25	395.18	303.44	170.25	450.94	339.14	480.04	197.09	381.68	361.04	202.66	420.68	392.44	463.65	334.46	426.57	444.72	175.07	521.76	441.64	320.8	172.65	185.11	429.54	395.18	503.95	217.27	307.69	303.44	356.05	373.81	363.56	334.46	150.17	121.79	438.59	500.46	166.73	473.41	165.57	206.94	145.02	217.27	231.32	221.86	164.42	187.71	215.77	199.85	246.28	211.31	164.42	239.52	387.02	246.28	283.05	226.54	147.06	183.82	193.01	127.89	273.37	217.27	178.77	220.32	237.86	208.38	248.0	182.55	325.29	209.84	122.64	170.25	269.6	616.37	878.17
SEC24C	1519.15	2018.8	1991.0	1819.35	780.44	587.13	1295.13	1242.34	819.3	1167.14	974.5	1015.93	1001.93	1059.11	1191.69	1167.14	1322.37	536.45	954.43	1096.5	1617.0	1088.92	1447.15	947.83	1322.37	902.89	665.29	860.08	1417.35	1259.69	819.3	1819.35	1037.29	988.12	1135.2	1208.34	1331.57	1066.48	1088.92	1242.34	743.43	1268.46	1457.23	836.53	728.11	878.17	1651.0	1331.57	1572.76	921.88	1225.22	1111.82	1519.15	1721.16	1295.13	1268.46	718.08	909.17	1467.37	1286.18	1417.35	1191.69	633.73	647.07	665.29	866.07	633.73	620.67	547.75	529.06	698.41	567.1	738.29	547.75	432.53	791.35	684.02	518.15	638.15	769.69	703.28	529.06	587.13	348.71	819.3	500.46	420.68	813.63	518.15	688.78	928.3	529.06	400.71	587.13	366.09	603.67	884.29	1572.76	1242.34
SENP1	318.57	555.41	287.01	229.72	46.5	42.71	269.6	108.14	73.54	88.88	55.89	107.38	71.0	64.8	67.59	129.69	105.89	42.41	64.8	83.45	152.28	66.65	98.73	59.97	142.01	164.42	36.01	130.6	156.59	164.42	52.45	80.01	70.01	45.85	103.69	72.01	191.67	80.57	115.16	173.85	32.36	98.04	127.89	80.57	57.08	51.35	80.57	100.83	85.22	38.12	98.73	80.01	102.97	103.69	79.45	167.9	49.21	60.39	144.01	164.42	48.52	134.3	37.85	27.64	22.59	49.91	39.22	40.36	30.78	35.76	34.75	51.71	38.67	34.51	42.71	50.63	56.68	26.86	38.12	33.06	38.95	35.0	43.94	91.41	51.35	33.54	52.82	37.59	62.56	30.34	52.82	34.02	44.89	33.06	12.93	24.81	44.25	265.87	361.04
SGOL2	162.14	279.14	127.0	152.28	6.67	6.11	116.78	29.7	34.75	22.75	7.4	78.34	43.02	15.0	46.18	62.56	49.56	5.87	17.64	25.17	106.63	18.7	50.27	30.12	94.67	66.65	30.12	32.59	68.07	92.7	31.9	48.52	12.93	27.64	31.9	41.52	79.45	27.05	88.88	102.97	32.82	69.52	102.97	28.86	25.91	8.13	49.56	66.18	44.57	11.21	24.63	38.12	25.91	99.43	32.36	57.49	30.34	25.17	41.81	67.59	23.59	64.34	6.46	3.11	0.58	7.06	6.57	3.44	4.66	3.17	5.36	18.84	3.5	2.63	8.06	15.91	3.69	6.94	16.15	1.36	6.01	0.16	2.18	3.32	11.3	14.03	2.61	34.26	17.64	3.96	10.47	2.1	10.79	5.73	1.81	3.99	11.13	157.68	175.07
SLMO2	2032.85	2468.49	1233.75	1175.27	476.71	339.14	1437.15	629.35	620.67	514.56	267.73	753.83	291.04	409.15	521.76	866.07	693.58	473.41	507.46	551.56	1015.93	521.76	753.83	480.04	1477.58	591.22	438.59	796.86	896.64	1359.57	387.02	693.58	620.67	536.45	1044.52	1096.5	808.0	674.59	713.11	764.36	476.71	660.68	607.87	540.19	543.96	332.14	688.78	842.36	1167.14	785.88	543.96	366.09	514.56	547.75	603.67	633.73	373.81	417.77	830.75	748.61	486.75	872.1	366.09	373.81	246.28	379.04	417.77	275.28	417.77	336.79	255.0	287.01	341.51	303.44	353.59	518.15	395.18	336.79	343.89	361.04	420.68	234.57	281.09	287.01	447.82	285.03	307.69	348.71	320.8	318.57	612.11	260.38	403.5	379.04	379.04	215.77	674.59	1508.65	1594.73
SMAD2	1498.22	1605.83	1331.57	1467.37	403.5	348.71	1407.55	1857.6	532.74	480.04	547.75	435.55	441.64	414.87	629.35	684.02	791.35	289.02	974.5	866.07	1388.16	688.78	656.11	368.65	660.68	684.02	551.56	420.68	733.19	988.12	503.95	1096.5	665.29	435.55	769.69	595.34	1059.11	518.15	642.59	688.78	289.02	603.67	718.08	660.68	457.25	441.64	532.74	1639.59	713.11	486.75	808.0	536.45	450.94	551.56	759.08	684.02	796.86	429.54	813.63	1088.92	447.82	775.05	237.86	209.84	348.71	493.56	293.07	406.31	307.69	336.79	217.27	392.44	229.72	389.72	199.85	703.28	414.87	323.03	728.11	277.2	293.07	218.79	301.33	348.71	346.29	376.41	283.05	551.56	511.0	307.69	890.44	316.37	211.31	351.14	353.59	255.0	642.59	1896.65	836.53
SMC3	1467.37	1059.11	1427.22	748.61	283.05	199.85	825.0	463.65	293.07	343.89	262.2	486.75	343.89	343.89	316.37	679.29	483.38	131.51	295.11	303.44	607.87	343.89	460.44	163.28	759.08	368.65	171.45	642.59	842.36	775.05	325.29	444.72	299.25	228.13	417.77	397.93	796.86	323.03	429.54	848.22	187.71	486.75	656.11	480.04	221.86	251.48	441.64	575.03	775.05	226.54	447.82	438.59	281.09	575.03	341.51	543.96	132.44	144.01	819.3	743.43	348.71	656.11	204.07	150.17	73.54	193.01	215.77	194.36	182.55	175.07	152.28	228.13	122.64	157.68	178.77	417.77	236.21	189.02	366.09	190.34	128.79	141.02	271.48	190.34	146.03	275.28	255.0	279.14	368.65	139.07	273.37	156.59	161.02	269.6	119.26	111.99	312.0	974.5	1806.78
SMNDC1	890.44	921.88	775.05	753.83	255.0	237.86	591.22	414.87	277.2	316.37	171.45	295.11	170.25	226.54	343.89	368.65	309.83	138.1	371.22	297.17	409.15	267.73	363.56	195.72	435.55	269.6	185.11	363.56	381.68	392.44	215.77	249.73	285.03	191.67	423.61	334.46	559.28	206.94	253.23	438.59	119.26	273.37	470.14	260.38	197.09	176.29	400.71	351.14	497.0	214.27	237.86	237.86	275.28	329.84	316.37	387.02	133.36	92.7	454.09	454.09	277.2	379.04	178.77	197.09	137.14	189.02	224.97	158.79	166.73	265.87	117.6	231.32	182.55	187.71	97.36	253.23	199.85	191.67	239.52	214.27	157.68	110.43	231.32	295.11	190.34	285.03	253.23	209.84	336.79	253.23	305.55	237.86	303.44	246.28	307.69	111.99	239.52	651.58	651.58
SNRNP27	878.17	802.41	1242.34	1233.75	551.56	432.53	1225.22	947.83	493.56	660.68	403.5	638.15	301.33	511.0	656.11	921.88	518.15	563.18	769.69	624.99	1073.91	665.29	521.76	780.44	738.29	723.08	642.59	1044.52	629.35	713.11	579.04	638.15	660.68	441.64	878.17	1037.29	1151.06	503.95	616.37	759.08	395.18	753.83	738.29	571.05	629.35	532.74	529.06	780.44	571.05	500.46	629.35	486.75	571.05	470.14	540.19	571.05	579.04	525.39	928.3	629.35	780.44	1127.35	435.55	368.65	275.28	470.14	426.57	444.72	460.44	470.14	236.21	575.03	293.07	289.02	403.5	660.68	555.41	521.76	547.75	346.29	457.25	323.03	429.54	480.04	429.54	536.45	409.15	591.22	540.19	486.75	684.02	395.18	409.15	656.11	441.64	392.44	703.28	1199.98	921.88
SOCS5	323.03	759.08	246.28	229.72	87.03	81.71	214.27	163.28	92.7	145.02	77.79	101.54	76.71	78.89	108.14	150.17	170.25	33.78	275.28	138.1	241.19	122.64	131.51	89.51	177.53	121.79	71.0	115.97	131.51	265.87	90.77	138.1	81.71	92.05	147.06	135.24	220.32	84.63	108.14	228.13	57.89	126.12	152.28	131.51	66.18	62.12	157.68	236.21	144.01	74.06	131.51	114.36	182.55	155.5	111.99	206.94	76.71	85.82	195.72	305.55	155.5	139.07	75.11	42.11	38.67	88.26	75.64	74.58	66.18	82.87	45.53	133.36	52.08	74.58	139.07	102.25	116.78	38.67	71.5	64.34	63.89	61.68	78.34	56.28	77.79	66.65	81.14	47.5	60.39	82.87	104.42	78.34	71.0	120.94	38.67	72.01	68.07	220.32	305.55
SOCS7	122.64	246.28	107.38	271.48	14.03	11.47	73.03	371.22	28.86	24.99	19.11	47.17	13.42	12.74	39.5	52.08	60.82	19.68	15.68	27.44	65.72	24.11	32.13	15.34	29.06	32.13	13.93	15.22	78.89	84.63	6.94	76.71	22.43	10.39	78.34	68.55	34.51	20.71	25.72	50.27	7.34	17.51	27.05	29.91	8.06	11.3	94.01	72.52	40.93	6.11	66.65	28.04	24.28	44.89	29.27	59.13	15.11	14.56	62.12	45.85	38.95	57.49	9.48	7.06	7.94	28.65	4.43	41.22	7.69	5.87	3.2	7.94	11.13	6.16	9.06	30.78	2.73	4.66	6.89	8.45	2.84	8.78	13.83	8.92	10.0	2.94	6.16	17.51	11.04	2.14	48.18	25.17	7.28	4.24	2.58	24.46	23.42	214.27	119.26
SPATS2	567.1	612.11	679.29	915.51	76.71	59.13	417.77	224.97	226.54	231.32	117.6	289.02	169.07	176.29	348.71	476.71	325.29	88.88	135.24	253.23	403.5	253.23	246.28	189.02	423.61	417.77	201.25	260.38	412.0	392.44	265.87	248.0	191.67	152.28	246.28	255.0	334.46	283.05	275.28	547.75	141.02	224.97	432.53	234.57	154.42	103.69	466.88	473.41	283.05	98.04	114.36	318.57	309.83	289.02	170.25	363.56	231.32	141.02	287.01	381.68	325.29	497.0	52.45	34.26	71.0	78.89	61.25	38.12	40.64	106.63	76.71	105.15	38.95	37.59	178.77	115.16	60.39	90.14	115.97	39.22	63.0	52.08	99.43	50.98	106.63	115.16	53.19	54.33	53.19	127.0	134.3	41.52	47.84	117.6	32.59	56.28	127.0	583.07	830.75
SPTAN1	2240.11	1233.75	1417.35	1397.83	836.53	463.65	1923.14	1883.54	1685.71	1242.34	1015.93	961.07	723.08	785.88	941.27	2319.15	1819.35	409.15	1477.58	1369.04	1936.53	1295.13	1437.15	1015.93	1167.14	1331.57	1388.16	1242.34	1008.9	1745.2	947.83	1225.22	1628.26	525.39	1331.57	1143.1	1487.87	1322.37	830.75	1896.65	1233.75	1540.37	1794.29	1030.12	1447.15	842.36	1572.76	1286.18	1242.34	738.29	1059.11	1286.18	902.89	1909.85	1388.16	1594.73	1073.91	1096.5	1572.76	2240.11	1081.39	1378.57	454.09	339.14	547.75	775.05	438.59	361.04	616.37	591.22	348.71	1447.15	466.88	353.59	684.02	703.28	775.05	327.56	698.41	454.09	314.17	409.15	753.83	547.75	656.11	1066.48	476.71	620.67	884.29	571.05	1844.76	656.11	638.15	500.46	229.72	595.34	591.22	1781.89	2319.15
SRCAP	684.02	1037.29	830.75	902.89	239.52	156.59	775.05	830.75	171.45	334.46	295.11	312.0	223.41	191.67	158.79	414.87	264.03	114.36	450.94	334.46	503.95	432.53	412.0	343.89	389.72	460.44	217.27	336.79	518.15	674.59	248.0	346.29	209.84	295.11	389.72	343.89	503.95	435.55	271.48	363.56	156.59	303.44	603.67	307.69	232.94	208.38	341.51	511.0	441.64	198.47	403.5	209.84	303.44	406.31	363.56	363.56	155.5	237.86	423.61	334.46	371.22	575.03	163.28	134.3	145.02	277.2	131.51	201.25	102.25	116.78	91.41	332.14	198.47	165.57	163.28	327.56	95.34	73.54	251.48	120.94	135.24	153.34	269.6	221.86	172.65	176.29	137.14	229.72	289.02	65.26	260.38	148.09	237.86	285.03	39.5	96.68	221.86	878.17	1001.93
STAM	444.72	373.81	368.65	417.77	143.01	111.99	325.29	733.19	180.02	182.55	111.21	183.82	145.02	136.19	153.34	215.77	189.02	59.13	500.46	181.28	339.14	125.24	195.72	199.85	194.36	175.07	151.22	229.72	262.2	299.25	155.5	226.54	165.57	127.0	217.27	249.73	312.0	155.5	170.25	329.84	90.77	214.27	181.28	164.42	154.42	120.1	237.86	248.0	202.66	118.43	190.34	142.01	166.73	218.79	162.14	198.47	112.77	128.79	205.5	223.41	155.5	232.94	83.45	72.01	97.36	118.43	96.01	105.89	97.36	115.97	65.26	125.24	57.49	83.45	96.68	125.24	149.12	87.65	120.94	80.01	84.63	94.01	116.78	98.04	125.24	86.43	82.29	128.79	92.7	63.89	156.59	104.42	135.24	91.41	60.39	147.06	142.01	476.71	1030.12
