	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.GI.A2C8.11A.22R.A16F.07	TCGA.E9.A1RI.11A.41R.A169.07	GTEX.Y5V5.2126.SM.4WWFO	GTEX.S32W.2026.SM.4AD6E	GTEX.Y114.2026.SM.4TT7L	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.YJ8O.2226.SM.5IFHW	GTEX.13CF3.2126.SM.5IFJP	GTEX.146FH.0826.SM.5SI8T	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.BA.5556.01A.01R.1514.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CQ.6222.01A.11R.1915.07	TCGA.CR.7365.01A.11R.2016.07	TCGA.CV.5971.01A.11R.1686.07	TCGA.CQ.5334.01A.01R.1686.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.7238.11A.01R.2016.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.CZ.5470.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.CJ.4888.01A.01R.1305.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.B0.5695.01A.11R.1541.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.UZ.A9PZ.01A.11R.A42S.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.SX.A7SO.01A.11R.A355.07	TCGA.B9.A5W7.01A.11R.A31O.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.UZ.A9PU.01A.11R.A42S.07	TCGA.EV.5902.01A.11R.1592.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.SX.A7SN.01A.11R.A355.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.HE.7129.01A.11R.1965.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.B3.A6W5.01A.12R.A33Z.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.A4.7584.01A.11R.2139.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A5W9.01A.11R.A28H.07	TCGA.B9.A69E.01A.11R.A31O.07	TCGA.A4.8516.01A.11R.2404.07	TCGA.B9.4117.01A.02R.1351.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.AL.3466.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.B3.4103.01A.02R.1351.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.G7.7502.01A.11R.2204.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.AT.A5NU.01A.11R.A28H.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.A4.A5DU.01A.11R.A28H.07	TCGA.UZ.A9PO.01A.11R.A38C.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.A4.8515.01A.11R.2404.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.A4.A772.01A.11R.A33Z.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.IA.A40X.01A.11R.A24Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.DW.7836.01A.11R.2139.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.G7.6797.01A.11R.1965.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.DZ.6134.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.Y8.A8S0.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.63.5128.01A.01R.1443.07	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	GTEX.1399T.0126.SM.5KM15
HSBP1	1030.12	1340.84	1259.69	1572.76	1991.0	1378.57	3982.99	1081.39	1498.22	1037.29	2816.11	995.0	1331.57	1397.83	1286.18	1781.89	2485.67	1617.0	1583.71	1259.69	1487.87	1183.45	2384.37	2163.77	1233.75	1844.76	2271.4	1313.23	3639.7	2061.24	4671.57	1991.0	2816.11	4328.55	2573.36	2875.3	1745.2	2664.15	3212.66	4671.57	3564.78	3564.78	4010.71	6607.01	2193.99	2816.11	5076.84	4328.55	8305.36	4802.93	3901.01	5672.41	3794.3	5329.3	2701.35	4450.27	4869.99	6207.38	5006.93	2915.45	3443.31	3060.45	4152.18	3768.09	3874.05	2434.5	5441.3	4181.07	2319.15	4769.75	5041.77	5441.3	2591.27	2976.74	3901.01	7032.37	2682.69	4704.07	2451.44	6207.38	3257.52	4903.87	1857.6	5555.65	4239.45	6037.61	4095.0	3982.99	4388.98	2816.11	2627.46	4903.87	2645.74	3589.58	6337.83	3124.78	878.17	2451.44	3491.39	2400.97	4210.15	4358.66	4639.29	4210.15	2319.15	1832.01	3168.41	4769.75	2997.45	5594.3	3280.18	5006.93	3419.52	1340.84	2468.49	4769.75	2163.77	5329.3	7230.1	5403.7	5183.54	5441.3	5791.62	4869.99	2468.49	6381.92	1733.13	2915.45	3564.78	1709.26	2976.74	6607.01	5479.15	4152.18	2835.7	4512.4	4972.34	0.0	0.73	988.12	1857.6	1572.76	1857.6	2303.12	2816.11
HYDIN	25.17	3.47	5.45	24.99	12.27	20.86	16.15	7.17	25.54	7.51	21.63	2.07	6.26	1.79	0.61	3.32	2.05	1.89	1.53	3.59	1.03	2.61	8.06	4.66	4.86	10.63	1.27	6.57	51.35	89.51	107.38	24.63	26.86	37.85	202.66	34.75	13.32	10.47	129.69	239.52	166.73	183.82	185.11	218.79	126.12	101.54	205.5	177.53	323.03	262.2	277.2	253.23	229.72	153.34	218.79	287.01	170.25	194.36	708.18	16.88	265.87	131.51	135.24	262.2	166.73	16.63	307.69	142.01	180.02	197.09	202.66	327.56	162.14	201.25	170.25	264.03	40.07	249.73	126.12	173.85	251.48	237.86	157.68	316.37	334.46	181.28	361.04	246.28	269.6	346.29	63.45	237.86	127.89	251.48	307.69	161.02	120.1	221.86	70.01	177.53	299.25	133.36	444.72	269.6	173.85	43.02	178.77	178.77	68.07	151.22	111.99	241.19	180.02	208.38	172.65	287.01	181.28	299.25	202.66	224.97	141.02	61.68	438.59	256.78	239.52	211.31	84.04	183.82	171.45	78.34	211.31	149.12	169.07	269.6	61.25	138.1	260.38	0.0	0.04	15.22	8.32	11.64	4.1	6.46	236.21
IFT140	164.42	50.98	169.07	346.29	163.28	148.09	172.65	186.4	139.07	105.15	218.79	108.14	204.07	113.56	133.36	68.55	88.26	175.07	127.0	84.04	80.57	144.01	34.51	71.0	120.1	157.68	129.69	133.36	339.14	363.56	159.9	361.04	217.27	356.05	563.18	273.37	271.48	346.29	309.83	1159.07	587.13	547.75	660.68	759.08	432.53	409.15	698.41	647.07	1295.13	848.22	878.17	830.75	896.64	688.78	463.65	813.63	665.29	890.44	775.05	368.65	830.75	525.39	521.76	693.58	620.67	866.07	620.67	559.28	432.53	764.36	629.35	872.1	738.29	808.0	540.19	995.0	271.48	616.37	579.04	629.35	780.44	647.07	325.29	813.63	802.41	703.28	878.17	713.11	738.29	579.04	387.02	1159.07	540.19	825.0	934.76	540.19	224.97	647.07	307.69	647.07	842.36	361.04	796.86	860.08	547.75	329.84	447.82	819.3	299.25	642.59	444.72	271.48	620.67	480.04	688.78	616.37	457.25	967.76	679.29	688.78	497.0	318.57	775.05	738.29	679.29	733.19	279.14	420.68	341.51	373.81	679.29	642.59	493.56	1044.52	318.57	447.82	995.0	0.0	0.39	108.14	208.38	132.44	205.5	109.66	860.08
IFT27	796.86	291.04	540.19	941.27	490.14	232.94	587.13	387.02	733.19	172.65	713.11	353.59	511.0	157.68	221.86	161.02	361.04	414.87	363.56	332.14	265.87	329.84	400.71	470.14	476.71	395.18	457.25	547.75	954.43	575.03	371.22	808.0	1044.52	842.36	1059.11	1183.45	555.41	1015.93	738.29	1832.01	785.88	1143.1	1832.01	1963.57	612.11	1143.1	1322.37	1268.46	1639.59	1844.76	1340.84	559.28	1277.29	1242.34	1096.5	1191.69	1081.39	1508.65	1628.26	1674.06	1175.27	1388.16	974.5	1832.01	1151.06	1191.69	947.83	1259.69	547.75	1135.2	1183.45	1059.11	1044.52	1378.57	967.76	1963.57	1051.79	1437.15	842.36	1167.14	1191.69	1781.89	693.58	1096.5	995.0	1015.93	1001.93	1143.1	1508.65	1617.0	543.96	1508.65	830.75	928.3	2047.0	872.1	420.68	866.07	703.28	988.12	1388.16	1583.71	1572.76	1331.57	1498.22	1066.48	728.11	1909.85	514.56	1594.73	780.44	842.36	1304.15	1044.52	954.43	1191.69	954.43	1745.2	1277.29	1304.15	780.44	1191.69	507.46	1857.6	921.88	1551.09	223.41	647.07	890.44	624.99	928.3	1769.57	1651.0	1583.71	1119.56	1277.29	1340.84	0.0	0.21	748.61	511.0	256.78	567.1	753.83	1508.65
IQCD	9.27	6.06	8.06	40.93	11.73	11.64	15.22	18.84	14.24	2.51	22.1	4.03	7.0	7.88	4.86	4.94	9.13	8.32	25.17	14.67	11.21	13.12	12.93	8.19	9.56	13.12	14.67	12.83	91.41	64.8	19.11	76.71	31.67	30.12	89.51	60.39	22.75	22.59	57.49	191.67	149.12	102.97	218.79	242.88	178.77	94.01	271.48	182.55	182.55	307.69	199.85	153.34	197.09	232.94	137.14	202.66	172.65	130.6	275.28	69.03	120.94	157.68	110.43	320.8	226.54	96.68	154.42	151.22	204.07	265.87	164.42	198.47	127.0	182.55	100.13	379.04	57.89	251.48	98.04	164.42	111.99	177.53	55.49	206.94	150.17	199.85	218.79	90.77	269.6	202.66	59.97	114.36	81.14	120.94	194.36	152.28	50.27	118.43	83.45	111.21	234.57	132.44	234.57	208.38	191.67	36.53	85.22	283.05	54.33	141.02	90.77	46.84	169.07	163.28	120.1	232.94	80.57	376.41	187.71	129.69	171.45	42.11	105.89	223.41	120.1	163.28	31.45	92.7	104.42	127.0	171.45	299.25	135.24	228.13	81.71	173.85	218.79	0.0	0.0	4.03	18.97	19.53	25.72	16.39	80.57
KIAA1407	49.91	10.31	74.58	124.37	47.17	46.84	52.45	47.17	93.35	24.28	111.99	43.63	62.12	20.26	38.95	19.82	30.78	41.22	28.86	19.82	29.27	42.41	20.11	23.76	18.03	36.27	33.3	29.27	100.13	92.05	68.07	158.79	67.12	51.71	275.28	90.77	83.45	47.17	66.18	460.44	98.04	147.06	289.02	178.77	82.29	172.65	149.12	246.28	603.67	209.84	521.76	211.31	220.32	139.07	232.94	251.48	318.57	226.54	616.37	99.43	281.09	220.32	152.28	205.5	221.86	67.12	141.02	92.7	122.64	202.66	226.54	175.07	201.25	358.54	74.06	175.07	68.55	262.2	351.14	118.43	248.0	146.03	109.66	423.61	525.39	105.15	239.52	395.18	291.04	295.11	45.21	432.53	39.79	132.44	406.31	105.15	64.34	151.22	61.68	123.5	551.56	131.51	283.05	269.6	143.01	24.99	93.35	264.03	81.14	105.15	52.45	77.25	260.38	141.02	74.06	167.9	125.24	232.94	299.25	289.02	106.63	37.85	224.97	356.05	91.41	301.33	57.08	117.6	198.47	75.11	128.79	161.02	78.89	529.06	70.51	129.69	295.11	0.0	0.29	59.13	24.46	30.78	37.32	56.28	441.64
LRRC23	217.27	217.27	158.79	193.01	107.38	70.51	297.17	76.71	111.21	126.12	267.73	269.6	166.73	58.3	59.97	130.6	171.45	138.1	269.6	69.03	82.87	84.04	180.02	163.28	217.27	162.14	208.38	187.71	743.43	813.63	182.55	206.94	412.0	551.56	693.58	316.37	493.56	285.03	466.88	872.1	819.3	1030.12	1191.69	1233.75	547.75	587.13	1159.07	878.17	974.5	947.83	713.11	791.35	941.27	947.83	1044.52	669.92	1015.93	698.41	1088.92	438.59	703.28	825.0	954.43	1286.18	642.59	713.11	967.76	909.17	1044.52	1081.39	1015.93	1081.39	728.11	934.76	432.53	1250.98	316.37	1104.13	718.08	769.69	463.65	981.29	356.05	872.1	733.19	928.3	819.3	698.41	1447.15	1096.5	400.71	748.61	529.06	713.11	1167.14	921.88	146.03	563.18	679.29	733.19	802.41	718.08	733.19	738.29	728.11	255.0	567.1	1135.2	236.21	860.08	532.74	327.56	884.29	647.07	947.83	1037.29	532.74	995.0	785.88	802.41	708.18	860.08	738.29	941.27	651.58	624.99	237.86	688.78	703.28	356.05	1001.93	1519.15	860.08	743.43	500.46	656.11	775.05	0.0	0.0	486.75	258.57	246.28	264.03	224.97	406.31
LRRC46	4.86	3.41	20.26	15.91	28.24	6.62	28.24	25.35	10.24	11.47	40.93	11.47	7.57	5.15	3.08	7.82	10.88	11.04	10.0	6.26	1.99	3.2	3.56	11.73	3.89	9.27	12.45	12.93	30.12	30.56	27.25	37.32	13.42	27.25	82.87	14.67	10.47	29.7	42.11	139.07	83.45	133.36	123.5	208.38	24.11	20.56	122.64	137.14	172.65	170.25	150.17	79.45	153.34	119.26	63.0	138.1	151.22	127.0	353.59	37.32	101.54	122.64	111.21	100.13	68.07	66.18	105.15	81.14	23.08	98.04	103.69	194.36	133.36	103.69	44.89	460.44	35.25	224.97	104.42	142.01	108.9	142.01	47.84	108.14	176.29	157.68	153.34	231.32	116.78	91.41	26.67	115.97	98.73	86.43	165.57	80.01	19.68	96.68	51.71	138.1	226.54	54.72	155.5	135.24	98.73	13.32	46.5	127.0	93.35	93.35	40.07	7.82	95.34	63.45	108.14	85.22	39.22	134.3	198.47	111.99	52.45	39.79	87.03	152.28	77.25	101.54	10.71	43.63	109.66	52.82	88.88	198.47	45.85	176.29	25.54	86.43	112.77	0.0	0.0	8.19	11.64	12.74	5.82	11.04	50.98
LRRC48	36.27	34.02	44.89	120.1	19.82	43.32	52.82	22.26	46.18	37.85	46.84	34.51	39.79	12.09	18.16	7.63	19.25	27.05	30.56	9.41	15.45	23.08	31.0	73.54	74.58	62.12	34.02	46.84	403.5	314.17	75.64	112.77	77.79	37.05	241.19	191.67	122.64	10.63	199.85	728.11	460.44	346.29	356.05	551.56	120.1	293.07	358.54	312.0	753.83	490.14	587.13	341.51	587.13	309.83	318.57	579.04	466.88	450.94	1427.22	64.8	417.77	447.82	197.09	647.07	376.41	140.04	161.02	258.57	110.43	353.59	366.09	420.68	403.5	420.68	152.28	384.34	75.11	493.56	269.6	301.33	279.14	229.72	131.51	624.99	555.41	251.48	733.19	400.71	547.75	429.54	85.22	647.07	214.27	379.04	728.11	223.41	144.01	231.32	97.36	361.04	733.19	106.63	460.44	493.56	226.54	77.25	201.25	503.95	66.65	260.38	135.24	126.12	323.03	351.14	178.77	480.04	316.37	587.13	441.64	307.69	158.79	59.55	260.38	660.68	220.32	429.54	98.73	132.44	361.04	121.79	260.38	497.0	84.63	693.58	90.77	260.38	555.41	0.0	0.0	23.59	50.63	64.8	24.81	49.21	525.39
LYG1	19.82	8.99	4.5	16.51	22.1	6.06	13.62	7.88	14.14	7.46	40.07	3.44	9.78	3.32	6.41	3.72	24.63	2.61	13.72	2.36	2.1	8.0	10.24	20.11	9.41	1.5	5.82	1.68	896.64	3820.7	500.46	30.34	92.7	540.19	297.17	47.5	497.0	155.5	1242.34	5791.62	2720.15	718.08	7081.29	1662.49	1561.89	503.95	5913.33	1923.14	7642.41	11909.94	1832.01	3955.48	2287.2	3874.05	201.25	8479.89	1487.87	3491.39	2816.11	77.25	3614.55	1331.57	1199.98	8963.45	1857.6	500.46	4268.94	2664.15	825.0	748.61	2664.15	1628.26	2193.99	4298.64	1143.1	389.72	224.97	1857.6	928.3	309.83	1008.9	6792.79	228.13	3564.78	2537.92	5995.9	4123.49	248.0	3103.19	2855.44	1073.91	1757.34	155.5	4704.07	2193.99	785.88	890.44	1427.22	3443.31	2255.7	6983.79	651.58	4869.99	6250.56	4210.15	54.72	1073.91	4388.98	59.97	928.3	1127.35	316.37	3874.05	441.64	1030.12	3146.52	854.13	12502.12	1417.35	1977.24	3491.39	12.0	5954.47	4358.66	921.88	9808.75	305.55	571.05	2287.2	2400.97	1685.71	6699.25	371.22	7803.01	105.89	1447.15	3742.05	0.0	0.72	12.0	11.38	9.48	14.67	3.79	18.56
MAATS1	35.0	5.5	16.51	98.73	5.19	54.33	9.56	41.52	32.13	5.63	37.05	10.39	16.39	1.13	1.58	0.0	0.78	0.0	5.82	0.68	1.16	3.32	5.54	18.56	9.7	18.7	13.22	23.42	78.89	73.03	59.55	98.04	59.55	37.59	260.38	65.72	41.52	38.67	90.14	332.14	70.51	100.13	195.72	187.71	75.64	65.72	115.16	152.28	327.56	234.57	373.81	170.25	167.9	145.02	221.86	178.77	202.66	283.05	1183.45	86.43	176.29	156.59	144.01	336.79	171.45	109.66	109.66	57.89	202.66	111.99	265.87	154.42	111.99	208.38	40.07	242.88	49.56	178.77	224.97	73.03	490.14	111.21	86.43	198.47	314.17	84.04	152.28	518.15	163.28	253.23	60.39	293.07	26.67	88.88	483.38	92.7	47.5	127.0	67.59	81.71	356.05	116.78	392.44	145.02	125.24	13.12	26.86	159.9	45.21	80.01	53.19	37.32	173.85	136.19	112.77	199.85	123.5	241.19	217.27	164.42	55.89	19.25	232.94	248.0	70.01	260.38	27.05	111.21	157.68	55.49	107.38	161.02	66.65	373.81	57.08	93.35	206.94	0.0	0.32	35.76	9.56	7.46	26.67	12.27	470.14
MKS1	197.09	99.43	202.66	341.51	236.21	182.55	248.0	163.28	199.85	133.36	228.13	163.28	253.23	148.09	177.53	126.12	146.03	220.32	163.28	133.36	144.01	152.28	97.36	163.28	96.01	114.36	190.34	141.02	234.57	336.79	463.65	470.14	273.37	215.77	406.31	249.73	239.52	583.07	242.88	733.19	417.77	651.58	470.14	738.29	271.48	312.0	660.68	532.74	718.08	723.08	665.29	486.75	660.68	567.1	379.04	595.34	563.18	497.0	780.44	414.87	547.75	490.14	381.68	607.87	555.41	376.41	387.02	457.25	417.77	575.03	708.18	511.0	595.34	693.58	295.11	819.3	264.03	718.08	703.28	486.75	693.58	412.0	312.0	693.58	698.41	607.87	620.67	563.18	733.19	540.19	241.19	688.78	454.09	476.71	759.08	493.56	277.2	387.02	435.55	559.28	825.0	267.73	376.41	532.74	406.31	229.72	237.86	684.02	457.25	543.96	356.05	368.65	540.19	291.04	457.25	587.13	435.55	718.08	525.39	599.49	327.56	379.04	470.14	629.35	432.53	616.37	264.03	248.0	371.22	241.19	529.06	620.67	318.57	713.11	309.83	460.44	656.11	0.0	0.0	195.72	220.32	189.02	189.02	199.85	417.77
MOSPD3	307.69	171.45	291.04	371.22	525.39	303.44	476.71	255.0	409.15	205.5	262.2	177.53	480.04	426.57	420.68	239.52	432.53	283.05	329.84	480.04	285.03	301.33	305.55	511.0	242.88	500.46	559.28	327.56	435.55	521.76	356.05	450.94	441.64	902.89	500.46	432.53	642.59	373.81	320.8	2163.77	579.04	796.86	2061.24	1407.55	612.11	476.71	947.83	988.12	1674.06	1250.98	1242.34	1023.0	1540.37	1508.65	909.17	872.1	1191.69	1991.0	1135.2	409.15	1572.76	866.07	1183.45	1175.27	967.76	507.46	1437.15	1628.26	521.76	802.41	954.43	1369.04	1037.29	1023.0	708.18	860.08	514.56	1030.12	780.44	616.37	397.93	1561.89	426.57	1268.46	909.17	921.88	825.0	1397.83	1313.23	1331.57	414.87	1745.2	567.1	1159.07	1883.54	723.08	525.39	1001.93	890.44	1159.07	1250.98	1175.27	854.13	1208.34	1183.45	656.11	567.1	1088.92	417.77	1127.35	507.46	426.57	995.0	753.83	1104.13	1447.15	651.58	1104.13	1733.13	1322.37	647.07	571.05	928.3	1233.75	890.44	1127.35	540.19	759.08	713.11	629.35	1059.11	1081.39	802.41	1733.13	693.58	808.0	1073.91	0.0	0.51	384.34	269.6	389.72	540.19	435.55	579.04
NIT2	547.75	995.0	1498.22	1175.27	1498.22	1388.16	878.17	1277.29	1023.0	1709.26	974.5	2434.5	1191.69	836.53	764.36	753.83	1088.92	1037.29	1104.13	813.63	1127.35	1015.93	1023.0	1119.56	642.59	738.29	1225.22	688.78	3794.3	4903.87	1977.24	1819.35	1111.82	3928.15	4181.07	2133.97	3372.43	6164.49	2591.27	6887.62	4210.15	5831.91	10084.54	7966.99	9025.81	4388.98	10225.32	4575.41	7695.57	5594.3	5555.65	2976.74	4769.75	4450.27	2935.74	5441.3	6471.02	4481.23	4869.99	4575.41	4010.71	5594.3	4210.15	7695.57	4543.8	3212.66	4181.07	6745.86	2384.37	3419.52	7081.29	6699.25	3820.7	5711.87	3589.58	4181.07	872.1	12160.22	4802.93	3168.41	2895.31	4704.07	3515.68	6471.02	6745.86	3639.7	4066.71	6337.83	11267.44	3124.78	5711.87	4010.71	3515.68	3820.7	5441.3	6164.49	2895.31	5147.73	5292.48	6699.25	9215.48	2997.45	4328.55	8078.22	4388.98	1359.57	7331.05	6983.79	4639.29	5441.3	3794.3	6426.31	5995.9	6250.56	4481.23	6699.25	4123.49	6983.79	4298.64	6699.25	9279.58	669.92	2573.36	6037.61	2835.7	5711.87	1135.2	3467.27	7537.18	4450.27	2287.2	6840.04	3901.01	7589.61	1437.15	9088.59	3280.18	1487.87	289.02	2004.85	902.89	1088.92	460.44	1369.04	1233.75
NLRP14	1.31	0.0	0.0	1.28	0.87	0.84	0.89	0.0	0.49	0.48	0.46	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.55	0.58	0.0	0.0	0.0	1.77	0.34	1.03	0.61	0.79	0.73	0.41	1.01	1.01	0.32	0.99	2.58	2.12	0.36	1.55	1.39	0.39	8.99	2.73	2.03	3.23	5.5	4.35	4.17	3.0	1.6	1.22	3.59	1.27	2.58	2.92	1.14	4.54	1.0	0.84	2.86	4.35	0.48	4.24	0.68	1.16	3.14	2.78	5.32	1.36	1.51	0.0	4.5	0.0	2.51	1.99	3.32	5.02	1.25	0.69	0.99	4.1	1.48	9.48	0.6	1.55	2.66	1.79	2.39	0.43	6.84	1.57	2.68	0.4	3.03	1.23	6.36	2.14	0.0	0.97	11.91	0.0	0.0	1.43	2.43	0.99	1.95	0.43	0.66	4.66	1.58	2.53	2.01	0.71	5.5	3.79	1.39	1.11	0.0	1.58	2.81	1.93	1.62	0.0	1.13	3.66	1.07	4.06	1.79	0.73	3.41	0.73	1.41	4.46	0.0	0.0	0.0	0.0	1.57	1.43	0.55	9.27
NME9	0.0	18.84	4.82	10.55	1.06	18.43	5.77	4.06	5.28	11.82	6.89	17.9	4.35	0.99	1.41	2.41	3.82	2.71	17.77	2.43	0.0	0.0	18.84	19.82	3.76	26.1	4.98	12.27	24.28	20.41	4.31	15.22	15.45	1.55	44.89	18.84	20.11	5.41	16.03	106.63	75.64	35.5	121.79	140.04	10.31	17.38	57.89	65.26	105.89	106.63	147.06	54.72	80.57	77.79	57.08	63.45	117.6	119.26	151.22	23.08	97.36	66.18	76.71	191.67	110.43	15.56	37.59	49.21	46.84	44.89	107.38	42.11	74.58	83.45	7.4	146.03	5.73	102.97	59.55	14.14	76.17	77.25	24.28	120.1	52.82	46.5	95.34	68.07	75.11	96.01	7.4	102.25	17.64	44.89	208.38	29.06	19.25	35.25	19.53	72.01	62.12	32.36	103.69	67.12	63.45	3.38	4.86	154.42	9.93	24.28	17.64	14.89	88.26	35.76	71.5	80.01	38.12	147.06	79.45	70.51	26.28	13.12	65.26	128.79	34.51	96.68	14.03	32.36	37.32	24.81	39.79	117.6	31.67	158.79	51.71	38.67	44.57	0.0	0.08	6.41	3.03	12.83	6.21	1.62	49.91
NPIPB6	11.47	0.0	7.17	10.47	0.99	6.84	0.0	4.17	0.72	6.21	9.06	0.58	1.97	0.0	1.45	0.0	2.07	0.0	1.55	2.12	3.89	2.63	3.38	9.48	0.0	4.1	0.0	0.0	8.13	2.58	27.84	13.42	5.82	1.19	106.63	9.56	4.28	26.67	0.0	48.18	9.78	33.78	35.5	33.78	7.11	4.74	29.48	23.93	157.68	84.04	94.01	13.42	36.01	25.91	34.51	15.0	39.5	30.34	135.24	37.32	36.27	35.5	25.35	171.45	25.72	33.54	82.87	4.31	31.9	46.84	21.32	18.29	25.17	94.01	16.03	32.36	1.2	43.32	24.81	18.16	46.84	45.85	1.13	41.52	66.18	2.84	12.55	30.34	101.54	18.7	0.0	63.89	3.26	5.96	50.98	11.64	16.88	11.82	8.19	30.56	43.63	15.8	129.69	42.71	27.84	0.0	3.41	55.49	15.22	26.67	0.0	10.96	55.1	15.56	4.98	17.38	2.29	42.41	17.38	28.65	9.34	3.72	55.89	52.08	6.89	32.82	2.41	13.32	5.63	17.0	8.13	65.26	34.02	81.14	2.34	72.01	43.63	0.0	0.4	48.52	1.13	4.46	2.92	1.51	31.0
