	TCGA.BP.4974.01A.01R.1334.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.EM.A3AL.01A.11R.A206.07	TCGA.EL.A4K9.01A.11R.A250.07	TCGA.DJ.A1QL.01A.11R.A14Y.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3T0.01A.22R.A22L.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.BJ.A0ZG.01A.11R.A10U.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EM.A1YD.01A.11R.A14Y.07	TCGA.BJ.A0YZ.01A.11R.A10U.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.EL.A3ZH.11A.11R.A23N.07	TCGA.EM.A1CU.11A.11R.A13Y.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.146FR.0326.SM.5SI8U	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.WY7C.0226.SM.3NB37	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
SH2B3	1662.49	1769.57	579.04	426.57	348.71	316.37	267.73	283.05	353.59	371.22	444.72	325.29	409.15	339.14	438.59	320.8	323.03	299.25	392.44	412.0	563.18	312.0	293.07	363.56	323.03	403.5	480.04	320.8	123.5	133.36	159.9	211.31	228.13	154.42	164.42	173.85	202.66	356.05	281.09	120.94	185.11	90.77	303.44	190.34	173.85	185.11	136.19	143.01	356.05	185.11	140.04	201.25	239.52	323.03	121.79	265.87	124.37	341.51	180.02	173.85	161.02	232.94	152.28	195.72	209.84	175.07	90.77	212.78	187.71	97.36	180.02	153.34	142.01	109.66	249.73	301.33	99.43	133.36	81.71	265.87	132.44	157.68	209.84	164.42	199.85	215.77	125.24	178.77
SH2D3C	1697.45	1594.73	1313.23	890.44	884.29	607.87	607.87	941.27	1051.79	830.75	693.58	764.36	1015.93	579.04	1066.48	1081.39	624.99	587.13	669.92	769.69	947.83	738.29	620.67	769.69	551.56	1127.35	693.58	620.67	191.67	208.38	119.26	583.07	258.57	381.68	312.0	358.54	215.77	356.05	157.68	49.91	336.79	181.28	420.68	543.96	447.82	518.15	356.05	339.14	518.15	500.46	260.38	426.57	395.18	423.61	228.13	260.38	256.78	599.49	353.59	361.04	177.53	435.55	100.13	457.25	155.5	698.41	88.88	514.56	346.29	256.78	454.09	220.32	234.57	226.54	202.66	540.19	163.28	224.97	258.57	559.28	291.04	269.6	339.14	190.34	320.8	314.17	361.04	497.0
SHANK3	1721.16	1242.34	708.18	629.35	733.19	718.08	575.03	748.61	1023.0	748.61	780.44	688.78	981.29	587.13	521.76	624.99	579.04	493.56	684.02	559.28	796.86	460.44	463.65	547.75	532.74	1225.22	444.72	563.18	158.79	130.6	69.03	208.38	133.36	195.72	183.82	283.05	178.77	366.09	171.45	95.34	287.01	197.09	463.65	403.5	318.57	242.88	371.22	169.07	387.02	221.86	241.19	256.78	293.07	514.56	299.25	293.07	206.94	303.44	189.02	215.77	121.79	181.28	163.28	226.54	73.03	336.79	139.07	285.03	209.84	141.02	316.37	237.86	232.94	142.01	197.09	214.27	132.44	85.22	162.14	285.03	229.72	187.71	176.29	244.57	305.55	177.53	253.23	387.02
SHROOM4	447.82	525.39	232.94	507.46	195.72	248.0	108.9	299.25	389.72	503.95	218.79	255.0	571.05	255.0	157.68	166.73	140.04	142.01	172.65	156.59	409.15	228.13	327.56	151.22	198.47	269.6	267.73	633.73	40.64	36.27	39.79	49.21	52.08	45.21	108.9	96.01	64.34	265.87	53.19	22.1	116.78	41.22	131.51	80.01	78.34	71.0	46.84	33.3	147.06	90.77	45.85	88.26	31.22	120.94	82.29	102.97	75.11	88.26	63.45	40.64	54.33	41.52	24.63	105.89	20.11	127.0	46.5	115.97	53.19	10.31	56.68	31.45	43.94	35.0	50.63	63.45	39.22	8.13	72.01	81.71	63.0	85.82	45.85	23.42	63.89	60.82	73.03	183.82
SLC9A3R2	5292.48	5913.33	12329.98	9474.59	10225.32	4543.8	6983.79	13492.72	7857.29	13586.57	5831.91	8078.22	11112.3	5441.3	14561.8	9740.98	5872.48	4095.0	6164.49	11909.94	8191.0	10959.3	7180.15	6037.61	7081.29	14561.8	5441.3	5913.33	1540.37	1233.75	629.35	3491.39	3716.2	3794.3	4802.93	4769.75	3768.09	3491.39	4388.98	638.15	3690.52	1685.71	3982.99	4736.79	4010.71	4972.34	2895.31	3768.09	4038.61	3303.0	4095.0	3491.39	3901.01	3124.78	2485.67	2537.92	2018.8	2976.74	2956.17	3146.52	3081.75	4010.71	1369.04	5292.48	1769.57	8598.28	2895.31	5633.22	4704.07	3515.68	2271.4	2255.7	3235.01	2240.11	3103.19	1628.26	2163.77	3742.05	4388.98	6164.49	3419.52	4210.15	5147.73	2627.46	5672.41	3901.01	5112.16	5006.93
SLCO2A1	3124.78	2997.45	2645.74	2758.13	3589.58	2148.82	2835.7	4239.45	3081.75	2434.5	3419.52	3060.45	4123.49	1561.89	3928.15	3690.52	3081.75	2224.63	3768.09	2451.44	3280.18	3372.43	2956.17	2875.3	2537.92	2609.3	1540.37	3467.27	967.76	1059.11	1350.18	1991.0	2018.8	2591.27	2090.03	2645.74	1721.16	2796.65	2664.15	476.71	2271.4	1769.57	2855.44	3325.99	1551.09	2287.2	1508.65	2209.26	2434.5	2224.63	2351.53	1963.57	1781.89	2895.31	1378.57	2163.77	1119.56	1407.55	1340.84	1477.58	866.07	1896.65	559.28	2664.15	728.11	4268.94	1059.11	2573.36	2032.85	1242.34	1378.57	830.75	1936.53	1467.37	1697.45	995.0	1096.5	1104.13	1583.71	4512.4	2287.2	2796.65	1857.6	921.88	1697.45	1781.89	2075.59	2537.92
SOX17	181.28	281.09	129.69	190.34	206.94	185.11	83.45	493.56	264.03	220.32	116.78	341.51	341.51	112.77	155.5	89.51	92.7	98.04	104.42	176.29	120.1	289.02	94.01	117.6	71.5	251.48	153.34	145.02	45.85	28.86	23.76	32.36	77.25	56.28	64.34	59.13	51.71	145.02	162.14	7.17	66.18	62.12	122.64	47.17	57.89	165.57	15.8	29.48	65.72	80.01	65.72	71.5	72.52	85.82	187.71	153.34	36.01	31.9	14.03	40.93	20.56	149.12	28.65	118.43	19.25	115.16	70.01	78.34	82.87	148.09	27.84	63.45	40.93	60.39	70.51	57.89	14.67	113.56	50.63	149.12	85.22	36.53	58.71	17.64	58.3	35.76	80.01	38.12
SPRY4	2351.53	2090.03	1487.87	915.51	688.78	713.11	599.49	1427.22	1832.01	1096.5	669.92	785.88	1044.52	1225.22	947.83	1008.9	713.11	656.11	1151.06	909.17	1487.87	748.61	890.44	995.0	836.53	1427.22	1199.98	1259.69	197.09	131.51	131.51	206.94	403.5	146.03	320.8	295.11	305.55	599.49	536.45	193.01	283.05	88.88	384.34	320.8	279.14	426.57	104.42	198.47	381.68	273.37	189.02	246.28	271.48	299.25	271.48	738.29	253.23	555.41	336.79	157.68	215.77	165.57	202.66	314.17	201.25	277.2	214.27	253.23	183.82	68.55	206.94	81.14	180.02	187.71	379.04	483.38	105.89	49.91	173.85	368.65	83.45	215.77	258.57	136.19	165.57	397.93	206.94	318.57
STAB1	3955.48	5555.65	1883.54	2178.83	1721.16	1199.98	808.0	1447.15	2400.97	1378.57	1088.92	1268.46	1745.2	1594.73	2018.8	1806.78	1159.07	2004.85	1119.56	2119.22	1427.22	954.43	941.27	1721.16	775.05	1397.83	1639.59	934.76	329.84	229.72	361.04	567.1	361.04	283.05	679.29	753.83	620.67	1119.56	258.57	231.32	1044.52	187.71	559.28	642.59	738.29	358.54	769.69	723.08	633.73	384.34	591.22	884.29	896.64	703.28	406.31	890.44	500.46	928.3	563.18	633.73	718.08	1208.34	248.0	836.53	358.54	842.36	193.01	493.56	400.71	397.93	743.43	287.01	660.68	256.78	397.93	753.83	260.38	343.89	285.03	1208.34	226.54	764.36	656.11	336.79	884.29	281.09	718.08	660.68
TBXA2R	260.38	320.8	241.19	181.28	224.97	136.19	109.66	177.53	189.02	176.29	117.6	105.89	186.4	110.43	183.82	175.07	149.12	108.9	157.68	271.48	163.28	101.54	123.5	120.1	146.03	262.2	154.42	136.19	22.92	23.42	18.29	59.13	42.71	43.32	47.17	62.56	51.35	83.45	42.71	9.27	54.33	17.51	57.89	48.87	28.45	71.0	55.89	28.65	68.55	75.11	47.17	39.79	52.82	60.82	18.7	34.75	10.96	49.56	69.03	35.5	31.45	51.35	14.35	57.89	24.11	94.01	26.67	73.54	52.45	51.71	29.27	19.68	33.54	19.25	51.35	37.85	26.67	38.95	52.08	106.63	40.07	35.0	72.52	19.53	81.14	59.55	58.71	59.13
TG	36.01	15.45	606436.73	370726.6	375901.76	900270.11	900270.11	857631.47	469249.9	496005.67	794671.01	706337.4	378516.38	1048575.0	610654.84	794671.01	757033.75	985160.01	668235.84	499455.67	577714.63	932018.1	1085552.95	894051.48	1147449.11	593956.43	978355.0	1026995.62	636586.81	817012.28	682276.92	1364554.84	2068278.89	1452391.55	2247670.86	2126426.15	1751305.3	1503610.06	2375828.71	2111737.85	1611529.43	1308968.45	1622738.51	1493223.86	1739208.14	1634025.56	1838374.44	1997825.68	1535204.12	1984025.69	1336472.68	1997825.68	1984025.69	1355129.16	2986448.72	1567462.05	1472666.19	2025714.3	2425749.94	1402917.72	932018.1	1929772.37	906531.99	1299926.74	992012.34	1943195.01	1100706.72	1622738.51	1727194.55	2636147.11	2263304.65	1229805.58	1775752.63	2111737.85	1691649.38	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	1622738.51	2263304.65	1535204.12	2672946.37	1864037.21	1634025.56	1402917.72	1482909.4
TGFB1	2193.99	1950.0	483.38	1936.53	674.59	1721.16	579.04	1477.58	1304.15	1268.46	435.55	909.17	1617.0	1030.12	2047.0	460.44	713.11	1388.16	813.63	1183.45	1250.98	769.69	1508.65	503.95	1277.29	748.61	1268.46	1794.29	211.31	171.45	124.37	258.57	466.88	248.0	289.02	366.09	285.03	555.41	363.56	152.28	336.79	126.12	420.68	551.56	361.04	651.58	285.03	256.78	620.67	312.0	281.09	420.68	511.0	616.37	299.25	599.49	295.11	518.15	323.03	201.25	232.94	376.41	226.54	297.17	89.51	493.56	119.26	403.5	231.32	193.01	279.14	363.56	237.86	136.19	379.04	341.51	241.19	387.02	201.25	934.76	197.09	406.31	463.65	381.68	346.29	273.37	341.51	265.87
THSD1	493.56	406.31	180.02	231.32	249.73	212.78	106.63	177.53	148.09	217.27	231.32	237.86	220.32	125.24	217.27	125.24	110.43	127.0	171.45	170.25	241.19	164.42	173.85	141.02	140.04	229.72	178.77	171.45	32.36	37.05	53.57	87.03	80.57	78.89	61.68	52.45	81.14	70.51	63.0	16.63	127.0	31.67	85.22	108.9	78.34	69.03	82.87	46.84	173.85	82.29	55.89	54.33	132.44	98.04	43.63	94.67	34.75	72.01	88.26	65.26	32.36	72.52	32.82	69.03	59.97	86.43	53.95	169.07	39.22	66.65	74.06	58.3	81.14	40.93	32.82	84.04	27.05	62.12	41.52	87.03	75.11	85.22	93.35	29.27	119.26	61.68	75.11	194.36
THY1	17804.06	11035.54	8963.45	5913.33	3614.55	1745.2	1561.89	1794.29	3212.66	2816.11	3146.52	2468.49	2061.24	2777.33	6207.38	3212.66	2319.15	2816.11	5995.9	5219.6	5517.27	2047.0	1857.6	3589.58	967.76	3419.52	5751.61	2004.85	708.18	466.88	785.88	1427.22	2178.83	679.29	1447.15	1605.83	1757.34	2367.9	1359.57	1059.11	1407.55	450.94	1674.06	764.36	693.58	1167.14	1295.13	1605.83	3614.55	2163.77	575.03	902.89	1662.49	1467.37	1119.56	3589.58	988.12	2148.82	3467.27	555.41	759.08	1923.14	1427.22	961.07	1651.0	769.69	1277.29	2271.4	669.92	819.3	1639.59	684.02	518.15	406.31	1457.23	884.29	409.15	808.0	579.04	878.17	642.59	1313.23	941.27	441.64	2997.45	2287.2	1081.39	2018.8
TM4SF18	1594.73	3690.52	1304.15	591.22	902.89	470.14	463.65	511.0	587.13	860.08	591.22	490.14	450.94	708.18	769.69	703.28	409.15	363.56	825.0	595.34	947.83	525.39	555.41	518.15	463.65	718.08	830.75	651.58	51.71	98.04	176.29	122.64	647.07	197.09	141.02	198.47	191.67	157.68	417.77	9.13	211.31	85.22	497.0	205.5	164.42	212.78	162.14	172.65	529.06	253.23	117.6	275.28	220.32	316.37	325.29	309.83	43.02	392.44	193.01	190.34	215.77	264.03	84.04	312.0	236.21	244.57	111.21	470.14	169.07	141.02	181.28	120.94	242.88	139.07	255.0	167.9	85.82	241.19	157.68	201.25	281.09	366.09	248.0	123.5	358.54	281.09	221.86	237.86
TMEM132A	441.64	441.64	473.41	251.48	277.2	356.05	229.72	389.72	368.65	351.14	796.86	571.05	275.28	271.48	332.14	381.68	163.28	193.01	186.4	198.47	236.21	190.34	543.96	361.04	178.77	733.19	551.56	493.56	48.18	38.67	24.28	69.03	87.03	59.13	44.57	59.55	43.02	232.94	75.11	44.25	59.97	75.11	183.82	95.34	56.28	115.97	117.6	60.39	190.34	102.25	49.21	59.13	123.5	138.1	59.13	125.24	96.68	133.36	66.65	24.28	19.25	47.84	48.52	82.29	32.82	167.9	35.5	109.66	66.18	94.67	80.01	45.85	33.78	55.89	79.45	70.51	43.94	64.8	33.54	166.73	31.9	83.45	124.37	31.45	95.34	69.03	48.52	147.06
TMEM173	2255.7	2682.69	1277.29	5329.3	1651.0	1397.83	684.02	1857.6	3847.29	3146.52	1073.91	2148.82	2720.15	1313.23	1447.15	1295.13	1059.11	1477.58	1378.57	1175.27	2224.63	1794.29	1721.16	1167.14	1143.1	1487.87	2400.97	1617.0	368.65	432.53	368.65	371.22	825.0	423.61	647.07	540.19	483.38	493.56	571.05	107.38	612.11	171.45	1081.39	723.08	429.54	633.73	376.41	381.68	1322.37	902.89	426.57	497.0	967.76	1832.01	607.87	981.29	854.13	624.99	665.29	543.96	301.33	470.14	417.77	738.29	264.03	595.34	379.04	1417.35	325.29	186.4	587.13	486.75	493.56	384.34	476.71	961.07	209.84	267.73	403.5	884.29	423.61	432.53	842.36	591.22	860.08	480.04	490.14	825.0
TMEM204	2537.92	3103.19	2451.44	2047.0	2163.77	1023.0	1628.26	2417.67	2915.45	1977.24	1350.18	1369.04	1733.13	1286.18	2609.3	2384.37	1745.2	1417.35	1167.14	1844.76	1605.83	1697.45	1322.37	1733.13	848.22	2485.67	1572.76	1135.2	493.56	497.0	229.72	1216.75	312.0	1135.2	1295.13	915.51	718.08	1208.34	420.68	75.11	674.59	503.95	1059.11	909.17	1313.23	1427.22	595.34	583.07	813.63	896.64	693.58	954.43	620.67	713.11	279.14	423.61	176.29	872.1	559.28	848.22	595.34	825.0	162.14	1216.75	256.78	1159.07	176.29	890.44	684.02	688.78	336.79	193.01	764.36	323.03	301.33	775.05	395.18	660.68	660.68	1572.76	575.03	624.99	669.92	503.95	688.78	356.05	1044.52	1008.9
TMEM255B	1313.23	1183.45	808.0	921.88	1051.79	738.29	525.39	1081.39	1242.34	947.83	555.41	808.0	612.11	808.0	884.29	995.0	567.1	406.31	616.37	647.07	703.28	507.46	409.15	466.88	432.53	909.17	540.19	521.76	157.68	105.15	64.34	226.54	212.78	172.65	221.86	204.07	244.57	295.11	305.55	175.07	180.02	171.45	409.15	142.01	181.28	202.66	318.57	151.22	231.32	255.0	176.29	198.47	297.17	201.25	229.72	379.04	204.07	193.01	131.51	185.11	100.13	229.72	100.83	148.09	82.87	258.57	87.65	251.48	144.01	109.66	241.19	226.54	202.66	124.37	178.77	182.55	83.45	117.6	130.6	136.19	112.77	193.01	231.32	226.54	273.37	146.03	197.09	175.07
TMEM88	1572.76	1733.13	1242.34	1250.98	2090.03	1044.52	1806.78	1733.13	1674.06	1467.37	1183.45	1378.57	1369.04	1081.39	2816.11	3540.14	1277.29	909.17	1331.57	1143.1	1397.83	2255.7	1119.56	1295.13	1051.79	1175.27	656.11	1417.35	490.14	343.89	239.52	780.44	599.49	1191.69	1001.93	764.36	947.83	947.83	1540.37	244.57	1037.29	878.17	1208.34	1225.22	785.88	1286.18	406.31	967.76	1001.93	836.53	981.29	830.75	860.08	599.49	567.1	825.0	248.0	872.1	559.28	638.15	183.82	941.27	140.04	1674.06	232.94	2997.45	312.0	785.88	995.0	1529.73	490.14	420.68	595.34	412.0	819.3	447.82	348.71	1051.79	819.3	1923.14	708.18	703.28	819.3	275.28	1111.82	571.05	743.43	1477.58
TMOD2	780.44	435.55	154.42	120.94	73.54	111.99	71.5	147.06	156.59	122.64	147.06	133.36	166.73	109.66	100.83	92.05	82.87	74.06	102.97	70.01	218.79	81.71	93.35	77.25	82.29	90.14	158.79	124.37	33.54	62.56	48.87	60.39	76.17	51.71	41.52	51.35	89.51	152.28	94.67	56.28	42.41	41.22	90.77	52.08	60.82	45.53	46.18	45.53	112.77	76.17	35.25	61.68	85.22	75.64	32.59	108.14	100.13	85.22	59.13	39.5	29.7	48.52	59.55	70.51	79.45	31.0	36.01	67.12	31.22	19.97	48.87	77.79	33.54	23.08	70.01	98.73	50.63	19.53	32.82	52.82	29.48	36.01	64.8	77.79	49.21	55.89	52.82	75.11
TNFAIP8L1	703.28	1104.13	429.54	299.25	343.89	215.77	155.5	187.71	295.11	336.79	198.47	154.42	209.84	295.11	381.68	260.38	212.78	208.38	191.67	265.87	341.51	146.03	199.85	281.09	229.72	454.09	309.83	194.36	33.78	41.22	53.57	118.43	83.45	72.52	47.5	85.22	48.87	158.79	45.21	39.22	77.79	37.85	126.12	85.82	127.0	93.35	104.42	66.65	111.99	55.49	46.5	125.24	108.14	91.41	40.36	92.05	30.34	249.73	85.22	115.16	82.29	79.45	53.95	127.0	39.5	50.27	26.1	88.26	83.45	47.84	127.89	64.8	104.42	38.4	51.71	178.77	72.01	74.58	42.41	117.6	53.95	59.97	77.79	60.39	97.36	76.71	80.57	62.12
TP53I11	5751.61	5479.15	2240.11	1540.37	2739.08	1685.71	995.0	1313.23	1639.59	1183.45	1277.29	1427.22	1191.69	1991.0	2148.82	1896.65	1397.83	1111.82	1806.78	2400.97	1605.83	1233.75	1175.27	1674.06	1498.22	1721.16	1819.35	1304.15	525.39	450.94	480.04	629.35	872.1	629.35	381.68	738.29	647.07	343.89	759.08	2451.44	819.3	417.77	1477.58	1745.2	954.43	470.14	460.44	785.88	1437.15	825.0	567.1	1388.16	612.11	1313.23	395.18	974.5	1135.2	2319.15	457.25	995.0	339.14	748.61	738.29	718.08	256.78	656.11	575.03	665.29	825.0	255.0	1151.06	688.78	480.04	723.08	718.08	764.36	476.71	341.51	325.29	791.35	414.87	591.22	954.43	555.41	728.11	684.02	559.28	679.29
USHBP1	669.92	457.25	297.17	336.79	356.05	217.27	234.57	318.57	309.83	376.41	256.78	275.28	275.28	246.28	295.11	271.48	197.09	149.12	220.32	234.57	283.05	242.88	194.36	249.73	241.19	420.68	178.77	206.94	43.63	55.49	32.82	78.89	81.71	87.65	136.19	106.63	66.18	143.01	88.26	13.32	166.73	44.57	255.0	166.73	118.43	100.83	95.34	45.21	255.0	105.15	119.26	90.14	194.36	198.47	76.71	99.43	59.97	99.43	111.21	97.36	47.84	52.45	44.57	105.15	38.67	150.17	42.11	358.54	93.35	79.45	65.72	90.14	87.03	83.45	77.79	71.5	44.89	51.71	89.51	112.77	92.05	72.01	119.26	77.79	206.94	68.55	96.68	208.38
VASH1	1617.0	1540.37	271.48	507.46	258.57	267.73	164.42	206.94	327.56	521.76	406.31	149.12	332.14	246.28	334.46	301.33	157.68	389.72	241.19	351.14	307.69	185.11	351.14	258.57	185.11	368.65	301.33	329.84	70.01	75.11	43.02	69.03	87.65	66.18	77.25	112.77	92.7	183.82	89.51	45.53	82.87	47.5	186.4	98.73	102.97	123.5	98.04	84.04	214.27	115.97	101.54	85.22	119.26	309.83	92.7	171.45	129.69	194.36	108.14	76.71	62.56	72.01	69.52	176.29	70.51	201.25	48.52	133.36	88.26	45.21	224.97	102.97	65.72	50.63	122.64	159.9	86.43	47.5	73.03	137.14	50.98	115.16	96.68	49.21	132.44	100.13	101.54	251.48
VWA1	5255.91	6745.86	6745.86	6337.83	6471.02	4704.07	4836.35	6887.62	8421.31	3847.29	3982.99	5672.41	3716.2	3146.52	9474.59	7180.15	4181.07	3614.55	6037.61	4095.0	5403.7	6426.31	3716.2	4481.23	4388.98	6840.04	3716.2	5041.77	620.67	529.06	198.47	1733.13	1378.57	1628.26	1340.84	2061.24	2335.28	1857.6	1909.85	493.56	954.43	830.75	2240.11	1639.59	1191.69	2032.85	583.07	974.5	2468.49	2193.99	1059.11	1447.15	1388.16	1378.57	878.17	1819.35	616.37	2287.2	1233.75	785.88	532.74	2032.85	299.25	2018.8	403.5	2816.11	802.41	1769.57	1023.0	1081.39	1127.35	595.34	543.96	866.07	1883.54	728.11	669.92	1417.35	1167.14	2701.35	1044.52	1529.73	1583.71	785.88	1709.26	1073.91	1119.56	1991.0
ZBTB46	429.54	395.18	351.14	283.05	297.17	217.27	223.41	255.0	256.78	287.01	208.38	220.32	264.03	239.52	221.86	226.54	248.0	224.97	318.57	267.73	285.03	244.57	260.38	277.2	234.57	368.65	226.54	248.0	158.79	208.38	120.1	190.34	141.02	182.55	190.34	214.27	199.85	220.32	149.12	163.28	195.72	202.66	234.57	234.57	232.94	201.25	202.66	151.22	161.02	189.02	212.78	199.85	191.67	229.72	150.17	145.02	206.94	197.09	170.25	189.02	170.25	185.11	161.02	241.19	148.09	204.07	175.07	181.28	209.84	187.71	108.14	228.13	190.34	149.12	132.44	155.5	181.28	145.02	176.29	176.29	191.67	157.68	180.02	183.82	258.57	169.07	172.65	246.28
