	GTEX.14C38.2626.SM.5RQI4	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.95.7043.01A.11R.1949.07	TCGA.91.6836.11A.01R.1858.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.13OW5.0726.SM.5KLZK	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.147JS.1226.SM.5RQK4	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.WVJS.0826.SM.4MVNR	GTEX.131XE.0726.SM.5HL9K	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.14A6H.0526.SM.5NQAZ	GTEX.144GO.0226.SM.5LUB1	TCGA.18.3411.01A.01R.0980.07	TCGA.77.8007.11A.01R.2187.07
RBMS2	293.07	195.72	149.12	265.87	251.48	264.03	38.4	53.57	81.14	38.67	25.35	19.11	22.43	33.06	20.86	74.06	24.63	34.26	43.02	15.91	34.51	24.46	38.95	47.5	47.17	20.86	22.59	35.25	56.68	28.65	38.95	126.12	25.54	33.06	33.06	112.77	37.05	20.11	23.25	57.49	23.08	146.03	57.49	507.46	260.38	223.41	825.0	346.29	497.0	543.96	420.68	224.97	291.04	921.88	1233.75	1397.83	320.8	299.25	563.18	307.69	599.49	417.77	1277.29	915.51	175.07	587.13	476.71	813.63	738.29	490.14	1304.15	909.17	1277.29	447.82	1628.26	208.38	438.59
RBMS3	115.97	98.73	72.52	62.56	12.83	10.47	26.67	21.16	6.46	12.36	8.65	17.0	5.19	22.75	11.73	14.24	8.0	22.59	11.3	5.23	13.03	5.73	8.58	38.4	14.67	2.78	10.79	5.96	59.55	6.89	12.93	36.53	111.21	41.81	20.86	21.01	33.06	43.63	18.56	21.78	20.56	56.68	19.68	126.12	13.12	24.99	194.36	90.14	94.01	173.85	181.28	154.42	141.02	642.59	693.58	1127.35	339.14	66.18	246.28	71.0	163.28	381.68	325.29	96.01	101.54	98.73	297.17	234.57	120.1	72.01	361.04	255.0	307.69	303.44	256.78	105.89	100.13
RECK	173.85	122.64	92.05	123.5	63.45	80.01	68.07	134.3	161.02	43.02	10.88	70.01	64.8	86.43	38.12	26.67	79.45	147.06	101.54	22.75	50.63	26.47	15.22	64.34	22.59	41.81	59.55	89.51	108.9	2.18	30.12	120.94	11.73	30.12	29.7	61.25	22.43	16.88	18.84	80.57	16.75	127.0	33.06	145.02	37.32	122.64	199.85	147.06	157.68	173.85	185.11	356.05	124.37	435.55	808.0	295.11	155.5	148.09	277.2	127.89	101.54	348.71	493.56	176.29	62.12	175.07	395.18	201.25	194.36	135.24	688.78	293.07	466.88	211.31	620.67	47.17	242.88
RGPD5	85.82	91.41	154.42	58.3	35.0	29.27	81.14	63.0	211.31	49.91	19.97	35.25	78.89	26.28	52.45	102.97	32.59	70.01	33.3	79.45	31.22	48.87	10.31	50.63	164.42	16.03	15.45	42.71	67.59	3.03	35.76	60.82	24.11	3.47	45.21	32.59	21.16	16.03	53.95	82.87	52.08	159.9	49.91	175.07	88.88	141.02	206.94	140.04	65.72	84.63	169.07	167.9	84.04	55.1	361.04	403.5	134.3	120.94	212.78	74.58	114.36	208.38	320.8	162.14	71.0	162.14	61.25	120.94	169.07	201.25	229.72	305.55	387.02	67.12	454.09	56.28	84.63
ROBO2	7.57	21.63	12.18	2.92	1.36	1.46	4.17	1.71	4.86	1.16	1.68	1.35	79.45	2.73	1.13	2.51	1.55	0.0	0.84	232.94	3.26	50.27	0.45	7.0	0.77	0.0	0.0	0.69	2.14	0.97	4.35	5.11	0.31	0.35	1.93	3.23	1.0	2.23	5.77	43.02	17.0	4.35	24.46	79.45	11.64	17.51	143.01	54.72	41.81	148.09	77.79	125.24	140.04	161.02	454.09	146.03	29.06	16.63	158.79	111.21	13.72	65.72	713.11	162.14	13.62	117.6	148.09	23.08	100.83	98.73	693.58	129.69	723.08	129.69	346.29	8.13	50.63
ROR1	67.59	35.0	24.99	31.67	18.29	14.14	6.52	5.92	1.53	5.19	0.92	5.28	6.67	4.94	1.85	7.63	2.29	0.44	9.48	0.47	1.57	20.26	1.62	9.41	32.82	4.17	19.68	5.87	13.22	0.4	1.23	13.32	0.42	1.2	3.79	2.48	0.0	8.13	3.06	5.73	9.2	11.13	6.67	44.89	3.0	9.48	128.79	82.29	98.73	36.79	206.94	127.0	68.07	133.36	193.01	88.88	58.3	161.02	89.51	36.01	307.69	223.41	123.5	414.87	37.32	158.79	83.45	24.11	371.22	176.29	59.97	106.63	65.26	68.55	146.03	4.24	88.26
RSF1	214.27	146.03	119.26	123.5	78.34	33.3	133.36	153.34	148.09	107.38	84.63	126.12	120.94	88.26	46.5	107.38	88.88	82.29	84.04	142.01	94.01	94.01	75.64	176.29	106.63	125.24	118.43	106.63	130.6	75.64	91.41	129.69	134.3	77.79	77.25	96.68	94.67	90.14	91.41	116.78	134.3	131.51	155.5	237.86	148.09	371.22	376.41	208.38	118.43	267.73	241.19	389.72	309.83	376.41	511.0	547.75	221.86	141.02	208.38	172.65	260.38	307.69	397.93	185.11	289.02	237.86	253.23	384.34	242.88	232.94	651.58	191.67	511.0	241.19	493.56	164.42	176.29
RSRC2	1709.26	1216.75	1183.45	698.41	435.55	312.0	1066.48	591.22	693.58	713.11	967.76	651.58	718.08	647.07	743.43	1044.52	532.74	638.15	808.0	1233.75	808.0	688.78	518.15	1044.52	921.88	551.56	540.19	688.78	995.0	583.07	743.43	902.89	921.88	511.0	435.55	591.22	587.13	476.71	435.55	414.87	759.08	1037.29	444.72	1397.83	1250.98	753.83	1427.22	884.29	1023.0	1369.04	1183.45	1417.35	1023.0	1268.46	2287.2	2018.8	1059.11	896.64	1259.69	915.51	1104.13	1819.35	1498.22	1295.13	738.29	775.05	954.43	1066.48	718.08	1023.0	2537.92	1936.53	1709.26	1059.11	2319.15	921.88	1001.93
RUFY2	56.68	92.7	81.71	92.7	44.25	20.11	75.11	98.73	80.01	69.52	53.19	78.89	82.29	81.14	52.45	101.54	45.21	46.5	60.82	150.17	70.51	90.77	42.11	76.71	99.43	36.27	94.67	94.67	113.56	81.14	121.79	113.56	103.69	26.67	47.17	81.71	47.5	41.52	33.54	48.87	74.58	74.06	46.84	163.28	58.3	118.43	242.88	105.15	140.04	153.34	176.29	151.22	182.55	172.65	228.13	242.88	176.29	93.35	127.0	183.82	96.01	180.02	172.65	93.35	126.12	120.94	223.41	172.65	162.14	154.42	68.07	138.1	143.01	186.4	108.14	65.26	157.68
SH3GL3	1.81	2.12	3.29	1.19	0.0	1.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.49	0.0	0.0	0.53	0.0	0.51	0.0	0.0	0.0	208.38	0.0	92.7	0.0	1.43	0.0	0.52	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.0	0.31	0.0	0.0	1.99	40.07	2.94	1.55	129.69	58.71	36.27	329.84	72.52	0.02	58.3	94.01	438.59	7.94	30.12	89.51	83.45	22.43	31.9	30.34	10.24	56.68	16.75	73.54	187.71	8.85	140.04	82.29	669.92	11.47	361.04	267.73	115.97	0.95	44.25
SHROOM4	170.25	30.56	47.17	70.01	31.0	44.25	19.82	22.59	8.45	12.27	10.79	9.34	7.0	19.82	15.0	18.16	15.45	6.11	15.34	6.26	9.78	37.05	13.32	35.76	17.25	2.12	10.08	6.62	38.4	9.7	15.22	47.84	4.62	5.73	7.69	12.27	3.41	3.17	11.21	14.03	13.03	24.63	5.68	223.41	11.82	34.02	406.31	152.28	126.12	91.41	264.03	14.03	137.14	262.2	866.07	253.23	70.51	77.25	551.56	64.34	204.07	215.77	947.83	176.29	51.35	289.02	97.36	135.24	454.09	152.28	1896.65	226.54	1870.53	221.86	607.87	8.45	169.07
SLCO3A1	1844.76	463.65	392.44	447.82	490.14	293.07	195.72	157.68	41.22	229.72	56.28	80.57	98.73	147.06	170.25	201.25	89.51	88.88	395.18	47.5	373.81	1023.0	224.97	171.45	53.57	93.35	40.07	65.26	277.2	40.64	59.97	320.8	120.94	100.13	33.3	82.87	40.64	183.82	32.13	119.26	38.12	343.89	36.01	536.45	93.35	166.73	738.29	381.68	529.06	785.88	201.25	2468.49	612.11	1794.29	1250.98	638.15	273.37	1023.0	1286.18	281.09	1151.06	995.0	1233.75	1286.18	684.02	941.27	1001.93	785.88	281.09	473.41	1407.55	1923.14	733.19	1199.98	995.0	1781.89	748.61
SLIT2	289.02	19.25	52.08	74.58	22.26	6.73	30.78	48.18	18.16	18.97	4.82	2.48	0.78	17.13	12.64	22.92	4.46	16.03	15.91	1.55	37.59	7.0	15.0	52.08	6.78	2.56	3.32	2.05	65.26	2.34	10.0	63.0	2.86	28.45	20.86	5.15	28.04	21.01	0.14	40.64	3.89	105.15	7.17	343.89	17.64	34.26	476.71	277.2	214.27	291.04	836.53	119.26	185.11	1208.34	351.14	262.2	186.4	199.85	363.56	361.04	211.31	819.3	1651.0	599.49	101.54	738.29	1508.65	285.03	376.41	351.14	1073.91	195.72	1199.98	713.11	384.34	36.53	299.25
SMURF2	376.41	181.28	170.25	204.07	115.97	54.72	81.14	63.89	54.72	53.57	40.36	66.18	66.18	35.5	39.5	105.89	35.0	57.08	51.35	56.28	49.56	80.57	67.12	130.6	176.29	40.64	120.1	57.49	84.04	53.19	105.15	132.44	46.18	48.87	37.05	52.45	25.72	31.67	36.79	43.63	47.5	92.05	26.28	412.0	212.78	417.77	507.46	348.71	351.14	277.2	279.14	253.23	493.56	293.07	447.82	532.74	205.5	162.14	414.87	231.32	246.28	303.44	718.08	432.53	132.44	392.44	267.73	693.58	329.84	256.78	1151.06	258.57	473.41	612.11	435.55	341.51	358.54
SPRED1	251.48	150.17	100.83	205.5	115.97	48.18	70.01	38.67	51.35	54.33	28.86	51.35	29.27	46.5	45.53	92.05	24.46	13.42	64.8	13.83	48.87	35.5	29.48	82.29	24.28	27.25	24.63	31.67	99.43	31.22	31.45	157.68	59.55	96.01	36.01	85.82	40.07	27.64	36.79	82.29	18.43	151.22	45.53	323.03	148.09	116.78	371.22	371.22	397.93	1322.37	297.17	346.29	599.49	228.13	728.11	199.85	293.07	138.1	624.99	156.59	206.94	500.46	656.11	228.13	111.99	285.03	303.44	497.0	403.5	223.41	1127.35	134.3	493.56	426.57	896.64	244.57	327.56
STK4	1991.0	325.29	218.79	366.09	137.14	100.83	135.24	125.24	120.1	138.1	85.22	195.72	136.19	104.42	91.41	212.78	70.51	98.04	148.09	142.01	105.15	169.07	81.71	211.31	236.21	74.06	167.9	181.28	117.6	75.11	119.26	236.21	145.02	132.44	85.82	94.01	96.01	100.13	84.63	98.73	99.43	121.79	105.15	358.54	205.5	199.85	480.04	323.03	318.57	409.15	320.8	327.56	325.29	514.56	536.45	414.87	395.18	299.25	441.64	262.2	339.14	457.25	665.29	289.02	199.85	258.57	361.04	444.72	297.17	221.86	941.27	507.46	723.08	353.59	660.68	130.6	316.37
SWAP70	723.08	493.56	381.68	708.18	303.44	358.54	209.84	314.17	262.2	287.01	149.12	113.56	155.5	121.79	125.24	234.57	118.43	170.25	180.02	127.0	202.66	97.36	142.01	395.18	181.28	123.5	204.07	194.36	265.87	75.64	182.55	470.14	73.54	96.01	33.54	156.59	61.68	66.65	105.15	149.12	50.27	193.01	117.6	612.11	195.72	400.71	769.69	651.58	603.67	555.41	780.44	490.14	688.78	753.83	703.28	878.17	503.95	595.34	909.17	521.76	769.69	934.76	1991.0	1551.09	289.02	780.44	387.02	718.08	733.19	540.19	2682.69	599.49	1313.23	595.34	2335.28	314.17	616.37
TACC1	1277.29	543.96	447.82	896.64	358.54	387.02	307.69	273.37	409.15	232.94	146.03	285.03	432.53	309.83	164.42	384.34	109.66	237.86	226.54	162.14	343.89	183.82	172.65	301.33	884.29	75.11	486.75	255.0	376.41	124.37	242.88	555.41	195.72	503.95	146.03	299.25	170.25	177.53	279.14	209.84	62.12	1044.52	242.88	1540.37	218.79	332.14	2178.83	1529.73	1350.18	1561.89	1857.6	941.27	1594.73	2468.49	2303.12	1923.14	1277.29	995.0	2451.44	1950.0	753.83	2645.74	15180.22	1697.45	693.58	2032.85	2018.8	2004.85	2271.4	1896.65	3212.66	3742.05	10512.82	1757.34	2664.15	248.0	1769.57
TANC1	332.14	104.42	140.04	221.86	102.25	110.43	136.19	111.21	157.68	94.67	64.8	39.5	112.77	74.06	66.65	111.99	63.45	140.04	78.89	59.55	72.52	76.71	50.63	106.63	48.52	50.27	55.89	104.42	156.59	63.0	112.77	164.42	76.71	180.02	32.59	122.64	41.81	37.59	62.12	50.98	42.71	108.9	53.19	429.54	176.29	221.86	454.09	248.0	241.19	336.79	249.73	217.27	312.0	417.77	525.39	480.04	341.51	234.57	583.07	265.87	363.56	493.56	612.11	769.69	205.5	325.29	400.71	379.04	426.57	417.77	1331.57	460.44	769.69	351.14	947.83	220.32	341.51
TCF21	967.76	8.51	70.01	106.63	38.12	27.84	14.24	11.64	1.38	8.71	1.07	3.0	2.61	14.24	9.63	3.69	2.66	3.14	10.71	3.41	11.13	1.69	11.82	12.64	4.35	2.68	4.58	2.56	27.05	1.83	8.65	40.93	25.17	41.52	43.32	15.91	34.26	25.17	14.56	36.01	28.45	68.55	40.07	297.17	12.27	16.39	575.03	358.54	400.71	279.14	376.41	325.29	23.25	2287.2	3665.02	403.5	503.95	299.25	312.0	718.08	57.89	665.29	1167.14	470.14	36.01	555.41	3372.43	1135.2	151.22	361.04	3280.18	1051.79	633.73	651.58	1769.57	8.65	293.07
TGFB3	532.74	187.71	500.46	684.02	145.02	228.13	312.0	228.13	166.73	113.56	27.05	46.18	19.68	198.47	108.14	327.56	82.87	78.89	198.47	32.59	82.87	575.03	114.36	327.56	56.68	153.34	54.33	58.71	490.14	53.57	69.52	490.14	79.45	514.56	65.26	85.22	72.52	86.43	57.49	73.54	71.5	202.66	33.3	511.0	99.43	107.38	341.51	351.14	201.25	1477.58	199.85	507.46	567.1	457.25	1617.0	346.29	500.46	283.05	1781.89	117.6	271.48	884.29	1745.2	301.33	182.55	108.14	341.51	283.05	142.01	132.44	2193.99	318.57	1832.01	500.46	1051.79	571.05	830.75
TMEM173	1295.13	503.95	579.04	1447.15	444.72	1001.93	447.82	450.94	119.26	435.55	170.25	229.72	74.58	432.53	291.04	511.0	190.34	58.3	289.02	110.43	223.41	77.79	325.29	612.11	102.25	59.97	166.73	100.83	819.3	105.15	205.5	1023.0	172.65	239.52	157.68	356.05	148.09	226.54	134.3	279.14	157.68	872.1	182.55	2434.5	358.54	476.71	2682.69	2090.03	3742.05	3303.0	2351.53	3614.55	981.29	1991.0	1388.16	1225.22	1073.91	2434.5	4450.27	2271.4	1407.55	2835.7	6887.62	2335.28	1721.16	1883.54	2627.46	3614.55	1561.89	2664.15	4450.27	1313.23	2351.53	2720.15	4836.35	854.13	2627.46
TNFAIP8L3	98.73	61.68	90.77	180.02	74.58	127.89	35.76	67.59	123.5	38.67	4.58	155.5	21.78	63.45	21.47	90.14	19.53	40.36	164.42	2.89	73.54	42.41	45.85	111.99	14.14	7.17	44.25	67.59	117.6	1.73	14.56	79.45	21.32	23.59	4.31	35.76	3.08	25.54	30.12	38.4	0.6	86.43	29.7	73.54	25.17	19.68	90.77	115.97	106.63	142.01	150.17	299.25	52.82	283.05	638.15	241.19	147.06	246.28	547.75	59.55	241.19	151.22	791.35	457.25	187.71	94.67	120.1	189.02	281.09	147.06	356.05	229.72	291.04	87.65	379.04	22.26	201.25
TOX2	483.38	46.5	38.95	137.14	19.39	120.1	53.95	53.95	24.81	77.79	45.21	229.72	83.45	199.85	77.25	164.42	24.81	332.14	158.79	58.3	483.38	60.39	48.52	395.18	50.27	159.9	88.88	19.53	128.79	28.04	115.16	197.09	1.16	97.36	43.94	108.14	90.14	34.51	79.45	88.26	36.79	31.45	25.91	221.86	34.02	29.91	406.31	312.0	400.71	56.68	231.32	231.32	63.89	624.99	1417.35	587.13	381.68	303.44	785.88	629.35	223.41	182.55	1199.98	1059.11	172.65	221.86	884.29	708.18	176.29	785.88	1340.84	2163.77	830.75	303.44	1059.11	63.45	470.14
TSHZ3	102.25	19.97	19.25	84.63	15.11	37.59	22.1	22.75	10.0	15.0	6.31	11.73	3.89	15.91	8.32	28.86	9.13	2.66	13.83	4.54	8.19	3.47	11.73	24.46	7.75	3.29	10.47	5.59	39.22	3.44	10.0	49.21	7.34	9.78	11.73	14.89	14.56	9.27	9.85	14.35	3.76	57.49	9.7	77.79	15.22	23.08	55.49	59.13	45.85	28.86	52.08	173.85	119.26	146.03	121.79	122.64	112.77	69.03	98.04	28.24	42.11	175.07	255.0	47.17	60.39	29.91	119.26	129.69	14.14	26.1	262.2	56.28	169.07	116.78	185.11	33.3	93.35
UNC13B	178.77	293.07	514.56	285.03	688.78	356.05	163.28	312.0	748.61	177.53	231.32	177.53	115.97	123.5	136.19	201.25	460.44	318.57	285.03	146.03	149.12	190.34	165.57	229.72	595.34	205.5	253.23	384.34	158.79	202.66	214.27	265.87	150.17	167.9	53.57	197.09	221.86	88.26	293.07	447.82	98.73	403.5	412.0	988.12	121.79	723.08	1313.23	603.67	808.0	366.09	848.22	239.52	332.14	603.67	1883.54	1322.37	406.31	409.15	435.55	1923.14	373.81	466.88	438.59	1498.22	395.18	1572.76	555.41	493.56	1529.73	2178.83	743.43	2434.5	1340.84	591.22	848.22	59.55	567.1
VCL	2319.15	327.56	738.29	1143.1	629.35	693.58	316.37	387.02	379.04	303.44	194.36	318.57	255.0	251.48	223.41	454.09	166.73	143.01	400.71	291.04	291.04	212.78	217.27	361.04	392.44	141.02	199.85	283.05	529.06	161.02	169.07	599.49	193.01	381.68	138.1	251.48	178.77	167.9	218.79	221.86	109.66	426.57	271.48	909.17	327.56	392.44	1111.82	759.08	808.0	583.07	1757.34	1096.5	1111.82	1295.13	1594.73	1073.91	612.11	890.44	2047.0	764.36	1037.29	1159.07	2720.15	2319.15	595.34	1322.37	1183.45	928.3	2451.44	1417.35	2485.67	1605.83	3540.14	1199.98	1044.52	579.04	928.3
VGLL3	79.45	2.16	39.22	47.17	7.94	3.59	8.0	10.88	12.27	5.96	0.69	0.97	0.0	5.19	3.08	21.16	1.53	3.72	4.62	0.65	4.43	0.62	3.72	21.16	1.85	1.22	1.39	1.66	20.11	1.28	2.41	17.38	2.68	22.1	1.06	2.12	2.29	4.98	0.25	1.17	1.62	13.12	2.46	98.73	28.04	24.46	150.17	104.42	70.51	145.02	140.04	329.84	75.64	258.57	265.87	111.99	39.79	106.63	217.27	37.05	92.05	277.2	684.02	289.02	10.96	141.02	141.02	135.24	193.01	63.45	974.5	395.18	497.0	194.36	507.46	17.25	121.79
ZEB2	2148.82	854.13	470.14	1023.0	248.0	208.38	199.85	124.37	98.73	124.37	54.72	96.01	34.02	150.17	93.35	251.48	41.52	38.4	107.38	29.27	53.57	29.27	55.89	223.41	68.55	29.48	48.52	73.54	271.48	36.01	91.41	507.46	105.89	146.03	197.09	158.79	55.1	173.85	59.13	156.59	141.02	356.05	172.65	1277.29	81.14	140.04	1242.34	902.89	842.36	1685.71	967.76	1295.13	1832.01	1639.59	1857.6	842.36	1529.73	1111.82	2224.63	723.08	934.76	1437.15	2319.15	500.46	518.15	607.87	1127.35	2287.2	529.06	473.41	3235.01	961.07	2240.11	1447.15	2739.08	152.28	1059.11
ZNF609	193.01	130.6	74.06	152.28	115.16	84.04	98.04	81.71	62.12	94.67	96.01	85.82	88.26	55.49	89.51	120.94	49.56	158.79	105.15	112.77	116.78	162.14	74.58	138.1	74.06	41.22	61.25	52.08	102.25	48.18	90.14	125.24	86.43	125.24	73.03	58.3	100.83	77.25	92.05	127.89	114.36	176.29	111.99	237.86	59.55	220.32	327.56	107.38	154.42	426.57	180.02	295.11	183.82	305.55	387.02	420.68	175.07	144.01	291.04	124.37	175.07	318.57	295.11	226.54	265.87	201.25	185.11	201.25	173.85	181.28	638.15	194.36	457.25	236.21	466.88	90.14	150.17
