	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.145MO.1426.SM.5Q5BS	GTEX.12WSL.1526.SM.5GCP8	GTEX.11EM3.0826.SM.5N9CC	GTEX.12KS4.0926.SM.5BC5S	GTEX.R3RS.1326.SM.48FE7	GTEX.ZE9C.1126.SM.4WWBD	GTEX.13CF3.1626.SM.5IFG9	GTEX.X15G.0826.SM.4PQZD	GTEX.Y3I4.1226.SM.4TT8N	GTEX.12696.1326.SM.5FQTJ	GTEX.QEG4.0726.SM.4R1JL	GTEX.XK95.1026.SM.4GIDV	GTEX.13X6H.1326.SM.5LU42	GTEX.1497J.2726.SM.5SI9W	GTEX.UJHI.0826.SM.4IHLM	GTEX.11LCK.1726.SM.5S2OQ	GTEX.111YS.0926.SM.5EGGI	GTEX.131YS.1426.SM.5IJF7	GTEX.WH7G.0926.SM.4LVMJ	GTEX.WFG8.1226.SM.4V6EI	GTEX.14DAQ.1426.SM.5RQJD	GTEX.WFJO.0826.SM.4LVM5	GTEX.11NUK.1326.SM.5P9GN	GTEX.XUJ4.1026.SM.4BOPB	GTEX.QEG5.1426.SM.447AS	GTEX.14BIN.2726.SM.5RQIE	GTEX.13111.0826.SM.5LZV3	GTEX.14C38.2126.SM.5RQJO	GTEX.146FR.0426.SM.5SI97	GTEX.ZYVF.2226.SM.5GIDD	GTEX.RN64.1026.SM.48FDX	GTEX.Y8E4.1726.SM.5LU9G	GTEX.T2IS.0826.SM.4DM6L	GTEX.11ZTS.2626.SM.5EGIC	GTEX.ZGAY.1126.SM.4WWBS	GTEX.ZYY3.1526.SM.5SIA9	GTEX.OXRL.0626.SM.3NM9C	GTEX.XV7Q.1126.SM.4BRVS	GTEX.R55E.1326.SM.48FCR	GTEX.13OVG.0626.SM.5IFEP	GTEX.ZUA1.1226.SM.5NQ6O	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.7391.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.BA.5151.01A.01R.1436.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.6936.11A.01R.1915.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7250.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.CV.6935.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.XMK1.2626.SM.4B65R	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
MRPS25	423.61	1208.34	961.07	1277.29	1066.48	1059.11	1304.15	808.0	693.58	780.44	1008.9	1467.37	547.75	1081.39	1216.75	1225.22	947.83	1135.2	1583.71	1151.06	1135.2	1175.27	1208.34	1175.27	1529.73	1313.23	1023.0	1447.15	1066.48	1096.5	1001.93	1127.35	825.0	967.76	703.28	1001.93	1508.65	866.07	1350.18	1208.34	1037.29	1313.23	941.27	1088.92	1111.82	1191.69	1167.14	1191.69	1008.9	1437.15	1191.69	825.0	1709.26	947.83	1487.87	363.56	713.11	915.51	669.92	603.67	555.41	775.05	348.71	748.61	656.11	1059.11	688.78	633.73	718.08	703.28	1008.9	808.0	836.53	571.05	1111.82	780.44	0.0	1.01	764.36	638.15	647.07	902.89	748.61	435.55	674.59	518.15
MSANTD1	6.46	6.16	5.36	0.88	6.01	2.86	5.28	5.11	4.86	9.85	5.73	5.96	4.66	3.2	12.0	4.66	7.94	17.64	14.45	13.12	2.43	9.06	6.62	6.62	18.03	19.97	3.5	5.54	6.78	8.25	3.79	9.13	4.74	4.9	13.42	5.82	11.04	13.83	26.1	24.63	7.63	13.32	7.0	31.67	24.11	14.14	17.25	8.13	5.32	23.42	6.36	23.76	14.89	5.32	24.11	0.59	1.16	1.85	1.08	1.22	1.14	0.56	1.01	0.61	2.12	3.79	2.07	1.64	1.58	0.65	1.97	0.62	1.19	1.06	1.03	0.64	0.0	0.37	0.61	3.0	4.21	2.97	1.53	1.57	1.22	0.73
MSANTD2	77.25	142.01	124.37	59.97	205.5	158.79	98.73	145.02	116.78	116.78	114.36	111.99	82.87	112.77	181.28	139.07	87.65	236.21	264.03	185.11	110.43	150.17	127.0	169.07	220.32	366.09	103.69	221.86	149.12	130.6	95.34	204.07	137.14	100.13	269.6	96.01	199.85	132.44	191.67	256.78	133.36	158.79	141.02	239.52	186.4	162.14	260.38	220.32	104.42	299.25	195.72	237.86	205.5	133.36	316.37	46.18	32.13	40.36	28.86	58.71	25.17	37.85	34.02	42.71	88.88	55.49	43.94	55.49	37.85	73.03	52.08	43.32	37.59	80.01	56.68	39.79	0.0	0.61	15.91	49.56	29.06	39.22	42.41	31.0	27.05	34.02
MTO1	186.4	518.15	301.33	511.0	414.87	368.65	403.5	387.02	318.57	312.0	231.32	339.14	220.32	429.54	389.72	518.15	323.03	373.81	500.46	454.09	579.04	518.15	470.14	346.29	518.15	336.79	595.34	420.68	341.51	384.34	412.0	373.81	279.14	353.59	454.09	447.82	269.6	341.51	679.29	301.33	373.81	728.11	397.93	441.64	318.57	412.0	379.04	201.25	334.46	599.49	483.38	438.59	323.03	435.55	420.68	381.68	356.05	376.41	236.21	435.55	236.21	532.74	291.04	363.56	356.05	307.69	239.52	426.57	248.0	269.6	381.68	242.88	329.84	336.79	273.37	301.33	0.0	0.2	271.48	285.03	239.52	351.14	346.29	264.03	295.11	189.02
MZF1	239.52	647.07	463.65	384.34	660.68	607.87	432.53	432.53	429.54	463.65	435.55	363.56	236.21	536.45	708.18	460.44	343.89	764.36	1529.73	1119.56	373.81	819.3	525.39	507.46	769.69	1304.15	358.54	860.08	718.08	397.93	329.84	759.08	518.15	476.71	872.1	466.88	842.36	547.75	595.34	1143.1	379.04	764.36	454.09	1111.82	753.83	480.04	878.17	830.75	426.57	1111.82	669.92	688.78	713.11	486.75	743.43	24.99	71.5	76.71	63.89	144.01	81.14	105.89	84.04	85.22	234.57	101.54	202.66	151.22	146.03	118.43	146.03	72.01	124.37	147.06	128.79	115.16	0.0	1.01	34.02	180.02	123.5	111.99	177.53	100.83	105.15	99.43
NAT9	281.09	591.22	633.73	934.76	688.78	1008.9	813.63	718.08	785.88	435.55	813.63	890.44	728.11	497.0	830.75	507.46	348.71	567.1	947.83	723.08	447.82	532.74	493.56	616.37	884.29	915.51	525.39	890.44	500.46	460.44	366.09	743.43	463.65	417.77	579.04	438.59	808.0	547.75	934.76	775.05	457.25	743.43	599.49	718.08	466.88	486.75	738.29	607.87	483.38	791.35	802.41	688.78	813.63	409.15	693.58	275.28	249.73	309.83	258.57	289.02	156.59	397.93	283.05	389.72	231.32	242.88	265.87	366.09	180.02	271.48	206.94	156.59	218.79	281.09	318.57	260.38	830.75	2090.03	129.69	320.8	116.78	341.51	221.86	145.02	147.06	111.99
NELFA	1127.35	733.19	1111.82	896.64	708.18	460.44	1088.92	934.76	1088.92	1111.82	1143.1	808.0	521.76	1143.1	878.17	796.86	764.36	988.12	1088.92	1008.9	684.02	896.64	785.88	1216.75	902.89	1044.52	723.08	1015.93	981.29	698.41	825.0	961.07	995.0	954.43	1030.12	848.22	1111.82	1066.48	1001.93	1268.46	934.76	928.3	703.28	1023.0	1250.98	878.17	1015.93	1159.07	713.11	909.17	808.0	825.0	947.83	860.08	1051.79	220.32	500.46	514.56	314.17	647.07	525.39	241.19	473.41	444.72	607.87	438.59	995.0	583.07	728.11	759.08	555.41	454.09	708.18	583.07	775.05	842.36	0.0	0.88	334.46	759.08	836.53	642.59	842.36	743.43	785.88	830.75
NHLH1	6.84	8.45	5.41	4.17	4.74	3.86	4.13	7.63	5.77	8.0	6.57	9.27	4.82	3.41	1.99	2.41	4.13	10.31	5.5	4.86	2.71	3.72	1.81	9.2	6.31	4.62	4.17	5.59	2.14	5.41	6.62	2.27	6.01	5.32	2.56	4.31	2.84	13.42	8.38	9.13	4.54	3.32	4.24	4.43	11.13	4.17	7.94	12.27	1.38	5.15	3.08	1.62	6.31	8.92	6.26	0.0	0.0	1.3	1.85	3.08	1.5	1.97	1.3	0.95	4.74	3.06	2.36	1.95	2.34	2.41	0.95	1.85	2.53	4.35	1.71	0.99	0.0	0.16	0.14	3.29	3.82	2.1	3.29	2.58	0.19	3.41
NPRL3	341.51	406.31	651.58	684.02	392.44	314.17	665.29	532.74	723.08	551.56	483.38	435.55	591.22	571.05	759.08	693.58	551.56	629.35	791.35	679.29	532.74	638.15	728.11	567.1	941.27	872.1	669.92	693.58	733.19	547.75	555.41	651.58	775.05	693.58	718.08	473.41	1030.12	854.13	748.61	796.86	665.29	808.0	575.03	848.22	713.11	559.28	738.29	796.86	450.94	759.08	743.43	486.75	934.76	540.19	708.18	144.01	351.14	361.04	241.19	435.55	490.14	420.68	343.89	273.37	409.15	483.38	351.14	463.65	497.0	303.44	447.82	176.29	376.41	339.14	473.41	500.46	0.0	0.49	309.83	529.06	295.11	371.22	447.82	297.17	511.0	314.17
NR2F6	2434.5	796.86	961.07	571.05	483.38	373.81	1030.12	595.34	842.36	802.41	1233.75	669.92	343.89	1208.34	1697.45	842.36	1159.07	1066.48	3419.52	1950.0	1417.35	1583.71	1487.87	1073.91	1709.26	1857.6	872.1	1407.55	1059.11	1111.82	954.43	1709.26	1268.46	1008.9	1216.75	1088.92	1769.57	1437.15	1909.85	1844.76	1059.11	1175.27	902.89	1417.35	2400.97	1096.5	1697.45	2209.26	1242.34	1417.35	1088.92	1397.83	1088.92	718.08	1183.45	275.28	529.06	567.1	175.07	718.08	733.19	381.68	669.92	400.71	406.31	327.56	780.44	500.46	941.27	723.08	866.07	447.82	470.14	738.29	753.83	1008.9	0.0	0.61	397.93	441.64	780.44	638.15	842.36	620.67	819.3	1127.35
NT5C	1427.22	1322.37	1540.37	2178.83	1073.91	1819.35	1857.6	1407.55	1378.57	1350.18	2075.59	2319.15	1832.01	1242.34	1437.15	974.5	1519.15	1540.37	2018.8	1407.55	1896.65	1295.13	1096.5	1508.65	2104.58	1572.76	1233.75	2133.97	1127.35	1286.18	988.12	1388.16	1407.55	1628.26	1225.22	1175.27	2384.37	1397.83	2148.82	1883.54	1242.34	2119.22	1143.1	1350.18	2133.97	1127.35	2255.7	1832.01	1529.73	1583.71	1617.0	836.53	1936.53	1183.45	1561.89	603.67	1059.11	1191.69	981.29	872.1	813.63	819.3	896.64	1044.52	854.13	830.75	967.76	1127.35	1233.75	928.3	1037.29	1277.29	1183.45	884.29	1651.0	1023.0	0.0	0.93	1277.29	1369.04	1388.16	1277.29	1175.27	1832.01	860.08	2047.0
NUDT19	414.87	281.09	198.47	199.85	220.32	180.02	143.01	253.23	206.94	165.57	139.07	131.51	108.14	153.34	441.64	343.89	293.07	327.56	441.64	371.22	320.8	332.14	348.71	389.72	361.04	493.56	262.2	414.87	226.54	285.03	348.71	339.14	269.6	269.6	334.46	379.04	373.81	255.0	366.09	309.83	293.07	409.15	201.25	301.33	420.68	339.14	381.68	403.5	299.25	392.44	305.55	239.52	381.68	239.52	435.55	145.02	218.79	260.38	92.05	208.38	262.2	285.03	209.84	151.22	232.94	229.72	283.05	279.14	195.72	264.03	329.84	158.79	199.85	301.33	277.2	295.11	244.57	3103.19	264.03	136.19	303.44	228.13	450.94	242.88	486.75	486.75
PDF	166.73	102.25	237.86	353.59	84.63	76.17	289.02	191.67	144.01	178.77	206.94	131.51	205.5	195.72	389.72	223.41	295.11	185.11	525.39	293.07	412.0	262.2	336.79	224.97	314.17	236.21	305.55	318.57	241.19	283.05	320.8	187.71	293.07	285.03	153.34	260.38	303.44	291.04	395.18	368.65	229.72	389.72	186.4	154.42	251.48	246.28	228.13	289.02	305.55	320.8	307.69	182.55	262.2	212.78	191.67	80.01	164.42	206.94	79.45	143.01	132.44	102.25	156.59	105.89	201.25	241.19	173.85	178.77	218.79	140.04	228.13	161.02	381.68	111.21	260.38	152.28	0.0	0.05	195.72	146.03	215.77	249.73	161.02	273.37	182.55	182.55
PGLS	3665.02	1508.65	3467.27	3146.52	1175.27	1605.83	3665.02	1757.34	2163.77	2895.31	2502.97	1519.15	2148.82	4038.61	2956.17	2018.8	1936.53	2434.5	3768.09	3665.02	2451.44	2468.49	2609.3	2384.37	2351.53	3146.52	2255.7	2400.97	2148.82	2664.15	1977.24	2384.37	2664.15	2915.45	2163.77	2701.35	3794.3	2976.74	3515.68	3742.05	2485.67	3564.78	1977.24	3768.09	3235.01	3018.3	2956.17	3690.52	2664.15	2796.65	2303.12	2240.11	2573.36	2209.26	2758.13	1417.35	2193.99	2224.63	1388.16	2119.22	1844.76	1208.34	3081.75	1447.15	1437.15	1199.98	2758.13	1781.89	2468.49	1709.26	2090.03	2018.8	2287.2	1651.0	2537.92	2224.63	0.0	0.47	2400.97	2664.15	1950.0	1457.23	2271.4	2434.5	2255.7	2502.97
PLGLB1	84.04	118.43	88.26	23.59	159.9	88.88	73.54	138.1	103.69	110.43	98.73	66.65	31.0	54.33	92.7	49.21	13.32	193.01	246.28	206.94	27.44	94.67	49.21	163.28	139.07	115.97	24.81	42.71	67.59	37.85	10.31	146.03	51.35	22.26	162.14	28.24	69.03	61.25	95.34	291.04	44.25	84.63	53.19	279.14	379.04	58.3	285.03	110.43	16.51	127.89	102.25	125.24	130.6	76.17	105.15	5.96	5.87	9.13	1.38	18.03	10.55	8.99	8.25	26.1	19.82	12.74	22.75	20.26	19.53	17.0	6.31	11.82	0.0	29.7	20.41	15.68	0.0	0.46	3.38	3.72	10.16	8.85	10.71	2.48	5.15	11.91
PLGLB2	13.03	23.93	27.84	8.38	32.13	10.47	0.0	5.06	6.36	3.79	18.43	66.65	9.56	17.9	10.16	13.83	0.0	41.22	66.18	2.66	15.91	14.14	3.44	27.05	55.89	107.38	3.99	43.32	25.72	16.27	11.3	29.7	14.78	19.82	72.52	5.06	18.7	28.86	28.45	50.98	11.3	47.17	11.82	60.39	54.33	4.9	21.78	21.32	2.71	0.0	36.27	38.67	48.52	0.0	69.52	3.63	2.71	6.62	10.08	1.23	3.69	3.79	3.2	0.0	10.71	14.67	6.52	1.66	0.0	0.65	5.73	7.75	4.35	13.52	15.91	5.96	0.0	0.22	0.41	7.4	5.73	3.96	6.26	6.21	1.73	7.94
PNN	684.02	1697.45	1037.29	995.0	2047.0	1721.16	1059.11	1844.76	1781.89	921.88	1417.35	1923.14	1143.1	967.76	1487.87	1397.83	1295.13	2004.85	2335.28	1551.09	1397.83	1397.83	1540.37	1883.54	2520.38	1745.2	1295.13	2758.13	1417.35	1233.75	1519.15	1769.57	1268.46	1388.16	1651.0	1447.15	1733.13	1225.22	1583.71	1519.15	1268.46	1697.45	1477.58	1844.76	1388.16	1467.37	1769.57	1909.85	1407.55	2351.53	1757.34	1498.22	2004.85	1427.22	2133.97	202.66	392.44	551.56	279.14	540.19	381.68	616.37	525.39	954.43	1073.91	651.58	497.0	642.59	583.07	633.73	543.96	341.51	480.04	656.11	603.67	473.41	575.03	163.28	115.97	500.46	511.0	420.68	599.49	463.65	373.81	414.87
PPP1R10	995.0	642.59	728.11	536.45	684.02	518.15	651.58	529.06	629.35	543.96	457.25	444.72	551.56	543.96	878.17	902.89	543.96	836.53	909.17	1059.11	633.73	941.27	872.1	884.29	813.63	902.89	547.75	915.51	775.05	723.08	723.08	981.29	497.0	571.05	791.35	902.89	896.64	708.18	884.29	860.08	785.88	1081.39	612.11	1127.35	1167.14	728.11	836.53	633.73	447.82	796.86	1111.82	825.0	1175.27	457.25	796.86	336.79	813.63	612.11	466.88	796.86	514.56	808.0	351.14	518.15	616.37	529.06	591.22	902.89	460.44	651.58	466.88	312.0	435.55	559.28	728.11	616.37	0.0	0.0	339.14	417.77	536.45	420.68	866.07	507.46	633.73	368.65
PPT2-EGFL8	40.36	121.79	105.15	61.25	90.77	93.35	138.1	103.69	76.17	158.79	144.01	67.12	73.03	264.03	85.22	90.77	98.73	165.57	209.84	283.05	155.5	169.07	115.16	287.01	204.07	155.5	73.03	117.6	102.25	75.64	96.68	312.0	91.41	120.1	237.86	119.26	127.0	132.44	208.38	239.52	139.07	143.01	67.12	249.73	287.01	101.54	275.28	136.19	85.22	218.79	123.5	170.25	289.02	108.14	232.94	6.41	7.46	15.8	5.92	8.99	14.14	18.97	4.58	25.54	47.17	43.63	21.78	20.71	11.64	18.16	17.9	21.47	22.26	38.4	29.7	13.12	0.0	0.83	11.04	17.0	74.06	29.27	15.34	12.36	22.75	7.4
RAD51AP2	5.96	3.92	2.51	0.53	4.54	1.69	1.43	8.38	2.27	2.66	1.85	0.56	3.11	3.56	6.11	5.11	2.66	7.88	7.17	6.46	2.46	9.27	2.34	9.06	1.36	17.9	1.38	8.85	3.03	3.26	6.21	3.59	1.16	4.58	5.41	5.92	6.36	5.06	5.59	8.58	5.41	12.93	5.11	8.71	4.35	6.41	9.7	9.48	3.86	4.82	9.78	5.36	4.21	3.29	7.0	0.43	0.96	2.34	0.46	1.5	0.0	1.13	0.83	0.87	2.27	0.0	2.2	0.93	0.91	1.81	1.28	1.71	0.97	1.27	1.2	1.33	0.0	0.0	2.61	0.21	4.31	1.64	3.53	3.79	4.46	10.08
RFNG	406.31	674.59	1001.93	813.63	571.05	624.99	1322.37	759.08	961.07	1037.29	1096.5	775.05	1001.93	1096.5	1225.22	813.63	633.73	915.51	1407.55	1551.09	718.08	928.3	684.02	995.0	1508.65	1628.26	651.58	1159.07	928.3	748.61	583.07	1127.35	1073.91	947.83	1143.1	775.05	1388.16	1159.07	1447.15	1551.09	748.61	1183.45	674.59	1457.23	1662.49	941.27	1407.55	1447.15	785.88	1304.15	947.83	928.3	1225.22	802.41	1183.45	493.56	514.56	356.05	450.94	514.56	295.11	323.03	830.75	412.0	540.19	483.38	769.69	543.96	684.02	555.41	612.11	497.0	559.28	514.56	603.67	660.68	0.0	0.83	409.15	753.83	403.5	480.04	563.18	473.41	500.46	291.04
RP11-192H23.4	30.12	65.26	50.63	30.34	78.34	32.13	55.1	52.82	31.45	52.45	100.83	35.76	74.58	30.12	94.67	60.82	32.82	86.43	153.34	122.64	47.84	86.43	75.64	92.05	107.38	137.14	54.72	139.07	98.73	62.12	41.52	91.41	50.98	58.71	80.01	42.71	141.02	65.72	159.9	118.43	88.26	133.36	36.53	127.89	100.13	66.65	115.97	127.0	69.52	145.02	84.04	111.99	132.44	51.35	132.44	11.64	17.77	18.7	16.51	19.39	27.84	24.11	13.93	16.03	18.7	5.82	9.85	17.64	10.71	8.0	9.34	3.72	4.66	11.13	21.94	6.31	0.0	0.89	1.68	10.16	17.25	22.1	13.12	7.51	6.06	8.85
RP11-867G23.8	29.91	28.86	11.3	6.67	22.59	28.86	12.45	14.35	10.47	7.28	14.14	12.64	3.53	7.63	78.34	52.08	78.34	90.77	122.64	71.5	53.95	79.45	84.63	108.9	74.06	59.97	53.19	93.35	10.63	20.86	20.26	147.06	84.63	54.72	102.25	68.07	178.77	46.84	128.79	123.5	176.29	232.94	57.08	67.59	170.25	58.71	269.6	87.03	90.77	142.01	75.11	53.19	96.68	26.67	102.25	23.42	37.59	28.86	15.34	34.02	15.45	21.94	14.45	9.06	41.22	49.91	30.56	53.57	35.25	40.36	12.93	19.97	26.28	34.02	28.24	35.5	0.0	0.0	17.51	41.52	10.47	55.89	18.03	8.65	36.01	3.96
RP11-87C12.2	7.06	0.0	0.69	2.25	18.84	26.47	18.84	9.63	7.17	7.28	5.54	3.86	7.75	9.13	18.29	7.22	2.25	56.68	71.0	34.26	8.45	22.26	24.99	45.85	40.64	81.71	2.48	46.5	10.47	3.63	6.52	22.92	4.78	8.65	28.24	12.83	41.22	3.86	45.21	56.68	9.41	62.56	5.82	43.63	45.85	58.71	57.08	36.01	6.89	42.11	8.13	18.03	48.18	9.7	65.72	2.58	0.0	2.56	0.78	3.14	0.82	1.14	1.66	3.17	5.45	0.0	3.79	0.78	0.77	2.84	5.02	1.25	4.62	3.59	3.0	0.0	0.0	0.38	0.0	3.72	0.0	1.64	0.13	2.07	0.0	1.41
RRP8	283.05	366.09	423.61	429.54	414.87	514.56	603.67	460.44	287.01	287.01	303.44	521.76	447.82	435.55	412.0	255.0	269.6	480.04	567.1	490.14	356.05	414.87	371.22	518.15	607.87	518.15	320.8	409.15	265.87	312.0	299.25	444.72	307.69	309.83	432.53	373.81	603.67	297.17	426.57	514.56	334.46	518.15	336.79	420.68	629.35	441.64	559.28	441.64	271.48	532.74	435.55	423.61	567.1	303.44	567.1	265.87	275.28	435.55	232.94	356.05	234.57	297.17	275.28	361.04	346.29	279.14	267.73	351.14	329.84	397.93	358.54	376.41	353.59	356.05	463.65	343.89	0.0	0.41	409.15	309.83	307.69	518.15	371.22	379.04	285.03	231.32
RSG1	54.33	95.34	118.43	62.56	71.5	30.56	64.8	101.54	64.34	117.6	124.37	71.0	79.45	140.04	104.42	157.68	98.73	98.04	131.51	92.7	88.26	118.43	114.36	94.67	71.0	63.45	96.68	104.42	112.77	94.67	94.01	111.99	111.21	109.66	100.13	147.06	115.16	97.36	205.5	149.12	81.14	144.01	85.82	97.36	105.15	95.34	113.56	105.15	105.89	90.14	94.01	123.5	139.07	91.41	99.43	38.12	69.52	131.51	42.71	104.42	83.45	78.89	38.67	44.25	52.08	39.5	132.44	167.9	81.71	81.71	67.59	88.26	61.68	99.43	130.6	145.02	0.0	0.0	80.57	61.25	92.7	74.58	122.64	34.51	132.44	43.63
SCAMP4	1183.45	1015.93	1331.57	1417.35	974.5	1096.5	1331.57	1066.48	1051.79	1322.37	1519.15	909.17	988.12	1143.1	1457.23	1167.14	1208.34	1378.57	1313.23	1594.73	1015.93	1159.07	1250.98	1233.75	1322.37	1295.13	1030.12	1286.18	1199.98	1286.18	1225.22	1350.18	1340.84	1167.14	1268.46	1250.98	1388.16	1477.58	1628.26	1477.58	1081.39	1259.69	954.43	1605.83	1561.89	1242.34	1467.37	1519.15	1259.69	1427.22	1208.34	1259.69	1397.83	1191.69	1304.15	629.35	981.29	884.29	607.87	1111.82	1030.12	1111.82	1030.12	579.04	1059.11	490.14	1313.23	1359.57	1059.11	902.89	995.0	713.11	1001.93	1001.93	909.17	1295.13	1427.22	934.76	651.58	1225.22	656.11	813.63	1104.13	1051.79	921.88	432.53
SCML2	12.83	55.89	37.85	13.32	19.97	17.0	22.92	32.36	70.01	29.27	25.35	17.51	32.82	44.25	29.27	22.92	29.7	36.01	36.53	21.01	16.15	24.46	19.68	22.1	74.58	67.12	17.77	49.56	38.12	34.02	20.41	32.36	18.16	25.91	26.47	28.86	57.08	18.7	48.87	73.54	15.91	82.29	27.05	44.25	54.72	34.26	25.17	41.52	19.97	68.07	43.32	90.14	57.89	10.79	55.89	5.73	0.62	14.78	7.46	12.74	3.86	12.83	4.94	6.01	31.45	14.56	15.11	15.0	22.1	31.9	14.24	18.29	21.16	14.56	15.11	15.34	0.0	0.46	11.64	6.52	32.13	88.26	3.5	12.74	6.94	17.9
SCRIB	7911.95	3124.78	5954.47	2739.08	2627.46	2351.53	5913.33	3564.78	6079.61	10368.08	11745.96	2758.13	1561.89	10014.87	3794.3	2895.31	2664.15	3212.66	5517.27	5872.48	2335.28	4066.71	3303.0	3665.02	4836.35	4328.55	2591.27	3443.31	4210.15	4181.07	2739.08	4123.49	3419.52	3901.01	3847.29	3124.78	5555.65	3665.02	5366.37	6037.61	3303.0	3690.52	2335.28	4481.23	7331.05	3614.55	4802.93	4903.87	3847.29	3820.7	2537.92	2816.11	5006.93	3325.99	4450.27	842.36	1015.93	2004.85	1242.34	2451.44	1896.65	896.64	2287.2	376.41	2485.67	1331.57	3124.78	1662.49	3060.45	2502.97	2061.24	988.12	2287.2	2075.59	2335.28	3280.18	1447.15	540.19	2520.38	1572.76	7803.01	2758.13	3768.09	3639.7	3614.55	5594.3
SELO	403.5	470.14	616.37	490.14	514.56	327.56	638.15	441.64	559.28	563.18	457.25	473.41	543.96	753.83	703.28	567.1	417.77	854.13	954.43	954.43	607.87	748.61	551.56	915.51	995.0	1127.35	633.73	830.75	693.58	607.87	575.03	791.35	684.02	669.92	764.36	595.34	1191.69	802.41	674.59	1183.45	684.02	775.05	476.71	947.83	981.29	723.08	1073.91	1111.82	743.43	842.36	651.58	651.58	954.43	563.18	988.12	336.79	363.56	470.14	559.28	497.0	356.05	285.03	215.77	307.69	435.55	323.03	525.39	397.93	490.14	417.77	343.89	281.09	432.53	343.89	463.65	450.94	693.58	314.17	202.66	373.81	329.84	389.72	543.96	444.72	454.09	507.46
SETD6	473.41	348.71	412.0	264.03	426.57	249.73	473.41	426.57	366.09	351.14	356.05	341.51	423.61	438.59	647.07	503.95	460.44	607.87	878.17	651.58	470.14	447.82	480.04	759.08	878.17	579.04	463.65	775.05	521.76	480.04	473.41	796.86	575.03	460.44	616.37	387.02	733.19	647.07	728.11	780.44	389.72	679.29	397.93	629.35	1059.11	438.59	988.12	718.08	563.18	915.51	587.13	316.37	928.3	518.15	848.22	136.19	116.78	258.57	98.04	236.21	226.54	206.94	158.79	226.54	312.0	183.82	194.36	287.01	267.73	258.57	201.25	201.25	256.78	217.27	277.2	220.32	0.0	0.75	86.43	183.82	120.94	173.85	205.5	135.24	151.22	182.55
SGSM3	1208.34	830.75	1151.06	974.5	915.51	738.29	1519.15	802.41	1167.14	1066.48	1313.23	1508.65	450.94	1508.65	2319.15	1561.89	1963.57	2224.63	2835.7	2739.08	1350.18	2032.85	1794.29	2163.77	3235.01	3146.52	1685.71	2502.97	2075.59	2271.4	1498.22	2609.3	2163.77	1909.85	2133.97	1628.26	2935.74	2224.63	2417.67	2777.33	1909.85	2133.97	1572.76	2997.45	2935.74	2018.8	2895.31	2976.74	1721.16	2417.67	2178.83	2303.12	2855.44	1819.35	3039.3	967.76	796.86	616.37	825.0	813.63	842.36	813.63	463.65	830.75	1286.18	743.43	1322.37	1467.37	1088.92	1119.56	921.88	733.19	872.1	1167.14	1498.22	1135.2	0.0	1.1	603.67	928.3	775.05	954.43	934.76	872.1	866.07	743.43
