	TCGA.CU.A5W6.01A.11R.A28M.07	TCGA.BT.A0YX.01A.11R.A10U.07	TCGA.XF.A9T8.01A.11R.A39I.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.CU.A72E.01A.12R.A33J.07	TCGA.BT.A20U.11A.11R.A14Y.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.UC.A7PF.01A.11R.A352.07	TCGA.MA.AA42.01A.12R.A38B.07	TCGA.EK.A2RC.01A.11R.A18M.07	TCGA.Q1.A6DW.01A.11R.A32P.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.DS.A5RQ.01A.11R.A28H.07	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.EA.A3HU.01A.11R.A213.07	TCGA.DS.A1OB.01A.11R.A14Y.07	TCGA.C5.A1BQ.01C.11R.A213.07	TCGA.XP.A8T8.01A.11R.A36D.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.IG.A8O2.01A.11R.A36D.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.Z6.A8JD.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.LN.A49L.01A.11R.A24K.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.XP.A8T6.01A.11R.A36D.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.LN.A4A1.01A.21R.A260.31	TCGA.LN.A49R.01A.11R.A24K.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.V5.AASV.01A.11R.A38D.31	TCGA.LN.A8I1.01A.11R.A36D.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.VR.A8EW.01A.11R.A36D.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZTTD.1226.SM.51MS2	GTEX.145LV.1326.SM.5S2QI	GTEX.QVUS.0626.SM.447CC	GTEX.T5JC.1726.SM.4DM6U	GTEX.PLZ4.1626.SM.3P618	GTEX.RNOR.1226.SM.48FDQ	GTEX.UPK5.1226.SM.4IHL8	GTEX.XQ3S.1126.SM.4BOPK	GTEX.132AR.2226.SM.5J2NT	GTEX.132AR.2326.SM.5IJDY	TCGA.QK.A6VC.01A.23R.A34R.07	TCGA.CR.6472.01A.11R.1873.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.6955.01A.11R.2016.07	TCGA.CV.6935.01A.11R.1915.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7421.01A.11R.2081.07	TCGA.CV.7183.11A.01R.2016.07	GTEX.YFC4.1126.SM.5RQJN	GTEX.ZUA1.1026.SM.4YCEA	TCGA.85.A4JC.01A.11R.A24Z.07	TCGA.21.5784.01A.01R.1635.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.7806.11A.01R.2055.13	GTEX.WWYW.2826.SM.4MVOQ	GTEX.PWN1.2026.SM.48TD9	GTEX.R55G.1626.SM.48FF4
WDR59	567.1	297.17	376.41	271.48	514.56	397.93	536.45	551.56	348.71	571.05	503.95	403.5	356.05	299.25	420.68	287.01	486.75	830.75	1001.93	1119.56	633.73	753.83	620.67	703.28	718.08	802.41	412.0	753.83	579.04	753.83	934.76	665.29	521.76	974.5	612.11	1104.13	1369.04	1268.46	915.51	743.43	1044.52	559.28	753.83	698.41	791.35	909.17	791.35	603.67	934.76	1427.22	780.44	693.58	974.5	1167.14	954.43	1143.1	1037.29	1295.13	961.07	890.44	713.11	583.07	209.84	248.0	343.89	285.03	490.14	441.64	348.71	480.04	412.0	514.56	305.55	157.68	336.79	356.05	343.89	414.87	279.14	262.2	567.1	1143.1	264.03	371.22
WDR73	293.07	307.69	264.03	307.69	271.48	299.25	256.78	373.81	234.57	363.56	435.55	466.88	212.78	265.87	162.14	248.0	281.09	473.41	490.14	463.65	511.0	587.13	518.15	389.72	305.55	511.0	612.11	579.04	497.0	503.95	529.06	896.64	532.74	336.79	161.02	555.41	525.39	529.06	490.14	503.95	688.78	426.57	591.22	397.93	500.46	406.31	432.53	441.64	540.19	532.74	389.72	703.28	497.0	612.11	483.38	713.11	688.78	638.15	529.06	414.87	511.0	186.4	242.88	118.43	236.21	186.4	212.78	253.23	244.57	253.23	414.87	463.65	258.57	158.79	156.59	301.33	279.14	234.57	197.09	128.79	223.41	579.04	241.19	312.0
ZCCHC11	363.56	334.46	503.95	423.61	348.71	307.69	341.51	660.68	291.04	480.04	718.08	353.59	336.79	412.0	395.18	432.53	460.44	483.38	753.83	909.17	633.73	842.36	503.95	665.29	679.29	511.0	599.49	521.76	1088.92	708.18	693.58	872.1	748.61	759.08	633.73	748.61	1119.56	748.61	733.19	540.19	1250.98	463.65	629.35	642.59	660.68	587.13	718.08	607.87	620.67	1286.18	511.0	854.13	638.15	713.11	748.61	638.15	825.0	909.17	339.14	543.96	909.17	500.46	432.53	189.02	176.29	212.78	320.8	217.27	120.1	543.96	551.56	693.58	343.89	68.07	299.25	361.04	279.14	457.25	249.73	239.52	450.94	1286.18	339.14	353.59
ZNF169	19.39	14.24	20.56	17.0	17.0	16.03	14.78	70.01	28.04	18.29	47.5	42.11	16.03	6.21	28.45	35.5	47.17	59.97	66.18	58.71	32.36	38.95	49.56	66.18	26.28	42.11	62.56	55.49	104.42	49.56	62.12	113.56	49.91	113.56	64.8	93.35	151.22	108.14	67.59	57.08	98.73	59.13	64.34	84.04	30.56	30.34	59.55	91.41	85.82	103.69	43.94	120.1	83.45	90.77	57.08	76.71	131.51	115.16	62.12	63.45	127.0	24.63	16.51	12.0	25.35	21.32	17.13	20.86	14.89	10.88	7.94	42.11	20.11	2.25	10.71	8.51	19.68	9.34	7.69	7.82	36.79	66.65	15.0	13.72
ZNF224	131.51	135.24	88.88	29.91	131.51	96.68	61.68	241.19	140.04	98.73	197.09	123.5	63.45	40.07	232.94	140.04	153.34	211.31	241.19	182.55	281.09	190.34	234.57	133.36	163.28	152.28	241.19	234.57	154.42	217.27	253.23	423.61	249.73	334.46	155.5	251.48	521.76	392.44	239.52	224.97	303.44	169.07	236.21	127.0	190.34	127.89	255.0	346.29	316.37	223.41	199.85	435.55	397.93	303.44	248.0	325.29	299.25	249.73	94.01	220.32	351.14	78.89	128.79	52.45	68.07	76.17	105.89	75.64	67.12	127.0	90.77	121.79	81.14	30.12	55.89	21.47	57.49	45.85	49.56	26.67	149.12	269.6	148.09	77.79
ZNF276	248.0	297.17	518.15	249.73	713.11	409.15	420.68	718.08	507.46	406.31	466.88	460.44	295.11	299.25	457.25	289.02	397.93	915.51	1540.37	1191.69	447.82	981.29	830.75	934.76	825.0	429.54	269.6	764.36	872.1	599.49	738.29	802.41	728.11	1467.37	1896.65	1051.79	1508.65	1639.59	1561.89	718.08	825.0	1030.12	884.29	423.61	842.36	620.67	665.29	656.11	961.07	988.12	884.29	559.28	1037.29	1551.09	928.3	1540.37	1208.34	1175.27	988.12	769.69	543.96	791.35	127.0	115.97	307.69	226.54	493.56	232.94	157.68	392.44	186.4	607.87	291.04	82.87	450.94	444.72	251.48	297.17	194.36	241.19	423.61	780.44	202.66	224.97
ZNF335	212.78	212.78	165.57	173.85	187.71	248.0	119.26	289.02	169.07	195.72	376.41	231.32	161.02	158.79	246.28	208.38	229.72	334.46	406.31	543.96	435.55	450.94	441.64	444.72	381.68	283.05	444.72	483.38	441.64	373.81	316.37	444.72	356.05	387.02	473.41	363.56	507.46	417.77	507.46	318.57	521.76	403.5	387.02	289.02	483.38	400.71	395.18	384.34	429.54	529.06	423.61	507.46	536.45	470.14	307.69	397.93	518.15	450.94	301.33	246.28	285.03	237.86	167.9	183.82	163.28	239.52	262.2	169.07	71.0	236.21	205.5	305.55	164.42	77.25	198.47	159.9	177.53	176.29	156.59	115.97	309.83	265.87	155.5	157.68
ZNF337	165.57	195.72	198.47	279.14	251.48	138.1	106.63	361.04	186.4	291.04	289.02	111.99	89.51	102.97	151.22	215.77	275.28	271.48	397.93	476.71	420.68	318.57	343.89	373.81	371.22	205.5	521.76	244.57	323.03	281.09	403.5	836.53	476.71	490.14	624.99	518.15	941.27	368.65	368.65	348.71	587.13	255.0	470.14	358.54	336.79	305.55	647.07	351.14	775.05	525.39	327.56	521.76	403.5	409.15	366.09	444.72	466.88	384.34	255.0	373.81	733.19	171.45	209.84	71.5	98.04	110.43	115.97	108.14	83.45	366.09	193.01	275.28	172.65	47.84	53.57	94.01	106.63	77.79	39.79	50.27	191.67	454.09	201.25	215.77
ZNF354B	128.79	52.82	104.42	64.8	120.94	101.54	91.41	186.4	125.24	111.21	208.38	100.13	170.25	125.24	93.35	132.44	133.36	215.77	251.48	180.02	197.09	206.94	167.9	139.07	193.01	164.42	119.26	164.42	379.04	255.0	154.42	236.21	195.72	218.79	201.25	277.2	412.0	218.79	251.48	151.22	228.13	114.36	185.11	127.0	171.45	127.89	205.5	176.29	320.8	289.02	170.25	426.57	260.38	327.56	232.94	275.28	334.46	356.05	135.24	142.01	217.27	128.79	56.28	36.53	45.21	66.65	71.0	54.33	58.71	20.11	43.02	150.17	68.55	15.45	15.8	59.13	48.52	34.26	29.48	20.86	113.56	287.01	150.17	63.89
ZNF692	743.43	579.04	819.3	728.11	1457.23	629.35	555.41	1191.69	633.73	995.0	1417.35	698.41	463.65	974.5	409.15	1819.35	921.88	1605.83	1662.49	3190.46	1259.69	1540.37	1191.69	2367.9	2835.7	1583.71	1378.57	1674.06	3928.15	1340.84	1322.37	5076.84	1295.13	1605.83	1340.84	2367.9	1844.76	2119.22	4736.79	1208.34	2468.49	1551.09	1857.6	1561.89	1651.0	1322.37	1369.04	1437.15	1844.76	2271.4	1277.29	2032.85	1819.35	2502.97	1508.65	2047.0	1909.85	2209.26	1909.85	1407.55	1268.46	1088.92	403.5	92.05	201.25	295.11	567.1	493.56	161.02	426.57	241.19	1757.34	693.58	84.63	202.66	327.56	305.55	150.17	169.07	139.07	493.56	2417.67	267.73	486.75
ZRANB2	660.68	656.11	543.96	432.53	559.28	571.05	432.53	854.13	642.59	878.17	1447.15	703.28	525.39	638.15	802.41	1030.12	848.22	802.41	1268.46	1447.15	967.76	1322.37	825.0	665.29	802.41	842.36	796.86	808.0	2915.45	1477.58	1407.55	2645.74	796.86	1088.92	1143.1	2090.03	2090.03	1508.65	2224.63	1001.93	2090.03	896.64	684.02	902.89	1073.91	688.78	1757.34	1015.93	1030.12	1397.83	603.67	2047.0	866.07	1104.13	896.64	748.61	1233.75	934.76	665.29	748.61	1407.55	633.73	718.08	309.83	395.18	392.44	629.35	346.29	647.07	1001.93	813.63	674.59	507.46	251.48	351.14	305.55	373.81	323.03	281.09	218.79	457.25	1674.06	961.07	842.36
