	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.ZVP2.0826.SM.59HJ6	GTEX.14E6E.1126.SM.5S2R4
ENTHD2	205.5	348.71	351.14	195.72	551.56	307.69	713.11	241.19	438.59	123.5	529.06	358.54	281.09	454.09	279.14	373.81	193.01	591.22	336.79	500.46	271.48	551.56	258.57	297.17	167.9	314.17	353.59	435.55	223.41	343.89	348.71	229.72	118.43	149.12	423.61	493.56	607.87	356.05	379.04	205.5	463.65	244.57	283.05	403.5	353.59	583.07	275.28	417.77	813.63	204.07	208.38	206.94	204.07	392.44	587.13	265.87	435.55	417.77	142.01	144.01	197.09	454.09	389.72	348.71	223.41	199.85	277.2	521.76	218.79	450.94	403.5	198.47	409.15	177.53	221.86	587.13	521.76	836.53	748.61	412.0	420.68	231.32	400.71	265.87	226.54	339.14	185.11	198.47	180.02	115.16	126.12
EXD3	307.69	503.95	371.22	297.17	764.36	470.14	775.05	444.72	567.1	133.36	679.29	348.71	417.77	447.82	241.19	571.05	343.89	567.1	656.11	738.29	309.83	713.11	325.29	647.07	277.2	301.33	397.93	607.87	242.88	406.31	392.44	239.52	156.59	246.28	587.13	748.61	769.69	647.07	414.87	346.29	529.06	860.08	432.53	532.74	420.68	1008.9	320.8	457.25	718.08	242.88	248.0	204.07	307.69	480.04	575.03	265.87	435.55	679.29	279.14	152.28	161.02	693.58	693.58	503.95	234.57	312.0	283.05	748.61	187.71	480.04	813.63	289.02	1159.07	299.25	190.34	693.58	791.35	764.36	802.41	476.71	536.45	265.87	543.96	332.14	277.2	426.57	285.03	269.6	209.84	134.3	118.43
FAM132A	9.48	12.83	14.24	3.96	45.53	35.25	96.01	5.96	38.12	4.7	40.36	25.17	17.51	33.54	17.13	14.14	8.99	28.65	38.4	63.45	16.03	34.26	10.39	12.83	1.85	23.59	28.86	47.84	11.55	22.59	12.0	8.65	2.51	4.58	17.13	43.32	99.43	22.59	37.32	12.09	39.5	35.25	20.56	41.81	48.52	30.78	17.38	33.3	105.15	16.51	5.28	6.62	7.4	22.59	62.12	12.18	12.0	27.84	4.9	1.85	11.04	57.89	36.27	34.75	9.06	17.64	21.78	74.06	5.63	31.0	75.64	10.96	23.93	16.15	11.91	62.12	27.84	60.39	77.25	39.79	32.36	3.23	31.45	16.27	2.81	24.11	4.28	0.0	5.36	2.61	1.77
FAM166A	3.32	3.86	22.75	1.33	8.58	10.96	4.28	2.68	5.36	3.79	8.99	8.99	5.92	6.01	4.13	11.38	4.31	13.72	7.17	17.13	4.54	18.56	1.41	8.65	1.79	7.11	4.54	7.46	0.0	2.73	4.06	3.89	2.89	2.29	14.24	16.63	16.27	8.71	3.56	1.38	5.5	6.31	1.69	9.34	8.32	7.69	5.59	12.45	15.22	2.32	2.36	3.66	2.34	6.89	18.84	2.73	12.36	11.64	1.2	1.35	2.34	18.29	15.0	6.73	2.36	3.06	2.34	25.35	0.0	6.26	21.94	2.81	14.78	3.29	3.76	10.88	7.28	47.84	22.1	14.45	10.16	3.06	9.06	1.36	2.71	14.78	0.0	0.0	2.53	0.0	8.45
FAM193B	551.56	651.58	1183.45	503.95	1870.53	808.0	2090.03	660.68	1313.23	316.37	1519.15	1059.11	1250.98	934.76	954.43	848.22	616.37	1883.54	902.89	1819.35	878.17	2004.85	708.18	1073.91	466.88	728.11	1159.07	1519.15	514.56	967.76	974.5	775.05	291.04	559.28	1508.65	2178.83	1745.2	1551.09	1088.92	693.58	1350.18	1167.14	651.58	1096.5	902.89	1508.65	825.0	988.12	2335.28	674.59	607.87	571.05	674.59	1127.35	1529.73	660.68	1519.15	1685.71	441.64	444.72	651.58	1628.26	1540.37	1111.82	432.53	759.08	872.1	2935.74	435.55	1457.23	1896.65	688.78	1277.29	536.45	836.53	2502.97	2287.2	2875.3	2178.83	1096.5	1199.98	547.75	1199.98	819.3	698.41	1477.58	642.59	400.71	376.41	325.29	327.56
FAM229A	38.4	69.03	110.43	51.71	170.25	78.89	169.07	63.0	92.05	16.03	204.07	54.72	64.8	104.42	54.33	112.77	58.71	99.43	60.82	170.25	36.01	212.78	39.22	68.07	14.78	50.27	92.7	171.45	39.5	84.04	54.33	50.98	21.16	32.36	102.97	187.71	157.68	118.43	112.77	71.0	152.28	139.07	63.0	102.25	87.03	204.07	133.36	148.09	289.02	30.34	55.49	17.51	46.18	101.54	156.59	38.67	105.15	132.44	25.91	13.83	20.86	131.51	126.12	72.01	45.85	33.54	69.03	221.86	26.67	105.15	119.26	59.55	100.13	47.5	50.27	221.86	147.06	289.02	232.94	90.14	114.36	26.86	71.0	53.95	40.36	56.28	41.52	32.82	35.5	16.88	27.64
FASTK	1159.07	1857.6	3060.45	1781.89	2502.97	1721.16	2255.7	1977.24	2148.82	1023.0	2163.77	1832.01	2193.99	1883.54	1977.24	2645.74	1923.14	2739.08	2627.46	3589.58	1870.53	2664.15	1923.14	2664.15	1540.37	1806.78	2287.2	2417.67	1617.0	2119.22	1909.85	1832.01	1066.48	1183.45	2240.11	2796.65	2915.45	2701.35	2739.08	1794.29	1991.0	3124.78	2163.77	2047.0	2303.12	2875.3	1870.53	1617.0	3372.43	1388.16	1277.29	1551.09	1397.83	2133.97	2018.8	1378.57	2271.4	2417.67	2090.03	967.76	1127.35	2400.97	3212.66	2335.28	1135.2	2384.37	1745.2	4481.23	1519.15	2816.11	4239.45	1896.65	2502.97	1781.89	2133.97	3124.78	2796.65	2956.17	3039.3	2319.15	2047.0	1322.37	2271.4	1896.65	1359.57	2193.99	1662.49	1397.83	1127.35	928.3	1030.12
FBXL6	246.28	314.17	476.71	332.14	651.58	373.81	432.53	336.79	435.55	186.4	389.72	325.29	389.72	351.14	507.46	555.41	256.78	493.56	543.96	293.07	265.87	595.34	285.03	339.14	299.25	285.03	339.14	426.57	320.8	444.72	423.61	146.03	138.1	211.31	426.57	688.78	660.68	1583.71	551.56	299.25	353.59	547.75	368.65	514.56	368.65	503.95	318.57	463.65	665.29	441.64	190.34	389.72	248.0	299.25	423.61	312.0	450.94	351.14	287.01	167.9	193.01	532.74	607.87	339.14	214.27	457.25	260.38	723.08	356.05	629.35	642.59	305.55	629.35	316.37	260.38	470.14	435.55	555.41	555.41	470.14	389.72	193.01	327.56	339.14	229.72	320.8	255.0	209.84	138.1	127.0	139.07
FBXL8	414.87	703.28	703.28	417.77	896.64	1477.58	1313.23	457.25	902.89	201.25	1407.55	866.07	368.65	563.18	361.04	934.76	660.68	921.88	476.71	2255.7	738.29	1030.12	438.59	813.63	162.14	473.41	1151.06	1388.16	341.51	1096.5	638.15	514.56	253.23	371.22	1447.15	1066.48	1397.83	802.41	420.68	444.72	1127.35	802.41	555.41	571.05	316.37	1551.09	848.22	941.27	1685.71	373.81	460.44	318.57	454.09	1175.27	1674.06	500.46	1529.73	1250.98	253.23	202.66	258.57	1216.75	733.19	1059.11	420.68	532.74	785.88	866.07	242.88	1225.22	748.61	457.25	708.18	429.54	356.05	785.88	1044.52	1628.26	1857.6	1104.13	1111.82	466.88	507.46	356.05	525.39	297.17	299.25	281.09	236.21	234.57	201.25
GLI4	232.94	279.14	571.05	291.04	713.11	412.0	603.67	334.46	358.54	115.16	575.03	470.14	579.04	379.04	420.68	507.46	325.29	420.68	497.0	866.07	318.57	629.35	348.71	497.0	214.27	316.37	435.55	543.96	295.11	336.79	334.46	159.9	218.79	244.57	486.75	1044.52	679.29	928.3	457.25	316.37	373.81	629.35	368.65	403.5	490.14	629.35	429.54	591.22	651.58	417.77	251.48	295.11	289.02	525.39	486.75	232.94	435.55	473.41	236.21	145.02	162.14	466.88	764.36	403.5	228.13	423.61	366.09	728.11	423.61	708.18	813.63	460.44	713.11	314.17	332.14	981.29	638.15	688.78	780.44	397.93	420.68	283.05	420.68	420.68	287.01	318.57	283.05	269.6	171.45	167.9	136.19
GSDMB	78.34	115.16	209.84	49.56	348.71	112.77	379.04	55.1	201.25	53.95	214.27	124.37	83.45	226.54	139.07	209.84	27.44	269.6	108.14	387.02	90.77	260.38	54.33	115.97	34.75	144.01	181.28	255.0	147.06	90.14	123.5	72.01	42.11	53.19	154.42	511.0	547.75	220.32	98.73	70.51	229.72	98.04	77.79	155.5	76.17	232.94	128.79	214.27	1037.29	42.41	51.35	40.36	30.56	148.09	348.71	68.55	165.57	198.47	33.54	36.53	78.34	470.14	143.01	133.36	74.06	48.52	80.01	358.54	17.64	155.5	395.18	35.0	187.71	100.83	73.54	287.01	291.04	698.41	748.61	155.5	236.21	31.67	127.89	52.45	44.89	159.9	75.64	27.05	45.21	43.32	38.95
HAUS5	120.1	154.42	204.07	98.73	246.28	183.82	224.97	127.0	143.01	105.89	214.27	187.71	121.79	127.89	136.19	202.66	147.06	183.82	128.79	234.57	124.37	218.79	134.3	129.69	97.36	136.19	182.55	150.17	166.73	173.85	147.06	115.16	90.77	142.01	221.86	295.11	209.84	260.38	151.22	141.02	206.94	172.65	53.95	183.82	191.67	249.73	164.42	177.53	205.5	127.0	87.65	169.07	122.64	144.01	191.67	172.65	162.14	167.9	107.38	81.14	137.14	226.54	164.42	154.42	136.19	167.9	152.28	237.86	190.34	185.11	273.37	142.01	273.37	106.63	127.89	224.97	236.21	214.27	305.55	205.5	260.38	150.17	180.02	161.02	139.07	145.02	103.69	140.04	88.26	87.03	67.12
HDAC10	392.44	728.11	647.07	368.65	1447.15	866.07	1175.27	583.07	819.3	248.0	896.64	620.67	693.58	547.75	514.56	1073.91	665.29	1015.93	660.68	1639.59	743.43	1268.46	503.95	629.35	329.84	551.56	684.02	1059.11	329.84	674.59	728.11	457.25	307.69	486.75	1073.91	1508.65	830.75	1572.76	679.29	460.44	878.17	961.07	483.38	698.41	733.19	1208.34	500.46	866.07	1457.23	460.44	444.72	595.34	466.88	764.36	1191.69	246.28	1023.0	928.3	346.29	229.72	309.83	688.78	921.88	642.59	429.54	583.07	551.56	1191.69	429.54	860.08	1001.93	285.03	1051.79	397.93	432.53	1081.39	1008.9	2032.85	1605.83	713.11	961.07	412.0	753.83	497.0	403.5	651.58	325.29	318.57	279.14	236.21	142.01
HEXDC	435.55	1477.58	1540.37	473.41	2701.35	1304.15	1909.85	825.0	1963.57	353.59	1322.37	941.27	909.17	1233.75	470.14	1388.16	575.03	2032.85	1096.5	1447.15	928.3	1819.35	759.08	1225.22	540.19	902.89	1127.35	1617.0	607.87	981.29	780.44	551.56	371.22	473.41	1457.23	3614.55	1427.22	1909.85	1295.13	813.63	1447.15	1651.0	624.99	1008.9	1225.22	2148.82	785.88	1519.15	2502.97	500.46	423.61	450.94	579.04	1286.18	2119.22	540.19	1159.07	1457.23	470.14	336.79	563.18	1709.26	1617.0	1286.18	507.46	698.41	775.05	2627.46	575.03	1304.15	2555.58	638.15	1923.14	521.76	698.41	2032.85	1857.6	1806.78	2351.53	1437.15	1572.76	591.22	1359.57	748.61	547.75	1378.57	743.43	559.28	483.38	339.14	271.48
HSD17B3	12.64	14.24	57.49	9.48	62.56	43.02	113.56	8.32	22.26	0.0	30.12	9.85	20.56	33.06	12.18	31.67	14.35	44.25	14.89	126.12	13.12	74.06	20.26	24.63	3.63	22.92	34.26	76.71	11.47	16.39	24.99	24.81	6.16	9.2	45.53	152.28	65.72	27.05	15.91	6.57	33.54	11.47	12.83	25.17	55.49	26.47	6.46	61.25	37.85	16.03	7.82	10.08	2.63	72.01	27.84	10.08	28.24	29.27	4.21	6.36	8.78	42.71	98.73	14.45	8.92	7.11	22.59	92.05	12.93	40.64	31.45	15.68	56.68	8.71	5.41	30.34	64.8	158.79	134.3	18.03	25.17	1.81	28.04	9.48	6.62	40.07	4.46	0.0	2.36	2.1	0.92
HSF4	872.1	2682.69	2468.49	332.14	3690.52	3794.3	3820.7	1088.92	4038.61	232.94	3372.43	1369.04	1721.16	1498.22	567.1	2537.92	551.56	4268.94	1059.11	10512.82	1870.53	3874.05	432.53	3467.27	325.29	1277.29	2319.15	6561.36	211.31	1216.75	1709.26	1551.09	244.57	473.41	5517.27	4419.52	5147.73	5594.3	780.44	420.68	2537.92	1286.18	1159.07	1617.0	974.5	3847.29	1417.35	3212.66	7803.01	551.56	571.05	460.44	397.93	2335.28	4298.64	947.83	4388.98	4328.55	312.0	275.28	571.05	4123.49	2367.9	3103.19	616.37	555.41	1819.35	4972.34	255.0	2816.11	3372.43	414.87	1757.34	420.68	457.25	4481.23	5555.65	8191.0	6792.79	3039.3	3467.27	603.67	2485.67	395.18	417.77	2224.63	307.69	381.68	265.87	178.77	161.02
IRF3	967.76	1331.57	1628.26	921.88	2193.99	1208.34	2319.15	1044.52	1721.16	620.67	2193.99	1583.71	1331.57	1331.57	947.83	1508.65	1304.15	1963.57	1081.39	2148.82	1268.46	2224.63	1127.35	1794.29	842.36	1447.15	1250.98	1977.24	1059.11	1183.45	1135.2	884.29	743.43	884.29	1572.76	2720.15	1909.85	1407.55	1769.57	1378.57	1508.65	1437.15	1051.79	1378.57	1551.09	2090.03	1151.06	2061.24	2384.37	1037.29	1044.52	961.07	988.12	1295.13	2400.97	967.76	1806.78	2075.59	764.36	723.08	733.19	1896.65	1477.58	1208.34	854.13	836.53	1111.82	2502.97	928.3	1340.84	1685.71	1151.06	1572.76	872.1	1295.13	2627.46	2255.7	2976.74	2520.38	1685.71	1662.49	928.3	1617.0	1268.46	884.29	1870.53	1111.82	1044.52	947.83	753.83	785.88
KAT2A	660.68	1088.92	1208.34	543.96	1745.2	1340.84	1617.0	684.02	1191.69	466.88	1369.04	830.75	753.83	1378.57	1051.79	1407.55	769.69	1508.65	1295.13	1427.22	1030.12	1628.26	432.53	1331.57	884.29	884.29	1104.13	1378.57	679.29	819.3	1183.45	603.67	532.74	764.36	1175.27	3540.14	1781.89	1896.65	674.59	435.55	1088.92	1135.2	743.43	1088.92	1135.2	1628.26	703.28	1286.18	1936.53	954.43	616.37	934.76	470.14	1277.29	1617.0	591.22	981.29	1225.22	769.69	547.75	476.71	1277.29	1378.57	1066.48	688.78	825.0	866.07	1477.58	457.25	1081.39	1757.34	567.1	2032.85	688.78	708.18	1757.34	1617.0	1369.04	2555.58	1561.89	1073.91	490.14	1023.0	656.11	444.72	878.17	603.67	493.56	376.41	339.14	289.02
KIAA0895L	176.29	395.18	514.56	155.5	432.53	651.58	579.04	295.11	412.0	94.67	466.88	255.0	265.87	356.05	165.57	450.94	249.73	540.19	353.59	525.39	277.2	426.57	148.09	295.11	185.11	228.13	305.55	486.75	171.45	381.68	363.56	232.94	114.36	165.57	836.53	587.13	521.76	733.19	220.32	146.03	493.56	189.02	164.42	358.54	325.29	563.18	332.14	432.53	825.0	155.5	228.13	186.4	269.6	361.04	521.76	223.41	642.59	417.77	96.68	129.69	158.79	595.34	406.31	412.0	175.07	232.94	303.44	536.45	157.68	371.22	327.56	126.12	397.93	180.02	176.29	603.67	450.94	743.43	674.59	483.38	551.56	186.4	387.02	156.59	138.1	264.03	139.07	122.64	92.05	81.14	244.57
KIAA1875	11.04	18.03	17.77	3.66	37.32	18.29	42.71	9.85	24.63	2.05	36.27	8.78	18.16	22.1	12.74	21.47	4.39	24.28	23.76	58.3	22.59	43.32	3.32	21.32	2.56	8.71	16.03	40.36	4.35	18.84	12.0	3.86	3.26	10.79	29.48	85.22	88.26	111.21	7.82	6.01	33.06	19.53	16.15	37.59	29.91	34.75	5.92	19.39	96.68	10.31	6.11	5.87	5.5	17.25	46.18	9.56	21.32	37.59	3.29	3.11	7.17	43.02	43.63	16.39	7.82	4.58	10.96	80.57	11.82	42.71	31.45	1.45	62.56	3.76	3.17	35.25	42.11	88.26	69.52	26.67	36.53	3.32	14.78	9.85	3.96	13.62	2.86	2.97	6.26	1.89	3.5
KIFC2	239.52	463.65	320.8	189.02	1175.27	591.22	1127.35	220.32	642.59	69.52	836.53	470.14	514.56	532.74	325.29	733.19	242.88	1030.12	651.58	1733.13	217.27	1175.27	253.23	733.19	140.04	559.28	444.72	1127.35	129.69	309.83	412.0	123.5	73.03	173.85	988.12	2758.13	1651.0	2682.69	551.56	287.01	1447.15	511.0	325.29	769.69	759.08	688.78	348.71	1073.91	2351.53	389.72	241.19	289.02	214.27	543.96	693.58	297.17	780.44	536.45	265.87	115.97	275.28	703.28	1030.12	323.03	181.28	197.09	423.61	1721.16	366.09	1359.57	1322.37	287.01	780.44	170.25	297.17	1225.22	1096.5	1674.06	1977.24	503.95	607.87	194.36	693.58	206.94	253.23	791.35	126.12	136.19	102.97	86.43	43.02
KLHL17	89.51	147.06	163.28	72.52	332.14	147.06	275.28	109.66	136.19	46.84	218.79	130.6	131.51	151.22	159.9	170.25	98.04	283.05	189.02	318.57	158.79	264.03	77.79	158.79	76.17	158.79	183.82	208.38	98.73	162.14	205.5	100.13	40.64	75.11	234.57	341.51	251.48	420.68	155.5	68.55	275.28	172.65	102.97	214.27	162.14	194.36	124.37	178.77	353.59	105.89	120.94	89.51	103.69	150.17	244.57	115.97	239.52	241.19	124.37	39.5	72.01	343.89	217.27	158.79	60.39	97.36	125.24	241.19	90.14	303.44	269.6	84.63	267.73	79.45	96.68	166.73	244.57	400.71	343.89	178.77	236.21	75.64	127.0	82.29	96.01	120.1	58.3	58.71	50.27	35.25	34.75
KLK3	772940.66	881742.8	1345768.59	1005860.33	550352.86	1116072.03	610654.84	1212874.47	845824.19	459592.86	645473.24	887875.81	1163466.92	1116072.03	794671.01	834179.46	925580.18	751804.53	985160.01	881742.8	1063212.58	800198.39	1055868.42	1255646.43	1187913.85	1093103.58	1139523.1	919186.72	805764.22	1100706.72	881742.8	906531.99	1327240.99	731246.37	751804.53	437825.58	716197.51	887875.81	1147449.11	772940.66	925580.18	1412675.8	919186.72	1238359.56	1327240.99	731246.37	800198.39	1196176.45	602247.76	731246.37	851707.37	985160.01	839981.65	869603.57	845824.19	805764.22	851707.37	762299.34	757033.75	381149.17	767601.56	1063212.58	1212874.47	1238359.56	654483.73	985160.01	751804.53	672883.8	1048575.0	1345768.59	938500.81	828417.36	767601.56	1472666.19	1229805.58	524287.0	751804.53	1019901.63	585779.24	938500.81	800198.39	894051.48	1019901.63	925580.18	794671.01	985160.01	1063212.58	573724.06	496005.67	307450.64	350728.68
KRI1	473.41	497.0	507.46	476.71	836.53	708.18	928.3	497.0	688.78	400.71	679.29	708.18	595.34	759.08	575.03	743.43	540.19	616.37	603.67	836.53	483.38	764.36	521.76	466.88	607.87	518.15	693.58	559.28	447.82	480.04	473.41	327.56	414.87	525.39	638.15	988.12	791.35	703.28	693.58	547.75	743.43	642.59	287.01	718.08	603.67	713.11	607.87	679.29	813.63	708.18	368.65	563.18	400.71	579.04	878.17	507.46	612.11	540.19	429.54	414.87	444.72	642.59	612.11	607.87	525.39	454.09	540.19	759.08	540.19	532.74	656.11	483.38	723.08	420.68	466.88	1059.11	890.44	866.07	860.08	728.11	629.35	543.96	559.28	503.95	536.45	543.96	476.71	486.75	454.09	279.14	246.28
LENG8	1583.71	2502.97	1870.53	1143.1	4736.79	2032.85	5441.3	954.43	3103.19	764.36	5219.6	1991.0	1832.01	3235.01	1697.45	2004.85	866.07	4328.55	2682.69	3690.52	1721.16	3794.3	1111.82	3614.55	688.78	2400.97	1794.29	2701.35	1059.11	2400.97	1909.85	1605.83	642.59	878.17	2956.17	5219.6	4481.23	2537.92	1437.15	1242.34	3955.48	1709.26	1111.82	2384.37	2061.24	2997.45	1685.71	3901.01	5292.48	1359.57	1233.75	934.76	954.43	2287.2	5076.84	2133.97	2591.27	4066.71	607.87	718.08	1216.75	3820.7	2319.15	2319.15	1259.69	1159.07	1870.53	3639.7	902.89	2485.67	4123.49	1242.34	2835.7	967.76	1023.0	4239.45	3639.7	6250.56	4869.99	2915.45	3443.31	1015.93	2537.92	947.83	1119.56	1909.85	603.67	974.5	1268.46	395.18	583.07
LIME1	67.59	115.97	109.66	84.63	514.56	76.71	228.13	103.69	163.28	26.86	193.01	170.25	134.3	114.36	120.1	189.02	44.57	193.01	113.56	232.94	57.49	334.46	122.64	187.71	51.35	85.22	85.22	244.57	128.79	178.77	97.36	64.8	35.76	33.06	111.21	348.71	395.18	170.25	232.94	98.73	228.13	146.03	96.68	111.99	145.02	256.78	87.65	303.44	476.71	61.25	111.99	41.52	50.27	96.01	275.28	46.84	176.29	193.01	41.81	26.67	12.83	111.21	258.57	84.63	69.52	80.01	124.37	264.03	73.03	162.14	204.07	115.97	198.47	40.64	69.03	397.93	211.31	483.38	395.18	147.06	121.79	54.33	153.34	97.36	81.71	46.5	215.77	101.54	41.52	59.97	45.85
LSM7	1594.73	2956.17	3928.15	2591.27	4298.64	2485.67	3168.41	3146.52	3349.13	1277.29	3060.45	2915.45	3168.41	2915.45	3018.3	4268.94	2287.2	2935.74	2895.31	4736.79	2367.9	3928.15	2520.38	3820.7	2351.53	3039.3	3639.7	3564.78	2701.35	3018.3	3212.66	1721.16	1477.58	1685.71	3614.55	4450.27	4095.0	4607.24	4607.24	2758.13	2384.37	3039.3	2976.74	3081.75	3235.01	4836.35	2664.15	3419.52	4972.34	2163.77	1561.89	1963.57	2434.5	3639.7	3124.78	1857.6	2915.45	3665.02	2178.83	1167.14	1104.13	3349.13	4769.75	3564.78	1594.73	3395.89	2303.12	4388.98	2133.97	3690.52	4388.98	3540.14	3874.05	2319.15	2895.31	4639.29	4010.71	3491.39	3564.78	3874.05	3690.52	2032.85	2664.15	2997.45	1806.78	2367.9	3039.3	1936.53	1551.09	1757.34	1769.57
LUC7L	435.55	1250.98	1233.75	679.29	1651.0	748.61	2090.03	769.69	1769.57	366.09	1143.1	1015.93	928.3	1359.57	780.44	1119.56	500.46	1991.0	1119.56	1870.53	591.22	1709.26	476.71	1023.0	579.04	1096.5	1037.29	1583.71	563.18	981.29	928.3	551.56	395.18	466.88	1225.22	1721.16	1819.35	1819.35	1295.13	703.28	1388.16	921.88	665.29	1159.07	1135.2	1896.65	764.36	1487.87	2434.5	500.46	620.67	490.14	379.04	961.07	1733.13	743.43	1104.13	1378.57	460.44	414.87	587.13	1350.18	1277.29	1073.91	525.39	733.19	656.11	2104.58	420.68	1242.34	1651.0	591.22	1794.29	575.03	674.59	2997.45	1769.57	3039.3	1909.85	1551.09	1540.37	473.41	1216.75	759.08	579.04	1397.83	684.02	426.57	460.44	441.64	273.37
LYG1	16.15	18.84	51.35	4.54	53.95	31.9	41.81	13.83	41.81	4.24	39.5	15.0	19.53	28.86	16.03	22.75	11.3	50.27	25.54	61.68	9.78	30.34	8.06	28.45	7.88	11.38	30.34	79.45	6.21	16.51	25.35	12.0	5.87	10.55	42.11	34.51	52.08	69.03	30.78	6.73	27.84	4.5	17.51	19.53	41.52	58.3	26.47	20.26	57.89	17.25	6.31	8.92	8.25	24.81	44.89	8.92	25.72	33.3	10.24	5.06	10.24	19.97	56.28	26.1	5.82	15.11	18.56	69.03	2.66	50.27	46.84	5.23	37.05	13.52	11.04	58.3	60.82	68.07	55.89	43.94	28.65	7.57	42.41	13.03	10.71	24.28	6.78	4.13	10.31	4.35	5.54
