	TCGA.BT.A2LD.01A.12R.A20F.07	TCGA.XF.A9T2.01A.11R.A42T.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.DK.A1A3.01A.11R.A13Y.07	TCGA.2F.A9KW.01A.11R.A38B.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.XF.AAN2.01A.11R.A42T.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.A8.A07L.01A.11R.A00Z.07	TCGA.C8.A12W.01A.11R.A115.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.W5.AA38.01A.11R.A41I.07	TCGA.W5.AA2X.01A.11R.A41I.07	TCGA.YR.A95A.01A.12R.A41I.07	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.AD.6889.01A.11R.1928.07	TCGA.AM.5821.01A.01R.1653.07	TCGA.AD.5900.01A.11R.1653.07	TCGA.A6.5662.01A.01R.1653.07	TCGA.AD.6895.01A.11R.1928.07	GTEX.1399R.2226.SM.5P9JB	GTEX.11TT1.1026.SM.5PNW7	TCGA.B0.5098.01A.01R.1420.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.FV.A3I0.01A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10U.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.FV.A2QR.11A.11R.A213.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.ZTPG.1426.SM.51MT3	GTEX.13FTW.1126.SM.5J2NV	GTEX.REY6.1226.SM.48FDR	TCGA.50.5936.01A.11R.1628.07	TCGA.44.7669.01A.21R.2066.07	TCGA.53.7624.01A.11R.2066.07	TCGA.05.4415.01A.22R.1858.07	TCGA.21.1083.01A.01R.0692.07	TCGA.58.8388.01A.11R.2326.07	TCGA.85.6560.01A.11R.1820.07	TCGA.39.5040.01A.21R.2125.07	TCGA.34.5927.01A.11R.1820.07	TCGA.AF.5654.01A.01R.1660.07	TCGA.AF.2693.01A.02R.1736.07	TCGA.AG.3731.01A.11R.1736.07	TCGA.EI.6507.01A.11R.1736.07	TCGA.G5.6233.01A.11R.1736.07	TCGA.CD.5799.01A.11R.1602.13	TCGA.BR.6852.01A.11R.1884.13	TCGA.CG.5720.01A.11R.1602.13	TCGA.HU.A4GN.01A.11R.A251.31	TCGA.BR.8678.01A.11R.2402.13	TCGA.D7.5578.01A.01R.1602.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.B7.A5TK.01A.12R.A36D.31	TCGA.VQ.A8P3.01A.11R.A36D.31	TCGA.BR.7707.01A.11R.2055.13	TCGA.VQ.AA69.01A.11R.A414.31	TCGA.EY.A1GL.01A.11R.A13S.07
NUF2	277.2	575.03	224.97	234.57	532.74	111.99	332.14	1119.56	368.65	1175.27	307.69	307.69	63.45	579.04	81.14	0.0	156.59	353.59	121.79	77.25	114.36	147.06	155.5	146.03	13.32	64.8	9.48	5.36	54.33	98.04	29.27	0.0	8.78	2.16	1.93	7.0	4.28	5.45	4.62	28.24	3.72	175.07	785.88	713.11	353.59	514.56	493.56	733.19	334.46	441.64	96.68	193.01	158.79	334.46	371.22	144.01	155.5	146.03	358.54	616.37	212.78	116.78	126.12	297.17	389.72	514.56	26.28
NUP160	381.68	334.46	251.48	289.02	785.88	283.05	551.56	307.69	155.5	532.74	381.68	514.56	180.02	463.65	154.42	177.53	299.25	387.02	395.18	457.25	307.69	117.6	406.31	909.17	125.24	137.14	130.6	111.99	79.45	232.94	241.19	115.16	176.29	141.02	149.12	170.25	209.84	126.12	273.37	158.79	118.43	435.55	988.12	514.56	733.19	389.72	759.08	1066.48	733.19	967.76	361.04	543.96	595.34	518.15	470.14	224.97	476.71	366.09	575.03	1268.46	368.65	363.56	507.46	656.11	397.93	723.08	202.66
NUP43	141.02	361.04	392.44	287.01	346.29	366.09	426.57	470.14	295.11	476.71	334.46	346.29	189.02	476.71	186.4	111.21	318.57	329.84	426.57	379.04	226.54	167.9	289.02	591.22	125.24	126.12	126.12	111.21	125.24	102.25	206.94	85.22	159.9	92.05	126.12	104.42	108.14	72.52	127.89	78.89	76.17	497.0	438.59	395.18	376.41	507.46	417.77	785.88	486.75	629.35	334.46	209.84	384.34	403.5	267.73	303.44	368.65	220.32	309.83	728.11	295.11	291.04	348.71	400.71	341.51	603.67	201.25
OSBPL8	96.01	271.48	204.07	305.55	241.19	153.34	241.19	88.88	61.68	343.89	460.44	293.07	93.35	142.01	201.25	202.66	134.3	503.95	269.6	191.67	202.66	44.57	150.17	309.83	91.41	66.18	62.12	61.25	51.71	59.97	283.05	26.86	182.55	122.64	134.3	155.5	181.28	136.19	262.2	118.43	116.78	473.41	616.37	351.14	371.22	389.72	518.15	518.15	211.31	563.18	202.66	289.02	379.04	543.96	166.73	185.11	295.11	234.57	320.8	974.5	229.72	185.11	486.75	262.2	170.25	536.45	142.01
PAPOLG	194.36	140.04	164.42	117.6	102.25	115.97	151.22	107.38	40.93	150.17	127.89	139.07	46.18	165.57	61.68	47.84	88.26	120.1	108.9	172.65	97.36	70.01	80.57	170.25	50.98	63.89	42.41	32.82	39.5	28.24	56.68	25.17	44.57	42.11	54.33	73.54	66.65	40.93	94.67	27.64	30.12	166.73	228.13	191.67	172.65	211.31	175.07	279.14	201.25	309.83	156.59	136.19	156.59	182.55	116.78	81.14	164.42	105.89	135.24	283.05	110.43	84.63	214.27	172.65	98.73	314.17	102.25
PARP11	94.67	48.52	56.68	177.53	17.0	26.47	101.54	6.06	56.68	100.13	205.5	153.34	55.49	103.69	47.17	39.22	52.08	98.04	113.56	86.43	59.55	21.63	77.79	98.04	28.24	16.03	67.12	36.53	29.91	20.71	61.25	32.13	30.56	36.79	22.1	64.34	66.18	42.11	47.17	84.04	45.85	98.73	241.19	27.05	108.14	195.72	191.67	164.42	118.43	102.25	60.82	117.6	180.02	80.01	100.83	21.94	80.57	50.98	74.06	104.42	81.14	55.89	163.28	58.71	54.33	126.12	23.42
PCGF6	90.77	212.78	144.01	91.41	450.94	167.9	151.22	145.02	108.14	199.85	104.42	143.01	122.64	126.12	103.69	163.28	159.9	295.11	228.13	150.17	109.66	81.14	105.15	260.38	148.09	165.57	114.36	115.16	105.15	75.11	71.5	82.29	128.79	122.64	177.53	136.19	153.34	147.06	100.13	97.36	115.97	159.9	151.22	260.38	258.57	135.24	143.01	228.13	59.97	154.42	124.37	181.28	190.34	181.28	223.41	76.17	116.78	98.04	147.06	327.56	104.42	83.45	253.23	163.28	94.67	262.2	79.45
PDCD7	197.09	423.61	307.69	180.02	242.88	229.72	269.6	241.19	236.21	371.22	177.53	217.27	249.73	397.93	208.38	127.0	260.38	273.37	285.03	435.55	287.01	186.4	228.13	329.84	144.01	105.89	125.24	104.42	127.0	94.01	241.19	66.65	158.79	139.07	146.03	118.43	166.73	130.6	195.72	71.0	119.26	258.57	242.88	503.95	269.6	320.8	483.38	441.64	277.2	392.44	242.88	348.71	420.68	454.09	293.07	199.85	295.11	205.5	264.03	463.65	205.5	167.9	277.2	167.9	305.55	356.05	246.28
PIKFYVE	58.3	61.68	86.43	81.14	61.25	63.89	67.12	21.63	26.67	109.66	95.34	135.24	58.3	120.1	94.67	103.69	68.55	69.52	74.06	112.77	98.04	26.47	113.56	155.5	40.93	50.27	55.1	38.95	33.06	48.52	79.45	28.86	88.26	49.21	71.5	85.82	85.82	55.49	58.3	80.57	44.57	104.42	214.27	146.03	162.14	199.85	239.52	214.27	190.34	237.86	120.94	120.94	173.85	147.06	105.89	52.82	135.24	61.68	139.07	215.77	77.79	102.25	107.38	108.9	57.89	234.57	62.12
PLEKHM3	13.93	13.62	13.62	19.68	29.06	28.86	12.18	5.36	1.83	30.78	37.32	27.25	8.99	36.79	15.91	25.54	15.34	12.09	18.29	24.81	18.7	12.83	14.03	30.78	7.82	11.04	13.12	18.7	13.22	16.15	15.91	25.91	21.01	22.43	9.41	22.43	40.36	17.13	14.45	21.78	14.89	50.98	92.7	44.57	38.12	42.11	77.25	47.5	69.52	60.39	13.93	26.86	36.01	52.08	24.11	14.24	24.46	24.63	35.0	66.65	29.27	30.34	18.97	19.11	14.24	52.45	8.38
PPIL4	177.53	457.25	305.55	277.2	368.65	429.54	420.68	329.84	271.48	518.15	339.14	348.71	154.42	373.81	214.27	253.23	392.44	486.75	417.77	441.64	435.55	218.79	470.14	743.43	301.33	214.27	170.25	128.79	130.6	142.01	147.06	43.32	334.46	265.87	414.87	376.41	348.71	236.21	540.19	201.25	236.21	575.03	454.09	463.65	444.72	476.71	426.57	599.49	532.74	575.03	441.64	320.8	551.56	559.28	373.81	426.57	420.68	361.04	426.57	591.22	244.57	334.46	540.19	493.56	371.22	559.28	329.84
PPIP5K1	94.67	102.97	303.44	125.24	117.6	127.0	204.07	75.11	109.66	363.56	406.31	318.57	98.04	299.25	249.73	71.0	215.77	154.42	249.73	309.83	267.73	356.05	406.31	165.57	33.3	64.34	96.01	114.36	100.83	26.28	150.17	57.08	41.22	28.45	33.06	68.55	88.88	36.27	88.26	104.42	36.53	316.37	651.58	199.85	154.42	307.69	507.46	149.12	202.66	376.41	281.09	312.0	463.65	486.75	285.03	269.6	279.14	429.54	583.07	470.14	307.69	543.96	85.22	323.03	147.06	559.28	215.77
PPP1R12A	334.46	336.79	547.75	414.87	866.07	373.81	361.04	159.9	102.97	693.58	525.39	620.67	161.02	260.38	376.41	178.77	208.38	1096.5	802.41	301.33	612.11	169.07	438.59	438.59	159.9	87.65	87.65	75.11	91.41	79.45	244.57	30.34	199.85	92.05	140.04	187.71	155.5	148.09	169.07	142.01	85.82	483.38	1096.5	660.68	503.95	708.18	738.29	480.04	638.15	1088.92	567.1	656.11	1104.13	1519.15	363.56	679.29	348.71	334.46	909.17	941.27	368.65	603.67	4736.79	1508.65	397.93	665.29	214.27
PRIM1	212.78	267.73	177.53	177.53	607.87	63.0	397.93	356.05	353.59	493.56	406.31	529.06	155.5	106.63	73.54	60.82	176.29	525.39	518.15	232.94	212.78	139.07	348.71	231.32	84.63	236.21	73.54	41.52	75.11	277.2	43.63	35.25	49.91	45.85	61.25	72.52	72.01	37.85	33.06	127.89	27.25	264.03	842.36	503.95	470.14	559.28	287.01	395.18	185.11	253.23	159.9	237.86	215.77	379.04	463.65	234.57	228.13	289.02	379.04	540.19	312.0	153.34	217.27	256.78	291.04	332.14	52.45
PRMT6	122.64	309.83	206.94	258.57	220.32	194.36	239.52	187.71	172.65	397.93	223.41	343.89	34.02	260.38	98.73	175.07	59.55	88.26	106.63	131.51	101.54	279.14	212.78	258.57	105.89	158.79	71.5	57.89	8.38	69.52	52.82	164.42	115.16	159.9	111.99	208.38	275.28	157.68	100.13	143.01	7.17	255.0	836.53	283.05	189.02	356.05	305.55	356.05	273.37	909.17	320.8	271.48	198.47	226.54	138.1	156.59	115.16	309.83	316.37	400.71	205.5	262.2	206.94	34.51	104.42	76.17	208.38
PRPF4B	289.02	559.28	624.99	447.82	435.55	511.0	748.61	603.67	283.05	607.87	764.36	785.88	309.83	947.83	603.67	303.44	567.1	679.29	647.07	848.22	723.08	329.84	791.35	651.58	285.03	165.57	226.54	180.02	189.02	234.57	629.35	85.22	429.54	273.37	293.07	368.65	325.29	307.69	438.59	181.28	167.9	728.11	1081.39	796.86	591.22	961.07	1081.39	854.13	796.86	1051.79	733.19	607.87	1119.56	1135.2	1066.48	647.07	612.11	514.56	890.44	974.5	490.14	638.15	1127.35	1183.45	536.45	1286.18	371.22
PRR3	194.36	285.03	226.54	109.66	299.25	205.5	157.68	260.38	134.3	136.19	159.9	204.07	153.34	363.56	237.86	76.17	197.09	204.07	209.84	170.25	187.71	138.1	134.3	563.18	183.82	129.69	111.21	94.01	124.37	155.5	301.33	52.45	102.25	126.12	142.01	149.12	113.56	97.36	119.26	62.56	75.11	293.07	447.82	397.93	339.14	199.85	555.41	693.58	249.73	397.93	204.07	312.0	253.23	595.34	169.07	224.97	226.54	155.5	271.48	438.59	167.9	130.6	178.77	241.19	165.57	220.32	154.42
PUM2	902.89	629.35	1119.56	830.75	620.67	775.05	1001.93	579.04	253.23	1313.23	842.36	1119.56	312.0	1073.91	660.68	483.38	507.46	525.39	693.58	1119.56	599.49	486.75	607.87	785.88	363.56	381.68	381.68	285.03	336.79	291.04	497.0	291.04	579.04	438.59	447.82	514.56	563.18	426.57	660.68	432.53	351.14	1030.12	1059.11	1583.71	753.83	1119.56	1151.06	1651.0	1427.22	1268.46	915.51	934.76	1111.82	1001.93	743.43	579.04	802.41	575.03	896.64	1487.87	599.49	633.73	775.05	836.53	511.0	1605.83	612.11
QSER1	102.25	121.79	102.25	96.68	182.55	73.54	248.0	82.29	56.28	289.02	158.79	166.73	80.01	166.73	70.51	57.49	80.57	121.79	143.01	96.01	114.36	24.81	101.54	187.71	40.07	33.06	34.26	24.28	34.02	29.06	100.83	14.24	52.82	36.27	34.51	50.98	63.0	40.93	49.91	44.89	32.59	161.02	325.29	146.03	307.69	173.85	389.72	406.31	212.78	361.04	122.64	165.57	148.09	214.27	164.42	86.43	209.84	130.6	289.02	376.41	119.26	128.79	190.34	224.97	148.09	764.36	92.05
R3HDM2	447.82	703.28	723.08	414.87	463.65	470.14	647.07	241.19	476.71	514.56	620.67	651.58	460.44	503.95	426.57	414.87	353.59	470.14	713.11	915.51	325.29	236.21	476.71	693.58	403.5	540.19	473.41	339.14	454.09	483.38	890.44	414.87	450.94	395.18	438.59	500.46	457.25	470.14	412.0	371.22	420.68	753.83	1304.15	503.95	473.41	902.89	1259.69	559.28	607.87	872.1	808.0	688.78	830.75	1277.29	819.3	575.03	638.15	511.0	693.58	902.89	878.17	529.06	723.08	825.0	309.83	1199.98	414.87
RARS2	387.02	753.83	497.0	368.65	432.53	728.11	718.08	595.34	283.05	470.14	384.34	454.09	387.02	830.75	490.14	400.71	497.0	660.68	447.82	878.17	435.55	351.14	620.67	638.15	389.72	447.82	435.55	348.71	198.47	392.44	403.5	269.6	376.41	301.33	361.04	521.76	353.59	323.03	441.64	327.56	299.25	514.56	896.64	480.04	457.25	1159.07	660.68	647.07	480.04	884.29	497.0	400.71	647.07	693.58	497.0	454.09	432.53	486.75	583.07	830.75	363.56	595.34	480.04	559.28	414.87	514.56	571.05
RBM12B	54.33	113.56	122.64	57.89	83.45	74.58	122.64	58.71	59.55	460.44	253.23	255.0	35.5	165.57	98.73	48.18	76.71	74.58	108.9	159.9	105.15	40.64	110.43	153.34	22.1	21.63	36.27	33.54	18.43	31.0	100.83	17.25	23.42	17.38	17.77	42.41	53.57	21.78	44.57	18.03	27.44	183.82	336.79	197.09	218.79	226.54	368.65	334.46	194.36	332.14	92.05	106.63	299.25	239.52	199.85	68.55	162.14	109.66	158.79	314.17	162.14	78.89	73.54	128.79	70.51	191.67	59.55
REPS1	476.71	915.51	521.76	351.14	633.73	791.35	866.07	679.29	607.87	728.11	327.56	432.53	242.88	1313.23	309.83	490.14	703.28	684.02	753.83	713.11	728.11	567.1	567.1	688.78	616.37	361.04	624.99	384.34	295.11	607.87	348.71	674.59	525.39	607.87	571.05	575.03	536.45	638.15	460.44	733.19	361.04	967.76	660.68	708.18	629.35	902.89	1023.0	954.43	1015.93	1417.35	713.11	426.57	693.58	698.41	629.35	463.65	450.94	603.67	624.99	848.22	435.55	583.07	536.45	642.59	503.95	941.27	796.86
RIF1	111.21	115.97	75.64	104.42	173.85	84.63	136.19	74.06	26.86	323.03	269.6	234.57	67.59	208.38	206.94	83.45	105.89	141.02	171.45	141.02	161.02	31.67	100.13	206.94	45.21	54.72	46.5	33.78	38.95	43.32	112.77	14.03	85.22	49.91	61.25	73.03	75.11	51.35	115.16	74.58	93.35	191.67	343.89	351.14	297.17	339.14	387.02	220.32	368.65	316.37	229.72	194.36	255.0	267.73	191.67	110.43	194.36	72.52	297.17	435.55	125.24	146.03	205.5	218.79	145.02	486.75	66.18
RNF169	62.12	81.71	81.71	95.34	66.18	27.64	117.6	21.94	32.59	141.02	135.24	120.94	33.54	122.64	61.25	44.57	53.95	65.72	90.77	84.63	72.52	16.15	69.03	102.25	22.92	18.7	18.03	12.83	13.83	15.56	73.03	21.63	51.35	29.48	27.05	52.82	49.91	40.36	98.73	21.16	26.86	157.68	161.02	173.85	163.28	134.3	167.9	197.09	194.36	159.9	55.89	55.49	130.6	128.79	84.04	36.27	131.51	63.0	129.69	221.86	71.0	76.71	95.34	97.36	40.07	236.21	35.0
RNF41	497.0	518.15	381.68	612.11	669.92	316.37	447.82	371.22	540.19	808.0	703.28	693.58	301.33	320.8	356.05	283.05	555.41	854.13	642.59	1081.39	483.38	320.8	591.22	616.37	220.32	182.55	226.54	161.02	178.77	145.02	555.41	264.03	244.57	232.94	201.25	297.17	309.83	193.01	460.44	228.13	211.31	583.07	1199.98	571.05	603.67	902.89	647.07	575.03	764.36	995.0	830.75	575.03	698.41	1096.5	591.22	567.1	518.15	543.96	460.44	860.08	708.18	555.41	587.13	351.14	444.72	665.29	529.06
RNGTT	104.42	145.02	108.14	79.45	113.56	96.01	195.72	115.16	40.07	114.36	123.5	169.07	53.19	204.07	96.01	111.21	115.97	193.01	126.12	125.24	150.17	68.07	177.53	201.25	82.29	93.35	93.35	91.41	45.53	61.25	51.71	81.71	115.97	82.29	100.83	108.9	120.1	97.36	98.04	96.01	94.67	147.06	256.78	176.29	221.86	246.28	173.85	309.83	142.01	197.09	147.06	90.14	214.27	185.11	98.04	108.14	132.44	92.05	156.59	361.04	80.57	127.89	154.42	162.14	109.66	343.89	94.67
RPAP2	186.4	271.48	384.34	147.06	183.82	223.41	283.05	224.97	124.37	201.25	211.31	178.77	256.78	170.25	197.09	92.05	239.52	327.56	309.83	159.9	271.48	134.3	187.71	162.14	173.85	162.14	126.12	122.64	143.01	108.9	159.9	26.47	108.14	98.04	114.36	152.28	139.07	108.14	150.17	144.01	108.14	316.37	241.19	260.38	283.05	293.07	236.21	457.25	258.57	406.31	262.2	332.14	301.33	392.44	299.25	193.01	231.32	164.42	283.05	212.78	187.71	172.65	351.14	323.03	267.73	351.14	269.6
RPS10-NUDT3	329.84	660.68	346.29	363.56	454.09	366.09	206.94	371.22	297.17	642.59	638.15	351.14	269.6	525.39	269.6	223.41	262.2	466.88	285.03	297.17	281.09	275.28	217.27	426.57	136.19	127.89	167.9	150.17	100.13	154.42	563.18	209.84	176.29	141.02	121.79	271.48	202.66	164.42	334.46	212.78	185.11	435.55	583.07	358.54	351.14	339.14	896.64	1008.9	295.11	400.71	130.6	457.25	395.18	587.13	277.2	218.79	307.69	217.27	232.94	368.65	242.88	258.57	146.03	363.56	348.71	348.71	283.05
RQCD1	447.82	693.58	320.8	432.53	417.77	389.72	438.59	368.65	518.15	543.96	497.0	738.29	521.76	748.61	426.57	356.05	693.58	842.36	684.02	629.35	743.43	395.18	708.18	595.34	334.46	493.56	244.57	251.48	221.86	305.55	231.32	182.55	329.84	244.57	371.22	348.71	389.72	314.17	435.55	334.46	267.73	607.87	1572.76	656.11	733.19	1023.0	1322.37	1617.0	921.88	1259.69	1322.37	748.61	872.1	785.88	733.19	669.92	679.29	595.34	1015.93	1359.57	507.46	743.43	575.03	563.18	656.11	1037.29	384.34
RSRC2	796.86	2061.24	1313.23	1259.69	1721.16	1340.84	1277.29	1259.69	753.83	1397.83	1242.34	1769.57	866.07	1259.69	1617.0	743.43	1685.71	1733.13	1225.22	1225.22	1540.37	642.59	1216.75	1844.76	825.0	753.83	555.41	532.74	521.76	470.14	1639.59	309.83	902.89	764.36	819.3	947.83	819.3	612.11	1639.59	660.68	521.76	1498.22	1883.54	1359.57	1135.2	2148.82	2287.2	1167.14	1936.53	2119.22	1674.06	1697.45	2004.85	2573.36	1923.14	941.27	878.17	872.1	1322.37	1806.78	1008.9	743.43	1216.75	2224.63	1304.15	2119.22	1151.06
RTTN	121.79	173.85	120.94	124.37	122.64	106.63	277.2	159.9	120.1	253.23	144.01	127.0	142.01	158.79	109.66	119.26	255.0	435.55	143.01	107.38	135.24	62.12	96.01	162.14	85.82	58.3	78.34	39.5	53.95	123.5	69.03	110.43	77.25	85.22	102.25	149.12	73.54	83.45	75.11	81.71	71.0	89.51	277.2	99.43	575.03	180.02	175.07	412.0	351.14	297.17	229.72	121.79	214.27	209.84	126.12	50.27	149.12	77.25	187.71	199.85	105.89	93.35	89.51	147.06	154.42	283.05	248.0
SAAL1	262.2	738.29	329.84	262.2	518.15	234.57	591.22	470.14	162.14	379.04	220.32	228.13	371.22	389.72	148.09	96.68	647.07	264.03	529.06	376.41	295.11	341.51	356.05	571.05	251.48	231.32	178.77	164.42	130.6	260.38	234.57	125.24	115.97	93.35	130.6	167.9	150.17	142.01	171.45	131.51	117.6	353.59	769.69	312.0	890.44	343.89	518.15	921.88	312.0	473.41	476.71	483.38	500.46	525.39	406.31	173.85	173.85	327.56	497.0	529.06	256.78	289.02	395.18	260.38	435.55	348.71	244.57
SART3	409.15	624.99	466.88	624.99	438.59	358.54	507.46	376.41	318.57	723.08	656.11	813.63	454.09	507.46	463.65	232.94	567.1	909.17	890.44	500.46	854.13	351.14	633.73	698.41	289.02	244.57	206.94	218.79	195.72	209.84	567.1	178.77	258.57	264.03	271.48	309.83	297.17	198.47	620.67	262.2	189.02	579.04	1350.18	620.67	825.0	872.1	1135.2	679.29	764.36	1135.2	961.07	759.08	934.76	1199.98	595.34	698.41	629.35	563.18	748.61	995.0	708.18	529.06	599.49	616.37	591.22	1037.29	438.59
SASS6	66.18	63.89	93.35	82.87	127.0	46.84	98.73	133.36	26.67	152.28	92.7	87.65	29.06	76.17	31.45	13.32	55.1	96.68	86.43	42.71	74.58	38.67	70.01	39.22	4.58	18.7	14.67	11.38	11.13	22.92	19.82	4.98	10.96	7.11	5.87	16.88	13.93	10.96	37.32	11.91	17.51	104.42	182.55	149.12	133.36	124.37	105.15	190.34	135.24	190.34	95.34	104.42	123.5	136.19	86.43	81.14	97.36	56.68	164.42	124.37	67.59	98.73	88.88	102.25	50.27	172.65	19.39
SCAF11	1151.06	819.3	769.69	1073.91	1008.9	432.53	961.07	884.29	713.11	813.63	1407.55	1023.0	575.03	403.5	603.67	529.06	607.87	928.3	934.76	1044.52	688.78	414.87	785.88	688.78	460.44	241.19	346.29	287.01	289.02	318.57	872.1	117.6	669.92	444.72	559.28	497.0	591.22	450.94	587.13	420.68	450.94	921.88	1477.58	1127.35	884.29	1191.69	1059.11	748.61	1135.2	1519.15	708.18	1015.93	1059.11	1340.84	1225.22	836.53	921.88	753.83	1096.5	1359.57	909.17	780.44	1313.23	1023.0	819.3	1561.89	454.09
SCAF8	221.86	303.44	256.78	197.09	264.03	348.71	316.37	181.28	265.87	476.71	318.57	358.54	111.21	334.46	197.09	198.47	236.21	206.94	351.14	429.54	264.03	172.65	295.11	447.82	143.01	98.73	121.79	110.43	123.5	105.89	151.22	101.54	189.02	156.59	164.42	220.32	202.66	129.69	226.54	148.09	146.03	379.04	521.76	438.59	307.69	403.5	595.34	414.87	429.54	718.08	255.0	234.57	473.41	444.72	279.14	237.86	303.44	271.48	363.56	579.04	281.09	281.09	301.33	327.56	212.78	718.08	232.94
SDE2	133.36	147.06	145.02	256.78	255.0	128.79	152.28	130.6	105.89	120.94	273.37	186.4	73.03	223.41	124.37	211.31	177.53	305.55	178.77	267.73	223.41	108.14	373.81	226.54	145.02	131.51	115.16	106.63	120.94	72.01	90.14	120.94	253.23	199.85	242.88	255.0	183.82	190.34	162.14	279.14	111.99	239.52	423.61	206.94	397.93	318.57	395.18	228.13	297.17	493.56	231.32	356.05	279.14	307.69	167.9	154.42	231.32	180.02	251.48	426.57	173.85	150.17	244.57	214.27	182.55	323.03	131.51
SGTB	33.06	127.0	29.91	43.94	51.71	29.48	36.53	18.43	43.32	37.32	57.08	52.45	49.91	21.47	19.68	20.11	27.64	111.99	34.51	32.13	27.84	10.63	37.59	88.26	18.97	27.25	14.03	20.86	20.71	17.77	18.43	2.71	29.91	20.11	16.75	29.48	25.54	20.26	45.53	33.78	17.25	66.18	181.28	71.0	121.79	91.41	54.72	218.79	84.63	91.41	43.63	45.53	108.9	142.01	43.63	20.26	66.18	36.27	28.65	124.37	28.24	21.47	110.43	74.06	41.22	76.71	34.02
SHPRH	24.28	35.76	50.98	51.35	31.22	24.11	48.87	23.25	14.67	114.36	73.03	72.01	7.0	85.22	20.86	33.06	36.27	46.18	59.13	72.01	43.32	8.06	52.82	73.54	5.63	9.13	16.88	11.21	8.25	6.67	20.26	5.23	28.86	15.56	15.11	31.9	30.56	14.67	24.99	29.06	7.28	81.14	121.79	55.49	62.12	82.29	135.24	105.89	100.13	132.44	59.97	53.57	99.43	127.89	53.19	34.75	61.68	52.08	108.9	208.38	45.21	64.34	67.12	83.45	47.5	187.71	25.35
SIN3A	303.44	403.5	392.44	366.09	320.8	339.14	361.04	346.29	348.71	708.18	684.02	688.78	236.21	796.86	273.37	175.07	348.71	332.14	473.41	444.72	450.94	231.32	339.14	493.56	187.71	115.16	139.07	94.01	123.5	162.14	293.07	122.64	384.34	234.57	202.66	232.94	229.72	155.5	251.48	204.07	163.28	684.02	819.3	848.22	902.89	780.44	878.17	688.78	532.74	1104.13	387.02	547.75	612.11	656.11	334.46	303.44	493.56	395.18	529.06	738.29	507.46	444.72	348.71	480.04	525.39	1001.93	271.48
SLC25A36	176.29	327.56	674.59	361.04	343.89	1015.93	599.49	293.07	146.03	764.36	363.56	738.29	94.01	642.59	229.72	64.34	490.14	493.56	395.18	808.0	379.04	127.0	318.57	1104.13	42.41	18.29	20.41	21.01	18.03	17.51	218.79	8.71	63.45	19.68	38.12	53.57	44.89	41.52	273.37	57.49	16.03	551.56	743.43	679.29	563.18	1233.75	1794.29	1044.52	1417.35	1304.15	723.08	587.13	802.41	1167.14	454.09	376.41	583.07	497.0	660.68	1407.55	684.02	460.44	543.96	909.17	329.84	1242.34	329.84
SLTM	540.19	1467.37	1051.79	830.75	1208.34	947.83	1208.34	759.08	587.13	1583.71	1709.26	1757.34	802.41	1594.73	1081.39	743.43	928.3	830.75	848.22	1175.27	1359.57	928.3	1519.15	1295.13	669.92	429.54	693.58	490.14	412.0	454.09	884.29	348.71	563.18	547.75	679.29	759.08	733.19	480.04	656.11	486.75	301.33	1259.69	1407.55	1286.18	1119.56	1721.16	1721.16	1191.69	1313.23	1794.29	995.0	1183.45	1467.37	1119.56	1088.92	902.89	1023.0	915.51	1781.89	1674.06	819.3	1081.39	1467.37	1651.0	1111.82	1561.89	915.51
SMARCC2	543.96	819.3	866.07	872.1	693.58	708.18	802.41	638.15	587.13	1001.93	1073.91	981.29	470.14	583.07	796.86	299.25	329.84	656.11	1225.22	1447.15	406.31	381.68	612.11	796.86	159.9	195.72	242.88	171.45	204.07	215.77	708.18	275.28	249.73	197.09	164.42	323.03	289.02	193.01	226.54	255.0	127.89	1015.93	2468.49	1015.93	819.3	1340.84	1519.15	941.27	1008.9	1977.24	813.63	961.07	1073.91	1883.54	1175.27	698.41	974.5	791.35	947.83	1359.57	1051.79	728.11	693.58	769.69	511.0	1794.29	656.11
