	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.FV.A3I1.11A.11R.A22L.07	GTEX.XBEC.1526.SM.4AT68	GTEX.RN64.1826.SM.48FDV	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.11EQ9.0226.SM.5A5JX	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.YFC4.1126.SM.5RQJN	GTEX.XBEC.1026.SM.4QASM	GTEX.OOBJ.0526.SM.48TDK	GTEX.11P7K.0326.SM.59871	GTEX.OXRN.0526.SM.2I5EN	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.11PRG.0926.SM.5EGI8	GTEX.11WQC.0626.SM.5EQMF	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.P4PQ.0526.SM.2HMKR	GTEX.11EI6.0826.SM.5985V	GTEX.14E7W.1326.SM.5RQIV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.117YX.1326.SM.5H125	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.ZZPT.1326.SM.5E43H	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13O21.3026.SM.5J2NI	GTEX.1122O.0126.SM.5GICA	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.T6MN.0826.SM.32PM4	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZE7O.0826.SM.57WCP	GTEX.13VXU.2726.SM.5LU4N	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.11O72.1326.SM.5BC5A	GTEX.14DAR.0226.SM.5S2PR	GTEX.ZYT6.0526.SM.5GIEA	GTEX.Q2AG.1026.SM.33HBW	GTEX.139UW.0226.SM.5K7WU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.QEG4.0526.SM.48TZD	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.UJMC.0726.SM.3GADX	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.OHPM.0526.SM.2YUMJ
SMCHD1	102.97	102.25	107.38	101.54	123.5	89.51	90.14	46.5	67.12	96.68	69.52	58.3	113.56	76.71	80.01	92.05	22.92	63.0	88.88	141.02	94.67	85.22	921.88	493.56	1233.75	228.13	332.14	273.37	412.0	559.28	157.68	201.25	1388.16	400.71	181.28	162.14	420.68	928.3	226.54	708.18	500.46	242.88	813.63	234.57	181.28	164.42	507.46	567.1	651.58	395.18	204.07	366.09	878.17	438.59	791.35	441.64	503.95	197.09	194.36	373.81	211.31	511.0	305.55	802.41	242.88	603.67	295.11	228.13	454.09	371.22	624.99	457.25	688.78	175.07	246.28	583.07	381.68	444.72	389.72	121.79	547.75	209.84	327.56	708.18	241.19	525.39	813.63	718.08	1191.69	738.29	201.25
SNN	105.89	145.02	242.88	150.17	111.21	105.89	142.01	262.2	144.01	145.02	170.25	46.84	140.04	104.42	147.06	129.69	73.54	82.87	84.04	129.69	94.01	73.54	1457.23	642.59	1529.73	567.1	723.08	514.56	921.88	403.5	629.35	441.64	1540.37	825.0	441.64	412.0	629.35	2400.97	607.87	1073.91	647.07	738.29	1159.07	529.06	536.45	387.02	688.78	1487.87	791.35	392.44	603.67	476.71	2004.85	842.36	1883.54	988.12	884.29	334.46	583.07	563.18	460.44	961.07	733.19	819.3	417.77	1350.18	414.87	567.1	674.59	1073.91	1286.18	775.05	1233.75	656.11	567.1	1119.56	872.1	493.56	796.86	460.44	902.89	395.18	780.44	1605.83	483.38	1583.71	2018.8	1594.73	1030.12	1697.45	1051.79
SPAG9	381.68	312.0	183.82	165.57	361.04	209.84	161.02	366.09	271.48	181.28	271.48	253.23	327.56	384.34	334.46	387.02	142.01	291.04	255.0	450.94	277.2	221.86	2895.31	1467.37	2271.4	1023.0	1127.35	1651.0	1397.83	1208.34	713.11	902.89	3168.41	1250.98	423.61	688.78	1806.78	3515.68	753.83	2935.74	830.75	612.11	2591.27	1208.34	679.29	688.78	1540.37	2384.37	1277.29	1313.23	854.13	890.44	2796.65	928.3	2645.74	1167.14	1159.07	902.89	547.75	854.13	642.59	1277.29	866.07	2384.37	490.14	2758.13	928.3	830.75	1295.13	1259.69	2178.83	1250.98	2384.37	819.3	595.34	2976.74	1359.57	2032.85	842.36	486.75	2178.83	1066.48	921.88	2997.45	1175.27	1950.0	3235.01	1437.15	2417.67	3303.0	1081.39
SPRED1	63.89	38.67	54.33	46.5	35.5	47.5	33.78	5.68	22.59	34.02	21.47	47.84	53.95	56.28	58.3	53.57	20.86	48.52	57.89	63.0	35.76	18.43	1407.55	1081.39	759.08	429.54	376.41	397.93	320.8	1286.18	320.8	713.11	417.77	511.0	303.44	361.04	728.11	2303.12	224.97	684.02	674.59	460.44	896.64	285.03	547.75	176.29	518.15	1674.06	698.41	974.5	543.96	651.58	595.34	371.22	728.11	633.73	262.2	221.86	251.48	373.81	312.0	529.06	723.08	563.18	376.41	1322.37	514.56	441.64	669.92	1378.57	878.17	974.5	693.58	466.88	591.22	1037.29	429.54	197.09	384.34	356.05	376.41	316.37	312.0	759.08	346.29	521.76	1127.35	848.22	493.56	896.64	836.53
SPRY4	126.12	139.07	172.65	123.5	110.43	208.38	130.6	100.83	96.01	205.5	173.85	167.9	76.71	115.16	164.42	136.19	63.0	87.65	110.43	129.69	43.94	59.55	1467.37	665.29	2090.03	2104.58	928.3	860.08	2609.3	599.49	813.63	1819.35	1350.18	441.64	836.53	928.3	450.94	2434.5	1498.22	536.45	819.3	896.64	2451.44	1561.89	518.15	981.29	878.17	3614.55	3847.29	669.92	1286.18	518.15	854.13	866.07	718.08	842.36	1322.37	796.86	748.61	551.56	764.36	470.14	555.41	587.13	323.03	1340.84	521.76	1331.57	231.32	1407.55	1259.69	409.15	2720.15	575.03	559.28	1950.0	1369.04	748.61	802.41	624.99	1015.93	1143.1	738.29	1709.26	872.1	457.25	3103.19	579.04	1277.29	2018.8	1369.04
SRSF4	1259.69	651.58	791.35	974.5	1477.58	928.3	1001.93	633.73	872.1	620.67	981.29	1051.79	1037.29	1008.9	1104.13	902.89	866.07	1059.11	1111.82	1143.1	1685.71	1397.83	3280.18	2047.0	3928.15	1617.0	1806.78	1909.85	2796.65	1662.49	1457.23	1457.23	3419.52	1721.16	1685.71	1697.45	1437.15	5041.77	1519.15	1806.78	1388.16	1617.0	2796.65	1662.49	1191.69	1208.34	1923.14	2384.37	4575.41	1769.57	1561.89	1844.76	2090.03	1819.35	3639.7	1583.71	1498.22	1378.57	1417.35	1572.76	1583.71	2178.83	2163.77	1529.73	1605.83	3614.55	2434.5	1277.29	1551.09	2537.92	2976.74	2061.24	2555.58	1081.39	2061.24	1977.24	3235.01	1819.35	1628.26	1051.79	1651.0	1806.78	1963.57	2777.33	1397.83	1697.45	4210.15	2303.12	1733.13	4704.07	1745.2
SSFA2	1191.69	490.14	435.55	366.09	503.95	607.87	417.77	543.96	603.67	540.19	547.75	1313.23	1639.59	1313.23	915.51	1277.29	607.87	1096.5	1119.56	1477.58	995.0	1104.13	5041.77	5329.3	2271.4	3303.0	2915.45	3639.7	2319.15	2895.31	2417.67	2335.28	3060.45	2367.9	1745.2	1883.54	4903.87	3349.13	1561.89	3419.52	2537.92	2119.22	4388.98	2271.4	1467.37	1583.71	2400.97	4937.99	3589.58	3103.19	3280.18	2209.26	3212.66	2875.3	3280.18	5255.91	1781.89	1628.26	2178.83	2573.36	1963.57	2816.11	1883.54	5041.77	2032.85	3716.2	2451.44	2609.3	2133.97	4575.41	3168.41	2417.67	2835.7	2119.22	2193.99	5255.91	3467.27	1628.26	3146.52	1769.57	2004.85	1870.53	2609.3	4704.07	2739.08	4937.99	7911.95	3190.46	3515.68	3794.3	2976.74
SSH1	95.34	166.73	109.66	85.22	187.71	118.43	99.43	59.13	72.01	102.97	115.97	76.71	103.69	98.04	98.73	108.9	71.5	116.78	81.14	155.5	127.89	138.1	1225.22	429.54	1242.34	267.73	316.37	273.37	830.75	376.41	234.57	271.48	1096.5	316.37	208.38	193.01	591.22	1857.6	246.28	536.45	289.02	327.56	1268.46	269.6	241.19	231.32	638.15	1250.98	872.1	279.14	269.6	329.84	1096.5	389.72	1259.69	395.18	242.88	221.86	212.78	318.57	242.88	583.07	507.46	417.77	228.13	1617.0	307.69	299.25	366.09	780.44	967.76	896.64	808.0	271.48	301.33	738.29	878.17	271.48	241.19	214.27	444.72	199.85	265.87	884.29	320.8	633.73	1417.35	579.04	764.36	1208.34	607.87
STX11	56.68	138.1	57.08	23.08	35.76	64.8	19.25	2.78	11.55	17.51	24.46	20.86	77.79	27.84	76.17	50.63	61.68	44.89	32.13	53.95	34.02	21.01	1923.14	961.07	3540.14	1572.76	1304.15	1977.24	1617.0	1104.13	693.58	1350.18	3395.89	909.17	764.36	483.38	1628.26	1540.37	743.43	890.44	1008.9	684.02	1066.48	1111.82	791.35	791.35	1073.91	3955.48	2163.77	620.67	1397.83	796.86	3372.43	1088.92	4328.55	1066.48	860.08	764.36	928.3	511.0	1225.22	2061.24	718.08	1015.93	775.05	2555.58	2090.03	1870.53	1008.9	4769.75	1111.82	1388.16	2384.37	1427.22	1268.46	785.88	3564.78	1250.98	629.35	1143.1	796.86	909.17	1059.11	2434.5	967.76	1216.75	2956.17	2720.15	1769.57	5329.3	2555.58
STX12	325.29	318.57	309.83	249.73	361.04	384.34	287.01	189.02	256.78	194.36	325.29	232.94	314.17	256.78	256.78	307.69	289.02	267.73	260.38	293.07	253.23	186.4	2682.69	1757.34	4239.45	1617.0	1350.18	1628.26	2555.58	1832.01	1519.15	1183.45	2104.58	1277.29	1143.1	1639.59	1617.0	4358.66	1551.09	1991.0	1242.34	1519.15	1769.57	1540.37	1286.18	1175.27	1295.13	3060.45	4736.79	1407.55	1594.73	1030.12	1991.0	1183.45	2351.53	1551.09	1733.13	909.17	1417.35	1529.73	1437.15	2537.92	1757.34	1883.54	785.88	3124.78	1857.6	1378.57	1697.45	3303.0	2133.97	1417.35	2400.97	1322.37	1167.14	1781.89	2855.44	1159.07	1183.45	1183.45	1407.55	1583.71	1304.15	2777.33	2133.97	1936.53	2997.45	2303.12	3589.58	3280.18	2555.58
SWAP70	104.42	314.17	287.01	121.79	153.34	204.07	96.01	90.77	90.77	181.28	127.0	53.19	100.13	66.65	75.11	92.7	63.89	73.54	64.34	94.67	67.59	50.27	1757.34	947.83	2032.85	1447.15	1331.57	961.07	1857.6	1088.92	624.99	842.36	1359.57	400.71	514.56	642.59	703.28	2537.92	713.11	981.29	759.08	1119.56	1175.27	1135.2	460.44	447.82	780.44	995.0	1498.22	848.22	1111.82	866.07	718.08	748.61	813.63	836.53	928.3	555.41	708.18	775.05	543.96	718.08	660.68	941.27	423.61	921.88	1583.71	995.0	466.88	1277.29	1304.15	713.11	1721.16	679.29	563.18	1030.12	1583.71	603.67	961.07	669.92	723.08	616.37	624.99	1572.76	1023.0	660.68	2682.69	928.3	1313.23	2335.28	1857.6
TAB2	571.05	429.54	281.09	193.01	518.15	358.54	241.19	193.01	303.44	166.73	212.78	389.72	679.29	559.28	384.34	607.87	334.46	728.11	571.05	728.11	435.55	441.64	1583.71	1437.15	1199.98	1015.93	1208.34	981.29	1242.34	1540.37	836.53	928.3	1572.76	1023.0	934.76	603.67	1340.84	1883.54	1008.9	1286.18	1322.37	1066.48	1183.45	669.92	733.19	638.15	1183.45	988.12	1015.93	1286.18	1159.07	934.76	1159.07	1417.35	1427.22	1044.52	743.43	684.02	819.3	981.29	764.36	728.11	1088.92	1594.73	1250.98	1369.04	1073.91	896.64	748.61	1233.75	1277.29	1628.26	1519.15	603.67	988.12	1991.0	1143.1	616.37	1340.84	872.1	1159.07	775.05	974.5	1437.15	753.83	1167.14	2400.97	1066.48	1151.06	1594.73	1088.92
TBC1D15	483.38	373.81	334.46	351.14	521.76	299.25	353.59	218.79	281.09	264.03	339.14	363.56	529.06	521.76	420.68	473.41	180.02	395.18	444.72	579.04	447.82	323.03	1467.37	1350.18	1359.57	616.37	651.58	902.89	1167.14	1096.5	698.41	599.49	1250.98	915.51	660.68	693.58	1191.69	2075.59	656.11	1572.76	884.29	703.28	1950.0	665.29	571.05	555.41	1268.46	1883.54	1388.16	1127.35	884.29	718.08	1388.16	1427.22	1909.85	1208.34	872.1	723.08	660.68	785.88	567.1	1030.12	1096.5	1066.48	665.29	1769.57	802.41	738.29	896.64	1127.35	1447.15	1051.79	1183.45	612.11	607.87	1594.73	1322.37	728.11	1001.93	620.67	1250.98	651.58	854.13	1191.69	642.59	1457.23	2209.26	1250.98	1277.29	2119.22	842.36
TBK1	223.41	277.2	234.57	201.25	253.23	226.54	212.78	148.09	177.53	229.72	271.48	234.57	242.88	212.78	209.84	221.86	65.72	205.5	241.19	256.78	229.72	129.69	819.3	536.45	830.75	236.21	299.25	295.11	387.02	447.82	271.48	287.01	638.15	336.79	293.07	265.87	603.67	928.3	309.83	595.34	283.05	303.44	947.83	251.48	271.48	224.97	486.75	769.69	500.46	371.22	325.29	318.57	791.35	334.46	785.88	327.56	363.56	236.21	253.23	371.22	279.14	529.06	432.53	536.45	273.37	1051.79	351.14	281.09	387.02	629.35	703.28	480.04	486.75	248.0	267.73	934.76	587.13	289.02	271.48	249.73	397.93	223.41	277.2	638.15	291.04	679.29	1199.98	547.75	638.15	1015.93	387.02
TCF4	63.89	105.15	87.03	59.97	71.5	82.29	34.02	8.99	40.36	75.64	78.34	40.93	57.89	45.85	56.28	53.57	11.47	42.11	45.53	68.55	95.34	26.67	2384.37	1199.98	1936.53	738.29	684.02	363.56	884.29	1295.13	295.11	406.31	813.63	759.08	392.44	244.57	723.08	3280.18	460.44	1721.16	1081.39	890.44	3212.66	389.72	371.22	320.8	808.0	3874.05	1883.54	2104.58	603.67	1096.5	1175.27	1250.98	2434.5	1295.13	567.1	309.83	356.05	638.15	392.44	1159.07	1407.55	1059.11	395.18	2178.83	842.36	575.03	947.83	1322.37	1605.83	503.95	1359.57	417.77	612.11	1832.01	1008.9	226.54	651.58	301.33	1617.0	309.83	878.17	3190.46	470.14	1397.83	5711.87	1088.92	2193.99	1909.85	1023.0
TLR4	64.34	57.08	41.52	43.94	21.01	45.85	24.11	10.16	15.8	24.99	31.45	27.25	124.37	70.51	96.01	78.34	42.41	54.33	60.82	116.78	60.39	91.41	1051.79	426.57	5041.77	454.09	373.81	444.72	981.29	363.56	297.17	353.59	819.3	147.06	162.14	429.54	595.34	769.69	332.14	191.67	591.22	142.01	486.75	320.8	212.78	444.72	209.84	166.73	1519.15	211.31	1447.15	163.28	177.53	473.41	127.0	201.25	343.89	480.04	848.22	178.77	285.03	151.22	154.42	220.32	48.52	122.64	738.29	941.27	182.55	1583.71	698.41	127.89	813.63	961.07	166.73	108.14	928.3	107.38	392.44	389.72	140.04	154.42	59.55	587.13	616.37	75.11	769.69	275.28	728.11	2701.35	4802.93
UBA2	669.92	642.59	872.1	587.13	733.19	624.99	438.59	400.71	414.87	559.28	612.11	507.46	500.46	559.28	497.0	525.39	293.07	547.75	507.46	591.22	271.48	346.29	3564.78	1745.2	1151.06	791.35	1359.57	2004.85	1322.37	2004.85	1896.65	961.07	1417.35	854.13	1008.9	902.89	1870.53	1909.85	1073.91	1936.53	1259.69	2178.83	2956.17	1051.79	748.61	571.05	1135.2	1794.29	1304.15	1268.46	1617.0	1119.56	1277.29	1015.93	884.29	1844.76	1313.23	1088.92	848.22	1733.13	1051.79	1037.29	1639.59	1447.15	954.43	1651.0	1605.83	1104.13	688.78	2434.5	1397.83	1733.13	3325.99	995.0	1286.18	1417.35	1417.35	733.19	1066.48	878.17	1304.15	941.27	890.44	1519.15	1044.52	2032.85	3443.31	1208.34	1008.9	1883.54	3168.41
UBAP1	878.17	796.86	825.0	518.15	713.11	842.36	713.11	409.15	656.11	460.44	718.08	555.41	708.18	624.99	703.28	764.36	665.29	733.19	665.29	743.43	642.59	559.28	2777.33	1081.39	2287.2	1806.78	1437.15	1340.84	2004.85	1183.45	995.0	866.07	3820.7	1183.45	813.63	647.07	3060.45	2915.45	896.64	1639.59	1088.92	1697.45	1397.83	1111.82	941.27	684.02	1529.73	2032.85	1794.29	753.83	1051.79	830.75	1991.0	1277.29	3103.19	1135.2	1167.14	674.59	961.07	1127.35	961.07	1059.11	1605.83	1628.26	693.58	2004.85	1594.73	848.22	878.17	2075.59	1806.78	2148.82	2224.63	1001.93	733.19	1583.71	2224.63	1674.06	1233.75	1073.91	1030.12	1135.2	909.17	2537.92	1030.12	1183.45	4671.57	1883.54	1769.57	4736.79	2956.17
UBE2H	603.67	647.07	480.04	591.22	947.83	591.22	441.64	466.88	318.57	529.06	642.59	483.38	669.92	567.1	417.77	633.73	397.93	660.68	497.0	713.11	463.65	591.22	2133.97	1427.22	2758.13	1268.46	1135.2	796.86	1313.23	1119.56	796.86	660.68	2627.46	1037.29	764.36	575.03	1745.2	2351.53	961.07	1745.2	1135.2	1388.16	1896.65	896.64	647.07	642.59	1745.2	2090.03	1519.15	1030.12	890.44	802.41	2209.26	1167.14	1991.0	1359.57	1295.13	571.05	896.64	1119.56	698.41	1331.57	1167.14	2104.58	738.29	1923.14	836.53	884.29	1242.34	1073.91	1685.71	1477.58	1794.29	642.59	921.88	2104.58	1259.69	1051.79	1259.69	511.0	1529.73	629.35	1104.13	2367.9	860.08	1870.53	2682.69	1457.23	1963.57	2133.97	1159.07
UBR1	75.64	57.89	62.56	37.59	61.25	42.41	51.71	63.0	51.35	43.02	55.89	52.82	76.71	61.25	60.39	76.71	39.79	76.17	58.71	85.82	57.49	40.36	325.29	226.54	616.37	194.36	211.31	149.12	208.38	249.73	120.94	157.68	500.46	117.6	114.36	151.22	189.02	341.51	205.5	232.94	161.02	197.09	281.09	157.68	187.71	138.1	314.17	575.03	638.15	239.52	144.01	178.77	221.86	114.36	351.14	137.14	409.15	149.12	105.89	145.02	221.86	323.03	162.14	248.0	127.89	251.48	221.86	141.02	343.89	285.03	305.55	265.87	366.09	125.24	110.43	218.79	289.02	351.14	182.55	118.43	193.01	215.77	187.71	429.54	211.31	170.25	242.88	297.17	441.64	287.01	239.52
USP32	346.29	376.41	325.29	187.71	343.89	363.56	229.72	656.11	244.57	432.53	303.44	229.72	353.59	346.29	363.56	373.81	223.41	363.56	269.6	435.55	283.05	299.25	1437.15	753.83	1639.59	599.49	454.09	674.59	551.56	497.0	406.31	624.99	1350.18	503.95	246.28	444.72	796.86	1697.45	624.99	764.36	629.35	361.04	961.07	536.45	346.29	400.71	579.04	571.05	785.88	346.29	679.29	384.34	743.43	669.92	808.0	503.95	503.95	490.14	414.87	400.71	518.15	540.19	571.05	563.18	176.29	764.36	703.28	521.76	603.67	674.59	1183.45	563.18	1167.14	547.75	384.34	967.76	688.78	525.39	802.41	358.54	624.99	470.14	346.29	902.89	507.46	406.31	1487.87	698.41	941.27	1540.37	915.51
USP38	193.01	114.36	77.79	85.22	110.43	113.56	96.01	91.41	141.02	48.87	114.36	141.02	177.53	111.99	139.07	130.6	105.15	161.02	144.01	170.25	120.1	100.83	529.06	244.57	423.61	361.04	226.54	293.07	221.86	279.14	220.32	214.27	314.17	115.97	146.03	183.82	267.73	389.72	265.87	239.52	161.02	142.01	264.03	167.9	190.34	166.73	91.41	339.14	529.06	223.41	395.18	159.9	164.42	166.73	400.71	153.34	181.28	175.07	134.3	166.73	289.02	211.31	176.29	346.29	106.63	229.72	258.57	220.32	133.36	743.43	277.2	239.52	258.57	229.72	136.19	339.14	476.71	185.11	229.72	189.02	176.29	226.54	128.79	348.71	275.28	147.06	612.11	218.79	309.83	444.72	547.75
VPS37A	392.44	616.37	285.03	371.22	647.07	384.34	234.57	105.15	143.01	229.72	297.17	256.78	336.79	366.09	295.11	346.29	183.82	368.65	358.54	406.31	248.0	198.47	934.76	656.11	1111.82	587.13	791.35	591.22	934.76	791.35	381.68	466.88	733.19	607.87	412.0	384.34	547.75	1088.92	309.83	412.0	679.29	603.67	854.13	587.13	305.55	262.2	373.81	551.56	1322.37	423.61	743.43	543.96	409.15	647.07	629.35	435.55	529.06	351.14	371.22	497.0	358.54	511.0	450.94	514.56	241.19	555.41	848.22	473.41	334.46	769.69	587.13	466.88	1340.84	318.57	532.74	688.78	902.89	426.57	571.05	463.65	476.71	234.57	371.22	921.88	371.22	466.88	1617.0	575.03	567.1	872.1	1081.39
WWTR1	353.59	244.57	180.02	167.9	366.09	320.8	113.56	68.07	204.07	217.27	171.45	152.28	195.72	191.67	178.77	194.36	100.13	209.84	206.94	228.13	205.5	80.01	6935.54	2645.74	3325.99	2224.63	2956.17	947.83	5041.77	4010.71	961.07	995.0	1467.37	1159.07	813.63	848.22	2816.11	5517.27	1143.1	2739.08	1832.01	3168.41	3039.3	1119.56	830.75	808.0	3419.52	3443.31	2367.9	3060.45	1427.22	1427.22	2384.37	2609.3	3847.29	1508.65	961.07	629.35	1008.9	1662.49	1111.82	1175.27	1709.26	1242.34	708.18	2485.67	1909.85	1378.57	825.0	2485.67	2935.74	1477.58	3303.0	902.89	1313.23	1844.76	1923.14	1051.79	2119.22	698.41	2537.92	769.69	928.3	5913.33	1225.22	1540.37	11827.67	1794.29	2287.2	2915.45	2777.33
YES1	420.68	450.94	323.03	198.47	212.78	334.46	190.34	242.88	258.57	289.02	255.0	262.2	525.39	381.68	336.79	454.09	193.01	406.31	392.44	441.64	202.66	220.32	1540.37	928.3	1295.13	532.74	775.05	660.68	1119.56	995.0	536.45	426.57	796.86	629.35	435.55	353.59	417.77	2004.85	373.81	713.11	624.99	587.13	1066.48	376.41	318.57	190.34	463.65	1059.11	1268.46	884.29	599.49	563.18	567.1	674.59	1037.29	819.3	316.37	267.73	361.04	559.28	381.68	647.07	698.41	836.53	332.14	1015.93	693.58	490.14	312.0	1427.22	723.08	463.65	1487.87	368.65	536.45	854.13	974.5	287.01	493.56	406.31	651.58	217.27	587.13	1508.65	473.41	830.75	2855.44	595.34	848.22	974.5	1313.23
YWHAG	808.0	1104.13	1225.22	1030.12	1127.35	1088.92	674.59	995.0	718.08	947.83	1175.27	718.08	961.07	651.58	665.29	743.43	890.44	738.29	934.76	825.0	567.1	536.45	3820.7	1561.89	2609.3	1259.69	1991.0	1551.09	1477.58	1508.65	1081.39	1286.18	3665.02	915.51	780.44	1044.52	3235.01	2335.28	1135.2	1540.37	1369.04	1594.73	2502.97	1259.69	1208.34	1001.93	1857.6	2209.26	1745.2	974.5	1583.71	1199.98	2119.22	921.88	2451.44	1037.29	1073.91	1001.93	1088.92	1268.46	1127.35	1167.14	1870.53	1167.14	813.63	2209.26	2148.82	1304.15	1143.1	2835.7	1467.37	2520.38	3124.78	1870.53	1135.2	1832.01	1806.78	836.53	1295.13	1417.35	915.51	1051.79	884.29	3982.99	1151.06	1225.22	5633.22	1896.65	2209.26	2148.82	3982.99
ZBTB2	140.04	98.73	88.26	82.29	103.69	98.73	60.82	56.28	42.71	76.17	73.54	93.35	117.6	119.26	111.21	84.63	43.63	90.77	113.56	115.16	109.66	109.66	356.05	269.6	248.0	301.33	275.28	285.03	176.29	297.17	251.48	242.88	368.65	199.85	307.69	236.21	205.5	323.03	265.87	231.32	341.51	343.89	305.55	183.82	236.21	229.72	197.09	232.94	320.8	224.97	366.09	232.94	289.02	157.68	327.56	244.57	171.45	177.53	204.07	220.32	206.94	214.27	265.87	327.56	187.71	312.0	209.84	220.32	180.02	303.44	273.37	242.88	329.84	255.0	197.09	361.04	253.23	241.19	217.27	454.09	155.5	166.73	159.9	281.09	194.36	217.27	486.75	241.19	229.72	379.04	376.41
ZNF670	18.29	62.12	63.0	40.07	52.08	42.71	12.93	41.52	21.63	9.78	36.53	35.0	34.75	27.84	28.04	23.93	13.32	26.28	31.67	27.84	11.55	36.79	105.89	63.0	144.01	21.94	32.36	38.95	21.16	75.11	41.22	53.19	295.11	81.14	65.26	52.08	60.82	157.68	26.1	50.63	56.68	30.34	125.24	36.27	36.27	57.08	80.01	94.67	31.67	43.32	58.71	84.04	65.26	78.89	127.89	62.56	32.59	46.5	46.5	37.85	45.53	42.41	48.18	66.65	61.68	142.01	34.02	48.18	53.19	76.17	100.83	72.52	78.34	45.53	58.3	105.89	59.97	18.29	24.11	24.28	28.86	33.78	45.53	51.71	70.51	89.51	133.36	69.52	46.5	92.7	63.89
ZSWIM6	62.12	37.32	30.78	23.08	52.45	32.36	25.72	15.11	18.03	21.32	36.01	43.32	72.52	40.93	51.71	45.53	19.11	41.22	53.95	57.08	41.52	51.35	616.37	267.73	583.07	161.02	197.09	127.0	262.2	241.19	113.56	152.28	397.93	161.02	166.73	106.63	242.88	470.14	137.14	358.54	116.78	220.32	348.71	144.01	136.19	117.6	303.44	543.96	361.04	202.66	187.71	154.42	309.83	116.78	466.88	193.01	128.79	92.7	128.79	127.0	107.38	220.32	234.57	267.73	87.03	397.93	205.5	142.01	299.25	265.87	339.14	197.09	334.46	138.1	94.67	307.69	241.19	148.09	194.36	98.04	244.57	99.43	113.56	764.36	214.27	212.78	463.65	312.0	525.39	348.71	249.73
