	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.GM.A3NW.01A.21R.A22K.07	TCGA.BH.A0E7.01A.11R.A034.07	TCGA.AC.A2FB.01A.11R.A17B.07	TCGA.BH.AB28.01A.31R.A41B.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.A8.A083.01A.21R.A00Z.07	TCGA.AR.A1AX.01A.11R.A12P.07	TCGA.AR.A0TP.01A.11R.A084.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.EW.A1J1.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.A7.A13D.01A.13R.A12P.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A8.A0AB.01A.11R.A034.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.A2.A0YK.01A.22R.A109.07	TCGA.A2.A04Q.01A.21R.A034.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZX.01A.12R.A29R.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.B6.A3ZX.01A.11R.A239.07	TCGA.AR.A0U3.01A.11R.A109.07	TCGA.D8.A27I.01A.11R.A16F.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.EW.A1P7.01A.21R.A144.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.A2.A0YI.01A.31R.A10J.07	TCGA.BH.A0BR.01A.21R.A115.07	TCGA.AR.A1AP.01A.11R.A12P.07	TCGA.MS.A51U.01A.31R.A266.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.BH.A8G0.01A.11R.A352.07	TCGA.BH.A18J.01A.11R.A12D.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.BH.A0W4.01A.11R.A109.07	TCGA.BH.A0EB.01A.11R.A034.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.AC.A2FO.01A.11R.A180.07	TCGA.AN.A0AR.01A.11R.A00Z.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.C8.A26V.01A.11R.A16F.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.BH.A0W5.01A.11R.A109.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.BH.A1F5.01A.12R.A13Q.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AC.A2BK.01A.11R.A21T.07	TCGA.AQ.A04J.01A.02R.A034.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.E9.A1N8.01A.11R.A144.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.BH.A1EY.01A.11R.A13Q.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.AC.A62X.01A.11R.A29R.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.AO.A0J7.01A.11R.A034.07	TCGA.A7.A0CG.01A.12R.A056.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.A2.A0EU.01A.22R.A056.07	TCGA.A1.A0SB.01A.11R.A144.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0BW.11A.12R.A115.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.1313W.0826.SM.5EQ4T	GTEX.Q2AG.0326.SM.48U1O	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.117YW.0526.SM.5H11C
POU2F2	103.69	57.08	29.91	32.13	18.56	16.27	124.37	63.45	98.73	61.25	11.04	202.66	37.05	16.03	30.12	46.84	52.45	26.67	73.54	30.12	14.78	41.22	29.27	80.01	172.65	169.07	31.45	26.67	33.06	20.56	42.41	55.49	12.09	389.72	18.97	98.04	80.57	463.65	30.78	63.0	92.05	19.39	14.14	48.18	24.63	62.56	54.72	16.15	133.36	63.0	37.05	31.0	18.7	1008.9	9.06	104.42	127.89	33.06	50.63	34.02	78.89	31.45	102.25	46.5	87.03	7.57	28.04	146.03	86.43	60.82	269.6	25.54	80.01	52.82	26.47	60.39	16.39	40.64	42.41	125.24	103.69	130.6	111.21	23.59	29.48	24.99	67.59	82.87	23.59	7.34	16.88	14.78	88.88	21.01	18.03	28.65	65.26	500.46	55.89	69.03	53.57	109.66	37.05	49.21	47.17	53.95	61.25	32.13	53.95	79.45	119.26	38.12	162.14	48.18	88.88	126.12	53.19	87.03	34.26	37.59	66.18	10.0	100.13	135.24	45.85	11.13	35.0	43.32	11.3	87.03	38.12	113.56	83.45	82.87	70.01	60.82
PRKCB	265.87	11.38	13.72	40.07	25.35	7.17	318.57	64.34	131.51	40.93	12.74	305.55	3.96	14.35	38.67	31.9	2.53	16.51	106.63	44.57	6.57	38.4	26.1	93.35	334.46	208.38	12.27	10.39	19.11	17.38	29.91	59.13	1.99	414.87	33.54	113.56	124.37	486.75	15.34	24.99	84.63	28.65	20.86	40.36	5.96	10.55	26.1	7.0	122.64	29.91	27.25	46.18	7.06	1001.93	3.69	146.03	189.02	4.43	88.26	18.43	86.43	20.41	154.42	7.0	62.12	3.63	7.57	102.25	48.18	41.22	406.31	25.54	43.32	42.11	9.56	52.08	9.56	52.45	6.73	236.21	204.07	96.01	72.52	10.08	2.29	30.34	76.71	72.52	0.92	3.82	6.57	8.71	135.24	17.38	17.51	6.11	55.1	473.41	32.36	33.54	15.0	81.71	53.19	31.22	36.79	49.56	61.25	19.82	49.91	35.25	54.72	27.84	103.69	39.22	277.2	50.98	25.17	46.18	60.39	14.89	105.89	36.79	67.59	56.28	11.04	13.93	55.49	28.86	6.26	8.45	113.56	186.4	137.14	49.56	117.6	128.79
PTPN7	312.0	34.02	67.59	72.01	57.49	33.54	332.14	116.78	277.2	103.69	14.35	490.14	9.27	33.78	114.36	90.14	21.16	50.63	293.07	125.24	17.0	209.84	95.34	218.79	412.0	591.22	45.21	25.35	31.22	36.27	75.11	88.88	12.74	854.13	65.72	156.59	336.79	764.36	66.18	54.72	191.67	67.12	23.25	57.89	32.82	49.21	69.03	21.47	287.01	100.83	102.25	132.44	10.08	1437.15	13.62	205.5	194.36	23.76	220.32	35.25	183.82	64.8	223.41	38.67	166.73	11.47	62.56	237.86	176.29	68.07	551.56	60.39	120.1	88.88	41.81	122.64	25.72	56.28	13.22	273.37	277.2	332.14	341.51	32.59	22.43	51.71	186.4	159.9	10.16	25.72	24.46	24.63	173.85	61.68	45.53	12.93	73.54	674.59	31.45	43.02	25.17	104.42	43.02	63.0	53.19	88.88	69.03	40.07	38.12	71.0	90.77	33.54	102.97	73.03	72.01	100.83	97.36	58.71	38.95	37.32	108.14	55.89	116.78	77.25	36.79	27.84	61.25	8.65	57.49	46.18	59.13	293.07	195.72	55.49	198.47	323.03
PTPRC	2004.85	52.08	81.14	277.2	140.04	75.64	1674.06	450.94	1096.5	353.59	59.97	2163.77	59.55	108.9	595.34	379.04	46.84	165.57	1023.0	500.46	63.0	323.03	150.17	796.86	2047.0	1119.56	74.58	67.59	73.54	108.9	309.83	599.49	61.25	2591.27	291.04	638.15	1277.29	2104.58	172.65	291.04	603.67	255.0	110.43	334.46	66.18	99.43	199.85	52.45	1081.39	392.44	314.17	417.77	132.44	6561.36	28.45	703.28	769.69	98.04	848.22	85.82	547.75	251.48	974.5	52.08	669.92	28.86	167.9	791.35	463.65	371.22	2104.58	283.05	316.37	318.57	102.97	325.29	126.12	353.59	76.71	1199.98	1583.71	748.61	915.51	84.04	29.48	285.03	759.08	420.68	17.38	88.26	80.01	49.56	981.29	102.25	183.82	61.25	366.09	3018.3	175.07	289.02	135.24	559.28	316.37	312.0	194.36	239.52	361.04	149.12	514.56	291.04	540.19	457.25	1059.11	397.93	1151.06	444.72	346.29	177.53	473.41	206.94	981.29	860.08	1044.52	249.73	169.07	251.48	140.04	543.96	525.39	463.65	182.55	511.0	915.51	802.41	988.12	2976.74
RASAL3	172.65	76.17	86.43	81.71	88.26	44.25	295.11	161.02	248.0	221.86	32.13	420.68	17.38	25.72	85.82	171.45	33.3	43.63	129.69	82.29	25.54	189.02	151.22	285.03	368.65	432.53	99.43	28.45	77.25	70.51	91.41	102.97	17.13	1081.39	40.64	176.29	253.23	708.18	59.55	120.94	277.2	64.34	55.1	69.03	23.08	56.68	89.51	58.71	228.13	81.14	80.57	177.53	17.38	1519.15	31.9	277.2	305.55	95.34	187.71	53.19	153.34	74.06	215.77	38.4	138.1	21.47	65.26	186.4	122.64	120.1	447.82	35.5	154.42	85.82	47.84	143.01	32.36	65.26	17.38	212.78	189.02	237.86	217.27	22.59	66.18	112.77	183.82	119.26	10.47	27.64	43.32	23.25	146.03	70.51	40.93	21.16	59.13	429.54	72.01	108.9	37.32	154.42	68.07	102.25	68.07	68.07	102.97	65.72	45.21	108.14	115.97	118.43	129.69	64.34	131.51	283.05	130.6	117.6	57.89	62.12	102.97	50.98	136.19	147.06	87.03	71.5	120.1	27.64	98.04	92.05	78.89	316.37	127.0	69.03	191.67	599.49
SAMD3	102.25	13.32	19.25	28.86	21.32	6.62	155.5	26.47	132.44	51.35	9.48	167.9	3.29	11.82	40.64	55.1	2.18	19.53	99.43	45.85	4.13	42.71	34.26	94.67	194.36	131.51	21.78	20.11	10.88	29.91	37.59	53.57	3.26	172.65	15.11	49.56	115.97	172.65	5.73	3.66	62.12	24.63	15.56	10.71	14.24	6.11	29.91	5.68	74.06	27.84	27.25	47.17	5.23	525.39	3.44	57.08	42.11	12.36	98.73	8.58	41.52	28.86	105.15	7.06	60.82	0.39	24.63	108.14	51.71	44.57	102.97	8.06	40.64	36.27	9.34	75.64	22.26	46.5	33.78	90.14	88.88	119.26	127.89	12.74	6.41	29.48	56.28	26.67	2.32	5.11	9.41	10.08	91.41	29.91	19.82	0.45	32.82	229.72	21.32	36.53	13.62	50.98	28.24	25.35	20.86	29.06	37.32	21.32	40.64	22.59	50.98	59.55	173.85	47.84	128.79	24.46	39.5	38.12	6.52	30.12	37.05	15.22	40.64	82.87	33.06	14.24	64.8	20.41	14.03	44.57	9.7	18.84	185.11	60.39	74.06	253.23
SASH3	684.02	69.52	163.28	201.25	120.94	57.49	748.61	291.04	616.37	242.88	64.8	928.3	33.3	92.7	215.77	249.73	42.41	84.63	423.61	214.27	43.94	248.0	173.85	454.09	764.36	785.88	110.43	62.12	103.69	98.73	183.82	287.01	43.94	1769.57	117.6	384.34	587.13	1583.71	171.45	285.03	346.29	134.3	72.01	183.82	65.72	89.51	169.07	62.56	620.67	244.57	234.57	251.48	52.08	3039.3	65.26	500.46	595.34	111.21	450.94	77.25	417.77	169.07	551.56	70.51	392.44	26.47	98.04	703.28	260.38	186.4	1015.93	129.69	246.28	224.97	63.89	329.84	59.13	163.28	37.59	493.56	567.1	497.0	543.96	48.18	42.11	133.36	361.04	403.5	23.25	53.95	61.25	63.89	412.0	82.29	80.57	39.5	163.28	1322.37	104.42	189.02	81.71	444.72	131.51	195.72	108.14	162.14	228.13	112.77	130.6	281.09	153.34	31.22	312.0	57.49	353.59	140.04	65.72	122.64	56.68	249.73	429.54	74.58	157.68	195.72	37.32	53.95	189.02	87.65	49.56	99.43	366.09	363.56	503.95	211.31	718.08	575.03
SCML4	70.51	2.01	4.94	19.39	16.51	0.71	103.69	27.84	76.17	18.97	3.35	105.89	0.0	2.14	17.0	34.51	15.34	2.92	41.22	13.72	1.66	18.7	16.88	75.11	87.03	71.5	7.46	2.01	8.78	8.45	14.14	15.11	0.71	171.45	9.56	38.4	55.89	122.64	6.73	3.66	33.3	12.36	2.66	5.28	5.73	4.1	12.83	3.26	41.52	11.73	14.24	28.86	1.69	409.15	1.48	34.75	53.57	0.75	47.17	3.53	13.72	7.94	67.12	1.75	25.17	3.0	4.66	41.22	6.11	12.74	127.0	3.79	22.75	13.62	4.94	18.7	1.43	40.36	1.93	84.63	72.52	42.41	18.16	4.39	2.63	19.82	34.75	5.82	0.35	1.01	3.23	2.71	55.1	6.36	7.82	1.22	17.77	205.5	7.69	11.04	15.91	24.81	22.75	19.39	18.97	17.64	19.82	7.75	8.51	34.26	21.94	13.93	31.22	9.34	16.03	48.87	22.43	71.0	25.17	13.83	66.65	3.35	50.27	30.56	18.7	6.36	10.0	5.41	22.1	12.83	17.0	94.01	65.72	13.03	52.45	79.45
SH2D1A	191.67	5.11	15.68	23.93	18.84	1.6	237.86	31.45	108.9	38.67	8.13	244.57	1.83	12.93	72.01	39.5	0.0	23.93	105.89	42.71	4.06	52.08	33.3	120.1	220.32	217.27	19.53	6.01	8.58	4.82	41.22	41.22	0.68	323.03	27.44	65.26	145.02	269.6	7.88	1.01	54.72	24.81	10.39	11.64	6.52	17.25	19.39	6.94	111.99	29.91	24.28	46.84	1.66	1119.56	1.17	101.54	52.08	5.02	85.22	8.45	47.5	13.12	124.37	6.94	41.52	1.66	11.91	84.04	40.64	31.9	269.6	11.13	30.56	48.52	13.12	59.97	9.2	33.06	4.86	143.01	156.59	163.28	22.26	8.13	1.0	46.84	80.01	22.59	1.16	0.99	5.59	2.63	130.6	14.78	23.08	1.19	22.92	307.69	8.19	16.51	5.92	47.84	29.7	14.03	19.82	13.52	38.4	9.93	35.25	20.11	72.01	52.08	91.41	16.27	132.44	42.11	127.89	20.11	85.82	5.41	154.42	40.36	71.0	6.11	33.3	12.0	42.41	40.36	28.86	48.87	53.57	56.28	101.54	102.97	142.01	152.28
SIRPG	118.43	9.34	25.91	29.06	23.42	1.27	206.94	66.18	142.01	43.02	8.65	275.28	2.14	5.68	61.25	46.84	3.79	13.72	140.04	62.12	2.18	93.35	45.85	112.77	256.78	384.34	18.16	8.06	21.78	10.39	27.25	24.46	0.97	547.75	38.12	65.26	157.68	285.03	14.14	4.46	48.18	31.0	10.55	18.7	11.55	36.27	26.47	3.82	52.82	29.7	28.86	63.89	2.56	1313.23	4.43	105.89	72.01	11.13	133.36	5.73	67.12	16.15	83.45	13.22	52.45	5.41	23.76	111.21	67.12	45.21	267.73	15.22	62.56	54.33	16.39	82.87	12.64	37.32	18.16	229.72	157.68	180.02	26.86	8.99	9.85	20.26	125.24	52.45	3.86	3.41	7.34	5.15	119.26	28.24	8.78	2.66	21.16	325.29	15.56	8.78	4.82	43.63	18.16	26.47	30.12	19.82	35.5	15.56	20.56	18.43	78.34	2.86	81.71	4.86	41.81	98.73	30.34	34.26	5.96	21.78	74.06	7.75	23.76	23.59	28.86	5.06	89.51	2.76	2.29	13.52	45.53	130.6	140.04	35.5	62.56	49.56
