	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.D8.A1JP.01A.11R.A13Q.07	TCGA.BH.A1EV.11A.24R.A137.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.CZ.5463.01A.01R.1503.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.DZ.6131.01A.11R.1965.07	TCGA.G7.7501.01A.11R.2204.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.CC.A9FS.01A.11R.A37K.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.DD.A1EB.01A.11R.A131.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.DD.AAW2.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A3R2.01A.11R.A22L.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.ZP.A9D2.01A.11R.A38B.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.FV.A2QR.01A.11R.A213.07	TCGA.DD.A4NK.01A.11R.A28V.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.DD.A11A.01A.11R.A131.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.2Y.A9HA.01A.11R.A39D.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.2Y.A9HB.01A.11R.A39D.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.BC.A3KG.01A.11R.A213.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.2Y.A9H0.01A.11R.A38B.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.DD.A11B.01A.11R.A131.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.DD.A1EK.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.DD.A115.01A.11R.A131.07	TCGA.DD.AAW3.01A.11R.A41C.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.5R.AA1D.01A.11R.A38B.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.RC.A7SB.01A.21R.A352.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.G3.A6UC.01A.21R.A33J.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A1EI.11A.11R.A131.07	TCGA.DD.A1EL.11A.11R.A155.07	TCGA.DD.A114.11A.12R.A131.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11GSP.0626.SM.5986T	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.BK.A139.01A.11R.A277.07
GOPC	612.11	764.36	679.29	1199.98	536.45	229.72	241.19	295.11	414.87	262.2	638.15	316.37	293.07	358.54	264.03	111.21	104.42	143.01	195.72	223.41	264.03	148.09	120.94	197.09	115.97	246.28	115.97	107.38	113.56	171.45	193.01	96.01	63.89	269.6	193.01	387.02	299.25	124.37	122.64	146.03	159.9	228.13	376.41	120.1	127.0	132.44	100.83	183.82	82.87	249.73	91.41	285.03	242.88	74.58	104.42	190.34	258.57	106.63	307.69	301.33	156.59	74.06	191.67	92.05	94.67	109.66	341.51	99.43	121.79	215.77	211.31	96.01	126.12	327.56	273.37	95.34	218.79	78.34	269.6	132.44	122.64	194.36	87.65	133.36	178.77	120.1	199.85	199.85	209.84	211.31	103.69	157.68	163.28	136.19	218.79	239.52	234.57	167.9	208.38	163.28	301.33	104.42	221.86	143.01	169.07	173.85	226.54	177.53	128.79	299.25	138.1	116.78	186.4	76.17	157.68	189.02	353.59
GTF3C6	3190.46	4123.49	1540.37	1662.49	2163.77	981.29	769.69	3491.39	2682.69	1769.57	2835.7	1639.59	1551.09	3955.48	1733.13	660.68	366.09	860.08	2148.82	1322.37	633.73	872.1	525.39	1467.37	389.72	1208.34	723.08	967.76	733.19	3212.66	748.61	620.67	669.92	1794.29	1340.84	2400.97	1340.84	830.75	397.93	1304.15	769.69	1529.73	2537.92	1008.9	1111.82	1001.93	1233.75	1378.57	647.07	1417.35	651.58	2502.97	1286.18	607.87	1081.39	1268.46	1674.06	866.07	1104.13	1991.0	1073.91	825.0	860.08	409.15	808.0	1378.57	915.51	775.05	603.67	2047.0	1313.23	748.61	470.14	1096.5	2434.5	988.12	1639.59	579.04	1104.13	733.19	412.0	2004.85	988.12	1119.56	1001.93	723.08	764.36	890.44	1304.15	1001.93	836.53	329.84	579.04	567.1	603.67	947.83	1250.98	713.11	928.3	457.25	674.59	738.29	941.27	647.07	656.11	890.44	647.07	764.36	1250.98	1015.93	595.34	813.63	595.34	647.07	1242.34	836.53	2351.53
GTPBP8	199.85	269.6	256.78	397.93	309.83	115.97	150.17	303.44	197.09	215.77	371.22	228.13	204.07	183.82	228.13	122.64	77.79	115.97	88.88	145.02	143.01	82.87	67.12	125.24	83.45	96.01	108.14	38.4	156.59	98.04	84.04	162.14	80.57	265.87	163.28	166.73	108.9	113.56	135.24	92.05	113.56	130.6	161.02	112.77	66.18	101.54	121.79	206.94	50.27	114.36	111.21	201.25	116.78	147.06	98.73	118.43	87.03	115.97	96.68	214.27	109.66	82.29	132.44	78.34	106.63	104.42	178.77	68.07	154.42	77.79	164.42	92.7	97.36	156.59	244.57	61.68	79.45	63.45	140.04	93.35	127.89	115.97	123.5	118.43	132.44	73.54	137.14	134.3	138.1	123.5	101.54	39.5	111.21	113.56	82.29	144.01	104.42	97.36	157.68	102.97	127.0	129.69	82.29	100.13	98.04	125.24	145.02	142.01	107.38	127.0	95.34	124.37	114.36	82.29	107.38	145.02	435.55
GXYLT1	316.37	152.28	232.94	281.09	155.5	95.34	142.01	208.38	187.71	123.5	483.38	149.12	115.97	201.25	110.43	125.24	70.01	66.65	229.72	118.43	115.16	53.95	84.04	106.63	55.89	78.89	74.06	125.24	88.26	186.4	99.43	88.26	77.25	58.3	79.45	165.57	49.56	89.51	90.14	59.97	100.83	93.35	172.65	94.67	99.43	77.25	87.03	93.35	43.63	138.1	44.57	178.77	133.36	68.07	108.14	144.01	120.1	74.58	182.55	177.53	59.55	64.34	78.89	35.0	115.97	65.72	122.64	48.87	122.64	100.13	116.78	69.52	78.34	217.27	110.43	63.45	91.41	83.45	134.3	53.95	71.0	221.86	83.45	73.54	103.69	36.53	127.89	139.07	141.02	118.43	94.67	91.41	90.14	69.52	135.24	131.51	133.36	86.43	208.38	84.63	134.3	66.18	101.54	87.65	130.6	92.05	150.17	148.09	81.14	86.43	111.99	71.5	98.73	85.22	101.54	169.07	242.88
HACE1	218.79	368.65	267.73	500.46	295.11	49.56	31.22	71.5	149.12	122.64	194.36	205.5	124.37	170.25	241.19	25.54	16.15	21.32	30.12	44.57	51.35	24.99	23.08	62.12	13.42	62.12	26.1	28.86	24.28	70.51	51.71	31.45	7.57	109.66	32.82	209.84	56.28	29.7	33.54	19.25	40.07	25.91	136.19	21.78	18.7	73.03	13.42	35.5	13.22	92.7	22.92	231.32	54.33	17.38	61.68	55.49	55.1	21.94	67.12	63.0	48.18	23.93	33.54	12.36	25.54	28.04	76.71	18.16	26.28	70.01	64.8	27.84	32.36	90.77	67.12	27.44	40.07	15.22	47.5	35.76	31.22	36.01	18.43	25.72	31.45	16.03	39.79	33.54	38.4	44.57	34.02	20.26	56.68	14.35	41.22	55.1	49.21	26.67	57.08	16.27	43.63	10.0	64.34	53.57	55.89	36.27	28.45	41.81	19.82	30.56	40.64	23.76	24.63	23.08	47.84	34.75	307.69
HBS1L	2434.5	2004.85	1250.98	1991.0	1605.83	532.74	718.08	830.75	1044.52	860.08	1030.12	854.13	642.59	733.19	830.75	379.04	226.54	438.59	941.27	775.05	842.36	624.99	376.41	796.86	409.15	780.44	525.39	287.01	264.03	457.25	463.65	457.25	172.65	493.56	612.11	1088.92	500.46	463.65	258.57	351.14	441.64	563.18	1709.26	518.15	256.78	575.03	248.0	642.59	242.88	713.11	371.22	890.44	624.99	265.87	351.14	555.41	909.17	271.48	872.1	1135.2	493.56	303.44	603.67	312.0	353.59	438.59	1286.18	255.0	381.68	599.49	713.11	463.65	265.87	974.5	860.08	170.25	713.11	172.65	703.28	339.14	412.0	616.37	432.53	426.57	647.07	356.05	842.36	713.11	728.11	571.05	414.87	279.14	299.25	473.41	429.54	1030.12	567.1	620.67	1051.79	414.87	470.14	651.58	500.46	490.14	490.14	921.88	444.72	698.41	348.71	708.18	361.04	466.88	476.71	759.08	412.0	1059.11	2104.58
HDAC2	4639.29	5006.93	2384.37	5441.3	1923.14	591.22	532.74	1135.2	2061.24	1135.2	3212.66	1233.75	1199.98	2520.38	1059.11	358.54	287.01	547.75	607.87	718.08	540.19	543.96	122.64	679.29	387.02	703.28	444.72	532.74	406.31	1143.1	718.08	339.14	264.03	802.41	490.14	1242.34	909.17	379.04	293.07	373.81	420.68	551.56	1250.98	395.18	248.0	995.0	353.59	457.25	265.87	703.28	281.09	1551.09	555.41	329.84	444.72	629.35	1313.23	320.8	620.67	775.05	575.03	260.38	483.38	320.8	348.71	371.22	769.69	356.05	483.38	1127.35	665.29	329.84	426.57	941.27	941.27	414.87	490.14	281.09	780.44	343.89	351.14	559.28	435.55	470.14	450.94	291.04	460.44	409.15	470.14	836.53	559.28	285.03	514.56	348.71	249.73	769.69	423.61	346.29	759.08	239.52	371.22	441.64	329.84	529.06	507.46	529.06	423.61	551.56	395.18	612.11	329.84	417.77	351.14	329.84	397.93	642.59	2240.11
HINT3	967.76	1143.1	896.64	1135.2	981.29	381.68	392.44	595.34	555.41	438.59	1183.45	486.75	620.67	551.56	511.0	223.41	218.79	128.79	466.88	397.93	325.29	206.94	209.84	267.73	264.03	341.51	172.65	170.25	208.38	356.05	320.8	217.27	122.64	486.75	312.0	518.15	212.78	206.94	182.55	193.01	226.54	327.56	684.02	234.57	119.26	346.29	165.57	293.07	152.28	563.18	199.85	511.0	409.15	122.64	193.01	373.81	334.46	199.85	381.68	457.25	281.09	175.07	366.09	232.94	217.27	241.19	457.25	128.79	128.79	279.14	466.88	178.77	267.73	414.87	351.14	157.68	397.93	176.29	450.94	314.17	269.6	361.04	183.82	242.88	329.84	175.07	358.54	368.65	348.71	309.83	215.77	346.29	186.4	265.87	262.2	309.83	525.39	332.14	521.76	307.69	329.84	379.04	463.65	231.32	332.14	379.04	387.02	226.54	287.01	395.18	329.84	258.57	199.85	279.14	351.14	470.14	921.88
HIVEP2	215.77	158.79	301.33	339.14	323.03	72.52	53.19	105.15	307.69	167.9	316.37	206.94	111.21	88.26	189.02	24.99	26.47	30.78	49.21	104.42	65.26	36.01	40.07	49.91	21.47	77.79	28.24	19.68	17.13	42.11	31.0	34.51	14.24	44.57	41.52	132.44	40.64	31.45	35.5	26.67	26.47	36.53	39.79	43.94	24.99	62.56	26.47	73.54	20.11	77.25	25.72	127.0	55.49	33.54	24.46	38.67	73.54	23.59	64.34	102.97	30.34	16.63	43.63	16.88	30.56	41.81	57.08	30.78	15.0	46.84	70.01	38.95	27.84	99.43	78.34	22.1	44.57	18.7	61.25	27.44	41.52	36.53	39.5	72.52	49.91	18.29	51.35	61.25	78.34	81.14	63.45	45.21	93.35	49.56	64.8	40.93	32.36	48.87	52.45	36.79	59.55	111.21	72.52	88.26	48.18	39.22	77.79	52.45	38.12	79.45	42.71	73.03	73.54	60.39	66.18	39.5	435.55
HSF2	341.51	540.19	426.57	567.1	764.36	90.77	66.18	264.03	201.25	133.36	271.48	153.34	211.31	273.37	132.44	77.25	42.11	71.0	81.71	78.34	90.14	98.73	88.88	137.14	67.12	153.34	73.03	74.06	82.29	141.02	129.69	51.71	36.79	183.82	63.0	281.09	65.26	51.71	46.84	65.26	59.13	104.42	281.09	67.12	53.57	119.26	42.11	96.68	41.81	143.01	52.08	279.14	90.77	40.36	92.7	108.14	163.28	63.45	153.34	134.3	111.21	46.18	81.14	39.22	64.34	72.52	134.3	48.18	67.59	148.09	118.43	69.52	62.12	120.1	116.78	42.71	123.5	58.3	89.51	64.8	40.36	63.0	47.17	40.93	72.01	40.93	58.3	60.82	102.97	87.03	62.56	35.25	119.26	57.89	107.38	64.34	77.79	36.53	65.72	71.0	81.14	44.25	29.7	75.64	77.79	41.81	94.67	92.7	73.54	51.35	71.5	42.71	59.55	36.27	44.57	63.0	470.14
IGF2R	718.08	961.07	748.61	909.17	612.11	450.94	698.41	1143.1	1369.04	1096.5	854.13	1437.15	1870.53	1427.22	1331.57	389.72	483.38	429.54	1350.18	830.75	1023.0	490.14	518.15	1242.34	314.17	1135.2	460.44	587.13	698.41	633.73	679.29	884.29	454.09	1709.26	612.11	2047.0	1159.07	620.67	567.1	583.07	353.59	1066.48	1733.13	647.07	248.0	988.12	571.05	633.73	371.22	1295.13	503.95	599.49	830.75	223.41	620.67	583.07	1467.37	220.32	1685.71	1073.91	521.76	406.31	633.73	473.41	759.08	381.68	947.83	194.36	543.96	813.63	1583.71	417.77	214.27	1135.2	612.11	647.07	669.92	279.14	866.07	373.81	353.59	995.0	353.59	490.14	470.14	529.06	748.61	599.49	743.43	718.08	412.0	363.56	500.46	441.64	363.56	813.63	363.56	511.0	896.64	329.84	497.0	503.95	392.44	507.46	463.65	836.53	314.17	575.03	563.18	890.44	318.57	684.02	414.87	587.13	2367.9	1143.1	2178.83
KAT6B	323.03	181.28	363.56	651.58	438.59	77.79	85.22	88.88	185.11	157.68	262.2	260.38	147.06	111.99	178.77	48.52	57.49	76.71	99.43	100.83	109.66	49.91	17.51	60.39	52.45	93.35	59.55	50.98	38.4	79.45	43.94	60.82	25.17	143.01	66.65	88.88	65.72	56.68	49.56	52.08	43.63	42.11	80.57	53.19	57.08	65.72	55.49	79.45	41.52	101.54	40.93	111.99	67.12	28.24	44.25	67.12	76.71	42.11	96.01	115.97	31.0	75.64	53.19	26.28	57.49	44.25	120.1	40.93	62.12	67.59	74.06	61.25	42.11	89.51	107.38	36.79	32.82	50.27	96.01	30.12	71.0	86.43	42.41	38.4	69.52	32.13	94.67	70.51	84.63	117.6	57.49	34.02	126.12	43.63	87.65	72.01	66.18	33.54	79.45	109.66	135.24	55.49	92.05	102.25	88.26	60.39	136.19	62.12	35.76	100.13	81.14	77.79	82.29	43.32	57.08	77.79	248.0
KATNA1	532.74	674.59	463.65	595.34	366.09	149.12	159.9	224.97	420.68	305.55	320.8	320.8	356.05	521.76	305.55	97.36	98.73	119.26	134.3	147.06	157.68	172.65	116.78	180.02	109.66	214.27	104.42	133.36	118.43	269.6	255.0	96.68	86.43	253.23	157.68	339.14	204.07	106.63	68.55	143.01	120.94	142.01	334.46	134.3	114.36	170.25	100.83	189.02	53.57	183.82	127.89	389.72	175.07	101.54	147.06	182.55	255.0	133.36	228.13	190.34	201.25	105.15	117.6	82.87	74.06	123.5	190.34	102.25	146.03	281.09	167.9	113.56	112.77	218.79	169.07	130.6	183.82	92.7	197.09	129.69	93.35	248.0	136.19	116.78	127.89	73.03	121.79	171.45	177.53	229.72	130.6	134.3	186.4	156.59	83.45	159.9	104.42	113.56	152.28	110.43	78.89	161.02	115.97	109.66	145.02	150.17	116.78	183.82	83.45	186.4	123.5	108.9	165.57	65.26	91.41	143.01	738.29
KCTD9	638.15	295.11	934.76	1023.0	2224.63	162.14	157.68	447.82	674.59	348.71	791.35	305.55	348.71	426.57	309.83	102.97	65.72	87.65	68.55	183.82	231.32	40.07	80.01	145.02	66.65	171.45	113.56	55.49	92.05	165.57	172.65	116.78	50.63	262.2	149.12	285.03	194.36	134.3	96.01	100.83	156.59	231.32	221.86	105.15	144.01	105.15	98.73	113.56	55.1	258.57	51.35	277.2	204.07	46.84	389.72	185.11	181.28	103.69	262.2	366.09	87.65	85.82	163.28	49.91	111.99	147.06	165.57	50.27	95.34	55.1	132.44	158.79	77.79	187.71	264.03	76.17	209.84	71.0	186.4	77.25	64.34	182.55	80.57	124.37	182.55	61.68	149.12	198.47	223.41	157.68	122.64	54.72	366.09	80.01	163.28	155.5	170.25	84.04	269.6	70.01	117.6	81.71	159.9	152.28	154.42	112.77	244.57	166.73	136.19	136.19	92.05	120.1	123.5	63.89	116.78	99.43	450.94
KIAA1919	33.54	29.48	39.22	35.25	51.35	29.48	28.04	104.42	92.7	65.26	65.26	48.52	54.33	141.02	53.19	18.16	10.39	16.27	27.25	37.32	27.64	27.05	22.26	21.78	12.0	29.27	15.45	21.78	24.46	28.24	33.78	16.63	19.97	15.45	27.25	63.0	16.88	19.82	21.94	16.63	13.83	30.34	52.45	21.47	10.31	33.54	20.71	25.72	14.45	39.5	12.09	45.53	26.67	11.47	15.91	22.92	51.71	8.78	46.84	33.78	15.68	10.24	26.28	10.63	22.92	12.93	29.7	13.83	28.45	52.82	33.78	11.91	17.38	40.64	19.53	13.62	44.57	13.22	31.9	33.06	13.42	20.86	12.18	16.88	26.28	19.68	27.84	27.25	24.99	29.06	28.24	16.63	20.86	22.1	22.1	61.68	30.12	17.64	24.46	19.39	12.93	7.06	18.56	15.56	16.63	23.59	37.59	17.51	21.78	20.26	29.7	19.25	33.3	21.01	32.36	29.27	307.69
LACE1	141.02	150.17	89.51	120.1	120.1	63.0	100.13	269.6	133.36	122.64	96.01	136.19	123.5	73.54	140.04	39.5	59.55	22.26	135.24	94.01	95.34	51.35	31.67	57.08	56.28	80.57	40.07	80.57	71.5	96.68	65.26	65.72	74.58	98.73	107.38	82.87	82.29	24.46	64.8	64.34	38.95	57.49	134.3	80.57	35.5	73.54	58.3	120.1	20.56	57.49	58.3	107.38	94.67	38.67	61.25	36.53	41.52	34.02	99.43	69.03	91.41	75.64	154.42	43.02	38.4	48.52	152.28	61.68	43.02	45.85	142.01	43.02	33.54	102.97	147.06	59.55	90.77	33.54	85.22	137.14	34.02	265.87	53.19	70.51	62.12	65.72	68.07	66.65	109.66	85.82	76.17	52.08	135.24	83.45	39.79	80.01	78.89	92.7	54.72	57.08	135.24	133.36	47.5	150.17	42.11	91.41	85.22	56.28	77.25	90.77	67.59	62.12	102.97	38.67	58.3	68.07	113.56
LATS1	473.41	273.37	423.61	808.0	435.55	115.16	91.41	97.36	277.2	165.57	381.68	220.32	185.11	176.29	180.02	39.5	46.5	59.55	102.25	128.79	117.6	51.71	39.5	82.87	45.53	90.77	39.5	48.52	30.12	98.04	96.68	37.85	32.36	120.1	66.65	147.06	75.11	51.35	53.19	57.49	58.3	108.9	143.01	65.26	38.67	69.03	30.56	66.65	24.81	123.5	31.45	246.28	90.14	27.64	39.5	72.52	117.6	39.79	165.57	124.37	61.68	34.75	55.1	13.42	45.85	39.5	110.43	31.9	49.21	106.63	92.7	46.84	42.11	147.06	124.37	32.13	66.18	41.22	123.5	52.08	46.5	85.82	28.04	70.01	76.17	43.02	100.83	79.45	100.13	78.89	96.68	66.65	191.67	60.39	138.1	78.34	146.03	64.34	59.55	44.25	175.07	54.33	89.51	134.3	107.38	55.89	185.11	90.77	118.43	67.12	89.51	94.67	135.24	35.76	100.13	51.71	466.88
LMBRD1	1733.13	1111.82	1806.78	3589.58	2739.08	1127.35	1268.46	1331.57	2701.35	2537.92	4010.71	2555.58	1088.92	2119.22	2468.49	665.29	551.56	332.14	1628.26	1331.57	1447.15	591.22	825.0	884.29	536.45	1467.37	341.51	1477.58	384.34	1721.16	1208.34	339.14	470.14	802.41	1167.14	1313.23	1051.79	902.89	713.11	1015.93	642.59	1909.85	1277.29	1135.2	603.67	1259.69	693.58	1447.15	343.89	1551.09	733.19	1388.16	1467.37	339.14	616.37	967.76	780.44	518.15	1733.13	1685.71	915.51	463.65	1540.37	417.77	1096.5	915.51	1909.85	339.14	1242.34	954.43	1081.39	921.88	571.05	1073.91	1199.98	563.18	1023.0	854.13	1175.27	1304.15	547.75	1286.18	536.45	1044.52	1037.29	830.75	1001.93	1135.2	1073.91	974.5	1208.34	638.15	1295.13	1073.91	1104.13	1685.71	1369.04	1250.98	1477.58	791.35	1359.57	974.5	1015.93	1331.57	1059.11	1369.04	1447.15	1191.69	1498.22	1037.29	915.51	713.11	1977.24	1583.71	1529.73	1923.14	1044.52
LTN1	153.34	214.27	366.09	555.41	358.54	106.63	136.19	236.21	271.48	151.22	414.87	165.57	206.94	157.68	161.02	33.54	79.45	91.41	155.5	133.36	153.34	28.45	83.45	95.34	69.52	110.43	39.22	82.29	71.5	94.01	91.41	65.72	35.5	85.22	88.26	206.94	100.83	89.51	111.21	41.52	55.49	90.14	145.02	76.71	75.11	87.65	39.5	48.18	38.67	166.73	56.28	153.34	116.78	41.22	52.82	102.97	95.34	38.4	165.57	98.73	59.55	55.49	89.51	44.89	92.05	48.52	198.47	48.87	87.03	87.03	113.56	48.87	45.21	189.02	127.0	41.22	70.51	36.53	136.19	63.89	90.14	161.02	30.56	61.25	91.41	33.54	108.14	94.67	119.26	89.51	40.93	36.01	136.19	68.07	80.57	117.6	108.14	74.58	108.14	59.55	133.36	52.45	79.45	85.22	57.49	69.03	97.36	98.73	51.71	98.73	70.01	87.65	77.79	29.91	53.95	129.69	387.02
LTV1	633.73	785.88	748.61	669.92	665.29	368.65	423.61	563.18	525.39	287.01	629.35	285.03	343.89	624.99	312.0	303.44	223.41	309.83	395.18	483.38	381.68	444.72	329.84	480.04	154.42	603.67	229.72	218.79	273.37	444.72	532.74	358.54	201.25	417.77	305.55	642.59	525.39	234.57	218.79	251.48	164.42	497.0	764.36	248.0	140.04	547.75	332.14	480.04	143.01	591.22	332.14	633.73	392.44	267.73	248.0	334.46	713.11	295.11	473.41	476.71	341.51	215.77	320.8	212.78	159.9	381.68	384.34	293.07	264.03	633.73	381.68	221.86	232.94	389.72	555.41	283.05	395.18	214.27	497.0	323.03	155.5	123.5	277.2	389.72	297.17	127.89	275.28	400.71	289.02	249.73	265.87	376.41	314.17	267.73	202.66	255.0	323.03	181.28	239.52	218.79	226.54	271.48	256.78	251.48	159.9	264.03	244.57	255.0	194.36	248.0	204.07	392.44	395.18	113.56	181.28	267.73	543.96
LYRM2	1369.04	1427.22	1081.39	1295.13	1096.5	262.2	297.17	1059.11	791.35	591.22	1277.29	529.06	603.67	981.29	624.99	403.5	155.5	167.9	429.54	351.14	297.17	264.03	314.17	483.38	103.69	305.55	126.12	647.07	258.57	336.79	379.04	201.25	143.01	536.45	253.23	813.63	392.44	181.28	127.89	182.55	175.07	486.75	693.58	217.27	279.14	665.29	181.28	314.17	76.71	379.04	171.45	878.17	409.15	99.43	185.11	406.31	460.44	122.64	688.78	376.41	208.38	221.86	358.54	217.27	128.79	186.4	435.55	102.97	202.66	575.03	379.04	180.02	176.29	417.77	480.04	176.29	376.41	277.2	460.44	307.69	170.25	279.14	164.42	241.19	218.79	60.82	293.07	271.48	318.57	351.14	206.94	121.79	137.14	220.32	128.79	262.2	181.28	236.21	409.15	140.04	191.67	173.85	198.47	152.28	218.79	293.07	189.02	381.68	190.34	220.32	212.78	156.59	169.07	162.14	204.07	287.01	660.68
MANEA	438.59	287.01	318.57	249.73	279.14	214.27	231.32	366.09	591.22	287.01	703.28	293.07	121.79	220.32	283.05	140.04	105.15	72.01	161.02	249.73	172.65	167.9	102.25	129.69	90.77	199.85	80.01	173.85	94.67	165.57	163.28	65.26	49.21	98.73	127.89	249.73	190.34	127.0	55.1	120.94	93.35	251.48	514.56	68.55	162.14	463.65	59.97	379.04	94.01	353.59	67.12	529.06	253.23	29.7	94.01	223.41	136.19	35.76	384.34	221.86	92.05	35.0	158.79	48.18	151.22	150.17	229.72	55.89	72.52	211.31	246.28	120.1	78.89	231.32	244.57	47.5	107.38	147.06	323.03	246.28	88.26	144.01	61.25	172.65	273.37	34.02	223.41	283.05	197.09	214.27	228.13	96.01	90.14	193.01	152.28	332.14	211.31	208.38	341.51	139.07	139.07	127.89	161.02	127.89	195.72	256.78	221.86	351.14	157.68	155.5	146.03	169.07	307.69	226.54	122.64	281.09	395.18
MAP3K7	802.41	616.37	532.74	1030.12	532.74	267.73	271.48	470.14	392.44	264.03	532.74	224.97	262.2	432.53	231.32	220.32	87.03	141.02	226.54	212.78	198.47	218.79	241.19	241.19	99.43	231.32	146.03	303.44	136.19	291.04	287.01	123.5	111.99	289.02	177.53	551.56	312.0	148.09	106.63	164.42	122.64	343.89	264.03	183.82	190.34	438.59	136.19	205.5	90.14	279.14	111.21	591.22	220.32	112.77	156.59	237.86	295.11	105.89	279.14	289.02	190.34	89.51	176.29	85.22	127.89	159.9	208.38	101.54	141.02	368.65	281.09	127.0	115.97	363.56	312.0	136.19	291.04	175.07	239.52	159.9	98.04	246.28	122.64	165.57	154.42	64.34	159.9	183.82	221.86	178.77	108.14	100.13	301.33	131.51	211.31	211.31	148.09	106.63	159.9	118.43	178.77	73.03	209.84	195.72	111.99	107.38	264.03	122.64	155.5	265.87	191.67	153.34	251.48	57.49	149.12	126.12	860.08
