	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.EJ.7330.01A.11R.2118.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.HC.A48F.01A.11R.A250.07	TCGA.VN.A88K.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.YL.A8SC.01A.11R.A37L.07	TCGA.EJ.7784.01A.11R.2118.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.ZG.A9L1.01A.11R.A41O.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.VP.A87E.01A.31R.A352.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5506.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.HC.8259.11A.01R.2263.07
NDST1	348.71	791.35	536.45	660.68	341.51	497.0	312.0	248.0	854.13	796.86	775.05	769.69	320.8	460.44	329.84	599.49	299.25	497.0	703.28	409.15	466.88	665.29	703.28	941.27	260.38	860.08	738.29	312.0	591.22	258.57	334.46	265.87	368.65	476.71	830.75	748.61	239.52	500.46	323.03	190.34	249.73	575.03	376.41	473.41	343.89	309.83	575.03	283.05	277.2	995.0	934.76	381.68	206.94	713.11	392.44	403.5	551.56	674.59	412.0	403.5	738.29	463.65	571.05	503.95	507.46	575.03	463.65	825.0	753.83	287.01	583.07	205.5	718.08	325.29	450.94	483.38	368.65	483.38	620.67	616.37	743.43	638.15	293.07	583.07	202.66	212.78	329.84	480.04	348.71	559.28	301.33	432.53	395.18	503.95	117.6	351.14	332.14
NFRKB	120.1	145.02	111.21	180.02	180.02	109.66	87.03	189.02	529.06	435.55	387.02	356.05	220.32	258.57	327.56	281.09	248.0	303.44	450.94	256.78	181.28	444.72	441.64	221.86	215.77	460.44	486.75	204.07	251.48	295.11	234.57	191.67	283.05	406.31	591.22	395.18	215.77	236.21	293.07	267.73	224.97	301.33	248.0	208.38	253.23	236.21	518.15	214.27	193.01	555.41	447.82	291.04	146.03	376.41	218.79	147.06	316.37	173.85	215.77	265.87	363.56	417.77	307.69	358.54	297.17	397.93	651.58	381.68	500.46	220.32	283.05	220.32	323.03	241.19	358.54	283.05	195.72	320.8	473.41	412.0	507.46	356.05	217.27	277.2	159.9	253.23	253.23	267.73	371.22	248.0	153.34	281.09	289.02	329.84	157.68	239.52	229.72
NIPA1	48.18	74.58	69.03	51.71	47.84	50.98	62.12	176.29	320.8	267.73	181.28	902.89	229.72	132.44	409.15	214.27	133.36	361.04	406.31	166.73	205.5	277.2	314.17	417.77	186.4	353.59	303.44	129.69	72.01	169.07	176.29	156.59	140.04	358.54	450.94	540.19	172.65	223.41	166.73	172.65	164.42	299.25	169.07	152.28	242.88	232.94	356.05	267.73	141.02	234.57	450.94	162.14	134.3	395.18	143.01	299.25	178.77	341.51	547.75	112.77	241.19	1477.58	293.07	191.67	183.82	205.5	339.14	320.8	551.56	178.77	291.04	159.9	297.17	165.57	432.53	221.86	312.0	198.47	343.89	363.56	234.57	351.14	128.79	186.4	193.01	111.21	169.07	163.28	183.82	141.02	144.01	170.25	172.65	258.57	150.17	150.17	190.34
NOP9	223.41	208.38	140.04	183.82	169.07	185.11	171.45	220.32	323.03	438.59	376.41	366.09	325.29	281.09	447.82	343.89	279.14	301.33	379.04	307.69	214.27	384.34	392.44	400.71	202.66	409.15	327.56	248.0	327.56	309.83	267.73	244.57	277.2	273.37	547.75	403.5	164.42	303.44	239.52	205.5	265.87	353.59	253.23	356.05	251.48	242.88	281.09	241.19	232.94	368.65	389.72	312.0	176.29	376.41	264.03	208.38	371.22	366.09	224.97	273.37	379.04	353.59	316.37	273.37	283.05	373.81	414.87	387.02	329.84	305.55	267.73	186.4	412.0	275.28	277.2	303.44	258.57	299.25	403.5	297.17	381.68	389.72	253.23	283.05	201.25	237.86	229.72	295.11	267.73	341.51	218.79	289.02	293.07	269.6	108.9	314.17	285.03
NUBPL	111.99	77.79	72.01	91.41	176.29	102.97	81.71	122.64	190.34	234.57	212.78	232.94	153.34	170.25	206.94	136.19	120.94	293.07	199.85	127.89	92.05	143.01	195.72	212.78	101.54	134.3	205.5	133.36	112.77	128.79	164.42	118.43	145.02	104.42	251.48	201.25	101.54	109.66	152.28	156.59	155.5	131.51	150.17	105.89	111.99	133.36	117.6	99.43	90.14	170.25	244.57	154.42	143.01	239.52	138.1	95.34	148.09	135.24	109.66	135.24	135.24	224.97	162.14	175.07	151.22	105.89	133.36	144.01	165.57	111.99	146.03	155.5	228.13	137.14	130.6	138.1	114.36	147.06	175.07	209.84	206.94	231.32	106.63	153.34	113.56	126.12	63.89	134.3	145.02	128.79	98.04	132.44	153.34	183.82	163.28	133.36	135.24
NUP188	71.0	156.59	135.24	151.22	133.36	137.14	106.63	356.05	603.67	540.19	514.56	571.05	457.25	395.18	684.02	389.72	567.1	536.45	684.02	450.94	438.59	571.05	607.87	651.58	497.0	1023.0	579.04	426.57	384.34	583.07	389.72	309.83	460.44	438.59	529.06	1008.9	341.51	503.95	470.14	444.72	323.03	656.11	403.5	392.44	395.18	599.49	563.18	438.59	389.72	551.56	693.58	420.68	285.03	503.95	493.56	332.14	500.46	551.56	429.54	409.15	483.38	620.67	532.74	397.93	454.09	540.19	713.11	733.19	921.88	423.61	412.0	305.55	624.99	368.65	603.67	587.13	371.22	486.75	684.02	693.58	493.56	583.07	423.61	476.71	373.81	397.93	591.22	368.65	616.37	392.44	412.0	429.54	518.15	420.68	162.14	426.57	361.04
OSBP	470.14	934.76	438.59	603.67	414.87	532.74	583.07	616.37	808.0	915.51	947.83	902.89	785.88	629.35	753.83	543.96	483.38	961.07	1001.93	780.44	733.19	813.63	1008.9	1015.93	703.28	1073.91	860.08	483.38	503.95	909.17	638.15	575.03	656.11	669.92	775.05	1143.1	620.67	866.07	713.11	780.44	713.11	947.83	684.02	536.45	567.1	607.87	665.29	493.56	423.61	941.27	791.35	1159.07	503.95	934.76	438.59	693.58	713.11	713.11	802.41	435.55	769.69	1191.69	679.29	688.78	603.67	642.59	728.11	1096.5	954.43	703.28	967.76	571.05	961.07	567.1	796.86	688.78	698.41	642.59	718.08	780.44	842.36	884.29	525.39	733.19	743.43	567.1	511.0	563.18	579.04	748.61	551.56	738.29	591.22	688.78	403.5	571.05	612.11
PDCL	36.27	66.65	59.97	70.51	57.49	64.8	49.21	154.42	346.29	371.22	318.57	497.0	199.85	153.34	500.46	212.78	183.82	387.02	417.77	241.19	265.87	361.04	420.68	361.04	269.6	435.55	320.8	223.41	198.47	279.14	218.79	195.72	246.28	236.21	587.13	698.41	173.85	332.14	228.13	251.48	183.82	316.37	285.03	215.77	215.77	285.03	366.09	96.68	170.25	285.03	403.5	314.17	163.28	387.02	293.07	195.72	232.94	255.0	237.86	206.94	236.21	381.68	373.81	253.23	181.28	246.28	303.44	327.56	463.65	181.28	246.28	262.2	426.57	193.01	343.89	264.03	181.28	236.21	334.46	305.55	334.46	412.0	191.67	204.07	220.32	237.86	255.0	237.86	244.57	279.14	229.72	220.32	209.84	275.28	287.01	214.27	228.13
PPFIA1	251.48	255.0	246.28	281.09	389.72	248.0	134.3	392.44	518.15	551.56	521.76	607.87	429.54	463.65	571.05	612.11	444.72	476.71	551.56	392.44	403.5	480.04	595.34	624.99	381.68	616.37	638.15	438.59	400.71	389.72	400.71	316.37	432.53	529.06	529.06	603.67	373.81	400.71	414.87	387.02	368.65	607.87	366.09	450.94	400.71	511.0	540.19	376.41	316.37	503.95	638.15	595.34	389.72	571.05	470.14	356.05	406.31	507.46	376.41	397.93	460.44	547.75	463.65	808.0	420.68	429.54	791.35	555.41	547.75	387.02	483.38	447.82	567.1	379.04	507.46	450.94	341.51	400.71	543.96	493.56	521.76	591.22	412.0	450.94	395.18	368.65	603.67	353.59	414.87	493.56	403.5	447.82	457.25	414.87	314.17	351.14	414.87
PPP4R1	232.94	366.09	279.14	366.09	175.07	242.88	182.55	351.14	775.05	748.61	688.78	995.0	447.82	297.17	423.61	563.18	759.08	836.53	866.07	500.46	483.38	607.87	563.18	995.0	470.14	733.19	718.08	454.09	420.68	470.14	511.0	412.0	579.04	780.44	1175.27	802.41	368.65	392.44	536.45	406.31	403.5	656.11	392.44	503.95	483.38	309.83	555.41	223.41	500.46	555.41	961.07	426.57	346.29	802.41	607.87	441.64	629.35	624.99	591.22	642.59	540.19	633.73	674.59	507.46	463.65	620.67	651.58	493.56	860.08	379.04	532.74	551.56	878.17	384.34	595.34	392.44	358.54	698.41	1037.29	629.35	688.78	633.73	432.53	529.06	314.17	435.55	703.28	518.15	551.56	642.59	536.45	547.75	532.74	575.03	457.25	559.28	629.35
PPP4R2	275.28	253.23	366.09	267.73	381.68	406.31	214.27	277.2	748.61	703.28	651.58	780.44	229.72	309.83	718.08	438.59	460.44	981.29	748.61	429.54	412.0	460.44	842.36	934.76	397.93	543.96	571.05	373.81	287.01	463.65	384.34	309.83	371.22	438.59	583.07	529.06	358.54	420.68	444.72	248.0	403.5	376.41	460.44	392.44	432.53	551.56	480.04	265.87	241.19	708.18	753.83	473.41	356.05	896.64	343.89	287.01	503.95	444.72	454.09	312.0	500.46	674.59	571.05	483.38	299.25	356.05	651.58	693.58	497.0	329.84	414.87	285.03	954.43	320.8	587.13	420.68	244.57	236.21	400.71	441.64	583.07	785.88	343.89	371.22	325.29	392.44	441.64	384.34	376.41	500.46	327.56	358.54	358.54	473.41	460.44	379.04	376.41
PPP6R3	275.28	283.05	299.25	293.07	420.68	356.05	187.71	460.44	1259.69	1111.82	1066.48	1322.37	660.68	688.78	1073.91	941.27	830.75	1295.13	1304.15	866.07	684.02	928.3	1242.34	1191.69	708.18	909.17	1277.29	775.05	688.78	660.68	764.36	540.19	808.0	842.36	1519.15	1397.83	633.73	703.28	753.83	748.61	651.58	981.29	909.17	764.36	693.58	1001.93	1135.2	480.04	555.41	1159.07	1135.2	974.5	579.04	1242.34	813.63	669.92	866.07	928.3	753.83	791.35	884.29	1216.75	909.17	1151.06	638.15	785.88	1369.04	1183.45	1225.22	708.18	733.19	693.58	1277.29	764.36	909.17	896.64	603.67	819.3	1008.9	921.88	1111.82	1199.98	656.11	796.86	518.15	669.92	878.17	848.22	915.51	934.76	825.0	698.41	748.61	866.07	728.11	808.0	947.83
PRKD1	47.84	6.67	6.73	11.04	8.92	20.41	15.22	395.18	1001.93	693.58	503.95	866.07	466.88	279.14	1088.92	540.19	514.56	988.12	656.11	403.5	256.78	423.61	438.59	1127.35	237.86	420.68	669.92	397.93	164.42	301.33	346.29	229.72	316.37	703.28	1066.48	872.1	307.69	409.15	351.14	283.05	429.54	486.75	463.65	295.11	249.73	155.5	346.29	209.84	318.57	368.65	575.03	309.83	256.78	759.08	555.41	119.26	248.0	329.84	412.0	366.09	438.59	647.07	733.19	718.08	684.02	426.57	1001.93	518.15	967.76	334.46	237.86	511.0	669.92	397.93	603.67	429.54	236.21	551.56	447.82	902.89	420.68	470.14	244.57	417.77	244.57	271.48	318.57	293.07	447.82	323.03	346.29	447.82	543.96	575.03	470.14	444.72	543.96
PRPF4	138.1	305.55	176.29	226.54	234.57	193.01	190.34	353.59	483.38	384.34	470.14	444.72	371.22	339.14	1250.98	432.53	507.46	376.41	493.56	351.14	397.93	466.88	825.0	503.95	384.34	759.08	417.77	409.15	212.78	384.34	325.29	353.59	358.54	669.92	698.41	954.43	273.37	454.09	483.38	299.25	264.03	583.07	470.14	299.25	379.04	376.41	540.19	490.14	409.15	454.09	466.88	329.84	285.03	426.57	295.11	346.29	387.02	412.0	460.44	371.22	397.93	490.14	514.56	351.14	341.51	463.65	748.61	567.1	890.44	273.37	348.71	361.04	312.0	341.51	387.02	339.14	269.6	346.29	624.99	753.83	450.94	493.56	327.56	384.34	295.11	275.28	497.0	301.33	547.75	409.15	579.04	466.88	336.79	438.59	457.25	423.61	381.68
PRRC2B	218.79	587.13	480.04	607.87	536.45	532.74	325.29	981.29	3103.19	2701.35	2816.11	2537.92	1331.57	1508.65	2720.15	1870.53	1407.55	1745.2	2627.46	1685.71	1769.57	2209.26	2555.58	2645.74	1104.13	3257.52	2335.28	1119.56	1963.57	1594.73	1313.23	878.17	1417.35	1540.37	3540.14	4450.27	1111.82	1819.35	1388.16	902.89	1175.27	2119.22	1268.46	1594.73	1175.27	1883.54	2739.08	1407.55	1066.48	2664.15	2997.45	1417.35	780.44	2303.12	1159.07	1651.0	1781.89	2119.22	1378.57	1594.73	2367.9	2133.97	1832.01	1844.76	1832.01	2004.85	2271.4	2956.17	3874.05	1447.15	1651.0	836.53	2451.44	1350.18	1745.2	1583.71	1175.27	1572.76	2468.49	2835.7	2701.35	2777.33	1277.29	1819.35	954.43	1143.1	1745.2	1519.15	1781.89	1806.78	1477.58	1447.15	1540.37	1572.76	353.59	1605.83	1487.87
PTPN12	146.03	303.44	149.12	231.32	221.86	303.44	105.15	131.51	961.07	669.92	629.35	866.07	135.24	224.97	518.15	656.11	536.45	872.1	674.59	368.65	381.68	373.81	764.36	728.11	397.93	438.59	1030.12	400.71	444.72	229.72	429.54	231.32	441.64	540.19	961.07	684.02	283.05	307.69	438.59	265.87	229.72	511.0	285.03	409.15	228.13	473.41	500.46	132.44	248.0	529.06	1059.11	341.51	320.8	679.29	483.38	236.21	500.46	518.15	595.34	356.05	454.09	441.64	463.65	708.18	299.25	371.22	836.53	669.92	540.19	244.57	242.88	429.54	748.61	323.03	748.61	334.46	223.41	327.56	473.41	679.29	514.56	743.43	301.33	351.14	316.37	303.44	780.44	395.18	366.09	480.04	323.03	447.82	309.83	397.93	301.33	373.81	423.61
PUM1	164.42	228.13	251.48	287.01	212.78	307.69	228.13	329.84	1605.83	1225.22	1250.98	1295.13	490.14	476.71	890.44	738.29	764.36	1322.37	1540.37	651.58	543.96	698.41	934.76	1457.23	529.06	743.43	1191.69	629.35	444.72	638.15	660.68	525.39	651.58	698.41	723.08	1119.56	395.18	629.35	703.28	595.34	575.03	967.76	703.28	567.1	490.14	890.44	748.61	346.29	346.29	1286.18	1088.92	575.03	441.64	1242.34	791.35	547.75	775.05	674.59	511.0	591.22	860.08	1151.06	854.13	633.73	571.05	647.07	1104.13	1322.37	915.51	493.56	483.38	785.88	1322.37	497.0	703.28	769.69	363.56	647.07	665.29	819.3	1250.98	1104.13	486.75	599.49	447.82	493.56	638.15	563.18	638.15	718.08	567.1	529.06	607.87	928.3	540.19	624.99	651.58
RAB14	348.71	607.87	961.07	651.58	518.15	780.44	1015.93	769.69	1159.07	1208.34	1208.34	1417.35	884.29	836.53	1857.6	947.83	1073.91	1487.87	1225.22	896.64	902.89	896.64	1051.79	1208.34	842.36	1617.0	954.43	785.88	656.11	941.27	848.22	733.19	860.08	830.75	1350.18	1819.35	647.07	878.17	947.83	830.75	974.5	1066.48	1030.12	775.05	941.27	995.0	1143.1	638.15	412.0	1037.29	1508.65	902.89	688.78	1388.16	830.75	934.76	896.64	995.0	878.17	713.11	995.0	1477.58	967.76	909.17	728.11	775.05	1151.06	1369.04	1250.98	842.36	866.07	954.43	1457.23	941.27	941.27	872.1	759.08	825.0	921.88	1605.83	1030.12	1304.15	791.35	878.17	785.88	764.36	802.41	947.83	854.13	1191.69	780.44	802.41	674.59	1030.12	1119.56	967.76	1088.92
RAB6A	460.44	1001.93	836.53	551.56	703.28	642.59	363.56	1073.91	1662.49	1674.06	1628.26	2468.49	1617.0	1322.37	2271.4	1697.45	1286.18	2209.26	1806.78	1519.15	1519.15	1340.84	1923.14	1745.2	1467.37	1594.73	1819.35	1199.98	1051.79	1457.23	1167.14	1143.1	1407.55	1529.73	2367.9	2367.9	1331.57	1477.58	1662.49	1369.04	1359.57	1977.24	1427.22	1111.82	1508.65	2104.58	1662.49	1572.76	872.1	2287.2	1896.65	2384.37	1127.35	2133.97	1191.69	1583.71	1119.56	1617.0	1143.1	947.83	1540.37	1844.76	1572.76	2956.17	1369.04	1051.79	3212.66	2915.45	2061.24	1073.91	1561.89	1628.26	2367.9	1059.11	2319.15	1340.84	1135.2	1216.75	1242.34	1883.54	1870.53	1883.54	1119.56	1359.57	1519.15	1397.83	1037.29	1378.57	1175.27	2090.03	1417.35	1233.75	1159.07	1583.71	1617.0	1388.16	1519.15
RALGPS1	155.5	23.42	31.67	34.02	16.63	27.25	180.02	87.03	358.54	279.14	211.31	239.52	105.15	96.68	480.04	249.73	137.14	199.85	229.72	182.55	150.17	166.73	125.24	152.28	118.43	329.84	217.27	121.79	169.07	159.9	112.77	108.14	190.34	309.83	309.83	473.41	120.1	90.77	171.45	109.66	114.36	193.01	149.12	190.34	166.73	180.02	194.36	133.36	138.1	221.86	305.55	90.77	127.0	199.85	166.73	132.44	121.79	226.54	140.04	153.34	149.12	255.0	146.03	231.32	107.38	163.28	314.17	291.04	417.77	124.37	124.37	115.97	241.19	127.89	218.79	190.34	117.6	197.09	195.72	348.71	327.56	162.14	115.16	135.24	98.04	153.34	273.37	178.77	186.4	191.67	156.59	142.01	149.12	146.03	115.16	120.94	172.65
RANBP3L	2.36	1.03	4.82	4.5	16.39	27.44	20.86	98.04	356.05	236.21	273.37	309.83	189.02	197.09	323.03	144.01	164.42	470.14	171.45	273.37	206.94	231.32	237.86	206.94	43.94	177.53	275.28	107.38	183.82	204.07	231.32	24.28	158.79	336.79	299.25	211.31	98.73	170.25	205.5	139.07	162.14	395.18	289.02	120.1	127.89	76.17	119.26	125.24	64.34	258.57	204.07	417.77	84.04	329.84	215.77	122.64	237.86	435.55	122.64	72.52	195.72	412.0	229.72	384.34	165.57	208.38	275.28	285.03	229.72	144.01	251.48	151.22	441.64	88.26	246.28	155.5	176.29	124.37	135.24	283.05	166.73	256.78	73.54	162.14	93.35	80.01	105.15	103.69	145.02	251.48	124.37	125.24	111.99	221.86	379.04	172.65	193.01
RBAK	36.53	36.79	34.02	31.9	44.89	45.53	12.36	55.49	173.85	158.79	164.42	181.28	79.45	84.04	178.77	119.26	100.13	175.07	169.07	84.63	73.03	69.52	171.45	187.71	94.01	120.1	237.86	92.7	113.56	88.26	85.22	88.26	98.73	108.14	143.01	158.79	51.71	92.7	92.7	89.51	96.01	137.14	120.94	71.0	89.51	156.59	138.1	73.54	62.12	144.01	253.23	94.01	63.45	189.02	105.15	71.5	104.42	107.38	78.89	89.51	98.73	149.12	142.01	102.25	76.71	95.34	197.09	108.9	147.06	67.59	100.83	119.26	197.09	72.01	120.94	127.0	53.19	104.42	123.5	125.24	140.04	189.02	82.29	84.63	57.89	86.43	100.13	91.41	127.89	99.43	76.71	78.34	87.03	90.14	46.84	75.64	111.99
RBM12B	12.27	33.54	18.43	42.71	16.51	31.67	17.25	44.89	339.14	289.02	264.03	332.14	109.66	87.03	204.07	92.05	122.64	303.44	281.09	144.01	98.73	180.02	381.68	244.57	76.17	189.02	279.14	117.6	98.04	159.9	133.36	51.35	117.6	178.77	177.53	420.68	66.18	105.15	147.06	124.37	110.43	186.4	180.02	108.14	128.79	146.03	221.86	62.12	49.91	325.29	293.07	145.02	57.49	267.73	87.03	84.63	166.73	88.26	85.22	78.89	135.24	255.0	199.85	291.04	105.15	131.51	312.0	244.57	253.23	100.13	130.6	141.02	279.14	73.03	152.28	209.84	81.71	146.03	221.86	202.66	334.46	376.41	70.51	112.77	38.12	116.78	146.03	102.25	151.22	129.69	111.99	89.51	119.26	145.02	50.63	92.05	98.73
RNF20	92.7	208.38	164.42	246.28	152.28	212.78	170.25	387.02	890.44	775.05	848.22	802.41	540.19	435.55	934.76	669.92	438.59	813.63	1023.0	607.87	417.77	507.46	753.83	796.86	483.38	842.36	753.83	540.19	503.95	738.29	483.38	423.61	599.49	473.41	866.07	802.41	397.93	603.67	579.04	674.59	559.28	753.83	603.67	444.72	435.55	599.49	651.58	145.02	414.87	902.89	941.27	363.56	403.5	813.63	457.25	525.39	525.39	698.41	480.04	426.57	693.58	813.63	507.46	656.11	575.03	536.45	728.11	785.88	1015.93	540.19	497.0	603.67	884.29	532.74	571.05	591.22	412.0	587.13	656.11	941.27	728.11	791.35	363.56	503.95	525.39	567.1	429.54	486.75	567.1	543.96	447.82	507.46	466.88	638.15	376.41	579.04	718.08
RNF216	166.73	166.73	133.36	170.25	162.14	163.28	159.9	187.71	507.46	463.65	571.05	429.54	220.32	262.2	371.22	303.44	251.48	400.71	438.59	379.04	303.44	283.05	384.34	412.0	221.86	301.33	591.22	249.73	403.5	265.87	309.83	221.86	409.15	325.29	511.0	339.14	167.9	281.09	334.46	206.94	249.73	334.46	241.19	341.51	209.84	248.0	403.5	193.01	242.88	493.56	728.11	283.05	214.27	395.18	283.05	329.84	343.89	358.54	320.8	307.69	466.88	403.5	312.0	312.0	325.29	327.56	447.82	389.72	371.22	275.28	327.56	185.11	460.44	312.0	253.23	336.79	231.32	299.25	318.57	363.56	435.55	389.72	293.07	334.46	195.72	190.34	265.87	297.17	314.17	371.22	283.05	293.07	277.2	441.64	223.41	363.56	305.55
RP11-307N16.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.85	0.0	12.74	4.43	2.2	3.59	3.47	0.71	3.14	8.38	6.78	7.22	1.3	1.89	4.94	8.0	0.0	0.99	9.41	0.78	6.36	5.63	4.31	0.0	2.32	9.2	9.7	2.18	1.79	1.85	4.66	1.85	1.62	3.89	8.19	1.99	3.41	4.78	6.67	0.16	0.45	11.64	2.66	2.27	0.0	7.11	0.0	1.3	3.79	3.03	2.16	0.74	4.94	4.62	2.39	2.34	1.31	4.98	10.79	15.0	5.45	6.11	5.92	3.44	1.58	0.19	6.52	4.54	0.74	3.44	1.81	1.28	3.79	3.92	1.08	3.17	0.78	1.69	0.74	2.66	2.25	2.97	1.89	0.77	2.86	7.51	0.79	5.15	1.64
RPS6KA5	5.5	2.18	4.94	4.58	7.94	16.75	9.2	25.72	111.21	92.7	84.63	102.97	48.87	25.35	73.54	19.39	57.08	151.22	88.26	54.33	70.01	87.65	103.69	138.1	51.35	109.66	113.56	37.85	29.91	37.85	55.89	26.86	42.11	103.69	178.77	140.04	41.81	37.05	45.85	37.85	61.68	76.71	66.18	52.82	39.5	43.94	41.81	32.82	36.01	96.01	115.16	70.01	25.17	109.66	37.85	26.86	65.72	69.03	59.55	36.27	65.26	125.24	59.55	85.22	34.51	45.53	70.01	105.89	80.01	44.57	59.97	30.78	88.88	38.95	77.25	42.41	36.53	47.5	69.03	68.55	48.87	94.01	30.34	72.01	36.79	57.08	45.85	57.08	58.71	81.14	33.54	50.27	30.56	108.9	73.03	79.45	62.12
RSBN1L	100.83	63.89	87.03	64.8	81.14	97.36	32.59	80.57	312.0	264.03	312.0	343.89	113.56	105.89	187.71	138.1	132.44	299.25	228.13	169.07	128.79	164.42	387.02	226.54	146.03	155.5	417.77	177.53	162.14	122.64	161.02	116.78	198.47	167.9	242.88	293.07	84.63	137.14	159.9	151.22	124.37	228.13	127.89	162.14	109.66	151.22	193.01	84.04	104.42	273.37	363.56	181.28	145.02	277.2	181.28	102.97	167.9	129.69	129.69	133.36	189.02	242.88	195.72	195.72	112.77	156.59	301.33	214.27	204.07	117.6	167.9	173.85	351.14	169.07	139.07	145.02	127.0	159.9	211.31	285.03	265.87	301.33	158.79	152.28	115.16	119.26	161.02	158.79	170.25	127.89	150.17	143.01	170.25	253.23	231.32	144.01	170.25
