	TCGA.B2.5641.01A.01R.1541.07	TCGA.AK.3429.01A.02R.1325.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.CJ.5672.01A.11R.1541.07	TCGA.BP.4346.01A.01R.1289.07	TCGA.A3.3347.01A.02R.1325.07	TCGA.CJ.4903.01A.01R.1426.07	TCGA.B0.4690.01A.01R.1277.07	TCGA.B0.4848.01A.01R.1277.07	TCGA.B0.5081.01A.01R.1334.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CZ.5464.01A.01R.1503.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.B8.A54G.01A.11R.A266.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.6030.01A.11R.1672.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.BP.5173.01A.01R.1426.07	TCGA.CJ.4916.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.B8.5551.01A.01R.1541.07	TCGA.DV.5573.01A.01R.1541.07	TCGA.CW.6087.01A.11R.1672.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.BP.4804.01A.02R.1305.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.CJ.4637.01A.02R.1325.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.CZ.4864.01A.01R.1503.07	TCGA.CJ.4871.01A.01R.1305.07	GTEX.132NY.1226.SM.5PNVF	GTEX.139TT.0726.SM.5K7XW	GTEX.YF7O.0626.SM.4W21R	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12WSD.0826.SM.5GCNE	GTEX.12584.1426.SM.5EGJ9	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QXCU.0626.SM.2TC69	GTEX.13OVH.1026.SM.5J2NP	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WZTO.0426.SM.3NM99	GTEX.147JS.1226.SM.5RQK4	GTEX.V1D1.0826.SM.3P5ZA	GTEX.11EI6.0826.SM.5985V	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13PVQ.0926.SM.5IJFD	GTEX.RWSA.1126.SM.2XCAZ	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.12696.1026.SM.5FQUV	GTEX.ZDXO.1326.SM.57WBS	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.PX3G.0526.SM.2I3EM	GTEX.OHPL.0526.SM.3NM8U	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.T6MN.0826.SM.32PM4	GTEX.WRHU.0226.SM.3MJFV	GTEX.13VXU.2726.SM.5LU4N	GTEX.P78B.0926.SM.2I5FA	GTEX.11NUK.0826.SM.5HL4U	GTEX.Q734.0626.SM.2I3EF	GTEX.13OW6.0826.SM.5L3GA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.T2IS.0526.SM.32QP9	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
LIAS	275.28	271.48	406.31	161.02	269.6	239.52	303.44	244.57	199.85	134.3	314.17	191.67	241.19	239.52	182.55	172.65	182.55	327.56	205.5	108.14	155.5	217.27	182.55	148.09	202.66	231.32	208.38	181.28	173.85	149.12	206.94	305.55	206.94	57.89	51.35	190.34	123.5	218.79	96.01	40.64	117.6	119.26	130.6	44.89	185.11	53.95	53.95	157.68	234.57	104.42	59.97	95.34	75.64	165.57	98.04	198.47	62.56	71.0	100.13	59.13	34.02	177.53	97.36	89.51	53.95	88.88	202.66	139.07	128.79	137.14	68.55	111.99	67.59	63.89	122.64	42.11	177.53	129.69	173.85	63.89	121.79	102.25	363.56	102.25	197.09	185.11	170.25	205.5	191.67	74.06	209.84	127.0	74.58	63.45	81.14	23.25	154.42	58.3	75.11	68.55
LIPT2	100.13	105.15	106.63	126.12	93.35	86.43	98.73	63.89	97.36	73.54	101.54	122.64	57.49	84.04	69.52	137.14	63.0	76.71	100.13	69.52	56.68	90.77	60.82	108.14	88.26	65.26	89.51	89.51	72.52	111.21	169.07	88.88	102.97	0.0	0.0	72.01	20.56	71.0	39.22	9.27	19.68	28.86	50.98	11.47	27.25	16.63	23.93	50.63	48.52	80.57	29.27	23.42	33.3	60.39	22.43	82.87	16.15	34.26	30.78	0.0	17.25	65.72	9.34	8.38	13.52	39.79	84.04	76.71	40.36	41.22	35.0	54.33	33.06	0.0	37.59	24.46	66.65	41.81	47.17	43.02	49.91	52.45	63.89	31.67	56.68	41.81	77.25	112.77	45.21	57.49	80.57	22.75	19.97	9.2	21.16	0.0	44.57	33.06	12.83	15.91
LLPH	603.67	483.38	708.18	507.46	633.73	769.69	842.36	981.29	743.43	660.68	723.08	753.83	571.05	579.04	607.87	718.08	728.11	961.07	612.11	567.1	748.61	633.73	1081.39	896.64	633.73	669.92	616.37	518.15	808.0	480.04	532.74	579.04	575.03	525.39	381.68	974.5	414.87	503.95	612.11	426.57	791.35	454.09	629.35	265.87	674.59	830.75	547.75	587.13	529.06	483.38	733.19	368.65	785.88	759.08	287.01	647.07	358.54	514.56	819.3	264.03	656.11	647.07	341.51	285.03	221.86	518.15	769.69	813.63	341.51	285.03	476.71	384.34	480.04	441.64	403.5	277.2	599.49	384.34	764.36	854.13	507.46	497.0	842.36	371.22	738.29	591.22	583.07	1397.83	583.07	624.99	575.03	251.48	190.34	353.59	325.29	444.72	358.54	473.41	435.55	483.38
MBLAC2	92.05	102.25	140.04	59.55	61.68	96.01	109.66	75.11	128.79	58.71	92.7	87.03	86.43	63.0	56.68	114.36	85.22	101.54	76.71	71.5	40.07	111.99	48.52	97.36	75.64	48.52	57.08	75.11	67.12	50.98	71.5	145.02	115.16	26.67	15.91	74.58	40.36	78.89	36.79	27.25	28.45	58.3	42.71	15.11	27.84	23.42	19.97	108.14	92.05	37.85	24.63	32.82	26.86	63.0	36.01	67.12	17.51	38.12	40.64	10.71	12.36	74.58	17.25	42.41	10.47	17.38	57.89	90.77	40.07	45.21	20.26	63.45	34.75	32.59	36.53	17.9	67.59	55.1	73.54	53.57	42.41	43.02	85.22	16.27	72.01	54.33	72.52	74.06	63.45	48.87	55.49	38.4	18.7	21.94	25.91	13.12	32.13	24.63	22.92	15.34
MCMDC2	30.56	21.78	32.36	6.41	15.8	13.52	17.25	28.45	23.93	13.32	26.67	14.56	16.15	13.52	19.68	11.82	13.03	25.35	14.03	15.91	10.79	13.62	15.34	16.39	10.96	13.93	7.82	10.63	16.15	12.93	11.64	28.24	11.73	10.16	9.85	6.94	10.71	15.68	3.79	1.69	5.15	11.55	12.45	3.32	13.52	4.74	5.59	34.26	11.91	4.24	5.19	6.11	5.11	7.46	15.56	14.67	4.9	9.41	2.53	8.85	3.82	8.0	4.31	17.38	0.91	1.14	16.75	4.13	5.36	4.35	2.73	5.06	4.31	10.16	6.52	4.13	22.59	7.63	32.13	3.53	13.42	16.39	31.67	4.1	9.56	15.45	7.63	8.92	10.79	6.62	7.82	6.11	16.15	3.69	9.56	5.96	1.13	1.93	3.66	1.89
MLEC	4298.64	4066.71	3982.99	2682.69	2119.22	3982.99	4152.18	3874.05	4836.35	2796.65	3103.19	4512.4	3419.52	2303.12	2451.44	2816.11	2895.31	4298.64	3124.78	2701.35	2682.69	2351.53	2520.38	3146.52	3081.75	1781.89	3212.66	3589.58	2255.7	1883.54	1674.06	3467.27	5672.41	1417.35	525.39	1781.89	921.88	1073.91	825.0	563.18	1135.2	1183.45	1023.0	603.67	1331.57	808.0	698.41	1685.71	902.89	1216.75	1819.35	988.12	1088.92	1096.5	928.3	1417.35	511.0	928.3	890.44	753.83	660.68	909.17	693.58	753.83	543.96	1081.39	1540.37	2075.59	567.1	738.29	426.57	1242.34	1183.45	1037.29	1417.35	559.28	947.83	738.29	1923.14	909.17	1225.22	854.13	1551.09	595.34	890.44	1447.15	1477.58	1594.73	967.76	1208.34	1259.69	599.49	583.07	723.08	896.64	563.18	624.99	802.41	728.11	500.46
MMACHC	78.89	35.5	107.38	66.18	57.08	100.83	63.89	75.11	81.71	33.54	105.89	45.21	76.17	41.52	41.52	84.04	45.53	51.35	54.33	63.45	44.57	56.28	52.45	59.13	30.78	38.95	43.94	63.89	39.22	41.81	67.59	48.87	52.45	20.71	8.51	39.5	15.68	44.25	28.86	12.55	25.54	32.59	39.22	9.34	33.06	5.23	18.03	26.86	42.11	46.18	35.76	15.34	30.34	45.53	29.06	49.91	8.25	19.68	10.79	12.55	12.64	42.71	16.15	8.65	9.34	14.03	61.25	50.63	21.16	14.56	7.69	25.17	10.24	18.43	12.27	8.71	43.94	12.36	57.49	22.43	51.35	23.93	45.85	14.14	31.67	43.63	63.45	54.72	29.06	48.87	49.91	13.12	10.55	6.67	12.36	5.15	17.64	17.64	9.13	9.85
MOCS3	166.73	156.59	133.36	100.83	120.94	182.55	153.34	131.51	146.03	78.89	167.9	131.51	136.19	113.56	103.69	120.1	94.67	182.55	97.36	117.6	134.3	135.24	180.02	129.69	136.19	109.66	138.1	111.21	149.12	95.34	150.17	153.34	135.24	26.47	28.45	154.42	63.89	109.66	100.13	63.0	78.89	71.5	71.5	24.11	82.87	66.18	39.5	104.42	119.26	127.89	61.25	47.84	92.05	138.1	31.9	134.3	32.36	46.18	90.14	40.36	50.98	114.36	33.78	48.52	19.53	53.19	123.5	144.01	67.12	52.82	49.56	88.88	52.08	67.59	73.54	23.59	107.38	75.64	138.1	76.17	101.54	106.63	114.36	53.19	109.66	84.63	155.5	135.24	100.13	82.87	126.12	49.21	23.42	26.28	42.41	36.79	61.25	61.68	35.76	44.57
MPI	2520.38	1540.37	2193.99	1529.73	1781.89	1628.26	2537.92	1304.15	2434.5	1208.34	4419.52	1508.65	2502.97	1977.24	1594.73	1936.53	1015.93	1883.54	1963.57	2119.22	1143.1	1437.15	723.08	1757.34	1331.57	1259.69	1350.18	2796.65	1685.71	1457.23	2417.67	1540.37	2417.67	733.19	281.09	813.63	346.29	769.69	420.68	231.32	447.82	603.67	624.99	190.34	934.76	215.77	387.02	684.02	536.45	836.53	583.07	356.05	417.77	1023.0	387.02	934.76	412.0	493.56	379.04	244.57	346.29	733.19	460.44	329.84	165.57	438.59	1037.29	934.76	587.13	297.17	264.03	518.15	493.56	423.61	361.04	299.25	848.22	579.04	896.64	518.15	796.86	500.46	647.07	258.57	723.08	733.19	872.1	1059.11	698.41	825.0	743.43	693.58	273.37	376.41	343.89	127.89	497.0	426.57	314.17	246.28
MRPL15	1340.84	1417.35	1437.15	764.36	941.27	1359.57	669.92	1295.13	1477.58	1159.07	1963.57	1628.26	1519.15	981.29	808.0	995.0	1216.75	1208.34	1008.9	988.12	1088.92	1242.34	1277.29	1340.84	1030.12	1135.2	808.0	1322.37	1073.91	1167.14	1268.46	1023.0	1540.37	753.83	253.23	1268.46	521.76	723.08	713.11	299.25	748.61	532.74	825.0	172.65	748.61	466.88	395.18	780.44	571.05	780.44	802.41	295.11	836.53	1015.93	281.09	748.61	381.68	629.35	679.29	164.42	514.56	743.43	400.71	363.56	206.94	406.31	1340.84	1233.75	543.96	392.44	353.59	358.54	624.99	406.31	460.44	275.28	954.43	507.46	684.02	796.86	934.76	575.03	1081.39	373.81	733.19	660.68	825.0	1651.0	656.11	921.88	872.1	373.81	320.8	351.14	361.04	275.28	441.64	532.74	329.84	260.38
MRPL35	813.63	1104.13	1143.1	988.12	723.08	674.59	785.88	928.3	878.17	603.67	825.0	808.0	723.08	896.64	718.08	785.88	769.69	791.35	563.18	624.99	669.92	866.07	808.0	890.44	698.41	759.08	647.07	1015.93	769.69	753.83	764.36	813.63	759.08	457.25	226.54	612.11	406.31	563.18	426.57	260.38	607.87	397.93	466.88	140.04	514.56	166.73	341.51	591.22	583.07	417.77	237.86	277.2	796.86	733.19	212.78	607.87	177.53	314.17	237.86	159.9	221.86	540.19	182.55	195.72	118.43	339.14	684.02	651.58	318.57	323.03	197.09	327.56	283.05	258.57	500.46	189.02	684.02	387.02	698.41	279.14	483.38	356.05	769.69	316.37	647.07	665.29	460.44	791.35	447.82	381.68	583.07	264.03	190.34	167.9	269.6	228.13	281.09	303.44	242.88	265.87
MRPL37	2303.12	2032.85	1745.2	1529.73	1378.57	1781.89	1721.16	1923.14	1733.13	1519.15	2502.97	1909.85	1674.06	1369.04	1359.57	1697.45	1487.87	1359.57	1487.87	1477.58	2627.46	1457.23	1498.22	1437.15	1639.59	1350.18	1216.75	1477.58	1477.58	2047.0	1794.29	1457.23	1819.35	890.44	318.57	1350.18	660.68	934.76	1030.12	483.38	860.08	743.43	890.44	432.53	1407.55	753.83	769.69	848.22	825.0	1023.0	1295.13	507.46	1096.5	1175.27	470.14	1001.93	514.56	854.13	802.41	384.34	583.07	1268.46	708.18	466.88	301.33	688.78	2032.85	1208.34	713.11	665.29	563.18	738.29	909.17	647.07	591.22	470.14	866.07	693.58	995.0	974.5	1350.18	780.44	1340.84	532.74	890.44	995.0	1167.14	1561.89	902.89	1059.11	1111.82	629.35	500.46	470.14	599.49	320.8	780.44	620.67	536.45	543.96
MRPL45	1088.92	902.89	1051.79	713.11	728.11	723.08	1183.45	775.05	974.5	595.34	1216.75	769.69	785.88	759.08	684.02	1066.48	780.44	1757.34	723.08	688.78	444.72	836.53	728.11	796.86	698.41	599.49	595.34	638.15	718.08	713.11	785.88	854.13	698.41	327.56	244.57	842.36	346.29	743.43	514.56	162.14	470.14	483.38	423.61	244.57	708.18	460.44	267.73	603.67	647.07	674.59	432.53	299.25	341.51	684.02	361.04	854.13	221.86	371.22	379.04	231.32	244.57	764.36	379.04	275.28	173.85	423.61	813.63	785.88	441.64	348.71	249.73	438.59	412.0	432.53	466.88	170.25	684.02	414.87	813.63	353.59	607.87	353.59	1135.2	334.46	723.08	819.3	780.44	974.5	629.35	688.78	842.36	420.68	212.78	242.88	332.14	167.9	497.0	348.71	248.0	379.04
MRPS27	1191.69	1216.75	1397.83	819.3	791.35	1183.45	1277.29	961.07	1159.07	708.18	1001.93	866.07	928.3	660.68	753.83	954.43	974.5	1896.65	802.41	684.02	728.11	1268.46	902.89	1259.69	759.08	759.08	896.64	890.44	848.22	819.3	780.44	1151.06	1066.48	470.14	231.32	629.35	423.61	743.43	559.28	212.78	473.41	511.0	629.35	241.19	802.41	301.33	397.93	813.63	728.11	638.15	607.87	389.72	603.67	743.43	441.64	796.86	237.86	480.04	567.1	228.13	253.23	819.3	403.5	363.56	121.79	441.64	954.43	825.0	642.59	379.04	283.05	559.28	454.09	470.14	476.71	251.48	688.78	543.96	780.44	563.18	813.63	400.71	974.5	346.29	703.28	753.83	738.29	988.12	693.58	660.68	764.36	540.19	325.29	234.57	400.71	150.17	438.59	336.79	332.14	265.87
MRPS33	1806.78	2720.15	2835.7	1806.78	1268.46	1551.09	2855.44	3325.99	2255.7	1857.6	3060.45	2240.11	1870.53	1819.35	1594.73	2400.97	1605.83	2555.58	1397.83	1769.57	1088.92	2119.22	2915.45	1896.65	1870.53	1583.71	1628.26	3060.45	1909.85	1594.73	2004.85	1388.16	2287.2	934.76	457.25	1639.59	819.3	1417.35	1030.12	346.29	769.69	934.76	1037.29	450.94	1175.27	329.84	493.56	1199.98	1250.98	884.29	954.43	423.61	693.58	1628.26	753.83	1369.04	297.17	612.11	503.95	450.94	595.34	1175.27	476.71	432.53	269.6	738.29	1268.46	1388.16	713.11	463.65	279.14	830.75	563.18	620.67	567.1	305.55	1427.22	660.68	1498.22	507.46	1561.89	1081.39	1909.85	514.56	1388.16	1540.37	1030.12	2240.11	1066.48	995.0	1331.57	693.58	473.41	536.45	547.75	309.83	684.02	486.75	397.93	688.78
MRPS35	1540.37	1388.16	1407.55	1030.12	1096.5	1397.83	1397.83	1857.6	1417.35	890.44	1437.15	1437.15	1159.07	1073.91	854.13	1286.18	915.51	1794.29	1073.91	1037.29	1066.48	1259.69	1467.37	1233.75	872.1	866.07	780.44	947.83	1030.12	1183.45	1199.98	1277.29	1277.29	595.34	265.87	1225.22	507.46	684.02	629.35	327.56	723.08	591.22	563.18	190.34	688.78	753.83	414.87	728.11	587.13	708.18	921.88	251.48	759.08	830.75	223.41	633.73	346.29	417.77	753.83	224.97	387.02	791.35	332.14	275.28	127.0	470.14	848.22	1111.82	406.31	305.55	303.44	457.25	493.56	387.02	480.04	258.57	909.17	514.56	764.36	974.5	866.07	791.35	878.17	371.22	836.53	796.86	759.08	1378.57	616.37	791.35	915.51	341.51	214.27	351.14	384.34	256.78	397.93	409.15	368.65	343.89
MTIF2	624.99	493.56	660.68	493.56	493.56	583.07	733.19	708.18	514.56	384.34	603.67	500.46	412.0	463.65	426.57	559.28	480.04	540.19	463.65	406.31	457.25	480.04	642.59	476.71	392.44	466.88	409.15	384.34	457.25	384.34	363.56	607.87	438.59	166.73	127.0	353.59	246.28	432.53	269.6	99.43	329.84	260.38	343.89	65.26	293.07	218.79	185.11	346.29	480.04	332.14	187.71	120.94	217.27	406.31	187.71	414.87	113.56	307.69	320.8	107.38	159.9	389.72	155.5	150.17	47.5	166.73	395.18	334.46	309.83	248.0	181.28	246.28	217.27	187.71	169.07	105.89	503.95	301.33	438.59	220.32	273.37	269.6	540.19	312.0	480.04	426.57	392.44	414.87	351.14	269.6	483.38	178.77	162.14	95.34	113.56	113.56	281.09	134.3	141.02	124.37
NABP2	995.0	860.08	848.22	909.17	775.05	1119.56	1313.23	1051.79	1143.1	884.29	1583.71	1015.93	1322.37	1059.11	713.11	866.07	718.08	1143.1	848.22	1225.22	981.29	1037.29	866.07	866.07	902.89	941.27	703.28	1066.48	743.43	1066.48	1111.82	733.19	1008.9	490.14	246.28	603.67	341.51	412.0	403.5	251.48	307.69	409.15	441.64	291.04	547.75	339.14	301.33	497.0	595.34	511.0	563.18	260.38	353.59	518.15	332.14	525.39	244.57	403.5	303.44	201.25	307.69	633.73	376.41	309.83	208.38	303.44	848.22	607.87	397.93	212.78	269.6	346.29	426.57	403.5	262.2	176.29	476.71	373.81	559.28	279.14	599.49	316.37	540.19	293.07	571.05	438.59	525.39	866.07	563.18	624.99	507.46	400.71	193.01	379.04	356.05	157.68	343.89	256.78	289.02	295.11
NFS1	1216.75	1295.13	753.83	825.0	656.11	1066.48	1175.27	780.44	974.5	665.29	896.64	1073.91	941.27	1008.9	559.28	842.36	551.56	872.1	753.83	915.51	591.22	981.29	563.18	563.18	713.11	928.3	547.75	1001.93	587.13	660.68	780.44	854.13	769.69	305.55	165.57	567.1	351.14	529.06	387.02	125.24	318.57	441.64	420.68	108.9	447.82	133.36	277.2	406.31	525.39	389.72	181.28	214.27	320.8	616.37	223.41	555.41	248.0	281.09	191.67	169.07	178.77	423.61	208.38	229.72	92.7	234.57	599.49	412.0	507.46	318.57	198.47	291.04	224.97	239.52	228.13	182.55	616.37	343.89	500.46	187.71	376.41	287.01	486.75	295.11	483.38	483.38	587.13	500.46	438.59	348.71	507.46	309.83	220.32	199.85	241.19	71.5	327.56	214.27	183.82	178.77
NIPSNAP1	2537.92	1832.01	1662.49	1950.0	1991.0	928.3	2720.15	1617.0	1819.35	1561.89	2758.13	1508.65	1977.24	1936.53	1081.39	1806.78	921.88	2193.99	1529.73	1572.76	1111.82	1540.37	1250.98	830.75	1250.98	1417.35	1340.84	1583.71	921.88	1819.35	2367.9	1340.84	1806.78	483.38	206.94	825.0	426.57	819.3	567.1	131.51	373.81	607.87	521.76	256.78	595.34	136.19	209.84	723.08	647.07	642.59	279.14	325.29	316.37	775.05	371.22	808.0	262.2	435.55	343.89	228.13	231.32	651.58	426.57	381.68	127.0	420.68	1104.13	679.29	547.75	435.55	258.57	633.73	406.31	253.23	454.09	231.32	567.1	660.68	872.1	373.81	961.07	423.61	1175.27	403.5	698.41	830.75	866.07	1104.13	480.04	607.87	693.58	624.99	281.09	400.71	441.64	137.14	403.5	353.59	309.83	279.14
NLE1	412.0	223.41	366.09	194.36	158.79	244.57	269.6	256.78	281.09	155.5	406.31	228.13	323.03	209.84	218.79	211.31	189.02	476.71	190.34	202.66	199.85	202.66	197.09	144.01	244.57	169.07	165.57	175.07	163.28	172.65	218.79	181.28	262.2	142.01	71.5	181.28	70.51	152.28	64.34	127.0	106.63	114.36	136.19	88.88	157.68	98.73	124.37	185.11	170.25	156.59	273.37	102.97	146.03	231.32	87.03	191.67	50.27	181.28	142.01	82.87	132.44	199.85	120.1	105.15	98.04	90.14	269.6	211.31	109.66	65.72	52.08	112.77	132.44	159.9	77.25	70.51	182.55	102.97	183.82	209.84	189.02	92.7	172.65	57.89	124.37	91.41	183.82	195.72	218.79	202.66	172.65	99.43	84.63	75.64	79.45	81.71	62.56	90.14	75.11	63.0
NUP37	323.03	395.18	412.0	309.83	297.17	603.67	473.41	825.0	450.94	420.68	429.54	417.77	373.81	353.59	314.17	403.5	368.65	463.65	327.56	343.89	412.0	412.0	616.37	454.09	373.81	397.93	232.94	336.79	476.71	353.59	334.46	323.03	368.65	198.47	68.07	454.09	187.71	463.65	334.46	120.1	260.38	251.48	348.71	101.54	312.0	182.55	211.31	312.0	329.84	358.54	212.78	126.12	299.25	441.64	134.3	371.22	150.17	211.31	229.72	103.69	162.14	400.71	198.47	144.01	44.57	223.41	555.41	480.04	273.37	232.94	150.17	262.2	198.47	123.5	223.41	122.64	406.31	299.25	483.38	287.01	457.25	297.17	511.0	186.4	409.15	450.94	379.04	616.37	264.03	346.29	325.29	190.34	107.38	95.34	150.17	57.89	244.57	159.9	194.36	169.07
NXT2	248.0	223.41	334.46	150.17	237.86	348.71	325.29	303.44	314.17	185.11	341.51	303.44	208.38	256.78	212.78	287.01	273.37	156.59	172.65	194.36	283.05	214.27	231.32	329.84	244.57	127.89	220.32	171.45	356.05	173.85	171.45	246.28	343.89	234.57	105.89	476.71	159.9	185.11	167.9	201.25	332.14	218.79	194.36	122.64	447.82	173.85	93.35	423.61	444.72	146.03	412.0	58.3	125.24	320.8	94.67	206.94	124.37	139.07	226.54	80.57	100.83	151.22	97.36	118.43	34.51	163.28	182.55	291.04	145.02	74.06	115.16	171.45	190.34	114.36	249.73	68.55	356.05	129.69	441.64	291.04	173.85	389.72	403.5	132.44	277.2	320.8	159.9	476.71	182.55	135.24	186.4	68.55	116.78	90.77	87.65	125.24	103.69	96.68	115.97	132.44
PARS2	182.55	101.54	84.63	104.42	102.25	104.42	111.99	110.43	109.66	48.87	158.79	85.22	152.28	110.43	74.58	138.1	68.55	98.73	71.0	74.58	102.25	129.69	123.5	68.55	78.89	65.72	82.29	100.83	91.41	101.54	150.17	139.07	62.12	13.32	18.16	71.0	36.27	46.18	44.25	13.83	42.71	35.0	30.34	11.73	43.02	20.11	19.25	52.45	56.28	62.56	29.91	30.78	31.22	68.55	13.93	86.43	14.14	26.28	38.95	17.0	24.46	61.25	23.42	13.03	13.03	27.64	90.14	77.25	31.9	18.56	28.24	41.81	32.59	25.35	39.79	17.51	56.68	40.36	72.01	37.05	51.71	38.67	59.13	19.68	60.39	42.11	86.43	71.0	43.63	57.89	70.51	38.95	12.93	19.82	25.91	19.11	28.65	19.97	24.28	16.51
PCBD2	256.78	197.09	305.55	201.25	231.32	190.34	244.57	177.53	175.07	166.73	221.86	309.83	273.37	389.72	165.57	173.85	153.34	197.09	187.71	223.41	237.86	212.78	101.54	226.54	166.73	226.54	155.5	226.54	185.11	205.5	187.71	376.41	269.6	61.25	70.01	156.59	98.04	175.07	121.79	36.53	113.56	150.17	108.9	57.89	119.26	78.89	64.34	152.28	173.85	97.36	81.14	95.34	95.34	183.82	53.95	127.89	77.25	103.69	125.24	57.89	57.49	150.17	77.79	101.54	79.45	67.12	201.25	145.02	99.43	71.5	76.17	127.0	96.68	77.79	85.22	32.13	165.57	109.66	159.9	67.12	191.67	156.59	212.78	105.15	138.1	134.3	144.01	185.11	162.14	82.29	158.79	135.24	54.72	66.18	50.27	33.3	62.56	50.98	62.56	64.8
PDIA4	2502.97	2701.35	2720.15	2796.65	2032.85	9025.81	2895.31	9945.68	4388.98	2627.46	2935.74	2537.92	2075.59	1498.22	2956.17	4769.75	3395.89	2875.3	2075.59	2047.0	4298.64	1977.24	5255.91	3443.31	2255.7	1508.65	4607.24	3235.01	3515.68	2468.49	1769.57	1295.13	4181.07	3018.3	830.75	1832.01	1066.48	1457.23	1216.75	995.0	1313.23	1721.16	1806.78	954.43	2664.15	941.27	1127.35	1806.78	1350.18	1340.84	3190.46	1044.52	1819.35	1674.06	1286.18	1572.76	896.64	1896.65	902.89	1322.37	1135.2	1662.49	988.12	1073.91	679.29	1639.59	2468.49	2935.74	1066.48	1208.34	1059.11	1417.35	1977.24	1111.82	1467.37	1208.34	1529.73	1023.0	3564.78	1242.34	2224.63	2319.15	1268.46	974.5	1225.22	1857.6	1651.0	2255.7	1051.79	2303.12	1519.15	1001.93	961.07	988.12	1540.37	796.86	1059.11	1096.5	1331.57	1369.04
PET112	521.76	521.76	450.94	638.15	473.41	341.51	356.05	441.64	490.14	371.22	759.08	412.0	616.37	463.65	366.09	540.19	339.14	444.72	493.56	647.07	297.17	587.13	387.02	323.03	454.09	563.18	336.79	624.99	389.72	684.02	718.08	476.71	327.56	234.57	127.0	339.14	187.71	316.37	199.85	77.79	180.02	229.72	258.57	97.36	341.51	127.0	139.07	403.5	260.38	256.78	147.06	133.36	241.19	348.71	186.4	312.0	136.19	193.01	156.59	106.63	172.65	262.2	165.57	115.97	67.12	135.24	463.65	301.33	256.78	161.02	111.99	229.72	167.9	169.07	118.43	100.13	406.31	202.66	412.0	198.47	366.09	206.94	334.46	183.82	271.48	339.14	314.17	406.31	264.03	320.8	366.09	251.48	189.02	127.89	167.9	68.55	224.97	120.94	134.3	130.6
PEX12	251.48	180.02	199.85	176.29	148.09	202.66	193.01	151.22	201.25	116.78	165.57	128.79	146.03	149.12	135.24	185.11	139.07	231.32	128.79	125.24	132.44	186.4	220.32	153.34	105.15	125.24	137.14	128.79	212.78	171.45	161.02	197.09	147.06	46.84	57.89	115.16	88.26	112.77	62.12	30.56	43.63	117.6	69.03	24.63	113.56	28.24	29.06	126.12	193.01	94.67	52.08	34.02	60.82	141.02	59.55	131.51	26.1	40.07	72.01	33.78	50.27	151.22	48.87	56.28	38.12	65.26	120.1	120.94	65.26	47.5	52.08	95.34	54.33	88.26	61.68	44.25	133.36	74.06	185.11	48.18	102.25	62.56	134.3	36.01	143.01	135.24	132.44	208.38	120.94	96.01	105.15	91.41	37.05	49.21	75.11	37.59	77.25	71.5	38.12	46.18
