	TCGA.DM.A28G.01A.11R.A16W.07	GTEX.13111.0726.SM.5DUVE	GTEX.Y9LG.1526.SM.4WWDR	GTEX.YB5E.1626.SM.5IFIQ	GTEX.11LCK.2026.SM.5A5MA	GTEX.1399S.1926.SM.5J2M5	GTEX.1211K.1726.SM.5FQUJ	GTEX.139T6.1326.SM.5IFFO	GTEX.XBEW.1926.SM.4SOJO	GTEX.13O21.2426.SM.5MR4A	GTEX.13FTW.1826.SM.5IJEN	GTEX.13QBU.1826.SM.5IJG3	GTEX.ZPIC.2226.SM.57WDX	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.11I78.1226.SM.5A5K6	GTEX.14DAR.1526.SM.5RQIX	GTEX.YF7O.1726.SM.5IFJ9	GTEX.Y3IK.1826.SM.4WWDS	GTEX.11VI4.1526.SM.5EQKC	GTEX.12C56.0626.SM.5EGGC	GTEX.ZT9W.1826.SM.51MQX	TCGA.KM.8438.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8405.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KN.8430.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5083.01A.02R.1420.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.145LU.1326.SM.5LU9N	GTEX.XBEC.1526.SM.4AT68	GTEX.13QJC.0726.SM.5RQJK	GTEX.13112.1426.SM.5EGH8	TCGA.R5.A7O7.01A.11R.A33Y.31	TCGA.CG.4304.01A.01R.1157.13	TCGA.CG.4466.01A.01R.1157.13	TCGA.HU.A4H2.01A.11R.A251.31	TCGA.BR.8483.01A.31R.2402.13	GTEX.VJYA.1026.SM.4KL21	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07
TC2N	432.53	738.29	559.28	890.44	660.68	674.59	791.35	825.0	532.74	603.67	708.18	624.99	713.11	616.37	728.11	848.22	555.41	775.05	575.03	785.88	665.29	665.29	208.38	205.5	144.01	262.2	129.69	616.37	301.33	379.04	312.0	305.55	403.5	13.62	244.57	507.46	104.42	127.89	107.38	36.79	120.94	77.79	161.02	17.77	4.66	309.83	111.21	30.12	105.15	38.67	36.27	29.91	27.05	53.95	1.99	35.0	1923.14	1529.73	2645.74	1216.75	441.64	791.35	42.41	164.42	182.55
TET3	104.42	151.22	187.71	209.84	197.09	211.31	244.57	212.78	159.9	175.07	189.02	186.4	195.72	208.38	208.38	166.73	198.47	172.65	142.01	190.34	193.01	132.44	14.45	21.78	26.47	29.48	22.92	26.67	19.25	39.79	17.77	22.43	36.79	12.55	36.01	37.59	25.17	32.59	30.78	29.06	29.27	25.91	33.3	62.56	45.85	59.97	31.0	10.88	34.26	18.43	46.5	66.65	45.85	49.21	21.78	34.02	151.22	194.36	242.88	138.1	158.79	171.45	43.94	75.11	32.36
TICRR	55.89	29.91	48.18	23.76	38.67	29.7	15.68	18.16	43.63	59.55	28.65	32.13	36.01	41.22	39.5	30.78	21.78	46.18	50.98	54.72	37.59	11.64	4.17	1.04	1.97	1.71	8.19	1.99	3.63	6.62	7.82	7.0	2.76	0.87	6.46	6.36	5.19	6.16	1.79	3.29	2.51	3.76	4.98	10.16	6.62	15.11	2.63	0.96	1.08	0.52	1.64	0.0	2.46	6.21	0.65	1.97	115.16	52.45	127.0	155.5	53.95	11.91	10.79	7.51	7.75
TMC5	181.28	1119.56	1769.57	2061.24	1143.1	2271.4	2271.4	2075.59	981.29	1498.22	1561.89	1870.53	1551.09	1304.15	1639.59	1427.22	1359.57	1583.71	1340.84	1286.18	1697.45	1457.23	373.81	139.07	420.68	417.77	447.82	1073.91	1059.11	674.59	351.14	384.34	36.01	1.6	199.85	450.94	1.51	0.4	2.14	1.81	18.43	13.32	187.71	473.41	0.0	249.73	2.71	3.35	20.56	0.69	0.19	0.0	1.43	3.72	0.0	0.29	1883.54	1407.55	3325.99	1936.53	954.43	738.29	24.28	38.4	51.71
TMEM181	480.04	497.0	599.49	684.02	529.06	656.11	688.78	693.58	447.82	642.59	665.29	603.67	599.49	547.75	723.08	665.29	723.08	607.87	414.87	748.61	555.41	536.45	175.07	151.22	151.22	155.5	249.73	119.26	152.28	236.21	103.69	205.5	198.47	118.43	139.07	223.41	129.69	262.2	193.01	183.82	164.42	241.19	255.0	169.07	204.07	237.86	228.13	163.28	289.02	126.12	150.17	94.01	141.02	111.21	173.85	135.24	567.1	379.04	825.0	518.15	525.39	571.05	218.79	221.86	187.71
TOP1	890.44	1015.93	902.89	1208.34	860.08	1051.79	872.1	1088.92	708.18	981.29	1277.29	656.11	1073.91	688.78	1111.82	988.12	813.63	1183.45	854.13	1104.13	1088.92	1259.69	567.1	432.53	432.53	665.29	713.11	866.07	529.06	780.44	633.73	688.78	791.35	915.51	208.38	1143.1	476.71	728.11	860.08	348.71	480.04	536.45	595.34	642.59	493.56	616.37	389.72	248.0	507.46	312.0	371.22	305.55	412.0	339.14	536.45	438.59	1883.54	1322.37	1950.0	1781.89	2468.49	909.17	738.29	796.86	733.19
TOP2A	392.44	830.75	1191.69	603.67	813.63	532.74	423.61	595.34	693.58	1487.87	934.76	679.29	1259.69	981.29	642.59	819.3	954.43	921.88	1304.15	1651.0	902.89	368.65	27.25	27.44	34.26	29.7	124.37	75.11	23.08	119.26	68.55	62.56	54.33	27.25	13.32	108.9	275.28	241.19	281.09	30.34	99.43	98.04	177.53	295.11	239.52	211.31	35.25	2.07	18.43	16.03	18.84	14.89	23.42	33.3	12.83	15.34	2090.03	921.88	3928.15	3589.58	4152.18	218.79	96.01	217.27	104.42
TOX3	136.19	493.56	540.19	620.67	567.1	612.11	514.56	612.11	341.51	753.83	665.29	559.28	764.36	599.49	738.29	651.58	723.08	708.18	575.03	633.73	497.0	612.11	143.01	166.73	123.5	387.02	279.14	334.46	1.77	336.79	239.52	271.48	110.43	403.5	14.89	291.04	70.51	218.79	140.04	20.11	55.1	103.69	53.95	120.94	70.01	37.59	29.48	17.64	88.26	0.74	81.71	87.03	127.0	24.81	3.41	102.97	842.36	633.73	1250.98	473.41	808.0	400.71	1.62	0.0	0.93
TPX2	70.51	490.14	521.76	320.8	493.56	297.17	217.27	320.8	361.04	743.43	532.74	307.69	607.87	511.0	363.56	420.68	423.61	525.39	599.49	728.11	503.95	236.21	28.45	43.02	24.28	19.82	112.77	46.5	24.63	88.26	61.25	71.5	43.02	25.17	41.52	116.78	84.63	116.78	80.01	27.44	47.17	63.0	61.68	172.65	147.06	99.43	55.1	14.56	28.65	29.91	26.1	27.84	20.11	32.36	27.25	92.05	1088.92	429.54	1909.85	1437.15	1183.45	99.43	35.25	87.65	53.95
TROAP	82.87	406.31	500.46	307.69	529.06	336.79	169.07	281.09	460.44	674.59	406.31	363.56	473.41	567.1	366.09	414.87	363.56	429.54	579.04	669.92	409.15	206.94	32.59	44.25	8.58	15.68	90.14	43.63	17.13	69.52	59.55	50.98	18.84	10.55	59.13	84.63	78.34	72.52	29.91	26.1	34.02	62.56	55.49	150.17	74.06	98.73	24.81	6.11	12.93	2.73	17.0	9.27	4.5	33.54	6.41	12.55	1540.37	285.03	796.86	988.12	444.72	96.68	51.71	55.49	50.63
TSPAN13	1457.23	1991.0	1896.65	2976.74	2434.5	1844.76	1745.2	1950.0	1331.57	3768.09	1883.54	2701.35	2816.11	1991.0	2400.97	2434.5	2468.49	2835.7	2609.3	2758.13	1896.65	1870.53	395.18	232.94	414.87	409.15	163.28	547.75	82.87	289.02	215.77	432.53	444.72	43.32	220.32	224.97	35.76	77.79	46.18	107.38	59.13	61.25	166.73	665.29	80.01	860.08	148.09	220.32	256.78	161.02	18.16	224.97	41.81	162.14	271.48	77.79	3235.01	2796.65	4769.75	4010.71	2956.17	1225.22	228.13	1030.12	1561.89
TTK	49.91	93.35	144.01	104.42	120.1	85.22	51.71	102.97	107.38	239.52	153.34	105.89	172.65	159.9	108.14	112.77	130.6	135.24	176.29	248.0	118.43	55.1	13.32	10.0	5.59	11.3	15.45	21.16	19.39	34.26	23.08	37.59	18.03	5.59	7.46	48.87	22.43	30.34	21.63	4.03	7.94	8.99	18.56	22.92	18.7	28.04	8.71	1.55	6.46	0.0	2.18	0.0	7.28	11.21	6.11	11.21	262.2	135.24	473.41	444.72	208.38	70.51	13.22	37.32	15.68
UBE2T	486.75	435.55	532.74	366.09	432.53	264.03	224.97	190.34	358.54	587.13	460.44	271.48	493.56	532.74	381.68	483.38	305.55	518.15	674.59	511.0	426.57	262.2	68.55	64.8	100.13	72.52	66.18	81.71	57.89	128.79	78.89	85.22	82.29	98.04	52.82	115.97	258.57	303.44	187.71	154.42	220.32	163.28	301.33	371.22	242.88	256.78	47.17	34.02	63.89	2.56	16.63	11.82	23.42	34.26	37.05	17.64	1397.83	58.3	1781.89	1498.22	896.64	205.5	139.07	293.07	190.34
WDHD1	99.43	92.05	116.78	62.56	53.57	52.08	33.06	46.5	26.47	82.87	70.51	36.53	62.56	67.12	84.04	92.05	80.57	114.36	97.36	81.14	98.04	37.32	22.59	21.94	19.11	22.92	31.22	43.94	19.82	52.08	29.27	29.27	41.22	29.06	9.06	39.5	39.22	55.1	32.59	26.47	39.5	32.59	59.97	54.33	16.51	50.27	12.93	3.79	21.01	17.38	4.78	9.06	19.25	29.06	1.55	7.88	239.52	143.01	368.65	121.79	101.54	25.91	48.87	78.89	42.11
ZDHHC20	295.11	346.29	366.09	511.0	234.57	473.41	256.78	503.95	199.85	514.56	503.95	441.64	476.71	214.27	490.14	366.09	438.59	389.72	406.31	785.88	381.68	194.36	85.22	74.06	40.64	80.01	47.84	115.16	100.83	246.28	74.06	75.11	202.66	124.37	96.68	211.31	79.45	124.37	83.45	72.01	58.3	98.73	39.22	51.71	113.56	84.04	71.0	30.56	127.0	33.06	108.14	48.18	80.01	198.47	19.97	56.28	438.59	525.39	470.14	341.51	406.31	1001.93	80.01	267.73	109.66
ZNF562	178.77	177.53	112.77	198.47	185.11	151.22	144.01	194.36	185.11	154.42	206.94	158.79	144.01	126.12	129.69	159.9	133.36	143.01	158.79	202.66	223.41	220.32	76.71	100.83	103.69	90.77	110.43	134.3	111.21	134.3	101.54	122.64	164.42	142.01	229.72	205.5	43.02	99.43	75.11	59.55	72.52	66.18	61.25	108.9	55.1	134.3	75.11	28.04	75.11	70.01	77.25	53.95	73.03	60.82	87.03	55.89	423.61	223.41	273.37	190.34	198.47	150.17	135.24	90.77	143.01
ZNF670	53.95	44.57	43.02	35.25	48.87	20.26	36.27	43.02	19.39	24.99	35.5	35.5	45.85	38.12	35.76	49.21	33.06	49.91	32.59	44.25	33.78	27.84	14.14	15.68	13.03	21.32	11.13	19.11	12.45	26.47	21.63	21.16	24.46	36.79	21.01	23.93	14.45	21.63	33.3	21.01	31.45	17.0	16.15	34.51	110.43	88.26	27.84	13.32	20.86	45.53	28.24	6.06	12.36	11.55	13.32	24.81	119.26	69.52	211.31	81.14	95.34	60.39	26.28	53.19	34.51
ZNF724P	8.38	8.0	12.27	9.27	16.39	7.57	13.22	7.63	6.36	24.81	6.73	8.78	7.94	16.75	11.91	16.15	8.92	18.43	10.88	15.11	15.34	6.26	9.13	3.76	5.5	3.17	4.66	9.2	12.27	24.11	11.55	3.79	21.01	2.73	2.03	11.64	0.97	8.51	6.26	3.53	4.28	2.63	5.63	3.99	4.06	9.7	2.27	0.59	4.78	0.0	0.56	0.54	2.68	0.0	0.08	0.16	8.45	20.26	44.57	36.53	38.95	10.63	8.38	11.64	2.56
ZWILCH	193.01	163.28	195.72	118.43	140.04	100.13	133.36	145.02	96.68	239.52	194.36	146.03	204.07	167.9	115.97	151.22	162.14	164.42	163.28	236.21	190.34	106.63	62.12	68.55	53.19	100.13	85.22	98.73	100.83	145.02	67.59	105.89	112.77	85.82	67.12	172.65	45.85	108.9	154.42	45.21	79.45	73.54	104.42	93.35	104.42	83.45	69.03	35.0	44.25	25.17	40.36	57.89	63.89	29.27	23.25	38.4	466.88	289.02	420.68	244.57	185.11	87.03	93.35	173.85	48.52
