	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.CF.A7I0.01A.22R.A352.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.N7MS.1626.SM.3LK5F	GTEX.13OW6.1826.SM.5N9F9	GTEX.T5JC.1526.SM.4DM68	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	TCGA.B8.4621.01A.01R.1503.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CW.5584.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.B3.3925.01A.02R.1351.07	TCGA.B9.A5W9.01A.11R.A28H.07	TCGA.Y8.A894.01A.11R.A36F.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.DW.7834.01A.11R.2139.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.MH.A55W.01A.11R.A26U.07	TCGA.2Z.A9JS.01A.21R.A42S.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.DW.7836.01A.11R.2139.07	TCGA.G7.6797.01A.11R.1965.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.Y8.A8S0.01A.11R.A37K.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.DZ.6132.11A.01R.1965.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.1211K.0726.SM.5FQUW
NPM2	46.18	18.03	67.12	202.66	115.97	57.49	52.45	43.02	198.47	103.69	173.85	172.65	155.5	255.0	295.11	171.45	334.46	1135.2	113.56	221.86	140.04	53.95	1096.5	353.59	176.29	16.88	144.01	124.37	129.69	94.01	116.78	128.79	185.11	78.34	183.82	171.45	187.71	103.69	123.5	147.06	154.42	87.03	103.69	221.86	205.5	124.37	161.02	341.51	110.43	171.45	97.36	141.02	239.52	231.32	273.37	223.41	187.71	258.57	426.57	403.5	253.23	223.41	392.44	50.63	409.15	167.9	271.48	521.76	181.28	358.54	191.67	170.25	138.1	126.12	154.42	178.77	171.45	123.5	128.79	102.97	112.77	163.28	142.01	86.43	111.21	152.28	140.04	115.97	0.0	0.28	902.89	723.08	679.29
NR1D1	84.63	81.14	264.03	209.84	132.44	150.17	281.09	88.88	412.0	159.9	229.72	148.09	76.17	131.51	368.65	94.01	607.87	120.94	400.71	387.02	223.41	120.1	171.45	158.79	406.31	289.02	417.77	309.83	262.2	218.79	703.28	172.65	153.34	84.63	169.07	191.67	231.32	130.6	177.53	273.37	389.72	271.48	127.89	127.89	114.36	258.57	81.71	139.07	529.06	312.0	106.63	148.09	642.59	379.04	529.06	2075.59	1583.71	384.34	748.61	995.0	486.75	551.56	780.44	318.57	575.03	429.54	915.51	397.93	921.88	934.76	343.89	743.43	332.14	256.78	303.44	135.24	314.17	141.02	130.6	301.33	173.85	543.96	90.77	162.14	189.02	397.93	703.28	171.45	0.0	0.04	743.43	209.84	607.87
NSMF	529.06	158.79	312.0	457.25	248.0	748.61	555.41	176.29	406.31	208.38	1104.13	1081.39	1167.14	1259.69	1111.82	1066.48	988.12	733.19	1388.16	718.08	1066.48	1857.6	2255.7	890.44	825.0	426.57	1378.57	1066.48	941.27	813.63	791.35	961.07	1286.18	1008.9	1447.15	1104.13	941.27	1199.98	1561.89	1331.57	988.12	1030.12	1233.75	1242.34	1313.23	1008.9	693.58	1268.46	896.64	733.19	988.12	1167.14	3419.52	941.27	1757.34	1529.73	1745.2	1529.73	1963.57	2997.45	2178.83	1991.0	1397.83	3280.18	2591.27	1923.14	1963.57	2090.03	2664.15	2133.97	2287.2	2720.15	961.07	1572.76	1417.35	1447.15	909.17	1427.22	1225.22	1191.69	1936.53	1457.23	1508.65	1508.65	1359.57	1233.75	1794.29	1745.2	0.0	1.14	1313.23	540.19	607.87
OAF	353.59	599.49	555.41	112.77	281.09	633.73	1936.53	384.34	518.15	297.17	1388.16	1159.07	1662.49	1457.23	1199.98	1225.22	848.22	2835.7	1350.18	703.28	836.53	759.08	1963.57	1832.01	3081.75	2520.38	1832.01	1151.06	884.29	1023.0	796.86	764.36	1331.57	1135.2	1135.2	1286.18	934.76	1175.27	1350.18	1023.0	1104.13	1088.92	1119.56	1111.82	1242.34	1467.37	1233.75	693.58	1044.52	1001.93	928.3	1417.35	2061.24	2240.11	2555.58	2319.15	2148.82	1709.26	2119.22	3874.05	3982.99	2224.63	2271.4	3589.58	2090.03	2104.58	2193.99	2367.9	2573.36	4869.99	1936.53	2645.74	1268.46	1674.06	1674.06	1572.76	1313.23	2287.2	1127.35	2351.53	1963.57	1487.87	1697.45	1304.15	2163.77	2319.15	2271.4	1037.29	0.0	0.29	194.36	353.59	239.52
OGFRL1	36.79	31.22	8.06	15.91	22.75	19.39	46.5	11.38	50.27	46.5	154.42	132.44	82.87	186.4	119.26	129.69	86.43	77.25	70.51	46.18	108.9	89.51	189.02	142.01	486.75	551.56	134.3	130.6	156.59	193.01	185.11	221.86	154.42	181.28	162.14	177.53	164.42	193.01	154.42	139.07	144.01	157.68	197.09	189.02	153.34	151.22	429.54	293.07	127.89	202.66	265.87	197.09	309.83	271.48	409.15	438.59	312.0	454.09	454.09	1096.5	518.15	353.59	656.11	693.58	309.83	733.19	460.44	214.27	454.09	642.59	368.65	329.84	107.38	112.77	273.37	98.73	94.67	143.01	211.31	126.12	85.22	303.44	133.36	104.42	124.37	246.28	118.43	123.5	0.0	0.52	204.07	89.51	100.83
OSBPL10	265.87	181.28	12.93	260.38	269.6	114.36	51.71	128.79	140.04	221.86	460.44	381.68	248.0	543.96	403.5	316.37	518.15	555.41	223.41	579.04	156.59	275.28	860.08	1073.91	1030.12	954.43	567.1	503.95	384.34	470.14	381.68	540.19	497.0	454.09	400.71	406.31	438.59	441.64	603.67	371.22	500.46	403.5	473.41	406.31	395.18	438.59	457.25	728.11	450.94	521.76	480.04	438.59	780.44	967.76	813.63	884.29	934.76	802.41	540.19	2075.59	1159.07	620.67	1111.82	1096.5	813.63	1073.91	941.27	559.28	780.44	1295.13	1322.37	981.29	187.71	327.56	656.11	532.74	289.02	463.65	361.04	429.54	555.41	638.15	529.06	525.39	466.88	738.29	514.56	457.25	0.0	0.38	255.0	100.13	21.47
PDF	206.94	108.14	185.11	299.25	202.66	145.02	90.77	228.13	185.11	105.15	438.59	341.51	279.14	507.46	376.41	473.41	511.0	1151.06	316.37	463.65	189.02	226.54	954.43	902.89	2178.83	819.3	320.8	191.67	264.03	297.17	202.66	312.0	343.89	90.77	293.07	275.28	206.94	339.14	256.78	309.83	307.69	221.86	214.27	312.0	283.05	297.17	323.03	406.31	236.21	395.18	303.44	329.84	1250.98	624.99	769.69	532.74	497.0	607.87	1225.22	555.41	753.83	921.88	842.36	1561.89	368.65	854.13	228.13	1208.34	708.18	808.0	1857.6	1051.79	429.54	318.57	454.09	423.61	336.79	432.53	353.59	343.89	616.37	395.18	351.14	429.54	403.5	511.0	497.0	403.5	0.0	0.05	75.11	220.32	171.45
PDGFA	332.14	56.28	334.46	244.57	336.79	575.03	164.42	78.34	205.5	366.09	480.04	406.31	249.73	384.34	723.08	301.33	158.79	150.17	703.28	177.53	361.04	547.75	438.59	476.71	503.95	195.72	299.25	205.5	387.02	387.02	457.25	384.34	332.14	267.73	329.84	318.57	444.72	217.27	295.11	389.72	299.25	392.44	435.55	339.14	339.14	343.89	232.94	450.94	269.6	320.8	371.22	366.09	802.41	947.83	1467.37	836.53	2090.03	1769.57	684.02	2796.65	1119.56	2758.13	426.57	470.14	1051.79	2875.3	3955.48	860.08	4972.34	2367.9	1477.58	3325.99	974.5	420.68	366.09	241.19	366.09	679.29	660.68	368.65	423.61	718.08	277.2	281.09	366.09	473.41	316.37	279.14	232.94	2119.22	101.54	156.59	66.65
PFKP	872.1	1037.29	2240.11	1781.89	1259.69	961.07	1167.14	708.18	563.18	444.72	1191.69	1277.29	825.0	1936.53	2178.83	1331.57	267.73	4543.8	2664.15	536.45	392.44	1104.13	3467.27	3146.52	3847.29	4869.99	890.44	688.78	1208.34	836.53	813.63	1322.37	1059.11	961.07	1008.9	961.07	796.86	713.11	753.83	988.12	928.3	854.13	1250.98	1081.39	529.06	854.13	878.17	1733.13	967.76	1417.35	928.3	785.88	3467.27	4095.0	3564.78	4123.49	3665.02	2976.74	3325.99	6887.62	2935.74	3820.7	5954.47	4512.4	2485.67	3515.68	3039.3	3589.58	2739.08	4419.52	4010.71	2591.27	884.29	1277.29	884.29	785.88	1397.83	884.29	2255.7	1191.69	1331.57	2367.9	921.88	890.44	1159.07	1950.0	713.11	796.86	0.0	0.8	1015.93	775.05	1583.71
PHYHIPL	0.69	0.33	0.65	5.15	2.2	0.74	4.06	2.97	2.36	1.03	490.14	438.59	555.41	403.5	387.02	454.09	1991.0	825.0	150.17	1819.35	536.45	178.77	1529.73	1628.26	2178.83	1008.9	638.15	629.35	289.02	493.56	406.31	457.25	629.35	791.35	470.14	395.18	563.18	579.04	743.43	607.87	497.0	486.75	373.81	525.39	842.36	543.96	466.88	420.68	532.74	291.04	718.08	412.0	1119.56	1427.22	1639.59	2075.59	2104.58	1896.65	3564.78	2664.15	2758.13	1023.0	1806.78	2240.11	2104.58	1437.15	2777.33	830.75	2133.97	2061.24	1081.39	2701.35	414.87	332.14	400.71	579.04	397.93	571.05	208.38	397.93	429.54	432.53	698.41	567.1	392.44	358.54	273.37	473.41	0.0	0.21	6.01	2.23	0.62
PITPNA	511.0	780.44	967.76	395.18	796.86	842.36	791.35	507.46	813.63	583.07	1023.0	1151.06	764.36	1037.29	1127.35	866.07	1044.52	830.75	1208.34	988.12	607.87	860.08	1030.12	1350.18	2163.77	1467.37	854.13	961.07	1119.56	1143.1	1143.1	1167.14	967.76	1030.12	1073.91	981.29	1059.11	842.36	1059.11	1135.2	1135.2	1208.34	1183.45	1081.39	842.36	1119.56	981.29	1111.82	1167.14	981.29	1008.9	1151.06	1745.2	2018.8	2193.99	2018.8	1963.57	2090.03	1757.34	1697.45	2875.3	1498.22	1487.87	1286.18	2004.85	1769.57	1709.26	1883.54	1487.87	1359.57	1781.89	1806.78	854.13	981.29	981.29	961.07	941.27	941.27	1119.56	1030.12	928.3	1225.22	1008.9	1066.48	988.12	1051.79	878.17	1001.93	0.0	0.73	1159.07	1268.46	1605.83
PLA2G16	1286.18	228.13	2047.0	256.78	2573.36	205.5	3303.0	559.28	1605.83	281.09	2777.33	2163.77	4038.61	3039.3	2935.74	4181.07	5954.47	4298.64	1697.45	7331.05	2720.15	5366.37	2664.15	2777.33	5995.9	6983.79	2997.45	2417.67	1950.0	3982.99	2555.58	2701.35	3665.02	2451.44	3665.02	2855.44	2915.45	3515.68	2573.36	3665.02	3395.89	2935.74	2855.44	2520.38	2573.36	2591.27	2537.92	2555.58	3540.14	3212.66	3060.45	3820.7	4450.27	7589.61	7331.05	10959.3	9344.14	5872.48	6079.61	7081.29	7032.37	11827.67	9945.68	5995.9	6164.49	8778.97	8191.0	7382.04	16727.26	6652.97	10808.41	9876.98	3190.46	3103.19	3847.29	4736.79	2434.5	2555.58	2400.97	2555.58	3467.27	2935.74	3742.05	2895.31	3639.7	3928.15	3491.39	3124.78	1044.52	693.58	1721.16	1529.73	1870.53
PLCH1	24.46	87.03	17.13	7.4	32.59	38.67	17.0	30.56	40.93	7.11	42.71	25.35	16.27	42.11	31.22	20.56	17.9	49.21	59.97	21.94	12.45	9.93	29.48	50.27	198.47	194.36	31.9	40.07	36.53	34.51	31.9	61.68	47.84	36.01	39.79	33.06	39.79	25.35	45.21	41.81	51.35	28.24	53.19	47.17	27.05	35.0	50.98	59.55	34.02	40.64	54.72	62.56	144.01	158.79	90.14	56.68	125.24	155.5	109.66	153.34	140.04	130.6	110.43	158.79	72.01	127.0	150.17	153.34	139.07	124.37	166.73	153.34	19.39	29.27	47.17	26.1	23.08	33.06	37.85	38.12	27.64	74.06	37.05	51.71	34.26	76.71	32.59	42.11	0.0	0.0	40.93	66.18	30.12
PLEKHH2	33.06	32.13	36.53	8.19	14.67	30.78	17.77	14.03	16.27	16.27	204.07	191.67	70.51	106.63	218.79	117.6	66.65	22.92	81.14	43.63	143.01	90.14	85.82	98.73	409.15	173.85	62.12	88.88	86.43	169.07	99.43	123.5	90.77	100.83	102.97	74.58	201.25	92.7	143.01	120.94	108.9	124.37	151.22	167.9	180.02	101.54	92.05	128.79	98.73	115.16	99.43	100.83	1183.45	1037.29	1427.22	780.44	1572.76	1832.01	921.88	1397.83	366.09	476.71	921.88	1225.22	1685.71	1662.49	1685.71	507.46	808.0	1151.06	1151.06	1059.11	106.63	119.26	130.6	66.65	75.64	117.6	120.94	116.78	92.7	242.88	59.13	112.77	156.59	124.37	60.82	70.01	0.0	0.47	295.11	120.94	81.71
PNMA2	12.55	1.27	1.93	2.97	3.66	17.9	3.76	2.1	2.78	12.36	76.17	69.52	36.79	169.07	101.54	64.8	54.33	285.03	119.26	29.06	49.21	40.93	66.18	20.71	543.96	1037.29	86.43	84.63	108.9	147.06	105.89	182.55	102.97	82.87	125.24	73.54	135.24	82.29	82.87	110.43	75.64	127.0	141.02	128.79	37.85	71.5	151.22	187.71	88.26	239.52	190.34	136.19	384.34	514.56	241.19	376.41	325.29	441.64	423.61	409.15	620.67	186.4	470.14	587.13	343.89	432.53	258.57	563.18	309.83	780.44	336.79	327.56	62.56	80.57	138.1	87.65	61.68	50.27	119.26	69.03	81.14	164.42	85.22	55.89	91.41	118.43	54.33	96.01	52.45	122.64	27.25	29.48	17.25
PPP1R14C	2.12	19.97	208.38	1.55	4.5	115.97	23.93	9.93	73.03	101.54	205.5	171.45	79.45	255.0	189.02	133.36	555.41	633.73	172.65	34.51	89.51	1259.69	409.15	275.28	483.38	629.35	232.94	204.07	96.68	125.24	142.01	146.03	197.09	175.07	244.57	191.67	186.4	234.57	133.36	169.07	189.02	115.97	224.97	201.25	175.07	133.36	158.79	191.67	170.25	170.25	171.45	111.99	693.58	1467.37	1477.58	854.13	954.43	638.15	1051.79	954.43	674.59	647.07	1295.13	1037.29	1277.29	1066.48	1216.75	848.22	1745.2	1561.89	764.36	629.35	154.42	150.17	127.89	191.67	100.83	176.29	154.42	117.6	119.26	152.28	199.85	153.34	95.34	143.01	159.9	182.55	27.05	152.28	785.88	555.41	1583.71
PTCHD4	2.05	0.64	0.0	1.85	3.29	3.63	1.38	2.68	43.32	4.03	19.82	13.93	4.94	14.67	24.46	10.31	8.25	4.28	2.29	58.71	24.63	3.96	5.36	15.22	236.21	15.45	8.71	8.32	17.0	19.53	23.93	23.25	16.27	15.68	12.74	15.91	10.71	5.36	15.45	17.25	20.41	15.91	14.45	17.0	13.22	13.42	53.95	13.83	16.51	20.56	37.59	27.84	176.29	154.42	76.71	166.73	341.51	161.02	363.56	126.12	412.0	70.01	204.07	165.57	43.63	412.0	134.3	303.44	291.04	81.71	185.11	693.58	13.03	12.55	23.08	7.4	13.62	8.71	20.41	14.03	6.52	33.54	8.99	6.41	18.97	20.11	5.92	16.03	0.0	0.0	4.06	5.28	6.41
PTPN1	493.56	432.53	473.41	486.75	518.15	633.73	470.14	339.14	341.51	457.25	624.99	493.56	384.34	1066.48	684.02	599.49	371.22	1096.5	934.76	351.14	400.71	813.63	1104.13	785.88	2935.74	796.86	728.11	620.67	679.29	708.18	567.1	1199.98	656.11	529.06	651.58	555.41	629.35	718.08	603.67	555.41	559.28	575.03	718.08	647.07	387.02	532.74	599.49	1277.29	624.99	1167.14	567.1	647.07	1674.06	1963.57	1286.18	1427.22	961.07	1397.83	2468.49	723.08	2148.82	1127.35	872.1	1437.15	2119.22	1508.65	791.35	1135.2	1519.15	2739.08	1066.48	1794.29	476.71	684.02	791.35	764.36	532.74	503.95	1088.92	567.1	743.43	775.05	518.15	656.11	660.68	1331.57	525.39	529.06	0.0	0.42	759.08	688.78	529.06
PTTG1IP	2935.74	2701.35	4607.24	2502.97	1551.09	3303.0	3901.01	3768.09	4769.75	5006.93	5041.77	4575.41	4450.27	4239.45	5555.65	4869.99	2645.74	5672.41	3515.68	1350.18	3540.14	2976.74	5954.47	9474.59	6079.61	8078.22	4419.52	3515.68	4388.98	3212.66	4972.34	4769.75	4210.15	3794.3	4038.61	4704.07	3955.48	4152.18	3874.05	4038.61	4298.64	3515.68	3564.78	4268.94	3742.05	4543.8	5913.33	6471.02	4388.98	5112.16	5112.16	4066.71	6294.04	8363.13	6745.86	5751.61	8538.88	3395.89	7749.1	6887.62	6792.79	8305.36	3419.52	9540.5	8078.22	15180.22	7485.11	6471.02	8479.89	14561.8	9606.86	7589.61	5076.84	4152.18	4388.98	3874.05	4328.55	4972.34	3874.05	4239.45	3665.02	5329.3	3742.05	3742.05	4239.45	5366.37	4038.61	4152.18	3372.43	4836.35	3419.52	3515.68	2664.15
QRFPR	0.0	0.0	0.64	0.0	1.1	0.0	0.68	0.0	0.0	0.0	37.32	25.17	31.45	42.11	18.7	34.26	68.55	55.89	33.54	8.32	21.63	1.06	18.29	54.33	151.22	28.04	15.68	15.11	29.91	13.03	49.21	38.67	28.04	21.78	22.75	36.01	16.15	22.92	27.25	22.92	17.77	25.91	21.63	47.5	22.92	41.52	53.95	47.5	40.07	38.12	40.36	41.52	265.87	336.79	152.28	1628.26	624.99	185.11	665.29	642.59	123.5	251.48	723.08	59.97	170.25	332.14	567.1	307.69	320.8	327.56	74.58	241.19	22.75	10.71	38.12	14.67	20.86	15.0	16.03	31.9	25.35	55.1	30.56	28.86	39.5	70.51	22.75	26.28	0.0	0.0	19.25	7.63	8.45
RAB36	106.63	6.01	158.79	107.38	82.87	281.09	25.35	85.82	41.22	69.52	289.02	249.73	152.28	343.89	297.17	183.82	226.54	420.68	229.72	429.54	173.85	103.69	341.51	454.09	559.28	361.04	291.04	241.19	211.31	253.23	194.36	202.66	248.0	356.05	258.57	249.73	260.38	209.84	320.8	348.71	285.03	299.25	244.57	249.73	285.03	303.44	176.29	318.57	180.02	215.77	189.02	275.28	738.29	656.11	733.19	656.11	559.28	503.95	595.34	981.29	769.69	503.95	603.67	934.76	890.44	665.29	842.36	536.45	791.35	379.04	540.19	733.19	194.36	260.38	293.07	265.87	220.32	332.14	275.28	323.03	297.17	412.0	281.09	309.83	283.05	332.14	305.55	283.05	0.0	0.0	232.94	460.44	301.33
RAB6B	94.67	66.65	26.47	22.26	122.64	75.64	52.08	12.93	476.71	43.32	162.14	187.71	92.05	123.5	195.72	194.36	40.36	303.44	193.01	490.14	44.89	353.59	59.13	379.04	1119.56	134.3	67.12	72.52	67.12	74.58	131.51	122.64	71.5	157.68	122.64	90.14	190.34	108.14	103.69	164.42	112.77	149.12	143.01	150.17	162.14	133.36	129.69	224.97	94.01	187.71	146.03	106.63	599.49	753.83	339.14	447.82	334.46	1001.93	529.06	693.58	665.29	314.17	738.29	638.15	483.38	435.55	463.65	438.59	693.58	1088.92	830.75	551.56	132.44	100.83	88.26	49.91	139.07	167.9	95.34	119.26	75.11	251.48	53.19	58.71	119.26	156.59	60.82	88.88	0.0	0.67	104.42	127.0	90.77
RAP1GAP2	255.0	159.9	125.24	58.3	198.47	145.02	423.61	115.16	221.86	24.11	291.04	279.14	111.21	165.57	208.38	130.6	65.72	89.51	132.44	121.79	135.24	169.07	127.0	241.19	303.44	48.52	114.36	211.31	267.73	260.38	178.77	189.02	162.14	253.23	220.32	169.07	256.78	94.01	241.19	271.48	195.72	239.52	253.23	169.07	151.22	275.28	97.36	271.48	167.9	169.07	126.12	221.86	723.08	325.29	426.57	473.41	698.41	656.11	493.56	860.08	325.29	454.09	271.48	476.71	432.53	674.59	1030.12	414.87	518.15	713.11	293.07	507.46	220.32	237.86	204.07	129.69	229.72	221.86	269.6	303.44	148.09	312.0	162.14	208.38	214.27	199.85	172.65	190.34	157.68	96.68	237.86	228.13	166.73
RBPMS	1340.84	884.29	3235.01	1417.35	2777.33	2591.27	2895.31	848.22	4903.87	1216.75	2855.44	3018.3	2537.92	4152.18	3280.18	3190.46	2255.7	3901.01	5292.48	2224.63	1857.6	3639.7	4210.15	3742.05	4388.98	3257.52	3395.89	3280.18	2645.74	3847.29	3235.01	4450.27	2855.44	3639.7	2835.7	2777.33	3794.3	3103.19	3665.02	3467.27	3303.0	2935.74	3820.7	3257.52	3235.01	3349.13	2400.97	5006.93	3443.31	3190.46	3257.52	3018.3	11424.74	7749.1	8538.88	8840.04	10296.45	8479.89	13872.08	10296.45	6426.31	7642.41	7911.95	9876.98	5366.37	7537.18	10733.74	9344.14	11992.79	8658.09	6983.79	7280.4	3395.89	2520.38	2777.33	2935.74	2796.65	2915.45	4152.18	3280.18	2664.15	5076.84	2627.46	3467.27	3419.52	2956.17	2178.83	2367.9	389.72	186.4	5366.37	5219.6	4481.23
RECQL	195.72	351.14	105.15	155.5	226.54	178.77	201.25	343.89	171.45	525.39	387.02	264.03	231.32	289.02	307.69	291.04	161.02	201.25	251.48	171.45	264.03	291.04	242.88	432.53	830.75	684.02	236.21	301.33	384.34	285.03	358.54	457.25	307.69	320.8	346.29	281.09	332.14	220.32	376.41	303.44	320.8	346.29	336.79	332.14	305.55	273.37	426.57	417.77	295.11	403.5	412.0	376.41	713.11	995.0	665.29	718.08	599.49	1183.45	555.41	698.41	848.22	373.81	713.11	591.22	708.18	559.28	563.18	656.11	406.31	669.92	368.65	708.18	267.73	221.86	406.31	287.01	191.67	258.57	265.87	260.38	249.73	414.87	248.0	281.09	248.0	356.05	205.5	253.23	0.0	0.72	307.69	384.34	283.05
RIC8A	1127.35	1111.82	1359.57	1572.76	1015.93	743.43	1350.18	796.86	1447.15	1175.27	1477.58	1427.22	1225.22	1304.15	1487.87	1340.84	1051.79	1437.15	1250.98	1225.22	1081.39	830.75	1498.22	1561.89	1359.57	1369.04	1191.69	1059.11	1359.57	1208.34	1208.34	1295.13	1208.34	1143.1	1175.27	1369.04	1159.07	1175.27	995.0	1286.18	1216.75	1175.27	1208.34	1350.18	1259.69	1295.13	1277.29	1819.35	1199.98	1268.46	1119.56	1104.13	1583.71	1685.71	1991.0	1529.73	1794.29	1417.35	1519.15	2193.99	1733.13	1721.16	1781.89	1819.35	1721.16	1883.54	1844.76	1447.15	1697.45	1857.6	1781.89	1709.26	1250.98	1369.04	1477.58	1104.13	1259.69	1331.57	1561.89	1397.83	1268.46	1832.01	1199.98	1225.22	1477.58	1561.89	1417.35	1304.15	0.0	0.71	1044.52	1437.15	1427.22
RNF145	417.77	169.07	909.17	291.04	341.51	1295.13	460.44	198.47	563.18	305.55	688.78	679.29	392.44	748.61	647.07	490.14	486.75	332.14	915.51	291.04	647.07	854.13	532.74	551.56	1417.35	1572.76	403.5	599.49	759.08	854.13	890.44	842.36	536.45	688.78	633.73	698.41	764.36	514.56	595.34	669.92	651.58	665.29	848.22	753.83	395.18	629.35	738.29	1001.93	656.11	1015.93	995.0	791.35	1540.37	1923.14	1159.07	688.78	1378.57	1159.07	1304.15	872.1	1015.93	808.0	1127.35	1191.69	1617.0	1175.27	1044.52	1286.18	890.44	1583.71	1331.57	1498.22	536.45	665.29	674.59	587.13	540.19	571.05	780.44	748.61	420.68	934.76	551.56	503.95	483.38	753.83	490.14	603.67	995.0	2271.4	896.64	775.05	988.12
RP11-383H13.1	44.25	10.96	4.86	32.82	40.36	47.84	26.47	0.34	27.25	51.35	191.67	57.08	74.06	94.01	105.15	86.43	119.26	71.5	107.38	132.44	24.11	10.71	9.2	37.32	206.94	1295.13	100.13	48.87	54.72	82.29	145.02	178.77	105.15	57.89	80.01	77.25	69.03	136.19	78.89	109.66	78.34	73.54	127.0	131.51	78.34	68.07	327.56	195.72	74.06	283.05	231.32	141.02	166.73	88.26	148.09	28.24	141.02	166.73	271.48	371.22	457.25	135.24	125.24	303.44	239.52	358.54	253.23	295.11	212.78	406.31	218.79	248.0	29.48	38.67	128.79	46.84	42.41	53.19	83.45	57.08	43.63	159.9	67.12	47.17	99.43	105.15	69.03	93.35	0.0	0.45	13.22	43.94	23.93
RSPH4A	5.06	5.23	1.28	6.21	3.99	10.39	2.71	7.06	3.53	3.69	13.83	12.74	4.66	16.27	24.28	12.09	6.84	14.67	2.68	4.86	10.88	3.82	15.11	27.25	21.32	6.41	5.63	4.9	7.82	10.96	9.2	11.47	9.56	9.34	5.54	7.69	9.63	5.02	9.63	11.04	9.78	6.89	6.57	11.38	10.71	8.99	19.11	22.43	5.28	10.31	17.77	18.56	55.89	17.51	36.79	43.02	17.64	49.21	99.43	31.45	91.41	31.45	34.02	30.78	55.89	58.3	44.25	57.49	16.39	22.1	62.12	37.05	12.83	6.41	16.75	5.28	10.63	11.91	10.55	5.96	4.06	31.67	7.11	9.13	9.85	17.77	6.01	5.59	0.0	0.0	27.64	14.67	76.17
