	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.5665.11A.01R.1653.07	TCGA.A6.2684.11A.01R.A32Z.07	TCGA.AA.3516.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.ZY6K.1226.SM.5GZYL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WFG7.1526.SM.4LVMG	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13OVG.1426.SM.5K7VP	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.OIZH.1426.SM.3NB1O	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.WHWD.1226.SM.4OOS1	GTEX.R55D.1826.SM.48FEF	GTEX.13FTW.1826.SM.5IJEN	GTEX.133LE.1526.SM.5IFEN	GTEX.1122O.1526.SM.5N9CL	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.YEC3.2026.SM.4WWFL	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.ZTSS.1126.SM.5985O	GTEX.QCQG.1626.SM.48U26	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.QEL4.1926.SM.4R1JI	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.139T6.0826.SM.5J1O2	GTEX.13111.1126.SM.5GCMZ	GTEX.13FTW.1926.SM.5K7Y4	GTEX.WH7G.1026.SM.4LVML	GTEX.12WSJ.0726.SM.5GCN6	GTEX.1122O.1626.SM.5N9CX	GTEX.YEC3.1926.SM.4WWF5	GTEX.W5WG.1526.SM.4LMIG	GTEX.RM2N.0626.SM.48FD6	GTEX.ZDYS.0926.SM.4WWCS	GTEX.ZZPU.1826.SM.5E43L	GTEX.OIZI.1326.SM.3NB1B	GTEX.ZVT2.1226.SM.5GU5H	GTEX.11EQ9.0826.SM.5986Y	GTEX.11P82.0626.SM.5PNYK	GTEX.11DXX.1026.SM.5H11E
SGSM3	1963.57	1340.84	1662.49	1331.57	2537.92	1909.85	2645.74	2855.44	2502.97	2816.11	1806.78	2090.03	2367.9	2417.67	1540.37	2485.67	1832.01	2609.3	2645.74	1819.35	2224.63	2367.9	2434.5	2400.97	2104.58	1350.18	2163.77	2271.4	3395.89	981.29	2287.2	2271.4	3395.89	2209.26	2004.85	1583.71	1896.65	2555.58	2609.3	1617.0	2193.99	1477.58	2148.82	2875.3	2047.0	2591.27	1745.2	1844.76	1923.14	2255.7	3212.66	2956.17	2468.49	2004.85	2485.67	2075.59	1806.78	1551.09	2451.44	2915.45	2061.24	1277.29	1963.57	2303.12	2485.67	2209.26	2451.44	2720.15	2895.31	2485.67	1135.2	3419.52	2104.58	1242.34	1685.71	3124.78	2240.11	2537.92	1870.53	2520.38	2400.97	2520.38	1781.89	684.02	1199.98	896.64	995.0	1191.69	1250.98	947.83	1127.35	1268.46	1304.15	1001.93	921.88	1135.2	947.83	1073.91	1199.98	1143.1
SLC26A3	3540.14	30361.44	7433.4	19214.73	155870.75	218912.29	150561.19	163620.18	231394.29	48982.22	237899.7	145432.49	179048.63	263966.36	307450.64	208544.12	273275.14	76330.98	65990.84	95949.32	218912.29	73730.83	509950.32	184082.4	47313.67	110983.6	147462.67	80683.28	80125.95	34158.52	133825.1	161367.56	92680.9	93325.55	244588.0	368165.8	292889.12	89523.81	320506.81	221968.2	280957.98	9876.98	244588.0	138544.47	167058.21	67846.12	254974.66	174152.51	211455.3	201440.3	85283.74	93325.55	140478.49	189257.69	134755.94	221968.2	117311.73	85876.94	163620.18	110983.6	229795.93	113315.62	301123.38	62865.33	193234.41	139508.13	181548.07	95949.32	201440.3	179048.63	15285.81	57448.23	37379.55	104271.56	236256.4	55491.3	246289.25	72213.45	53601.03	93325.55	132900.7	208544.12	244588.0	7.17	56.28	28.65	567.1	236.21	33.54	53.57	54.72	52.45	293.07	54.33	193.01	232.94	269.6	67.12	65.72	73.03
SLC35C2	1127.35	808.0	1015.93	836.53	1508.65	954.43	1322.37	1096.5	1350.18	1059.11	1167.14	1216.75	1259.69	1225.22	1001.93	1183.45	1143.1	1191.69	1073.91	836.53	961.07	819.3	819.3	1066.48	1015.93	909.17	1268.46	1119.56	1508.65	738.29	1331.57	1051.79	1447.15	1127.35	1023.0	713.11	854.13	1088.92	1322.37	915.51	995.0	753.83	1304.15	1447.15	1059.11	1313.23	848.22	1059.11	1233.75	1167.14	1250.98	1242.34	1331.57	1135.2	1167.14	1135.2	890.44	934.76	1427.22	1437.15	1044.52	947.83	1008.9	1331.57	890.44	1225.22	1199.98	1242.34	1487.87	1359.57	642.59	1250.98	848.22	954.43	1088.92	1457.23	1208.34	1015.93	1225.22	1208.34	1059.11	1216.75	1233.75	551.56	830.75	842.36	808.0	733.19	603.67	808.0	633.73	733.19	733.19	743.43	599.49	791.35	503.95	684.02	825.0	476.71
SMAGP	961.07	426.57	1896.65	563.18	3467.27	3349.13	3540.14	3847.29	3039.3	3564.78	2664.15	3212.66	3280.18	3257.52	2895.31	3768.09	3349.13	2816.11	3716.2	2319.15	2875.3	1685.71	2796.65	3280.18	2209.26	1304.15	3395.89	3794.3	4066.71	1151.06	2976.74	3515.68	3349.13	2976.74	4123.49	3280.18	3235.01	2451.44	2915.45	2627.46	3395.89	1963.57	2758.13	3325.99	2664.15	3639.7	2384.37	3146.52	3820.7	3665.02	3419.52	3280.18	3690.52	3081.75	3212.66	3081.75	2739.08	1806.78	3303.0	2720.15	2758.13	1794.29	3349.13	3540.14	3372.43	3146.52	3665.02	2335.28	2935.74	3018.3	320.8	4010.71	2119.22	1950.0	2018.8	3589.58	3491.39	4066.71	2240.11	2816.11	2895.31	3235.01	3280.18	15.56	217.27	161.02	157.68	96.68	149.12	145.02	75.11	181.28	239.52	151.22	163.28	96.01	141.02	142.01	175.07	182.55
SOX9	111.99	86.43	444.72	52.45	633.73	967.76	896.64	503.95	1001.93	583.07	587.13	733.19	872.1	651.58	1397.83	902.89	718.08	1519.15	463.65	656.11	738.29	336.79	348.71	698.41	651.58	417.77	878.17	1066.48	928.3	339.14	529.06	1225.22	796.86	547.75	1250.98	665.29	665.29	551.56	620.67	802.41	825.0	412.0	723.08	819.3	703.28	1151.06	563.18	813.63	1159.07	974.5	1073.91	819.3	1088.92	941.27	842.36	988.12	819.3	395.18	743.43	860.08	813.63	392.44	909.17	1030.12	1051.79	743.43	1216.75	559.28	921.88	785.88	71.5	1225.22	651.58	454.09	543.96	988.12	684.02	884.29	612.11	559.28	775.05	902.89	791.35	1.77	29.06	42.11	30.56	29.48	25.54	43.63	59.97	56.68	19.97	29.27	39.5	30.34	8.13	39.5	50.98	38.95
STARD5	995.0	303.44	470.14	281.09	928.3	743.43	1030.12	743.43	878.17	1066.48	785.88	848.22	878.17	902.89	796.86	1044.52	769.69	974.5	769.69	713.11	808.0	629.35	775.05	1051.79	599.49	406.31	796.86	947.83	1037.29	224.97	764.36	1001.93	947.83	836.53	728.11	620.67	896.64	708.18	830.75	607.87	723.08	332.14	947.83	915.51	624.99	1008.9	567.1	651.58	830.75	884.29	1159.07	928.3	1037.29	974.5	1175.27	884.29	693.58	466.88	995.0	995.0	748.61	435.55	842.36	896.64	848.22	1015.93	928.3	688.78	928.3	854.13	194.36	1304.15	629.35	466.88	599.49	1008.9	842.36	928.3	647.07	723.08	1030.12	890.44	785.88	120.1	142.01	79.45	148.09	76.71	84.63	83.45	104.42	115.97	80.57	111.21	103.69	87.03	70.51	84.63	84.63	93.35
TM9SF4	884.29	764.36	791.35	713.11	780.44	1216.75	1216.75	796.86	1561.89	1088.92	1051.79	1295.13	1295.13	1015.93	947.83	1259.69	1104.13	1651.0	1233.75	567.1	1066.48	669.92	733.19	1167.14	1008.9	836.53	1104.13	1457.23	1896.65	563.18	1191.69	1417.35	866.07	624.99	1447.15	1519.15	1259.69	902.89	1183.45	791.35	902.89	718.08	860.08	1277.29	928.3	1397.83	947.83	1487.87	1088.92	1540.37	1674.06	1378.57	1313.23	1208.34	1143.1	1008.9	1225.22	1023.0	1286.18	1359.57	1104.13	961.07	1216.75	1388.16	1183.45	921.88	1417.35	796.86	1199.98	1225.22	718.08	1359.57	981.29	909.17	872.1	1359.57	995.0	1233.75	961.07	1350.18	1250.98	947.83	988.12	567.1	599.49	599.49	656.11	603.67	642.59	603.67	629.35	647.07	647.07	674.59	603.67	612.11	607.87	633.73	733.19	595.34
TMEM223	287.01	368.65	518.15	325.29	684.02	591.22	748.61	866.07	890.44	651.58	669.92	599.49	743.43	651.58	583.07	921.88	733.19	693.58	775.05	647.07	638.15	616.37	518.15	775.05	507.46	420.68	679.29	785.88	830.75	381.68	521.76	674.59	796.86	769.69	620.67	688.78	703.28	587.13	616.37	532.74	555.41	511.0	656.11	638.15	551.56	808.0	447.82	616.37	708.18	748.61	624.99	638.15	753.83	647.07	738.29	514.56	536.45	603.67	607.87	647.07	466.88	490.14	813.63	713.11	638.15	669.92	791.35	559.28	587.13	507.46	559.28	860.08	599.49	591.22	507.46	759.08	567.1	1167.14	603.67	540.19	688.78	518.15	629.35	198.47	185.11	182.55	232.94	237.86	285.03	258.57	361.04	285.03	232.94	244.57	295.11	211.31	224.97	305.55	351.14	312.0
TMX2	1259.69	1870.53	2468.49	1457.23	3168.41	2664.15	3060.45	3901.01	4210.15	2895.31	3103.19	2935.74	3168.41	3103.19	3257.52	4388.98	3564.78	3349.13	3280.18	2701.35	2976.74	3212.66	2468.49	3303.0	2502.97	2287.2	3349.13	3303.0	3419.52	1594.73	3060.45	3235.01	3146.52	3212.66	3690.52	3280.18	3257.52	2758.13	2796.65	2664.15	2627.46	2758.13	2485.67	3515.68	2895.31	3235.01	2520.38	3081.75	3257.52	3124.78	3168.41	2915.45	2816.11	2997.45	2956.17	2627.46	2520.38	2664.15	2796.65	2956.17	2485.67	2351.53	3589.58	3103.19	3280.18	2875.3	3235.01	2720.15	2573.36	2855.44	2193.99	3901.01	2417.67	2609.3	2664.15	3515.68	3018.3	3540.14	2434.5	2816.11	3081.75	2627.46	3639.7	1259.69	1519.15	1437.15	1540.37	1066.48	1639.59	1191.69	1551.09	1745.2	1183.45	1794.29	1378.57	1662.49	1104.13	1216.75	1909.85	1697.45
TNFRSF11A	267.73	198.47	153.34	281.09	1059.11	679.29	896.64	543.96	571.05	660.68	616.37	642.59	836.53	1119.56	713.11	915.51	571.05	1135.2	698.41	547.75	941.27	463.65	769.69	708.18	529.06	412.0	785.88	941.27	872.1	171.45	728.11	860.08	769.69	587.13	808.0	607.87	890.44	607.87	819.3	507.46	616.37	400.71	796.86	1015.93	507.46	743.43	764.36	934.76	1242.34	1066.48	1259.69	743.43	642.59	780.44	1277.29	813.63	486.75	406.31	866.07	775.05	780.44	470.14	934.76	872.1	954.43	909.17	1073.91	825.0	1143.1	723.08	224.97	1051.79	563.18	587.13	460.44	1127.35	866.07	660.68	688.78	587.13	713.11	599.49	878.17	10.55	15.34	14.89	27.64	11.91	10.39	14.14	16.39	20.11	6.16	27.64	40.93	11.82	21.47	12.64	6.36	10.08
TOMM22	866.07	1304.15	1806.78	1183.45	1909.85	1844.76	2061.24	3639.7	2163.77	2163.77	1857.6	1977.24	2075.59	2061.24	2090.03	3039.3	2400.97	2061.24	2777.33	1651.0	2047.0	1340.84	1407.55	1950.0	1639.59	1605.83	2485.67	2520.38	3103.19	1135.2	1991.0	2303.12	2319.15	2573.36	2591.27	2319.15	2032.85	1757.34	1721.16	1870.53	1870.53	1662.49	1561.89	2178.83	1857.6	2434.5	1605.83	2537.92	2287.2	2193.99	1883.54	1844.76	1883.54	2047.0	1662.49	1498.22	1674.06	1794.29	2018.8	2193.99	1674.06	1685.71	2645.74	2573.36	1963.57	1819.35	2255.7	1617.0	2032.85	1662.49	1583.71	2875.3	1883.54	1844.76	1832.01	2032.85	1685.71	3190.46	1674.06	1540.37	1991.0	1498.22	2573.36	848.22	743.43	748.61	753.83	703.28	890.44	684.02	902.89	748.61	753.83	660.68	981.29	647.07	718.08	854.13	830.75	1037.29
TUFM	2895.31	4736.79	5872.48	3614.55	7130.55	6337.83	7180.15	11584.24	7130.55	7081.29	6471.02	7130.55	7230.1	6935.54	5913.33	7966.99	7589.61	7589.61	9025.81	5076.84	5872.48	5219.6	6121.9	6887.62	5219.6	4095.0	7749.1	7331.05	9945.68	3325.99	7081.29	7180.15	6935.54	7749.1	7537.18	6337.83	6792.79	5555.65	6250.56	5329.3	6426.31	5366.37	6207.38	6699.25	5292.48	7230.1	5183.54	6792.79	6426.31	6471.02	6699.25	6516.03	6935.54	6561.36	6037.61	5517.27	5791.62	5479.15	6792.79	6607.01	4836.35	5219.6	7180.15	7537.18	7081.29	5872.48	8191.0	5913.33	6745.86	5954.47	3874.05	9606.86	4769.75	4671.57	5872.48	7180.15	6471.02	6887.62	5112.16	5633.22	7032.37	5255.91	8658.09	2032.85	2468.49	2367.9	2319.15	2255.7	2720.15	1870.53	2240.11	2627.46	2303.12	3467.27	2287.2	1923.14	2104.58	2701.35	2835.7	3060.45
TXN2	1250.98	1936.53	3060.45	1844.76	3212.66	2758.13	3716.2	4575.41	2976.74	3491.39	3303.0	2956.17	3443.31	2796.65	2816.11	3257.52	3928.15	3103.19	4123.49	2240.11	3060.45	2209.26	2664.15	3124.78	2645.74	2075.59	3280.18	3589.58	3955.48	2018.8	3639.7	3372.43	4210.15	3349.13	3235.01	3235.01	3124.78	2816.11	2537.92	2701.35	2956.17	2271.4	2935.74	3018.3	2434.5	3467.27	2400.97	3491.39	2935.74	3325.99	3303.0	3190.46	2935.74	2997.45	2351.53	2664.15	3146.52	2701.35	3146.52	2855.44	2555.58	2417.67	3419.52	3564.78	2997.45	2627.46	2997.45	2163.77	3589.58	2777.33	2384.37	3515.68	2224.63	2178.83	2451.44	3419.52	3103.19	4358.66	2351.53	2664.15	3039.3	2502.97	3124.78	1322.37	1572.76	1583.71	1769.57	1572.76	1628.26	1259.69	1216.75	1508.65	1572.76	1487.87	1697.45	1350.18	1159.07	1268.46	2133.97	1519.15
UNC93B1	1286.18	529.06	791.35	629.35	1191.69	1081.39	1388.16	915.51	1242.34	981.29	1159.07	941.27	1225.22	1175.27	1030.12	1044.52	928.3	1199.98	921.88	830.75	921.88	688.78	743.43	1066.48	802.41	723.08	1369.04	1081.39	1313.23	620.67	1119.56	1051.79	1167.14	1143.1	1015.93	854.13	947.83	974.5	1216.75	723.08	1191.69	665.29	1259.69	1073.91	743.43	1127.35	872.1	1208.34	1199.98	988.12	981.29	1183.45	1081.39	1277.29	1008.9	1199.98	753.83	693.58	1340.84	1388.16	1096.5	780.44	1119.56	1437.15	1119.56	941.27	1008.9	1225.22	1388.16	1175.27	764.36	1159.07	854.13	775.05	967.76	1135.2	1073.91	954.43	988.12	791.35	1159.07	1183.45	1081.39	159.9	303.44	368.65	460.44	260.38	269.6	297.17	420.68	303.44	373.81	334.46	329.84	212.78	351.14	389.72	241.19	275.28
WIPI1	723.08	872.1	1008.9	769.69	1498.22	1769.57	1844.76	967.76	1529.73	1313.23	1104.13	1572.76	1594.73	1551.09	1733.13	1936.53	1697.45	1832.01	1225.22	1059.11	1159.07	583.07	878.17	2032.85	1199.98	1104.13	1662.49	2303.12	2271.4	1242.34	1437.15	1991.0	1519.15	1151.06	1923.14	1340.84	1467.37	1331.57	1225.22	1059.11	1508.65	842.36	1685.71	2090.03	1059.11	1628.26	1051.79	1844.76	1697.45	1844.76	1883.54	1733.13	1697.45	2319.15	1781.89	1551.09	1277.29	1008.9	1427.22	2133.97	1447.15	1295.13	1896.65	1896.65	1757.34	1674.06	1936.53	1081.39	2417.67	1662.49	651.58	2351.53	884.29	1183.45	1175.27	1769.57	1697.45	1540.37	1250.98	1242.34	1721.16	1583.71	1388.16	379.04	785.88	500.46	1030.12	961.07	954.43	1073.91	688.78	579.04	842.36	791.35	728.11	825.0	1277.29	1143.1	698.41	718.08
ZBED4	111.99	154.42	132.44	116.78	181.28	199.85	171.45	178.77	212.78	197.09	175.07	182.55	159.9	176.29	217.27	220.32	221.86	208.38	186.4	182.55	194.36	169.07	173.85	198.47	170.25	146.03	175.07	241.19	162.14	122.64	162.14	197.09	193.01	151.22	217.27	209.84	228.13	183.82	211.31	167.9	185.11	144.01	166.73	190.34	159.9	215.77	187.71	229.72	218.79	175.07	183.82	258.57	223.41	206.94	239.52	201.25	173.85	161.02	201.25	201.25	208.38	147.06	228.13	224.97	197.09	189.02	212.78	180.02	201.25	209.84	95.34	191.67	170.25	162.14	180.02	208.38	204.07	171.45	176.29	189.02	212.78	195.72	167.9	65.26	63.45	63.45	94.67	78.89	98.73	81.14	94.67	76.17	95.34	74.06	100.83	100.13	101.54	86.43	94.01	102.97
