	TCGA.K4.A3WV.11A.21R.A22U.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.BH.A1FU.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZX.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.AN.A0FD.01A.11R.A034.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.PE.A5DD.01A.12R.A27Q.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0H7.11A.13R.A089.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0BM.11A.12R.A089.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A208.11A.51R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.BH.A1FH.11B.42R.A13Q.07	TCGA.BH.A1FB.11A.33R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0DV.11A.22R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.13N11.1726.SM.5J1OJ	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.Y5V5.2126.SM.4WWFO	GTEX.1399U.1826.SM.5PNZ1	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13D11.1026.SM.5IJFB	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	GTEX.S4UY.1426.SM.4AD6Y	TCGA.V1.A9ZR.01A.11R.A41O.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.FL.A1YT.11A.12R.A32Y.07	TCGA.FL.A1YL.11A.11R.A16F.07	TCGA.FL.A1YN.11A.11R.A32Y.07	TCGA.FL.A1YV.11A.12R.A32Y.07	TCGA.AJ.A3NH.11A.11R.A22K.07	TCGA.N5.A4RF.01A.11R.A28V.07	GTEX.13N11.1126.SM.5KM41	GTEX.UPIC.1526.SM.4IHLU	GTEX.13U4I.1926.SM.5LU39	GTEX.1117F.2426.SM.5EGGH	GTEX.12WSK.2026.SM.5CVNB	GTEX.Q734.1626.SM.48U1B	GTEX.XYKS.1626.SM.4BRUQ
TOP1	769.69	1397.83	796.86	842.36	1733.13	1605.83	1066.48	1015.93	1023.0	1340.84	947.83	1781.89	1397.83	1359.57	1127.35	723.08	1519.15	830.75	909.17	1487.87	1286.18	1250.98	813.63	1529.73	651.58	1561.89	743.43	1359.57	1304.15	988.12	1350.18	1487.87	842.36	1119.56	896.64	896.64	1151.06	1268.46	1183.45	329.84	1183.45	1216.75	1359.57	1081.39	928.3	890.44	884.29	1529.73	872.1	981.29	1135.2	1225.22	1001.93	884.29	1127.35	1044.52	607.87	872.1	785.88	1111.82	1183.45	1407.55	1037.29	941.27	1051.79	1216.75	796.86	1304.15	769.69	1340.84	693.58	651.58	775.05	1183.45	1233.75	1111.82	511.0	981.29	713.11	769.69	785.88	1639.59	728.11	896.64	718.08	1250.98	728.11	693.58	470.14	693.58	703.28	698.41	616.37	733.19	921.88	603.67	454.09	575.03	612.11	518.15	753.83	825.0
TRIM44	217.27	872.1	195.72	111.21	775.05	698.41	540.19	406.31	341.51	660.68	743.43	988.12	441.64	136.19	332.14	269.6	813.63	265.87	202.66	748.61	486.75	575.03	884.29	981.29	497.0	435.55	285.03	540.19	1397.83	291.04	435.55	543.96	387.02	320.8	738.29	206.94	450.94	551.56	733.19	81.14	543.96	264.03	314.17	665.29	195.72	417.77	376.41	808.0	381.68	476.71	551.56	738.29	329.84	563.18	743.43	629.35	156.59	511.0	397.93	603.67	450.94	688.78	616.37	295.11	438.59	1030.12	353.59	769.69	536.45	1008.9	423.61	307.69	559.28	91.41	1037.29	529.06	334.46	429.54	460.44	665.29	84.04	454.09	293.07	547.75	224.97	698.41	155.5	201.25	98.73	189.02	205.5	237.86	178.77	249.73	123.5	351.14	166.73	185.11	209.84	117.6	226.54	190.34
UBE2W	193.01	624.99	194.36	180.02	872.1	679.29	314.17	275.28	921.88	1388.16	629.35	1331.57	1417.35	217.27	277.2	180.02	514.56	242.88	256.78	441.64	379.04	371.22	277.2	603.67	189.02	559.28	316.37	358.54	1167.14	249.73	267.73	559.28	518.15	316.37	457.25	314.17	283.05	417.77	432.53	64.8	384.34	327.56	269.6	420.68	181.28	429.54	202.66	536.45	253.23	334.46	371.22	525.39	277.2	353.59	293.07	327.56	173.85	262.2	301.33	376.41	371.22	400.71	571.05	232.94	559.28	400.71	309.83	423.61	314.17	379.04	199.85	206.94	269.6	371.22	325.29	438.59	220.32	275.28	444.72	314.17	251.48	825.0	167.9	381.68	201.25	529.06	255.0	167.9	98.04	201.25	231.32	205.5	206.94	189.02	262.2	194.36	108.9	158.79	251.48	173.85	215.77	121.79
UBE3C	466.88	1127.35	473.41	314.17	728.11	1044.52	669.92	708.18	567.1	808.0	1111.82	775.05	674.59	507.46	1572.76	693.58	981.29	638.15	525.39	748.61	698.41	567.1	1001.93	1304.15	532.74	599.49	536.45	684.02	1721.16	483.38	775.05	616.37	633.73	759.08	748.61	575.03	603.67	830.75	738.29	387.02	981.29	633.73	633.73	791.35	543.96	595.34	616.37	974.5	660.68	733.19	872.1	836.53	616.37	703.28	785.88	764.36	483.38	928.3	693.58	775.05	836.53	842.36	748.61	529.06	674.59	819.3	738.29	819.3	733.19	854.13	525.39	486.75	819.3	775.05	1023.0	791.35	575.03	743.43	620.67	813.63	226.54	872.1	521.76	525.39	532.74	909.17	503.95	514.56	400.71	497.0	567.1	521.76	480.04	403.5	301.33	651.58	409.15	366.09	444.72	420.68	346.29	563.18
UCHL5	381.68	743.43	555.41	497.0	1096.5	1191.69	693.58	473.41	616.37	872.1	1111.82	2417.67	638.15	470.14	500.46	559.28	1044.52	318.57	599.49	848.22	463.65	555.41	591.22	1159.07	406.31	473.41	674.59	620.67	1286.18	780.44	1135.2	915.51	612.11	555.41	753.83	599.49	551.56	486.75	460.44	152.28	728.11	808.0	616.37	493.56	403.5	595.34	403.5	842.36	473.41	575.03	559.28	848.22	457.25	591.22	679.29	555.41	353.59	543.96	559.28	587.13	483.38	629.35	769.69	514.56	587.13	638.15	473.41	629.35	896.64	802.41	486.75	493.56	470.14	490.14	532.74	503.95	414.87	409.15	748.61	529.06	289.02	1378.57	251.48	435.55	473.41	1073.91	353.59	409.15	193.01	309.83	279.14	309.83	287.01	303.44	323.03	346.29	395.18	312.0	262.2	366.09	223.41	353.59
USP37	29.27	258.57	34.75	13.52	159.9	151.22	135.24	85.22	102.97	198.47	158.79	149.12	105.15	31.9	71.0	67.59	87.03	54.33	44.89	186.4	69.03	94.67	187.71	293.07	47.5	155.5	50.27	75.64	387.02	59.97	104.42	68.55	42.11	86.43	90.77	37.32	77.25	126.12	114.36	22.75	154.42	55.49	66.65	204.07	35.0	73.54	54.72	246.28	72.52	99.43	131.51	289.02	78.89	110.43	142.01	156.59	19.25	82.29	63.0	140.04	112.77	167.9	178.77	46.5	175.07	189.02	69.03	170.25	198.47	156.59	62.12	143.01	81.71	76.17	206.94	131.51	105.89	127.89	154.42	139.07	23.76	231.32	35.5	154.42	57.49	187.71	31.0	39.5	13.03	45.21	64.8	53.95	42.71	31.45	26.86	17.38	19.97	82.29	47.5	12.83	45.21	31.67
UTP23	214.27	616.37	205.5	237.86	447.82	842.36	249.73	384.34	785.88	2609.3	406.31	848.22	387.02	218.79	353.59	211.31	441.64	285.03	249.73	363.56	293.07	256.78	400.71	785.88	206.94	450.94	264.03	307.69	1081.39	165.57	251.48	316.37	379.04	373.81	457.25	323.03	379.04	363.56	265.87	82.29	305.55	438.59	346.29	532.74	154.42	463.65	220.32	579.04	271.48	423.61	412.0	559.28	392.44	389.72	435.55	397.93	202.66	379.04	406.31	503.95	348.71	426.57	466.88	228.13	647.07	423.61	305.55	366.09	409.15	599.49	343.89	785.88	339.14	241.19	325.29	379.04	277.2	476.71	371.22	258.57	293.07	532.74	118.43	764.36	236.21	483.38	161.02	191.67	105.15	269.6	277.2	264.03	275.28	199.85	201.25	144.01	198.47	249.73	307.69	195.72	256.78	389.72
WDFY3	258.57	470.14	204.07	139.07	1167.14	543.96	301.33	287.01	161.02	450.94	403.5	267.73	177.53	353.59	242.88	209.84	363.56	234.57	195.72	420.68	193.01	271.48	454.09	547.75	221.86	262.2	180.02	239.52	457.25	193.01	341.51	320.8	164.42	246.28	273.37	217.27	303.44	470.14	435.55	109.66	503.95	167.9	239.52	693.58	236.21	199.85	237.86	647.07	264.03	291.04	536.45	591.22	253.23	395.18	511.0	460.44	123.5	264.03	267.73	387.02	426.57	457.25	420.68	220.32	543.96	738.29	368.65	559.28	435.55	466.88	193.01	220.32	429.54	199.85	674.59	525.39	295.11	346.29	180.02	547.75	65.72	397.93	279.14	567.1	226.54	571.05	191.67	205.5	69.52	244.57	267.73	221.86	186.4	193.01	96.01	130.6	110.43	209.84	185.11	170.25	218.79	164.42
WDR3	206.94	647.07	110.43	100.83	454.09	813.63	303.44	260.38	251.48	366.09	848.22	595.34	346.29	209.84	275.28	231.32	665.29	265.87	151.22	543.96	271.48	329.84	529.06	497.0	136.19	444.72	318.57	265.87	587.13	228.13	624.99	262.2	273.37	320.8	547.75	246.28	381.68	376.41	309.83	108.9	392.44	149.12	220.32	493.56	264.03	417.77	406.31	563.18	353.59	423.61	463.65	563.18	480.04	379.04	693.58	547.75	165.57	486.75	291.04	454.09	409.15	656.11	316.37	309.83	162.14	629.35	312.0	848.22	323.03	780.44	463.65	384.34	299.25	217.27	514.56	368.65	363.56	343.89	571.05	633.73	348.71	454.09	242.88	277.2	267.73	397.93	162.14	186.4	50.98	171.45	163.28	163.28	175.07	234.57	140.04	246.28	163.28	163.28	123.5	137.14	181.28	314.17
WNK1	612.11	3060.45	764.36	575.03	1977.24	1551.09	1277.29	896.64	954.43	1896.65	3847.29	2193.99	1909.85	1051.79	947.83	748.61	1870.53	723.08	551.56	1427.22	674.59	1477.58	1340.84	2739.08	698.41	2240.11	785.88	1277.29	2573.36	764.36	2119.22	1883.54	825.0	819.3	2148.82	698.41	928.3	1674.06	1088.92	450.94	2485.67	647.07	1781.89	1923.14	551.56	890.44	825.0	2335.28	1167.14	1073.91	1250.98	1674.06	743.43	1540.37	1388.16	1417.35	587.13	1199.98	961.07	995.0	928.3	1322.37	1477.58	718.08	1397.83	1447.15	1417.35	1191.69	995.0	1498.22	1331.57	848.22	1135.2	813.63	2032.85	1119.56	967.76	1059.11	1175.27	1340.84	438.59	1832.01	723.08	1059.11	651.58	1745.2	743.43	603.67	341.51	713.11	693.58	660.68	497.0	547.75	525.39	603.67	915.51	400.71	587.13	603.67	403.5	325.29
YIPF6	265.87	1208.34	267.73	454.09	1709.26	1233.75	514.56	457.25	1127.35	1225.22	1295.13	974.5	718.08	172.65	426.57	397.93	1051.79	403.5	334.46	884.29	511.0	518.15	1030.12	1151.06	642.59	1407.55	426.57	848.22	1259.69	420.68	555.41	813.63	420.68	514.56	902.89	532.74	473.41	563.18	642.59	165.57	915.51	387.02	511.0	738.29	312.0	603.67	356.05	995.0	507.46	490.14	595.34	825.0	373.81	591.22	579.04	579.04	329.84	379.04	373.81	547.75	607.87	567.1	780.44	373.81	866.07	540.19	599.49	540.19	624.99	825.0	435.55	366.09	423.61	480.04	791.35	743.43	387.02	466.88	432.53	698.41	283.05	1030.12	159.9	366.09	323.03	693.58	265.87	409.15	251.48	285.03	358.54	336.79	291.04	309.83	327.56	258.57	162.14	271.48	241.19	194.36	209.84	212.78
YME1L1	1175.27	1936.53	878.17	796.86	4239.45	2520.38	2645.74	1359.57	2255.7	1991.0	2935.74	1674.06	872.1	825.0	2271.4	988.12	1651.0	1104.13	1378.57	3280.18	1498.22	1819.35	1674.06	2193.99	1167.14	6037.61	1498.22	1457.23	3081.75	1651.0	2004.85	1709.26	1733.13	1583.71	2645.74	1950.0	1594.73	1870.53	1378.57	599.49	2434.5	1909.85	769.69	1844.76	1242.34	1572.76	1378.57	2537.92	1540.37	1697.45	1674.06	2555.58	1369.04	1883.54	1950.0	1628.26	1104.13	1639.59	1487.87	1651.0	1628.26	1709.26	2468.49	1447.15	1477.58	1794.29	1498.22	2193.99	2004.85	1870.53	1199.98	1250.98	1313.23	1594.73	2417.67	1529.73	1151.06	1268.46	2468.49	1909.85	1066.48	2956.17	854.13	934.76	1304.15	2193.99	1268.46	1051.79	571.05	1119.56	1233.75	1127.35	1127.35	1191.69	1167.14	1088.92	1044.52	1331.57	902.89	1183.45	780.44	1059.11
ZFP91	438.59	1030.12	392.44	283.05	1183.45	1001.93	698.41	579.04	603.67	785.88	842.36	1259.69	728.11	166.73	532.74	409.15	693.58	483.38	503.95	1259.69	624.99	674.59	656.11	1529.73	373.81	599.49	490.14	872.1	1242.34	547.75	688.78	674.59	607.87	769.69	1233.75	348.71	599.49	665.29	764.36	320.8	802.41	540.19	579.04	848.22	444.72	693.58	669.92	902.89	688.78	764.36	825.0	1104.13	587.13	915.51	981.29	825.0	417.77	830.75	780.44	769.69	703.28	854.13	1081.39	480.04	656.11	902.89	514.56	848.22	830.75	813.63	624.99	503.95	872.1	651.58	1551.09	915.51	412.0	536.45	796.86	796.86	273.37	1519.15	511.0	583.07	571.05	842.36	559.28	473.41	309.83	529.06	532.74	483.38	454.09	450.94	329.84	301.33	417.77	457.25	358.54	450.94	348.71	423.61
ZNF148	156.59	780.44	147.06	56.68	587.13	412.0	525.39	239.52	218.79	595.34	480.04	587.13	249.73	92.05	172.65	166.73	334.46	157.68	135.24	447.82	214.27	281.09	397.93	595.34	215.77	529.06	241.19	265.87	397.93	167.9	267.73	356.05	173.85	273.37	232.94	201.25	218.79	366.09	309.83	55.1	403.5	136.19	283.05	507.46	122.64	287.01	223.41	480.04	269.6	368.65	432.53	612.11	279.14	441.64	555.41	483.38	135.24	332.14	309.83	361.04	318.57	507.46	466.88	182.55	497.0	476.71	299.25	599.49	507.46	743.43	149.12	267.73	381.68	267.73	679.29	470.14	231.32	348.71	293.07	447.82	127.89	529.06	109.66	389.72	205.5	511.0	273.37	141.02	99.43	255.0	258.57	223.41	221.86	175.07	81.71	112.77	136.19	251.48	124.37	162.14	137.14	163.28
