	TCGA.BT.A20R.11A.11R.A16R.07	GTEX.12WSK.2226.SM.5GCO5	TCGA.B8.5552.11A.01R.1672.07	TCGA.CZ.5987.11A.01R.1672.07	GTEX.OHPM.0526.SM.2YUMJ	GTEX.P4QT.1526.SM.3NMCT	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.EM.A3AI.01A.11R.A206.07	GTEX.Y111.1926.SM.4SOIS	GTEX.W5X1.0426.SM.3GILB	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.13FLV.0226.SM.5J2OF	GTEX.13FHP.0926.SM.5L3EC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZVT3.0726.SM.5GICN	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.WY7C.0226.SM.3NB37	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13FTY.0726.SM.5J2OH	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.11NUK.1026.SM.5HL5J	GTEX.13112.0326.SM.5P9IW	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.13FTW.0626.SM.5IFEX
TAZ	246.28	325.29	147.06	237.86	181.28	379.04	466.88	1104.13	753.83	629.35	607.87	518.15	728.11	500.46	698.41	698.41	529.06	460.44	525.39	934.76	363.56	387.02	684.02	872.1	638.15	638.15	595.34	669.92	514.56	551.56	500.46	529.06	656.11	332.14	642.59	559.28	878.17	718.08	599.49	500.46	642.59	878.17	429.54	813.63	575.03	759.08	802.41	555.41	769.69	629.35	684.02	825.0	486.75	518.15	693.58	521.76	379.04	620.67	536.45	532.74	679.29	1037.29	532.74	669.92	718.08	733.19	476.71	764.36	660.68	860.08	629.35	808.0	486.75	738.29	473.41
TG	2.68	25.72	8.38	86.43	9.34	18.97	945028.61	894051.48	1282030.25	1264380.15	1452391.55	2247670.86	2126426.15	1327240.99	1273174.62	632189.57	1503610.06	2375828.71	2111737.85	569761.05	1204496.53	1611529.43	1308968.45	1622738.51	1493223.86	1739208.14	1634025.56	1838374.44	1997825.68	1984025.69	1336472.68	1273174.62	1997825.68	1290947.48	1984025.69	894051.48	1355129.16	2986448.72	2025714.3	2425749.94	1402917.72	925580.18	1929772.37	1299926.74	1299926.74	1943195.01	1048575.0	1727194.55	1336472.68	2636147.11	2263304.65	1229805.58	1775752.63	2111737.85	1691649.38	1238359.56	1668359.93	1800541.22	3178687.03	3886391.01	875652.15	789181.81	1645391.11	1622738.51	659036.03	659036.03	2263304.65	1282030.25	1535204.12	2672946.37	1514068.5	1864037.21	1402917.72	1482909.4	1026995.62
TMEM143	153.34	112.77	45.21	100.13	55.89	57.89	107.38	486.75	242.88	239.52	237.86	115.16	171.45	161.02	256.78	353.59	182.55	214.27	198.47	379.04	195.72	102.97	232.94	236.21	181.28	220.32	175.07	217.27	166.73	214.27	93.35	172.65	167.9	72.52	312.0	356.05	208.38	172.65	287.01	253.23	189.02	295.11	172.65	236.21	229.72	193.01	299.25	143.01	183.82	253.23	199.85	293.07	175.07	162.14	242.88	154.42	98.73	226.54	145.02	147.06	316.37	356.05	176.29	242.88	248.0	307.69	177.53	205.5	223.41	186.4	234.57	285.03	166.73	246.28	133.36
TMUB2	612.11	514.56	532.74	698.41	497.0	514.56	890.44	1551.09	1208.34	1250.98	1119.56	1096.5	1127.35	954.43	1259.69	1331.57	1277.29	748.61	909.17	1519.15	872.1	1081.39	1066.48	1304.15	1151.06	1225.22	1001.93	988.12	909.17	1088.92	967.76	995.0	1111.82	819.3	1498.22	1628.26	1417.35	1467.37	1059.11	1151.06	1304.15	1242.34	909.17	1322.37	1167.14	1119.56	1340.84	1008.9	1331.57	1088.92	1059.11	1467.37	1183.45	921.88	1191.69	1111.82	1037.29	884.29	1044.52	1073.91	1304.15	1167.14	1242.34	1183.45	1242.34	1350.18	909.17	1417.35	1388.16	1081.39	941.27	1407.55	934.76	1167.14	842.36
TRAPPC12	1143.1	1066.48	612.11	921.88	698.41	890.44	1519.15	2451.44	2739.08	2451.44	2240.11	1662.49	1883.54	1674.06	3372.43	3395.89	2520.38	1427.22	1832.01	3955.48	1417.35	1457.23	2209.26	2835.7	2018.8	2758.13	1769.57	2468.49	1594.73	2119.22	1477.58	1662.49	1639.59	1369.04	2573.36	2976.74	2701.35	2816.11	2997.45	2384.37	1909.85	2148.82	1639.59	3103.19	1870.53	2573.36	2956.17	1977.24	2287.2	2609.3	1844.76	2664.15	2178.83	1583.71	2351.53	2664.15	1605.83	1733.13	2061.24	1561.89	2835.7	3794.3	1963.57	2224.63	3081.75	2502.97	1844.76	2351.53	2835.7	2075.59	1733.13	2915.45	1781.89	3060.45	1572.76
TRMT1	361.04	223.41	177.53	234.57	409.15	403.5	361.04	866.07	599.49	460.44	423.61	412.0	514.56	426.57	616.37	866.07	441.64	392.44	351.14	698.41	361.04	397.93	503.95	629.35	414.87	543.96	420.68	543.96	493.56	460.44	454.09	400.71	466.88	457.25	511.0	743.43	684.02	684.02	486.75	429.54	532.74	753.83	414.87	759.08	444.72	514.56	583.07	450.94	607.87	332.14	463.65	679.29	454.09	366.09	525.39	473.41	384.34	392.44	392.44	358.54	669.92	813.63	412.0	518.15	559.28	603.67	406.31	518.15	567.1	563.18	514.56	595.34	438.59	620.67	426.57
TSC2	842.36	669.92	435.55	575.03	555.41	551.56	1757.34	2367.9	2468.49	2255.7	1572.76	1378.57	1685.71	1540.37	2816.11	2555.58	1757.34	1508.65	1733.13	3081.75	1030.12	1259.69	1605.83	2591.27	2209.26	2335.28	1331.57	2047.0	1529.73	1685.71	1427.22	1551.09	1685.71	1143.1	2434.5	3190.46	2032.85	2224.63	2061.24	1819.35	1819.35	2255.7	1331.57	2163.77	1551.09	1857.6	2682.69	1721.16	1963.57	1561.89	1529.73	2468.49	2004.85	1331.57	2287.2	1697.45	1096.5	1757.34	1508.65	1447.15	2645.74	2682.69	1628.26	1806.78	2287.2	2591.27	1662.49	2287.2	1950.0	1561.89	1427.22	2591.27	1519.15	2485.67	1304.15
TTLL3	236.21	348.71	92.7	85.22	94.67	293.07	536.45	928.3	1167.14	1167.14	583.07	500.46	819.3	500.46	1331.57	1447.15	728.11	708.18	954.43	1340.84	470.14	612.11	802.41	1250.98	688.78	728.11	490.14	669.92	457.25	679.29	497.0	708.18	579.04	232.94	1268.46	1437.15	1216.75	1594.73	647.07	1111.82	642.59	1159.07	358.54	1066.48	669.92	674.59	1477.58	603.67	785.88	500.46	432.53	1709.26	684.02	620.67	915.51	620.67	480.04	684.02	332.14	525.39	1508.65	1909.85	450.94	647.07	1250.98	1322.37	511.0	728.11	1023.0	1081.39	607.87	1030.12	426.57	1233.75	293.07
U2AF1L4	624.99	379.04	194.36	242.88	277.2	346.29	1015.93	1096.5	1991.0	974.5	1159.07	1529.73	1159.07	836.53	1617.0	2047.0	995.0	1427.22	2119.22	2119.22	579.04	928.3	1331.57	1498.22	1073.91	1127.35	884.29	1111.82	1001.93	1023.0	1073.91	872.1	1233.75	638.15	1709.26	1427.22	1508.65	1721.16	1529.73	1794.29	1991.0	1709.26	796.86	2956.17	842.36	1001.93	2758.13	1008.9	1151.06	1322.37	1199.98	1551.09	1950.0	1175.27	1397.83	941.27	819.3	848.22	753.83	954.43	1359.57	1487.87	1119.56	1295.13	2133.97	2451.44	1037.29	1277.29	1487.87	1191.69	1378.57	1477.58	1304.15	1250.98	688.78
UBA7	293.07	301.33	503.95	420.68	281.09	287.01	934.76	1322.37	2287.2	1896.65	1015.93	928.3	1268.46	1037.29	2209.26	2451.44	915.51	1242.34	775.05	2193.99	780.44	836.53	1051.79	2032.85	961.07	1397.83	884.29	915.51	981.29	1447.15	693.58	1225.22	1081.39	674.59	2090.03	3190.46	3081.75	1883.54	1437.15	1662.49	1127.35	2090.03	825.0	2271.4	1304.15	947.83	1963.57	1104.13	1322.37	866.07	1037.29	2335.28	1242.34	836.53	1529.73	1143.1	842.36	1233.75	967.76	813.63	3372.43	2468.49	954.43	1259.69	2133.97	1857.6	995.0	1594.73	2104.58	1037.29	507.46	1794.29	1008.9	1757.34	830.75
UBXN11	137.14	111.21	206.94	279.14	226.54	229.72	890.44	1685.71	1991.0	1639.59	1529.73	1183.45	1250.98	808.0	2335.28	2119.22	902.89	1551.09	1583.71	2796.65	669.92	884.29	1397.83	2104.58	981.29	1350.18	748.61	1322.37	836.53	1151.06	1023.0	896.64	1487.87	738.29	1697.45	2133.97	1950.0	2573.36	934.76	1467.37	1467.37	2119.22	1119.56	2133.97	1030.12	961.07	2303.12	1340.84	1175.27	1277.29	802.41	2434.5	1806.78	995.0	2104.58	1340.84	842.36	974.5	1216.75	1023.0	1977.24	1977.24	1119.56	1617.0	1697.45	1963.57	1015.93	1397.83	1709.26	1175.27	1037.29	2855.44	1208.34	2193.99	1008.9
UCKL1	363.56	346.29	158.79	287.01	329.84	406.31	607.87	1331.57	1051.79	896.64	890.44	802.41	1096.5	825.0	1551.09	1388.16	890.44	808.0	1159.07	1369.04	532.74	616.37	896.64	1322.37	1015.93	1015.93	748.61	974.5	860.08	769.69	733.19	825.0	780.44	679.29	1127.35	1175.27	1242.34	1159.07	836.53	902.89	848.22	1407.55	703.28	1369.04	872.1	1104.13	1340.84	753.83	1127.35	848.22	934.76	1529.73	902.89	669.92	1119.56	1023.0	599.49	909.17	738.29	785.88	1407.55	1388.16	764.36	748.61	1208.34	1216.75	785.88	1051.79	1073.91	1008.9	909.17	1143.1	808.0	1066.48	693.58
UNC119	226.54	221.86	343.89	447.82	167.9	234.57	441.64	1088.92	878.17	551.56	738.29	450.94	470.14	500.46	698.41	743.43	486.75	543.96	376.41	785.88	559.28	389.72	490.14	748.61	591.22	620.67	511.0	607.87	532.74	607.87	395.18	497.0	575.03	417.77	651.58	854.13	878.17	688.78	684.02	567.1	514.56	693.58	518.15	693.58	660.68	536.45	718.08	555.41	483.38	612.11	575.03	665.29	620.67	361.04	620.67	559.28	432.53	435.55	547.75	441.64	642.59	684.02	684.02	575.03	620.67	521.76	536.45	583.07	559.28	579.04	400.71	693.58	420.68	819.3	429.54
XPO6	723.08	738.29	1008.9	1023.0	1437.15	890.44	1313.23	2178.83	1794.29	2178.83	1447.15	1540.37	1519.15	1350.18	1991.0	2004.85	1437.15	1167.14	1447.15	2240.11	1313.23	1437.15	1322.37	2018.8	1806.78	1721.16	1233.75	1639.59	1721.16	1572.76	1447.15	1529.73	1359.57	1135.2	1561.89	1806.78	2303.12	1477.58	1572.76	1199.98	2032.85	1819.35	1551.09	1674.06	1359.57	1427.22	1519.15	1909.85	1806.78	1322.37	1250.98	1745.2	1427.22	1167.14	2075.59	1594.73	1259.69	1350.18	1242.34	1225.22	1628.26	1697.45	1340.84	1508.65	2047.0	1651.0	1378.57	1991.0	1628.26	1233.75	1233.75	1806.78	1991.0	2018.8	1467.37
YBX2	78.34	11.91	17.38	8.58	0.12	5.54	32.82	102.25	162.14	38.95	45.85	30.12	50.63	27.64	82.87	86.43	53.95	52.08	29.06	229.72	9.41	21.94	52.82	249.73	134.3	53.19	16.51	21.01	27.05	63.0	30.56	94.67	35.5	36.27	150.17	109.66	85.22	88.88	50.63	66.18	93.35	32.82	60.39	159.9	61.68	92.7	197.09	65.26	69.03	77.79	16.75	165.57	45.53	37.32	381.68	33.78	16.63	22.75	15.8	42.41	102.25	115.16	28.04	62.12	63.0	466.88	33.3	71.0	206.94	98.04	85.82	190.34	17.9	92.05	19.39
ZFYVE28	82.29	74.58	156.59	85.22	83.45	67.59	205.5	273.37	334.46	406.31	305.55	197.09	314.17	273.37	406.31	435.55	136.19	127.89	351.14	521.76	178.77	182.55	309.83	500.46	567.1	323.03	187.71	291.04	295.11	265.87	136.19	223.41	206.94	148.09	420.68	444.72	497.0	373.81	241.19	234.57	202.66	463.65	260.38	417.77	231.32	269.6	318.57	260.38	341.51	264.03	258.57	466.88	172.65	146.03	209.84	239.52	158.79	205.5	172.65	273.37	248.0	497.0	149.12	293.07	348.71	248.0	387.02	384.34	395.18	476.71	301.33	366.09	137.14	397.93	197.09
ZNF276	144.01	120.1	82.87	149.12	117.6	264.03	314.17	514.56	486.75	483.38	387.02	348.71	412.0	334.46	599.49	616.37	435.55	295.11	500.46	791.35	193.01	314.17	397.93	547.75	463.65	470.14	291.04	406.31	392.44	309.83	351.14	312.0	414.87	267.73	387.02	511.0	651.58	420.68	400.71	381.68	429.54	743.43	295.11	518.15	251.48	406.31	521.76	361.04	486.75	295.11	403.5	587.13	384.34	314.17	460.44	432.53	325.29	356.05	249.73	325.29	490.14	665.29	277.2	379.04	551.56	679.29	336.79	480.04	500.46	493.56	309.83	563.18	323.03	387.02	279.14
ZNF692	190.34	171.45	90.77	73.54	214.27	251.48	599.49	1369.04	1051.79	884.29	764.36	371.22	748.61	503.95	1081.39	1208.34	579.04	603.67	665.29	1286.18	591.22	236.21	848.22	1277.29	583.07	743.43	748.61	830.75	638.15	679.29	356.05	612.11	591.22	305.55	915.51	967.76	1191.69	934.76	796.86	684.02	507.46	1388.16	483.38	1467.37	607.87	941.27	1388.16	473.41	775.05	842.36	872.1	1242.34	595.34	389.72	909.17	483.38	334.46	842.36	642.59	450.94	1030.12	1561.89	624.99	536.45	902.89	1199.98	543.96	988.12	967.76	941.27	1015.93	1208.34	688.78	1199.98	363.56
ZNF775	191.67	180.02	146.03	131.51	102.97	180.02	226.54	878.17	974.5	414.87	384.34	316.37	368.65	291.04	651.58	665.29	629.35	395.18	414.87	947.83	256.78	215.77	403.5	660.68	420.68	638.15	400.71	412.0	279.14	486.75	195.72	417.77	346.29	198.47	733.19	669.92	743.43	688.78	603.67	521.76	299.25	688.78	356.05	733.19	466.88	447.82	872.1	262.2	412.0	251.48	329.84	934.76	392.44	267.73	493.56	358.54	244.57	389.72	285.03	303.44	967.76	1037.29	480.04	392.44	575.03	656.11	234.57	563.18	497.0	591.22	273.37	620.67	329.84	684.02	234.57
ZSCAN18	1561.89	928.3	718.08	1167.14	583.07	1447.15	2895.31	3081.75	3665.02	3018.3	2855.44	2816.11	2417.67	1923.14	4937.99	3928.15	2434.5	2502.97	3928.15	4328.55	1819.35	2468.49	2997.45	3716.2	2664.15	3235.01	2351.53	2434.5	1844.76	2664.15	3060.45	2193.99	2485.67	2148.82	3018.3	4210.15	3768.09	3928.15	2351.53	3039.3	2178.83	3168.41	2018.8	4210.15	2701.35	2417.67	3467.27	2816.11	2739.08	2224.63	1781.89	3820.7	3212.66	2319.15	3874.05	2739.08	2090.03	2271.4	2061.24	2777.33	4512.4	4419.52	2451.44	3665.02	4298.64	3540.14	2255.7	3614.55	4066.71	2956.17	2178.83	4095.0	2451.44	3742.05	1950.0
