	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAN7.01A.11R.A42T.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.E2.A1L9.01A.11R.A13Q.07	TCGA.D8.A27L.01A.11R.A16F.07	TCGA.HN.A2OB.01A.21R.A27Q.07	TCGA.EW.A1IX.01A.12R.A144.07	TCGA.A2.A0T7.01A.21R.A084.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A8.A08Z.01A.21R.A00Z.07	TCGA.A2.A0YD.01A.11R.A109.07	TCGA.4H.AAAK.01A.12R.A41B.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.BH.A18M.01A.11R.A12D.07	TCGA.EW.A1OW.01A.21R.A144.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.BH.A0EI.01A.11R.A115.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.AC.A3W6.01A.12R.A22K.07	TCGA.A7.A6VV.01A.22R.A33J.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.D8.A27I.01A.11R.A16F.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.D8.A1JU.01A.11R.A13Q.07	TCGA.AO.A0J5.01A.11R.A034.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.BH.A0BF.01A.21R.A12P.07	TCGA.A8.A09V.01A.11R.A034.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AC.A7VC.01A.11R.A352.07	TCGA.AR.A24T.01A.11R.A169.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.E9.A229.01A.31R.A157.07	TCGA.AN.A0XN.01A.21R.A109.07	TCGA.AC.A23E.01A.11R.A157.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.E2.A15L.01A.11R.A12D.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.D8.A1XB.01A.11R.A14D.07	TCGA.D8.A27T.01A.11R.A16F.07	TCGA.E2.A10F.01A.11R.A10J.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A2LN.01A.21R.A18M.07	TCGA.E9.A1R3.01A.31R.A14M.07	TCGA.E9.A1RI.01A.11R.A169.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.A2.A0T6.01A.11R.A084.07	TCGA.BH.A0AV.01A.31R.A115.07	TCGA.D8.A141.01A.11R.A115.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.BH.A18I.01A.11R.A12D.07	TCGA.OL.A97C.01A.32R.A41B.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.AZ.6607.01A.11R.1839.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.UF.A7JD.01A.11R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CQ.7072.01A.21R.A30B.07	TCGA.CV.7433.01A.11R.2132.07	TCGA.B0.4696.01A.01R.1277.07	TCGA.BP.4345.01A.01R.1289.07	TCGA.44.6774.01A.21R.1858.07	GTEX.QV44.0926.SM.2S1RH	GTEX.XQ3S.0926.SM.4BOPI	TCGA.85.6175.01A.11R.1820.07	TCGA.56.6545.01A.11R.1820.07	TCGA.N5.A4RF.01A.11R.A28V.07	TCGA.QN.A5NN.01A.11R.A28V.07	GTEX.POMQ.1226.SM.3P61F
RHOT1	215.77	373.81	397.93	283.05	559.28	587.13	480.04	713.11	769.69	470.14	579.04	591.22	830.75	674.59	412.0	612.11	486.75	693.58	595.34	536.45	251.48	316.37	813.63	521.76	521.76	703.28	327.56	409.15	432.53	688.78	728.11	249.73	669.92	612.11	909.17	607.87	599.49	563.18	738.29	708.18	450.94	567.1	633.73	595.34	417.77	612.11	988.12	1340.84	587.13	665.29	343.89	536.45	483.38	525.39	748.61	480.04	563.18	842.36	426.57	567.1	500.46	483.38	348.71	309.83	248.0	232.94	414.87	314.17	674.59	301.33	307.69	426.57	432.53	503.95	463.65	493.56	381.68	297.17	244.57	607.87
RUFY2	110.43	163.28	92.7	104.42	152.28	218.79	202.66	211.31	218.79	195.72	226.54	221.86	172.65	269.6	129.69	185.11	86.43	171.45	260.38	149.12	142.01	87.65	287.01	175.07	151.22	181.28	201.25	157.68	221.86	312.0	154.42	108.9	291.04	120.1	218.79	204.07	180.02	163.28	178.77	169.07	183.82	169.07	197.09	198.47	120.94	267.73	134.3	264.03	144.01	228.13	131.51	141.02	234.57	136.19	191.67	264.03	212.78	351.14	204.07	197.09	218.79	218.79	98.73	133.36	85.82	62.12	122.64	127.0	115.16	85.82	104.42	176.29	171.45	182.55	106.63	180.02	156.59	61.68	180.02	131.51
RUNDC1	98.73	157.68	94.67	116.78	412.0	563.18	426.57	674.59	397.93	486.75	403.5	642.59	473.41	301.33	323.03	438.59	237.86	656.11	521.76	159.9	244.57	167.9	775.05	486.75	547.75	551.56	295.11	371.22	232.94	961.07	525.39	69.03	486.75	575.03	555.41	224.97	579.04	301.33	493.56	256.78	158.79	629.35	327.56	525.39	279.14	728.11	518.15	802.41	234.57	511.0	157.68	346.29	307.69	353.59	397.93	277.2	376.41	902.89	177.53	255.0	173.85	223.41	190.34	182.55	170.25	131.51	103.69	128.79	175.07	121.79	156.59	182.55	218.79	343.89	115.97	166.73	159.9	125.24	102.25	371.22
SEC24B	221.86	237.86	262.2	205.5	381.68	540.19	409.15	559.28	447.82	409.15	571.05	483.38	348.71	559.28	351.14	518.15	486.75	743.43	480.04	363.56	231.32	228.13	470.14	480.04	303.44	429.54	493.56	363.56	348.71	555.41	473.41	123.5	612.11	438.59	490.14	521.76	486.75	547.75	470.14	353.59	312.0	591.22	341.51	476.71	316.37	529.06	414.87	571.05	281.09	665.29	368.65	414.87	525.39	381.68	525.39	358.54	379.04	620.67	273.37	258.57	450.94	457.25	361.04	267.73	236.21	206.94	229.72	287.01	320.8	332.14	209.84	295.11	371.22	249.73	381.68	511.0	336.79	127.0	211.31	224.97
SEPSECS	31.0	54.72	43.94	38.4	107.38	185.11	113.56	93.35	114.36	86.43	208.38	149.12	114.36	140.04	78.89	105.89	43.94	256.78	129.69	70.51	73.03	32.59	114.36	164.42	154.42	126.12	178.77	80.01	122.64	205.5	81.71	32.59	139.07	96.68	204.07	92.05	112.77	124.37	135.24	80.01	78.34	156.59	112.77	100.13	84.04	193.01	78.34	195.72	74.58	139.07	88.88	122.64	114.36	78.34	172.65	108.9	100.13	275.28	165.57	94.67	124.37	42.71	52.82	48.18	41.81	49.21	37.59	59.55	59.97	47.17	122.64	91.41	65.72	108.9	99.43	94.01	63.89	38.12	37.05	47.17
SH3RF1	153.34	204.07	258.57	177.53	279.14	497.0	336.79	674.59	363.56	305.55	444.72	395.18	387.02	529.06	332.14	429.54	320.8	521.76	503.95	237.86	420.68	264.03	583.07	258.57	320.8	454.09	780.44	420.68	153.34	708.18	323.03	130.6	669.92	551.56	536.45	312.0	400.71	283.05	902.89	454.09	190.34	603.67	470.14	426.57	190.34	518.15	265.87	368.65	183.82	848.22	423.61	363.56	423.61	265.87	674.59	185.11	303.44	444.72	128.79	74.06	157.68	265.87	277.2	205.5	124.37	119.26	176.29	198.47	301.33	99.43	94.67	262.2	262.2	232.94	395.18	218.79	144.01	78.89	77.25	205.5
SHOC2	463.65	507.46	138.1	316.37	928.3	884.29	612.11	684.02	698.41	669.92	1216.75	1617.0	532.74	698.41	529.06	748.61	389.72	1331.57	769.69	595.34	417.77	332.14	974.5	693.58	1104.13	769.69	591.22	743.43	1088.92	1059.11	679.29	212.78	1407.55	713.11	878.17	698.41	813.63	802.41	583.07	629.35	555.41	698.41	830.75	1508.65	571.05	753.83	738.29	813.63	620.67	961.07	669.92	684.02	607.87	612.11	718.08	389.72	915.51	612.11	466.88	591.22	525.39	346.29	420.68	397.93	301.33	612.11	435.55	579.04	417.77	371.22	423.61	638.15	486.75	595.34	255.0	463.65	444.72	241.19	406.31	403.5
SIRT1	242.88	194.36	150.17	121.79	260.38	339.14	320.8	366.09	358.54	258.57	406.31	316.37	217.27	423.61	258.57	309.83	159.9	409.15	450.94	214.27	260.38	153.34	480.04	307.69	264.03	397.93	384.34	299.25	260.38	571.05	275.28	98.04	435.55	305.55	403.5	314.17	339.14	312.0	323.03	246.28	201.25	329.84	312.0	341.51	217.27	490.14	318.57	435.55	224.97	412.0	220.32	260.38	363.56	253.23	334.46	228.13	371.22	603.67	275.28	366.09	267.73	363.56	125.24	191.67	117.6	164.42	144.01	193.01	205.5	106.63	143.01	204.07	283.05	187.71	87.03	277.2	248.0	190.34	173.85	209.84
SLC38A1	82.87	297.17	486.75	493.56	1008.9	2133.97	1407.55	2193.99	2287.2	162.14	327.56	450.94	1733.13	1388.16	612.11	1498.22	629.35	4268.94	1896.65	575.03	915.51	651.58	67.59	1397.83	802.41	1909.85	1923.14	221.86	1268.46	2075.59	2178.83	60.39	1397.83	1044.52	1216.75	1001.93	1437.15	1697.45	1628.26	954.43	346.29	2537.92	1397.83	713.11	954.43	1674.06	1081.39	3280.18	1508.65	1977.24	583.07	1572.76	1685.71	1119.56	2047.0	764.36	836.53	2335.28	1023.0	96.01	878.17	1037.29	842.36	612.11	775.05	373.81	190.34	1073.91	738.29	426.57	40.93	363.56	441.64	103.69	112.77	743.43	450.94	208.38	289.02	620.67
SLX4IP	1.99	13.32	6.26	26.1	30.56	141.02	31.67	62.12	62.12	28.86	80.57	93.35	33.78	90.77	23.93	78.34	47.84	114.36	172.65	22.43	12.27	31.67	126.12	101.54	29.91	39.5	71.5	29.48	78.89	122.64	50.98	11.73	69.03	35.76	76.17	57.49	67.59	105.15	80.01	30.78	13.42	77.25	67.59	76.17	18.7	58.71	52.82	58.71	39.22	57.08	19.39	50.27	43.32	59.13	49.91	28.45	32.13	75.64	50.63	7.06	37.05	28.45	22.92	26.86	20.41	23.59	3.59	19.25	29.48	19.97	40.36	34.51	35.25	39.5	13.22	59.55	46.84	2.58	2.97	10.0
SMARCAD1	94.01	186.4	218.79	176.29	255.0	414.87	320.8	366.09	301.33	249.73	303.44	361.04	297.17	507.46	271.48	348.71	231.32	591.22	366.09	256.78	204.07	172.65	293.07	392.44	221.86	309.83	293.07	255.0	281.09	438.59	301.33	126.12	463.65	256.78	507.46	309.83	327.56	381.68	287.01	323.03	332.14	429.54	260.38	358.54	206.94	373.81	255.0	457.25	215.77	420.68	251.48	339.14	329.84	258.57	371.22	255.0	293.07	620.67	384.34	301.33	312.0	221.86	120.1	171.45	173.85	147.06	154.42	236.21	221.86	204.07	244.57	262.2	289.02	303.44	112.77	291.04	356.05	142.01	131.51	131.51
SMIM14	547.75	470.14	373.81	647.07	4419.52	4543.8	2047.0	6207.38	1457.23	1457.23	1594.73	2047.0	1508.65	3190.46	1369.04	1427.22	457.25	5872.48	2271.4	954.43	1721.16	320.8	1950.0	1651.0	2555.58	1639.59	3124.78	934.76	808.0	3124.78	3716.2	155.5	3982.99	2193.99	2133.97	1066.48	2224.63	3847.29	4298.64	3039.3	521.76	2400.97	1417.35	2335.28	1437.15	1769.57	1605.83	3103.19	1277.29	2468.49	981.29	2224.63	3060.45	884.29	2627.46	1457.23	2255.7	2090.03	1183.45	1529.73	656.11	532.74	669.92	363.56	738.29	860.08	532.74	612.11	521.76	397.93	1044.52	480.04	848.22	248.0	896.64	633.73	384.34	547.75	414.87	426.57
SOCS6	133.36	237.86	486.75	86.43	287.01	447.82	293.07	563.18	414.87	234.57	457.25	567.1	327.56	483.38	211.31	285.03	406.31	1417.35	555.41	412.0	341.51	170.25	842.36	444.72	346.29	493.56	470.14	287.01	271.48	733.19	500.46	76.17	555.41	387.02	476.71	460.44	543.96	441.64	947.83	775.05	246.28	551.56	387.02	420.68	197.09	400.71	693.58	406.31	239.52	454.09	387.02	371.22	540.19	267.73	567.1	277.2	466.88	536.45	312.0	181.28	173.85	325.29	189.02	119.26	109.66	103.69	66.18	253.23	128.79	146.03	162.14	220.32	217.27	253.23	68.55	204.07	159.9	120.94	65.26	218.79
SP1	229.72	642.59	642.59	339.14	819.3	1119.56	738.29	1268.46	1135.2	785.88	1023.0	981.29	769.69	1051.79	638.15	1037.29	497.0	1369.04	954.43	698.41	540.19	507.46	1183.45	934.76	698.41	723.08	1159.07	684.02	848.22	1397.83	934.76	281.09	1088.92	813.63	1143.1	842.36	974.5	808.0	981.29	698.41	616.37	1111.82	1051.79	974.5	599.49	995.0	759.08	974.5	647.07	1096.5	620.67	848.22	928.3	878.17	1008.9	679.29	769.69	1388.16	583.07	403.5	660.68	679.29	490.14	420.68	486.75	551.56	336.79	587.13	490.14	460.44	356.05	575.03	583.07	669.92	409.15	764.36	669.92	329.84	208.38	813.63
SPICE1	75.64	159.9	180.02	234.57	208.38	397.93	197.09	384.34	273.37	217.27	299.25	420.68	358.54	224.97	134.3	341.51	189.02	435.55	199.85	156.59	120.1	221.86	438.59	262.2	356.05	206.94	226.54	229.72	318.57	441.64	171.45	167.9	339.14	195.72	281.09	204.07	287.01	273.37	392.44	343.89	147.06	299.25	400.71	320.8	166.73	490.14	320.8	414.87	166.73	316.37	255.0	215.77	221.86	191.67	400.71	373.81	215.77	361.04	119.26	105.89	180.02	206.94	92.7	248.0	118.43	162.14	134.3	205.5	144.01	112.77	76.71	125.24	125.24	191.67	114.36	150.17	111.99	57.89	75.64	131.51
SPOPL	67.59	146.03	117.6	134.3	603.67	1001.93	432.53	947.83	629.35	239.52	567.1	607.87	297.17	521.76	220.32	684.02	197.09	1551.09	457.25	283.05	293.07	181.28	603.67	629.35	483.38	947.83	748.61	289.02	447.82	791.35	579.04	34.75	791.35	432.53	819.3	381.68	371.22	909.17	389.72	343.89	150.17	1023.0	674.59	679.29	353.59	624.99	441.64	392.44	220.32	1216.75	297.17	305.55	595.34	1242.34	713.11	244.57	376.41	921.88	193.01	127.89	334.46	234.57	204.07	151.22	63.89	117.6	85.22	248.0	314.17	164.42	92.05	185.11	229.72	155.5	121.79	223.41	220.32	78.89	70.51	120.94
TBCK	202.66	221.86	361.04	211.31	490.14	503.95	466.88	351.14	318.57	371.22	483.38	429.54	289.02	397.93	249.73	339.14	182.55	759.08	299.25	260.38	204.07	193.01	291.04	507.46	507.46	332.14	368.65	223.41	366.09	563.18	356.05	135.24	567.1	435.55	500.46	256.78	438.59	397.93	500.46	303.44	297.17	540.19	255.0	376.41	334.46	387.02	307.69	669.92	285.03	366.09	198.47	387.02	392.44	366.09	285.03	265.87	320.8	733.19	432.53	417.77	242.88	262.2	211.31	155.5	275.28	221.86	205.5	169.07	165.57	371.22	206.94	329.84	325.29	420.68	173.85	371.22	358.54	175.07	141.02	189.02
THAP6	82.87	107.38	77.25	101.54	262.2	343.89	198.47	285.03	178.77	187.71	346.29	231.32	228.13	301.33	194.36	281.09	147.06	366.09	244.57	177.53	123.5	126.12	218.79	285.03	241.19	221.86	232.94	144.01	241.19	341.51	182.55	87.65	291.04	139.07	363.56	237.86	178.77	305.55	273.37	265.87	114.36	356.05	183.82	318.57	144.01	346.29	281.09	366.09	236.21	289.02	148.09	236.21	249.73	236.21	303.44	141.02	220.32	444.72	248.0	186.4	264.03	248.0	107.38	135.24	112.77	127.89	131.51	108.9	149.12	127.89	332.14	161.02	175.07	148.09	149.12	191.67	144.01	84.63	96.68	159.9
TIGD4	0.4	3.41	1.25	5.45	8.71	23.59	8.38	16.75	8.45	8.58	12.0	18.56	11.04	14.89	9.48	9.27	4.66	16.03	30.34	4.66	6.01	3.56	18.03	13.52	14.03	7.0	10.31	7.22	4.31	16.15	13.42	0.38	13.52	9.13	16.75	3.44	8.0	12.45	5.45	6.21	4.9	11.91	4.94	10.39	6.67	11.13	10.79	19.11	3.08	12.18	3.86	6.73	9.56	2.92	15.45	4.82	5.68	10.47	5.87	5.41	2.48	3.44	2.25	4.03	5.11	3.76	0.97	1.81	2.46	0.83	7.4	4.58	3.89	0.0	1.6	6.06	1.27	1.87	1.31	4.98
TMEM192	115.97	164.42	176.29	190.34	291.04	395.18	376.41	417.77	287.01	336.79	384.34	336.79	379.04	507.46	279.14	392.44	167.9	466.88	454.09	215.77	205.5	82.29	277.2	483.38	180.02	397.93	438.59	246.28	297.17	356.05	463.65	85.82	521.76	318.57	384.34	426.57	339.14	507.46	353.59	351.14	201.25	438.59	231.32	336.79	204.07	312.0	329.84	532.74	226.54	400.71	161.02	269.6	384.34	232.94	463.65	237.86	217.27	769.69	400.71	221.86	231.32	138.1	169.07	100.83	169.07	341.51	159.9	115.16	260.38	180.02	271.48	129.69	299.25	283.05	136.19	242.88	246.28	128.79	131.51	201.25
TMEM241	65.26	159.9	50.98	85.82	647.07	591.22	414.87	733.19	555.41	447.82	591.22	450.94	587.13	555.41	470.14	426.57	660.68	854.13	651.58	293.07	224.97	253.23	420.68	698.41	466.88	450.94	684.02	406.31	698.41	764.36	547.75	134.3	698.41	318.57	620.67	603.67	438.59	387.02	665.29	366.09	120.94	642.59	713.11	642.59	287.01	447.82	438.59	536.45	318.57	532.74	231.32	429.54	376.41	753.83	624.99	400.71	412.0	620.67	497.0	72.52	120.1	305.55	123.5	202.66	103.69	103.69	105.89	189.02	177.53	90.14	139.07	100.83	281.09	132.44	244.57	228.13	154.42	142.01	140.04	66.18
TRAPPC11	209.84	314.17	327.56	256.78	447.82	571.05	387.02	473.41	384.34	417.77	480.04	493.56	371.22	503.95	371.22	389.72	256.78	612.11	420.68	295.11	341.51	255.0	417.77	414.87	395.18	409.15	447.82	332.14	356.05	607.87	389.72	214.27	603.67	397.93	521.76	473.41	409.15	525.39	435.55	361.04	318.57	500.46	295.11	392.44	329.84	447.82	346.29	647.07	392.44	463.65	287.01	387.02	460.44	283.05	490.14	329.84	406.31	616.37	341.51	341.51	409.15	373.81	246.28	172.65	273.37	351.14	260.38	249.73	187.71	205.5	334.46	341.51	295.11	279.14	176.29	395.18	339.14	197.09	305.55	173.85
TRMT10A	29.06	40.36	61.68	74.06	150.17	189.02	148.09	156.59	166.73	80.01	269.6	138.1	143.01	146.03	111.21	163.28	70.01	289.02	180.02	57.08	100.13	84.04	117.6	182.55	134.3	105.89	139.07	77.79	92.7	269.6	111.21	42.11	277.2	99.43	136.19	123.5	208.38	189.02	215.77	166.73	59.97	205.5	148.09	142.01	90.77	242.88	137.14	220.32	102.25	239.52	74.58	136.19	123.5	145.02	201.25	103.69	127.89	204.07	75.11	79.45	98.73	75.11	33.78	67.59	53.19	53.57	50.27	35.0	24.63	60.82	23.25	74.58	76.71	95.34	45.53	48.87	48.52	39.5	63.45	100.83
TTC30A	14.78	49.56	33.3	19.25	158.79	293.07	95.34	206.94	103.69	99.43	201.25	209.84	58.71	116.78	143.01	140.04	74.06	273.37	152.28	52.82	64.8	33.3	232.94	165.57	129.69	94.67	96.68	118.43	134.3	228.13	197.09	18.03	256.78	98.73	212.78	159.9	152.28	152.28	194.36	98.04	42.41	185.11	180.02	208.38	57.08	217.27	182.55	201.25	129.69	242.88	109.66	86.43	97.36	93.35	181.28	69.52	58.71	197.09	71.5	117.6	21.16	28.65	49.21	28.04	38.12	60.39	19.53	32.59	19.11	33.78	123.5	76.71	47.5	38.4	27.05	37.59	68.07	15.8	33.78	60.82
TTC30B	14.78	63.0	32.36	34.51	185.11	283.05	123.5	177.53	133.36	123.5	307.69	133.36	86.43	92.7	90.14	147.06	90.14	285.03	171.45	59.55	59.13	53.95	193.01	158.79	144.01	155.5	111.99	82.29	127.89	217.27	159.9	19.53	180.02	115.97	186.4	129.69	156.59	161.02	180.02	95.34	57.49	223.41	161.02	204.07	80.01	127.89	187.71	142.01	146.03	147.06	138.1	136.19	96.68	115.16	143.01	52.45	87.65	258.57	123.5	118.43	25.35	34.75	45.85	44.57	70.01	87.03	15.0	44.89	31.67	37.59	114.36	71.5	49.91	48.18	39.79	37.59	68.07	57.49	26.1	86.43
TTC8	190.34	287.01	145.02	384.34	1030.12	1066.48	674.59	995.0	473.41	457.25	490.14	660.68	595.34	547.75	426.57	866.07	193.01	928.3	1066.48	450.94	363.56	256.78	759.08	426.57	785.88	693.58	536.45	497.0	450.94	660.68	450.94	147.06	616.37	567.1	450.94	507.46	633.73	571.05	500.46	616.37	473.41	629.35	723.08	423.61	395.18	656.11	599.49	1015.93	848.22	579.04	193.01	607.87	444.72	647.07	728.11	563.18	551.56	1233.75	1175.27	595.34	387.02	483.38	234.57	429.54	231.32	283.05	325.29	285.03	291.04	201.25	669.92	287.01	285.03	320.8	275.28	343.89	212.78	163.28	289.02	559.28
TWF1	665.29	1208.34	780.44	808.0	2032.85	1721.16	1427.22	1447.15	1769.57	1561.89	1883.54	1709.26	1001.93	1662.49	1059.11	1477.58	848.22	2777.33	1721.16	1519.15	848.22	1378.57	2502.97	1135.2	1508.65	2193.99	1651.0	1167.14	1477.58	1870.53	1721.16	529.06	2047.0	1794.29	1519.15	1340.84	2104.58	2682.69	1923.14	1498.22	1081.39	1745.2	1844.76	1697.45	1628.26	1794.29	2004.85	2400.97	1183.45	1639.59	1096.5	1447.15	1561.89	1331.57	2104.58	1127.35	1685.71	1388.16	1199.98	1208.34	1208.34	1594.73	769.69	748.61	723.08	1350.18	808.0	1340.84	2148.82	1183.45	1397.83	1295.13	1388.16	928.3	457.25	1001.93	1397.83	854.13	703.28	934.76
UEVLD	87.03	208.38	79.45	187.71	454.09	587.13	312.0	463.65	476.71	316.37	444.72	529.06	309.83	669.92	185.11	656.11	177.53	493.56	708.18	361.04	180.02	234.57	559.28	417.77	346.29	480.04	493.56	260.38	376.41	642.59	529.06	113.56	314.17	351.14	480.04	371.22	457.25	780.44	417.77	343.89	101.54	629.35	470.14	575.03	246.28	356.05	612.11	532.74	265.87	551.56	273.37	366.09	389.72	228.13	511.0	220.32	368.65	688.78	334.46	256.78	244.57	291.04	242.88	190.34	119.26	148.09	176.29	256.78	285.03	231.32	224.97	293.07	262.2	341.51	161.02	265.87	293.07	88.26	136.19	228.13
UHRF1BP1L	176.29	189.02	215.77	111.99	232.94	327.56	180.02	348.71	395.18	291.04	314.17	285.03	224.97	417.77	320.8	358.54	275.28	460.44	228.13	271.48	181.28	113.56	493.56	275.28	199.85	381.68	373.81	244.57	303.44	346.29	316.37	138.1	392.44	285.03	371.22	412.0	299.25	329.84	429.54	275.28	212.78	379.04	221.86	305.55	244.57	616.37	279.14	305.55	226.54	334.46	217.27	212.78	316.37	287.01	353.59	220.32	293.07	327.56	151.22	155.5	229.72	187.71	234.57	154.42	122.64	303.44	161.02	173.85	182.55	171.45	234.57	180.02	204.07	262.2	198.47	244.57	187.71	95.34	124.37	132.44
WDR11	251.48	412.0	256.78	323.03	490.14	764.36	559.28	624.99	470.14	435.55	620.67	563.18	511.0	511.0	384.34	483.38	264.03	733.19	612.11	339.14	423.61	358.54	890.44	579.04	423.61	656.11	518.15	429.54	575.03	764.36	463.65	297.17	571.05	366.09	470.14	397.93	583.07	466.88	511.0	532.74	514.56	563.18	500.46	547.75	285.03	698.41	466.88	733.19	371.22	656.11	423.61	591.22	521.76	438.59	511.0	444.72	500.46	1015.93	587.13	376.41	738.29	536.45	325.29	444.72	332.14	379.04	368.65	595.34	384.34	185.11	384.34	376.41	435.55	733.19	525.39	669.92	547.75	329.84	400.71	279.14
WDR20	172.65	264.03	231.32	251.48	473.41	503.95	429.54	483.38	406.31	423.61	373.81	379.04	339.14	450.94	346.29	392.44	183.82	529.06	457.25	1540.37	368.65	253.23	348.71	320.8	466.88	490.14	389.72	293.07	267.73	480.04	392.44	177.53	490.14	316.37	281.09	351.14	381.68	389.72	332.14	297.17	334.46	403.5	379.04	500.46	379.04	521.76	381.68	457.25	409.15	466.88	223.41	480.04	420.68	376.41	397.93	301.33	426.57	642.59	318.57	279.14	273.37	299.25	231.32	305.55	224.97	237.86	191.67	285.03	441.64	206.94	454.09	312.0	318.57	248.0	136.19	314.17	237.86	237.86	215.77	307.69
YTHDC1	529.06	813.63	764.36	679.29	1127.35	1498.22	1167.14	1295.13	1304.15	1030.12	1286.18	1268.46	1277.29	1529.73	1008.9	1183.45	708.18	1745.2	1350.18	830.75	848.22	928.3	1023.0	1250.98	947.83	1030.12	1268.46	813.63	1023.0	1794.29	941.27	547.75	1369.04	934.76	1498.22	961.07	1096.5	1127.35	1175.27	1088.92	890.44	1417.35	988.12	1216.75	830.75	1685.71	1225.22	1437.15	1066.48	1369.04	934.76	1151.06	1208.34	808.0	1242.34	995.0	1199.98	1697.45	878.17	1175.27	928.3	1111.82	733.19	738.29	718.08	447.82	718.08	642.59	1127.35	860.08	854.13	769.69	813.63	559.28	785.88	1159.07	947.83	583.07	567.1	941.27
ZCCHC4	50.98	100.83	70.01	118.43	120.94	141.02	115.16	85.82	111.99	121.79	142.01	118.43	125.24	125.24	78.34	139.07	61.25	115.16	177.53	76.71	108.14	57.49	121.79	177.53	144.01	133.36	128.79	88.26	78.34	181.28	87.03	71.5	125.24	112.77	154.42	121.79	95.34	126.12	153.34	129.69	101.54	136.19	113.56	138.1	113.56	142.01	98.04	197.09	91.41	128.79	105.89	92.7	132.44	82.29	166.73	113.56	115.16	206.94	262.2	94.01	143.01	92.05	72.52	97.36	69.52	89.51	87.65	111.21	75.64	62.56	162.14	121.79	124.37	106.63	81.14	115.97	82.87	52.82	52.08	140.04
ZDHHC6	486.75	567.1	381.68	406.31	825.0	703.28	665.29	684.02	684.02	836.53	743.43	665.29	866.07	595.34	543.96	638.15	480.04	961.07	679.29	591.22	743.43	518.15	842.36	503.95	791.35	878.17	642.59	406.31	830.75	848.22	872.1	466.88	764.36	620.67	974.5	599.49	961.07	616.37	743.43	703.28	775.05	791.35	603.67	612.11	759.08	575.03	708.18	1191.69	638.15	629.35	915.51	743.43	638.15	656.11	738.29	403.5	769.69	915.51	698.41	447.82	688.78	514.56	341.51	567.1	454.09	656.11	543.96	466.88	343.89	429.54	511.0	493.56	647.07	507.46	358.54	633.73	454.09	497.0	656.11	389.72
ZFP14	17.9	44.57	39.79	47.84	88.88	132.44	85.82	103.69	71.0	75.64	127.0	88.88	94.67	119.26	78.89	106.63	46.18	187.71	162.14	74.06	63.0	32.59	137.14	103.69	87.65	163.28	95.34	56.28	72.52	201.25	70.01	31.0	120.94	76.71	117.6	54.33	93.35	142.01	111.21	39.5	57.49	124.37	118.43	87.03	63.89	118.43	98.73	175.07	57.89	162.14	44.57	71.5	98.04	105.89	122.64	88.26	98.04	171.45	87.65	41.81	43.32	41.22	17.13	23.76	40.93	41.52	23.42	40.36	32.82	13.93	74.06	54.72	53.95	24.46	43.02	47.17	51.35	22.92	47.17	39.22
ZNF141	42.41	85.22	74.58	108.14	118.43	167.9	115.97	90.77	133.36	92.05	229.72	137.14	204.07	135.24	89.51	167.9	60.82	187.71	195.72	95.34	130.6	44.57	178.77	170.25	149.12	163.28	133.36	85.82	161.02	323.03	85.22	102.25	152.28	106.63	193.01	92.05	111.21	127.89	133.36	77.25	72.01	221.86	155.5	193.01	97.36	169.07	80.01	208.38	111.99	220.32	165.57	163.28	124.37	84.63	211.31	181.28	118.43	224.97	185.11	124.37	96.68	57.89	48.87	55.1	60.39	118.43	43.02	78.89	90.14	35.5	199.85	136.19	151.22	119.26	307.69	135.24	84.04	92.05	84.63	58.3
