	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYS.1626.SM.5J2MU	GTEX.OOBK.0526.SM.2HMJJ	GTEX.12WSI.0826.SM.5EGKD	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.12WSD.0826.SM.5GCNE	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.U8T8.2226.SM.3DB95	GTEX.X5EB.0426.SM.46MVY	GTEX.S7SE.0926.SM.2XCD6	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.147F4.0926.SM.5Q5EO	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X4XX.1026.SM.4QARO	GTEX.111CU.0326.SM.5GZXO	GTEX.13O61.0726.SM.5J2MD	GTEX.111FC.1126.SM.5GZWU	GTEX.QDVJ.0926.SM.2I5FU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.RWSA.1126.SM.2XCAZ	GTEX.13YAN.1026.SM.5O9CF	GTEX.12696.1026.SM.5FQUV	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11EMC.0126.SM.5EGKV	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.13N2G.0826.SM.5IJE6	GTEX.1497J.0326.SM.5Q5CN	GTEX.P4QS.0526.SM.2I3ET	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.QESD.0626.SM.2I5G4	GTEX.ZE7O.0826.SM.57WCP	GTEX.132QS.0726.SM.5IJE9	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZUA1.1026.SM.4YCEA	GTEX.146FQ.0926.SM.5LUAV	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.111VG.0726.SM.5GIDC	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.OIZH.0526.SM.2HMKV	GTEX.11WQK.1226.SM.5GU5Z	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.11ZTT.0626.SM.5EQLM	GTEX.13FH7.1726.SM.5IJE7	GTEX.ZYWO.0826.SM.5E45W	GTEX.1399U.0826.SM.5KM1P	GTEX.RUSQ.0626.SM.2TF5V	GTEX.X4EP.0526.SM.3P5YW	GTEX.11OF3.1126.SM.5986C	GTEX.RM2N.0426.SM.2TF4T	GTEX.144GO.0226.SM.5LUB1
TEKT3	0.0	0.01	19.25	62.56	206.94	830.75	159.9	325.29	116.78	7.28	74.58	279.14	248.0	63.45	258.57	217.27	20.71	101.54	126.12	120.94	13.93	93.35	162.14	108.9	209.84	28.65	37.05	139.07	83.45	15.22	145.02	212.78	49.21	164.42	52.82	303.44	118.43	71.5	521.76	38.95	470.14	43.02	86.43	137.14	277.2	177.53	212.78	373.81	220.32	285.03	82.29	28.65	15.56	237.86	226.54	281.09	64.8	51.71	150.17	23.76	47.84	56.28	21.78	45.21
TMEM107	0.0	0.21	638.15	264.03	693.58	2018.8	312.0	647.07	493.56	139.07	638.15	540.19	961.07	633.73	616.37	1059.11	120.94	218.79	490.14	387.02	118.43	483.38	819.3	454.09	819.3	175.07	432.53	547.75	497.0	309.83	896.64	947.83	679.29	587.13	525.39	679.29	819.3	860.08	1216.75	97.36	1561.89	271.48	384.34	540.19	423.61	854.13	808.0	1143.1	616.37	1119.56	587.13	547.75	215.77	974.5	941.27	1277.29	688.78	579.04	575.03	412.0	483.38	114.36	301.33	281.09
TMEM14A	0.0	0.22	612.11	297.17	429.54	1477.58	193.01	703.28	587.13	89.51	947.83	220.32	540.19	808.0	791.35	802.41	114.36	111.99	89.51	647.07	285.03	603.67	995.0	543.96	647.07	239.52	279.14	718.08	738.29	204.07	483.38	769.69	316.37	669.92	518.15	842.36	775.05	551.56	890.44	125.24	1561.89	395.18	358.54	547.75	884.29	1015.93	718.08	583.07	1015.93	1369.04	616.37	595.34	112.77	536.45	909.17	1001.93	769.69	555.41	591.22	204.07	173.85	287.01	559.28	218.79
TMEM14B	0.0	0.72	1023.0	1963.57	2178.83	3982.99	1242.34	2047.0	2520.38	830.75	2351.53	1832.01	1870.53	3303.0	1909.85	2573.36	679.29	1175.27	1697.45	1551.09	1697.45	2090.03	2816.11	1963.57	1936.53	1250.98	1350.18	2816.11	2287.2	1407.55	1639.59	2133.97	1350.18	2468.49	1628.26	3039.3	2047.0	1806.78	3325.99	1519.15	5366.37	1857.6	1697.45	2178.83	2004.85	2573.36	2119.22	3124.78	1870.53	3443.31	2384.37	1963.57	941.27	1477.58	3212.66	2796.65	2701.35	2075.59	1936.53	995.0	1617.0	587.13	1721.16	521.76
TMEM17	0.0	0.0	36.27	47.84	70.01	211.31	42.71	85.82	90.77	11.3	107.38	75.11	134.3	62.12	115.16	96.68	13.62	37.85	38.67	56.28	21.16	88.26	114.36	92.05	108.9	41.52	52.82	67.12	96.68	25.35	49.91	135.24	45.21	92.7	68.07	214.27	138.1	92.05	232.94	28.45	232.94	46.84	67.59	55.89	93.35	91.41	88.88	167.9	88.88	187.71	78.89	80.57	20.26	69.52	176.29	195.72	93.35	80.01	121.79	26.86	28.24	31.9	72.01	5.63
TMEM212	0.0	0.0	89.51	67.12	90.14	713.11	99.43	134.3	132.44	0.0	220.32	232.94	253.23	198.47	194.36	111.99	4.82	88.88	127.0	135.24	7.34	76.71	239.52	105.15	285.03	14.03	49.56	118.43	169.07	0.0	224.97	305.55	140.04	271.48	54.72	244.57	228.13	85.82	480.04	18.03	476.71	34.75	92.7	118.43	277.2	285.03	170.25	432.53	194.36	503.95	133.36	74.58	0.0	269.6	392.44	518.15	187.71	84.04	135.24	53.57	28.86	0.0	62.12	12.18
TSPAN6	0.0	0.37	713.11	124.37	764.36	1819.35	633.73	525.39	466.88	72.01	426.57	423.61	1030.12	656.11	961.07	848.22	397.93	209.84	395.18	423.61	441.64	323.03	802.41	514.56	974.5	748.61	1447.15	878.17	493.56	281.09	583.07	791.35	358.54	629.35	307.69	791.35	521.76	629.35	1225.22	205.5	1250.98	201.25	392.44	447.82	1477.58	470.14	688.78	1529.73	665.29	1519.15	607.87	256.78	129.69	591.22	830.75	1794.29	493.56	348.71	896.64	193.01	187.71	267.73	587.13	170.25
TTLL1	0.0	0.0	165.57	177.53	162.14	476.71	83.45	226.54	209.84	31.9	260.38	137.14	231.32	277.2	231.32	336.79	64.8	88.88	99.43	153.34	67.59	218.79	295.11	202.66	248.0	62.56	175.07	190.34	209.84	86.43	181.28	346.29	202.66	197.09	169.07	242.88	194.36	223.41	371.22	49.56	389.72	92.05	224.97	189.02	307.69	236.21	301.33	265.87	155.5	323.03	244.57	223.41	48.18	193.01	281.09	301.33	169.07	177.53	178.77	123.5	114.36	40.64	123.5	29.06
VILL	0.0	0.44	500.46	194.36	373.81	2104.58	323.03	493.56	320.8	50.63	480.04	854.13	854.13	1111.82	329.84	435.55	22.59	106.63	555.41	473.41	80.01	201.25	595.34	301.33	1844.76	66.18	162.14	400.71	267.73	43.32	373.81	665.29	403.5	177.53	447.82	376.41	493.56	299.25	1001.93	64.8	1870.53	47.84	175.07	323.03	1044.52	595.34	642.59	825.0	166.73	1508.65	525.39	301.33	204.07	334.46	854.13	624.99	339.14	607.87	420.68	88.26	154.42	6.78	134.3	64.8
WBSCR28	0.0	0.0	6.67	2.81	18.7	113.56	8.19	30.56	14.45	0.0	16.27	33.54	8.51	20.41	26.86	18.84	12.0	17.64	30.34	7.88	2.73	22.59	38.4	5.77	39.5	0.0	2.94	7.57	9.63	0.0	33.78	31.45	19.68	14.24	5.73	41.22	22.59	0.0	24.46	0.0	107.38	5.45	13.32	17.51	19.39	24.63	3.0	31.67	28.65	132.44	6.73	4.17	0.0	67.12	51.35	62.12	8.0	9.63	14.78	0.0	0.0	0.0	2.94	0.0
WDR93	0.0	0.0	37.85	36.53	82.29	258.57	55.49	82.29	51.71	4.21	69.03	123.5	139.07	63.0	114.36	80.57	4.31	38.4	77.25	98.04	2.89	60.82	79.45	47.17	100.83	14.56	21.01	50.98	48.52	3.11	56.28	98.04	68.07	110.43	21.94	105.89	78.34	43.02	244.57	26.1	228.13	19.97	40.07	57.49	142.01	74.58	71.0	164.42	169.07	139.07	73.03	26.86	5.73	129.69	152.28	130.6	56.28	48.18	66.18	18.03	11.91	4.17	19.39	11.13
WFDC6	0.0	0.0	30.56	47.17	105.89	591.22	127.89	145.02	109.66	0.0	69.52	269.6	112.77	123.5	206.94	128.79	0.0	38.12	45.53	34.51	0.0	105.89	205.5	22.59	100.13	17.51	24.46	85.22	120.94	0.0	108.14	164.42	176.29	50.27	13.12	81.14	204.07	123.5	376.41	36.27	470.14	15.91	10.47	100.13	283.05	93.35	123.5	148.09	147.06	343.89	58.3	49.56	0.0	209.84	147.06	297.17	35.5	30.34	212.78	24.11	15.34	18.56	17.51	21.01
WRB	0.0	0.4	733.19	525.39	651.58	2335.28	500.46	703.28	769.69	166.73	1008.9	954.43	1191.69	1030.12	1081.39	819.3	281.09	490.14	854.13	769.69	255.0	612.11	1551.09	759.08	967.76	154.42	493.56	723.08	884.29	332.14	1037.29	878.17	684.02	1331.57	723.08	1066.48	1191.69	642.59	1457.23	283.05	1832.01	555.41	738.29	713.11	1191.69	947.83	764.36	1417.35	1313.23	1674.06	967.76	866.07	312.0	1250.98	1936.53	1561.89	1037.29	1023.0	872.1	775.05	423.61	262.2	651.58	265.87
WWP2	0.0	0.57	733.19	1023.0	860.08	2555.58	486.75	1457.23	796.86	483.38	1477.58	1561.89	1832.01	1313.23	909.17	1199.98	218.79	764.36	1175.27	884.29	616.37	1175.27	1037.29	896.64	1081.39	872.1	813.63	1277.29	1119.56	387.02	974.5	1216.75	1135.2	1397.83	1111.82	1447.15	921.88	1127.35	1159.07	909.17	2271.4	825.0	1127.35	909.17	1467.37	1662.49	1397.83	961.07	1059.11	813.63	1127.35	1322.37	599.49	1457.23	1467.37	1143.1	974.5	1001.93	1030.12	679.29	723.08	244.57	791.35	293.07
ZC2HC1A	0.0	0.16	217.27	157.68	264.03	941.27	181.28	373.81	242.88	38.4	718.08	237.86	397.93	525.39	409.15	287.01	123.5	93.35	194.36	236.21	110.43	309.83	753.83	291.04	325.29	186.4	218.79	366.09	698.41	85.22	248.0	420.68	236.21	507.46	86.43	476.71	480.04	329.84	480.04	78.89	819.3	220.32	234.57	293.07	547.75	476.71	312.0	518.15	295.11	532.74	441.64	303.44	64.34	616.37	540.19	483.38	198.47	171.45	366.09	173.85	107.38	63.0	248.0	88.88
ZCWPW1	0.0	0.37	108.14	107.38	77.25	361.04	84.04	269.6	154.42	33.54	208.38	214.27	237.86	229.72	232.94	194.36	79.45	50.63	28.65	145.02	54.72	237.86	275.28	99.43	348.71	96.68	146.03	167.9	142.01	44.89	180.02	305.55	106.63	149.12	77.25	119.26	170.25	194.36	389.72	27.05	583.07	83.45	108.14	209.84	239.52	110.43	172.65	137.14	205.5	221.86	226.54	178.77	20.26	234.57	265.87	169.07	88.88	136.19	281.09	85.82	48.87	33.06	128.79	73.03
ZNF135	0.0	0.38	34.75	27.25	27.84	500.46	21.16	136.19	51.35	6.52	55.49	65.26	115.16	107.38	63.45	191.67	2.94	5.77	31.9	29.48	17.9	86.43	269.6	71.5	111.99	19.11	34.75	94.01	57.89	8.25	95.34	97.36	8.85	118.43	50.27	113.56	92.05	112.77	138.1	27.44	307.69	30.34	139.07	78.89	57.89	151.22	135.24	31.45	31.22	186.4	105.15	77.79	14.03	127.0	158.79	134.3	42.71	46.18	35.0	40.93	46.84	3.92	61.68	2.71
ZNF428	351.14	1709.26	718.08	684.02	902.89	1697.45	341.51	1088.92	1233.75	460.44	896.64	1001.93	1143.1	708.18	1208.34	1216.75	417.77	454.09	297.17	848.22	470.14	967.76	728.11	688.78	896.64	423.61	638.15	848.22	463.65	397.93	728.11	836.53	432.53	583.07	684.02	928.3	842.36	1104.13	1081.39	389.72	1628.26	473.41	743.43	1051.79	1487.87	954.43	1159.07	759.08	878.17	896.64	988.12	532.74	303.44	514.56	1081.39	961.07	703.28	642.59	748.61	361.04	575.03	303.44	507.46	136.19
ZNF474	0.0	0.0	48.52	72.01	119.26	551.56	140.04	113.56	81.71	10.63	148.09	223.41	202.66	94.67	136.19	76.17	16.63	89.51	134.3	71.0	10.79	49.56	136.19	84.63	128.79	10.16	45.21	76.17	128.79	7.06	61.68	163.28	92.05	120.1	19.68	186.4	141.02	57.89	211.31	79.45	447.82	26.1	73.03	41.52	181.28	134.3	152.28	336.79	149.12	231.32	87.65	59.97	11.47	113.56	279.14	211.31	108.9	143.01	77.25	60.82	20.11	12.45	33.78	26.28
ZNF491	0.0	0.15	21.78	17.25	12.93	82.87	7.17	24.11	17.64	11.47	37.05	23.59	61.25	49.21	28.65	53.57	1.6	5.36	17.38	11.13	8.0	35.5	36.79	21.78	52.82	6.36	25.35	61.68	24.28	6.06	36.27	60.82	23.76	44.25	13.03	33.78	46.18	30.56	56.68	10.47	109.66	11.04	24.63	16.75	13.93	34.75	29.06	8.51	9.78	29.7	28.45	32.59	3.66	38.12	30.56	56.68	19.53	30.78	40.64	7.82	14.35	0.99	33.06	3.63
ZNF625-ZNF20	0.0	0.06	53.19	40.36	55.1	211.31	20.11	57.08	46.18	24.28	34.75	66.18	88.88	127.89	45.21	127.89	23.59	38.67	57.89	70.01	32.36	45.85	72.52	48.87	157.68	24.99	27.44	79.45	73.03	19.39	61.25	98.73	37.59	50.63	50.98	127.0	89.51	35.5	47.5	55.89	220.32	32.82	100.83	1.28	60.82	36.53	35.5	8.32	47.84	122.64	81.14	79.45	15.56	33.78	88.88	72.52	42.41	63.45	86.43	38.95	43.63	18.03	80.01	20.56
