	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Q2AG.0826.SM.2HMKF	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.12ZZY.0826.SM.5EQMT	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX
OPHN1	24.99	16.03	36.53	48.18	19.97	32.82	37.85	52.45	38.95	33.54	20.11	37.05	20.56	42.11	32.59	17.38	33.06	27.64	41.81	16.27	20.26	38.12	25.17	18.97	28.65	41.52	41.52	38.67	41.81	15.22	26.28	41.22	49.91	35.5	34.51	31.67	112.77	164.42	62.56	122.64	100.13	48.18	51.35	98.04	78.34	50.27	62.56	50.27	85.82	132.44	51.71	85.82	87.03	99.43	46.5	87.03	127.0	84.63	99.43	48.18	88.88	85.82	95.34	75.11	98.04	76.71	162.14	85.22	62.56	113.56	87.03	79.45	100.13	75.11	107.38	68.55	127.89	123.5	44.89	46.18	69.03	98.73	105.15	66.65	120.1	65.26	105.15	61.25	105.15	67.59	102.97	48.18	48.18	47.5	70.01	80.57	105.89	60.39	34.02	76.17	91.41	57.08	84.63	109.66
PACRG	17.9	24.99	6.46	23.42	22.1	17.77	13.62	9.85	15.45	11.64	25.35	27.25	24.81	10.63	24.28	21.47	13.42	12.0	26.28	52.45	48.18	16.51	51.71	16.88	6.16	30.78	9.34	25.91	52.08	6.46	14.35	40.64	26.28	35.5	26.1	32.59	48.18	117.6	180.02	136.19	52.45	64.8	24.99	104.42	103.69	7.75	71.0	66.18	84.04	50.98	56.68	69.52	98.04	108.14	22.43	44.89	64.8	102.25	40.93	53.95	130.6	224.97	42.71	39.5	67.59	99.43	123.5	127.0	101.54	157.68	15.34	167.9	85.82	61.25	87.65	34.51	187.71	155.5	29.91	58.71	75.11	100.13	121.79	67.12	79.45	44.89	113.56	73.03	140.04	76.17	44.57	47.84	66.65	28.24	105.15	41.52	52.08	36.01	33.78	70.51	226.54	36.79	170.25	145.02
PAK7	0.0	0.0	0.0	0.45	0.14	0.2	0.22	0.82	0.49	0.0	0.0	0.0	0.0	0.19	0.0	0.55	0.13	0.12	0.0	0.0	0.0	0.0	0.42	0.49	0.19	0.15	0.92	0.14	0.47	0.0	0.0	0.0	1.14	0.14	0.0	0.14	0.0	2.36	1.11	2.71	1.17	0.75	2.34	2.27	1.17	0.78	2.27	0.0	1.11	4.5	2.01	1.95	1.97	1.11	1.17	0.0	1.85	2.32	3.08	1.91	2.68	1.58	2.48	1.19	3.44	1.95	3.08	3.76	0.0	4.9	1.17	0.0	2.84	0.0	1.87	1.58	1.87	1.58	1.23	1.5	0.75	1.11	1.5	1.16	1.97	3.08	1.17	0.0	1.17	1.2	0.75	1.1	0.78	0.0	2.73	2.78	1.5	0.73	1.48	1.87	1.51	0.77	1.89	2.23
PAPSS2	96.01	22.43	37.85	40.07	38.12	66.18	80.01	16.88	96.68	86.43	37.05	57.49	23.25	25.17	34.75	45.21	113.56	159.9	49.21	42.71	84.63	208.38	132.44	35.5	43.32	51.35	26.47	92.7	152.28	53.19	25.91	27.64	75.11	117.6	43.32	49.21	954.43	500.46	412.0	1769.57	638.15	728.11	248.0	733.19	974.5	277.2	974.5	59.13	607.87	1467.37	995.0	674.59	848.22	293.07	323.03	612.11	607.87	934.76	348.71	267.73	521.76	612.11	406.31	463.65	463.65	490.14	684.02	830.75	796.86	669.92	567.1	603.67	1030.12	595.34	412.0	486.75	1340.84	441.64	432.53	708.18	656.11	769.69	226.54	224.97	441.64	373.81	583.07	1096.5	775.05	1331.57	325.29	291.04	426.57	1111.82	503.95	713.11	256.78	237.86	201.25	287.01	854.13	595.34	748.61	426.57
PBX4	152.28	53.57	109.66	318.57	149.12	167.9	185.11	341.51	118.43	291.04	142.01	212.78	167.9	70.01	246.28	220.32	363.56	409.15	327.56	256.78	228.13	371.22	264.03	140.04	205.5	153.34	92.05	438.59	379.04	90.77	575.03	320.8	173.85	327.56	102.25	309.83	713.11	1151.06	1008.9	738.29	1991.0	563.18	825.0	915.51	1331.57	376.41	902.89	1583.71	1378.57	379.04	638.15	921.88	1857.6	2468.49	2090.03	559.28	2178.83	507.46	848.22	429.54	738.29	1167.14	748.61	480.04	2163.77	1721.16	1467.37	884.29	2224.63	954.43	902.89	1183.45	567.1	1304.15	1286.18	483.38	525.39	2018.8	878.17	1529.73	1259.69	1268.46	769.69	1508.65	1733.13	543.96	796.86	836.53	1651.0	314.17	529.06	1457.23	796.86	339.14	2061.24	476.71	2209.26	1127.35	500.46	1991.0	1331.57	518.15	866.07	1313.23
PCDH9	6.84	9.41	2.16	4.1	5.19	2.94	1.57	1.35	0.64	3.26	4.94	2.32	2.56	1.45	1.38	7.69	0.92	4.62	1.85	3.53	3.11	1.31	1.87	1.36	0.0	6.11	2.92	11.82	2.97	8.65	1.85	2.32	3.92	9.78	1.53	4.39	43.94	16.51	16.39	111.21	41.22	33.06	33.3	48.52	67.59	0.0	46.84	8.06	32.36	88.26	4.58	11.73	32.82	44.89	5.82	55.49	11.55	43.94	35.25	20.71	39.79	75.64	58.71	9.93	64.8	43.63	167.9	67.12	19.25	65.26	12.09	61.25	66.18	16.75	54.72	66.65	177.53	115.97	2.76	18.56	57.49	16.75	47.5	21.01	83.45	33.3	18.43	28.65	18.84	101.54	27.05	4.74	15.34	26.28	19.82	63.89	56.28	24.99	5.5	37.85	40.36	21.63	18.43	108.9
PCNP	1991.0	1508.65	2720.15	2485.67	2417.67	2224.63	2148.82	2434.5	2502.97	2287.2	1674.06	2047.0	2255.7	2133.97	2502.97	2090.03	1295.13	1331.57	2178.83	1733.13	1819.35	1870.53	1594.73	1844.76	1936.53	2485.67	2935.74	2193.99	2163.77	2047.0	1059.11	2701.35	2434.5	2047.0	2090.03	1143.1	2976.74	3124.78	3060.45	3874.05	2720.15	2384.37	1991.0	3060.45	2271.4	2047.0	4268.94	2627.46	3168.41	3564.78	2434.5	2645.74	3018.3	3564.78	2004.85	2271.4	2835.7	2682.69	2133.97	1709.26	3349.13	2400.97	2609.3	1844.76	2645.74	2895.31	3443.31	3742.05	3540.14	3146.52	2335.28	3081.75	2855.44	2468.49	3190.46	2255.7	3874.05	3395.89	1769.57	3515.68	2255.7	4010.71	3982.99	2451.44	2895.31	1991.0	2351.53	2591.27	2537.92	2645.74	2664.15	2255.7	2367.9	2090.03	2271.4	2032.85	2720.15	3564.78	3874.05	2502.97	3303.0	2335.28	3168.41	3039.3
PGRMC1	2451.44	2119.22	2209.26	2119.22	2119.22	2047.0	2075.59	2224.63	1950.0	1870.53	2400.97	1662.49	2163.77	2090.03	1991.0	1498.22	1259.69	1519.15	2417.67	1745.2	2400.97	1757.34	2502.97	2004.85	1651.0	2417.67	1909.85	1909.85	2090.03	2075.59	2075.59	2240.11	2240.11	1745.2	1639.59	1119.56	2400.97	2163.77	3303.0	4671.57	2645.74	2240.11	1923.14	4038.61	2061.24	1369.04	4736.79	2682.69	2485.67	3395.89	2417.67	2468.49	2739.08	2417.67	1721.16	1909.85	2720.15	2502.97	1963.57	1733.13	3665.02	2367.9	2976.74	2104.58	3212.66	3103.19	2520.38	3820.7	3443.31	3235.01	2502.97	3372.43	3280.18	2163.77	3820.7	2609.3	4671.57	2591.27	1322.37	3874.05	2240.11	4152.18	3955.48	2701.35	2468.49	1977.24	2240.11	2468.49	2224.63	2335.28	2758.13	2537.92	2335.28	2468.49	2855.44	1819.35	2417.67	2976.74	2061.24	2682.69	3794.3	2178.83	2682.69	3018.3
PHF10	723.08	633.73	759.08	878.17	954.43	941.27	902.89	915.51	934.76	802.41	988.12	842.36	928.3	470.14	802.41	802.41	921.88	656.11	723.08	915.51	808.0	947.83	713.11	518.15	785.88	896.64	884.29	902.89	934.76	928.3	384.34	1037.29	967.76	848.22	647.07	764.36	1359.57	1277.29	1104.13	1322.37	1259.69	808.0	961.07	1096.5	1143.1	941.27	1477.58	1331.57	1208.34	1551.09	842.36	1066.48	1225.22	1151.06	848.22	1073.91	1350.18	1023.0	974.5	836.53	1119.56	921.88	988.12	1111.82	1437.15	1104.13	1407.55	1437.15	1151.06	1208.34	1119.56	1015.93	1331.57	1143.1	1111.82	878.17	1662.49	1151.06	616.37	1175.27	981.29	1242.34	1286.18	1001.93	1208.34	961.07	1037.29	981.29	1331.57	1242.34	1096.5	896.64	921.88	854.13	947.83	1059.11	1104.13	1225.22	1313.23	1096.5	1304.15	1059.11	1119.56	1183.45
PLA2R1	64.8	52.82	42.71	191.67	53.95	297.17	108.14	221.86	244.57	100.13	61.68	275.28	122.64	191.67	163.28	121.79	170.25	493.56	71.0	75.64	246.28	373.81	159.9	137.14	163.28	131.51	115.97	221.86	361.04	36.01	353.59	186.4	89.51	312.0	153.34	543.96	1540.37	2451.44	860.08	4769.75	1674.06	3124.78	981.29	1757.34	2520.38	265.87	2451.44	896.64	1417.35	2090.03	1167.14	2520.38	1709.26	3190.46	1096.5	532.74	1594.73	1437.15	1745.2	1119.56	878.17	4210.15	1651.0	1216.75	2664.15	3690.52	4575.41	4123.49	2032.85	2739.08	400.71	2417.67	854.13	1073.91	3257.52	1757.34	2976.74	1651.0	2915.45	2434.5	3443.31	1359.57	1857.6	2645.74	3665.02	2133.97	1127.35	1277.29	3372.43	3280.18	1477.58	2451.44	3847.29	693.58	1457.23	4038.61	1467.37	1487.87	361.04	2701.35	3639.7	1277.29	2855.44	1572.76
PLCH1	26.67	2.43	7.51	28.65	2.1	16.39	10.08	27.05	8.85	15.34	7.46	12.55	7.17	10.79	18.56	18.29	10.31	30.78	13.93	73.03	16.51	33.06	25.17	33.3	31.22	29.06	21.01	29.48	50.27	2.53	52.08	29.91	23.08	42.71	16.39	25.17	299.25	483.38	155.5	170.25	112.77	232.94	151.22	197.09	76.71	27.84	92.7	61.68	187.71	264.03	142.01	214.27	104.42	80.57	98.73	103.69	182.55	177.53	226.54	231.32	169.07	241.19	163.28	122.64	186.4	54.72	334.46	84.63	81.14	105.89	218.79	122.64	389.72	140.04	147.06	187.71	466.88	131.51	153.34	98.04	156.59	214.27	172.65	138.1	309.83	389.72	182.55	251.48	264.03	186.4	392.44	145.02	77.79	84.04	172.65	186.4	108.9	89.51	13.93	154.42	129.69	193.01	187.71	387.02
PLSCR4	151.22	114.36	193.01	281.09	170.25	255.0	239.52	358.54	195.72	320.8	142.01	249.73	155.5	81.14	277.2	229.72	232.94	381.68	269.6	120.1	287.01	305.55	172.65	299.25	241.19	277.2	155.5	346.29	351.14	152.28	287.01	466.88	264.03	325.29	214.27	198.47	1322.37	1870.53	967.76	1242.34	679.29	460.44	536.45	830.75	718.08	194.36	1127.35	595.34	808.0	1233.75	543.96	934.76	848.22	819.3	703.28	567.1	684.02	723.08	660.68	450.94	1359.57	529.06	753.83	651.58	674.59	743.43	1529.73	1175.27	728.11	1322.37	616.37	759.08	1111.82	723.08	1313.23	718.08	1286.18	1322.37	271.48	785.88	466.88	1242.34	1388.16	423.61	1151.06	497.0	785.88	684.02	633.73	941.27	525.39	318.57	518.15	518.15	612.11	693.58	733.19	543.96	830.75	660.68	872.1	684.02	733.19	842.36
POFUT1	309.83	265.87	366.09	358.54	198.47	341.51	299.25	400.71	329.84	277.2	283.05	395.18	307.69	412.0	312.0	307.69	329.84	262.2	314.17	271.48	273.37	371.22	363.56	287.01	336.79	334.46	395.18	363.56	441.64	239.52	363.56	395.18	373.81	327.56	334.46	287.01	674.59	733.19	791.35	848.22	633.73	507.46	486.75	775.05	629.35	332.14	651.58	426.57	563.18	703.28	532.74	607.87	470.14	497.0	417.77	500.46	669.92	500.46	674.59	536.45	759.08	629.35	460.44	500.46	698.41	703.28	684.02	748.61	466.88	713.11	642.59	759.08	669.92	480.04	775.05	571.05	743.43	848.22	420.68	698.41	633.73	743.43	607.87	406.31	470.14	563.18	620.67	571.05	470.14	616.37	665.29	466.88	447.82	500.46	665.29	511.0	441.64	438.59	429.54	559.28	785.88	536.45	642.59	607.87
PPP1R14C	1331.57	921.88	493.56	1295.13	713.11	480.04	480.04	796.86	791.35	450.94	2271.4	679.29	1286.18	297.17	373.81	591.22	583.07	1447.15	490.14	2816.11	1467.37	866.07	1119.56	764.36	1037.29	1487.87	1268.46	511.0	1104.13	656.11	2319.15	1832.01	780.44	1023.0	674.59	728.11	1322.37	2591.27	2240.11	6164.49	1437.15	2367.9	1794.29	5329.3	1030.12	536.45	4328.55	1199.98	4450.27	2895.31	1950.0	3280.18	1268.46	3901.01	896.64	642.59	4575.41	2645.74	1781.89	2451.44	2209.26	4181.07	1540.37	2720.15	2032.85	3303.0	4152.18	6516.03	2193.99	2609.3	1359.57	3515.68	3325.99	1350.18	5041.77	1870.53	3820.7	1191.69	1781.89	1508.65	5292.48	2090.03	3540.14	2303.12	3639.7	1322.37	1857.6	2163.77	5791.62	2224.63	1059.11	2148.82	2335.28	521.76	1721.16	3303.0	2335.28	1066.48	507.46	3419.52	5479.15	1427.22	3639.7	1378.57
PPP4R4	2.43	0.73	1.0	2.03	3.56	2.34	2.94	2.46	4.17	2.39	3.0	2.73	4.5	1.19	1.48	1.19	2.2	1.58	4.28	1.89	3.2	0.73	1.62	1.1	2.71	4.58	1.95	2.94	2.1	0.77	1.6	4.31	4.74	2.03	1.27	0.72	7.06	20.26	11.47	15.68	7.06	3.35	5.77	4.78	13.32	3.59	18.43	5.15	3.56	5.96	8.13	6.52	22.92	23.08	3.86	5.68	15.91	5.63	3.76	1.87	13.72	8.25	4.13	5.54	6.41	6.94	1.55	23.93	8.06	20.86	7.88	3.0	6.01	6.11	8.85	11.38	4.28	3.11	9.41	11.55	6.11	12.27	18.7	6.52	8.58	7.63	11.21	7.94	7.82	8.58	2.97	1.79	2.81	4.54	13.62	16.15	5.77	4.54	1.46	6.94	6.67	9.63	12.09	4.24
PRKRIR	395.18	283.05	444.72	353.59	320.8	384.34	329.84	476.71	450.94	348.71	363.56	483.38	466.88	366.09	318.57	336.79	289.02	285.03	395.18	376.41	336.79	403.5	316.37	301.33	327.56	392.44	457.25	351.14	392.44	325.29	273.37	435.55	406.31	339.14	336.79	218.79	808.0	723.08	575.03	785.88	718.08	543.96	514.56	507.46	616.37	500.46	669.92	320.8	483.38	825.0	624.99	579.04	551.56	679.29	521.76	642.59	764.36	551.56	432.53	457.25	813.63	629.35	599.49	563.18	507.46	603.67	708.18	748.61	525.39	575.03	624.99	503.95	713.11	629.35	854.13	624.99	1081.39	591.22	457.25	796.86	551.56	759.08	698.41	480.04	483.38	429.54	563.18	563.18	457.25	738.29	536.45	403.5	435.55	432.53	555.41	540.19	563.18	503.95	423.61	624.99	698.41	583.07	769.69	647.07
PROX1	32.13	13.52	24.99	66.18	26.28	50.98	55.1	47.17	43.32	35.0	8.65	39.22	21.32	51.71	19.11	17.0	49.56	74.06	14.35	36.01	23.93	47.5	45.53	38.67	15.45	67.59	40.93	28.65	63.0	3.32	38.4	53.57	32.36	65.26	20.56	15.56	279.14	237.86	255.0	486.75	107.38	49.21	107.38	191.67	114.36	28.04	234.57	56.28	101.54	412.0	95.34	131.51	72.01	208.38	128.79	95.34	417.77	92.05	249.73	86.43	559.28	57.08	86.43	98.73	162.14	220.32	148.09	172.65	65.26	208.38	181.28	178.77	144.01	73.54	490.14	135.24	361.04	185.11	22.92	260.38	37.32	197.09	285.03	66.65	423.61	171.45	135.24	43.63	323.03	122.64	66.18	75.64	81.14	49.21	42.71	155.5	122.64	104.42	158.79	209.84	332.14	86.43	101.54	397.93
PRPF38A	543.96	591.22	470.14	688.78	571.05	460.44	518.15	624.99	575.03	607.87	599.49	555.41	642.59	476.71	567.1	555.41	463.65	514.56	525.39	651.58	629.35	679.29	647.07	551.56	295.11	503.95	441.64	532.74	674.59	466.88	493.56	579.04	591.22	620.67	551.56	518.15	728.11	854.13	647.07	825.0	698.41	665.29	599.49	941.27	1001.93	591.22	718.08	693.58	825.0	497.0	633.73	842.36	718.08	638.15	612.11	723.08	854.13	579.04	579.04	583.07	759.08	547.75	514.56	718.08	785.88	796.86	995.0	830.75	665.29	723.08	780.44	769.69	775.05	808.0	748.61	698.41	842.36	698.41	540.19	688.78	656.11	629.35	860.08	536.45	909.17	802.41	915.51	764.36	830.75	915.51	612.11	457.25	703.28	599.49	651.58	684.02	723.08	551.56	669.92	684.02	769.69	607.87	612.11	866.07
PRTG	42.41	17.77	61.25	73.54	72.52	81.14	62.12	138.1	55.49	87.65	23.93	79.45	31.9	36.53	78.34	58.3	34.26	74.58	120.94	39.5	67.59	116.78	35.25	80.01	37.05	122.64	96.01	100.13	127.0	20.26	100.83	85.82	85.82	93.35	53.57	44.89	366.09	708.18	138.1	197.09	551.56	161.02	271.48	379.04	412.0	111.99	255.0	237.86	166.73	329.84	157.68	229.72	490.14	172.65	202.66	211.31	202.66	234.57	256.78	187.71	97.36	305.55	256.78	361.04	253.23	76.17	255.0	251.48	123.5	197.09	150.17	144.01	205.5	275.28	171.45	470.14	620.67	208.38	137.14	74.58	447.82	118.43	191.67	343.89	521.76	199.85	215.77	159.9	414.87	157.68	258.57	291.04	244.57	103.69	305.55	371.22	214.27	91.41	43.32	414.87	156.59	327.56	255.0	329.84
PUM2	674.59	450.94	693.58	748.61	633.73	848.22	660.68	808.0	791.35	633.73	555.41	738.29	633.73	603.67	693.58	656.11	599.49	656.11	638.15	595.34	595.34	713.11	483.38	521.76	607.87	748.61	974.5	802.41	813.63	718.08	633.73	825.0	934.76	620.67	684.02	473.41	1651.0	1540.37	1088.92	1561.89	1508.65	748.61	896.64	1183.45	1135.2	1073.91	1340.84	1175.27	1081.39	2047.0	713.11	1135.2	1268.46	1159.07	796.86	1015.93	1721.16	1088.92	1023.0	665.29	1286.18	988.12	1037.29	813.63	1268.46	1096.5	1208.34	1286.18	934.76	1037.29	1529.73	1233.75	1369.04	902.89	1457.23	775.05	1977.24	1551.09	684.02	1081.39	961.07	1388.16	1378.57	909.17	1304.15	860.08	988.12	896.64	1119.56	1088.92	1467.37	728.11	947.83	808.0	1104.13	947.83	1216.75	813.63	896.64	1183.45	1369.04	1051.79	1331.57	1233.75
RASSF9	6.84	3.41	8.13	9.93	1.06	13.62	15.8	5.68	5.45	17.64	8.51	5.59	3.63	8.32	5.5	6.73	11.47	20.71	3.2	10.39	20.11	10.71	11.38	10.31	9.06	6.62	21.16	13.03	25.35	3.23	12.93	17.9	15.11	21.78	12.36	4.58	167.9	253.23	236.21	226.54	149.12	49.56	82.87	107.38	88.88	10.39	73.54	22.43	130.6	392.44	111.21	116.78	102.25	145.02	55.89	59.13	156.59	77.25	154.42	40.07	420.68	59.55	140.04	74.58	187.71	97.36	124.37	307.69	34.51	36.27	67.12	94.01	105.15	66.65	423.61	90.77	215.77	208.38	21.63	237.86	90.77	191.67	177.53	27.25	121.79	90.14	135.24	63.45	33.3	40.93	78.34	85.22	55.1	80.01	217.27	62.56	39.79	42.41	44.89	103.69	53.95	108.9	91.41	406.31
RBM11	82.29	58.71	81.14	70.01	181.28	87.03	84.04	103.69	39.5	103.69	72.01	137.14	48.18	55.49	47.5	82.87	55.89	116.78	98.04	85.22	76.17	66.65	27.64	37.85	85.82	100.13	72.52	94.67	89.51	82.87	99.43	137.14	113.56	84.04	49.91	172.65	289.02	269.6	151.22	205.5	309.83	185.11	167.9	73.03	162.14	123.5	101.54	242.88	206.94	260.38	151.22	204.07	283.05	281.09	136.19	92.05	194.36	89.51	133.36	169.07	144.01	159.9	137.14	163.28	242.88	131.51	141.02	157.68	228.13	204.07	106.63	162.14	189.02	221.86	155.5	138.1	256.78	273.37	94.01	127.89	255.0	224.97	148.09	150.17	253.23	127.0	182.55	171.45	275.28	139.07	191.67	226.54	149.12	141.02	132.44	161.02	191.67	157.68	141.02	248.0	131.51	120.94	120.94	162.14
RBMX	2417.67	2935.74	2434.5	3146.52	2976.74	2520.38	2739.08	3349.13	2537.92	2835.7	3039.3	2627.46	3325.99	2351.53	2956.17	2627.46	1651.0	1674.06	2895.31	3235.01	2956.17	2956.17	3103.19	2417.67	1896.65	2627.46	2520.38	2520.38	3018.3	2956.17	2133.97	3103.19	3146.52	3146.52	2701.35	2520.38	3794.3	4639.29	3325.99	3768.09	3190.46	2997.45	2701.35	3901.01	4937.99	3146.52	3564.78	2400.97	3540.14	2591.27	3564.78	3716.2	3901.01	3690.52	2417.67	3325.99	3794.3	3039.3	3039.3	2664.15	3280.18	3443.31	3039.3	3419.52	3982.99	3257.52	4671.57	3467.27	3540.14	3742.05	3060.45	3665.02	3395.89	3168.41	3372.43	3325.99	5441.3	4181.07	2224.63	3081.75	3257.52	3901.01	3540.14	2119.22	3515.68	2956.17	3928.15	3491.39	4239.45	4123.49	3060.45	2417.67	2935.74	2739.08	2935.74	3349.13	3039.3	2855.44	3060.45	4010.71	4066.71	3190.46	3467.27	4481.23
RNF219	98.04	62.12	105.89	102.25	73.54	88.88	102.97	111.21	93.35	105.89	81.71	90.77	96.68	75.11	78.89	88.26	48.52	77.25	87.03	77.79	90.14	95.34	72.01	73.03	87.03	94.67	135.24	92.7	121.79	94.67	77.79	122.64	116.78	77.79	96.68	43.63	194.36	209.84	98.04	120.94	151.22	101.54	120.94	89.51	145.02	115.16	98.73	85.82	75.64	189.02	136.19	129.69	131.51	134.3	139.07	108.14	146.03	147.06	129.69	102.25	111.21	115.16	135.24	116.78	139.07	129.69	146.03	115.97	111.99	100.83	134.3	120.1	162.14	149.12	159.9	128.79	195.72	159.9	96.68	132.44	121.79	140.04	138.1	111.21	107.38	111.99	127.0	120.94	95.34	142.01	129.69	108.14	133.36	105.15	122.64	140.04	132.44	103.69	96.68	136.19	92.05	116.78	135.24	162.14
ROBO1	124.37	98.04	44.57	120.1	56.28	49.56	51.71	60.39	86.43	65.72	32.82	49.56	38.95	61.25	36.53	91.41	48.87	99.43	63.0	87.65	71.5	82.87	74.58	81.71	81.14	55.89	128.79	40.07	97.36	43.94	28.65	94.67	133.36	64.8	170.25	11.55	182.55	358.54	100.83	277.2	234.57	133.36	251.48	172.65	229.72	107.38	211.31	237.86	125.24	145.02	197.09	267.73	226.54	151.22	77.25	98.04	187.71	195.72	289.02	163.28	164.42	214.27	237.86	161.02	297.17	246.28	435.55	241.19	121.79	417.77	183.82	299.25	316.37	107.38	262.2	164.42	287.01	226.54	45.85	134.3	197.09	153.34	346.29	103.69	215.77	187.71	172.65	187.71	127.89	173.85	164.42	45.53	87.65	158.79	66.65	320.8	226.54	46.5	145.02	198.47	289.02	150.17	87.03	275.28
RPS6KA5	11.21	7.4	27.64	16.51	8.99	18.97	17.64	21.94	18.97	14.14	10.47	24.81	14.45	13.32	18.97	17.77	19.25	25.35	20.71	15.91	16.51	33.54	13.42	15.91	64.34	19.39	14.14	15.45	20.86	11.38	28.24	20.71	13.03	19.25	15.8	14.89	99.43	86.43	113.56	144.01	83.45	66.18	75.11	147.06	84.63	43.32	103.69	62.12	98.73	142.01	88.88	99.43	92.05	105.89	53.19	77.79	120.1	94.01	71.5	49.56	93.35	64.8	99.43	70.51	104.42	81.14	131.51	105.15	97.36	145.02	57.08	111.21	105.89	96.01	144.01	69.52	199.85	146.03	48.52	96.68	80.57	131.51	231.32	68.07	209.84	61.68	103.69	108.14	119.26	115.97	45.85	49.56	76.17	55.49	79.45	73.03	116.78	58.71	49.21	94.01	128.79	55.1	65.26	139.07
