	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.FD.A3N6.01A.11R.A21D.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.VS.A953.01A.11R.A38B.07	TCGA.C5.A902.01A.11R.A37O.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.Q9.A6FU.01A.11R.A31P.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.LN.A9FR.01A.11R.A38D.31	TCGA.BB.8601.01A.11R.2403.07	TCGA.CV.A45X.01A.21R.A24Z.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.BA.A6DL.01A.21R.A30B.07	TCGA.CR.7392.01A.11R.2016.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.BA.A6DG.01A.21R.A30B.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.6934.01A.11R.1915.07	TCGA.CQ.5323.01A.01R.1686.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.BA.4076.01A.01R.1436.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CQ.6224.01A.11R.1915.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.7261.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CR.7390.01A.11R.2016.07	TCGA.CN.5355.01A.01R.1436.07	TCGA.QK.A8Z9.01B.11R.A39I.07	TCGA.CN.5358.01A.01R.1514.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.5359.01A.01R.1436.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.CV.5442.01A.01R.1514.07	TCGA.CR.7367.01A.11R.2016.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.UF.A71E.01A.31R.A34R.07	TCGA.CN.6018.01A.11R.1686.07	TCGA.CN.6989.01A.11R.1915.07	TCGA.CR.7382.01A.11R.2132.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.5435.01A.01R.1686.07	TCGA.IQ.7632.01A.11R.2081.07	TCGA.CQ.5330.01A.01R.1686.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CV.7103.01A.21R.2016.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CN.4737.01A.01R.1436.07	TCGA.UF.A7J9.01A.12R.A34R.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CQ.5326.01A.01R.1873.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7177.01A.11R.2016.07	TCGA.CN.4740.01A.01R.1436.07	TCGA.CV.7428.01A.11R.2132.07	TCGA.CV.6950.01A.11R.1915.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7430.01A.11R.2132.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.63.5128.01A.01R.1443.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
KRT17	363097.14	381149.17	348306.01	309589.14	450134.56	334117.42	472513.8	4953441.24	365622.68	231394.29	320506.81	462789.59	402881.61	63302.6	204252.32	431797.89	320506.81	368165.8	156954.93	130165.62	475800.4	46019.85	453265.5	307450.64	475800.4	239554.43	165904.25	971597.0	195931.88	542775.98	485798.0	400098.69	589853.66	462789.59	248002.34	58655.36	453265.5	389157.95	124000.67	233003.78	431797.89	466008.55	716197.51	701458.36	355624.68	593956.43	229795.93	437825.58	428815.23	334117.42	368165.8	343510.77	365622.68	524287.0	241220.67	524287.0	440870.9	400098.69	260332.24	207103.59	161367.56	161367.56	542775.98	565825.41	645473.24	447025.24	513497.31	72213.45	368165.8	373305.21	212926.09	186652.11	145432.49	370726.6	343510.77	189257.69	48307.85	256748.15	397335.0	405683.88	546551.29	632189.57	284880.02	307450.64	154794.07	144427.91	485798.0	450134.56	175363.84	350728.68	466008.55	443937.41	168220.2	236256.4	425853.18	331809.5	585779.24	912837.43	313910.86	102125.66	241220.67	307450.64	417089.23	546551.29	475800.4	284880.02	338781.54	228208.61	506427.83	378516.38	365622.68	443937.41	472513.8
L3MBTL3	121.79	119.26	55.49	121.79	40.93	61.25	182.55	11.91	29.27	46.18	39.79	42.71	38.67	110.43	90.77	79.45	113.56	65.26	87.03	104.42	51.35	132.44	30.34	99.43	84.04	25.35	77.79	69.52	118.43	36.01	33.78	87.03	46.18	105.89	148.09	150.17	65.26	102.25	123.5	52.45	43.02	40.36	41.22	36.01	57.49	53.57	120.1	107.38	56.28	42.11	74.06	49.91	58.3	39.22	126.12	46.5	69.03	20.11	91.41	164.42	93.35	130.6	52.08	30.78	53.57	52.82	45.21	122.64	56.28	115.16	38.95	126.12	153.34	61.68	94.01	152.28	309.83	67.59	94.67	60.39	52.08	60.82	70.51	65.26	83.45	76.71	90.14	104.42	93.35	38.67	72.01	47.84	99.43	91.41	92.05	112.77	74.58	84.63	70.01	91.41	40.93	111.21	43.32	94.01	92.7	76.71	49.21	39.79	60.82	31.22	75.64	43.94	123.5
LAMA4	283.05	49.56	221.86	161.02	616.37	126.12	529.06	18.16	64.34	45.21	72.52	102.97	49.56	6294.04	1059.11	579.04	1277.29	251.48	4937.99	2400.97	848.22	5672.41	103.69	161.02	332.14	76.17	1127.35	371.22	1477.58	152.28	264.03	145.02	150.17	1427.22	1340.84	1977.24	669.92	733.19	1508.65	248.0	90.14	108.9	94.67	123.5	208.38	162.14	1369.04	312.0	1427.22	447.82	607.87	67.12	454.09	638.15	665.29	167.9	285.03	351.14	738.29	1268.46	974.5	1529.73	153.34	131.51	223.41	406.31	591.22	1127.35	116.78	497.0	34.75	1216.75	3060.45	198.47	769.69	1572.76	2537.92	79.45	1313.23	325.29	232.94	295.11	559.28	141.02	896.64	1628.26	417.77	171.45	1167.14	309.83	406.31	583.07	684.02	1487.87	529.06	343.89	127.89	327.56	1001.93	1037.29	236.21	525.39	271.48	218.79	165.57	155.5	237.86	40.64	82.29	152.28	297.17	155.5	91.41
LAMC1	813.63	1242.34	708.18	698.41	470.14	1066.48	1883.54	104.42	684.02	665.29	269.6	575.03	514.56	4181.07	1819.35	1096.5	2163.77	138.1	1651.0	1662.49	1216.75	4937.99	743.43	819.3	1023.0	591.22	2895.31	848.22	1991.0	273.37	1066.48	543.96	591.22	1991.0	1977.24	2739.08	775.05	1977.24	1870.53	638.15	607.87	353.59	500.46	237.86	1135.2	753.83	2682.69	860.08	1295.13	1950.0	1259.69	1250.98	1388.16	1051.79	1529.73	743.43	934.76	547.75	1936.53	2209.26	1540.37	2351.53	842.36	591.22	454.09	848.22	1037.29	3060.45	802.41	1651.0	283.05	1794.29	3515.68	915.51	1721.16	2178.83	3280.18	780.44	2075.59	2178.83	483.38	1044.52	1806.78	848.22	2075.59	2148.82	915.51	842.36	2271.4	796.86	1350.18	1167.14	1733.13	2018.8	1487.87	1709.26	902.89	688.78	1963.57	1561.89	1151.06	1037.29	819.3	579.04	808.0	693.58	909.17	551.56	197.09	327.56	2018.8	373.81	518.15
LATS2	60.82	61.25	123.5	107.38	50.27	159.9	102.25	79.45	80.01	57.49	74.06	74.06	75.64	371.22	181.28	164.42	197.09	170.25	271.48	202.66	109.66	460.44	29.06	220.32	164.42	47.5	291.04	136.19	264.03	77.79	106.63	122.64	122.64	226.54	195.72	341.51	72.01	166.73	379.04	120.1	93.35	100.13	85.82	110.43	115.16	256.78	262.2	158.79	187.71	187.71	155.5	170.25	205.5	128.79	137.14	97.36	134.3	87.65	170.25	277.2	255.0	334.46	82.29	172.65	137.14	163.28	127.89	264.03	158.79	182.55	39.5	246.28	361.04	54.72	232.94	236.21	470.14	122.64	511.0	106.63	77.79	183.82	177.53	172.65	180.02	329.84	138.1	94.67	255.0	89.51	113.56	182.55	241.19	170.25	159.9	244.57	59.13	139.07	228.13	249.73	101.54	121.79	120.1	162.14	84.63	239.52	58.71	123.5	71.0	75.11	87.65	169.07	279.14
LGI2	1.17	79.45	0.96	1.79	1.23	0.61	5.73	0.06	1.45	1.66	5.28	0.71	0.39	1477.58	83.45	1.01	7.88	5.92	22.26	70.51	13.72	120.1	0.78	0.83	7.82	1.11	19.82	2.89	26.28	3.41	1.28	68.55	2.34	21.16	11.73	74.06	9.2	6.67	48.87	3.63	4.21	2.51	1.6	1.95	10.16	6.01	40.07	6.46	16.88	20.41	25.72	0.83	9.48	15.45	9.48	1.64	7.69	4.24	9.06	10.79	75.64	48.18	1.08	0.96	0.91	6.94	4.39	25.35	1.3	12.93	1.55	17.77	30.56	2.73	44.89	18.84	24.46	1.99	43.02	2.78	0.87	2.18	5.54	1.68	14.14	32.36	1.2	1.2	19.25	18.97	8.0	5.19	24.11	31.67	3.41	17.9	3.06	7.34	8.99	57.49	26.47	6.94	3.59	3.69	28.04	3.17	5.96	0.95	3.5	2.46	65.26	20.71	2.32
LHFP	128.79	74.06	88.26	88.88	36.79	181.28	220.32	147.06	120.1	130.6	102.97	83.45	82.87	1447.15	521.76	318.57	616.37	198.47	1250.98	866.07	514.56	1044.52	64.8	163.28	536.45	99.43	1127.35	293.07	1037.29	206.94	217.27	307.69	228.13	435.55	1709.26	1331.57	536.45	567.1	1427.22	246.28	153.34	94.67	185.11	112.77	191.67	444.72	941.27	483.38	802.41	441.64	368.65	41.81	460.44	612.11	444.72	183.82	507.46	224.97	339.14	607.87	1159.07	1268.46	303.44	156.59	194.36	260.38	466.88	830.75	134.3	476.71	27.25	728.11	830.75	212.78	438.59	718.08	1104.13	98.73	679.29	197.09	198.47	312.0	218.79	125.24	575.03	1617.0	215.77	195.72	928.3	307.69	256.78	591.22	802.41	473.41	551.56	463.65	194.36	320.8	450.94	698.41	234.57	447.82	291.04	305.55	181.28	87.65	242.88	77.79	194.36	178.77	209.84	215.77	62.56
MAP3K3	189.02	180.02	127.0	135.24	115.16	131.51	231.32	154.42	209.84	187.71	309.83	146.03	119.26	764.36	206.94	146.03	293.07	234.57	258.57	703.28	279.14	599.49	96.01	89.51	209.84	80.57	387.02	159.9	387.02	176.29	175.07	197.09	181.28	291.04	305.55	684.02	242.88	258.57	460.44	199.85	119.26	131.51	231.32	165.57	144.01	127.89	353.59	166.73	265.87	228.13	267.73	204.07	329.84	323.03	218.79	133.36	163.28	228.13	197.09	368.65	283.05	559.28	173.85	177.53	158.79	195.72	120.94	356.05	112.77	271.48	208.38	312.0	387.02	101.54	314.17	426.57	521.76	176.29	480.04	100.83	201.25	170.25	165.57	164.42	348.71	607.87	190.34	177.53	325.29	186.4	148.09	271.48	389.72	325.29	183.82	303.44	126.12	271.48	249.73	417.77	260.38	406.31	166.73	157.68	170.25	141.02	153.34	197.09	201.25	173.85	220.32	201.25	251.48
NCOR2	647.07	1151.06	1119.56	954.43	559.28	718.08	796.86	403.5	785.88	1151.06	1331.57	1051.79	674.59	2240.11	1806.78	890.44	1909.85	450.94	1233.75	2335.28	1135.2	3690.52	551.56	981.29	403.5	460.44	1844.76	1023.0	3639.7	808.0	813.63	764.36	693.58	1457.23	1477.58	2451.44	981.29	1159.07	2075.59	1662.49	1529.73	698.41	1175.27	753.83	1350.18	995.0	2104.58	1008.9	2090.03	2915.45	1427.22	1159.07	1617.0	1143.1	1832.01	974.5	656.11	748.61	1268.46	1662.49	2485.67	2178.83	866.07	759.08	974.5	842.36	995.0	1685.71	1119.56	1135.2	1073.91	3081.75	2319.15	1008.9	1857.6	2609.3	2287.2	1001.93	1819.35	1159.07	896.64	1388.16	2434.5	1023.0	1977.24	1857.6	1806.78	1304.15	2537.92	915.51	842.36	1073.91	2997.45	1857.6	688.78	1697.45	988.12	1277.29	2104.58	1437.15	1183.45	2400.97	947.83	934.76	947.83	1259.69	1313.23	1104.13	532.74	759.08	1388.16	688.78	1030.12
NID2	46.18	36.27	57.08	119.26	46.18	76.71	197.09	24.11	29.48	67.12	27.44	31.0	20.26	1437.15	669.92	392.44	1685.71	220.32	1870.53	1359.57	718.08	2664.15	54.72	78.34	518.15	61.68	708.18	197.09	1594.73	76.71	122.64	67.59	136.19	1001.93	1427.22	1259.69	323.03	327.56	981.29	162.14	27.64	46.18	59.97	35.0	142.01	47.84	1073.91	239.52	928.3	346.29	361.04	55.1	271.48	297.17	450.94	105.89	135.24	246.28	414.87	698.41	860.08	1015.93	103.69	56.68	116.78	314.17	316.37	775.05	69.03	366.09	22.43	902.89	1896.65	69.03	476.71	1259.69	1617.0	41.81	921.88	209.84	134.3	217.27	432.53	141.02	753.83	1242.34	312.0	118.43	954.43	201.25	244.57	251.48	429.54	599.49	339.14	262.2	110.43	218.79	647.07	728.11	99.43	336.79	130.6	172.65	149.12	75.64	121.79	17.0	22.59	43.63	146.03	35.0	19.97
OLFML1	10.47	4.62	3.82	15.22	8.25	16.63	50.63	76.17	33.78	4.54	17.51	6.06	3.11	258.57	74.58	31.67	239.52	49.21	258.57	144.01	84.63	133.36	9.78	16.63	80.01	18.84	180.02	55.89	295.11	30.56	19.82	12.45	23.08	122.64	283.05	525.39	122.64	59.55	348.71	37.59	28.65	13.22	10.79	18.97	18.16	16.27	262.2	38.67	173.85	85.82	98.04	5.19	111.21	339.14	99.43	20.11	24.28	35.76	51.71	134.3	215.77	346.29	19.82	19.82	15.22	52.45	68.07	279.14	9.78	84.63	7.46	215.77	486.75	31.22	75.11	273.37	384.34	24.81	169.07	63.0	26.47	45.21	43.32	18.97	171.45	376.41	78.34	15.11	307.69	26.1	75.64	151.22	102.97	239.52	75.64	57.89	27.25	56.68	234.57	295.11	43.32	44.57	31.9	36.79	15.56	11.38	50.63	5.15	32.13	26.47	40.07	60.82	2.68
OLFML2B	69.03	131.51	70.51	78.34	127.89	107.38	429.54	118.43	84.04	62.56	49.91	91.41	94.67	1519.15	988.12	318.57	1781.89	303.44	819.3	1551.09	836.53	2485.67	96.01	152.28	500.46	128.79	1322.37	432.53	4298.64	214.27	217.27	107.38	241.19	1923.14	2240.11	3955.48	1397.83	679.29	2591.27	351.14	69.52	105.89	102.97	191.67	214.27	115.16	2468.49	470.14	2303.12	441.64	579.04	42.41	808.0	791.35	884.29	153.34	237.86	470.14	713.11	753.83	1467.37	2645.74	181.28	173.85	156.59	525.39	733.19	1551.09	94.67	780.44	37.59	2367.9	4066.71	251.48	915.51	2835.7	2609.3	157.68	2224.63	444.72	255.0	262.2	547.75	96.01	1697.45	2915.45	514.56	180.02	1857.6	420.68	438.59	728.11	780.44	2061.24	567.1	447.82	258.57	733.19	1135.2	2271.4	343.89	543.96	323.03	387.02	120.94	94.67	217.27	22.59	108.9	212.78	205.5	105.15	17.13
PDE3A	4.94	2.97	7.22	20.26	2.46	5.36	31.67	0.0	13.03	1.97	4.06	2.27	1.57	995.0	72.52	13.32	44.57	334.46	318.57	202.66	40.64	202.66	4.06	5.02	50.63	3.69	58.3	20.41	63.89	11.21	12.64	5.82	4.46	81.14	61.68	71.5	18.7	48.18	144.01	6.06	23.25	6.84	5.59	5.45	6.94	4.46	58.3	12.64	55.89	37.85	25.35	8.38	15.56	61.25	38.12	4.54	25.91	12.93	36.01	103.69	64.34	89.51	7.22	6.36	9.63	12.0	35.76	58.3	7.51	16.39	1.69	76.17	175.07	4.62	26.86	115.97	85.82	5.23	62.56	16.27	6.78	8.32	20.71	16.88	37.59	62.12	18.7	10.63	46.84	5.36	13.32	42.41	109.66	37.32	21.63	13.12	8.99	18.03	70.51	176.29	13.93	23.08	10.24	10.24	19.11	7.94	12.64	1.46	3.26	7.46	20.41	7.11	21.78
PDGFRB	169.07	76.17	110.43	312.0	332.14	237.86	547.75	98.04	483.38	68.07	221.86	146.03	66.65	6121.9	1936.53	1662.49	3212.66	860.08	5255.91	4972.34	2816.11	6037.61	125.24	260.38	995.0	297.17	2915.45	860.08	3794.3	303.44	423.61	251.48	371.22	2645.74	3928.15	4388.98	1051.79	1143.1	3039.3	555.41	111.99	215.77	211.31	283.05	483.38	204.07	3280.18	967.76	2502.97	1143.1	1605.83	50.63	967.76	1651.0	1697.45	346.29	884.29	775.05	1250.98	2209.26	2451.44	3419.52	460.44	318.57	438.59	669.92	915.51	2555.58	239.52	1277.29	65.72	3212.66	6121.9	493.56	878.17	4481.23	5711.87	220.32	2271.4	693.58	466.88	872.1	728.11	265.87	2178.83	3847.29	1044.52	295.11	3280.18	679.29	718.08	1639.59	1617.0	3419.52	1175.27	947.83	638.15	651.58	2537.92	2032.85	438.59	1199.98	463.65	543.96	231.32	164.42	674.59	48.18	217.27	159.9	547.75	167.9	73.03
PKD2	64.8	67.12	64.8	154.42	29.06	80.57	115.97	97.36	96.68	86.43	74.58	45.53	45.21	642.59	543.96	106.63	361.04	75.11	660.68	813.63	291.04	665.29	130.6	105.89	94.01	75.11	220.32	71.0	262.2	63.0	115.16	70.01	53.57	169.07	265.87	511.0	110.43	162.14	435.55	142.01	175.07	62.56	52.45	47.17	156.59	80.57	224.97	157.68	166.73	156.59	182.55	98.73	205.5	279.14	204.07	69.52	90.77	97.36	260.38	295.11	277.2	358.54	57.49	66.65	63.45	143.01	76.17	384.34	47.84	162.14	46.5	320.8	420.68	164.42	189.02	346.29	563.18	90.14	260.38	127.89	64.34	86.43	195.72	71.5	223.41	460.44	285.03	72.01	303.44	78.34	67.12	220.32	264.03	432.53	132.44	285.03	88.88	78.34	291.04	432.53	109.66	206.94	111.21	87.65	105.89	194.36	103.69	62.12	57.08	67.59	183.82	88.26	132.44
PMP22	209.84	503.95	133.36	214.27	473.41	142.01	629.35	43.32	265.87	166.73	267.73	128.79	116.78	6121.9	954.43	460.44	2520.38	473.41	1832.01	2520.38	1437.15	4769.75	748.61	260.38	1008.9	417.77	1769.57	476.71	2319.15	329.84	242.88	285.03	287.01	2502.97	4010.71	3491.39	974.5	896.64	3794.3	599.49	279.14	239.52	215.77	518.15	414.87	231.32	2032.85	559.28	981.29	1044.52	1208.34	86.43	1104.13	1044.52	2319.15	341.51	981.29	669.92	825.0	1096.5	2303.12	2720.15	361.04	423.61	239.52	547.75	941.27	2303.12	351.14	1044.52	103.69	1467.37	2777.33	417.77	1208.34	3349.13	2255.7	283.05	2178.83	764.36	289.02	346.29	1617.0	273.37	1508.65	4639.29	718.08	181.28	2758.13	633.73	928.3	1709.26	1233.75	2047.0	902.89	1081.39	836.53	842.36	1369.04	2178.83	435.55	2573.36	351.14	629.35	269.6	447.82	4769.75	267.73	275.28	1001.93	1277.29	518.15	211.31
PRDM8	11.3	14.14	7.94	5.73	14.03	24.99	13.12	1.38	6.26	10.96	7.11	24.46	13.62	480.04	59.13	20.26	46.84	26.86	69.52	109.66	32.59	105.89	4.43	10.55	14.14	5.15	48.18	8.51	38.95	13.93	5.96	17.77	6.89	48.87	57.89	69.52	10.55	21.78	29.7	18.56	2.32	6.52	7.69	6.94	19.39	3.2	44.25	14.03	18.7	9.78	34.02	0.66	18.56	13.12	9.34	4.13	14.56	6.84	21.01	48.18	26.1	58.3	72.01	12.55	9.93	11.38	25.72	28.65	8.13	29.27	1.89	42.71	52.82	12.27	19.82	36.27	190.34	6.52	52.45	4.39	9.41	18.03	9.41	1.13	68.55	34.75	11.21	9.13	28.45	16.63	12.74	5.96	37.32	21.63	11.73	25.91	8.51	10.0	13.22	24.99	5.82	43.63	12.36	12.64	12.93	7.11	2.48	1.19	5.45	2.36	6.73	8.51	1.35
PRRX1	54.72	12.27	37.59	78.89	38.95	86.43	139.07	183.82	94.01	22.1	49.56	45.85	27.84	988.12	466.88	281.09	1073.91	353.59	1572.76	1127.35	642.59	1721.16	125.24	152.28	1167.14	107.38	1662.49	258.57	2997.45	169.07	150.17	137.14	132.44	1417.35	1447.15	5329.3	947.83	791.35	3515.68	438.59	343.89	110.43	172.65	185.11	262.2	142.01	2287.2	830.75	2178.83	860.08	854.13	57.08	808.0	878.17	1037.29	193.01	397.93	476.71	785.88	1225.22	2855.44	3395.89	163.28	124.37	151.22	379.04	551.56	2351.53	124.37	819.3	34.26	2537.92	5791.62	256.78	878.17	1923.14	2701.35	113.56	1794.29	353.59	262.2	293.07	995.0	115.16	1304.15	2400.97	583.07	177.53	2193.99	329.84	674.59	1477.58	1437.15	1529.73	1001.93	563.18	226.54	497.0	1561.89	4268.94	612.11	441.64	253.23	224.97	201.25	87.65	327.56	37.59	187.71	258.57	275.28	256.78	67.59
PTGDR	0.88	0.35	1.58	0.73	2.14	1.2	3.44	4.86	7.0	0.85	19.97	2.89	7.06	31.45	4.28	2.76	7.22	3.44	9.48	15.91	5.23	25.72	1.99	2.1	6.11	1.62	20.11	3.17	13.83	4.17	1.87	1.01	1.79	12.0	35.25	28.45	5.19	16.63	19.97	2.48	1.16	1.04	1.79	5.63	6.41	1.79	21.01	8.32	7.0	8.51	9.06	0.0	7.0	7.17	8.19	1.0	9.27	2.81	6.21	9.63	19.53	25.72	0.88	0.64	1.46	5.96	6.36	8.38	1.46	12.55	0.96	16.15	43.32	4.06	10.88	22.92	32.13	1.79	17.25	5.96	3.03	3.76	11.13	1.45	13.03	3.96	8.38	2.14	12.09	14.89	2.78	10.71	10.31	13.42	8.65	9.06	6.52	5.96	6.26	14.14	6.67	6.89	7.69	5.23	2.32	1.28	5.5	0.61	2.01	0.67	5.36	2.53	0.0
PXDN	120.1	150.17	180.02	112.77	117.6	423.61	316.37	2.86	48.87	34.51	64.8	177.53	88.26	2855.44	934.76	336.79	698.41	406.31	819.3	909.17	819.3	3280.18	60.82	244.57	325.29	57.08	2090.03	384.34	2303.12	190.34	239.52	111.21	197.09	2163.77	1844.76	2915.45	967.76	1175.27	1909.85	1059.11	39.22	108.9	220.32	64.34	497.0	106.63	2451.44	309.83	1051.79	753.83	1388.16	72.52	490.14	819.3	1037.29	189.02	264.03	327.56	2555.58	1427.22	1457.23	2240.11	540.19	128.79	318.57	733.19	460.44	1662.49	571.05	583.07	27.44	1561.89	4802.93	432.53	854.13	2367.9	5751.61	73.03	1733.13	656.11	575.03	532.74	2303.12	211.31	902.89	2319.15	775.05	642.59	1870.53	708.18	575.03	591.22	1051.79	2004.85	470.14	1605.83	183.82	381.68	1561.89	1331.57	493.56	4704.07	199.85	435.55	208.38	133.36	249.73	26.1	199.85	63.0	283.05	62.12	221.86
RAPGEF1	318.57	460.44	414.87	281.09	309.83	366.09	281.09	131.51	327.56	500.46	497.0	441.64	303.44	775.05	1044.52	400.71	579.04	84.63	267.73	915.51	473.41	1088.92	241.19	251.48	209.84	226.54	1183.45	395.18	1757.34	267.73	356.05	287.01	403.5	947.83	674.59	1457.23	403.5	426.57	896.64	599.49	532.74	232.94	532.74	191.67	423.61	575.03	2004.85	563.18	406.31	825.0	728.11	753.83	579.04	450.94	848.22	587.13	633.73	246.28	567.1	1015.93	1605.83	1096.5	435.55	384.34	320.8	507.46	246.28	1369.04	470.14	616.37	376.41	764.36	836.53	669.92	785.88	1135.2	988.12	473.41	1233.75	579.04	503.95	688.78	961.07	217.27	1242.34	988.12	532.74	435.55	995.0	457.25	356.05	525.39	967.76	830.75	373.81	961.07	220.32	353.59	743.43	723.08	679.29	1447.15	490.14	432.53	511.0	587.13	483.38	480.04	202.66	246.28	629.35	540.19	426.57
RASSF8	68.55	83.45	40.93	86.43	108.14	43.02	65.26	3.82	10.88	26.86	33.78	48.87	50.27	454.09	189.02	57.08	131.51	32.13	281.09	183.82	72.52	265.87	76.71	35.76	99.43	17.13	256.78	71.5	186.4	37.32	61.25	54.72	12.27	269.6	175.07	423.61	57.08	185.11	258.57	69.03	33.78	33.06	58.3	23.76	92.05	30.56	163.28	99.43	64.34	202.66	120.1	130.6	94.67	119.26	183.82	42.41	99.43	60.82	123.5	251.48	121.79	271.48	40.07	41.22	39.79	77.79	50.63	368.65	87.65	146.03	54.33	185.11	301.33	16.51	228.13	256.78	438.59	33.78	291.04	154.42	76.17	60.39	61.68	44.57	157.68	253.23	93.35	104.42	173.85	41.81	69.52	189.02	291.04	269.6	108.9	287.01	76.71	47.5	159.9	299.25	88.26	66.65	52.45	46.18	88.88	62.12	81.14	44.89	18.29	24.28	260.38	33.06	215.77
RGMB	155.5	92.05	73.03	191.67	75.64	107.38	149.12	258.57	143.01	253.23	115.16	69.52	70.51	1208.34	94.01	97.36	189.02	76.17	211.31	358.54	146.03	242.88	108.9	69.52	133.36	110.43	138.1	109.66	212.78	96.01	126.12	125.24	105.89	163.28	224.97	241.19	127.89	273.37	291.04	248.0	94.01	120.1	85.22	32.36	129.69	193.01	307.69	141.02	127.0	131.51	312.0	218.79	206.94	173.85	220.32	183.82	139.07	110.43	126.12	279.14	251.48	189.02	126.12	109.66	127.0	71.0	149.12	186.4	138.1	189.02	161.02	220.32	236.21	98.73	202.66	389.72	878.17	120.94	253.23	185.11	112.77	135.24	223.41	107.38	249.73	197.09	171.45	109.66	339.14	130.6	211.31	109.66	158.79	381.68	138.1	269.6	85.22	130.6	110.43	166.73	195.72	483.38	110.43	162.14	142.01	114.36	120.1	116.78	96.01	147.06	198.47	96.68	189.02
