	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.DK.A3IT.01A.31R.A20F.07	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.XF.AAN4.01A.11R.A42T.07	TCGA.2F.A9KQ.01A.11R.A38B.07	TCGA.SY.A9G0.01A.12R.A38B.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.BT.A2LD.01A.12R.A20F.07	TCGA.DK.A6B2.01A.11R.A30C.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.XF.A8HD.01A.11R.A36F.07	TCGA.GU.A762.01A.11R.A33J.07	TCGA.DK.A1AG.01A.11R.A13Y.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.XF.AAMR.01A.31R.A42T.07	TCGA.ZF.AA4V.01A.11R.A38B.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.FD.A6TK.01A.42R.A33J.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.FD.A6TC.01A.21R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.XF.A9T6.01A.11R.A42T.07	TCGA.FD.A62O.01A.11R.A30C.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.XF.A9SZ.01A.11R.A39I.07	TCGA.DK.A3IL.01A.11R.A20F.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	GTEX.12696.0926.SM.5FQTV	GTEX.1497J.0726.SM.5Q5D1	GTEX.Y5V6.0226.SM.4V6G7	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13D11.0326.SM.5LZXX	GTEX.Y5LM.0726.SM.4VBRP	GTEX.11EQ9.0226.SM.5A5JX	GTEX.145LT.0326.SM.5LUAD	GTEX.S4Z8.0426.SM.3K2AH	GTEX.WFG8.0926.SM.3GIKJ	GTEX.SNOS.0426.SM.32PMH	GTEX.ZA64.0326.SM.5HL8T	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WFG7.0526.SM.3GIKI	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.SIU7.0526.SM.3NM8I	GTEX.WFON.0426.SM.3GIL4	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.QESD.0626.SM.2I5G4	GTEX.132QS.0726.SM.5IJE9	GTEX.ZTPG.0926.SM.5O99H	GTEX.PWOO.0726.SM.2I3EB	GTEX.11TT1.1626.SM.5EQL7	GTEX.ZYWO.0826.SM.5E45W	GTEX.Y9LG.0526.SM.4VBRY	GTEX.1211K.0826.SM.5FQUP	GTEX.RUSQ.0626.SM.2TF5V	GTEX.11LCK.0426.SM.5A5M8	GTEX.OIZI.0726.SM.2XCEI	GTEX.13O1R.0826.SM.5J2MB
TMEM184C	172.65	205.5	167.9	314.17	114.36	277.2	389.72	260.38	291.04	100.83	218.79	135.24	90.14	371.22	217.27	176.29	251.48	205.5	189.02	141.02	241.19	150.17	403.5	138.1	181.28	143.01	214.27	209.84	177.53	231.32	109.66	285.03	137.14	82.87	249.73	175.07	271.48	88.26	248.0	256.78	273.37	187.71	183.82	126.12	157.68	403.5	660.68	718.08	189.02	476.71	312.0	490.14	406.31	435.55	341.51	507.46	392.44	409.15	387.02	438.59	361.04	339.14	579.04	507.46	483.38	547.75	503.95	275.28	363.56	438.59	348.71	356.05	205.5	376.41	379.04	511.0	371.22	371.22	507.46	1066.48	571.05
TMEM192	110.43	158.79	110.43	154.42	98.04	158.79	293.07	189.02	265.87	128.79	120.1	108.9	81.14	309.83	127.0	76.71	242.88	123.5	131.51	77.25	178.77	154.42	305.55	116.78	157.68	89.51	136.19	163.28	136.19	171.45	121.79	198.47	124.37	112.77	265.87	102.25	137.14	94.01	116.78	161.02	320.8	142.01	81.71	237.86	161.02	305.55	571.05	748.61	325.29	514.56	295.11	371.22	432.53	521.76	551.56	616.37	583.07	435.55	587.13	529.06	423.61	432.53	571.05	521.76	599.49	759.08	638.15	187.71	466.88	314.17	447.82	336.79	190.34	503.95	339.14	559.28	493.56	291.04	575.03	764.36	373.81
TMX3	444.72	281.09	234.57	376.41	85.22	417.77	181.28	460.44	205.5	150.17	248.0	189.02	204.07	595.34	273.37	186.4	204.07	303.44	273.37	180.02	381.68	176.29	249.73	204.07	198.47	191.67	376.41	366.09	316.37	283.05	150.17	423.61	356.05	109.66	305.55	155.5	291.04	183.82	214.27	348.71	329.84	260.38	273.37	151.22	181.28	323.03	500.46	493.56	111.21	387.02	432.53	483.38	466.88	514.56	275.28	518.15	447.82	397.93	518.15	438.59	500.46	454.09	1119.56	470.14	1015.93	612.11	796.86	587.13	764.36	420.68	281.09	551.56	236.21	470.14	447.82	511.0	441.64	275.28	708.18	733.19	563.18
TRAK2	121.79	248.0	112.77	130.6	51.71	575.03	97.36	363.56	178.77	31.67	118.43	100.13	131.51	244.57	86.43	183.82	215.77	115.97	182.55	74.58	161.02	74.06	438.59	111.21	79.45	117.6	209.84	113.56	105.15	191.67	70.01	140.04	182.55	70.51	170.25	77.79	147.06	104.42	131.51	134.3	145.02	74.06	88.26	95.34	218.79	208.38	234.57	780.44	204.07	928.3	305.55	483.38	967.76	599.49	698.41	466.88	500.46	500.46	738.29	603.67	432.53	414.87	1111.82	808.0	633.73	395.18	669.92	438.59	450.94	269.6	551.56	454.09	167.9	420.68	400.71	414.87	780.44	743.43	511.0	830.75	366.09
TRIM23	53.57	93.35	45.21	61.68	34.26	128.79	85.82	131.51	53.95	38.12	64.8	46.5	37.59	70.51	61.25	30.78	57.49	44.89	53.57	35.0	94.67	43.32	158.79	37.32	35.76	55.49	48.18	40.64	49.56	66.65	25.54	58.71	81.71	56.28	67.59	21.78	78.89	42.71	27.44	67.59	62.12	59.55	23.76	27.64	39.22	136.19	173.85	153.34	79.45	144.01	38.95	105.15	121.79	215.77	175.07	156.59	118.43	127.89	217.27	151.22	84.04	88.26	134.3	155.5	214.27	156.59	197.09	93.35	130.6	152.28	139.07	80.01	43.63	112.77	117.6	117.6	161.02	138.1	226.54	368.65	130.6
TRIM4	94.67	277.2	117.6	316.37	151.22	435.55	447.82	490.14	320.8	209.84	281.09	406.31	228.13	466.88	262.2	251.48	295.11	275.28	269.6	131.51	301.33	194.36	463.65	197.09	244.57	161.02	193.01	305.55	155.5	363.56	218.79	287.01	351.14	85.22	684.02	201.25	215.77	260.38	202.66	312.0	253.23	246.28	318.57	180.02	285.03	813.63	988.12	387.02	253.23	785.88	265.87	470.14	339.14	738.29	483.38	633.73	703.28	633.73	713.11	540.19	346.29	400.71	555.41	366.09	579.04	463.65	603.67	241.19	587.13	463.65	555.41	426.57	194.36	555.41	463.65	466.88	518.15	559.28	616.37	1183.45	450.94
TRIP11	126.12	334.46	183.82	130.6	98.04	202.66	237.86	170.25	246.28	105.89	68.07	124.37	65.72	218.79	105.89	150.17	169.07	106.63	114.36	149.12	167.9	88.88	191.67	117.6	115.16	165.57	166.73	90.14	163.28	220.32	132.44	152.28	87.65	119.26	228.13	144.01	145.02	110.43	151.22	103.69	202.66	108.14	94.01	73.54	142.01	126.12	293.07	579.04	80.01	293.07	228.13	289.02	180.02	186.4	218.79	305.55	199.85	178.77	291.04	314.17	199.85	256.78	376.41	232.94	409.15	285.03	314.17	125.24	164.42	198.47	178.77	199.85	131.51	249.73	255.0	195.72	197.09	171.45	249.73	417.77	205.5
TRIQK	152.28	153.34	127.89	186.4	127.89	229.72	234.57	441.64	351.14	60.82	67.12	125.24	157.68	125.24	177.53	167.9	387.02	182.55	242.88	76.71	358.54	175.07	248.0	135.24	316.37	303.44	81.71	387.02	241.19	283.05	158.79	341.51	145.02	341.51	376.41	66.18	463.65	89.51	260.38	271.48	493.56	237.86	186.4	158.79	139.07	473.41	624.99	583.07	146.03	728.11	177.53	497.0	612.11	466.88	420.68	1001.93	283.05	320.8	723.08	503.95	295.11	441.64	854.13	708.18	769.69	836.53	688.78	152.28	260.38	55.49	395.18	358.54	228.13	432.53	441.64	356.05	309.83	447.82	540.19	642.59	199.85
TRPM7	155.5	201.25	92.05	171.45	76.71	202.66	262.2	229.72	136.19	59.55	182.55	55.49	122.64	320.8	177.53	186.4	170.25	97.36	74.58	93.35	156.59	98.04	341.51	108.14	114.36	165.57	138.1	145.02	97.36	156.59	41.22	183.82	165.57	87.03	277.2	57.49	161.02	69.03	202.66	157.68	169.07	116.78	82.87	75.11	137.14	178.77	232.94	406.31	71.5	395.18	176.29	256.78	232.94	371.22	409.15	241.19	297.17	368.65	275.28	262.2	212.78	215.77	417.77	237.86	470.14	493.56	400.71	104.42	366.09	224.97	236.21	215.77	96.01	353.59	224.97	218.79	212.78	275.28	371.22	607.87	199.85
TTC33	91.41	75.64	118.43	63.0	97.36	167.9	182.55	173.85	142.01	75.11	48.87	63.89	61.68	111.21	87.65	41.52	84.63	105.15	84.63	111.21	126.12	49.56	178.77	102.97	50.27	72.52	125.24	71.0	66.65	137.14	52.08	124.37	75.64	44.25	241.19	32.36	126.12	105.15	74.06	113.56	66.65	85.82	34.75	58.3	70.51	195.72	220.32	500.46	106.63	171.45	85.22	130.6	198.47	215.77	251.48	231.32	151.22	178.77	309.83	191.67	124.37	129.69	251.48	173.85	285.03	218.79	224.97	127.89	133.36	166.73	189.02	164.42	46.18	176.29	180.02	158.79	189.02	221.86	180.02	463.65	159.9
TTC37	318.57	332.14	165.57	258.57	271.48	483.38	583.07	457.25	229.72	104.42	181.28	301.33	241.19	260.38	244.57	185.11	293.07	366.09	253.23	109.66	348.71	177.53	441.64	119.26	156.59	205.5	241.19	309.83	256.78	305.55	91.41	256.78	275.28	155.5	320.8	111.21	429.54	190.34	395.18	353.59	361.04	111.21	159.9	103.69	307.69	476.71	802.41	802.41	191.67	713.11	346.29	366.09	536.45	854.13	647.07	825.0	579.04	514.56	866.07	708.18	373.81	420.68	656.11	679.29	819.3	693.58	909.17	336.79	708.18	186.4	629.35	358.54	327.56	583.07	371.22	555.41	406.31	384.34	860.08	981.29	414.87
UBE4A	265.87	303.44	161.02	253.23	129.69	229.72	291.04	336.79	167.9	126.12	426.57	112.77	190.34	392.44	76.71	242.88	220.32	101.54	162.14	156.59	237.86	71.0	236.21	205.5	148.09	234.57	205.5	164.42	155.5	153.34	126.12	147.06	295.11	46.5	285.03	115.97	234.57	67.12	255.0	132.44	211.31	135.24	105.89	143.01	231.32	307.69	426.57	441.64	241.19	454.09	220.32	332.14	277.2	444.72	325.29	314.17	303.44	299.25	376.41	312.0	343.89	314.17	457.25	426.57	532.74	371.22	480.04	175.07	323.03	441.64	289.02	283.05	241.19	368.65	403.5	356.05	395.18	249.73	395.18	470.14	279.14
UBR1	88.26	122.64	67.59	131.51	73.03	190.34	125.24	180.02	82.29	59.13	57.89	63.89	108.14	77.79	118.43	66.65	84.04	47.5	69.03	57.89	103.69	55.49	224.97	40.64	72.01	111.21	66.18	85.22	62.56	92.05	72.01	102.25	110.43	125.24	161.02	40.36	118.43	54.72	147.06	75.64	90.77	82.29	73.03	59.97	71.0	113.56	218.79	229.72	68.55	156.59	169.07	127.89	139.07	149.12	178.77	164.42	147.06	140.04	177.53	159.9	162.14	162.14	244.57	185.11	234.57	156.59	229.72	323.03	128.79	297.17	107.38	221.86	180.02	157.68	154.42	138.1	141.02	234.57	209.84	299.25	194.36
UPRT	162.14	136.19	166.73	163.28	106.63	173.85	183.82	124.37	159.9	105.15	229.72	103.69	162.14	208.38	122.64	54.33	163.28	92.05	132.44	144.01	151.22	142.01	164.42	185.11	152.28	201.25	135.24	173.85	137.14	171.45	77.25	145.02	220.32	110.43	118.43	49.56	244.57	172.65	231.32	118.43	154.42	135.24	137.14	108.9	169.07	289.02	463.65	327.56	103.69	397.93	187.71	346.29	318.57	426.57	205.5	381.68	363.56	267.73	309.83	277.2	341.51	256.78	450.94	273.37	381.68	376.41	423.61	143.01	217.27	239.52	293.07	336.79	149.12	279.14	249.73	334.46	314.17	185.11	336.79	366.09	236.21
UTP14C	62.56	183.82	45.21	114.36	35.0	162.14	139.07	251.48	129.69	76.17	127.89	70.01	83.45	255.0	83.45	157.68	221.86	105.15	99.43	90.77	77.79	59.13	231.32	78.89	56.68	57.08	81.71	78.89	71.5	206.94	59.97	173.85	117.6	40.64	137.14	53.95	111.21	60.82	60.82	88.26	125.24	72.52	66.18	92.05	105.89	115.16	275.28	420.68	84.04	341.51	241.19	287.01	291.04	309.83	297.17	361.04	305.55	269.6	258.57	283.05	293.07	283.05	414.87	384.34	423.61	368.65	351.14	126.12	244.57	379.04	241.19	264.03	120.94	285.03	320.8	285.03	289.02	265.87	329.84	444.72	193.01
UTRN	117.6	83.45	38.12	100.13	18.7	363.56	61.68	444.72	57.49	24.28	15.34	90.14	186.4	44.89	50.63	61.68	133.36	15.68	71.0	76.71	66.18	55.49	231.32	64.34	44.57	124.37	144.01	118.43	13.03	38.4	28.65	143.01	122.64	39.5	86.43	80.01	171.45	127.0	117.6	90.77	73.03	19.39	40.36	71.5	79.45	493.56	733.19	1572.76	73.54	2502.97	764.36	624.99	713.11	1457.23	1066.48	1119.56	638.15	1191.69	2335.28	1037.29	713.11	1051.79	1936.53	1519.15	2400.97	529.06	1427.22	1191.69	1233.75	860.08	995.0	1388.16	138.1	1250.98	674.59	629.35	896.64	616.37	2240.11	1697.45	872.1
VEZF1	376.41	543.96	457.25	329.84	262.2	825.0	603.67	769.69	500.46	97.36	285.03	307.69	339.14	981.29	381.68	420.68	518.15	665.29	490.14	316.37	460.44	241.19	902.89	275.28	249.73	289.02	403.5	297.17	220.32	540.19	191.67	361.04	555.41	195.72	656.11	199.85	529.06	301.33	249.73	293.07	438.59	334.46	260.38	256.78	287.01	738.29	1322.37	1551.09	277.2	1277.29	785.88	802.41	921.88	1277.29	1135.2	1023.0	813.63	1175.27	1437.15	769.69	656.11	1143.1	1340.84	1119.56	1709.26	1127.35	1331.57	995.0	1015.93	1135.2	1350.18	890.44	206.94	1143.1	703.28	616.37	921.88	1023.0	1167.14	1388.16	791.35
WDR20	237.86	320.8	277.2	281.09	164.42	303.44	307.69	301.33	309.83	255.0	285.03	218.79	156.59	397.93	223.41	152.28	246.28	157.68	187.71	202.66	264.03	177.53	291.04	234.57	241.19	221.86	201.25	232.94	236.21	323.03	163.28	253.23	334.46	198.47	303.44	127.89	273.37	208.38	201.25	150.17	271.48	166.73	163.28	256.78	202.66	320.8	480.04	559.28	241.19	406.31	236.21	334.46	271.48	232.94	273.37	392.44	253.23	237.86	249.73	287.01	346.29	277.2	325.29	320.8	341.51	392.44	285.03	224.97	223.41	412.0	289.02	267.73	120.1	281.09	381.68	358.54	281.09	376.41	258.57	575.03	356.05
WDR7	40.07	87.65	63.0	54.72	36.27	115.16	51.71	105.15	53.57	34.02	31.0	46.5	24.99	64.34	47.84	57.89	59.55	57.49	57.49	46.18	63.0	32.13	109.66	40.07	25.35	29.27	65.72	48.52	55.89	90.14	40.93	66.18	74.58	16.63	63.0	25.17	50.27	47.84	44.25	68.55	67.59	34.51	40.07	24.99	52.45	44.25	157.68	199.85	87.03	155.5	102.25	104.42	106.63	106.63	78.34	134.3	164.42	92.7	137.14	176.29	127.0	111.99	126.12	190.34	181.28	117.6	152.28	125.24	103.69	123.5	96.68	186.4	86.43	176.29	127.0	122.64	98.04	109.66	144.01	253.23	116.78
ZBTB38	178.77	460.44	107.38	146.03	144.01	493.56	293.07	698.41	242.88	251.48	273.37	110.43	143.01	551.56	133.36	141.02	395.18	202.66	334.46	163.28	193.01	141.02	514.56	305.55	109.66	177.53	341.51	154.42	118.43	289.02	180.02	275.28	271.48	155.5	665.29	96.01	265.87	141.02	232.94	211.31	265.87	170.25	120.94	153.34	249.73	521.76	713.11	1037.29	164.42	915.51	500.46	525.39	444.72	854.13	954.43	785.88	599.49	1001.93	1008.9	1073.91	463.65	723.08	1104.13	961.07	909.17	587.13	854.13	258.57	633.73	607.87	497.0	624.99	169.07	988.12	521.76	796.86	674.59	808.0	988.12	1151.06	287.01
ZNF24	283.05	279.14	265.87	429.54	125.24	336.79	246.28	363.56	224.97	148.09	281.09	137.14	164.42	713.11	327.56	209.84	267.73	318.57	563.18	134.3	346.29	271.48	265.87	229.72	277.2	279.14	260.38	318.57	262.2	381.68	128.79	346.29	346.29	150.17	343.89	260.38	387.02	135.24	264.03	318.57	348.71	255.0	305.55	159.9	186.4	403.5	466.88	336.79	152.28	395.18	361.04	379.04	334.46	454.09	432.53	384.34	414.87	395.18	460.44	341.51	325.29	293.07	518.15	332.14	728.11	486.75	540.19	460.44	395.18	525.39	309.83	579.04	102.97	376.41	480.04	293.07	412.0	536.45	429.54	796.86	450.94
ZNF641	90.77	113.56	44.57	110.43	47.5	212.78	92.7	218.79	69.03	42.71	164.42	68.55	60.39	183.82	85.82	79.45	112.77	60.39	82.87	70.51	127.0	95.34	208.38	48.87	101.54	59.97	99.43	103.69	61.68	165.57	63.0	98.73	120.1	43.63	82.87	49.21	80.57	84.63	172.65	112.77	154.42	61.25	76.71	51.35	67.59	336.79	323.03	371.22	102.25	356.05	258.57	332.14	186.4	182.55	260.38	248.0	249.73	299.25	400.71	299.25	242.88	231.32	285.03	265.87	301.33	275.28	307.69	124.37	237.86	193.01	194.36	136.19	108.14	329.84	241.19	221.86	329.84	172.65	316.37	379.04	493.56
ZNF699	22.1	17.51	0.92	10.16	5.54	23.76	20.56	48.87	15.11	3.59	14.14	4.94	5.11	27.64	13.22	6.36	15.45	7.0	101.54	13.32	8.85	3.56	62.12	4.74	6.06	10.55	13.72	13.83	5.36	42.71	4.21	21.32	6.36	3.96	31.9	13.32	13.03	3.38	14.45	3.0	11.47	11.47	8.0	4.74	4.46	25.35	50.27	50.63	20.86	56.68	26.47	25.72	16.39	50.63	26.86	30.56	37.32	40.93	92.7	39.79	36.27	16.39	15.11	27.05	50.63	42.11	34.02	25.72	33.54	33.54	32.59	34.26	3.44	25.17	21.94	44.89	36.01	23.08	20.86	73.03	49.21
ZXDA	16.15	24.11	16.27	20.56	13.22	25.91	34.75	31.0	23.59	7.4	29.48	18.29	4.06	21.01	19.11	15.91	32.59	11.21	21.16	18.97	20.11	11.47	35.25	34.51	14.24	17.64	17.25	15.34	12.55	31.67	16.27	24.28	22.92	7.63	7.63	17.51	23.59	14.24	22.43	29.06	21.78	20.86	12.18	18.16	19.25	73.54	107.38	47.17	11.73	41.52	29.91	28.04	28.04	51.71	43.32	33.54	54.72	48.52	53.19	29.27	37.59	30.34	27.44	35.25	69.52	49.91	43.02	24.11	51.71	39.79	43.32	50.63	10.96	46.18	29.7	38.95	41.22	26.86	54.72	92.05	40.93
