	TCGA.4Z.AA84.01A.11R.A39I.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.FD.A3SJ.01A.12R.A22U.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.CU.A0YR.01A.12R.A10U.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.K4.A6MB.01A.11R.A31N.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.BL.A13J.01A.11R.A10U.07	TCGA.BL.A0C8.01A.11R.A10U.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.XF.AAMY.01A.11R.A42T.07	TCGA.2F.A9KW.01A.11R.A38B.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.UY.A9PD.01A.11R.A38B.07	TCGA.DK.A2I1.01A.11R.A180.07	TCGA.DK.AA6P.01A.11R.A39I.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.FD.A3NA.01A.11R.A21D.07	TCGA.4Z.AA7M.01A.11R.A39I.07	TCGA.C8.A12P.01A.11R.A115.07	TCGA.BH.A203.01A.12R.A169.07	TCGA.L5.A4OG.01A.11R.A260.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.97.8547.01A.11R.2403.07	TCGA.55.A490.01A.11R.A466.07	TCGA.62.8397.01A.11R.2326.07	TCGA.CG.5724.01A.11R.1602.13	TCGA.VQ.A8E7.01B.11R.A414.31	TCGA.RD.A8N9.01A.12R.A39E.31	TCGA.D7.A6EY.01A.21R.A31P.31	TCGA.VQ.A91S.01A.11R.A414.31	TCGA.MX.A5UJ.01A.11R.A31P.31	TCGA.VQ.A91X.01A.12R.A414.31	TCGA.HU.A4H4.01A.21R.A251.31	TCGA.IN.AB1V.01A.21R.A414.31	TCGA.VQ.A94U.01A.12R.A414.31	TCGA.RD.A8NB.01A.12R.A39E.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.VQ.A922.01A.11R.A414.31	TCGA.VQ.A8PJ.01A.11R.A414.31	TCGA.D7.6526.01A.11R.1802.13	TCGA.VQ.A8PO.01A.11R.A414.31	TCGA.CG.5719.01A.11R.1602.13	TCGA.CD.5804.01A.12R.2055.13	TCGA.BR.6453.01A.11R.1802.13	TCGA.D7.6524.01A.11R.1802.13	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A2CO.01A.11R.A19O.07
RGPD8	8.38	24.99	22.1	5.73	8.65	28.24	32.59	12.55	21.01	3.66	30.78	21.16	9.34	14.45	35.0	7.0	15.11	5.96	9.56	5.5	60.39	13.83	34.02	31.67	27.44	21.94	55.89	15.34	6.01	3.5	3.69	4.54	4.74	11.47	7.4	8.19	36.27	16.15	19.53	12.64	18.84	70.51	64.34	102.97	43.32	27.25	43.94	67.59	72.01	85.22	31.67	89.51	53.95	41.52	27.84	11.38	13.83	12.93	38.12	9.27	13.32
RIF1	130.6	106.63	189.02	198.47	81.71	117.6	262.2	75.64	144.01	76.17	155.5	129.69	108.9	84.63	135.24	173.85	100.83	84.63	78.89	59.55	175.07	141.02	144.01	120.94	170.25	217.27	258.57	85.22	40.36	18.16	8.51	37.85	34.75	38.95	32.59	14.03	120.94	127.0	59.55	101.54	267.73	265.87	271.48	392.44	208.38	193.01	358.54	187.71	260.38	351.14	178.77	293.07	236.21	212.78	212.78	153.34	94.01	115.16	193.01	57.49	58.71
RNF19A	500.46	1745.2	974.5	3820.7	1233.75	2701.35	848.22	2701.35	2209.26	2090.03	684.02	830.75	981.29	1322.37	2271.4	395.18	2895.31	567.1	813.63	447.82	4210.15	7280.4	1407.55	1477.58	2796.65	5403.7	2271.4	1225.22	226.54	208.38	88.88	358.54	166.73	441.64	603.67	166.73	1936.53	3190.46	236.21	435.55	1008.9	1757.34	1369.04	1378.57	656.11	423.61	733.19	1340.84	1923.14	1135.2	1073.91	1709.26	511.0	679.29	802.41	379.04	470.14	423.61	684.02	166.73	392.44
RP11-468E2.4	14.78	10.71	9.41	15.34	17.13	21.78	24.46	21.32	15.45	8.25	18.97	36.79	11.91	55.1	7.75	16.27	21.47	11.04	2.58	6.21	20.56	31.45	10.47	26.28	13.62	12.45	49.56	33.54	6.73	2.81	6.41	4.21	5.87	4.46	3.92	3.86	30.78	20.11	11.55	32.82	38.12	63.89	32.13	58.71	43.02	21.63	37.05	50.98	40.07	67.59	32.36	41.52	39.5	51.35	42.41	17.25	19.39	21.32	21.16	7.0	9.41
RPS6KA5	16.75	39.5	133.36	43.94	61.68	44.25	46.5	52.82	53.95	77.79	63.89	86.43	78.89	48.18	26.86	37.85	68.07	53.95	26.28	25.72	96.68	77.25	26.86	59.13	90.77	84.04	47.17	27.64	20.26	15.22	7.28	8.51	15.91	4.94	4.58	9.2	16.75	115.16	24.99	37.85	135.24	57.08	58.3	255.0	77.25	88.88	80.01	135.24	50.98	84.63	139.07	56.68	37.05	229.72	101.54	38.95	44.89	82.29	50.98	13.32	64.34
RSBN1	75.11	120.1	66.65	110.43	165.57	158.79	69.03	112.77	63.89	63.0	163.28	96.68	75.64	100.13	144.01	93.35	77.79	88.88	144.01	43.02	171.45	111.21	88.26	105.15	115.97	91.41	72.01	71.5	53.57	68.07	33.78	59.13	63.89	32.82	33.78	23.59	94.67	90.77	152.28	71.0	133.36	166.73	148.09	205.5	127.89	125.24	143.01	167.9	239.52	204.07	187.71	181.28	98.04	96.68	123.5	114.36	75.64	126.12	123.5	64.34	81.14
RTF1	303.44	693.58	511.0	563.18	406.31	392.44	432.53	417.77	567.1	336.79	441.64	529.06	435.55	928.3	426.57	432.53	358.54	532.74	361.04	583.07	503.95	507.46	497.0	571.05	447.82	536.45	429.54	244.57	242.88	178.77	81.71	368.65	187.71	150.17	202.66	114.36	435.55	389.72	256.78	429.54	718.08	693.58	728.11	753.83	543.96	555.41	698.41	647.07	872.1	723.08	629.35	559.28	624.99	444.72	718.08	395.18	665.29	571.05	536.45	366.09	397.93
SCAF11	486.75	854.13	1159.07	967.76	603.67	974.5	684.02	769.69	674.59	708.18	878.17	836.53	947.83	1250.98	974.5	1008.9	599.49	432.53	543.96	813.63	1605.83	974.5	759.08	1073.91	753.83	961.07	1037.29	723.08	301.33	162.14	70.51	450.94	226.54	289.02	368.65	117.6	616.37	1044.52	540.19	624.99	1008.9	934.76	1073.91	1096.5	1051.79	1037.29	1397.83	1104.13	1225.22	1268.46	941.27	1250.98	1175.27	1051.79	988.12	629.35	555.41	769.69	813.63	343.89	612.11
SCAI	44.57	48.87	39.5	29.7	45.85	33.06	40.36	59.13	61.25	37.59	68.07	42.41	22.92	53.95	43.94	48.18	50.27	34.02	53.95	43.94	57.49	38.12	48.87	61.25	34.02	42.41	43.63	24.28	9.41	16.39	8.0	14.24	15.91	8.38	13.72	7.34	18.03	48.87	32.59	49.56	75.11	95.34	99.43	126.12	95.34	66.18	85.22	95.34	91.41	77.25	57.89	157.68	28.86	43.94	73.54	33.3	23.08	48.52	28.45	29.06	27.25
SETD1B	127.89	182.55	177.53	194.36	146.03	124.37	127.89	180.02	190.34	113.56	128.79	195.72	100.13	198.47	239.52	190.34	141.02	120.1	124.37	70.01	214.27	157.68	121.79	295.11	171.45	180.02	514.56	620.67	63.89	75.11	100.13	93.35	205.5	102.25	88.26	62.56	197.09	265.87	181.28	172.65	473.41	493.56	400.71	483.38	511.0	249.73	211.31	633.73	329.84	392.44	248.0	651.58	529.06	460.44	397.93	273.37	158.79	248.0	348.71	133.36	229.72
SF1	1857.6	2835.7	2119.22	1709.26	2645.74	3303.0	3372.43	2664.15	2701.35	1685.71	2591.27	2240.11	1594.73	3103.19	3060.45	2855.44	2591.27	2520.38	2090.03	1819.35	2816.11	2573.36	2061.24	3103.19	2895.31	2796.65	4869.99	2875.3	1183.45	1427.22	2061.24	1378.57	2193.99	872.1	1721.16	1388.16	2915.45	4903.87	2400.97	4802.93	6840.04	5479.15	5219.6	8658.09	5329.3	6250.56	5006.93	5403.7	5441.3	5791.62	4802.93	7081.29	4152.18	3982.99	5594.3	3280.18	2573.36	4152.18	4066.71	2104.58	2451.44
SHPRH	45.53	21.78	53.57	27.25	53.57	27.05	55.89	50.98	57.08	28.24	69.03	46.84	13.42	29.27	84.63	31.22	38.12	24.11	15.68	14.56	221.86	33.3	31.9	79.45	53.95	98.04	115.97	52.45	13.93	14.89	5.15	13.42	7.0	8.25	8.71	5.23	30.34	33.3	46.84	43.02	118.43	137.14	85.82	201.25	83.45	73.54	72.52	144.01	182.55	125.24	80.01	351.14	98.73	85.22	105.89	41.52	20.26	45.21	84.63	24.63	57.49
SMAP1	323.03	497.0	351.14	295.11	346.29	620.67	819.3	420.68	579.04	409.15	518.15	371.22	343.89	660.68	563.18	536.45	490.14	490.14	470.14	256.78	281.09	368.65	493.56	454.09	256.78	426.57	567.1	624.99	295.11	262.2	206.94	426.57	218.79	138.1	269.6	145.02	226.54	301.33	334.46	346.29	547.75	595.34	551.56	802.41	271.48	764.36	830.75	872.1	703.28	529.06	854.13	802.41	896.64	647.07	665.29	323.03	595.34	529.06	669.92	406.31	486.75
SMC3	567.1	232.94	392.44	1088.92	660.68	463.65	915.51	432.53	511.0	356.05	723.08	503.95	237.86	244.57	563.18	813.63	346.29	373.81	547.75	486.75	368.65	647.07	457.25	1583.71	579.04	842.36	848.22	334.46	289.02	105.89	47.17	242.88	87.65	157.68	201.25	73.54	366.09	808.0	353.59	466.88	872.1	808.0	748.61	974.5	684.02	514.56	836.53	595.34	1059.11	703.28	595.34	1111.82	624.99	629.35	890.44	400.71	376.41	412.0	387.02	285.03	325.29
SMC5	231.32	206.94	226.54	137.14	181.28	307.69	265.87	301.33	204.07	113.56	232.94	325.29	141.02	220.32	283.05	236.21	167.9	301.33	139.07	251.48	201.25	150.17	194.36	271.48	201.25	438.59	403.5	190.34	72.52	33.78	13.32	97.36	50.63	96.01	68.07	32.36	186.4	466.88	195.72	120.1	555.41	395.18	363.56	647.07	356.05	277.2	373.81	579.04	463.65	536.45	441.64	480.04	246.28	346.29	339.14	183.82	237.86	258.57	329.84	204.07	185.11
SMCHD1	358.54	318.57	180.02	255.0	127.89	265.87	273.37	228.13	244.57	470.14	293.07	215.77	170.25	171.45	262.2	177.53	143.01	217.27	191.67	108.14	198.47	175.07	251.48	249.73	301.33	229.72	529.06	211.31	27.64	40.93	16.27	71.0	44.89	90.14	63.45	22.92	221.86	356.05	172.65	232.94	500.46	713.11	693.58	974.5	435.55	271.48	518.15	616.37	332.14	651.58	376.41	567.1	414.87	486.75	651.58	218.79	204.07	346.29	318.57	115.97	130.6
SMG1	503.95	303.44	143.01	167.9	363.56	171.45	318.57	241.19	241.19	149.12	234.57	279.14	152.28	236.21	303.44	241.19	208.38	138.1	124.37	129.69	301.33	167.9	212.78	412.0	253.23	185.11	493.56	287.01	128.79	108.9	46.84	100.13	59.97	76.17	58.71	33.78	220.32	166.73	158.79	178.77	547.75	441.64	463.65	638.15	351.14	607.87	441.64	620.67	775.05	679.29	316.37	896.64	392.44	466.88	384.34	208.38	178.77	183.82	309.83	96.01	193.01
SNRNP48	64.34	108.14	100.83	115.16	97.36	53.57	177.53	120.94	116.78	104.42	121.79	117.6	54.72	101.54	70.01	81.14	126.12	78.89	87.65	81.14	133.36	110.43	71.0	258.57	60.82	224.97	161.02	138.1	54.33	36.01	11.13	50.27	24.28	78.34	75.11	25.54	114.36	60.39	143.01	120.1	267.73	314.17	155.5	251.48	197.09	242.88	303.44	239.52	371.22	209.84	215.77	158.79	228.13	334.46	253.23	91.41	141.02	131.51	118.43	70.01	88.88
SPDYE2B	2.27	13.03	14.03	6.78	3.69	1.48	0.72	13.93	1.57	5.59	12.93	10.24	4.46	9.2	4.7	3.03	3.89	6.31	3.17	1.83	5.82	6.11	2.48	24.63	3.96	2.01	5.82	0.61	2.03	2.73	0.0	5.92	1.36	1.07	2.43	2.39	7.34	4.78	2.68	12.36	10.08	9.27	10.96	22.26	7.34	13.83	7.46	34.02	32.59	8.32	19.68	21.78	16.39	27.25	5.32	8.19	4.94	12.09	8.38	0.0	6.84
STAG1	164.42	108.9	115.16	389.72	221.86	149.12	368.65	236.21	295.11	136.19	267.73	253.23	119.26	134.3	199.85	215.77	120.1	132.44	158.79	173.85	163.28	221.86	98.04	269.6	169.07	181.28	242.88	169.07	85.82	109.66	50.63	172.65	75.64	46.84	72.52	54.72	154.42	127.89	120.94	152.28	309.83	429.54	293.07	414.87	325.29	258.57	285.03	325.29	323.03	518.15	297.17	397.93	473.41	214.27	297.17	193.01	127.0	164.42	262.2	116.78	171.45
STK35	327.56	392.44	271.48	603.67	529.06	183.82	403.5	209.84	412.0	248.0	299.25	587.13	148.09	500.46	483.38	412.0	441.64	237.86	190.34	214.27	802.41	651.58	532.74	275.28	293.07	358.54	629.35	309.83	111.99	116.78	193.01	108.9	158.79	70.01	79.45	92.7	205.5	327.56	214.27	260.38	454.09	320.8	392.44	532.74	368.65	303.44	403.5	429.54	351.14	371.22	273.37	559.28	490.14	423.61	303.44	220.32	229.72	283.05	285.03	178.77	182.55
SUGT1	283.05	780.44	884.29	1044.52	698.41	1059.11	1286.18	981.29	642.59	947.83	669.92	954.43	679.29	688.78	1030.12	1781.89	1001.93	866.07	1167.14	1151.06	947.83	808.0	1175.27	713.11	599.49	921.88	1208.34	884.29	684.02	567.1	540.19	780.44	507.46	728.11	796.86	450.94	769.69	728.11	325.29	2061.24	1617.0	1191.69	1304.15	1467.37	1457.23	1322.37	1709.26	909.17	1295.13	1277.29	1059.11	934.76	1304.15	854.13	1127.35	1135.2	688.78	1001.93	1268.46	543.96	642.59
SUPT16H	1447.15	836.53	860.08	1135.2	1467.37	1191.69	1605.83	780.44	791.35	1313.23	1191.69	954.43	759.08	1350.18	679.29	1977.24	967.76	961.07	802.41	866.07	1225.22	1857.6	1233.75	995.0	3690.52	1340.84	1331.57	941.27	718.08	540.19	392.44	909.17	748.61	444.72	547.75	323.03	1051.79	1096.5	915.51	1216.75	1407.55	1378.57	1397.83	1721.16	1322.37	1457.23	1340.84	902.89	1216.75	1617.0	1096.5	2701.35	1119.56	1259.69	1540.37	934.76	595.34	1119.56	1051.79	836.53	884.29
SYNCRIP	1295.13	490.14	1119.56	1268.46	1037.29	830.75	2468.49	1199.98	1594.73	848.22	1487.87	1151.06	1183.45	915.51	1477.58	1540.37	1151.06	961.07	1651.0	802.41	988.12	1111.82	1388.16	1487.87	1225.22	1551.09	1697.45	791.35	693.58	713.11	595.34	713.11	638.15	353.59	525.39	438.59	780.44	860.08	860.08	1015.93	1540.37	1369.04	1674.06	2061.24	1378.57	1781.89	1225.22	1183.45	1457.23	1963.57	1191.69	915.51	1757.34	1417.35	1617.0	738.29	607.87	896.64	1331.57	1183.45	791.35
TAF1D	2335.28	1745.2	1870.53	890.44	947.83	3419.52	2434.5	2555.58	1674.06	2018.8	2434.5	1233.75	1870.53	2047.0	1388.16	2720.15	1832.01	2287.2	2104.58	2875.3	967.76	1794.29	2133.97	2209.26	941.27	1896.65	4575.41	2400.97	1119.56	444.72	438.59	796.86	665.29	1015.93	902.89	332.14	2400.97	1697.45	1639.59	1794.29	2417.67	2384.37	1819.35	4419.52	2935.74	3325.99	2855.44	2739.08	4123.49	1950.0	2591.27	2956.17	2271.4	2739.08	2627.46	1651.0	1457.23	1936.53	1304.15	1331.57	733.19
TAF2	371.22	305.55	147.06	480.04	540.19	234.57	1417.35	209.84	327.56	94.01	450.94	299.25	199.85	341.51	248.0	206.94	346.29	169.07	138.1	152.28	348.71	258.57	191.67	312.0	152.28	543.96	417.77	435.55	84.63	92.05	36.53	155.5	50.98	124.37	214.27	46.18	283.05	540.19	165.57	486.75	743.43	559.28	497.0	860.08	429.54	346.29	438.59	414.87	543.96	591.22	339.14	693.58	414.87	647.07	438.59	269.6	186.4	285.03	371.22	117.6	185.11
TAF5	83.45	36.01	40.93	80.57	64.34	39.22	84.63	65.26	94.01	38.95	51.71	71.5	29.7	34.75	48.52	186.4	37.59	44.57	100.13	48.52	67.12	85.82	69.52	99.43	69.52	64.34	89.51	54.33	17.64	13.22	14.78	21.63	20.86	34.51	41.52	20.86	27.44	85.82	21.78	56.68	74.58	126.12	85.22	116.78	91.41	63.89	105.15	80.01	136.19	85.82	66.65	186.4	69.52	78.34	137.14	49.21	45.53	57.49	63.89	24.99	23.76
TDG	171.45	403.5	466.88	642.59	277.2	525.39	1073.91	387.02	603.67	368.65	432.53	703.28	426.57	457.25	555.41	848.22	466.88	514.56	409.15	356.05	486.75	454.09	363.56	813.63	423.61	656.11	764.36	470.14	130.6	92.7	100.83	177.53	208.38	116.78	129.69	87.65	351.14	341.51	229.72	318.57	503.95	343.89	463.65	454.09	429.54	551.56	620.67	529.06	563.18	447.82	441.64	808.0	819.3	555.41	532.74	295.11	320.8	329.84	457.25	155.5	226.54
TEX10	713.11	144.01	406.31	201.25	256.78	470.14	256.78	323.03	293.07	195.72	397.93	343.89	256.78	293.07	409.15	703.28	275.28	269.6	334.46	281.09	289.02	256.78	309.83	277.2	329.84	450.94	486.75	305.55	123.5	94.67	115.16	180.02	142.01	88.88	85.22	57.89	144.01	140.04	125.24	267.73	500.46	483.38	460.44	738.29	358.54	536.45	320.8	262.2	371.22	379.04	438.59	493.56	242.88	497.0	470.14	234.57	195.72	242.88	295.11	198.47	251.48
TMEM87B	293.07	339.14	285.03	500.46	208.38	514.56	529.06	289.02	395.18	301.33	575.03	571.05	206.94	262.2	400.71	316.37	301.33	525.39	217.27	264.03	563.18	224.97	507.46	529.06	397.93	551.56	420.68	236.21	57.08	124.37	92.05	90.14	83.45	80.01	81.71	55.1	334.46	242.88	269.6	176.29	414.87	503.95	381.68	796.86	409.15	607.87	651.58	460.44	346.29	567.1	521.76	387.02	470.14	595.34	470.14	325.29	283.05	251.48	450.94	232.94	152.28
TOPBP1	429.54	258.57	248.0	775.05	507.46	218.79	620.67	420.68	470.14	169.07	444.72	555.41	198.47	318.57	555.41	529.06	291.04	353.59	358.54	287.01	412.0	497.0	318.57	567.1	392.44	343.89	660.68	231.32	86.43	101.54	40.64	95.34	46.18	92.05	126.12	41.22	293.07	525.39	177.53	371.22	656.11	679.29	651.58	909.17	563.18	543.96	698.41	579.04	543.96	808.0	493.56	988.12	1143.1	583.07	638.15	307.69	307.69	289.02	406.31	193.01	231.32
TYW5	44.25	79.45	36.01	108.14	57.89	55.89	117.6	54.72	78.34	63.89	58.3	63.89	67.12	66.65	92.05	58.3	73.03	73.03	43.32	45.85	100.83	78.89	91.41	75.11	57.49	151.22	161.02	52.45	43.63	43.02	21.01	57.89	31.45	34.02	33.3	30.34	101.54	60.39	51.71	75.11	125.24	112.77	115.97	120.1	124.37	104.42	141.02	134.3	122.64	186.4	105.89	128.79	102.97	84.63	92.05	71.5	54.72	66.18	99.43	62.12	40.07
UBE3A	351.14	153.34	264.03	389.72	339.14	633.73	441.64	429.54	316.37	312.0	457.25	438.59	297.17	406.31	728.11	400.71	297.17	476.71	708.18	353.59	309.83	567.1	295.11	529.06	500.46	728.11	493.56	466.88	309.83	232.94	76.71	368.65	147.06	251.48	193.01	134.3	403.5	376.41	246.28	283.05	432.53	728.11	521.76	830.75	540.19	563.18	743.43	830.75	435.55	607.87	842.36	759.08	819.3	500.46	713.11	409.15	253.23	429.54	507.46	409.15	438.59
UBE4A	218.79	426.57	190.34	201.25	193.01	281.09	262.2	285.03	234.57	178.77	511.0	647.07	183.82	255.0	229.72	312.0	190.34	236.21	173.85	176.29	232.94	273.37	260.38	379.04	525.39	738.29	417.77	187.71	119.26	135.24	69.03	138.1	165.57	84.04	134.3	163.28	336.79	241.19	211.31	205.5	536.45	435.55	473.41	563.18	366.09	283.05	587.13	567.1	463.65	476.71	348.71	674.59	497.0	607.87	348.71	159.9	191.67	187.71	371.22	249.73	211.31
UBN2	103.69	108.9	123.5	50.63	67.59	77.79	70.51	106.63	72.52	62.56	183.82	111.99	84.04	108.9	102.25	44.25	76.71	69.52	98.73	80.57	87.03	45.53	35.25	143.01	67.12	61.25	92.7	47.17	27.25	12.45	9.7	23.25	37.05	17.25	18.29	9.78	75.64	127.89	70.51	42.11	129.69	117.6	104.42	164.42	103.69	116.78	93.35	169.07	141.02	133.36	70.01	163.28	80.57	66.18	83.45	84.63	76.17	93.35	82.29	48.52	58.71
UBR2	208.38	152.28	189.02	136.19	176.29	185.11	237.86	181.28	165.57	205.5	236.21	217.27	121.79	218.79	170.25	138.1	134.3	212.78	145.02	133.36	180.02	146.03	183.82	334.46	323.03	175.07	244.57	198.47	112.77	114.36	68.55	126.12	100.83	98.04	162.14	121.79	186.4	164.42	236.21	129.69	318.57	412.0	381.68	599.49	236.21	371.22	406.31	417.77	406.31	426.57	327.56	1127.35	346.29	236.21	351.14	142.01	146.03	211.31	256.78	177.53	197.09
UBXN4	1111.82	1127.35	1350.18	1883.54	769.69	575.03	2119.22	802.41	1639.59	775.05	1572.76	1225.22	1216.75	1037.29	1359.57	1242.34	1233.75	1216.75	1175.27	848.22	1870.53	1008.9	1322.37	1662.49	1008.9	2520.38	1519.15	808.0	684.02	555.41	180.02	872.1	277.2	967.76	703.28	334.46	1508.65	759.08	961.07	607.87	1819.35	1540.37	1769.57	2148.82	1378.57	2004.85	2104.58	1819.35	1662.49	1388.16	1909.85	1191.69	1295.13	1216.75	1870.53	988.12	1023.0	915.51	1340.84	1037.29	830.75
USP15	414.87	764.36	708.18	684.02	624.99	1001.93	753.83	830.75	559.28	830.75	1059.11	500.46	429.54	743.43	633.73	1674.06	638.15	638.15	607.87	532.74	748.61	624.99	647.07	854.13	718.08	733.19	928.3	1208.34	256.78	236.21	103.69	327.56	217.27	543.96	409.15	177.53	836.53	420.68	753.83	591.22	866.07	934.76	915.51	1001.93	802.41	1073.91	1457.23	1781.89	1605.83	1437.15	1030.12	974.5	1183.45	884.29	1340.84	470.14	603.67	624.99	665.29	633.73	493.56
USP24	376.41	281.09	159.9	91.41	339.14	228.13	226.54	217.27	351.14	109.66	206.94	273.37	122.64	244.57	244.57	189.02	205.5	199.85	181.28	126.12	197.09	182.55	237.86	267.73	181.28	214.27	379.04	221.86	125.24	105.89	66.18	137.14	100.83	193.01	194.36	88.26	202.66	473.41	287.01	161.02	536.45	435.55	503.95	660.68	473.41	521.76	392.44	483.38	525.39	457.25	366.09	616.37	381.68	241.19	503.95	204.07	206.94	356.05	312.0	136.19	191.67
USPL1	211.31	156.59	87.03	121.79	122.64	115.16	214.27	155.5	108.14	101.54	312.0	137.14	76.71	139.07	212.78	212.78	112.77	118.43	92.05	82.29	224.97	75.11	95.34	155.5	158.79	371.22	336.79	117.6	94.67	45.85	26.47	53.57	56.68	72.52	70.51	43.94	182.55	98.04	90.14	180.02	381.68	376.41	275.28	309.83	251.48	231.32	262.2	343.89	334.46	314.17	285.03	441.64	297.17	420.68	215.77	157.68	283.05	198.47	195.72	95.34	142.01
WDFY1	142.01	420.68	201.25	358.54	236.21	432.53	343.89	241.19	387.02	194.36	361.04	723.08	224.97	244.57	511.0	441.64	368.65	447.82	297.17	241.19	363.56	260.38	633.73	463.65	669.92	579.04	587.13	297.17	287.01	277.2	145.02	341.51	226.54	151.22	111.21	137.14	334.46	358.54	232.94	490.14	583.07	669.92	642.59	780.44	444.72	559.28	808.0	684.02	511.0	629.35	540.19	647.07	540.19	384.34	575.03	368.65	339.14	366.09	647.07	426.57	273.37
WDR36	356.05	70.01	102.97	139.07	125.24	114.36	231.32	204.07	150.17	87.03	161.02	135.24	99.43	121.79	132.44	128.79	140.04	134.3	113.56	73.03	136.19	121.79	133.36	214.27	201.25	237.86	248.0	176.29	69.52	101.54	44.89	77.79	92.05	59.55	75.64	69.52	221.86	98.73	114.36	209.84	241.19	332.14	371.22	384.34	246.28	409.15	209.84	198.47	295.11	447.82	320.8	334.46	217.27	212.78	293.07	130.6	86.43	110.43	202.66	105.89	145.02
WRN	67.12	78.34	189.02	108.14	63.0	135.24	123.5	91.41	48.52	55.1	74.06	106.63	62.12	43.63	114.36	76.17	88.26	96.68	77.25	44.25	87.03	114.36	191.67	102.25	78.89	149.12	220.32	77.79	26.47	32.59	13.93	47.17	31.0	17.25	19.97	21.01	88.26	60.82	45.21	80.01	127.0	248.0	185.11	323.03	218.79	182.55	163.28	151.22	466.88	256.78	199.85	198.47	224.97	82.87	249.73	77.25	44.89	136.19	152.28	55.49	84.63
XPO4	158.79	85.82	62.12	67.12	107.38	70.51	244.57	120.1	127.89	54.33	115.16	116.78	81.14	82.87	171.45	131.51	75.11	70.51	121.79	51.35	172.65	77.25	97.36	221.86	117.6	144.01	361.04	84.04	38.4	54.72	42.11	51.71	55.1	34.51	35.0	37.32	56.28	84.04	48.18	84.04	420.68	206.94	220.32	447.82	193.01	165.57	234.57	150.17	241.19	293.07	163.28	332.14	248.0	223.41	202.66	104.42	59.97	120.94	197.09	70.51	91.41
ZBTB11	181.28	128.79	97.36	195.72	109.66	161.02	185.11	171.45	152.28	90.14	239.52	144.01	117.6	120.1	193.01	169.07	103.69	93.35	155.5	111.21	159.9	141.02	106.63	253.23	143.01	264.03	214.27	163.28	68.07	45.53	13.72	77.79	29.27	56.28	45.53	23.25	159.9	193.01	115.97	92.05	256.78	287.01	246.28	271.48	177.53	212.78	220.32	291.04	242.88	231.32	218.79	403.5	287.01	260.38	221.86	115.16	140.04	128.79	182.55	97.36	137.14
ZBTB24	87.03	62.56	65.72	47.17	57.49	43.02	98.04	68.07	63.0	60.39	63.45	143.01	45.53	74.06	78.34	82.87	44.57	81.14	74.06	36.53	53.95	71.0	65.72	80.57	97.36	323.03	122.64	43.02	30.78	33.3	24.11	47.17	35.76	24.63	29.27	17.77	50.63	63.89	111.99	67.12	108.14	150.17	132.44	171.45	125.24	124.37	116.78	102.25	156.59	156.59	138.1	79.45	126.12	127.89	84.04	51.35	45.21	105.15	101.54	60.39	72.01
ZBTB39	31.9	54.33	81.14	54.72	58.71	44.89	88.26	48.52	116.78	15.91	57.49	88.26	26.28	55.89	249.73	74.06	44.57	44.89	35.25	40.36	96.01	108.9	42.41	71.0	58.3	80.01	99.43	30.12	16.03	13.52	20.26	18.97	35.76	15.91	18.84	15.11	48.87	100.83	43.02	54.33	112.77	105.89	101.54	148.09	105.89	77.25	85.82	87.65	131.51	102.25	81.14	271.48	106.63	127.0	90.14	51.35	35.0	81.14	82.29	25.35	40.64
ZC3H13	95.34	249.73	307.69	237.86	289.02	283.05	518.15	291.04	318.57	255.0	228.13	316.37	457.25	145.02	559.28	583.07	316.37	423.61	332.14	214.27	830.75	248.0	273.37	351.14	351.14	555.41	486.75	256.78	171.45	132.44	97.36	218.79	183.82	271.48	170.25	74.58	312.0	281.09	152.28	620.67	1073.91	921.88	830.75	848.22	693.58	703.28	693.58	813.63	1059.11	684.02	785.88	1191.69	848.22	334.46	780.44	507.46	412.0	503.95	511.0	293.07	409.15
