	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.HN.A2OB.01A.21R.A27Q.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.E9.A244.01A.11R.A169.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A4RY.01A.31R.A266.07	TCGA.AC.A62X.01A.11R.A29R.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0AU.11A.11R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	TCGA.BH.A0HA.11A.31R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.XMD2.0926.SM.4WWEF	GTEX.YFC4.1426.SM.5IFJG	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.1313W.0826.SM.5EQ4T	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.ZXES.0826.SM.5E43C	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.12ZZX.1126.SM.5EGKB	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.BP.4799.01A.01R.1305.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.ZQG8.2126.SM.4YCF1	TCGA.BR.4279.01A.01R.1131.13	GTEX.P4PP.2026.SM.3P61N	GTEX.XUJ4.1526.SM.4BONU	GTEX.13U4I.1926.SM.5LU39	GTEX.1117F.2426.SM.5EGGH	GTEX.13VXT.1626.SM.5IJES
USP19	791.35	457.25	438.59	909.17	638.15	1066.48	1073.91	460.44	575.03	583.07	595.34	529.06	289.02	536.45	1199.98	660.68	842.36	651.58	802.41	303.44	234.57	511.0	878.17	511.0	571.05	518.15	429.54	638.15	842.36	738.29	629.35	651.58	312.0	785.88	493.56	438.59	275.28	698.41	665.29	258.57	633.73	1073.91	483.38	656.11	669.92	567.1	669.92	620.67	1135.2	954.43	934.76	954.43	808.0	1127.35	438.59	713.11	995.0	1008.9	587.13	1268.46	1096.5	738.29	819.3	423.61	1127.35	1268.46	1175.27	753.83	759.08	392.44	1233.75	954.43	447.82	1199.98	629.35	325.29	1015.93	540.19	1208.34	775.05	775.05	244.57	307.69	447.82	299.25	381.68	389.72	371.22	514.56	224.97	194.36	0.0	493.56	376.41	376.41	1963.57	854.13	1605.83	796.86	1208.34
WDR27	1175.27	178.77	110.43	318.57	454.09	603.67	612.11	105.15	84.04	161.02	149.12	195.72	412.0	486.75	656.11	102.25	599.49	182.55	177.53	142.01	126.12	234.57	236.21	117.6	341.51	169.07	256.78	185.11	353.59	170.25	191.67	191.67	251.48	323.03	169.07	353.59	92.05	381.68	299.25	127.89	161.02	563.18	133.36	46.18	140.04	389.72	395.18	279.14	830.75	629.35	409.15	426.57	307.69	1001.93	275.28	312.0	872.1	1073.91	591.22	961.07	366.09	171.45	466.88	368.65	1159.07	529.06	417.77	327.56	236.21	371.22	620.67	738.29	102.97	656.11	108.14	143.01	836.53	403.5	878.17	226.54	323.03	96.68	8.99	63.45	112.77	33.54	29.48	63.45	28.65	80.57	40.07	0.0	162.14	19.82	106.63	1477.58	587.13	624.99	466.88	536.45
ZC3H7B	660.68	363.56	395.18	1088.92	872.1	981.29	1096.5	371.22	366.09	713.11	571.05	423.61	532.74	703.28	688.78	540.19	974.5	738.29	703.28	162.14	171.45	435.55	728.11	412.0	480.04	620.67	480.04	201.25	620.67	764.36	412.0	339.14	587.13	669.92	854.13	507.46	579.04	941.27	872.1	444.72	769.69	974.5	447.82	647.07	656.11	406.31	713.11	647.07	1059.11	1051.79	1008.9	1023.0	769.69	1159.07	301.33	842.36	967.76	1088.92	642.59	1135.2	878.17	447.82	819.3	518.15	1051.79	890.44	1159.07	1119.56	303.44	483.38	1397.83	915.51	341.51	1286.18	620.67	285.03	1167.14	571.05	848.22	669.92	769.69	155.5	95.34	660.68	514.56	497.0	567.1	351.14	277.2	543.96	291.04	616.37	260.38	239.52	251.48	1651.0	1322.37	1111.82	872.1	1119.56
ZCCHC11	341.51	237.86	441.64	563.18	603.67	518.15	624.99	46.18	231.32	511.0	368.65	341.51	723.08	289.02	297.17	309.83	599.49	412.0	156.59	204.07	125.24	267.73	267.73	269.6	414.87	208.38	450.94	64.8	343.89	379.04	339.14	353.59	665.29	674.59	733.19	693.58	329.84	559.28	620.67	603.67	486.75	988.12	583.07	172.65	339.14	392.44	616.37	688.78	753.83	769.69	748.61	603.67	629.35	813.63	703.28	514.56	860.08	1191.69	842.36	981.29	603.67	438.59	866.07	1151.06	902.89	684.02	1437.15	607.87	543.96	420.68	854.13	1216.75	206.94	599.49	135.24	473.41	1417.35	1104.13	728.11	208.38	775.05	334.46	78.34	92.05	291.04	147.06	231.32	277.2	295.11	258.57	237.86	0.0	521.76	68.07	283.05	1073.91	848.22	981.29	1233.75	1059.11
ZMYM3	336.79	260.38	236.21	346.29	299.25	412.0	339.14	224.97	361.04	332.14	348.71	366.09	187.71	301.33	476.71	400.71	343.89	236.21	175.07	371.22	343.89	248.0	299.25	351.14	253.23	327.56	155.5	329.84	339.14	361.04	376.41	217.27	264.03	361.04	198.47	387.02	258.57	341.51	327.56	279.14	255.0	454.09	363.56	339.14	197.09	460.44	358.54	346.29	470.14	470.14	414.87	363.56	441.64	457.25	241.19	305.55	480.04	497.0	547.75	500.46	514.56	285.03	473.41	258.57	559.28	543.96	438.59	289.02	176.29	209.84	480.04	353.59	153.34	551.56	206.94	339.14	463.65	318.57	500.46	289.02	409.15	88.88	38.12	136.19	111.99	85.22	82.29	117.6	134.3	66.18	88.88	0.0	318.57	78.89	197.09	1104.13	414.87	587.13	341.51	848.22
ZNF133	733.19	323.03	132.44	323.03	389.72	395.18	571.05	104.42	175.07	208.38	155.5	127.89	343.89	417.77	480.04	156.59	470.14	249.73	226.54	136.19	209.84	234.57	221.86	258.57	381.68	209.84	130.6	85.22	206.94	239.52	295.11	242.88	363.56	381.68	236.21	607.87	97.36	476.71	223.41	314.17	277.2	532.74	307.69	90.77	158.79	389.72	265.87	244.57	525.39	423.61	373.81	343.89	305.55	738.29	198.47	351.14	698.41	656.11	514.56	480.04	567.1	351.14	555.41	460.44	624.99	665.29	441.64	320.8	483.38	195.72	629.35	563.18	251.48	389.72	412.0	351.14	392.44	271.48	718.08	307.69	423.61	73.03	56.68	92.7	96.68	30.78	52.82	46.84	69.03	82.29	42.71	0.0	214.27	90.77	141.02	651.58	395.18	540.19	463.65	743.43
ZNF248	237.86	57.89	248.0	193.01	157.68	228.13	190.34	107.38	78.34	72.01	112.77	54.72	105.15	105.15	131.51	113.56	153.34	121.79	195.72	143.01	191.67	170.25	147.06	224.97	134.3	151.22	138.1	237.86	104.42	120.1	173.85	103.69	153.34	271.48	224.97	158.79	121.79	157.68	161.02	63.45	135.24	202.66	70.51	72.01	144.01	93.35	218.79	260.38	267.73	309.83	289.02	234.57	218.79	353.59	212.78	193.01	332.14	389.72	256.78	327.56	231.32	173.85	265.87	147.06	384.34	379.04	260.38	221.86	246.28	118.43	255.0	260.38	101.54	228.13	149.12	194.36	341.51	199.85	239.52	191.67	208.38	87.65	36.53	22.43	32.36	21.94	30.12	36.53	23.08	41.52	19.97	0.0	120.1	54.72	187.71	915.51	285.03	599.49	371.22	507.46
ZNF324B	121.79	38.12	32.13	119.26	78.89	115.97	113.56	43.94	82.29	54.72	94.67	109.66	76.71	87.65	117.6	144.01	101.54	66.65	96.68	53.57	51.35	74.06	87.65	69.03	85.82	78.34	38.95	60.82	81.14	105.15	108.14	54.72	30.12	67.12	33.06	113.56	61.68	106.63	93.35	49.21	82.87	105.15	53.95	45.85	64.34	99.43	87.03	58.3	100.13	106.63	108.14	118.43	102.97	133.36	33.78	76.71	115.97	135.24	108.9	131.51	113.56	82.29	107.38	60.82	70.01	115.16	115.16	50.63	98.73	30.78	113.56	125.24	69.03	102.97	40.93	48.52	120.94	37.05	103.69	55.1	71.5	29.06	4.98	30.12	16.88	20.86	15.56	36.27	41.81	17.51	28.65	0.0	69.52	48.87	35.5	151.22	74.06	128.79	57.08	120.94
ZNF337	518.15	293.07	151.22	271.48	361.04	273.37	303.44	125.24	159.9	99.43	197.09	178.77	301.33	444.72	303.44	152.28	309.83	209.84	198.47	166.73	265.87	217.27	285.03	273.37	255.0	258.57	260.38	255.0	202.66	166.73	381.68	237.86	242.88	414.87	226.54	387.02	180.02	403.5	271.48	186.4	148.09	435.55	82.29	122.64	351.14	426.57	297.17	366.09	423.61	460.44	285.03	301.33	351.14	493.56	232.94	339.14	503.95	587.13	309.83	343.89	258.57	281.09	363.56	285.03	536.45	403.5	426.57	351.14	346.29	346.29	400.71	366.09	199.85	273.37	141.02	242.88	543.96	295.11	470.14	147.06	249.73	169.07	34.51	36.79	77.25	15.11	29.91	25.54	50.63	74.58	26.28	0.0	239.52	47.84	124.37	791.35	507.46	915.51	684.02	743.43
ZNF346	232.94	136.19	177.53	224.97	198.47	299.25	295.11	246.28	262.2	224.97	185.11	226.54	303.44	162.14	303.44	206.94	262.2	224.97	297.17	186.4	171.45	269.6	220.32	366.09	273.37	226.54	103.69	271.48	206.94	301.33	198.47	253.23	134.3	256.78	145.02	320.8	195.72	223.41	236.21	146.03	159.9	285.03	78.34	141.02	348.71	273.37	209.84	241.19	307.69	332.14	236.21	273.37	265.87	327.56	161.02	204.07	361.04	299.25	249.73	303.44	293.07	224.97	246.28	202.66	373.81	329.84	226.54	201.25	239.52	129.69	239.52	379.04	249.73	237.86	211.31	205.5	314.17	248.0	339.14	241.19	234.57	75.11	41.81	69.52	66.65	64.8	75.64	78.89	52.08	94.01	37.05	78.34	202.66	138.1	147.06	463.65	279.14	423.61	307.69	356.05
ZNF500	293.07	293.07	69.03	295.11	161.02	329.84	361.04	221.86	218.79	111.99	145.02	285.03	339.14	239.52	497.0	221.86	334.46	229.72	202.66	132.44	102.97	144.01	205.5	153.34	309.83	180.02	99.43	186.4	301.33	183.82	167.9	180.02	104.42	229.72	130.6	231.32	125.24	150.17	164.42	57.08	119.26	400.71	190.34	90.14	183.82	180.02	218.79	153.34	325.29	275.28	191.67	182.55	149.12	273.37	95.34	190.34	325.29	293.07	214.27	255.0	267.73	303.44	131.51	164.42	258.57	323.03	289.02	180.02	175.07	85.22	417.77	246.28	134.3	244.57	119.26	111.21	201.25	163.28	273.37	146.03	231.32	36.79	24.11	48.52	52.45	29.48	46.5	54.33	68.55	28.65	30.34	0.0	178.77	77.25	68.07	432.53	307.69	389.72	281.09	426.57
ZNF512B	470.14	470.14	66.65	368.65	341.51	420.68	432.53	105.15	212.78	285.03	215.77	275.28	457.25	660.68	563.18	178.77	363.56	229.72	234.57	76.71	83.45	190.34	583.07	275.28	265.87	218.79	175.07	82.87	309.83	212.78	305.55	120.94	361.04	156.59	163.28	432.53	177.53	264.03	189.02	205.5	162.14	429.54	277.2	164.42	206.94	139.07	202.66	115.16	327.56	297.17	283.05	226.54	190.34	358.54	87.65	202.66	371.22	379.04	231.32	371.22	395.18	128.79	273.37	92.05	295.11	353.59	291.04	312.0	111.21	70.51	312.0	277.2	93.35	480.04	131.51	82.87	297.17	106.63	343.89	145.02	215.77	45.53	8.71	108.9	92.05	111.21	84.04	73.54	97.36	78.89	41.52	0.0	153.34	89.51	41.22	733.19	559.28	651.58	241.19	656.11
ZNF646	198.47	195.72	173.85	236.21	189.02	260.38	258.57	180.02	146.03	123.5	132.44	158.79	258.57	221.86	412.0	249.73	267.73	152.28	176.29	153.34	104.42	193.01	199.85	244.57	215.77	185.11	64.8	149.12	171.45	143.01	199.85	146.03	139.07	105.89	102.25	173.85	119.26	163.28	166.73	69.52	127.0	267.73	144.01	91.41	117.6	141.02	116.78	139.07	236.21	183.82	161.02	209.84	157.68	255.0	79.45	121.79	215.77	291.04	130.6	316.37	187.71	108.9	162.14	138.1	256.78	236.21	218.79	105.15	120.1	85.22	301.33	190.34	76.17	214.27	100.83	81.14	204.07	131.51	237.86	75.11	217.27	34.51	16.63	31.0	28.24	19.25	30.56	22.1	25.17	15.68	15.56	0.0	139.07	59.13	57.89	269.6	167.9	202.66	218.79	242.88
ZNF785	320.8	150.17	100.83	244.57	234.57	241.19	260.38	248.0	118.43	66.65	93.35	198.47	329.84	154.42	271.48	167.9	269.6	205.5	194.36	127.0	138.1	123.5	143.01	183.82	241.19	137.14	77.79	249.73	123.5	125.24	158.79	122.64	87.03	267.73	93.35	153.34	55.89	221.86	144.01	34.26	124.37	339.14	59.97	82.29	166.73	164.42	175.07	120.94	283.05	236.21	148.09	161.02	152.28	273.37	88.88	169.07	303.44	232.94	147.06	289.02	171.45	75.11	191.67	92.7	384.34	223.41	264.03	93.35	119.26	63.89	271.48	206.94	81.14	224.97	131.51	81.14	281.09	116.78	231.32	99.43	111.99	21.63	16.88	16.75	23.42	17.13	20.56	23.25	15.56	25.35	13.72	0.0	81.71	22.43	41.81	371.22	153.34	323.03	334.46	285.03
ZNF862	454.09	61.68	53.95	291.04	281.09	417.77	267.73	82.29	167.9	144.01	115.16	100.83	181.28	332.14	679.29	417.77	312.0	197.09	172.65	99.43	31.45	258.57	334.46	163.28	234.57	234.57	62.12	172.65	279.14	84.63	241.19	137.14	307.69	208.38	199.85	356.05	84.63	229.72	251.48	105.15	117.6	426.57	163.28	127.89	159.9	154.42	211.31	244.57	381.68	423.61	265.87	343.89	314.17	503.95	135.24	198.47	409.15	473.41	271.48	547.75	389.72	138.1	444.72	214.27	753.83	389.72	307.69	228.13	159.9	173.85	480.04	490.14	95.34	325.29	118.43	136.19	532.74	316.37	651.58	105.89	229.72	68.55	37.85	30.34	25.91	7.88	16.39	45.21	10.31	23.93	18.7	0.0	165.57	22.26	75.64	878.17	334.46	273.37	356.05	503.95
