	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.G9.6378.01A.11R.1789.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.HC.7752.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
STARD8	146.03	38.67	22.26	65.26	19.53	27.64	21.32	13.93	55.1	66.65	51.71	103.69	39.22	80.57	208.38	38.67	73.03	212.78	34.75	44.25	131.51	106.63	77.25	199.85	19.68	51.35	46.84	46.18	31.45	94.01	83.45	53.57	38.4	38.4	148.09	60.39	12.93	32.82	67.12	21.32	41.81	241.19	93.35	10.31	37.32	103.69	102.97	99.43	36.53	45.53	156.59	21.78	19.68	92.05	55.89	25.91	18.56	16.27	15.22	20.86	206.94	239.52	47.17	57.49	23.76	39.22	13.52	9.85	80.01	94.01	92.7	34.26	23.93	7.06	54.33	68.55	30.34	57.89	20.11	31.0	22.59	110.43	514.56	137.14	341.51	116.78	406.31	102.97	74.06	339.14	123.5	47.84	182.55	341.51
SYNPO	684.02	147.06	111.21	384.34	193.01	297.17	141.02	74.06	185.11	316.37	358.54	603.67	376.41	616.37	698.41	563.18	616.37	384.34	332.14	212.78	728.11	728.11	633.73	1199.98	193.01	224.97	316.37	403.5	239.52	1037.29	518.15	356.05	145.02	242.88	651.58	249.73	104.42	301.33	325.29	120.94	273.37	1304.15	660.68	64.8	229.72	426.57	559.28	460.44	172.65	218.79	417.77	209.84	90.14	316.37	348.71	277.2	215.77	211.31	86.43	80.01	1467.37	1044.52	269.6	303.44	177.53	151.22	178.77	167.9	603.67	368.65	493.56	183.82	154.42	83.45	277.2	325.29	283.05	406.31	142.01	223.41	190.34	693.58	1651.0	633.73	1233.75	384.34	791.35	466.88	848.22	1277.29	511.0	460.44	961.07	1639.59
SYT11	194.36	36.79	28.04	96.01	19.25	71.5	32.59	14.35	56.68	51.35	117.6	181.28	65.72	171.45	202.66	135.24	148.09	105.89	70.01	57.49	212.78	220.32	159.9	237.86	25.72	45.85	59.13	74.58	53.57	170.25	164.42	63.0	44.25	63.45	214.27	93.35	10.96	64.34	79.45	28.45	62.12	329.84	199.85	13.93	56.68	105.89	123.5	140.04	38.95	85.82	157.68	39.5	17.25	87.03	87.65	52.82	44.25	46.84	26.28	22.1	381.68	332.14	49.91	57.08	32.82	55.49	36.27	30.34	120.1	121.79	102.97	35.0	37.32	11.47	88.88	90.14	44.25	107.38	38.4	43.32	37.59	182.55	599.49	202.66	281.09	153.34	309.83	127.0	171.45	403.5	236.21	76.71	309.83	368.65
TIMP2	4181.07	836.53	713.11	2645.74	583.07	1233.75	693.58	236.21	1733.13	1583.71	1662.49	3168.41	1950.0	2739.08	4010.71	2796.65	2835.7	1977.24	1250.98	854.13	3515.68	3419.52	3515.68	4298.64	547.75	836.53	1378.57	1225.22	954.43	3146.52	2627.46	1151.06	884.29	1199.98	2956.17	1407.55	297.17	1721.16	1427.22	902.89	1127.35	4450.27	2720.15	226.54	2271.4	1870.53	3443.31	2502.97	808.0	1561.89	2178.83	921.88	493.56	1909.85	1467.37	1183.45	1030.12	1242.34	713.11	497.0	5995.9	5751.61	866.07	1295.13	688.78	1191.69	890.44	743.43	2997.45	2367.9	2287.2	878.17	764.36	281.09	1030.12	1857.6	1081.39	1529.73	878.17	1088.92	974.5	3039.3	9474.59	3982.99	6250.56	2875.3	4210.15	3467.27	4123.49	5594.3	4038.61	1909.85	4736.79	7537.18
TMEM200B	262.2	48.18	105.15	178.77	46.84	64.34	41.52	35.76	177.53	114.36	244.57	226.54	251.48	361.04	463.65	157.68	336.79	109.66	92.7	78.34	384.34	412.0	470.14	525.39	46.84	77.79	153.34	104.42	136.19	265.87	241.19	90.77	92.7	98.04	384.34	143.01	24.28	246.28	199.85	51.35	201.25	547.75	353.59	19.53	89.51	166.73	146.03	234.57	87.03	163.28	187.71	48.18	29.48	144.01	187.71	121.79	84.04	82.87	82.87	39.79	543.96	486.75	96.68	166.73	131.51	157.68	69.03	111.99	351.14	185.11	264.03	77.25	73.03	37.85	83.45	251.48	124.37	231.32	49.56	144.01	171.45	341.51	759.08	348.71	890.44	269.6	500.46	376.41	363.56	521.76	432.53	197.09	312.0	647.07
TRIM9	8.51	3.96	0.78	5.02	1.13	1.48	1.58	2.16	4.54	4.54	10.0	7.94	1.95	5.5	12.74	3.11	5.06	4.54	2.1	3.47	7.46	11.55	3.79	13.42	0.43	2.18	3.08	2.25	3.08	13.32	6.01	1.22	5.32	9.56	7.0	3.17	0.41	1.55	5.77	1.14	1.93	9.78	8.45	1.16	1.48	3.56	1.99	9.78	1.19	4.24	9.34	1.07	1.3	11.38	3.11	2.39	0.44	2.73	1.93	0.0	13.62	12.09	1.17	3.47	1.19	1.93	0.8	0.43	7.11	8.32	7.63	1.93	0.0	0.73	1.25	7.57	1.19	1.19	0.4	4.31	1.28	8.71	17.64	8.13	14.14	5.59	14.03	7.46	11.38	12.83	5.73	4.06	12.64	16.88
TRPC1	88.26	24.63	7.06	36.01	9.13	15.68	22.26	7.63	34.75	33.78	40.07	51.71	40.93	71.5	109.66	32.59	46.84	36.53	16.15	19.11	89.51	76.17	58.3	67.12	14.78	19.25	18.84	42.41	17.25	87.03	43.94	18.56	18.29	20.56	80.01	39.22	3.96	17.64	38.67	8.51	25.17	109.66	65.72	3.41	10.96	42.71	78.89	71.0	29.7	30.12	57.49	15.45	8.06	35.5	28.86	35.0	14.45	15.45	24.99	8.85	164.42	99.43	16.88	25.35	15.34	33.3	25.17	11.82	84.63	38.4	43.02	14.78	13.22	15.56	17.51	32.59	19.68	27.84	10.39	23.42	32.59	88.26	223.41	135.24	138.1	97.36	167.9	63.45	94.67	166.73	114.36	40.93	142.01	171.45
TRPC4	84.63	35.0	9.34	85.22	26.67	11.04	8.45	2.63	36.27	64.34	30.34	71.0	52.08	45.53	123.5	37.32	55.49	23.25	18.97	27.64	47.17	98.04	50.63	66.18	12.0	13.93	26.28	19.53	19.68	36.27	45.21	23.93	31.45	33.54	84.04	47.17	1.22	24.99	38.95	5.87	17.77	102.25	58.3	6.31	17.38	41.81	39.22	75.64	23.25	28.65	77.79	9.48	5.11	60.39	33.78	21.63	11.47	18.03	12.64	5.11	142.01	140.04	11.82	52.08	13.83	29.7	7.88	13.62	92.7	38.67	59.97	13.32	6.94	5.77	7.22	36.79	16.27	30.34	9.41	41.52	28.04	53.19	336.79	88.26	126.12	53.95	181.28	65.26	52.45	161.02	76.17	21.78	98.73	202.66
TSLP	70.51	28.04	9.56	15.68	20.41	6.16	5.92	9.06	22.43	62.56	53.57	29.06	24.28	128.79	126.12	37.05	43.02	15.68	9.56	8.45	96.01	42.71	185.11	88.88	7.51	13.52	27.84	20.11	28.65	32.13	24.46	14.14	13.93	10.55	117.6	30.34	0.0	24.81	31.0	6.21	7.46	224.97	68.55	2.84	7.34	16.63	23.76	53.95	8.13	14.67	57.08	6.41	3.56	18.43	18.03	13.62	14.67	6.57	8.38	4.24	132.44	85.22	12.45	10.71	12.64	6.41	4.46	6.21	59.13	42.71	24.99	9.27	15.22	1.43	11.21	53.57	8.71	19.68	2.61	15.0	15.34	94.67	151.22	110.43	193.01	111.21	323.03	49.21	149.12	283.05	117.6	70.51	94.67	205.5
TSPAN18	256.78	74.06	36.79	241.19	33.54	48.18	31.45	28.45	195.72	112.77	223.41	202.66	170.25	206.94	366.09	108.14	175.07	183.82	53.95	67.59	218.79	299.25	336.79	348.71	34.02	54.33	112.77	109.66	80.01	92.7	181.28	88.88	90.77	133.36	258.57	136.19	21.16	149.12	152.28	30.56	72.01	470.14	248.0	13.12	60.39	178.77	144.01	161.02	72.52	87.65	251.48	33.78	17.77	232.94	105.89	71.5	36.27	34.75	52.08	16.03	503.95	325.29	80.57	140.04	41.81	143.01	29.7	35.76	384.34	180.02	271.48	67.59	51.35	14.89	201.25	170.25	80.01	110.43	20.86	82.29	94.01	218.79	967.76	314.17	780.44	236.21	376.41	457.25	414.87	656.11	251.48	162.14	529.06	669.92
VSTM4	273.37	46.5	50.27	122.64	23.42	29.7	30.56	14.89	92.7	88.88	111.21	151.22	94.67	206.94	305.55	144.01	147.06	79.45	341.51	91.41	206.94	206.94	291.04	228.13	26.67	36.27	100.13	55.89	58.3	95.34	152.28	81.14	76.17	60.82	258.57	145.02	8.85	72.01	110.43	22.59	48.18	400.71	229.72	8.58	30.56	141.02	153.34	165.57	56.68	58.71	170.25	23.59	27.05	91.41	108.14	54.72	37.85	27.64	20.86	14.35	395.18	351.14	68.55	96.68	27.25	54.72	21.47	51.71	205.5	147.06	162.14	43.94	63.89	16.39	178.77	105.89	38.12	97.36	26.86	76.71	49.21	195.72	624.99	293.07	412.0	173.85	262.2	182.55	260.38	336.79	269.6	94.67	366.09	463.65
WFIKKN2	9.7	1.55	0.62	4.31	1.25	2.51	0.34	0.0	5.19	2.61	4.13	6.46	3.96	5.41	12.83	5.02	5.68	0.66	3.23	1.0	11.04	9.85	7.22	10.71	0.32	0.38	3.32	1.28	7.88	4.66	4.82	2.34	0.99	1.07	8.85	5.11	0.0	8.06	4.66	1.27	4.58	17.38	7.94	0.32	0.93	2.36	4.03	6.67	0.33	1.99	5.02	0.3	0.37	4.5	3.35	2.03	0.97	3.0	1.31	0.58	13.72	10.96	1.3	3.63	0.99	2.94	1.95	0.64	9.85	5.11	9.48	0.66	0.64	0.0	1.38	6.16	0.99	2.29	1.75	2.71	3.89	6.41	25.91	7.88	13.62	9.27	8.45	9.7	14.14	10.24	13.93	2.32	10.79	23.59
ZCCHC12	7.88	1.81	0.0	3.17	0.68	2.97	1.66	0.0	2.81	1.31	5.19	4.54	3.76	5.11	4.13	2.58	4.78	2.2	1.14	2.25	4.39	10.55	5.5	14.56	0.13	0.52	1.04	0.72	0.74	3.5	7.17	1.97	1.03	1.13	18.56	4.5	0.12	3.08	6.26	2.12	1.03	18.03	17.51	0.0	0.68	2.61	2.58	8.85	0.15	1.95	5.68	0.65	0.0	4.94	4.1	2.29	0.73	0.0	0.43	0.0	12.0	8.45	0.72	2.23	1.33	3.11	0.43	8.58	6.11	9.93	4.62	0.43	0.99	0.89	191.67	4.86	1.03	3.44	1.69	0.45	1.11	5.28	21.16	9.41	31.0	6.67	20.71	6.06	6.84	14.03	11.82	4.21	11.82	27.44
ZCCHC24	490.14	262.2	167.9	389.72	133.36	291.04	125.24	185.11	287.01	318.57	389.72	543.96	412.0	460.44	599.49	371.22	358.54	205.5	389.72	277.2	470.14	540.19	454.09	587.13	165.57	198.47	327.56	309.83	209.84	503.95	417.77	246.28	237.86	466.88	532.74	400.71	127.89	323.03	256.78	258.57	264.03	656.11	420.68	223.41	289.02	336.79	389.72	309.83	191.67	334.46	521.76	143.01	231.32	297.17	299.25	271.48	301.33	397.93	164.42	59.55	878.17	688.78	197.09	301.33	249.73	332.14	159.9	180.02	460.44	366.09	412.0	153.34	285.03	101.54	275.28	260.38	209.84	346.29	212.78	265.87	271.48	511.0	1135.2	500.46	848.22	323.03	775.05	438.59	738.29	825.0	476.71	327.56	547.75	848.22
ZNF423	115.97	29.91	19.82	93.35	25.35	37.32	20.71	9.13	61.25	58.71	66.65	128.79	77.79	96.68	223.41	63.45	113.56	52.45	41.22	57.08	88.88	131.51	112.77	121.79	18.16	32.13	46.84	38.4	43.94	94.67	86.43	50.63	31.9	38.12	100.13	56.28	10.63	55.49	59.55	11.13	56.68	180.02	119.26	10.16	43.02	76.71	92.05	90.77	36.79	45.53	98.04	20.71	8.78	53.95	46.84	37.05	18.84	27.44	23.08	17.0	211.31	189.02	31.9	56.28	21.16	31.67	22.92	30.12	130.6	85.22	80.57	29.91	42.41	6.11	27.25	53.95	33.3	46.84	18.56	40.36	41.22	88.26	320.8	121.79	236.21	75.64	164.42	109.66	127.89	204.07	84.04	51.71	99.43	242.88
