	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.ZC5H.2626.SM.5J2MG	GTEX.WXYG.2226.SM.4E3IM	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.145MH.0626.SM.5NQAK	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12584.1426.SM.5EGJ9	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.YFC4.1126.SM.5RQJN	GTEX.XBEC.1026.SM.4QASM	GTEX.Y111.1026.SM.4TT22	GTEX.11P7K.0326.SM.59871	GTEX.OXRN.0526.SM.2I5EN	GTEX.147F4.0926.SM.5Q5EO	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.12WSE.0826.SM.5S2VL	GTEX.11PRG.0926.SM.5EGI8	GTEX.11WQC.0626.SM.5EQMF	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.P4PQ.0526.SM.2HMKR	GTEX.11EI6.0826.SM.5985V	GTEX.14E7W.1326.SM.5RQIV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.117YX.1326.SM.5H125	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13O21.3026.SM.5J2NI	GTEX.13FLV.0426.SM.5KLZA	GTEX.1122O.0126.SM.5GICA	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.T6MN.0826.SM.32PM4	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZE7O.0826.SM.57WCP	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.11O72.1326.SM.5BC5A	GTEX.14DAR.0226.SM.5S2PR	GTEX.ZYT6.0526.SM.5GIEA	GTEX.Q2AG.1026.SM.33HBW	GTEX.139UW.0226.SM.5K7WU	GTEX.YJ8O.1826.SM.5HL82	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.146FH.1226.SM.5NQB6	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.OHPM.0526.SM.2YUMJ
KLHL12	769.69	866.07	525.39	728.11	146.03	285.03	423.61	414.87	376.41	149.12	277.2	435.55	170.25	540.19	356.05	249.73	409.15	426.57	299.25	150.17	175.07	420.68	406.31	341.51	146.03	466.88	532.74	463.65	211.31	209.84	285.03	420.68	511.0	463.65	115.16	190.34	100.83	214.27	323.03	473.41	197.09	473.41	368.65	400.71	234.57	208.38	208.38	412.0	150.17	148.09	381.68	463.65	346.29	249.73	176.29	239.52	236.21	301.33	460.44	170.25	237.86	400.71	318.57	493.56	466.88	255.0	229.72	463.65	346.29	175.07	212.78	121.79	237.86	199.85	110.43	316.37
LACE1	80.57	69.52	115.97	54.33	23.76	43.94	93.35	47.17	67.12	19.25	35.5	64.8	42.11	73.54	87.03	61.25	76.71	70.51	29.27	22.1	28.24	73.03	78.89	84.04	22.43	42.11	62.56	70.01	33.3	55.89	64.8	99.43	64.8	53.57	40.07	38.12	10.63	15.22	63.89	59.97	44.89	58.3	29.48	43.63	44.25	43.63	44.25	78.34	41.81	16.15	63.0	59.13	72.01	49.91	27.44	47.84	46.18	59.97	86.43	41.52	53.95	62.12	55.49	34.02	59.97	75.11	23.93	88.88	50.98	27.05	22.1	22.26	45.85	27.25	26.67	54.72
LRRC28	723.08	400.71	361.04	447.82	231.32	361.04	371.22	285.03	301.33	180.02	441.64	429.54	262.2	444.72	251.48	384.34	447.82	178.77	175.07	178.77	205.5	447.82	511.0	295.11	161.02	295.11	287.01	221.86	223.41	105.15	101.54	366.09	287.01	387.02	191.67	212.78	114.36	339.14	343.89	307.69	248.0	358.54	620.67	314.17	138.1	303.44	231.32	406.31	141.02	190.34	334.46	353.59	457.25	121.79	242.88	493.56	175.07	202.66	612.11	239.52	283.05	486.75	351.14	381.68	429.54	447.82	273.37	295.11	351.14	323.03	170.25	156.59	134.3	153.34	140.04	172.65
LRRC47	988.12	928.3	813.63	1030.12	361.04	403.5	802.41	629.35	555.41	209.84	579.04	860.08	490.14	830.75	316.37	559.28	620.67	1015.93	480.04	323.03	579.04	825.0	698.41	753.83	293.07	909.17	934.76	1088.92	309.83	316.37	665.29	1001.93	974.5	954.43	281.09	417.77	305.55	540.19	819.3	947.83	316.37	909.17	723.08	967.76	665.29	567.1	503.95	860.08	307.69	249.73	785.88	791.35	547.75	764.36	490.14	348.71	289.02	1051.79	748.61	547.75	753.83	748.61	728.11	551.56	723.08	587.13	293.07	1001.93	733.19	277.2	447.82	336.79	470.14	325.29	480.04	775.05
LSM14B	1044.52	638.15	890.44	743.43	277.2	486.75	733.19	769.69	536.45	180.02	376.41	529.06	206.94	961.07	346.29	529.06	665.29	718.08	323.03	246.28	460.44	660.68	555.41	669.92	275.28	813.63	764.36	638.15	423.61	204.07	312.0	603.67	769.69	547.75	285.03	283.05	132.44	575.03	769.69	1008.9	236.21	780.44	603.67	836.53	409.15	417.77	624.99	536.45	191.67	255.0	612.11	723.08	563.18	312.0	237.86	444.72	277.2	785.88	785.88	334.46	339.14	629.35	669.92	595.34	703.28	612.11	305.55	1104.13	532.74	325.29	363.56	151.22	371.22	312.0	287.01	397.93
LYRM2	967.76	1030.12	728.11	1015.93	248.0	483.38	718.08	540.19	423.61	244.57	353.59	575.03	285.03	647.07	332.14	384.34	796.86	620.67	473.41	336.79	212.78	607.87	497.0	373.81	173.85	723.08	708.18	825.0	258.57	253.23	529.06	669.92	872.1	525.39	204.07	295.11	140.04	327.56	444.72	660.68	318.57	629.35	540.19	830.75	497.0	255.0	480.04	665.29	285.03	244.57	728.11	688.78	327.56	620.67	220.32	389.72	454.09	759.08	665.29	384.34	429.54	444.72	476.71	507.46	497.0	279.14	291.04	723.08	518.15	301.33	281.09	241.19	309.83	297.17	381.68	660.68
MANSC1	1233.75	836.53	921.88	1216.75	169.07	256.78	764.36	698.41	454.09	181.28	211.31	780.44	72.01	616.37	234.57	220.32	620.67	486.75	103.69	45.85	115.97	884.29	529.06	493.56	197.09	473.41	738.29	764.36	87.03	167.9	376.41	571.05	684.02	733.19	105.15	139.07	28.86	269.6	441.64	490.14	361.04	860.08	514.56	728.11	305.55	180.02	189.02	571.05	66.65	93.35	813.63	791.35	299.25	199.85	96.01	132.44	183.82	713.11	708.18	159.9	199.85	447.82	343.89	607.87	679.29	356.05	126.12	409.15	521.76	215.77	141.02	34.26	189.02	132.44	65.72	698.41
MCEE	728.11	954.43	981.29	743.43	206.94	318.57	463.65	289.02	346.29	108.14	297.17	277.2	218.79	441.64	314.17	406.31	521.76	559.28	305.55	146.03	363.56	417.77	603.67	381.68	285.03	400.71	536.45	470.14	277.2	133.36	97.36	591.22	483.38	518.15	212.78	92.7	118.43	320.8	267.73	796.86	108.9	493.56	551.56	525.39	332.14	271.48	412.0	860.08	271.48	327.56	260.38	532.74	244.57	162.14	248.0	379.04	269.6	327.56	599.49	429.54	242.88	493.56	389.72	669.92	511.0	392.44	180.02	444.72	409.15	108.14	450.94	107.38	182.55	133.36	376.41	178.77
METTL18	336.79	303.44	264.03	312.0	20.11	102.97	180.02	73.03	107.38	42.71	71.5	124.37	71.0	158.79	100.83	134.3	163.28	221.86	114.36	37.85	61.68	128.79	133.36	71.5	84.04	161.02	191.67	182.55	63.89	19.11	72.01	208.38	201.25	221.86	32.82	59.13	23.59	87.03	125.24	170.25	50.98	162.14	173.85	155.5	64.8	108.9	60.82	220.32	63.0	24.28	120.94	137.14	64.8	66.18	49.56	120.1	120.1	176.29	197.09	68.07	84.63	111.21	84.04	156.59	187.71	49.21	53.19	165.57	118.43	51.71	78.34	37.85	41.52	48.18	55.1	123.5
MLLT10	518.15	473.41	500.46	420.68	206.94	346.29	429.54	397.93	466.88	214.27	329.84	532.74	214.27	486.75	371.22	299.25	551.56	412.0	201.25	139.07	400.71	665.29	555.41	384.34	211.31	438.59	426.57	403.5	376.41	194.36	334.46	679.29	529.06	587.13	395.18	80.57	97.36	299.25	450.94	607.87	171.45	358.54	392.44	521.76	281.09	312.0	417.77	454.09	136.19	205.5	423.61	579.04	379.04	384.34	189.02	595.34	287.01	529.06	389.72	507.46	193.01	536.45	493.56	483.38	379.04	483.38	323.03	397.93	454.09	258.57	236.21	208.38	264.03	339.14	220.32	224.97
MOCS3	211.31	155.5	195.72	220.32	28.45	63.89	124.37	88.88	71.5	24.11	70.01	66.18	39.5	127.0	31.9	71.0	119.26	140.04	31.45	28.04	47.84	87.65	67.59	53.95	48.52	127.89	108.9	148.09	31.9	32.36	90.14	87.03	143.01	78.89	40.36	50.98	19.53	49.56	88.26	150.17	49.56	133.36	88.88	159.9	52.08	67.59	73.54	129.69	23.59	29.91	87.03	135.24	75.64	76.17	32.59	52.82	49.56	147.06	109.66	33.54	62.56	81.71	63.0	84.63	106.63	49.21	23.42	121.79	86.43	26.28	42.41	36.79	61.68	35.76	53.19	130.6
MON1A	226.54	170.25	158.79	186.4	100.83	140.04	248.0	201.25	186.4	65.72	197.09	190.34	98.73	267.73	98.73	145.02	204.07	234.57	127.89	59.97	107.38	191.67	236.21	217.27	63.0	287.01	242.88	260.38	141.02	65.26	111.21	170.25	237.86	231.32	71.0	112.77	89.51	142.01	154.42	246.28	57.49	244.57	223.41	249.73	130.6	147.06	105.89	214.27	66.65	73.54	281.09	237.86	114.36	138.1	101.54	109.66	96.68	269.6	224.97	71.0	124.37	215.77	180.02	189.02	285.03	122.64	108.14	199.85	172.65	96.68	120.94	88.26	118.43	77.79	69.03	255.0
MPI	1111.82	961.07	1923.14	1216.75	281.09	346.29	808.0	753.83	603.67	190.34	647.07	616.37	387.02	780.44	353.59	281.09	536.45	638.15	371.22	170.25	356.05	620.67	642.59	543.96	264.03	860.08	866.07	1030.12	387.02	412.0	379.04	878.17	595.34	620.67	244.57	346.29	165.57	426.57	753.83	775.05	264.03	693.58	703.28	872.1	493.56	423.61	361.04	780.44	299.25	202.66	595.34	642.59	579.04	518.15	305.55	447.82	384.34	780.44	723.08	287.01	314.17	796.86	616.37	733.19	743.43	693.58	273.37	941.27	426.57	376.41	343.89	127.89	426.57	314.17	242.88	599.49
MPLKIP	89.51	73.03	98.04	105.15	46.84	62.12	105.15	60.82	62.12	45.85	47.5	68.07	44.89	84.04	42.41	65.26	101.54	131.51	73.03	30.12	41.81	73.03	104.42	74.06	36.01	78.89	85.82	63.0	55.49	38.67	43.63	96.68	100.13	98.73	41.22	53.95	22.92	59.55	60.82	111.21	41.52	88.26	89.51	81.14	48.87	43.32	56.68	105.89	42.41	52.08	61.25	88.26	45.85	46.5	22.26	74.58	70.51	92.05	127.89	35.0	74.58	97.36	68.55	116.78	101.54	55.49	50.27	58.71	62.12	45.53	51.71	44.25	55.1	39.22	54.72	67.59
MTERFD1	547.75	525.39	463.65	547.75	146.03	258.57	283.05	248.0	279.14	71.0	260.38	480.04	181.28	417.77	221.86	248.0	406.31	438.59	312.0	96.01	138.1	283.05	423.61	155.5	141.02	358.54	400.71	384.34	135.24	114.36	205.5	358.54	373.81	426.57	99.43	223.41	87.03	224.97	214.27	371.22	121.79	293.07	389.72	361.04	123.5	193.01	173.85	366.09	113.56	110.43	371.22	297.17	141.02	226.54	161.02	232.94	293.07	325.29	460.44	159.9	191.67	329.84	220.32	381.68	483.38	228.13	127.89	301.33	154.42	119.26	167.9	143.01	181.28	105.89	127.89	379.04
MTX2	1059.11	1008.9	743.43	688.78	211.31	518.15	748.61	518.15	684.02	218.79	323.03	723.08	351.14	764.36	547.75	376.41	679.29	854.13	293.07	198.47	381.68	603.67	620.67	607.87	194.36	660.68	791.35	647.07	379.04	265.87	351.14	860.08	813.63	738.29	226.54	371.22	107.38	332.14	693.58	759.08	191.67	642.59	612.11	713.11	500.46	348.71	480.04	764.36	226.54	244.57	718.08	620.67	532.74	518.15	212.78	476.71	435.55	583.07	884.29	289.02	256.78	759.08	769.69	854.13	775.05	381.68	341.51	591.22	633.73	334.46	318.57	123.5	368.65	269.6	277.2	480.04
NABP2	620.67	629.35	587.13	525.39	246.28	341.51	612.11	414.87	409.15	291.04	438.59	476.71	301.33	470.14	332.14	373.81	595.34	555.41	301.33	236.21	260.38	521.76	595.34	607.87	190.34	607.87	529.06	620.67	332.14	244.57	303.44	555.41	450.94	507.46	201.25	307.69	208.38	339.14	414.87	583.07	269.6	612.11	454.09	629.35	426.57	403.5	262.2	480.04	176.29	187.71	607.87	493.56	373.81	279.14	279.14	389.72	303.44	507.46	571.05	283.05	417.77	532.74	500.46	438.59	633.73	400.71	193.01	583.07	521.76	379.04	356.05	157.68	256.78	289.02	183.82	426.57
NHLRC1	115.97	104.42	157.68	100.83	7.63	12.74	50.63	42.11	19.97	3.44	10.47	19.25	8.58	57.08	12.45	17.13	55.89	75.11	10.39	5.77	7.11	61.68	48.52	21.32	9.63	47.84	89.51	118.43	10.96	13.32	16.03	73.03	75.11	24.11	5.63	12.45	6.26	7.57	34.51	68.55	7.51	65.26	55.1	81.71	5.68	22.92	13.52	36.79	8.58	6.89	40.07	52.45	27.25	33.54	6.21	13.72	24.28	85.22	57.89	14.78	15.56	51.35	36.53	25.54	43.94	21.32	7.75	73.54	37.59	10.71	16.15	10.63	11.91	11.47	7.17	61.68
NIF3L1	759.08	872.1	579.04	698.41	141.02	260.38	483.38	429.54	358.54	119.26	253.23	466.88	167.9	567.1	185.11	309.83	432.53	575.03	182.55	139.07	181.28	351.14	387.02	329.84	151.22	547.75	624.99	518.15	220.32	199.85	376.41	476.71	518.15	381.68	122.64	150.17	151.22	325.29	384.34	612.11	228.13	521.76	325.29	536.45	348.71	194.36	307.69	392.44	126.12	180.02	392.44	536.45	426.57	332.14	183.82	209.84	183.82	571.05	514.56	229.72	336.79	363.56	406.31	397.93	490.14	279.14	167.9	470.14	463.65	157.68	209.84	87.03	241.19	190.34	149.12	336.79
NIPSNAP1	1199.98	860.08	1242.34	665.29	206.94	426.57	665.29	842.36	607.87	256.78	363.56	514.56	209.84	708.18	400.71	403.5	647.07	660.68	224.97	170.25	325.29	660.68	460.44	642.59	197.09	480.04	902.89	860.08	371.22	262.2	343.89	743.43	620.67	599.49	228.13	231.32	127.0	454.09	551.56	775.05	258.57	684.02	575.03	688.78	406.31	253.23	454.09	728.11	231.32	232.94	389.72	660.68	660.68	373.81	205.5	473.41	229.72	547.75	698.41	435.55	246.28	669.92	698.41	830.75	555.41	624.99	281.09	769.69	603.67	400.71	441.64	137.14	353.59	309.83	153.34	429.54
NME6	764.36	599.49	543.96	473.41	162.14	316.37	511.0	336.79	353.59	113.56	303.44	343.89	232.94	536.45	253.23	325.29	480.04	384.34	246.28	63.45	209.84	420.68	336.79	232.94	224.97	486.75	460.44	429.54	239.52	185.11	293.07	426.57	457.25	463.65	148.09	226.54	149.12	320.8	343.89	450.94	204.07	444.72	450.94	409.15	253.23	204.07	255.0	518.15	173.85	182.55	454.09	423.61	379.04	323.03	220.32	265.87	239.52	490.14	476.71	226.54	236.21	397.93	384.34	403.5	547.75	291.04	218.79	373.81	305.55	212.78	223.41	146.03	297.17	228.13	183.82	366.09
NOA1	420.68	447.82	511.0	444.72	105.15	131.51	256.78	224.97	149.12	70.01	161.02	122.64	132.44	201.25	80.01	163.28	293.07	208.38	97.36	173.85	117.6	202.66	232.94	253.23	97.36	214.27	220.32	255.0	100.83	95.34	167.9	195.72	265.87	194.36	109.66	61.68	98.73	221.86	212.78	293.07	88.88	215.77	249.73	265.87	215.77	108.9	283.05	239.52	96.68	94.67	171.45	297.17	148.09	202.66	113.56	124.37	99.43	206.94	223.41	172.65	176.29	217.27	177.53	255.0	228.13	138.1	98.73	251.48	283.05	82.29	149.12	152.28	139.07	143.01	199.85	169.07
NT5DC1	2209.26	1369.04	1331.57	555.41	264.03	518.15	567.1	967.76	532.74	341.51	409.15	616.37	267.73	928.3	493.56	320.8	463.65	511.0	166.73	327.56	463.65	743.43	587.13	497.0	208.38	848.22	698.41	616.37	253.23	264.03	529.06	819.3	674.59	480.04	397.93	291.04	171.45	532.74	674.59	693.58	361.04	603.67	703.28	1044.52	518.15	273.37	642.59	713.11	248.0	289.02	559.28	902.89	547.75	486.75	237.86	518.15	283.05	808.0	785.88	403.5	341.51	728.11	642.59	819.3	454.09	669.92	361.04	802.41	723.08	406.31	343.89	92.05	279.14	368.65	327.56	563.18
NUDCD3	2303.12	3018.3	2664.15	2335.28	543.96	802.41	1819.35	2119.22	1477.58	483.38	1447.15	1277.29	830.75	1594.73	693.58	1051.79	1617.0	1617.0	1199.98	403.5	915.51	1378.57	1304.15	1519.15	503.95	1427.22	1183.45	2090.03	1111.82	444.72	1119.56	1427.22	1519.15	1340.84	674.59	567.1	361.04	1175.27	1697.45	2148.82	454.09	1721.16	1477.58	1378.57	1051.79	981.29	1519.15	1407.55	607.87	642.59	1781.89	1572.76	1331.57	928.3	1030.12	878.17	775.05	1551.09	1313.23	1023.0	1143.1	2335.28	1111.82	1467.37	1250.98	1175.27	743.43	2224.63	1457.23	842.36	981.29	387.02	934.76	728.11	563.18	1369.04
NUP37	723.08	587.13	395.18	444.72	68.07	187.71	279.14	323.03	251.48	101.54	273.37	438.59	211.31	417.77	209.84	166.73	329.84	441.64	151.22	81.71	126.12	297.17	260.38	223.41	98.04	381.68	497.0	450.94	134.3	150.17	229.72	432.53	379.04	336.79	103.69	162.14	44.57	204.07	343.89	397.93	150.17	366.09	293.07	470.14	198.47	123.5	223.41	341.51	122.64	103.69	353.59	356.05	299.25	287.01	96.01	172.65	156.59	368.65	409.15	153.34	217.27	283.05	262.2	450.94	373.81	190.34	107.38	351.14	307.69	95.34	150.17	57.89	159.9	194.36	125.24	256.78
OARD1	1437.15	995.0	1159.07	708.18	309.83	450.94	1001.93	540.19	656.11	193.01	463.65	764.36	264.03	728.11	450.94	620.67	896.64	728.11	353.59	246.28	373.81	698.41	743.43	571.05	187.71	567.1	703.28	638.15	376.41	283.05	480.04	1044.52	796.86	703.28	189.02	218.79	131.51	379.04	551.56	748.61	262.2	830.75	703.28	713.11	269.6	454.09	420.68	1135.2	228.13	223.41	583.07	738.29	514.56	285.03	255.0	529.06	454.09	500.46	974.5	327.56	406.31	830.75	473.41	860.08	679.29	507.46	277.2	536.45	656.11	231.32	287.01	170.25	361.04	264.03	273.37	329.84
ORC5	470.14	400.71	438.59	343.89	50.98	161.02	277.2	152.28	141.02	53.57	133.36	343.89	77.79	224.97	119.26	134.3	269.6	199.85	120.94	54.33	79.45	224.97	327.56	165.57	82.87	201.25	215.77	249.73	82.29	83.45	181.28	371.22	176.29	265.87	51.35	68.55	31.9	156.59	211.31	256.78	74.06	206.94	198.47	204.07	162.14	151.22	136.19	279.14	68.55	63.45	182.55	189.02	178.77	161.02	85.82	123.5	153.34	197.09	295.11	86.43	151.22	320.8	131.51	229.72	305.55	126.12	80.01	176.29	163.28	71.5	112.77	37.05	108.9	77.79	56.68	140.04
PARS2	132.44	108.14	162.14	116.78	18.16	36.27	62.56	31.67	35.0	11.73	23.59	40.64	19.25	72.52	13.93	46.5	56.28	72.52	18.03	14.89	30.78	50.98	43.63	24.63	28.65	66.18	65.72	67.59	13.93	14.14	38.95	44.89	68.07	52.82	17.0	24.46	13.03	46.84	40.36	77.25	28.24	82.87	55.49	82.29	32.59	25.35	39.79	65.26	17.51	12.09	26.1	75.11	40.36	37.05	22.1	25.91	20.11	57.89	60.39	23.25	25.91	44.89	28.24	42.11	74.06	38.95	12.93	74.06	34.75	19.82	25.91	19.11	19.97	24.28	21.01	56.68
PHOSPHO2	368.65	318.57	307.69	154.42	44.57	45.21	99.43	108.9	94.01	33.54	52.45	120.94	24.28	148.09	43.32	39.5	102.97	134.3	61.68	26.47	56.28	189.02	96.01	52.82	29.48	147.06	171.45	150.17	57.89	38.4	47.17	218.79	94.01	101.54	46.84	29.27	13.03	35.0	100.13	159.9	39.5	69.03	70.51	141.02	27.25	59.97	59.97	209.84	29.91	37.32	66.18	106.63	58.3	35.5	50.98	63.0	59.55	77.79	113.56	37.05	18.97	121.79	115.16	96.68	117.6	74.06	34.75	134.3	112.77	49.21	32.82	29.06	40.64	19.97	39.22	58.3
PIGC	1340.84	825.0	1015.93	872.1	229.72	389.72	808.0	669.92	575.03	155.5	346.29	708.18	303.44	728.11	363.56	460.44	836.53	728.11	473.41	177.53	194.36	638.15	848.22	559.28	209.84	679.29	738.29	753.83	387.02	275.28	567.1	941.27	860.08	860.08	162.14	409.15	129.69	435.55	733.19	915.51	368.65	872.1	723.08	836.53	438.59	397.93	371.22	769.69	186.4	214.27	616.37	808.0	473.41	493.56	194.36	441.64	351.14	775.05	866.07	327.56	490.14	651.58	551.56	743.43	769.69	392.44	237.86	753.83	819.3	285.03	281.09	139.07	395.18	221.86	214.27	555.41
PIGM	283.05	275.28	248.0	197.09	52.08	53.95	116.78	111.21	97.36	63.0	52.45	111.21	50.63	157.68	66.18	69.52	130.6	105.15	76.71	60.82	61.68	145.02	121.79	77.79	74.58	140.04	150.17	169.07	53.95	55.89	95.34	134.3	146.03	125.24	34.75	33.06	12.09	80.57	78.89	132.44	66.18	111.99	122.64	162.14	71.5	49.56	72.01	109.66	35.25	66.65	144.01	157.68	120.94	107.38	82.87	80.01	77.25	142.01	137.14	79.45	62.12	107.38	74.58	98.04	163.28	78.89	59.97	150.17	98.04	67.59	53.57	29.7	54.33	59.97	59.97	177.53
PMVK	1487.87	1388.16	1340.84	1119.56	587.13	1233.75	1487.87	1551.09	1304.15	616.37	921.88	967.76	579.04	1639.59	1378.57	884.29	1175.27	1977.24	988.12	429.54	1037.29	1427.22	1037.29	1896.65	283.05	1529.73	1508.65	1963.57	1023.0	493.56	540.19	1369.04	1242.34	1277.29	579.04	1073.91	941.27	941.27	1359.57	1857.6	346.29	1628.26	1340.84	1487.87	638.15	1175.27	651.58	1651.0	395.18	414.87	1259.69	1437.15	1159.07	878.17	915.51	1304.15	872.1	1733.13	1498.22	435.55	624.99	1369.04	1331.57	1216.75	1340.84	842.36	698.41	2485.67	1477.58	1081.39	934.76	518.15	651.58	684.02	397.93	1191.69
POLR2G	2468.49	2133.97	2367.9	1844.76	708.18	1540.37	2163.77	1259.69	1832.01	674.59	1322.37	2468.49	1135.2	2004.85	1175.27	1844.76	2573.36	2520.38	1175.27	547.75	708.18	1617.0	1991.0	2468.49	780.44	1991.0	2537.92	2400.97	1030.12	1030.12	1044.52	2720.15	1498.22	1857.6	629.35	1437.15	825.0	1331.57	2075.59	2075.59	995.0	2367.9	2018.8	1991.0	1359.57	1359.57	1096.5	1963.57	872.1	884.29	2645.74	2018.8	1896.65	981.29	819.3	1350.18	1044.52	2004.85	2627.46	1044.52	1508.65	2384.37	1551.09	2178.83	2351.53	1674.06	1037.29	2133.97	1721.16	967.76	1104.13	500.46	1023.0	728.11	713.11	995.0
PPIE	1081.39	1605.83	1457.23	1143.1	341.51	1015.93	1651.0	656.11	928.3	327.56	974.5	780.44	490.14	1104.13	713.11	902.89	1457.23	1001.93	500.46	343.89	525.39	967.76	1331.57	1059.11	291.04	802.41	1191.69	1001.93	698.41	334.46	444.72	1167.14	1023.0	1437.15	389.72	540.19	332.14	543.96	1167.14	1135.2	579.04	1059.11	1594.73	1037.29	872.1	620.67	595.34	1350.18	423.61	420.68	1111.82	902.89	791.35	529.06	368.65	872.1	656.11	934.76	1151.06	450.94	708.18	1540.37	1111.82	988.12	1073.91	679.29	366.09	1183.45	1030.12	457.25	595.34	239.52	426.57	587.13	251.48	616.37
PTCD2	201.25	253.23	191.67	151.22	22.26	47.5	85.82	60.39	59.97	29.91	51.35	84.04	26.1	74.06	57.49	37.05	90.77	67.12	49.56	23.25	26.28	71.5	84.63	53.57	39.22	63.89	77.79	87.65	31.9	25.17	58.71	97.36	58.71	101.54	11.64	28.45	13.52	39.5	50.98	61.68	31.0	55.49	73.03	74.58	29.48	30.78	33.54	95.34	18.84	19.68	72.52	68.07	49.91	42.71	20.26	48.18	45.21	69.52	87.03	36.01	29.27	108.14	55.89	83.45	85.22	55.49	32.36	65.26	41.81	24.46	38.95	15.45	31.67	32.13	16.63	42.71
QRSL1	209.84	205.5	323.03	336.79	38.95	107.38	167.9	146.03	120.94	51.35	72.01	244.57	94.67	191.67	118.43	103.69	183.82	149.12	98.04	44.25	91.41	156.59	176.29	81.14	90.14	202.66	176.29	100.83	105.89	109.66	187.71	289.02	185.11	239.52	58.71	85.22	17.77	72.01	147.06	156.59	76.17	110.43	129.69	136.19	108.9	103.69	122.64	172.65	81.71	94.01	138.1	112.77	107.38	183.82	90.14	111.21	90.14	176.29	149.12	103.69	104.42	185.11	103.69	171.45	172.65	77.25	128.79	120.1	114.36	61.68	77.25	29.91	111.21	65.72	75.11	170.25
RABEPK	616.37	480.04	373.81	423.61	177.53	283.05	525.39	318.57	379.04	131.51	368.65	351.14	256.78	376.41	309.83	309.83	529.06	441.64	258.57	154.42	209.84	353.59	555.41	466.88	144.01	426.57	536.45	450.94	262.2	206.94	277.2	429.54	348.71	441.64	125.24	258.57	115.16	246.28	318.57	358.54	176.29	387.02	426.57	420.68	353.59	267.73	165.57	346.29	185.11	155.5	559.28	334.46	249.73	320.8	246.28	323.03	287.01	356.05	503.95	199.85	265.87	547.75	353.59	412.0	463.65	327.56	217.27	438.59	341.51	239.52	212.78	124.37	214.27	139.07	141.02	395.18
RAD17	743.43	624.99	551.56	669.92	140.04	323.03	373.81	341.51	283.05	96.68	281.09	450.94	142.01	387.02	212.78	217.27	400.71	392.44	158.79	144.01	189.02	376.41	395.18	314.17	166.73	356.05	366.09	432.53	172.65	129.69	262.2	444.72	435.55	409.15	106.63	134.3	100.83	226.54	327.56	389.72	167.9	368.65	435.55	397.93	175.07	197.09	260.38	417.77	193.01	121.79	279.14	441.64	215.77	242.88	120.94	234.57	146.03	295.11	395.18	182.55	201.25	353.59	267.73	368.65	329.84	214.27	124.37	361.04	336.79	165.57	177.53	114.36	228.13	141.02	156.59	218.79
RAE1	1407.55	791.35	1073.91	616.37	144.01	170.25	417.77	143.01	309.83	176.29	202.66	387.02	228.13	555.41	376.41	293.07	511.0	353.59	289.02	136.19	173.85	363.56	493.56	287.01	403.5	318.57	463.65	457.25	224.97	289.02	559.28	753.83	381.68	567.1	131.51	285.03	194.36	232.94	406.31	507.46	264.03	463.65	371.22	518.15	241.19	228.13	212.78	395.18	312.0	190.34	633.73	409.15	387.02	361.04	152.28	246.28	351.14	486.75	507.46	291.04	339.14	368.65	151.22	543.96	629.35	273.37	206.94	389.72	316.37	201.25	220.32	223.41	291.04	140.04	332.14	279.14
