	GTEX.SNMC.0826.SM.4DM66	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.XF.A8HC.01A.11R.A36F.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.DK.A1AG.01A.11R.A13Y.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.E7.A5KE.01A.11R.A28M.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.E7.A5KF.01A.11R.A28M.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.DK.AA77.01A.11R.A39I.07	TCGA.FT.A61P.01A.11R.A30C.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.4Z.AA7S.01A.11R.A39I.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.4Z.AA7Y.01A.11R.A39I.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.XF.A8HI.01A.11R.A38B.07	TCGA.XF.A8HG.01A.11R.A36F.07	GTEX.11TT1.1026.SM.5PNW7	TCGA.05.5715.01A.01R.1628.07	TCGA.44.7672.01A.11R.2066.07	TCGA.05.5429.01A.01R.1628.07	TCGA.78.7540.01A.11R.2066.07	TCGA.49.4506.01A.01R.1206.07	GTEX.132NY.1226.SM.5PNVF	GTEX.14ABY.1126.SM.5Q5F8	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.11DXZ.0726.SM.5N9C4	GTEX.12584.1426.SM.5EGJ9	GTEX.OXRN.0526.SM.2I5EN	GTEX.11PRG.0926.SM.5EGI8	GTEX.11GSP.0726.SM.5986L	GTEX.1477Z.0626.SM.5NQB7	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.13QJ3.1026.SM.5QGQU	GTEX.SN8G.0926.SM.4DM5I	GTEX.111VG.0726.SM.5GIDC	GTEX.14DAR.0226.SM.5S2PR	GTEX.X4EP.0526.SM.3P5YW	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.ZVT3.0926.SM.5GICK	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3MZ.01A.11R.A21D.07	GTEX.ZP4G.0726.SM.4WWF2
SGCA	85.82	85.22	11.47	14.24	1.77	17.13	28.65	11.38	11.82	15.11	0.96	13.62	1.75	15.91	5.5	1437.15	79.45	7.34	9.63	8.38	25.54	8.51	45.21	21.16	8.92	51.35	13.03	5.19	297.17	52.82	17.13	34.51	26.1	2.29	19.82	6.06	45.85	12.09	583.07	10.16	37.85	20.26	13.62	3.59	65.26	111.99	152.28	119.26	115.97	28.24	295.11	616.37	426.57	255.0	145.02	109.66	567.1	2976.74	2209.26	2777.33	3235.01	1709.26	3060.45	6164.49	2335.28	123.5	2573.36	981.29	1277.29	4481.23	379.04	113.56	58.3	52.45	32.82	1044.52
SH2D3C	236.21	281.09	154.42	80.01	39.79	74.06	48.52	32.13	50.98	86.43	40.36	85.22	42.41	68.55	60.39	420.68	177.53	89.51	63.45	49.56	73.54	78.34	120.1	92.7	33.06	291.04	46.84	84.04	139.07	113.56	100.13	131.51	103.69	49.56	124.37	86.43	187.71	62.56	129.69	61.68	98.73	95.34	102.97	17.77	236.21	187.71	277.2	52.45	204.07	96.01	1096.5	1697.45	848.22	476.71	660.68	591.22	836.53	2720.15	1806.78	1721.16	2573.36	3395.89	1008.9	1159.07	1059.11	1594.73	1143.1	808.0	2537.92	1819.35	1896.65	262.2	255.0	279.14	351.14	414.87
SH3RF3	151.22	42.11	24.46	13.93	6.11	10.0	43.02	17.64	9.41	17.25	10.16	22.75	32.13	15.34	15.56	186.4	102.25	18.03	25.91	18.03	49.56	38.95	39.5	34.26	6.06	81.14	27.64	21.78	74.58	43.94	26.86	47.5	84.63	13.83	87.65	18.97	50.63	13.93	193.01	17.0	47.17	14.78	38.4	11.82	169.07	95.34	162.14	78.89	56.28	37.05	256.78	277.2	406.31	190.34	80.01	176.29	532.74	323.03	258.57	193.01	583.07	329.84	363.56	336.79	273.37	63.45	285.03	88.88	195.72	320.8	265.87	53.95	60.39	36.27	74.06	182.55
SHANK3	215.77	153.34	108.9	41.22	17.64	42.71	56.68	29.27	43.02	44.89	26.47	57.49	50.27	34.02	39.22	183.82	94.01	48.52	53.95	34.02	90.14	40.36	63.89	62.56	59.55	140.04	41.22	57.89	132.44	65.72	88.88	99.43	98.73	30.78	101.54	38.67	86.43	73.03	75.11	35.5	78.89	46.18	92.05	38.4	110.43	98.73	103.69	35.0	54.72	48.52	149.12	197.09	175.07	43.32	159.9	221.86	503.95	775.05	438.59	1088.92	237.86	387.02	665.29	808.0	318.57	351.14	616.37	490.14	242.88	163.28	224.97	152.28	237.86	237.86	279.14	205.5
SLC12A4	642.59	791.35	1685.71	387.02	351.14	4607.24	974.5	723.08	384.34	420.68	318.57	490.14	215.77	620.67	327.56	684.02	651.58	555.41	265.87	587.13	620.67	718.08	780.44	688.78	332.14	211.31	303.44	346.29	514.56	387.02	444.72	447.82	490.14	251.48	521.76	301.33	1044.52	503.95	1529.73	412.0	896.64	387.02	325.29	921.88	267.73	435.55	567.1	441.64	674.59	595.34	995.0	1151.06	1639.59	409.15	1350.18	1685.71	1551.09	1191.69	2209.26	698.41	1857.6	2061.24	1572.76	1030.12	1832.01	753.83	1340.84	1427.22	2468.49	2193.99	1950.0	995.0	995.0	1023.0	1119.56	934.76
SLC17A7	16.51	4.39	1.6	0.68	4.86	9.85	5.11	4.21	4.5	10.16	1.23	3.53	0.59	1.3	1.16	12.64	2.27	1.85	1.38	3.72	0.39	3.38	3.26	2.66	1.73	3.79	5.5	1.53	3.44	1.55	0.93	1.04	1.95	1.3	5.96	3.32	4.78	6.46	7.22	1.75	6.41	2.58	1.6	1.58	12.36	3.96	5.36	1.13	3.17	1.31	1.22	10.0	6.21	0.0	7.69	13.32	8.99	44.25	5.73	8.32	4.35	12.74	17.77	7.88	23.25	0.51	6.26	12.27	6.31	26.86	6.01	4.39	6.73	3.56	10.71	64.34
SLC8A1	56.68	19.53	18.03	15.8	29.7	18.43	87.03	10.08	7.57	4.54	11.91	37.32	121.79	5.77	3.76	195.72	36.01	18.16	21.47	16.39	32.13	99.43	19.82	31.9	20.41	41.81	22.26	27.05	109.66	43.02	15.22	59.55	82.87	110.43	42.11	18.56	18.43	14.67	153.34	12.93	33.78	15.0	13.62	6.67	16.51	97.36	90.14	26.28	29.06	20.56	232.94	547.75	281.09	387.02	180.02	57.49	57.49	177.53	265.87	163.28	99.43	228.13	339.14	98.73	234.57	275.28	151.22	112.77	384.34	61.25	218.79	8.32	24.46	18.7	20.86	967.76
SLIT2	96.01	3.08	3.53	0.37	0.32	17.0	23.59	0.0	2.46	0.34	0.0	1.22	2.61	1.0	1.19	159.9	4.94	0.65	31.45	0.66	10.63	36.01	24.28	18.16	0.89	16.63	11.38	2.78	120.94	30.12	13.72	8.85	10.96	5.19	5.36	1.85	8.51	4.78	133.36	3.23	10.71	0.36	4.46	1.22	17.0	87.65	195.72	34.75	50.63	45.53	341.51	872.1	575.03	291.04	226.54	1397.83	351.14	1030.12	1242.34	543.96	830.75	2271.4	1397.83	866.07	1794.29	532.74	559.28	909.17	1769.57	836.53	921.88	108.14	96.68	197.09	131.51	2417.67
SMIM10	98.04	113.56	162.14	96.01	70.01	87.03	129.69	12.09	17.51	82.29	20.41	78.34	18.29	45.53	88.88	323.03	74.58	153.34	36.53	39.5	59.55	629.35	140.04	33.54	52.45	75.64	75.64	25.54	102.97	51.35	102.97	97.36	93.35	66.18	58.3	34.26	54.72	23.08	159.9	59.97	55.49	47.17	56.68	66.65	48.18	90.77	97.36	68.55	56.68	26.67	316.37	98.04	67.59	46.18	120.94	186.4	126.12	620.67	120.1	514.56	42.41	197.09	612.11	708.18	387.02	56.28	460.44	281.09	151.22	167.9	150.17	63.45	76.17	71.0	60.39	607.87
SMOC2	248.0	87.03	71.0	23.59	29.48	42.11	185.11	8.25	15.56	29.91	15.11	46.18	65.26	40.07	6.46	2664.15	229.72	56.28	17.25	27.44	186.4	67.12	153.34	49.21	1.79	246.28	111.99	13.83	698.41	271.48	134.3	87.03	229.72	29.91	152.28	25.72	177.53	12.27	1697.45	33.54	193.01	46.84	53.19	43.02	90.14	358.54	346.29	384.34	56.28	112.77	387.02	409.15	297.17	1015.93	129.69	80.57	329.84	698.41	116.78	591.22	275.28	182.55	1175.27	1096.5	775.05	73.03	205.5	483.38	450.94	1519.15	256.78	105.15	140.04	90.14	129.69	878.17
SORBS3	941.27	651.58	629.35	780.44	872.1	1697.45	941.27	486.75	1529.73	223.41	450.94	371.22	283.05	547.75	177.53	1883.54	607.87	656.11	177.53	1059.11	312.0	1135.2	1397.83	1437.15	100.83	660.68	389.72	229.72	961.07	587.13	220.32	1059.11	1950.0	297.17	848.22	400.71	688.78	165.57	1369.04	136.19	1457.23	460.44	384.34	73.03	860.08	1721.16	1883.54	872.1	1721.16	256.78	3190.46	4328.55	2701.35	1628.26	3124.78	2502.97	3564.78	9808.75	3280.18	6426.31	2287.2	4512.4	8840.04	6250.56	4543.8	4639.29	5292.48	6381.92	3018.3	4095.0	3018.3	2004.85	2520.38	2047.0	1697.45	2915.45
SOX18	376.41	271.48	158.79	70.01	40.93	112.77	63.89	52.45	79.45	107.38	51.71	98.73	57.08	112.77	88.26	896.64	229.72	176.29	116.78	57.08	101.54	115.16	759.08	115.16	56.68	277.2	61.68	83.45	142.01	194.36	137.14	205.5	145.02	64.8	166.73	159.9	221.86	101.54	142.01	84.63	161.02	123.5	161.02	23.76	305.55	193.01	165.57	46.5	151.22	90.14	493.56	348.71	540.19	214.27	450.94	74.58	101.54	1322.37	1073.91	624.99	329.84	2855.44	612.11	909.17	152.28	595.34	1359.57	389.72	400.71	878.17	775.05	341.51	303.44	339.14	432.53	1313.23
ST5	1242.34	1199.98	825.0	836.53	651.58	543.96	733.19	432.53	769.69	669.92	497.0	2163.77	204.07	1151.06	819.3	1427.22	543.96	529.06	486.75	295.11	376.41	769.69	334.46	503.95	665.29	1745.2	312.0	708.18	620.67	620.67	599.49	500.46	703.28	339.14	490.14	251.48	536.45	1081.39	890.44	312.0	305.55	314.17	1037.29	454.09	543.96	1359.57	1233.75	603.67	860.08	185.11	2319.15	1259.69	1561.89	567.1	1359.57	1519.15	2319.15	1909.85	1477.58	1037.29	2303.12	2047.0	1268.46	902.89	2485.67	819.3	813.63	802.41	1277.29	1857.6	2351.53	1397.83	1883.54	974.5	1477.58	3212.66
ST6GALNAC6	529.06	246.28	327.56	381.68	117.6	275.28	525.39	249.73	417.77	334.46	332.14	414.87	191.67	563.18	262.2	1259.69	204.07	127.89	140.04	256.78	444.72	679.29	612.11	273.37	97.36	329.84	447.82	234.57	915.51	291.04	128.79	497.0	457.25	583.07	529.06	170.25	511.0	186.4	723.08	332.14	373.81	244.57	191.67	361.04	684.02	521.76	1066.48	518.15	536.45	363.56	2573.36	4239.45	4512.4	2935.74	961.07	2434.5	4095.0	4450.27	2682.69	3794.3	5751.61	4671.57	3349.13	3690.52	3794.3	2367.9	2502.97	4512.4	2627.46	4095.0	3794.3	1059.11	860.08	808.0	1268.46	1111.82
STARD8	44.89	44.89	23.08	11.91	10.63	7.57	34.02	5.92	11.47	12.09	9.13	15.56	15.11	6.41	13.72	148.09	33.78	17.9	17.77	11.73	33.06	40.07	28.65	27.05	6.89	53.95	9.41	19.97	57.49	25.72	25.91	49.56	29.06	10.63	39.22	22.43	23.93	14.45	58.3	12.36	24.46	9.93	22.75	5.92	37.59	57.49	116.78	23.42	81.14	48.87	218.79	177.53	165.57	190.34	148.09	244.57	457.25	403.5	450.94	438.59	748.61	366.09	291.04	454.09	175.07	460.44	591.22	312.0	532.74	176.29	277.2	57.08	52.45	59.97	104.42	106.63
STARD9	42.71	16.63	12.45	4.35	2.63	17.77	9.63	5.92	7.88	5.77	7.06	9.2	3.76	2.61	7.51	74.58	23.59	8.25	6.57	1.58	10.31	11.04	6.89	6.36	2.03	20.11	3.63	5.82	21.78	11.21	8.0	10.88	12.27	4.54	9.63	4.54	13.72	6.26	31.67	5.82	9.85	4.86	12.36	2.39	18.7	11.55	18.97	5.23	25.17	9.85	59.13	309.83	127.0	50.98	76.17	211.31	119.26	172.65	181.28	237.86	239.52	343.89	297.17	109.66	236.21	65.72	221.86	239.52	279.14	291.04	242.88	31.45	45.21	27.84	64.34	108.9
STAT5B	518.15	316.37	379.04	281.09	309.83	339.14	253.23	343.89	500.46	612.11	281.09	444.72	173.85	267.73	507.46	713.11	305.55	476.71	551.56	341.51	312.0	291.04	303.44	379.04	295.11	954.43	287.01	353.59	490.14	457.25	348.71	497.0	503.95	438.59	400.71	318.57	429.54	232.94	555.41	460.44	480.04	318.57	466.88	764.36	457.25	497.0	507.46	273.37	389.72	285.03	764.36	693.58	656.11	536.45	403.5	1498.22	1651.0	583.07	1030.12	902.89	1096.5	836.53	1030.12	934.76	1572.76	529.06	934.76	866.07	1250.98	583.07	1044.52	511.0	532.74	518.15	693.58	1685.71
SYT11	97.36	39.5	28.65	12.0	22.43	12.09	28.86	3.32	11.82	19.25	15.22	18.56	36.27	6.46	14.35	205.5	52.08	10.08	19.53	9.06	42.41	61.25	44.57	39.5	10.0	52.45	22.1	29.06	90.77	53.95	21.78	48.52	41.81	15.11	42.11	15.34	25.54	15.11	209.84	19.25	41.52	20.86	68.55	5.54	73.03	78.34	159.9	69.52	35.76	50.27	265.87	267.73	100.83	27.64	108.14	131.51	126.12	718.08	325.29	660.68	158.79	244.57	490.14	967.76	123.5	165.57	195.72	105.15	277.2	343.89	149.12	53.57	108.9	48.52	91.41	299.25
TBC1D25	173.85	139.07	167.9	143.01	138.1	148.09	209.84	134.3	253.23	127.0	124.37	162.14	153.34	127.0	128.79	237.86	113.56	73.54	191.67	155.5	212.78	82.87	217.27	182.55	95.34	275.28	176.29	186.4	279.14	129.69	220.32	260.38	204.07	180.02	204.07	193.01	140.04	139.07	237.86	150.17	224.97	131.51	186.4	177.53	140.04	249.73	251.48	189.02	186.4	81.71	224.97	289.02	363.56	236.21	153.34	420.68	260.38	703.28	412.0	258.57	616.37	400.71	289.02	171.45	273.37	185.11	159.9	366.09	353.59	281.09	473.41	221.86	191.67	152.28	287.01	483.38
TCF4	775.05	153.34	76.17	54.72	22.59	27.84	117.6	19.39	32.59	29.27	22.92	76.71	44.57	18.97	35.76	295.11	189.02	39.79	76.71	24.28	149.12	46.5	70.51	84.63	15.8	136.19	36.01	112.77	135.24	115.16	53.95	139.07	150.17	24.81	135.24	67.12	63.89	63.89	392.44	31.67	73.54	36.01	114.36	22.43	101.54	190.34	368.65	183.82	121.79	67.12	563.18	1199.98	743.43	387.02	246.28	1733.13	723.08	890.44	1794.29	947.83	2434.5	1295.13	638.15	679.29	1923.14	417.77	599.49	878.17	3190.46	1397.83	1088.92	157.68	171.45	141.02	356.05	651.58
TEK	158.79	48.18	22.43	8.92	8.32	9.56	24.46	3.29	13.52	14.14	6.41	21.01	10.79	9.27	14.56	93.35	66.18	9.7	21.47	29.7	65.26	11.82	29.48	31.9	5.15	58.71	15.22	23.08	33.54	41.52	23.42	45.85	37.59	6.78	48.52	20.56	50.63	15.56	83.45	11.47	30.78	13.12	22.92	2.78	68.55	75.64	73.54	32.82	80.01	22.1	808.0	860.08	239.52	206.94	151.22	325.29	1498.22	819.3	543.96	1151.06	748.61	1991.0	1233.75	884.29	967.76	728.11	1143.1	733.19	1259.69	1044.52	2319.15	98.73	76.71	105.15	172.65	198.47
TENC1	693.58	660.68	303.44	305.55	120.1	312.0	325.29	140.04	493.56	262.2	101.54	303.44	96.68	217.27	161.02	1870.53	543.96	195.72	177.53	255.0	303.44	183.82	400.71	283.05	88.88	525.39	267.73	150.17	587.13	295.11	327.56	607.87	285.03	100.13	353.59	231.32	612.11	237.86	669.92	199.85	258.57	318.57	429.54	84.63	567.1	511.0	647.07	220.32	633.73	193.01	974.5	1340.84	1605.83	307.69	2004.85	1225.22	3190.46	1369.04	1088.92	5441.3	361.04	2956.17	4903.87	4607.24	1781.89	2178.83	1781.89	3589.58	1313.23	1340.84	1806.78	1896.65	1896.65	2090.03	2271.4	2209.26
TFE3	633.73	511.0	559.28	518.15	381.68	551.56	563.18	343.89	780.44	454.09	595.34	532.74	642.59	507.46	493.56	830.75	387.02	551.56	500.46	432.53	684.02	532.74	525.39	543.96	525.39	1030.12	575.03	507.46	909.17	387.02	796.86	819.3	638.15	490.14	521.76	540.19	529.06	579.04	854.13	417.77	583.07	417.77	476.71	373.81	529.06	620.67	713.11	384.34	518.15	269.6	1572.76	1369.04	995.0	974.5	669.92	1733.13	2335.28	1583.71	1529.73	961.07	3665.02	1369.04	1096.5	1159.07	1991.0	954.43	1628.26	718.08	1721.16	2104.58	1350.18	1088.92	974.5	1159.07	1183.45	1216.75
TIE1	928.3	271.48	120.1	73.03	41.22	76.71	100.83	35.76	62.56	83.45	29.27	112.77	39.79	45.53	73.03	620.67	191.67	89.51	62.12	62.56	145.02	62.12	241.19	102.25	41.52	363.56	108.9	94.01	229.72	177.53	119.26	249.73	117.6	62.12	249.73	110.43	182.55	102.25	318.57	52.82	130.6	111.21	94.67	23.59	152.28	332.14	327.56	110.43	341.51	128.79	1030.12	2004.85	1135.2	417.77	836.53	1605.83	1183.45	2609.3	1447.15	2148.82	2573.36	4123.49	3515.68	1242.34	1467.37	860.08	1044.52	961.07	2178.83	4419.52	2485.67	397.93	395.18	371.22	595.34	412.0
TIMP2	3018.3	669.92	366.09	147.06	120.1	194.36	6652.97	127.0	400.71	201.25	1583.71	262.2	665.29	202.66	151.22	4869.99	1159.07	234.57	255.0	183.82	1037.29	2796.65	2739.08	1096.5	77.79	1208.34	684.02	351.14	5183.54	1628.26	387.02	981.29	1487.87	169.07	1870.53	187.71	511.0	312.0	13586.57	279.14	669.92	269.6	395.18	187.71	651.58	3124.78	5292.48	1819.35	3847.29	638.15	5076.84	7382.04	6887.62	5329.3	3349.13	13492.72	7589.61	16269.83	8305.36	16611.71	3982.99	14163.58	16383.0	17197.56	16496.96	3639.7	6121.9	16496.96	13872.08	12853.63	11504.21	2573.36	3280.18	2400.97	3060.45	9740.98
TMEM71	52.08	9.48	1.62	33.54	5.19	7.51	7.34	0.0	4.86	1.83	17.51	18.7	4.58	17.0	7.46	84.63	10.88	4.58	2.76	5.59	18.16	26.47	12.09	28.45	26.1	13.52	12.93	4.54	36.53	13.03	5.82	8.13	13.72	2.92	10.96	3.92	32.82	2.39	16.15	7.75	10.39	5.45	23.25	1.58	43.94	46.18	74.06	84.04	87.03	435.55	336.79	371.22	43.02	71.5	39.5	358.54	708.18	93.35	198.47	476.71	231.32	125.24	176.29	189.02	197.09	95.34	129.69	49.21	256.78	42.11	157.68	88.26	100.83	57.49	103.69	14.03
TNXB	890.44	63.45	28.86	19.82	2.66	30.78	234.57	579.04	8.51	18.7	13.12	18.03	9.78	18.84	26.28	2935.74	98.04	14.03	55.89	48.18	90.14	387.02	283.05	40.93	6.62	159.9	30.78	18.84	3515.68	106.63	156.59	351.14	123.5	11.91	43.63	10.0	182.55	2.43	860.08	12.45	187.71	24.11	27.25	23.93	176.29	158.79	312.0	26.67	417.77	36.79	11745.96	5076.84	6250.56	1572.76	620.67	13586.57	4095.0	13872.08	3124.78	12764.83	2351.53	4607.24	7230.1	11909.94	8134.41	1407.55	10225.32	3257.52	3665.02	5831.91	3742.05	303.44	253.23	339.14	318.57	4095.0
TRANK1	151.22	137.14	114.36	57.89	44.89	54.33	144.01	40.93	117.6	115.97	127.0	161.02	104.42	85.82	89.51	211.31	77.25	480.04	102.97	96.01	105.89	36.27	48.87	117.6	156.59	287.01	51.71	76.71	135.24	122.64	51.71	61.68	129.69	217.27	108.9	94.01	97.36	63.89	172.65	66.18	84.04	112.77	103.69	85.22	186.4	171.45	323.03	93.35	202.66	55.1	170.25	387.02	209.84	89.51	454.09	224.97	921.88	463.65	651.58	802.41	129.69	532.74	536.45	356.05	532.74	97.36	201.25	395.18	473.41	262.2	281.09	137.14	109.66	181.28	191.67	226.54
TTC28	155.5	85.82	40.07	52.08	5.82	41.81	127.89	87.03	21.16	29.06	3.41	49.91	15.68	34.02	44.89	90.77	87.65	49.56	8.99	37.85	27.44	11.64	13.12	16.63	55.49	92.05	28.45	28.04	25.91	56.68	171.45	37.05	132.44	122.64	120.94	24.11	70.01	64.8	131.51	42.41	24.81	22.43	62.56	59.13	30.34	89.51	94.67	14.67	31.45	15.8	183.82	217.27	161.02	72.01	223.41	223.41	137.14	423.61	356.05	285.03	149.12	435.55	366.09	114.36	503.95	127.0	123.5	320.8	361.04	139.07	176.29	72.52	87.65	77.79	155.5	567.1
VSTM4	120.1	42.71	21.16	15.22	7.22	8.58	31.22	6.57	13.03	12.64	3.41	10.96	8.85	7.69	10.39	172.65	61.68	11.91	15.68	11.82	37.85	8.78	34.75	21.16	3.2	57.08	10.08	15.11	59.13	37.85	28.04	33.06	65.72	4.86	48.18	12.36	48.18	17.9	119.26	14.35	24.99	16.63	29.91	9.41	21.47	59.55	113.56	26.47	29.7	19.82	173.85	307.69	264.03	77.25	101.54	166.73	88.26	616.37	166.73	327.56	120.1	483.38	540.19	346.29	318.57	94.67	151.22	420.68	177.53	277.2	132.44	438.59	599.49	457.25	802.41	273.37
WNT9A	121.79	13.52	27.25	12.55	8.06	67.12	44.57	25.54	7.88	84.04	5.5	14.67	9.7	19.39	23.42	105.89	19.82	9.78	14.67	63.45	11.38	2.01	2.71	60.39	88.88	14.78	27.44	9.7	18.97	21.47	10.08	24.99	114.36	30.56	53.95	5.45	208.38	14.14	103.69	11.55	34.75	49.21	80.01	178.77	28.04	15.91	75.11	9.34	26.67	26.47	110.43	224.97	151.22	111.99	117.6	563.18	217.27	221.86	241.19	307.69	208.38	363.56	193.01	97.36	221.86	262.2	149.12	363.56	638.15	135.24	194.36	38.12	58.71	38.4	36.53	78.89
ZEB1	183.82	81.71	43.94	23.93	16.39	126.12	62.12	17.25	17.51	29.7	21.32	43.02	35.25	14.45	19.82	305.55	138.1	21.63	30.34	19.82	107.38	76.17	36.79	45.21	12.64	111.21	19.25	41.22	124.37	78.89	37.05	55.89	132.44	18.29	81.71	23.76	131.51	37.05	320.8	22.59	42.71	22.75	63.45	11.04	130.6	86.43	197.09	140.04	70.01	35.5	281.09	660.68	351.14	314.17	118.43	743.43	612.11	525.39	438.59	753.83	1023.0	974.5	547.75	567.1	836.53	175.07	507.46	371.22	769.69	915.51	684.02	95.34	105.89	82.87	193.01	1950.0
ZNF521	173.85	22.92	11.13	5.02	4.66	5.19	28.65	3.96	4.58	8.45	2.78	6.52	5.73	3.86	5.23	121.79	34.75	6.11	8.92	7.46	32.13	11.91	22.26	24.46	2.03	26.1	10.71	11.21	66.18	42.71	15.0	20.26	31.0	4.54	37.32	14.67	20.26	13.22	165.57	5.82	13.52	7.4	18.97	8.25	46.84	59.55	113.56	37.59	23.25	17.9	94.67	111.99	224.97	45.85	229.72	63.45	24.81	353.59	92.7	127.0	48.52	305.55	140.04	190.34	98.04	78.89	115.97	447.82	80.01	119.26	104.42	62.12	52.08	31.9	75.11	341.51
