	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3MY.11A.12R.A21D.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.EL.A3ZM.11A.12R.A23N.07	TCGA.BJ.A290.11A.11R.A180.07	TCGA.EM.A1CW.11A.12R.A13Y.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW8.0126.SM.5IJE5	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OHPM.2626.SM.33HC5	GTEX.12WSK.0926.SM.5CVNQ	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.12ZZY.0826.SM.5EQMT	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.139UW.0126.SM.5KM1B	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.111FC.1026.SM.5GZX1
USP7	780.44	819.3	802.41	638.15	698.41	759.08	688.78	713.11	708.18	769.69	738.29	1044.52	1259.69	921.88	595.34	890.44	934.76	1037.29	748.61	791.35	1135.2	1127.35	1001.93	1015.93	1594.73	860.08	1183.45	1286.18	1066.48	1407.55	1378.57	1037.29	563.18	1151.06	1037.29	802.41	1447.15	947.83	1119.56	1225.22	1127.35	1008.9	988.12	748.61	1008.9	1159.07	713.11	1259.69	738.29	947.83	1023.0	1259.69	764.36	1111.82	718.08	1059.11	738.29	1304.15	967.76	1044.52	1044.52	1250.98	1359.57	1096.5	743.43	974.5	753.83	1151.06	1191.69	1037.29	1073.91	825.0	902.89	961.07	941.27
UTP20	62.56	63.45	54.33	48.52	57.89	51.35	53.95	51.71	64.34	59.97	28.45	65.26	97.36	98.73	56.28	45.53	64.34	70.51	46.18	64.8	100.13	102.97	96.01	76.71	121.79	72.52	81.14	100.13	92.05	117.6	128.79	77.79	48.87	73.03	82.29	66.65	79.45	84.63	120.94	54.72	99.43	82.87	97.36	94.67	106.63	95.34	51.71	70.01	78.34	87.03	82.87	121.79	71.0	61.68	63.89	75.64	38.4	68.55	98.04	75.11	78.89	73.03	115.97	67.12	42.11	50.98	62.56	74.06	100.83	75.11	92.05	43.02	71.0	68.55	97.36
VPRBP	373.81	423.61	332.14	269.6	363.56	283.05	246.28	251.48	305.55	221.86	234.57	348.71	583.07	320.8	336.79	400.71	312.0	406.31	320.8	253.23	571.05	595.34	624.99	511.0	638.15	435.55	490.14	559.28	486.75	738.29	486.75	503.95	327.56	563.18	698.41	409.15	463.65	490.14	665.29	511.0	624.99	426.57	603.67	366.09	432.53	454.09	361.04	607.87	457.25	599.49	384.34	791.35	457.25	748.61	432.53	674.59	329.84	361.04	551.56	511.0	651.58	532.74	759.08	703.28	366.09	514.56	525.39	409.15	830.75	620.67	503.95	366.09	426.57	429.54	490.14
VPS54	412.0	503.95	358.54	320.8	371.22	392.44	327.56	361.04	371.22	373.81	353.59	426.57	567.1	429.54	303.44	406.31	417.77	395.18	356.05	356.05	540.19	559.28	493.56	429.54	536.45	389.72	483.38	674.59	563.18	507.46	620.67	555.41	346.29	346.29	460.44	420.68	579.04	603.67	651.58	656.11	363.56	376.41	444.72	486.75	392.44	457.25	473.41	450.94	480.04	444.72	466.88	607.87	497.0	514.56	392.44	470.14	473.41	514.56	371.22	470.14	490.14	483.38	490.14	480.04	525.39	426.57	341.51	536.45	555.41	423.61	551.56	543.96	529.06	486.75	571.05
WAC	1151.06	1277.29	1175.27	941.27	947.83	981.29	796.86	1030.12	1044.52	1008.9	753.83	1225.22	1857.6	1001.93	961.07	1286.18	1051.79	1397.83	1066.48	759.08	1781.89	2090.03	1991.0	1594.73	2032.85	1407.55	1819.35	2468.49	2178.83	2104.58	1781.89	2148.82	1104.13	1487.87	1572.76	1685.71	2178.83	2032.85	2287.2	2468.49	1167.14	1242.34	1529.73	1427.22	1350.18	2032.85	1651.0	1757.34	1628.26	1583.71	1498.22	2502.97	1628.26	2537.92	1015.93	1857.6	1191.69	2193.99	1457.23	1936.53	1936.53	1963.57	1923.14	1617.0	1331.57	1583.71	1467.37	2255.7	1844.76	1628.26	1639.59	1447.15	2451.44	1447.15	1781.89
WDR43	244.57	301.33	260.38	155.5	191.67	171.45	191.67	194.36	198.47	165.57	181.28	242.88	406.31	256.78	138.1	229.72	236.21	264.03	215.77	146.03	307.69	363.56	361.04	293.07	387.02	279.14	320.8	417.77	366.09	363.56	400.71	291.04	251.48	348.71	289.02	248.0	348.71	309.83	346.29	299.25	368.65	293.07	297.17	217.27	229.72	361.04	318.57	314.17	236.21	409.15	287.01	473.41	281.09	343.89	229.72	348.71	220.32	323.03	262.2	295.11	392.44	297.17	457.25	295.11	255.0	277.2	264.03	241.19	444.72	403.5	291.04	221.86	273.37	249.73	239.52
WRN	78.34	80.57	41.22	43.02	68.07	52.45	43.32	47.84	71.5	50.98	34.26	71.0	150.17	75.64	50.27	61.68	61.68	84.63	65.26	35.0	105.15	140.04	111.99	92.7	180.02	76.17	112.77	121.79	143.01	183.82	155.5	103.69	90.14	96.01	129.69	90.77	110.43	76.17	149.12	159.9	110.43	113.56	156.59	73.54	114.36	122.64	97.36	85.22	72.52	147.06	100.13	164.42	70.51	167.9	94.01	111.99	74.06	123.5	125.24	78.89	143.01	116.78	124.37	162.14	98.04	89.51	70.01	92.7	153.34	138.1	96.01	63.89	98.04	85.82	80.57
XPO4	96.01	94.67	71.0	37.32	81.14	74.58	59.13	69.52	94.01	45.21	78.89	113.56	175.07	64.8	63.45	115.97	98.04	119.26	84.63	45.53	171.45	164.42	153.34	102.97	201.25	113.56	165.57	194.36	142.01	183.82	228.13	107.38	47.84	155.5	157.68	93.35	133.36	102.25	166.73	150.17	115.97	133.36	155.5	82.87	153.34	175.07	78.34	146.03	81.71	151.22	157.68	199.85	71.0	142.01	94.01	172.65	121.79	150.17	134.3	140.04	130.6	151.22	166.73	137.14	81.71	136.19	81.14	127.0	260.38	154.42	150.17	65.72	75.11	115.16	94.01
XPO7	684.02	529.06	718.08	490.14	473.41	616.37	470.14	493.56	559.28	587.13	447.82	728.11	981.29	423.61	575.03	669.92	638.15	813.63	547.75	358.54	819.3	796.86	796.86	764.36	884.29	503.95	769.69	988.12	836.53	934.76	974.5	723.08	529.06	713.11	785.88	599.49	878.17	616.37	842.36	1104.13	713.11	708.18	738.29	603.67	674.59	848.22	603.67	743.43	563.18	703.28	660.68	915.51	543.96	872.1	532.74	872.1	493.56	713.11	620.67	769.69	802.41	872.1	830.75	1023.0	591.22	679.29	616.37	713.11	1037.29	728.11	698.41	514.56	551.56	674.59	567.1
XRN1	117.6	104.42	133.36	59.55	74.06	102.97	79.45	85.22	119.26	60.39	66.65	120.94	269.6	80.57	62.56	137.14	130.6	138.1	93.35	47.84	221.86	234.57	218.79	116.78	293.07	109.66	167.9	237.86	226.54	267.73	309.83	185.11	100.83	140.04	185.11	177.53	267.73	152.28	246.28	332.14	137.14	157.68	176.29	119.26	170.25	218.79	146.03	134.3	153.34	152.28	198.47	242.88	129.69	358.54	88.88	218.79	115.16	237.86	133.36	171.45	201.25	208.38	206.94	220.32	106.63	161.02	92.7	209.84	232.94	178.77	208.38	114.36	173.85	133.36	120.1
YES1	269.6	387.02	291.04	373.81	473.41	246.28	208.38	226.54	264.03	226.54	309.83	271.48	403.5	217.27	229.72	368.65	295.11	316.37	281.09	163.28	483.38	463.65	476.71	312.0	454.09	356.05	417.77	483.38	450.94	660.68	343.89	708.18	346.29	343.89	409.15	438.59	389.72	583.07	603.67	400.71	309.83	309.83	299.25	277.2	277.2	392.44	379.04	389.72	366.09	368.65	356.05	532.74	373.81	703.28	316.37	368.65	381.68	327.56	426.57	309.83	423.61	371.22	511.0	470.14	303.44	307.69	267.73	466.88	438.59	414.87	353.59	353.59	708.18	358.54	358.54
YTHDF3	320.8	387.02	325.29	253.23	283.05	262.2	279.14	220.32	316.37	211.31	237.86	339.14	529.06	237.86	273.37	353.59	318.57	361.04	273.37	173.85	536.45	521.76	525.39	395.18	599.49	395.18	483.38	532.74	490.14	651.58	571.05	536.45	265.87	476.71	466.88	332.14	376.41	441.64	830.75	483.38	384.34	454.09	493.56	265.87	363.56	540.19	265.87	507.46	323.03	500.46	441.64	713.11	248.0	417.77	358.54	460.44	466.88	412.0	470.14	412.0	497.0	463.65	713.11	540.19	406.31	457.25	426.57	420.68	647.07	514.56	473.41	305.55	341.51	363.56	368.65
ZBTB11	122.64	139.07	146.03	81.14	96.01	120.1	103.69	93.35	113.56	84.63	80.57	126.12	195.72	120.1	77.79	132.44	143.01	153.34	116.78	67.12	171.45	206.94	199.85	128.79	251.48	128.79	148.09	198.47	189.02	208.38	212.78	201.25	94.67	139.07	165.57	167.9	202.66	161.02	181.28	198.47	109.66	152.28	164.42	133.36	161.02	260.38	111.21	178.77	110.43	134.3	145.02	215.77	122.64	239.52	111.99	145.02	119.26	170.25	144.01	178.77	173.85	271.48	202.66	173.85	111.99	158.79	135.24	162.14	242.88	163.28	165.57	149.12	206.94	130.6	132.44
ZFP91	454.09	454.09	460.44	351.14	392.44	460.44	351.14	392.44	423.61	332.14	341.51	493.56	708.18	371.22	381.68	521.76	373.81	567.1	371.22	309.83	624.99	679.29	587.13	486.75	669.92	518.15	616.37	669.92	629.35	854.13	633.73	624.99	320.8	579.04	665.29	444.72	493.56	612.11	775.05	660.68	483.38	493.56	583.07	297.17	435.55	616.37	429.54	547.75	500.46	591.22	511.0	928.3	429.54	872.1	358.54	669.92	457.25	490.14	536.45	483.38	651.58	514.56	733.19	638.15	356.05	463.65	420.68	647.07	909.17	693.58	511.0	412.0	660.68	444.72	529.06
ZMYM4	316.37	376.41	314.17	279.14	285.03	246.28	223.41	204.07	287.01	241.19	212.78	366.09	473.41	251.48	244.57	339.14	297.17	414.87	267.73	161.02	460.44	518.15	460.44	371.22	480.04	301.33	511.0	642.59	473.41	579.04	624.99	490.14	195.72	392.44	435.55	332.14	543.96	400.71	420.68	540.19	392.44	358.54	389.72	363.56	327.56	423.61	281.09	376.41	289.02	412.0	384.34	591.22	353.59	525.39	309.83	507.46	346.29	358.54	441.64	381.68	346.29	389.72	466.88	503.95	303.44	438.59	285.03	325.29	555.41	507.46	441.64	291.04	323.03	414.87	395.18
ZNF292	124.37	106.63	117.6	53.19	74.58	80.57	68.07	65.26	94.67	54.72	56.28	119.26	215.77	63.45	44.89	115.97	120.94	140.04	89.51	35.5	220.32	217.27	234.57	193.01	244.57	120.1	201.25	312.0	226.54	258.57	341.51	201.25	75.64	132.44	162.14	113.56	255.0	137.14	289.02	197.09	164.42	172.65	148.09	125.24	189.02	241.19	105.89	244.57	102.97	124.37	204.07	305.55	97.36	183.82	95.34	172.65	110.43	241.19	141.02	214.27	127.89	181.28	172.65	215.77	100.13	140.04	81.14	246.28	232.94	170.25	175.07	111.21	176.29	151.22	141.02
ZNF654	87.03	112.77	87.65	62.56	70.01	82.29	58.3	74.06	93.35	54.33	60.82	111.21	169.07	78.89	74.58	91.41	85.22	102.97	77.79	36.27	136.19	159.9	162.14	88.26	157.68	98.04	142.01	215.77	156.59	176.29	191.67	139.07	88.26	108.14	118.43	93.35	127.89	125.24	181.28	182.55	81.14	113.56	104.42	86.43	106.63	155.5	88.88	106.63	97.36	98.73	122.64	181.28	114.36	153.34	87.65	99.43	115.16	148.09	96.68	128.79	111.21	125.24	146.03	135.24	102.97	116.78	75.11	183.82	170.25	102.25	122.64	115.97	151.22	95.34	120.1
ZNF800	151.22	175.07	162.14	112.77	131.51	128.79	114.36	123.5	162.14	127.0	138.1	161.02	273.37	175.07	132.44	180.02	186.4	193.01	132.44	137.14	249.73	287.01	291.04	224.97	289.02	190.34	218.79	297.17	279.14	423.61	287.01	220.32	117.6	221.86	231.32	189.02	214.27	170.25	273.37	312.0	194.36	186.4	275.28	124.37	190.34	237.86	176.29	283.05	153.34	249.73	201.25	241.19	189.02	341.51	187.71	267.73	209.84	214.27	285.03	198.47	229.72	199.85	341.51	269.6	244.57	228.13	199.85	205.5	346.29	275.28	166.73	159.9	234.57	177.53	173.85
