	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.HC.7750.01A.11R.2118.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.G9.6364.01A.21R.1789.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
FGF2	113.56	85.22	8.13	44.89	39.79	17.9	77.25	5.96	10.08	9.27	44.25	27.84	37.85	47.5	77.79	74.58	68.07	41.81	45.21	33.3	46.18	42.71	48.87	17.77	64.8	24.28	76.17	92.05	89.51	53.95	14.14	35.25	24.11	23.59	31.67	58.71	34.75	25.17	46.5	102.97	101.54	58.71	17.77	22.75	44.57	103.69	2.71	24.11	43.32	11.55	51.35	17.38	128.79	68.07	11.73	122.64	15.45	22.26	44.25	62.56	74.06	30.78	75.64	29.7	41.52	66.18	10.31	8.06	18.03	45.21	27.44	30.78	30.78	14.14	38.67	55.89	11.47	18.43	6.84	117.6	114.36	19.68	32.59	17.51	26.47	7.63	12.0	90.14	73.54	50.27	41.52	61.68	14.45	41.22	35.5	9.2	35.5	117.6	2.29	26.28	43.94	115.16	18.43	32.13	11.13	18.7	22.1	120.1	37.32	105.89	84.63	153.34	72.01	130.6	81.14	128.79	84.04	68.07	197.09	101.54	42.41	113.56	193.01
FLNC	1508.65	1051.79	35.25	934.76	684.02	176.29	1806.78	24.99	96.01	50.27	836.53	325.29	1572.76	785.88	1794.29	703.28	1639.59	429.54	743.43	753.83	947.83	366.09	376.41	199.85	1417.35	204.07	1572.76	1388.16	3768.09	1088.92	86.43	703.28	119.26	204.07	866.07	1662.49	595.34	348.71	454.09	2645.74	1369.04	819.3	323.03	312.0	579.04	1225.22	4.66	928.3	743.43	81.71	624.99	432.53	2018.8	2287.2	40.36	1733.13	114.36	555.41	555.41	1250.98	1104.13	497.0	995.0	212.78	226.54	703.28	90.77	28.86	90.77	1397.83	514.56	753.83	253.23	146.03	540.19	1119.56	76.17	86.43	35.25	1594.73	2287.2	183.82	753.83	201.25	674.59	155.5	186.4	1950.0	1250.98	1135.2	909.17	1769.57	153.34	269.6	444.72	115.97	476.71	2895.31	44.57	154.42	1277.29	1427.22	136.19	361.04	135.24	438.59	409.15	928.3	417.77	2520.38	1832.01	1709.26	1651.0	1529.73	2720.15	4639.29	1674.06	1519.15	4388.98	1551.09	921.88	2816.11	3515.68
FZD7	392.44	108.14	29.27	334.46	102.97	97.36	490.14	108.14	64.34	27.64	312.0	172.65	327.56	395.18	435.55	318.57	392.44	249.73	242.88	198.47	283.05	189.02	244.57	87.65	490.14	129.69	400.71	381.68	571.05	283.05	81.71	262.2	175.07	55.89	229.72	551.56	199.85	127.0	195.72	480.04	417.77	224.97	163.28	112.77	217.27	406.31	29.48	186.4	242.88	45.85	178.77	205.5	674.59	447.82	36.79	500.46	217.27	329.84	208.38	314.17	309.83	157.68	353.59	124.37	201.25	256.78	63.89	49.21	65.26	248.0	133.36	241.19	144.01	109.66	178.77	332.14	127.89	75.11	74.58	447.82	543.96	91.41	173.85	132.44	111.99	115.97	73.03	441.64	309.83	291.04	258.57	258.57	135.24	253.23	264.03	93.35	176.29	642.59	44.57	117.6	279.14	435.55	75.11	193.01	122.64	205.5	131.51	316.37	339.14	536.45	429.54	567.1	432.53	583.07	503.95	620.67	366.09	454.09	775.05	403.5	256.78	497.0	791.35
GNAZ	106.63	40.07	21.01	94.01	17.9	16.75	176.29	4.78	34.51	13.72	111.21	37.32	129.69	102.25	117.6	70.01	155.5	57.08	85.22	85.22	88.26	94.67	47.17	20.56	152.28	22.26	146.03	153.34	273.37	94.67	15.22	78.89	15.8	15.22	83.45	144.01	44.25	36.27	69.03	198.47	95.34	102.25	33.3	46.18	40.93	107.38	12.55	119.26	90.14	16.51	48.87	66.18	162.14	289.02	8.0	167.9	17.25	87.65	63.0	105.15	78.89	59.97	73.03	38.12	53.95	52.08	48.87	29.48	13.52	126.12	48.87	59.55	25.91	29.06	53.57	114.36	27.25	23.59	13.52	170.25	166.73	21.78	81.14	29.48	74.06	26.1	28.24	209.84	105.89	68.07	83.45	189.02	27.25	38.95	48.87	41.52	39.79	228.13	25.72	23.76	94.67	224.97	16.27	52.45	22.26	55.1	64.8	134.3	59.13	229.72	190.34	275.28	204.07	234.57	327.56	277.2	178.77	171.45	279.14	173.85	127.89	273.37	275.28
GNG2	208.38	36.79	22.92	95.34	37.32	54.33	90.14	21.01	49.56	17.0	64.8	92.05	138.1	110.43	128.79	111.99	132.44	77.25	122.64	70.01	105.15	96.68	107.38	49.91	195.72	88.88	186.4	199.85	82.87	98.04	21.47	111.21	93.35	62.12	55.89	182.55	60.39	80.01	71.5	151.22	136.19	87.03	50.63	66.65	92.05	214.27	18.97	56.28	72.01	36.79	97.36	49.91	214.27	63.0	24.63	206.94	72.01	105.15	132.44	88.26	155.5	63.89	162.14	58.3	124.37	139.07	23.93	23.93	39.22	58.3	61.68	61.25	84.63	70.01	76.17	126.12	56.28	41.22	41.81	199.85	197.09	38.67	63.89	35.76	61.25	19.68	24.11	119.26	154.42	81.71	74.58	100.83	37.85	128.79	66.65	48.52	88.88	155.5	11.64	37.32	110.43	153.34	49.21	90.14	24.99	49.91	33.3	130.6	123.5	90.77	177.53	373.81	90.14	271.48	80.01	143.01	116.78	141.02	299.25	193.01	88.88	153.34	358.54
GPM6B	423.61	117.6	57.89	183.82	93.35	82.29	165.57	84.63	75.64	70.01	171.45	185.11	141.02	209.84	215.77	149.12	248.0	182.55	262.2	126.12	159.9	189.02	125.24	96.68	529.06	70.51	285.03	371.22	220.32	189.02	28.04	228.13	127.89	111.21	143.01	264.03	123.5	121.79	135.24	176.29	232.94	134.3	55.89	170.25	189.02	332.14	23.25	82.87	183.82	53.57	108.14	118.43	392.44	194.36	70.51	417.77	120.1	143.01	128.79	214.27	229.72	132.44	197.09	92.7	156.59	379.04	40.07	87.03	62.12	199.85	104.42	78.89	128.79	116.78	149.12	156.59	47.5	71.0	66.18	264.03	353.59	137.14	111.21	76.71	132.44	68.07	60.82	253.23	314.17	194.36	220.32	223.41	81.14	167.9	114.36	96.01	129.69	244.57	35.0	55.89	187.71	314.17	57.08	139.07	43.32	91.41	53.19	363.56	206.94	189.02	339.14	813.63	258.57	743.43	293.07	212.78	201.25	368.65	507.46	376.41	105.15	507.46	743.43
HEPH	414.87	59.55	42.71	173.85	23.76	59.55	237.86	23.25	29.91	13.42	135.24	64.34	182.55	106.63	262.2	217.27	190.34	182.55	130.6	149.12	181.28	101.54	99.43	97.36	255.0	91.41	297.17	231.32	314.17	127.89	31.45	117.6	42.71	46.5	85.82	312.0	115.97	80.57	125.24	356.05	178.77	145.02	66.18	63.0	82.87	351.14	8.92	98.04	98.04	37.05	148.09	68.55	429.54	265.87	9.78	232.94	55.89	123.5	126.12	176.29	202.66	80.57	231.32	43.32	68.55	239.52	40.07	12.55	28.65	212.78	106.63	97.36	59.55	50.63	130.6	170.25	42.41	21.16	20.71	258.57	486.75	43.94	74.58	26.28	98.73	48.18	31.0	161.02	343.89	226.54	164.42	147.06	47.17	85.22	74.58	36.53	81.71	341.51	7.75	76.17	208.38	190.34	42.11	80.01	37.59	67.12	62.12	228.13	125.24	295.11	285.03	447.82	231.32	454.09	295.11	353.59	234.57	299.25	642.59	389.72	152.28	583.07	819.3
HSPB8	1467.37	928.3	86.43	1721.16	444.72	205.5	2178.83	53.19	155.5	88.26	1498.22	974.5	2104.58	1457.23	1991.0	1313.23	2032.85	486.75	1111.82	974.5	1119.56	954.43	583.07	228.13	1883.54	234.57	2895.31	2240.11	4066.71	1467.37	140.04	723.08	220.32	368.65	1066.48	1832.01	738.29	651.58	796.86	3491.39	2047.0	1119.56	514.56	426.57	796.86	1794.29	13.62	1498.22	1119.56	156.59	1540.37	583.07	2537.92	3081.75	46.5	3280.18	145.02	947.83	665.29	1605.83	1769.57	521.76	1015.93	305.55	567.1	791.35	120.94	41.81	122.64	1794.29	454.09	884.29	473.41	201.25	825.0	1963.57	98.73	234.57	89.51	2739.08	1896.65	226.54	796.86	417.77	1096.5	183.82	279.14	2855.44	1331.57	1081.39	915.51	2287.2	258.57	429.54	638.15	255.0	486.75	3257.52	39.22	223.41	1870.53	2104.58	199.85	684.02	138.1	733.19	733.19	1923.14	921.88	2664.15	2976.74	5219.6	2895.31	4671.57	3639.7	5517.27	2573.36	2682.69	5006.93	4095.0	2224.63	3901.01	4239.45
IGSF1	28.24	16.51	0.31	25.35	3.69	1.75	33.3	0.27	0.65	0.59	18.16	13.03	16.27	17.51	8.38	7.06	22.1	2.18	16.03	15.68	11.47	21.94	6.41	2.97	20.86	8.78	19.39	20.71	36.53	43.94	0.61	20.86	4.62	2.41	5.96	17.0	5.5	2.73	17.9	23.08	12.83	11.47	4.86	12.83	4.54	78.34	0.0	5.82	16.88	0.91	5.28	5.32	89.51	55.1	0.91	18.16	2.58	13.22	5.15	30.12	11.13	12.45	8.71	5.63	2.76	62.12	1.11	8.32	2.2	28.24	5.41	5.23	7.69	0.62	16.39	7.22	0.33	3.59	3.17	43.94	36.01	2.68	12.93	3.03	18.7	1.51	2.05	65.26	39.79	6.84	33.54	36.79	4.13	5.82	8.85	1.48	3.41	17.51	0.56	33.78	16.15	66.18	2.43	3.59	0.57	12.93	8.13	39.22	50.27	63.0	44.89	76.17	74.06	159.9	74.58	39.79	19.97	58.3	128.79	166.73	26.1	72.01	214.27
INMT	518.15	137.14	101.54	307.69	70.01	123.5	854.13	38.67	52.45	44.57	309.83	151.22	507.46	299.25	432.53	334.46	536.45	190.34	363.56	341.51	389.72	239.52	209.84	120.94	665.29	146.03	698.41	460.44	1088.92	493.56	58.3	312.0	65.26	156.59	438.59	759.08	146.03	195.72	283.05	860.08	381.68	334.46	202.66	129.69	279.14	426.57	16.03	400.71	232.94	64.34	358.54	277.2	836.53	808.0	39.79	890.44	110.43	376.41	212.78	466.88	334.46	264.03	423.61	166.73	232.94	371.22	77.25	42.41	90.77	540.19	142.01	194.36	125.24	100.83	251.48	387.02	81.14	108.14	56.68	532.74	848.22	86.43	293.07	123.5	320.8	97.36	94.67	791.35	551.56	406.31	275.28	532.74	81.14	198.47	172.65	91.41	248.0	540.19	30.12	223.41	595.34	587.13	101.54	258.57	76.71	140.04	173.85	571.05	265.87	656.11	1250.98	1628.26	587.13	878.17	830.75	878.17	748.61	457.25	1151.06	848.22	457.25	718.08	1199.98
IQSEC3	15.91	21.94	6.41	15.91	8.13	4.58	25.54	4.1	3.72	3.76	5.15	10.31	36.79	29.27	41.22	27.25	21.16	11.04	39.5	13.93	16.03	15.91	10.0	13.83	51.35	34.02	33.06	27.84	16.51	13.22	4.66	25.91	9.63	2.81	18.43	32.36	10.96	4.82	19.25	58.71	22.75	36.53	11.47	4.43	42.71	57.89	0.55	18.03	23.08	7.51	10.79	19.82	81.71	49.91	0.57	58.3	3.82	24.99	14.56	10.39	30.56	9.7	25.91	5.54	10.16	14.89	0.89	2.73	6.52	10.24	41.52	19.82	2.92	10.39	22.59	15.68	4.46	7.0	2.89	20.86	55.1	9.93	15.0	10.88	19.68	9.56	5.36	38.95	15.45	4.1	45.85	24.99	21.16	13.03	25.91	1.68	8.45	62.56	4.58	3.03	66.18	60.39	7.06	7.82	9.7	10.39	11.21	18.56	8.51	36.53	43.63	63.45	28.24	62.56	31.67	63.45	29.7	55.49	53.57	22.75	13.62	27.25	84.63
JAZF1	423.61	98.04	57.89	197.09	44.25	75.64	373.81	29.7	70.51	28.86	214.27	98.73	229.72	217.27	320.8	244.57	283.05	157.68	187.71	183.82	195.72	191.67	167.9	64.8	226.54	115.16	389.72	346.29	525.39	229.72	72.52	159.9	76.17	79.45	157.68	273.37	99.43	107.38	228.13	532.74	336.79	209.84	77.79	123.5	129.69	532.74	16.88	125.24	171.45	43.02	181.28	88.88	575.03	381.68	17.25	429.54	96.01	153.34	152.28	242.88	265.87	116.78	223.41	76.71	131.51	215.77	114.36	23.25	59.13	221.86	147.06	109.66	73.03	65.72	176.29	279.14	70.51	57.49	72.01	483.38	486.75	80.01	154.42	60.82	132.44	45.85	76.71	414.87	325.29	159.9	228.13	291.04	73.03	145.02	117.6	82.87	138.1	518.15	38.12	97.36	325.29	339.14	59.97	148.09	37.32	92.7	103.69	341.51	231.32	444.72	389.72	854.13	358.54	698.41	514.56	607.87	403.5	373.81	723.08	500.46	295.11	595.34	967.76
JPH2	265.87	96.01	23.76	221.86	47.17	45.21	371.22	11.04	30.12	17.0	226.54	96.01	316.37	189.02	325.29	281.09	389.72	83.45	253.23	190.34	256.78	145.02	135.24	42.11	441.64	49.56	486.75	438.59	703.28	287.01	28.45	201.25	26.28	34.75	209.84	460.44	137.14	122.64	169.07	660.68	271.48	204.07	72.01	67.59	158.79	249.73	2.53	309.83	183.82	29.48	182.55	127.89	314.17	563.18	5.11	532.74	33.54	232.94	95.34	348.71	181.28	105.15	193.01	52.45	90.14	108.9	37.05	8.13	18.84	309.83	77.25	169.07	63.0	46.84	124.37	336.79	28.04	50.27	17.25	356.05	346.29	32.59	153.34	77.25	228.13	38.95	44.57	460.44	336.79	228.13	130.6	348.71	44.25	90.77	78.34	21.94	110.43	441.64	13.72	38.4	320.8	507.46	60.82	115.16	26.47	105.15	140.04	231.32	90.77	423.61	450.94	583.07	392.44	426.57	616.37	764.36	379.04	318.57	738.29	536.45	293.07	518.15	555.41
KANK2	2720.15	854.13	387.02	1896.65	412.0	698.41	2451.44	249.73	503.95	255.0	1781.89	974.5	1769.57	1963.57	2255.7	2367.9	2609.3	1487.87	1721.16	1397.83	1977.24	1487.87	1233.75	780.44	2796.65	669.92	2739.08	2976.74	3018.3	1806.78	320.8	1583.71	713.11	514.56	1216.75	3665.02	830.75	813.63	825.0	3124.78	1487.87	1870.53	921.88	825.0	981.29	2193.99	244.57	1322.37	1127.35	450.94	1295.13	854.13	3235.01	2895.31	206.94	3372.43	764.36	1617.0	1313.23	2075.59	1745.2	1369.04	2090.03	665.29	995.0	1467.37	397.93	423.61	457.25	1844.76	1059.11	1250.98	703.28	607.87	1030.12	1583.71	647.07	389.72	273.37	2351.53	3419.52	708.18	1167.14	693.58	1259.69	624.99	532.74	2777.33	1936.53	2004.85	1350.18	2240.11	616.37	1159.07	848.22	403.5	1259.69	3190.46	309.83	684.02	1427.22	2956.17	669.92	1151.06	483.38	802.41	860.08	2855.44	1175.27	2875.3	3982.99	6381.92	2255.7	4736.79	3515.68	4358.66	2777.33	3235.01	5076.84	3060.45	1781.89	4419.52	5441.3
KCNJ8	204.07	26.47	41.81	173.85	18.7	42.71	218.79	11.73	58.71	15.22	111.21	59.97	149.12	103.69	155.5	204.07	141.02	82.87	137.14	79.45	144.01	86.43	153.34	79.45	159.9	66.65	150.17	208.38	267.73	141.02	35.5	117.6	34.51	37.85	93.35	309.83	68.55	70.01	112.77	397.93	170.25	99.43	74.06	47.84	72.52	229.72	15.91	131.51	103.69	26.86	94.01	83.45	536.45	312.0	8.25	253.23	43.63	162.14	96.01	152.28	164.42	80.01	177.53	49.91	82.29	118.43	39.5	30.78	42.71	132.44	95.34	87.65	51.35	38.67	88.26	195.72	38.4	41.22	31.9	215.77	273.37	45.53	84.63	43.32	103.69	36.53	36.53	275.28	165.57	123.5	119.26	201.25	55.89	102.25	56.28	28.86	73.54	209.84	20.26	79.45	217.27	248.0	50.27	133.36	12.36	84.63	56.28	228.13	103.69	236.21	299.25	483.38	206.94	607.87	299.25	361.04	189.02	246.28	426.57	251.48	167.9	423.61	536.45
KCNMA1	1015.93	297.17	123.5	309.83	102.25	139.07	769.69	84.63	187.71	232.94	389.72	197.09	466.88	351.14	603.67	624.99	563.18	232.94	529.06	819.3	665.29	312.0	198.47	164.42	559.28	163.28	995.0	493.56	902.89	358.54	105.15	454.09	107.38	173.85	197.09	796.86	249.73	239.52	420.68	802.41	567.1	503.95	136.19	180.02	283.05	599.49	21.78	256.78	426.57	69.52	473.41	117.6	718.08	708.18	72.52	743.43	271.48	417.77	237.86	397.93	403.5	409.15	775.05	88.88	275.28	318.57	612.11	170.25	40.07	660.68	813.63	229.72	166.73	147.06	1407.55	371.22	223.41	87.65	82.87	684.02	1359.57	124.37	226.54	339.14	199.85	108.14	96.01	665.29	738.29	587.13	353.59	514.56	134.3	503.95	169.07	197.09	318.57	1066.48	28.04	193.01	414.87	612.11	161.02	248.0	96.01	117.6	146.03	587.13	486.75	878.17	836.53	1250.98	684.02	995.0	647.07	1015.93	764.36	764.36	1397.83	1044.52	802.41	1331.57	1295.13
KCNMB1	314.17	103.69	22.1	309.83	51.71	44.57	384.34	14.56	22.1	19.68	289.02	96.01	329.84	277.2	361.04	249.73	384.34	113.56	234.57	198.47	275.28	193.01	121.79	54.72	363.56	57.08	591.22	540.19	769.69	295.11	35.76	208.38	31.45	67.12	205.5	373.81	135.24	132.44	180.02	791.35	262.2	211.31	82.29	80.01	133.36	332.14	3.89	295.11	182.55	28.86	295.11	140.04	483.38	679.29	8.25	595.34	40.93	239.52	123.5	295.11	242.88	120.94	185.11	74.58	106.63	152.28	47.5	7.57	21.78	329.84	115.97	159.9	66.18	54.33	134.3	327.56	63.0	62.56	24.99	397.93	366.09	56.68	176.29	90.14	199.85	44.89	63.45	525.39	320.8	187.71	205.5	417.77	65.26	104.42	129.69	33.3	113.56	503.95	16.15	42.41	629.35	454.09	55.89	148.09	26.28	156.59	164.42	327.56	127.0	426.57	638.15	878.17	450.94	785.88	780.44	872.1	373.81	429.54	764.36	583.07	409.15	669.92	830.75
KLHL4	2.61	4.7	0.14	5.06	0.95	1.77	1.36	0.35	1.6	0.13	3.53	1.38	3.17	1.58	1.04	2.05	11.21	0.44	3.17	1.08	1.04	2.46	2.97	2.05	12.09	0.16	2.03	6.16	2.39	5.02	0.14	1.64	0.16	0.84	0.44	7.06	2.39	0.73	0.0	5.63	2.76	0.77	1.62	0.72	2.97	3.56	0.0	1.28	2.76	0.14	0.82	0.43	5.59	9.63	0.42	7.69	0.13	4.58	2.78	2.23	0.74	2.23	5.36	1.01	1.89	4.24	0.0	0.49	0.16	10.71	0.44	1.06	1.03	0.15	1.11	0.79	0.16	0.15	0.87	6.52	4.94	0.0	1.87	0.73	5.23	0.43	1.23	10.47	3.5	1.6	1.64	3.86	1.28	3.17	0.16	0.69	1.33	4.06	0.12	0.16	3.14	7.94	1.0	3.56	0.0	1.35	1.1	5.19	1.83	4.13	17.38	10.63	2.18	16.75	6.84	8.92	6.26	2.73	24.11	5.19	2.43	12.45	6.46
KLK3	772940.66	881742.8	1345768.59	1005860.33	682276.92	751804.53	731246.37	450134.56	726195.27	1116072.03	1212874.47	800198.39	887875.81	1163466.92	1116072.03	751804.53	691801.16	794671.01	834179.46	925580.18	751804.53	751804.53	985160.01	881742.8	875652.15	1063212.58	731246.37	800198.39	1055868.42	767601.56	906531.99	726195.27	691801.16	1255646.43	1187913.85	619179.28	1093103.58	1139523.1	919186.72	672883.8	746611.43	805764.22	1100706.72	881742.8	906531.99	1327240.99	887875.81	1147449.11	925580.18	581732.96	978355.0	1412675.8	726195.27	822695.06	906531.99	659036.03	919186.72	1238359.56	1327240.99	800198.39	1196176.45	731246.37	851707.37	736332.6	800198.39	985160.01	589853.66	746611.43	736332.6	839981.65	869603.57	845824.19	805764.22	919186.72	851707.37	762299.34	654483.73	789181.81	757033.75	767601.56	627822.72	1063212.58	736332.6	1212874.47	1238359.56	696613.03	985160.01	627822.72	751804.53	845824.19	1048575.0	736332.6	1345768.59	938500.81	828417.36	721179.07	711250.37	585779.24	767601.56	1472666.19	1229805.58	731246.37	1019901.63	828417.36	696613.03	938500.81	800198.39	805764.22	894051.48	691801.16	654483.73	456418.21	1019901.63	751804.53	925580.18	834179.46	794671.01	602247.76	546551.29	985160.01	1063212.58	554180.87	573724.06
LDB3	258.57	98.04	19.53	190.34	27.64	26.86	273.37	6.57	54.72	20.26	189.02	49.56	239.52	204.07	267.73	186.4	293.07	72.52	149.12	125.24	130.6	119.26	135.24	25.54	291.04	38.67	384.34	293.07	529.06	214.27	21.78	127.89	22.75	70.51	122.64	293.07	69.52	78.89	155.5	423.61	2075.59	129.69	55.1	61.68	132.44	260.38	7.4	185.11	162.14	24.11	412.0	90.14	371.22	536.45	9.93	417.77	23.42	191.67	68.07	223.41	204.07	93.35	146.03	45.21	60.82	141.02	18.43	8.45	18.84	323.03	81.14	78.34	38.95	45.21	121.79	189.02	24.11	25.72	12.45	381.68	329.84	32.82	149.12	53.19	165.57	19.82	36.01	400.71	567.1	236.21	144.01	289.02	56.28	93.35	57.89	23.59	75.11	423.61	9.41	26.67	251.48	361.04	34.51	92.05	13.62	67.59	105.89	249.73	120.94	497.0	518.15	902.89	473.41	642.59	599.49	579.04	376.41	368.65	915.51	518.15	723.08	743.43	1508.65
LMOD1	2417.67	547.75	190.34	1617.0	255.0	348.71	2645.74	88.88	182.55	115.16	1427.22	571.05	2351.53	1331.57	2758.13	1977.24	2303.12	974.5	1313.23	1277.29	1844.76	1008.9	848.22	341.51	2520.38	379.04	3794.3	2835.7	4239.45	1457.23	208.38	1175.27	211.31	307.69	1277.29	3018.3	928.3	884.29	902.89	5076.84	1870.53	1378.57	532.74	507.46	791.35	2468.49	24.63	1662.49	1167.14	165.57	1757.34	830.75	3540.14	3235.01	32.59	2591.27	231.32	1277.29	842.36	1844.76	1572.76	825.0	1467.37	389.72	684.02	1135.2	253.23	67.59	173.85	2193.99	785.88	1119.56	429.54	379.04	848.22	2367.9	229.72	277.2	133.36	2520.38	3081.75	417.77	1051.79	497.0	1183.45	353.59	379.04	2895.31	2193.99	1844.76	1397.83	2240.11	323.03	629.35	579.04	159.9	872.1	3955.48	87.65	316.37	2061.24	2451.44	403.5	896.64	239.52	624.99	830.75	2417.67	988.12	3467.27	3820.7	5995.9	2739.08	5041.77	4152.18	5183.54	2956.17	3081.75	6207.38	3614.55	1963.57	5479.15	5183.54
