	TCGA.A7.A26E.01A.11R.A169.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.BH.A1EW.11B.33R.A137.07	GTEX.ZZPU.0626.SM.5E43T	GTEX.W5X1.2326.SM.3GIL6	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.DD.A1EA.01A.11R.A131.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.DD.A4NE.01A.11R.A27V.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.DD.A1EE.01A.11R.A131.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.EP.A3RK.01A.11R.A22L.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AADY.01A.11R.A41C.07	TCGA.DD.A4NV.01A.11R.A311.07	TCGA.ZS.A9CF.01A.11R.A38B.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.FV.A3I1.01A.11R.A22L.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.BC.A8YO.01A.11R.A37K.07	TCGA.DD.A4NJ.01A.11R.A27V.07	TCGA.MI.A75E.01A.11R.A32O.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.X4EO.1126.SM.4QARQ	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.78.7156.01A.11R.2039.07	TCGA.78.7162.01A.21R.2066.07	TCGA.73.7498.01A.12R.2187.07	TCGA.44.7671.01A.11R.2066.07	TCGA.78.7633.01A.11R.2066.07	GTEX.ZXG5.0826.SM.5GID6	GTEX.12WSE.0826.SM.5S2VL	GTEX.111FC.1126.SM.5GZWU	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.145MF.0726.SM.5Q5BT	GTEX.OXRK.0926.SM.2HMKP	GTEX.12BJ1.1226.SM.5LUAE	GTEX.OHPM.2626.SM.33HC5
UBTD2	591.22	651.58	679.29	679.29	1167.14	127.89	237.86	156.59	127.89	249.73	193.01	212.78	118.43	164.42	100.13	175.07	199.85	162.14	237.86	191.67	164.42	138.1	111.99	115.16	116.78	167.9	180.02	220.32	303.44	96.01	128.79	221.86	125.24	76.71	154.42	152.28	90.14	144.01	214.27	85.22	232.94	285.03	151.22	153.34	228.13	153.34	186.4	102.25	215.77	166.73	119.26	253.23	109.66	111.21	100.13	239.52	198.47	208.38	118.43	208.38	155.5	142.01	189.02	273.37	329.84	119.26	177.53	128.79	271.48	92.05	122.64	130.6	173.85	120.94	209.84	178.77	217.27	237.86	231.32	303.44	221.86	312.0	287.01	587.13	688.78	429.54	423.61	595.34	145.02	397.93	366.09	379.04
VPS41	1127.35	1583.71	1242.34	1030.12	1769.57	444.72	624.99	518.15	423.61	325.29	507.46	303.44	426.57	305.55	189.02	303.44	447.82	571.05	312.0	279.14	279.14	629.35	624.99	269.6	229.72	249.73	603.67	395.18	460.44	384.34	339.14	218.79	232.94	417.77	205.5	283.05	514.56	633.73	480.04	244.57	363.56	400.71	214.27	229.72	244.57	348.71	420.68	265.87	540.19	381.68	176.29	698.41	237.86	346.29	249.73	503.95	242.88	287.01	285.03	435.55	212.78	559.28	511.0	497.0	470.14	260.38	320.8	343.89	429.54	167.9	264.03	161.02	417.77	116.78	567.1	205.5	543.96	486.75	567.1	603.67	540.19	638.15	743.43	791.35	583.07	909.17	967.76	934.76	624.99	995.0	981.29	759.08
VPS4B	1519.15	1127.35	1340.84	1883.54	2163.77	312.0	514.56	293.07	368.65	232.94	356.05	343.89	211.31	346.29	217.27	406.31	291.04	336.79	277.2	343.89	285.03	438.59	171.45	289.02	191.67	289.02	381.68	258.57	457.25	265.87	289.02	275.28	438.59	309.83	329.84	287.01	547.75	412.0	435.55	170.25	325.29	438.59	232.94	236.21	267.73	339.14	441.64	169.07	255.0	426.57	279.14	351.14	244.57	86.43	224.97	583.07	441.64	253.23	201.25	373.81	241.19	305.55	351.14	559.28	497.0	281.09	199.85	305.55	703.28	244.57	285.03	353.59	234.57	267.73	356.05	297.17	332.14	271.48	698.41	616.37	409.15	599.49	656.11	1008.9	764.36	813.63	1199.98	1111.82	656.11	1059.11	1159.07	941.27
WDR36	283.05	301.33	397.93	392.44	551.56	169.07	212.78	147.06	111.99	186.4	104.42	120.94	62.56	130.6	88.26	118.43	176.29	91.41	89.51	169.07	108.14	223.41	95.34	81.14	112.77	123.5	108.14	105.15	212.78	118.43	102.97	85.82	164.42	136.19	91.41	78.89	197.09	177.53	102.25	57.89	102.97	166.73	75.64	100.13	89.51	122.64	309.83	82.87	36.79	165.57	115.16	139.07	134.3	77.79	82.87	180.02	120.1	53.57	124.37	194.36	123.5	176.29	110.43	193.01	183.82	78.89	96.68	208.38	305.55	221.86	117.6	100.83	83.45	100.83	106.63	105.15	113.56	85.82	162.14	172.65	148.09	157.68	166.73	172.65	172.65	133.36	212.78	208.38	149.12	161.02	226.54	255.0
WWC2	273.37	314.17	423.61	327.56	583.07	145.02	293.07	277.2	226.54	341.51	244.57	89.51	107.38	143.01	40.36	85.22	139.07	148.09	43.94	190.34	77.25	275.28	182.55	75.11	58.3	106.63	135.24	100.13	232.94	189.02	133.36	105.89	151.22	148.09	38.67	73.03	251.48	221.86	303.44	81.14	84.63	132.44	71.0	36.53	100.83	231.32	264.03	102.25	143.01	201.25	89.51	186.4	100.83	155.5	117.6	251.48	140.04	57.89	78.34	144.01	110.43	150.17	178.77	438.59	141.02	115.97	167.9	149.12	463.65	144.01	116.78	122.64	221.86	134.3	256.78	120.1	429.54	476.71	182.55	320.8	169.07	92.7	191.67	1551.09	769.69	842.36	2417.67	1059.11	620.67	2255.7	642.59	497.0
XPO4	255.0	217.27	351.14	180.02	379.04	56.68	108.14	85.82	50.63	95.34	58.71	37.05	36.01	63.0	34.02	61.25	56.68	45.21	48.18	43.02	63.89	108.9	35.76	41.22	18.7	53.57	59.13	27.84	80.57	38.12	56.68	35.25	60.39	48.18	53.57	51.35	63.45	68.55	71.0	30.34	40.07	58.3	35.0	23.08	46.18	47.5	108.14	27.44	35.5	49.21	44.89	92.05	31.45	24.81	35.25	52.08	44.57	21.63	36.79	65.26	32.82	109.66	84.04	132.44	59.13	38.12	37.32	45.85	171.45	61.68	24.99	24.11	39.22	33.06	46.5	19.39	71.0	73.54	114.36	110.43	110.43	115.16	84.63	198.47	169.07	158.79	397.93	231.32	155.5	197.09	264.03	166.73
XRN1	265.87	341.51	426.57	293.07	426.57	82.29	189.02	209.84	90.14	206.94	156.59	101.54	55.89	98.04	65.26	73.54	105.15	80.01	44.57	79.45	128.79	130.6	74.58	50.63	63.89	50.63	153.34	75.11	307.69	77.79	120.1	120.94	123.5	167.9	97.36	94.67	187.71	195.72	320.8	60.82	89.51	189.02	56.28	57.89	105.15	117.6	159.9	51.35	59.55	157.68	72.01	182.55	72.52	44.57	64.34	112.77	119.26	71.0	45.53	122.64	82.87	309.83	141.02	217.27	285.03	64.8	137.14	102.97	277.2	74.06	84.04	77.79	105.89	138.1	106.63	141.02	143.01	121.79	158.79	151.22	138.1	115.16	98.73	191.67	204.07	231.32	299.25	246.28	381.68	159.9	417.77	246.28
YTHDC2	463.65	543.96	555.41	389.72	518.15	182.55	346.29	217.27	100.83	183.82	111.21	177.53	57.08	133.36	154.42	91.41	271.48	111.99	105.15	128.79	113.56	197.09	70.01	102.25	94.01	96.01	191.67	146.03	299.25	105.89	201.25	137.14	140.04	132.44	163.28	100.83	204.07	253.23	183.82	59.97	108.14	253.23	92.05	115.16	143.01	150.17	273.37	68.07	41.52	189.02	114.36	181.28	137.14	111.99	84.63	293.07	187.71	58.71	144.01	204.07	129.69	246.28	195.72	193.01	277.2	97.36	116.78	115.16	208.38	136.19	82.29	75.11	147.06	75.11	103.69	125.24	209.84	148.09	191.67	149.12	177.53	183.82	127.89	264.03	237.86	190.34	376.41	195.72	281.09	139.07	283.05	217.27
ZDHHC20	967.76	555.41	1066.48	669.92	733.19	32.36	291.04	153.34	46.18	279.14	127.89	84.63	33.3	101.54	22.26	55.1	71.5	34.26	38.67	35.76	124.37	126.12	59.55	34.75	2.32	31.45	164.42	25.91	189.02	54.33	57.49	30.12	119.26	113.56	48.87	111.21	63.89	136.19	373.81	26.47	36.27	105.89	28.65	13.52	46.84	72.52	158.79	17.38	23.42	146.03	33.78	218.79	40.93	14.14	18.29	112.77	105.15	17.9	13.93	74.58	47.5	217.27	171.45	476.71	131.51	48.52	99.43	108.9	226.54	73.54	68.55	37.05	124.37	75.64	154.42	63.0	181.28	329.84	679.29	406.31	366.09	651.58	733.19	819.3	457.25	1135.2	460.44	463.65	583.07	1111.82	3235.01	656.11
ZNF148	733.19	473.41	480.04	476.71	1242.34	94.01	185.11	141.02	79.45	171.45	97.36	94.01	64.34	106.63	45.21	100.13	73.54	104.42	63.89	83.45	121.79	187.71	84.04	63.45	48.87	85.22	138.1	88.26	159.9	81.71	88.88	99.43	136.19	178.77	96.01	122.64	205.5	163.28	166.73	95.34	87.03	167.9	47.5	69.03	70.01	129.69	134.3	41.52	75.64	108.9	87.65	195.72	107.38	54.33	63.89	166.73	134.3	73.54	41.22	104.42	74.06	248.0	129.69	265.87	194.36	57.89	94.01	77.79	171.45	62.56	63.45	85.22	63.89	85.22	90.77	124.37	131.51	162.14	285.03	170.25	165.57	145.02	226.54	454.09	351.14	361.04	500.46	373.81	198.47	267.73	878.17	642.59
ZXDA	90.77	72.52	111.99	96.68	152.28	10.24	65.72	16.27	12.0	29.27	20.41	21.16	10.79	17.0	8.58	15.22	29.06	13.93	14.03	14.56	18.7	34.51	16.63	15.8	13.72	16.03	28.86	25.91	19.39	16.75	18.7	8.13	27.05	11.73	20.86	13.72	37.85	21.47	30.56	12.74	15.91	35.0	11.64	5.68	17.51	13.12	35.76	13.12	9.63	18.16	9.7	13.72	15.11	12.18	12.18	20.26	20.56	12.45	8.19	28.24	15.68	46.18	10.55	42.11	20.41	14.24	19.25	21.78	38.95	9.2	18.29	5.45	15.22	8.45	26.47	11.3	24.46	17.51	41.22	35.76	38.4	18.97	29.91	96.01	81.14	53.19	100.83	84.63	47.84	74.06	96.68	96.68
