	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7328.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1	GTEX.11P7K.0626.SM.5985Z
SORBS2	3039.3	660.68	2178.83	3060.45	2502.97	633.73	1397.83	2075.59	775.05	1991.0	3168.41	1639.59	1369.04	909.17	860.08	2209.26	1883.54	743.43	1037.29	896.64	1066.48	941.27	1733.13	802.41	1304.15	2032.85	825.0	470.14	591.22	1073.91	1059.11	287.01	1407.55	915.51	567.1	1286.18	1268.46	1923.14	1427.22	981.29	2739.08	981.29	1030.12	866.07	1030.12	2915.45	3716.2	1037.29	490.14	2148.82	2609.3	836.53	3103.19	1135.2	1806.78	1151.06	1127.35	660.68	4575.41	785.88	825.0	2061.24	563.18	928.3	769.69	665.29	748.61	2609.3	3820.7	5183.54	3589.58	2193.99	5633.22	5366.37	2384.37	1096.5	5112.16	2032.85	7130.55	4512.4	4512.4	8778.97	3081.75	3690.52	4937.99	2664.15	1322.37	3515.68	3467.27	3540.14	5441.3
SOX7	68.07	16.03	98.73	105.15	90.77	21.63	82.29	66.18	105.15	25.91	147.06	31.45	80.57	25.91	8.92	73.03	56.28	79.45	35.25	104.42	30.34	19.82	130.6	35.76	59.55	37.32	48.18	19.82	40.07	60.82	40.64	27.25	139.07	19.11	18.29	59.97	65.72	51.71	52.45	38.67	64.34	28.04	62.56	43.32	18.43	48.52	112.77	37.85	27.84	36.01	79.45	24.46	58.3	38.67	55.1	55.49	87.65	44.57	144.01	46.18	25.91	107.38	47.84	51.35	15.91	56.68	38.4	159.9	223.41	199.85	171.45	220.32	147.06	107.38	71.5	68.07	113.56	117.6	135.24	279.14	72.01	186.4	141.02	226.54	154.42	141.02	134.3	159.9	108.14	283.05	82.29
SPATA6	91.41	17.51	47.5	88.88	127.89	39.22	49.21	62.56	41.52	33.3	88.88	58.71	96.68	64.8	26.67	103.69	75.64	23.25	17.13	22.59	60.82	40.36	52.08	69.03	64.34	67.59	40.36	35.25	28.24	105.89	53.95	36.53	121.79	11.13	9.78	70.51	60.82	45.85	69.52	64.34	85.22	55.1	38.12	53.95	56.28	125.24	118.43	41.22	39.22	29.27	119.26	131.51	96.68	31.22	72.01	105.89	57.08	78.34	120.1	66.65	26.47	98.04	22.43	56.28	28.86	34.75	61.68	159.9	234.57	208.38	167.9	208.38	136.19	191.67	170.25	144.01	180.02	76.71	249.73	100.13	127.0	198.47	140.04	186.4	211.31	115.97	72.01	178.77	175.07	231.32	189.02
SSPN	242.88	7.0	125.24	177.53	262.2	41.81	94.67	113.56	47.84	143.01	202.66	102.97	113.56	57.08	87.03	223.41	126.12	22.1	46.84	57.49	67.12	57.89	67.59	64.8	75.64	155.5	30.12	0.24	22.1	107.38	69.03	23.25	231.32	34.75	69.03	66.18	68.55	181.28	111.21	161.02	165.57	87.03	115.16	79.45	47.84	217.27	323.03	49.91	15.11	64.34	277.2	33.06	199.85	104.42	115.16	43.94	94.01	21.32	297.17	134.3	39.5	183.82	33.54	84.04	59.13	43.63	47.17	287.01	536.45	447.82	281.09	348.71	361.04	412.0	220.32	283.05	518.15	129.69	708.18	242.88	237.86	587.13	291.04	332.14	555.41	170.25	89.51	281.09	450.94	403.5	934.76
SSX2IP	287.01	72.52	147.06	158.79	176.29	110.43	85.82	146.03	139.07	150.17	183.82	139.07	143.01	100.83	127.89	169.07	146.03	92.05	128.79	108.9	137.14	114.36	99.43	143.01	147.06	232.94	139.07	96.68	67.12	151.22	97.36	48.18	195.72	165.57	172.65	120.94	136.19	156.59	147.06	193.01	142.01	102.97	88.26	119.26	133.36	262.2	264.03	138.1	65.72	129.69	244.57	63.45	189.02	139.07	105.89	63.0	76.71	124.37	163.28	118.43	108.9	193.01	116.78	81.71	102.97	97.36	124.37	199.85	332.14	309.83	197.09	277.2	186.4	420.68	206.94	351.14	316.37	132.44	567.1	197.09	237.86	432.53	177.53	389.72	423.61	185.11	126.12	297.17	295.11	299.25	248.0
ST5	698.41	194.36	669.92	1183.45	1167.14	158.79	669.92	769.69	624.99	620.67	915.51	420.68	785.88	371.22	318.57	1277.29	718.08	155.5	395.18	356.05	271.48	301.33	555.41	312.0	379.04	583.07	361.04	148.09	532.74	723.08	470.14	387.02	1073.91	178.77	215.77	866.07	426.57	708.18	563.18	414.87	848.22	351.14	543.96	316.37	152.28	808.0	1119.56	381.68	301.33	511.0	629.35	329.84	595.34	417.77	693.58	273.37	587.13	244.57	1378.57	371.22	575.03	1388.16	387.02	460.44	211.31	480.04	536.45	974.5	1844.76	1950.0	1529.73	1397.83	1216.75	1417.35	1242.34	1233.75	1519.15	1437.15	2061.24	1561.89	995.0	2075.59	1175.27	1662.49	1857.6	1277.29	961.07	1417.35	1498.22	1295.13	884.29
STK24	1781.89	860.08	1487.87	1628.26	1605.83	947.83	1651.0	1378.57	1378.57	1151.06	1583.71	1096.5	1350.18	1277.29	1119.56	1551.09	1111.82	961.07	1175.27	1151.06	1191.69	1044.52	1167.14	1135.2	1096.5	1250.98	1104.13	967.76	1015.93	1407.55	1051.79	974.5	1417.35	921.88	1540.37	1508.65	1208.34	1417.35	1216.75	1250.98	1639.59	1073.91	1286.18	981.29	1340.84	1923.14	1662.49	1225.22	988.12	1111.82	1685.71	1096.5	947.83	1388.16	1407.55	1183.45	1127.35	1369.04	1806.78	738.29	764.36	1709.26	1304.15	1208.34	1359.57	1225.22	1088.92	1529.73	2193.99	1819.35	1844.76	1950.0	1733.13	1529.73	1477.58	1467.37	1819.35	1806.78	1950.0	1651.0	1745.2	2032.85	1498.22	1794.29	2004.85	1340.84	1674.06	2664.15	1909.85	1909.85	1923.14
STX7	638.15	115.97	384.34	348.71	379.04	239.52	242.88	356.05	171.45	301.33	503.95	279.14	351.14	208.38	327.56	406.31	343.89	239.52	249.73	260.38	301.33	211.31	220.32	381.68	295.11	412.0	223.41	121.79	126.12	389.72	249.73	163.28	409.15	251.48	277.2	264.03	212.78	412.0	371.22	395.18	414.87	283.05	237.86	273.37	218.79	426.57	525.39	312.0	151.22	307.69	551.56	185.11	432.53	371.22	218.79	185.11	295.11	126.12	525.39	318.57	258.57	392.44	177.53	193.01	218.79	209.84	267.73	579.04	796.86	769.69	466.88	656.11	555.41	791.35	441.64	571.05	733.19	279.14	928.3	366.09	466.88	802.41	529.06	684.02	796.86	420.68	256.78	587.13	551.56	669.92	941.27
STXBP5L	19.39	3.29	19.11	14.03	23.25	0.4	14.45	13.93	13.12	11.73	36.53	4.7	13.22	3.38	0.78	25.35	36.01	0.85	8.32	6.52	2.46	3.86	8.45	8.25	15.8	26.86	6.89	0.39	9.41	19.53	0.46	1.45	26.86	10.47	1.36	31.67	38.12	21.47	9.78	14.56	28.45	1.81	4.58	4.82	0.39	48.18	27.64	1.08	3.11	15.11	24.81	9.78	11.73	10.16	24.99	3.72	5.11	1.71	21.78	1.51	4.24	44.25	2.43	6.36	8.25	5.87	9.2	12.64	29.48	78.34	43.94	22.59	59.55	46.5	25.35	39.5	44.57	54.72	126.12	43.63	21.63	81.14	36.01	68.55	47.84	23.08	14.14	53.19	66.18	82.29	89.51
SYT10	14.78	0.0	1.55	7.75	4.5	0.0	3.76	8.38	2.2	4.58	19.11	0.28	0.92	0.0	2.53	6.36	5.77	0.67	1.23	4.35	0.91	2.58	2.23	1.87	3.79	2.71	1.83	0.0	0.57	1.23	3.86	0.0	0.65	0.26	0.25	1.58	0.27	7.28	2.89	2.23	11.64	0.27	0.6	0.29	0.0	13.62	5.68	0.26	0.91	2.16	4.43	1.48	7.82	0.6	3.47	0.26	0.31	0.25	6.16	0.27	5.63	6.26	0.27	1.53	0.52	0.6	2.01	3.03	8.99	0.93	8.78	11.91	10.96	8.78	2.48	3.69	4.28	9.7	29.91	7.11	2.18	34.51	3.11	19.25	15.22	7.51	2.46	4.5	11.64	7.82	9.63
SYT2	3.03	0.51	0.92	0.95	3.32	1.58	3.23	1.77	1.3	2.53	3.0	0.96	2.12	3.11	2.89	0.99	0.92	1.01	0.53	1.27	1.69	0.93	1.31	1.69	0.97	1.81	2.84	0.0	0.0	2.51	1.43	0.52	3.17	1.27	0.49	1.73	0.93	0.93	2.12	2.12	0.96	2.12	1.75	1.41	0.47	2.61	2.58	1.28	0.0	1.68	3.89	0.51	2.18	0.0	2.86	0.91	5.15	0.88	1.46	1.36	0.54	1.83	2.07	0.91	0.0	0.54	1.39	2.01	2.16	5.96	2.18	2.56	1.73	2.43	1.3	2.43	1.64	0.54	10.71	0.56	2.1	5.41	2.46	6.06	6.36	1.33	1.28	1.31	5.02	3.32	2.58
TACC1	1936.53	277.2	830.75	967.76	1551.09	133.36	728.11	890.44	473.41	1233.75	1551.09	642.59	1001.93	460.44	379.04	1059.11	1008.9	473.41	406.31	547.75	599.49	379.04	718.08	444.72	981.29	1030.12	529.06	58.3	343.89	796.86	555.41	438.59	1487.87	507.46	241.19	551.56	1143.1	1159.07	791.35	1037.29	1508.65	571.05	728.11	555.41	497.0	1769.57	1709.26	525.39	293.07	775.05	1794.29	215.77	1572.76	785.88	961.07	303.44	743.43	414.87	1662.49	860.08	748.61	1397.83	624.99	507.46	480.04	334.46	486.75	1487.87	2417.67	3564.78	1350.18	2004.85	1651.0	1950.0	1183.45	1427.22	2178.83	1259.69	3794.3	1870.53	1628.26	3372.43	1313.23	2555.58	3018.3	1594.73	825.0	2400.97	2537.92	2758.13	3212.66
TAF3	96.68	34.75	70.51	81.14	68.07	41.81	82.87	63.89	82.87	60.82	66.18	67.12	62.56	51.35	74.06	94.01	68.55	44.89	61.68	56.28	61.25	76.71	47.5	54.33	68.07	95.34	49.56	37.05	40.36	50.63	67.59	46.5	69.03	49.91	50.98	55.89	58.3	62.12	65.72	71.0	75.11	53.95	51.71	58.71	43.63	92.7	99.43	80.01	44.89	45.85	88.26	40.93	84.04	70.51	65.72	49.91	94.01	55.1	108.9	58.71	57.08	78.34	35.0	53.19	47.5	50.63	50.98	75.64	143.01	123.5	100.83	122.64	101.54	102.25	73.03	80.01	106.63	90.14	153.34	81.71	87.03	138.1	74.06	111.99	152.28	61.68	76.17	84.63	112.77	126.12	117.6
TBC1D1	813.63	323.03	713.11	612.11	1073.91	151.22	551.56	775.05	521.76	1135.2	660.68	616.37	660.68	356.05	122.64	988.12	1685.71	351.14	674.59	299.25	239.52	197.09	438.59	285.03	249.73	457.25	387.02	190.34	785.88	785.88	518.15	327.56	1143.1	224.97	220.32	825.0	1250.98	454.09	563.18	395.18	947.83	674.59	379.04	323.03	426.57	684.02	703.28	248.0	314.17	346.29	500.46	220.32	651.58	379.04	669.92	323.03	595.34	195.72	872.1	642.59	836.53	1225.22	409.15	563.18	728.11	397.93	669.92	1594.73	1745.2	1685.71	896.64	1529.73	921.88	1175.27	1127.35	1242.34	1151.06	1037.29	1733.13	1096.5	1572.76	1936.53	1059.11	1331.57	1340.84	624.99	575.03	1191.69	1183.45	703.28	1529.73
TEAD1	348.71	36.53	202.66	246.28	273.37	67.12	194.36	169.07	152.28	258.57	279.14	158.79	180.02	105.89	105.15	271.48	201.25	51.71	150.17	134.3	108.14	102.97	115.97	105.15	152.28	271.48	114.36	21.32	66.18	131.51	105.89	49.91	325.29	85.82	72.52	122.64	154.42	228.13	172.65	211.31	269.6	115.97	90.14	113.56	59.13	387.02	389.72	85.22	68.07	146.03	320.8	108.14	267.73	176.29	185.11	63.45	171.45	88.88	327.56	147.06	90.14	289.02	107.38	88.26	86.43	70.51	88.88	241.19	555.41	638.15	420.68	341.51	291.04	384.34	291.04	283.05	432.53	279.14	878.17	460.44	295.11	842.36	264.03	536.45	607.87	258.57	148.09	406.31	503.95	493.56	728.11
THSD4	669.92	76.71	400.71	1175.27	1295.13	127.89	417.77	397.93	255.0	237.86	486.75	318.57	665.29	80.57	151.22	830.75	921.88	67.12	169.07	145.02	251.48	267.73	279.14	392.44	258.57	178.77	209.84	51.71	115.97	521.76	368.65	89.51	490.14	33.06	104.42	356.05	148.09	384.34	329.84	260.38	860.08	346.29	242.88	373.81	162.14	791.35	1295.13	718.08	246.28	107.38	759.08	109.66	656.11	258.57	718.08	409.15	397.93	145.02	1023.0	518.15	125.24	1051.79	165.57	279.14	105.89	173.85	142.01	674.59	1388.16	1870.53	1909.85	1059.11	1295.13	733.19	802.41	599.49	1051.79	575.03	1023.0	1030.12	981.29	1313.23	1088.92	1286.18	1417.35	872.1	603.67	1208.34	1350.18	1977.24	1651.0
TLL1	21.78	3.17	8.92	7.11	14.78	10.16	8.38	10.31	7.17	8.38	17.38	5.73	17.51	8.13	7.88	14.89	9.27	13.03	6.52	5.63	9.56	5.92	6.57	6.41	20.11	24.99	7.0	0.46	5.02	13.42	29.06	3.32	38.12	3.23	6.06	12.27	4.1	8.38	15.91	18.29	16.51	17.13	8.85	7.82	7.17	18.56	27.64	3.29	3.69	7.75	46.5	15.0	16.39	8.06	9.13	5.02	15.68	3.86	16.03	30.56	7.75	26.67	5.73	14.89	10.31	3.06	2.05	18.16	44.89	39.22	21.16	15.8	24.81	22.1	10.08	21.63	26.67	7.63	37.32	15.45	16.75	44.57	16.88	47.5	37.59	11.04	11.38	21.78	36.53	16.15	24.11
TLR4	131.51	16.63	220.32	50.27	90.77	13.32	44.89	125.24	37.85	52.08	153.34	38.95	56.28	38.4	30.34	37.85	71.0	53.57	25.91	62.56	44.89	42.71	49.91	34.75	44.25	309.83	40.64	3.69	28.86	37.85	38.12	18.29	127.0	19.82	47.84	38.4	75.64	91.41	271.48	73.03	59.13	23.08	35.0	50.98	13.83	90.77	110.43	41.52	15.68	99.43	134.3	12.09	78.89	75.11	47.84	25.54	108.9	27.05	109.66	43.63	81.14	111.99	47.17	53.57	24.81	22.1	21.47	107.38	201.25	214.27	59.13	124.37	181.28	143.01	34.51	83.45	172.65	109.66	267.73	67.59	63.89	185.11	122.64	149.12	277.2	81.71	28.65	220.32	182.55	133.36	119.26
TMEM106A	50.98	8.85	39.22	53.19	78.89	6.06	25.54	44.89	36.27	35.25	54.72	28.65	64.8	15.56	16.15	88.26	52.45	10.0	13.83	21.63	12.74	18.56	23.93	22.75	15.56	21.01	14.56	4.31	13.93	56.28	16.27	17.38	49.21	6.94	16.15	29.48	29.7	34.51	33.3	25.17	40.64	15.0	33.3	15.68	10.0	62.12	81.14	14.89	18.16	12.93	40.36	4.5	23.25	37.59	45.85	19.68	40.64	15.45	48.87	25.17	15.68	80.01	20.71	27.64	6.41	22.75	16.15	70.51	113.56	106.63	95.34	87.65	55.49	78.34	69.03	90.14	88.88	51.71	159.9	59.55	67.59	92.7	85.82	76.17	164.42	72.01	24.99	88.88	99.43	21.94	37.32
TMEM154	18.56	1.83	11.91	14.56	14.67	1.5	6.21	14.24	5.68	2.61	13.62	3.38	17.77	3.44	6.31	13.32	13.03	6.73	2.56	2.48	3.17	3.56	8.25	3.79	2.07	10.71	3.44	0.59	3.44	21.01	3.86	1.6	8.99	1.55	5.92	5.19	12.36	9.63	16.03	6.67	6.94	3.53	4.58	4.17	3.32	16.88	13.93	2.2	2.86	8.99	20.86	6.31	12.74	5.19	9.63	8.65	7.63	2.14	18.43	3.0	5.23	23.59	3.14	5.02	1.99	2.94	2.05	35.5	45.21	30.12	14.45	39.22	18.29	18.29	15.91	14.35	22.59	6.78	32.36	13.22	19.11	14.89	24.46	24.11	53.57	21.32	13.52	20.26	21.32	51.71	27.44
TNC	819.3	46.18	848.22	848.22	1498.22	30.34	764.36	638.15	825.0	329.84	872.1	373.81	536.45	343.89	297.17	1037.29	802.41	75.64	406.31	444.72	136.19	102.97	283.05	397.93	466.88	603.67	120.94	45.21	384.34	441.64	95.34	244.57	1628.26	86.43	283.05	480.04	571.05	866.07	713.11	836.53	947.83	228.13	368.65	341.51	36.53	775.05	1081.39	202.66	353.59	341.51	928.3	96.01	521.76	503.95	780.44	283.05	733.19	150.17	743.43	189.02	395.18	1388.16	215.77	341.51	121.79	473.41	189.02	435.55	1295.13	2319.15	2209.26	854.13	1250.98	612.11	708.18	1340.84	753.83	1388.16	1844.76	1127.35	708.18	1508.65	934.76	1639.59	2555.58	559.28	450.94	1923.14	2303.12	665.29	1175.27
TNS1	2468.49	85.82	1242.34	1819.35	2485.67	83.45	890.44	1191.69	679.29	1487.87	2417.67	890.44	1191.69	447.82	343.89	2335.28	1350.18	191.67	633.73	503.95	368.65	412.0	575.03	480.04	819.3	1639.59	361.04	27.05	463.65	1127.35	536.45	325.29	2148.82	91.41	348.71	854.13	642.59	1583.71	896.64	1135.2	1781.89	470.14	813.63	616.37	80.01	2163.77	2997.45	297.17	255.0	723.08	1709.26	165.57	1977.24	759.08	1417.35	258.57	808.0	148.09	3103.19	409.15	441.64	2451.44	363.56	603.67	303.44	392.44	447.82	1991.0	4607.24	5517.27	3235.01	2701.35	3614.55	3665.02	2004.85	2163.77	3794.3	2303.12	6516.03	3540.14	2468.49	6935.54	2351.53	4481.23	4268.94	1628.26	890.44	3303.0	4095.0	5041.77	7485.11
TOR1AIP1	1073.91	325.29	915.51	748.61	872.1	660.68	698.41	595.34	567.1	603.67	909.17	674.59	791.35	353.59	656.11	866.07	738.29	366.09	460.44	583.07	457.25	665.29	543.96	647.07	669.92	896.64	470.14	226.54	336.79	825.0	450.94	629.35	896.64	426.57	303.44	703.28	669.92	669.92	669.92	813.63	1044.52	490.14	476.71	480.04	934.76	1096.5	988.12	571.05	376.41	518.15	1023.0	480.04	854.13	713.11	808.0	633.73	660.68	438.59	1051.79	638.15	444.72	825.0	414.87	511.0	420.68	457.25	500.46	1044.52	1359.57	1529.73	1111.82	1286.18	1167.14	1407.55	1066.48	1008.9	1359.57	884.29	1977.24	890.44	1051.79	1519.15	1023.0	1369.04	1594.73	848.22	743.43	1359.57	1397.83	1709.26	1857.6
TRIM6	43.94	5.15	34.75	27.25	45.21	3.76	21.16	33.54	28.45	26.67	44.25	20.56	38.4	16.51	24.99	57.49	56.68	12.74	8.13	14.56	21.94	16.27	11.91	24.81	18.16	44.57	16.63	2.12	28.86	38.4	20.11	6.36	43.02	2.92	38.67	21.94	24.11	36.79	29.48	22.59	37.85	21.94	15.11	22.59	8.25	36.01	59.97	10.88	7.75	26.1	56.28	8.06	61.68	18.97	32.59	16.39	26.86	17.77	39.22	21.94	29.27	53.57	12.93	22.26	14.24	19.97	11.47	54.72	102.25	148.09	50.63	84.04	73.03	92.7	38.12	88.26	81.71	31.9	120.94	44.25	67.12	74.06	87.65	97.36	128.79	72.52	33.06	70.51	98.04	123.5	115.16
TTC28	205.5	33.3	70.51	112.77	180.02	28.45	60.39	60.39	62.56	76.71	119.26	85.82	69.03	52.08	34.26	110.43	102.25	32.36	46.18	53.95	37.05	43.63	55.89	49.56	46.84	102.97	63.89	4.46	37.85	75.11	43.32	26.1	145.02	10.31	36.27	72.52	66.18	78.34	58.3	127.0	112.77	59.97	49.91	75.64	8.13	128.79	218.79	57.89	18.29	43.94	150.17	43.63	119.26	75.64	85.22	24.11	83.45	20.56	172.65	71.0	38.67	117.6	41.22	38.67	43.32	34.75	51.71	121.79	312.0	371.22	198.47	178.77	163.28	138.1	96.01	100.83	190.34	100.83	406.31	153.34	158.79	343.89	144.01	260.38	348.71	109.66	50.98	171.45	281.09	122.64	194.36
UPF2	400.71	138.1	336.79	295.11	285.03	175.07	234.57	316.37	229.72	327.56	341.51	231.32	351.14	244.57	320.8	312.0	309.83	186.4	281.09	287.01	253.23	248.0	181.28	318.57	181.28	309.83	232.94	162.14	177.53	277.2	218.79	226.54	316.37	293.07	256.78	273.37	171.45	320.8	275.28	325.29	376.41	255.0	255.0	220.32	260.38	366.09	384.34	299.25	194.36	291.04	389.72	231.32	361.04	351.14	303.44	226.54	381.68	195.72	285.03	211.31	242.88	358.54	149.12	244.57	283.05	201.25	202.66	291.04	444.72	392.44	447.82	441.64	312.0	327.56	379.04	323.03	403.5	269.6	500.46	343.89	325.29	473.41	348.71	381.68	493.56	403.5	248.0	466.88	420.68	412.0	473.41
WDR82	1073.91	503.95	941.27	848.22	1143.1	559.28	813.63	878.17	743.43	878.17	1059.11	723.08	902.89	493.56	616.37	1008.9	866.07	555.41	842.36	708.18	503.95	497.0	842.36	669.92	651.58	967.76	638.15	470.14	575.03	848.22	540.19	651.58	1104.13	825.0	595.34	813.63	934.76	947.83	785.88	902.89	884.29	612.11	728.11	567.1	703.28	1066.48	1066.48	802.41	493.56	775.05	1051.79	698.41	813.63	884.29	830.75	743.43	825.0	612.11	974.5	698.41	616.37	1030.12	669.92	633.73	669.92	583.07	669.92	1001.93	1457.23	1407.55	1167.14	1313.23	1066.48	1175.27	1001.93	1066.48	1268.46	988.12	1709.26	1015.93	988.12	1529.73	1096.5	1304.15	1674.06	1015.93	896.64	1322.37	1417.35	1519.15	1561.89
WWC3	275.28	142.01	209.84	395.18	389.72	115.16	293.07	303.44	301.33	205.5	312.0	205.5	320.8	248.0	220.32	323.03	312.0	159.9	182.55	275.28	162.14	159.9	251.48	163.28	198.47	151.22	220.32	121.79	146.03	412.0	145.02	87.03	320.8	151.22	255.0	264.03	239.52	287.01	236.21	173.85	295.11	212.78	246.28	161.02	146.03	327.56	366.09	202.66	202.66	212.78	241.19	121.79	275.28	239.52	264.03	260.38	236.21	182.55	334.46	223.41	218.79	447.82	249.73	224.97	198.47	164.42	182.55	312.0	486.75	511.0	412.0	368.65	339.14	301.33	417.77	323.03	384.34	441.64	397.93	356.05	368.65	363.56	373.81	412.0	376.41	368.65	251.48	483.38	341.51	642.59	514.56
ZC3H13	514.56	124.37	463.65	435.55	497.0	158.79	397.93	384.34	373.81	246.28	518.15	346.29	432.53	182.55	406.31	414.87	371.22	258.57	400.71	381.68	220.32	318.57	363.56	403.5	346.29	486.75	316.37	232.94	187.71	392.44	150.17	289.02	500.46	384.34	320.8	246.28	220.32	305.55	432.53	450.94	473.41	244.57	232.94	297.17	190.34	607.87	583.07	228.13	248.0	426.57	500.46	406.31	392.44	277.2	395.18	312.0	334.46	173.85	507.46	193.01	201.25	486.75	211.31	285.03	334.46	392.44	301.33	397.93	688.78	703.28	624.99	616.37	379.04	450.94	486.75	444.72	559.28	414.87	693.58	420.68	490.14	669.92	497.0	642.59	703.28	493.56	403.5	567.1	591.22	928.3	954.43
ZKSCAN2	58.71	32.82	31.22	48.87	52.45	29.91	31.9	37.05	24.11	40.64	43.02	33.78	50.63	25.17	38.95	39.79	42.11	26.86	43.02	35.5	31.9	27.64	29.7	43.63	40.36	36.01	29.06	18.29	26.86	48.18	32.13	32.82	44.57	45.53	22.75	47.5	41.81	36.27	35.76	52.08	49.91	31.22	28.86	30.56	15.34	60.82	48.52	26.86	25.72	42.71	43.02	31.9	46.84	36.01	39.5	17.25	41.22	23.76	42.71	42.11	19.53	43.94	37.32	41.52	36.53	28.45	28.24	33.06	52.45	49.21	75.64	49.91	41.52	42.11	48.52	28.86	43.32	36.79	51.35	37.85	43.32	43.02	49.56	53.19	62.12	46.5	26.67	50.27	59.55	42.71	62.12
ZNF407	105.15	61.68	83.45	96.01	104.42	40.36	60.82	95.34	72.01	92.7	97.36	83.45	95.34	63.89	80.01	98.04	94.67	38.95	80.57	77.25	82.29	77.79	82.29	70.51	62.56	64.8	84.04	32.59	72.01	86.43	54.72	72.01	85.82	59.97	67.59	89.51	79.45	96.68	57.49	95.34	109.66	75.64	84.04	74.58	59.55	96.01	100.13	71.5	64.8	84.04	105.89	69.03	99.43	88.26	90.77	71.0	72.01	69.03	103.69	85.22	62.56	105.89	79.45	72.52	63.45	57.89	59.97	65.26	120.94	108.9	123.5	108.14	71.5	74.58	103.69	70.51	92.7	81.71	145.02	88.26	98.04	132.44	98.04	108.9	138.1	83.45	75.64	101.54	112.77	111.21	134.3
