	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
TMEM55A	669.92	92.05	351.14	82.87	59.97	253.23	102.25	813.63	432.53	132.44	121.79	169.07	198.47	269.6	251.48	258.57	368.65	301.33	384.34	260.38	279.14	603.67	138.1	165.57	116.78	229.72	81.14	262.2	995.0	780.44	400.71	110.43	291.04	476.71	251.48	420.68	152.28	50.27	139.07	54.33	103.69	11.38	25.91	31.45	19.97	59.13	44.57	48.18	60.82	23.76	46.84	113.56	25.91	22.1	0.0	0.52
TNPO3	595.34	438.59	961.07	583.07	514.56	371.22	595.34	426.57	356.05	444.72	555.41	647.07	536.45	567.1	738.29	579.04	651.58	583.07	669.92	595.34	748.61	1340.84	679.29	575.03	486.75	679.29	376.41	612.11	587.13	583.07	660.68	571.05	409.15	842.36	447.82	679.29	371.22	197.09	211.31	348.71	149.12	185.11	166.73	173.85	195.72	241.19	231.32	275.28	312.0	169.07	323.03	262.2	142.01	165.57	0.0	0.51
TRAF6	131.51	66.18	158.79	150.17	112.77	122.64	127.0	101.54	154.42	106.63	141.02	82.29	133.36	99.43	85.22	101.54	187.71	118.43	258.57	82.87	161.02	122.64	141.02	76.71	92.05	175.07	87.65	348.71	120.1	146.03	73.03	152.28	146.03	285.03	132.44	176.29	81.71	90.77	79.45	80.01	74.06	65.26	60.82	98.73	81.71	80.01	74.06	76.71	95.34	66.18	105.89	76.71	42.71	52.45	0.0	0.11
TRAPPC2	258.57	229.72	423.61	305.55	253.23	226.54	105.15	142.01	214.27	291.04	387.02	202.66	197.09	120.1	967.76	42.41	217.27	253.23	143.01	159.9	521.76	693.58	229.72	212.78	221.86	669.92	162.14	185.11	260.38	381.68	291.04	406.31	353.59	368.65	323.03	412.0	152.28	112.77	127.89	125.24	125.24	123.5	63.89	132.44	85.22	94.01	110.43	176.29	173.85	93.35	106.63	78.34	82.29	143.01	212.78	1359.57
TRIM44	1037.29	293.07	813.63	435.55	395.18	275.28	616.37	470.14	896.64	299.25	470.14	376.41	420.68	595.34	450.94	406.31	866.07	414.87	1073.91	414.87	620.67	1397.83	967.76	283.05	379.04	497.0	242.88	2796.65	387.02	642.59	291.04	432.53	381.68	2163.77	339.14	395.18	339.14	287.01	209.84	384.34	158.79	170.25	277.2	214.27	226.54	208.38	163.28	241.19	334.46	242.88	361.04	234.57	224.97	87.03	0.0	0.53
UNC5A	29.7	72.01	0.47	84.63	85.22	39.5	8.99	5.06	32.36	38.12	1.77	29.7	303.44	25.17	96.01	27.64	29.7	2.78	98.73	28.45	500.46	169.07	144.01	14.45	164.42	466.88	4.74	708.18	7.69	88.88	17.51	56.28	3.92	480.04	151.22	4.39	3.96	1.89	0.73	0.69	1.66	0.62	0.61	1.69	1.16	0.0	0.59	0.67	0.0	0.0	2.16	0.0	0.0	1.66	0.0	0.16
USP31	117.6	63.0	154.42	127.89	161.02	41.22	69.03	85.82	112.77	58.3	72.52	91.41	96.01	135.24	65.26	147.06	193.01	120.94	142.01	169.07	141.02	194.36	90.77	149.12	84.04	101.54	69.03	236.21	154.42	78.34	122.64	151.22	148.09	249.73	99.43	189.02	68.07	83.45	52.45	69.03	56.68	75.11	71.0	88.26	84.04	82.87	53.95	62.56	73.54	84.63	75.64	77.79	92.7	31.9	147.06	87.03
USP46	267.73	154.42	395.18	363.56	264.03	167.9	346.29	191.67	379.04	144.01	234.57	152.28	277.2	267.73	159.9	271.48	647.07	236.21	255.0	221.86	170.25	591.22	277.2	229.72	214.27	334.46	177.53	511.0	318.57	341.51	429.54	191.67	295.11	669.92	206.94	373.81	202.66	27.44	34.75	67.59	21.78	21.94	21.32	37.59	35.25	47.17	18.56	41.52	65.72	22.92	41.22	41.22	17.9	18.84	0.0	0.32
UTP14A	363.56	327.56	612.11	320.8	392.44	336.79	305.55	473.41	473.41	285.03	379.04	371.22	441.64	351.14	363.56	457.25	540.19	346.29	612.11	890.44	587.13	358.54	387.02	543.96	441.64	403.5	429.54	358.54	503.95	320.8	356.05	473.41	376.41	371.22	368.65	571.05	271.48	117.6	167.9	135.24	154.42	114.36	80.01	136.19	167.9	121.79	182.55	143.01	141.02	126.12	193.01	108.9	58.3	287.01	0.0	0.03
VGF	4.35	1.0	2.25	13.12	182.55	5.36	49.56	1.62	0.42	7.94	11.82	0.4	102.25	17.64	166.73	9.2	5.63	1.73	58.3	5.41	195.72	17.77	35.25	4.82	0.68	18.97	0.46	212.78	1.73	5.11	0.39	1.1	7.75	52.82	299.25	25.54	7.28	0.68	0.0	0.0	0.0	0.0	0.0	1.13	0.6	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.11	18.43	132.44
WBP11	1457.23	1572.76	2434.5	1457.23	954.43	1191.69	1794.29	1519.15	1857.6	1051.79	2209.26	2417.67	1832.01	1923.14	1583.71	1340.84	4010.71	2384.37	8479.89	1295.13	1487.87	16269.83	2335.28	1896.65	1225.22	3564.78	1844.76	17437.64	1605.83	2255.7	1572.76	1104.13	2777.33	11992.79	1175.27	3443.31	896.64	540.19	567.1	723.08	547.75	470.14	514.56	536.45	529.06	525.39	511.0	529.06	656.11	441.64	679.29	595.34	521.76	395.18	0.0	0.8
WDR35	309.83	90.77	206.94	214.27	180.02	123.5	83.45	163.28	139.07	129.69	126.12	71.0	248.0	139.07	191.67	114.36	267.73	110.43	244.57	133.36	171.45	204.07	253.23	115.97	92.7	173.85	154.42	193.01	94.67	249.73	116.78	63.89	122.64	361.04	287.01	201.25	60.82	25.54	36.53	36.79	23.42	21.94	13.93	22.75	16.03	27.64	19.11	15.56	30.12	18.03	28.04	21.94	7.17	9.7	0.0	0.11
WDR47	145.02	144.01	201.25	218.79	181.28	136.19	135.24	205.5	112.77	132.44	172.65	147.06	224.97	236.21	291.04	146.03	318.57	197.09	136.19	178.77	201.25	507.46	267.73	211.31	109.66	301.33	108.14	197.09	217.27	130.6	133.36	157.68	134.3	403.5	221.86	409.15	57.08	23.59	45.85	43.32	25.54	21.01	19.25	29.7	23.93	30.12	31.45	28.04	39.79	22.43	50.98	28.04	7.82	27.64	0.0	0.48
WDR77	323.03	638.15	466.88	819.3	532.74	529.06	412.0	536.45	312.0	412.0	457.25	759.08	638.15	764.36	638.15	497.0	684.02	733.19	559.28	435.55	454.09	708.18	454.09	1208.34	457.25	500.46	555.41	1023.0	775.05	642.59	366.09	525.39	497.0	684.02	529.06	981.29	332.14	392.44	361.04	432.53	312.0	318.57	529.06	379.04	400.71	438.59	351.14	305.55	486.75	373.81	381.68	450.94	323.03	547.75	0.0	0.43
YEATS4	392.44	808.0	503.95	490.14	547.75	559.28	693.58	638.15	473.41	305.55	551.56	486.75	860.08	616.37	642.59	435.55	529.06	480.04	599.49	429.54	3303.0	1183.45	483.38	902.89	486.75	1477.58	454.09	543.96	684.02	571.05	444.72	503.95	1250.98	967.76	551.56	651.58	201.25	186.4	181.28	161.02	229.72	190.34	43.02	152.28	167.9	169.07	202.66	128.79	229.72	189.02	226.54	186.4	167.9	131.51	0.0	0.46
YPEL5	1769.57	1127.35	1896.65	2287.2	1977.24	2485.67	1457.23	1159.07	2537.92	1757.34	1757.34	1286.18	2119.22	1304.15	1909.85	1081.39	2032.85	1551.09	1769.57	1923.14	1225.22	2224.63	1963.57	1844.76	1639.59	2720.15	2032.85	1594.73	1167.14	3820.7	2303.12	2434.5	1561.89	2271.4	2400.97	2664.15	1104.13	1059.11	1111.82	1216.75	941.27	860.08	796.86	1350.18	825.0	1119.56	665.29	1073.91	995.0	1001.93	866.07	896.64	1457.23	432.53	1295.13	2287.2
ZAR1L	1.38	0.0	1.06	0.31	1.03	0.35	0.0	0.3	0.35	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.0	0.0	0.0	0.0	1.28	0.33	0.68	0.32	0.59	0.64	0.74	1.28	0.0	0.62	0.62	0.0	0.0	0.62	0.0	0.88	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZDHHC9	1216.75	633.73	1447.15	819.3	743.43	483.38	575.03	575.03	486.75	633.73	679.29	1081.39	848.22	620.67	1437.15	1119.56	1883.54	808.0	909.17	1806.78	1304.15	1378.57	1143.1	967.76	1551.09	1359.57	620.67	791.35	1059.11	555.41	941.27	819.3	759.08	941.27	1225.22	947.83	507.46	679.29	633.73	872.1	476.71	555.41	791.35	780.44	708.18	599.49	791.35	656.11	607.87	532.74	629.35	563.18	595.34	1519.15	947.83	500.46
ZNF385C	64.34	76.17	24.63	67.59	35.0	64.8	89.51	7.75	55.89	30.12	161.02	60.39	144.01	102.97	18.97	63.45	18.43	55.49	77.25	12.0	111.99	19.53	45.85	120.94	74.58	46.5	140.04	334.46	21.78	77.79	34.02	45.85	43.94	29.48	72.52	130.6	92.7	5.82	14.14	3.76	2.92	1.23	5.68	4.06	0.72	4.35	3.11	3.59	7.82	5.92	5.59	4.78	3.63	2.48	0.0	0.13
ZNF449	56.28	31.22	134.3	80.57	65.26	65.26	53.57	65.72	70.01	58.71	122.64	80.01	103.69	69.03	100.13	72.01	205.5	71.0	88.26	90.77	93.35	148.09	95.34	73.54	66.18	80.57	47.17	97.36	85.22	97.36	77.25	66.18	76.17	113.56	90.77	87.03	52.08	23.08	36.27	11.13	28.04	8.65	4.54	17.9	22.1	31.22	11.13	24.28	25.35	21.32	22.75	10.88	9.85	3.99	0.0	0.19
ZNF467	325.29	896.64	743.43	624.99	529.06	1216.75	656.11	346.29	571.05	769.69	1104.13	587.13	679.29	444.72	796.86	177.53	435.55	967.76	511.0	454.09	412.0	348.71	759.08	813.63	733.19	753.83	248.0	748.61	476.71	1127.35	769.69	890.44	277.2	1350.18	753.83	1896.65	688.78	189.02	183.82	129.69	130.6	80.57	214.27	108.9	108.9	105.89	60.82	125.24	134.3	96.01	82.87	98.73	351.14	24.11	0.0	0.75
ZRSR2	395.18	414.87	536.45	457.25	450.94	665.29	358.54	368.65	400.71	429.54	532.74	287.01	540.19	279.14	669.92	356.05	381.68	395.18	417.77	341.51	633.73	281.09	447.82	323.03	358.54	860.08	532.74	253.23	511.0	397.93	291.04	872.1	339.14	417.77	423.61	759.08	285.03	139.07	201.25	98.73	149.12	152.28	76.71	145.02	112.77	159.9	175.07	141.02	177.53	125.24	185.11	98.73	120.1	180.02	0.0	0.56
ZXDA	59.97	33.54	124.37	63.45	56.28	84.63	39.22	43.32	61.25	34.51	51.71	48.52	56.28	69.03	45.21	52.82	112.77	38.95	80.57	71.0	88.26	108.9	68.07	44.57	54.72	72.52	39.79	60.39	42.71	81.71	49.21	47.5	92.05	108.14	72.01	83.45	43.32	29.27	19.68	27.25	14.03	15.34	14.35	22.92	21.94	16.88	18.16	19.82	25.72	17.77	23.42	13.22	11.04	19.25	0.0	0.02
