	TCGA.50.8460.01A.11R.2326.07	GTEX.W5X1.0526.SM.3GILH	GTEX.T8EM.0326.SM.3DB7F	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.ET.A3DT.01A.11R.A19O.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.DJ.A3V2.01A.11R.A22U.07
SCYL2	460.44	738.29	638.15	264.03	224.97	454.09	397.93	351.14	143.01	376.41	231.32	251.48	403.5	260.38	358.54	473.41	432.53	339.14	206.94	211.31	206.94	303.44	246.28	269.6	500.46	318.57	291.04	205.5	323.03	314.17	144.01	323.03	483.38	260.38	366.09	293.07	366.09	406.31	214.27	536.45	384.34	234.57	279.14	334.46	392.44	444.72	295.11	295.11	283.05	389.72	152.28	397.93	420.68	358.54	470.14	293.07	395.18	277.2	392.44	244.57	373.81	447.82	244.57	325.29	265.87	312.0	346.29	303.44	389.72	473.41	353.59	255.0	400.71	176.29	420.68	260.38	486.75	457.25	299.25	277.2	463.65	356.05	234.57	234.57
SEC24B	269.6	441.64	536.45	283.05	215.77	343.89	356.05	318.57	205.5	320.8	223.41	228.13	373.81	267.73	316.37	409.15	403.5	336.79	283.05	236.21	206.94	253.23	269.6	283.05	381.68	267.73	351.14	205.5	291.04	289.02	195.72	303.44	392.44	237.86	289.02	289.02	187.71	397.93	212.78	412.0	366.09	256.78	273.37	281.09	327.56	373.81	236.21	228.13	237.86	371.22	223.41	361.04	473.41	397.93	379.04	299.25	343.89	264.03	348.71	221.86	343.89	463.65	214.27	256.78	234.57	248.0	346.29	293.07	412.0	463.65	320.8	237.86	307.69	256.78	470.14	289.02	417.77	392.44	256.78	293.07	395.18	299.25	231.32	264.03
SKIL	166.73	679.29	426.57	165.57	242.88	381.68	406.31	271.48	125.24	490.14	185.11	258.57	583.07	273.37	336.79	493.56	368.65	264.03	182.55	327.56	194.36	273.37	267.73	242.88	318.57	195.72	258.57	334.46	221.86	255.0	148.09	291.04	476.71	327.56	341.51	239.52	169.07	708.18	267.73	708.18	293.07	202.66	186.4	409.15	265.87	438.59	271.48	314.17	277.2	444.72	164.42	420.68	397.93	281.09	647.07	165.57	346.29	275.28	500.46	293.07	295.11	376.41	181.28	363.56	323.03	214.27	403.5	353.59	483.38	493.56	285.03	269.6	395.18	205.5	444.72	384.34	521.76	444.72	336.79	246.28	426.57	187.71	205.5	211.31
SLAIN2	599.49	1350.18	1498.22	366.09	287.01	764.36	599.49	733.19	571.05	575.03	363.56	327.56	769.69	521.76	543.96	703.28	713.11	612.11	438.59	414.87	356.05	571.05	536.45	525.39	836.53	579.04	825.0	480.04	497.0	490.14	314.17	571.05	791.35	503.95	559.28	583.07	460.44	748.61	476.71	780.44	693.58	490.14	599.49	447.82	583.07	769.69	361.04	441.64	629.35	629.35	406.31	669.92	769.69	651.58	738.29	583.07	665.29	525.39	684.02	444.72	629.35	1127.35	406.31	587.13	403.5	612.11	866.07	563.18	780.44	1096.5	624.99	473.41	656.11	486.75	830.75	392.44	813.63	679.29	665.29	432.53	743.43	769.69	281.09	361.04
SLC25A24	195.72	928.3	1397.83	214.27	205.5	389.72	403.5	289.02	195.72	329.84	197.09	262.2	361.04	209.84	403.5	607.87	460.44	279.14	208.38	228.13	176.29	297.17	221.86	265.87	454.09	264.03	253.23	195.72	241.19	281.09	163.28	264.03	599.49	275.28	299.25	262.2	211.31	361.04	246.28	518.15	348.71	258.57	275.28	389.72	341.51	332.14	301.33	283.05	237.86	417.77	197.09	476.71	346.29	379.04	403.5	258.57	291.04	346.29	432.53	251.48	309.83	339.14	305.55	316.37	289.02	269.6	406.31	279.14	397.93	387.02	353.59	277.2	486.75	212.78	423.61	224.97	486.75	403.5	348.71	253.23	438.59	351.14	228.13	236.21
SLC25A40	162.14	493.56	228.13	134.3	102.25	217.27	239.52	180.02	58.71	220.32	111.99	126.12	189.02	142.01	201.25	217.27	242.88	239.52	137.14	102.25	107.38	187.71	121.79	228.13	258.57	161.02	158.79	84.04	165.57	171.45	88.88	191.67	180.02	163.28	183.82	175.07	113.56	242.88	79.45	232.94	206.94	147.06	139.07	147.06	172.65	205.5	114.36	120.94	106.63	197.09	71.5	183.82	170.25	193.01	202.66	202.66	173.85	146.03	173.85	148.09	258.57	273.37	100.83	153.34	127.89	173.85	182.55	142.01	175.07	185.11	137.14	112.77	218.79	118.43	293.07	143.01	189.02	224.97	126.12	153.34	256.78	194.36	84.04	143.01
SLK	334.46	753.83	1498.22	262.2	264.03	403.5	387.02	341.51	197.09	332.14	262.2	291.04	438.59	248.0	353.59	480.04	457.25	387.02	262.2	239.52	231.32	307.69	287.01	320.8	420.68	327.56	351.14	255.0	285.03	339.14	236.21	325.29	406.31	339.14	351.14	299.25	255.0	447.82	262.2	435.55	403.5	279.14	275.28	301.33	348.71	466.88	289.02	264.03	275.28	414.87	246.28	379.04	429.54	356.05	409.15	285.03	348.71	291.04	366.09	212.78	353.59	483.38	271.48	299.25	299.25	283.05	389.72	283.05	392.44	483.38	334.46	287.01	343.89	260.38	518.15	285.03	466.88	406.31	334.46	316.37	460.44	293.07	236.21	265.87
SMARCAD1	199.85	301.33	395.18	224.97	161.02	279.14	316.37	237.86	99.43	281.09	183.82	206.94	309.83	206.94	255.0	325.29	327.56	258.57	117.6	228.13	159.9	185.11	206.94	234.57	329.84	186.4	228.13	167.9	208.38	218.79	133.36	253.23	275.28	221.86	209.84	178.77	190.34	325.29	121.79	329.84	279.14	183.82	197.09	231.32	258.57	323.03	189.02	231.32	177.53	234.57	146.03	293.07	275.28	246.28	332.14	221.86	241.19	202.66	299.25	141.02	279.14	320.8	171.45	218.79	140.04	173.85	234.57	232.94	265.87	423.61	253.23	197.09	281.09	153.34	291.04	172.65	318.57	327.56	228.13	229.72	295.11	202.66	167.9	211.31
SMC2	67.12	236.21	283.05	86.43	63.45	150.17	137.14	87.03	53.95	118.43	57.49	67.12	118.43	107.38	97.36	141.02	120.1	77.79	65.72	61.68	61.25	105.15	75.64	97.36	109.66	92.7	105.89	48.52	103.69	79.45	49.56	120.1	112.77	65.72	78.34	72.01	87.03	142.01	55.89	158.79	137.14	72.52	81.14	96.68	120.94	122.64	76.71	60.82	66.65	113.56	42.11	112.77	124.37	122.64	153.34	91.41	106.63	81.14	144.01	95.34	120.1	173.85	69.52	66.18	63.0	94.67	126.12	101.54	116.78	149.12	118.43	74.58	108.14	58.3	165.57	53.19	138.1	111.21	85.82	74.58	148.09	104.42	66.65	71.5
SMC3	379.04	785.88	842.36	409.15	406.31	525.39	591.22	454.09	316.37	525.39	348.71	348.71	660.68	503.95	579.04	733.19	629.35	563.18	353.59	314.17	334.46	476.71	334.46	511.0	624.99	454.09	583.07	343.89	480.04	595.34	312.0	591.22	555.41	438.59	470.14	392.44	285.03	620.67	327.56	708.18	603.67	392.44	406.31	412.0	493.56	587.13	368.65	432.53	379.04	555.41	423.61	551.56	587.13	620.67	583.07	454.09	559.28	412.0	518.15	361.04	521.76	759.08	441.64	389.72	334.46	397.93	563.18	490.14	555.41	780.44	567.1	395.18	497.0	373.81	674.59	403.5	603.67	595.34	379.04	423.61	624.99	406.31	373.81	476.71
SMG1	239.52	571.05	283.05	173.85	163.28	249.73	381.68	258.57	83.45	273.37	181.28	170.25	327.56	215.77	262.2	309.83	353.59	220.32	152.28	150.17	152.28	148.09	185.11	220.32	376.41	175.07	248.0	121.79	181.28	212.78	106.63	318.57	253.23	223.41	244.57	176.29	96.01	366.09	146.03	343.89	293.07	175.07	185.11	253.23	228.13	343.89	146.03	223.41	159.9	279.14	146.03	260.38	379.04	293.07	301.33	201.25	251.48	223.41	295.11	151.22	262.2	320.8	136.19	226.54	150.17	157.68	283.05	214.27	214.27	466.88	291.04	204.07	295.11	147.06	363.56	194.36	329.84	312.0	204.07	214.27	334.46	215.77	169.07	197.09
SOS2	215.77	368.65	395.18	228.13	204.07	412.0	301.33	334.46	175.07	277.2	206.94	229.72	395.18	241.19	356.05	417.77	348.71	323.03	201.25	226.54	191.67	285.03	271.48	277.2	409.15	318.57	273.37	258.57	287.01	299.25	187.71	277.2	420.68	244.57	273.37	260.38	258.57	329.84	212.78	417.77	316.37	303.44	234.57	251.48	309.83	379.04	275.28	285.03	291.04	397.93	248.0	348.71	371.22	343.89	358.54	287.01	295.11	262.2	356.05	195.72	336.79	400.71	226.54	327.56	291.04	293.07	339.14	271.48	366.09	463.65	323.03	273.37	323.03	229.72	414.87	241.19	397.93	320.8	242.88	285.03	376.41	312.0	208.38	248.0
SPATA5	19.39	78.89	31.45	28.04	23.76	43.02	33.78	31.0	24.11	36.79	23.25	23.25	45.85	28.45	47.5	51.71	57.89	41.22	20.11	21.94	20.71	30.78	27.44	32.36	47.5	31.9	46.18	24.99	33.78	29.91	25.91	32.59	45.53	31.22	29.7	22.1	19.82	56.68	24.28	55.49	41.81	25.54	24.63	31.9	37.32	42.41	27.64	20.71	26.67	49.21	17.51	43.32	43.02	42.11	49.91	32.13	38.12	24.99	46.18	29.06	36.53	71.5	24.99	28.04	25.72	29.91	50.98	34.51	40.93	78.89	24.63	29.06	25.72	27.25	62.12	27.25	62.12	35.5	32.13	22.43	72.01	22.26	23.08	27.05
SPOPL	125.24	363.56	256.78	117.6	92.05	170.25	166.73	145.02	55.49	144.01	86.43	109.66	218.79	127.0	162.14	205.5	209.84	166.73	92.05	91.41	102.25	135.24	89.51	139.07	209.84	125.24	140.04	90.77	133.36	135.24	81.71	157.68	206.94	125.24	145.02	119.26	92.7	237.86	85.82	239.52	185.11	117.6	124.37	143.01	172.65	205.5	127.0	119.26	104.42	181.28	73.54	162.14	242.88	177.53	229.72	122.64	173.85	126.12	182.55	100.83	176.29	231.32	101.54	126.12	108.14	125.24	170.25	133.36	172.65	255.0	162.14	137.14	180.02	88.26	221.86	122.64	249.73	209.84	118.43	121.79	202.66	147.06	90.77	117.6
SSX2IP	52.08	248.0	339.14	75.64	53.57	128.79	153.34	130.6	56.28	132.44	80.57	93.35	175.07	113.56	127.89	165.57	158.79	116.78	60.82	78.89	87.03	102.97	75.11	123.5	139.07	85.22	115.97	80.57	85.82	108.9	56.68	140.04	136.19	121.79	72.01	100.83	63.89	176.29	72.52	178.77	130.6	70.01	91.41	127.89	120.1	141.02	84.63	71.5	69.52	95.34	47.84	118.43	127.89	158.79	229.72	100.13	130.6	95.34	170.25	90.14	132.44	214.27	81.14	94.01	65.26	84.04	131.51	108.14	152.28	181.28	100.13	87.03	113.56	73.03	139.07	90.77	163.28	127.89	98.04	108.9	145.02	112.77	59.55	105.15
STAG1	154.42	387.02	406.31	193.01	171.45	224.97	332.14	195.72	131.51	234.57	158.79	166.73	332.14	211.31	285.03	309.83	305.55	273.37	133.36	144.01	150.17	201.25	143.01	237.86	287.01	162.14	231.32	142.01	209.84	258.57	115.97	299.25	262.2	275.28	226.54	182.55	116.78	327.56	120.94	343.89	262.2	170.25	190.34	201.25	234.57	281.09	191.67	164.42	159.9	231.32	156.59	271.48	301.33	297.17	289.02	231.32	255.0	189.02	281.09	165.57	206.94	307.69	169.07	169.07	128.79	157.68	275.28	260.38	251.48	403.5	262.2	169.07	215.77	157.68	305.55	194.36	293.07	323.03	178.77	215.77	293.07	143.01	170.25	217.27
STAM2	180.02	642.59	403.5	166.73	156.59	255.0	289.02	209.84	117.6	236.21	176.29	198.47	299.25	195.72	289.02	363.56	332.14	260.38	183.82	183.82	166.73	206.94	152.28	202.66	303.44	169.07	221.86	202.66	166.73	248.0	121.79	234.57	318.57	226.54	236.21	191.67	151.22	312.0	153.34	320.8	236.21	176.29	187.71	214.27	239.52	287.01	178.77	226.54	177.53	211.31	126.12	287.01	307.69	249.73	339.14	178.77	211.31	181.28	275.28	158.79	246.28	295.11	148.09	229.72	176.29	178.77	239.52	209.84	262.2	381.68	258.57	195.72	283.05	149.12	287.01	189.02	303.44	289.02	191.67	228.13	285.03	191.67	149.12	189.02
STAU2	454.09	1183.45	665.29	323.03	309.83	559.28	466.88	438.59	281.09	438.59	351.14	269.6	540.19	384.34	470.14	612.11	476.71	368.65	403.5	318.57	318.57	336.79	361.04	441.64	583.07	414.87	532.74	384.34	460.44	447.82	289.02	379.04	543.96	371.22	348.71	395.18	244.57	583.07	309.83	599.49	547.75	463.65	316.37	339.14	450.94	656.11	329.84	389.72	320.8	518.15	194.36	514.56	555.41	500.46	447.82	417.77	444.72	348.71	476.71	429.54	733.19	521.76	387.02	486.75	318.57	373.81	473.41	379.04	525.39	713.11	444.72	379.04	500.46	329.84	559.28	373.81	507.46	414.87	409.15	343.89	599.49	403.5	283.05	312.0
STRN	108.9	305.55	325.29	73.03	70.51	137.14	121.79	127.89	70.51	92.05	74.58	70.01	143.01	95.34	105.89	152.28	116.78	101.54	85.82	66.65	55.49	92.05	86.43	88.88	131.51	93.35	111.21	90.77	90.77	97.36	68.07	103.69	148.09	77.79	93.35	92.7	73.03	143.01	98.73	182.55	119.26	84.63	78.34	102.97	114.36	131.51	78.34	85.22	95.34	134.3	61.68	131.51	140.04	120.1	128.79	85.82	100.13	100.13	120.1	85.22	108.9	143.01	73.54	118.43	88.26	117.6	123.5	97.36	120.1	141.02	108.14	98.73	120.1	87.65	154.42	85.22	145.02	106.63	107.38	92.05	155.5	120.94	63.89	78.34
STRN3	193.01	450.94	343.89	199.85	201.25	255.0	265.87	236.21	115.16	312.0	189.02	246.28	289.02	242.88	301.33	329.84	358.54	265.87	165.57	201.25	163.28	249.73	177.53	262.2	361.04	228.13	205.5	255.0	242.88	301.33	107.38	255.0	309.83	231.32	253.23	212.78	191.67	325.29	151.22	341.51	275.28	177.53	223.41	283.05	275.28	358.54	269.6	277.2	198.47	303.44	158.79	277.2	356.05	273.37	376.41	229.72	299.25	190.34	271.48	176.29	262.2	279.14	264.03	249.73	206.94	191.67	281.09	221.86	318.57	397.93	336.79	181.28	244.57	121.79	293.07	228.13	412.0	267.73	258.57	241.19	348.71	256.78	165.57	167.9
TAF2	172.65	432.53	366.09	153.34	102.25	186.4	256.78	171.45	114.36	206.94	145.02	162.14	220.32	162.14	170.25	205.5	226.54	175.07	109.66	141.02	113.56	134.3	185.11	189.02	199.85	142.01	221.86	155.5	144.01	182.55	78.34	189.02	229.72	162.14	159.9	147.06	117.6	218.79	105.15	236.21	202.66	158.79	163.28	156.59	178.77	234.57	140.04	182.55	142.01	194.36	120.1	193.01	206.94	198.47	209.84	189.02	201.25	170.25	202.66	132.44	205.5	195.72	137.14	181.28	119.26	143.01	224.97	167.9	221.86	251.48	158.79	135.24	209.84	129.69	246.28	158.79	249.73	205.5	193.01	151.22	232.94	187.71	120.94	162.14
TAOK1	145.02	318.57	320.8	154.42	155.5	251.48	273.37	228.13	126.12	215.77	148.09	163.28	299.25	183.82	202.66	320.8	269.6	217.27	130.6	162.14	121.79	182.55	164.42	202.66	327.56	195.72	208.38	172.65	162.14	220.32	118.43	232.94	307.69	193.01	223.41	183.82	148.09	287.01	162.14	348.71	271.48	147.06	185.11	221.86	226.54	307.69	162.14	183.82	176.29	264.03	137.14	275.28	305.55	244.57	325.29	167.9	229.72	180.02	291.04	180.02	214.27	332.14	143.01	205.5	181.28	176.29	239.52	190.34	281.09	361.04	258.57	170.25	239.52	167.9	334.46	157.68	366.09	293.07	185.11	181.28	314.17	189.02	151.22	165.57
TBCEL	102.97	493.56	348.71	129.69	100.13	119.26	204.07	120.94	61.25	129.69	120.1	107.38	181.28	121.79	134.3	159.9	195.72	158.79	67.12	85.82	95.34	121.79	103.69	140.04	170.25	123.5	116.78	82.87	126.12	117.6	83.45	147.06	134.3	133.36	144.01	119.26	143.01	165.57	82.87	206.94	164.42	107.38	146.03	145.02	132.44	201.25	129.69	126.12	100.83	161.02	111.21	152.28	150.17	175.07	150.17	151.22	153.34	111.99	129.69	75.64	135.24	167.9	127.0	106.63	76.17	126.12	182.55	126.12	138.1	264.03	133.36	119.26	129.69	97.36	182.55	109.66	194.36	175.07	113.56	136.19	178.77	108.14	121.79	117.6
TBL1XR1	457.25	1359.57	995.0	753.83	595.34	941.27	1073.91	624.99	353.59	775.05	665.29	638.15	941.27	796.86	1183.45	1191.69	1183.45	878.17	591.22	698.41	688.78	780.44	660.68	896.64	1066.48	728.11	759.08	674.59	759.08	842.36	525.39	890.44	808.0	796.86	733.19	587.13	521.76	1151.06	543.96	1143.1	954.43	660.68	507.46	703.28	780.44	1119.56	555.41	587.13	647.07	808.0	351.14	909.17	1104.13	1015.93	1104.13	693.58	872.1	633.73	872.1	728.11	954.43	1051.79	563.18	708.18	493.56	547.75	684.02	934.76	872.1	1359.57	780.44	738.29	764.36	587.13	1119.56	872.1	1015.93	1001.93	688.78	808.0	988.12	656.11	525.39	866.07
TMED8	98.73	189.02	182.55	126.12	111.21	154.42	181.28	114.36	81.14	135.24	110.43	135.24	172.65	177.53	163.28	175.07	206.94	190.34	122.64	91.41	114.36	154.42	96.68	163.28	214.27	153.34	139.07	87.65	154.42	149.12	99.43	193.01	161.02	140.04	151.22	137.14	141.02	191.67	84.04	215.77	201.25	104.42	120.1	118.43	157.68	193.01	153.34	109.66	113.56	173.85	131.51	143.01	167.9	165.57	206.94	161.02	166.73	102.25	153.34	100.13	135.24	239.52	125.24	113.56	108.14	105.89	170.25	121.79	162.14	265.87	115.16	131.51	118.43	99.43	180.02	106.63	234.57	198.47	91.41	130.6	199.85	123.5	87.65	129.69
TMF1	236.21	555.41	435.55	182.55	201.25	327.56	376.41	285.03	128.79	305.55	182.55	195.72	363.56	232.94	291.04	435.55	366.09	314.17	199.85	226.54	154.42	220.32	187.71	262.2	381.68	195.72	325.29	228.13	218.79	264.03	127.0	299.25	389.72	256.78	271.48	232.94	180.02	363.56	162.14	400.71	320.8	194.36	248.0	237.86	279.14	406.31	173.85	265.87	199.85	341.51	142.01	356.05	432.53	305.55	460.44	228.13	307.69	197.09	346.29	177.53	356.05	417.77	189.02	241.19	178.77	177.53	301.33	242.88	414.87	543.96	303.44	198.47	351.14	171.45	441.64	182.55	426.57	371.22	271.48	255.0	366.09	237.86	164.42	204.07
TNKS2	265.87	728.11	748.61	376.41	325.29	567.1	583.07	432.53	178.77	460.44	303.44	358.54	595.34	395.18	500.46	660.68	599.49	473.41	334.46	316.37	320.8	363.56	346.29	480.04	620.67	412.0	435.55	343.89	414.87	493.56	244.57	483.38	599.49	381.68	432.53	381.68	309.83	607.87	275.28	679.29	571.05	368.65	353.59	379.04	514.56	642.59	358.54	371.22	299.25	599.49	220.32	543.96	647.07	563.18	559.28	389.72	493.56	387.02	532.74	287.01	497.0	624.99	323.03	376.41	334.46	351.14	466.88	409.15	571.05	738.29	473.41	341.51	497.0	309.83	688.78	412.0	698.41	587.13	395.18	395.18	620.67	435.55	275.28	373.81
TNPO1	348.71	1015.93	1030.12	299.25	267.73	490.14	647.07	438.59	267.73	463.65	265.87	305.55	616.37	325.29	503.95	698.41	688.78	432.53	309.83	260.38	244.57	303.44	279.14	379.04	679.29	320.8	518.15	283.05	334.46	441.64	193.01	493.56	591.22	320.8	511.0	387.02	299.25	633.73	267.73	660.68	507.46	314.17	358.54	392.44	493.56	660.68	334.46	334.46	256.78	563.18	241.19	563.18	674.59	547.75	728.11	412.0	529.06	351.14	559.28	281.09	417.77	674.59	318.57	312.0	256.78	293.07	551.56	387.02	571.05	866.07	518.15	287.01	470.14	297.17	698.41	356.05	698.41	651.58	356.05	414.87	603.67	417.77	273.37	332.14
TOPBP1	177.53	384.34	299.25	221.86	158.79	341.51	267.73	221.86	106.63	242.88	158.79	155.5	265.87	234.57	201.25	351.14	237.86	186.4	166.73	162.14	165.57	194.36	267.73	218.79	236.21	226.54	249.73	127.89	201.25	187.71	167.9	260.38	241.19	177.53	181.28	193.01	193.01	293.07	164.42	312.0	258.57	197.09	195.72	223.41	209.84	265.87	142.01	144.01	182.55	262.2	115.16	251.48	267.73	251.48	258.57	248.0	201.25	223.41	297.17	191.67	293.07	305.55	139.07	204.07	170.25	212.78	267.73	197.09	256.78	389.72	224.97	187.71	269.6	181.28	351.14	165.57	289.02	289.02	187.71	185.11	265.87	271.48	173.85	191.67
TTC21B	99.43	228.13	120.94	104.42	87.03	120.1	147.06	109.66	63.0	107.38	96.68	87.03	145.02	96.01	124.37	127.89	135.24	108.14	101.54	90.14	90.14	88.88	94.01	111.99	127.0	112.77	125.24	64.34	126.12	127.0	75.11	144.01	119.26	92.05	115.97	90.77	76.71	161.02	67.12	163.28	111.21	92.7	85.22	98.73	124.37	127.0	92.05	100.83	97.36	113.56	88.26	134.3	138.1	111.99	121.79	115.16	105.89	95.34	112.77	70.01	145.02	153.34	108.9	102.25	73.03	71.0	127.89	102.25	123.5	169.07	111.99	108.14	113.56	88.26	166.73	96.01	134.3	119.26	100.83	98.04	125.24	86.43	87.03	96.68
TTPAL	63.89	111.21	127.0	115.16	92.7	144.01	224.97	105.15	85.82	143.01	121.79	127.0	197.09	124.37	156.59	171.45	191.67	123.5	69.03	87.65	89.51	140.04	109.66	152.28	195.72	125.24	141.02	116.78	72.01	149.12	82.87	169.07	199.85	155.5	102.25	150.17	135.24	165.57	96.68	232.94	172.65	88.26	97.36	142.01	120.1	193.01	113.56	118.43	97.36	117.6	95.34	173.85	195.72	149.12	191.67	145.02	152.28	126.12	155.5	115.97	150.17	241.19	114.36	140.04	77.25	131.51	167.9	135.24	177.53	277.2	115.16	111.21	139.07	90.14	180.02	132.44	208.38	231.32	105.89	138.1	185.11	120.94	97.36	114.36
TXNDC16	66.18	236.21	146.03	41.22	21.78	82.29	73.54	46.5	18.43	58.71	22.92	25.35	47.5	44.57	42.11	62.56	55.89	58.3	32.13	17.51	23.76	39.22	37.32	38.12	47.84	46.84	36.27	28.45	44.89	26.86	31.0	44.25	44.57	35.76	44.89	47.5	75.11	52.45	26.1	77.25	61.68	43.02	32.36	28.04	47.17	66.65	26.86	19.53	33.06	67.12	19.39	52.82	40.36	48.52	45.53	35.0	42.71	47.5	56.28	43.32	65.72	60.39	25.54	37.05	33.54	34.26	47.84	41.81	54.33	73.03	35.25	51.71	47.17	41.81	77.79	35.0	63.45	51.71	36.53	34.02	61.25	50.63	31.67	35.0
UBXN7	99.43	314.17	215.77	148.09	112.77	166.73	234.57	141.02	102.97	197.09	120.94	124.37	224.97	153.34	167.9	221.86	237.86	164.42	115.16	134.3	116.78	133.36	124.37	167.9	242.88	153.34	175.07	108.9	148.09	159.9	92.05	198.47	209.84	142.01	193.01	139.07	97.36	241.19	113.56	229.72	193.01	115.16	167.9	156.59	172.65	242.88	129.69	111.21	136.19	202.66	127.89	208.38	258.57	204.07	232.94	175.07	197.09	151.22	187.71	131.51	159.9	239.52	115.16	147.06	118.43	103.69	211.31	175.07	182.55	289.02	156.59	122.64	170.25	119.26	232.94	165.57	246.28	231.32	135.24	158.79	228.13	123.5	132.44	138.1
UEVLD	156.59	403.5	441.64	133.36	105.15	178.77	185.11	169.07	81.71	167.9	117.6	133.36	190.34	135.24	173.85	206.94	202.66	189.02	111.21	113.56	81.14	149.12	113.56	146.03	177.53	131.51	144.01	87.65	113.56	170.25	97.36	165.57	189.02	135.24	176.29	133.36	126.12	202.66	113.56	232.94	163.28	119.26	149.12	164.42	152.28	208.38	123.5	140.04	116.78	157.68	101.54	186.4	194.36	180.02	198.47	131.51	164.42	163.28	178.77	114.36	151.22	212.78	104.42	109.66	113.56	150.17	163.28	141.02	195.72	258.57	152.28	115.16	181.28	119.26	189.02	130.6	197.09	191.67	146.03	164.42	144.01	147.06	115.16	132.44
