	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.VS.A9V1.01A.11R.A42T.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.NH.A50V.01A.11R.A28H.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.PX3G.0826.SM.48TZS	GTEX.14753.1626.SM.5NQ9L	GTEX.12WSL.2126.SM.5GCNG	GTEX.13OVI.2326.SM.5KM47	GTEX.13113.1526.SM.5EGHV	TCGA.CG.5718.01A.11R.1602.13	TCGA.BR.6452.01A.12R.1802.13	TCGA.CG.4438.01A.01R.1157.13	TCGA.BR.A452.01A.91R.A251.31	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.CG.4469.01A.01R.1157.13	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.BR.4371.01A.01R.1157.13	TCGA.HF.A5NB.01A.11R.A31P.31	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.VQ.A8PP.01A.21R.A414.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.BR.4369.01A.01R.1157.13	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.BR.8484.01A.11R.2402.13	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CG.4306.01A.01R.1157.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.BR.4363.01A.01R.1157.13	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	TCGA.CG.5734.11A.01R.1602.13	GTEX.WHPG.0426.SM.4M1XW	GTEX.SNOS.0826.SM.4DM5N	GTEX.PWCY.0926.SM.48TD7	GTEX.145MN.1326.SM.5NQ9S	GTEX.13U4I.2526.SM.5SI8Z	GTEX.OHPK.1526.SM.3MJGM	GTEX.XV7Q.1326.SM.4BRWM	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	GTEX.13CF3.1926.SM.5K7WF	GTEX.UJMC.1226.SM.4IHLI
NUP160	201.25	674.59	583.07	620.67	660.68	830.75	642.59	1388.16	518.15	242.88	221.86	320.8	389.72	381.68	363.56	432.53	264.03	329.84	305.55	470.14	473.41	480.04	373.81	547.75	500.46	348.71	444.72	356.05	88.26	127.0	151.22	142.01	148.09	152.28	115.16	136.19	136.19	80.01	275.28	476.71	368.65	316.37	567.1	921.88	884.29	450.94	376.41	339.14	669.92	620.67	529.06	229.72	540.19	497.0	2240.11	579.04	490.14	1096.5	447.82	612.11	503.95	616.37	205.5	629.35	454.09	748.61	693.58	435.55	177.53	239.52	269.6	289.02	187.71	283.05	289.02	291.04	299.25	234.57	202.66	191.67	217.27
OCRL	194.36	802.41	358.54	392.44	603.67	480.04	444.72	753.83	698.41	186.4	251.48	260.38	325.29	177.53	215.77	258.57	429.54	429.54	199.85	460.44	454.09	642.59	454.09	651.58	412.0	441.64	277.2	493.56	231.32	127.0	293.07	114.36	109.66	88.88	102.97	100.83	171.45	55.89	186.4	258.57	189.02	96.68	329.84	429.54	215.77	291.04	191.67	295.11	381.68	1088.92	406.31	244.57	438.59	195.72	412.0	450.94	195.72	351.14	299.25	460.44	373.81	536.45	199.85	420.68	228.13	463.65	540.19	236.21	189.02	265.87	307.69	309.83	316.37	217.27	336.79	281.09	314.17	271.48	287.01	228.13	273.37
ORC2	197.09	543.96	368.65	567.1	503.95	651.58	409.15	571.05	473.41	202.66	187.71	229.72	231.32	287.01	363.56	312.0	212.78	460.44	291.04	633.73	332.14	395.18	567.1	543.96	343.89	447.82	312.0	348.71	30.12	101.54	61.25	105.89	164.42	80.57	32.13	57.89	65.72	46.5	217.27	253.23	241.19	356.05	447.82	591.22	483.38	366.09	264.03	215.77	529.06	665.29	441.64	185.11	470.14	289.02	656.11	246.28	780.44	679.29	432.53	353.59	500.46	262.2	171.45	518.15	271.48	536.45	346.29	171.45	123.5	193.01	218.79	234.57	251.48	251.48	289.02	327.56	256.78	220.32	251.48	127.0	236.21
OSGIN2	167.9	769.69	441.64	490.14	629.35	507.46	532.74	896.64	1059.11	120.1	121.79	297.17	201.25	151.22	88.88	147.06	115.16	214.27	204.07	232.94	376.41	466.88	159.9	525.39	180.02	283.05	183.82	212.78	197.09	145.02	29.7	99.43	172.65	170.25	92.7	193.01	146.03	136.19	169.07	246.28	218.79	198.47	397.93	450.94	293.07	167.9	204.07	265.87	206.94	258.57	229.72	113.56	316.37	122.64	178.77	234.57	373.81	450.94	320.8	301.33	231.32	170.25	107.38	314.17	295.11	417.77	346.29	146.03	129.69	148.09	156.59	115.16	100.13	101.54	155.5	150.17	120.94	120.94	131.51	80.01	89.51
PAN3	151.22	733.19	872.1	503.95	1015.93	1135.2	860.08	1135.2	753.83	201.25	417.77	493.56	633.73	260.38	260.38	241.19	318.57	753.83	363.56	447.82	412.0	336.79	497.0	483.38	271.48	480.04	358.54	351.14	84.63	111.99	65.26	85.22	109.66	64.8	29.27	68.07	81.71	59.13	316.37	389.72	480.04	197.09	316.37	743.43	441.64	217.27	305.55	267.73	429.54	785.88	305.55	171.45	567.1	412.0	503.95	775.05	373.81	490.14	571.05	490.14	417.77	426.57	163.28	384.34	285.03	507.46	291.04	242.88	115.16	246.28	190.34	229.72	368.65	547.75	303.44	249.73	224.97	211.31	253.23	152.28	237.86
PAPD4	295.11	1277.29	974.5	1023.0	1127.35	1191.69	1167.14	1313.23	1685.71	412.0	723.08	665.29	836.53	444.72	379.04	409.15	563.18	713.11	507.46	336.79	620.67	616.37	493.56	629.35	358.54	454.09	536.45	397.93	145.02	379.04	180.02	234.57	281.09	226.54	130.6	253.23	327.56	332.14	406.31	490.14	647.07	287.01	607.87	713.11	674.59	423.61	314.17	633.73	356.05	848.22	896.64	540.19	825.0	872.1	532.74	775.05	483.38	728.11	688.78	521.76	1104.13	480.04	351.14	769.69	351.14	902.89	473.41	343.89	303.44	563.18	476.71	441.64	723.08	733.19	583.07	417.77	571.05	358.54	426.57	351.14	642.59
PAPOLG	121.79	297.17	248.0	432.53	249.73	400.71	361.04	387.02	312.0	163.28	118.43	163.28	194.36	146.03	103.69	98.73	74.06	142.01	117.6	173.85	185.11	173.85	163.28	195.72	115.16	181.28	153.34	118.43	44.25	40.07	28.86	52.82	41.22	34.75	25.17	44.57	27.44	28.24	125.24	109.66	130.6	108.14	154.42	301.33	271.48	117.6	131.51	178.77	201.25	248.0	173.85	96.01	255.0	194.36	384.34	187.71	281.09	366.09	221.86	186.4	237.86	151.22	81.14	255.0	164.42	305.55	163.28	111.21	57.08	116.78	111.21	144.01	118.43	170.25	99.43	291.04	98.04	109.66	129.69	63.45	98.04
PCNXL4	104.42	703.28	728.11	1051.79	733.19	1030.12	836.53	1447.15	620.67	163.28	334.46	460.44	616.37	132.44	175.07	536.45	273.37	236.21	334.46	242.88	314.17	441.64	406.31	301.33	143.01	249.73	318.57	190.34	204.07	121.79	116.78	183.82	164.42	147.06	126.12	135.24	155.5	94.01	309.83	236.21	190.34	147.06	346.29	339.14	387.02	318.57	187.71	343.89	830.75	447.82	356.05	237.86	417.77	277.2	660.68	503.95	287.01	348.71	450.94	332.14	579.04	202.66	198.47	346.29	473.41	435.55	466.88	142.01	106.63	211.31	258.57	277.2	204.07	435.55	165.57	204.07	134.3	205.5	194.36	157.68	167.9
PDS5A	358.54	934.76	1001.93	1457.23	1059.11	1350.18	915.51	1909.85	1225.22	426.57	426.57	389.72	563.18	287.01	447.82	438.59	447.82	571.05	514.56	463.65	532.74	616.37	665.29	563.18	414.87	473.41	536.45	503.95	123.5	253.23	218.79	287.01	267.73	281.09	157.68	314.17	277.2	267.73	679.29	466.88	583.07	366.09	842.36	769.69	587.13	567.1	473.41	497.0	995.0	656.11	848.22	379.04	967.76	813.63	819.3	974.5	688.78	703.28	819.3	1127.35	981.29	974.5	314.17	830.75	514.56	1183.45	780.44	454.09	260.38	397.93	420.68	409.15	339.14	301.33	457.25	547.75	435.55	281.09	351.14	277.2	314.17
PHIP	73.03	507.46	460.44	460.44	587.13	872.1	536.45	780.44	389.72	103.69	116.78	214.27	273.37	214.27	212.78	155.5	126.12	220.32	197.09	234.57	260.38	281.09	265.87	291.04	242.88	303.44	260.38	167.9	12.55	50.98	20.41	48.52	43.63	33.06	9.63	34.51	29.7	14.45	260.38	214.27	249.73	114.36	217.27	384.34	368.65	343.89	169.07	262.2	460.44	392.44	246.28	144.01	356.05	262.2	656.11	392.44	139.07	389.72	287.01	480.04	395.18	212.78	110.43	334.46	242.88	438.59	412.0	212.78	103.69	119.26	152.28	186.4	158.79	187.71	140.04	277.2	153.34	145.02	169.07	87.65	119.26
POLA1	40.93	299.25	183.82	205.5	215.77	262.2	185.11	414.87	204.07	305.55	108.9	62.56	154.42	170.25	133.36	191.67	177.53	123.5	143.01	163.28	152.28	117.6	157.68	176.29	241.19	139.07	118.43	124.37	22.92	24.28	44.57	22.1	28.45	19.68	21.78	21.47	25.54	12.83	75.64	84.04	190.34	63.89	158.79	185.11	206.94	102.25	105.15	65.72	148.09	397.93	182.55	78.34	265.87	194.36	185.11	180.02	107.38	218.79	204.07	285.03	242.88	133.36	110.43	165.57	108.14	414.87	323.03	149.12	38.67	142.01	63.45	60.39	87.03	98.04	93.35	109.66	94.67	153.34	82.29	79.45	59.55
POLR2M	325.29	884.29	738.29	785.88	759.08	1015.93	967.76	1359.57	941.27	249.73	412.0	753.83	759.08	403.5	205.5	305.55	215.77	236.21	307.69	497.0	351.14	384.34	397.93	406.31	435.55	409.15	363.56	314.17	112.77	171.45	175.07	176.29	164.42	141.02	112.77	191.67	128.79	279.14	483.38	314.17	575.03	246.28	624.99	587.13	599.49	392.44	336.79	507.46	638.15	684.02	497.0	323.03	651.58	633.73	688.78	728.11	603.67	669.92	660.68	651.58	547.75	358.54	267.73	543.96	536.45	842.36	529.06	373.81	191.67	283.05	305.55	323.03	285.03	327.56	339.14	403.5	277.2	295.11	285.03	341.51	275.28
POT1	656.11	642.59	547.75	723.08	633.73	708.18	521.76	981.29	563.18	114.36	91.41	171.45	320.8	155.5	214.27	432.53	173.85	153.34	183.82	119.26	115.16	178.77	265.87	307.69	231.32	260.38	256.78	177.53	76.71	141.02	140.04	117.6	107.38	132.44	90.77	104.42	205.5	149.12	120.94	212.78	211.31	251.48	265.87	476.71	295.11	187.71	232.94	258.57	176.29	753.83	267.73	115.16	532.74	320.8	236.21	343.89	189.02	507.46	307.69	361.04	406.31	218.79	172.65	336.79	59.13	438.59	80.01	85.82	87.65	239.52	193.01	264.03	211.31	285.03	269.6	285.03	172.65	205.5	267.73	150.17	162.14
PPP6C	909.17	1923.14	1857.6	2417.67	1745.2	1806.78	2271.4	2303.12	2520.38	2255.7	1397.83	674.59	1037.29	921.88	1008.9	890.44	947.83	791.35	825.0	1487.87	1059.11	1359.57	1088.92	860.08	1295.13	1096.5	1295.13	967.76	909.17	341.51	483.38	483.38	543.96	521.76	624.99	463.65	579.04	551.56	1437.15	1605.83	1572.76	674.59	1191.69	1721.16	1277.29	1127.35	995.0	995.0	1322.37	1529.73	1268.46	753.83	1583.71	1350.18	842.36	1167.14	1135.2	1457.23	1331.57	808.0	1151.06	1286.18	1322.37	1709.26	1081.39	1540.37	1950.0	1183.45	890.44	928.3	1051.79	1088.92	785.88	669.92	1225.22	698.41	1331.57	1023.0	934.76	1037.29	1135.2
PRPF39	161.02	878.17	612.11	483.38	785.88	1044.52	718.08	1119.56	738.29	316.37	384.34	532.74	507.46	281.09	486.75	629.35	400.71	463.65	476.71	612.11	743.43	713.11	921.88	848.22	323.03	738.29	503.95	470.14	33.06	182.55	120.1	156.59	175.07	123.5	27.64	112.77	82.29	30.34	228.13	175.07	218.79	220.32	323.03	395.18	511.0	420.68	190.34	309.83	941.27	796.86	341.51	162.14	583.07	397.93	587.13	633.73	435.55	511.0	493.56	406.31	454.09	384.34	205.5	536.45	406.31	624.99	473.41	182.55	125.24	189.02	303.44	312.0	346.29	460.44	260.38	358.54	158.79	239.52	232.94	189.02	348.71
PSMD5	323.03	896.64	934.76	1037.29	796.86	830.75	713.11	1457.23	1015.93	327.56	409.15	366.09	497.0	470.14	532.74	387.02	444.72	483.38	457.25	583.07	473.41	543.96	595.34	514.56	473.41	620.67	435.55	441.64	224.97	148.09	204.07	267.73	228.13	279.14	246.28	189.02	265.87	197.09	420.68	591.22	486.75	389.72	476.71	723.08	603.67	441.64	450.94	483.38	718.08	708.18	684.02	341.51	603.67	785.88	595.34	759.08	555.41	775.05	669.92	426.57	392.44	748.61	540.19	708.18	493.56	708.18	981.29	591.22	260.38	343.89	429.54	470.14	341.51	348.71	470.14	260.38	438.59	341.51	384.34	343.89	371.22
QSER1	77.79	371.22	309.83	301.33	395.18	486.75	320.8	429.54	297.17	180.02	139.07	153.34	244.57	204.07	136.19	88.26	71.5	80.57	141.02	209.84	178.77	111.21	44.89	189.02	146.03	101.54	177.53	150.17	12.55	42.41	49.91	39.22	32.59	34.26	14.24	36.01	59.55	20.86	224.97	224.97	236.21	76.17	199.85	320.8	241.19	158.79	144.01	150.17	244.57	368.65	289.02	88.88	262.2	195.72	289.02	432.53	299.25	361.04	217.27	295.11	343.89	384.34	81.14	223.41	121.79	447.82	193.01	161.02	43.63	64.34	83.45	143.01	121.79	94.67	114.36	108.9	119.26	84.04	85.82	57.49	119.26
RABGGTB	961.07	1519.15	2193.99	1819.35	2240.11	2090.03	2032.85	2796.65	2224.63	1662.49	2645.74	1008.9	1081.39	1437.15	728.11	1233.75	4298.64	3280.18	1477.58	1794.29	2178.83	1191.69	1794.29	1167.14	2555.58	1551.09	1199.98	1487.87	1119.56	1963.57	921.88	1073.91	1175.27	988.12	896.64	1104.13	775.05	684.02	928.3	1023.0	708.18	819.3	1259.69	2047.0	1832.01	1757.34	1081.39	1059.11	1963.57	3372.43	1104.13	688.78	3190.46	1628.26	1183.45	1340.84	2061.24	2193.99	2032.85	1583.71	1551.09	2537.92	848.22	2739.08	1745.2	2682.69	1467.37	679.29	791.35	1159.07	1008.9	909.17	802.41	1151.06	1225.22	1159.07	1313.23	995.0	1081.39	1096.5	753.83
RAD50	164.42	1051.79	796.86	759.08	941.27	954.43	616.37	733.19	629.35	226.54	279.14	275.28	339.14	312.0	271.48	301.33	387.02	629.35	409.15	180.02	285.03	325.29	327.56	373.81	157.68	323.03	281.09	215.77	14.45	172.65	151.22	161.02	150.17	146.03	29.91	138.1	134.3	68.07	323.03	389.72	563.18	148.09	267.73	417.77	320.8	363.56	406.31	273.37	291.04	825.0	441.64	246.28	674.59	587.13	343.89	470.14	423.61	493.56	466.88	420.68	521.76	521.76	307.69	389.72	669.92	511.0	312.0	289.02	271.48	256.78	172.65	299.25	356.05	336.79	336.79	265.87	283.05	229.72	341.51	180.02	420.68
RAPGEF6	23.42	358.54	253.23	220.32	253.23	320.8	197.09	336.79	217.27	62.56	87.65	49.21	107.38	77.25	67.59	70.51	56.28	87.65	76.71	73.54	100.13	146.03	114.36	116.78	50.27	94.01	112.77	74.58	11.04	43.94	21.94	30.12	53.57	24.63	14.14	21.47	24.81	12.74	75.11	90.77	85.82	39.5	123.5	120.1	127.89	83.45	109.66	97.36	90.14	142.01	108.9	62.12	164.42	123.5	95.34	173.85	101.54	151.22	148.09	161.02	150.17	87.65	43.02	123.5	99.43	208.38	90.77	59.13	36.53	65.26	82.29	95.34	62.12	99.43	68.07	92.05	43.32	66.18	63.45	39.22	54.33
RARS	995.0	2090.03	1427.22	2104.58	1467.37	1477.58	1529.73	1519.15	2075.59	1519.15	1583.71	896.64	753.83	1259.69	872.1	967.76	1551.09	1199.98	1225.22	764.36	1447.15	1037.29	1167.14	1066.48	759.08	1617.0	981.29	728.11	447.82	981.29	934.76	521.76	583.07	483.38	450.94	500.46	599.49	287.01	848.22	1313.23	1008.9	454.09	1417.35	1340.84	1023.0	884.29	974.5	915.51	693.58	1794.29	1183.45	738.29	1697.45	1340.84	1331.57	1111.82	1529.73	1551.09	928.3	1030.12	1268.46	1111.82	1096.5	2032.85	1023.0	1388.16	1369.04	1030.12	1001.93	1662.49	878.17	878.17	791.35	1051.79	1447.15	753.83	1175.27	1081.39	1037.29	764.36	902.89
RASA1	158.79	947.83	764.36	2119.22	954.43	995.0	941.27	2255.7	748.61	211.31	195.72	414.87	480.04	176.29	183.82	215.77	476.71	642.59	441.64	291.04	438.59	363.56	323.03	395.18	237.86	320.8	743.43	332.14	115.16	104.42	85.22	85.22	88.88	96.68	75.64	109.66	109.66	52.82	441.64	703.28	493.56	126.12	332.14	447.82	279.14	221.86	185.11	420.68	271.48	483.38	381.68	195.72	371.22	334.46	273.37	624.99	295.11	329.84	387.02	305.55	693.58	395.18	154.42	438.59	177.53	356.05	269.6	167.9	151.22	325.29	175.07	249.73	249.73	287.01	244.57	231.32	232.94	218.79	234.57	158.79	229.72
RBM18	366.09	679.29	607.87	866.07	674.59	753.83	708.18	764.36	1143.1	182.55	256.78	183.82	336.79	371.22	285.03	339.14	339.14	329.84	301.33	387.02	273.37	329.84	376.41	229.72	279.14	305.55	316.37	291.04	108.14	125.24	119.26	151.22	101.54	135.24	85.22	151.22	96.01	134.3	291.04	283.05	343.89	287.01	341.51	547.75	426.57	173.85	511.0	563.18	497.0	444.72	480.04	384.34	457.25	426.57	389.72	279.14	493.56	688.78	353.59	316.37	283.05	381.68	267.73	476.71	316.37	500.46	525.39	454.09	234.57	251.48	281.09	299.25	221.86	253.23	356.05	291.04	239.52	341.51	316.37	206.94	348.71
RIF1	83.45	473.41	432.53	371.22	525.39	684.02	460.44	764.36	237.86	55.49	86.43	95.34	190.34	147.06	178.77	193.01	109.66	166.73	152.28	201.25	198.47	221.86	236.21	239.52	159.9	197.09	189.02	170.25	8.51	52.45	45.53	52.82	50.63	45.21	14.03	45.53	36.53	21.16	137.14	187.71	165.57	137.14	187.71	351.14	265.87	212.78	167.9	172.65	323.03	409.15	231.32	90.77	285.03	217.27	346.29	334.46	287.01	420.68	267.73	297.17	264.03	190.34	94.01	316.37	185.11	389.72	208.38	178.77	60.39	73.03	125.24	108.9	94.01	119.26	112.77	100.83	107.38	122.64	64.34	66.65	142.01
RIOK2	480.04	872.1	961.07	974.5	808.0	587.13	813.63	563.18	406.31	229.72	426.57	363.56	438.59	547.75	379.04	356.05	780.44	400.71	536.45	285.03	327.56	356.05	314.17	395.18	195.72	441.64	381.68	332.14	146.03	441.64	392.44	343.89	368.65	283.05	193.01	264.03	209.84	112.77	204.07	204.07	379.04	198.47	389.72	366.09	483.38	329.84	114.36	395.18	395.18	423.61	521.76	201.25	417.77	674.59	220.32	447.82	435.55	466.88	353.59	314.17	500.46	387.02	301.33	738.29	511.0	429.54	361.04	158.79	186.4	169.07	273.37	303.44	256.78	379.04	414.87	392.44	293.07	239.52	255.0	239.52	256.78
RLIM	137.14	629.35	438.59	438.59	603.67	591.22	616.37	551.56	521.76	309.83	206.94	205.5	289.02	253.23	156.59	173.85	229.72	218.79	205.5	260.38	224.97	164.42	351.14	269.6	177.53	224.97	264.03	232.94	59.97	81.71	143.01	80.01	90.14	84.04	51.35	75.11	59.97	63.0	249.73	229.72	258.57	100.13	271.48	414.87	234.57	189.02	151.22	208.38	429.54	902.89	267.73	147.06	559.28	358.54	571.05	514.56	224.97	307.69	339.14	587.13	297.17	307.69	137.14	403.5	157.68	780.44	387.02	164.42	87.65	197.09	189.02	175.07	128.79	158.79	190.34	218.79	150.17	170.25	134.3	130.6	126.12
RNF219	100.13	262.2	348.71	248.0	251.48	297.17	289.02	708.18	353.59	36.01	180.02	136.19	149.12	125.24	45.53	137.14	125.24	175.07	175.07	218.79	176.29	157.68	253.23	251.48	181.28	285.03	159.9	159.9	21.32	60.39	44.25	43.94	43.63	25.54	11.3	28.65	40.07	4.94	93.35	135.24	157.68	69.03	154.42	376.41	301.33	132.44	85.22	97.36	234.57	417.77	176.29	80.57	287.01	147.06	232.94	228.13	130.6	395.18	262.2	152.28	156.59	137.14	60.82	186.4	129.69	228.13	167.9	113.56	42.71	100.13	63.45	74.06	88.26	124.37	64.34	97.36	70.51	94.67	78.34	48.52	68.07
RPAP2	232.94	392.44	466.88	511.0	438.59	665.29	490.14	633.73	651.58	246.28	316.37	277.2	209.84	246.28	176.29	186.4	353.59	277.2	289.02	309.83	237.86	191.67	260.38	181.28	226.54	249.73	248.0	212.78	21.78	152.28	112.77	111.21	110.43	91.41	26.47	101.54	105.89	113.56	334.46	190.34	297.17	149.12	301.33	237.86	271.48	202.66	141.02	170.25	371.22	426.57	264.03	120.94	343.89	343.89	172.65	293.07	305.55	351.14	244.57	348.71	305.55	255.0	150.17	403.5	181.28	373.81	327.56	191.67	111.99	212.78	115.16	142.01	120.94	237.86	180.02	212.78	159.9	171.45	149.12	131.51	191.67
RRM2B	102.25	660.68	507.46	620.67	718.08	376.41	575.03	1104.13	775.05	139.07	128.79	307.69	785.88	127.0	94.01	144.01	107.38	155.5	283.05	165.57	249.73	336.79	202.66	234.57	154.42	180.02	148.09	177.53	218.79	218.79	214.27	109.66	165.57	113.56	149.12	167.9	84.04	175.07	220.32	199.85	241.19	198.47	426.57	256.78	162.14	244.57	155.5	305.55	312.0	348.71	262.2	157.68	343.89	180.02	343.89	486.75	229.72	366.09	301.33	318.57	497.0	208.38	89.51	299.25	199.85	409.15	239.52	182.55	87.65	76.71	181.28	147.06	90.14	137.14	142.01	169.07	117.6	92.05	108.14	65.72	85.22
RSL1D1	2875.3	4210.15	4123.49	4903.87	4869.99	9606.86	5517.27	12160.22	6164.49	1991.0	3901.01	4239.45	5147.73	1781.89	1651.0	1617.0	3820.7	3515.68	2739.08	1369.04	1350.18	1388.16	2537.92	2004.85	1733.13	3303.0	2018.8	1572.76	555.41	1709.26	1259.69	1183.45	1259.69	1268.46	551.56	1073.91	1104.13	1051.79	2287.2	3081.75	3190.46	2018.8	3419.52	5517.27	5751.61	1183.45	2451.44	1662.49	1437.15	5403.7	2417.67	1896.65	4836.35	4210.15	3235.01	2319.15	1883.54	3540.14	2271.4	3794.3	2384.37	2178.83	2739.08	3742.05	2895.31	4123.49	3742.05	3280.18	1487.87	1857.6	2664.15	3820.7	2384.37	2004.85	2319.15	1561.89	2645.74	1832.01	2451.44	1883.54	2627.46
SAAL1	111.99	435.55	379.04	476.71	356.05	444.72	395.18	543.96	232.94	177.53	312.0	206.94	273.37	417.77	269.6	406.31	379.04	389.72	381.68	432.53	460.44	497.0	175.07	497.0	460.44	441.64	432.53	185.11	148.09	169.07	145.02	120.1	159.9	91.41	125.24	115.16	97.36	77.79	309.83	289.02	237.86	82.87	293.07	536.45	543.96	293.07	147.06	209.84	363.56	426.57	356.05	221.86	297.17	381.68	361.04	314.17	316.37	525.39	309.83	346.29	351.14	275.28	165.57	567.1	244.57	435.55	532.74	208.38	167.9	275.28	126.12	190.34	255.0	264.03	202.66	264.03	134.3	183.82	139.07	209.84	234.57
SENP6	591.22	1519.15	1617.0	1417.35	1991.0	2209.26	1950.0	2555.58	2287.2	356.05	769.69	860.08	1059.11	500.46	575.03	679.29	836.53	1008.9	638.15	591.22	1407.55	1277.29	1259.69	1015.93	941.27	1350.18	698.41	612.11	53.19	417.77	171.45	376.41	379.04	323.03	83.45	384.34	395.18	215.77	612.11	974.5	791.35	297.17	872.1	1135.2	819.3	796.86	483.38	708.18	1295.13	1487.87	796.86	412.0	1167.14	665.29	1151.06	1322.37	525.39	1175.27	796.86	1417.35	1143.1	486.75	329.84	1199.98	830.75	1313.23	1001.93	518.15	341.51	507.46	638.15	579.04	642.59	813.63	647.07	486.75	575.03	473.41	460.44	414.87	532.74
SKIV2L2	343.89	825.0	934.76	1295.13	1096.5	1295.13	1066.48	1583.71	1225.22	438.59	571.05	444.72	688.78	587.13	457.25	536.45	743.43	884.29	575.03	406.31	612.11	607.87	476.71	571.05	358.54	368.65	543.96	429.54	139.07	444.72	299.25	327.56	314.17	285.03	177.53	334.46	285.03	206.94	660.68	379.04	967.76	228.13	551.56	1208.34	642.59	733.19	532.74	532.74	748.61	854.13	587.13	521.76	1096.5	785.88	866.07	583.07	633.73	1073.91	503.95	642.59	769.69	603.67	223.41	902.89	346.29	1015.93	525.39	361.04	361.04	591.22	363.56	551.56	500.46	819.3	493.56	896.64	497.0	532.74	529.06	297.17	307.69
SLC25A14	246.28	486.75	285.03	371.22	389.72	346.29	325.29	320.8	316.37	134.3	314.17	432.53	525.39	314.17	358.54	366.09	289.02	384.34	267.73	361.04	297.17	341.51	291.04	384.34	229.72	334.46	275.28	214.27	154.42	136.19	277.2	79.45	102.97	127.0	57.49	90.77	70.01	25.72	279.14	208.38	249.73	120.1	249.73	312.0	334.46	366.09	209.84	186.4	273.37	961.07	208.38	151.22	395.18	190.34	395.18	232.94	182.55	262.2	295.11	450.94	275.28	339.14	279.14	381.68	265.87	575.03	358.54	123.5	119.26	224.97	190.34	248.0	265.87	316.37	169.07	199.85	223.41	208.38	198.47	223.41	303.44
SLC30A5	723.08	954.43	995.0	2104.58	1175.27	1250.98	1487.87	1977.24	830.75	483.38	848.22	842.36	1159.07	1350.18	961.07	1066.48	780.44	759.08	713.11	511.0	532.74	503.95	518.15	603.67	457.25	738.29	651.58	379.04	320.8	629.35	432.53	629.35	389.72	351.14	231.32	497.0	412.0	312.0	525.39	387.02	583.07	297.17	825.0	591.22	866.07	872.1	1199.98	981.29	718.08	1088.92	1059.11	358.54	988.12	813.63	1369.04	1030.12	934.76	575.03	480.04	723.08	813.63	1159.07	669.92	866.07	642.59	1151.06	872.1	473.41	466.88	674.59	476.71	693.58	532.74	629.35	775.05	414.87	651.58	579.04	514.56	575.03	403.5
