	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.DK.A1AG.01A.11R.A13Y.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.IG.A8O2.01A.11R.A36D.31	TCGA.VR.A8EZ.01A.11R.A36D.31	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.11ZVC.0726.SM.5FQT9	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	TCGA.ZG.A8QX.01A.11R.A37L.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.V1.A9OY.01A.11R.A41O.07	TCGA.V1.A8MK.01A.11R.A36G.07	GTEX.NFK9.2226.SM.3MJGP	TCGA.AX.A2IN.01A.12R.A180.07	TCGA.AX.A3FT.01A.11R.A22K.07	TCGA.QF.A5YS.01A.11R.A31O.07	TCGA.A5.A2K7.01A.11R.A180.07	TCGA.AJ.A8CV.01A.11R.A37O.07	TCGA.DI.A1BU.01A.11R.A137.07
MVB12A	1733.13	2004.85	1583.71	1639.59	2451.44	2351.53	1259.69	2193.99	1143.1	2701.35	2609.3	1225.22	1059.11	934.76	708.18	848.22	595.34	403.5	688.78	490.14	981.29	563.18	483.38	665.29	884.29	896.64	500.46	780.44	454.09	660.68	974.5	336.79	638.15	665.29	460.44	743.43	518.15	1757.34	312.0	473.41	511.0	1008.9	490.14	500.46	1081.39	438.59	909.17	563.18	480.04	981.29	551.56	392.44	579.04	412.0	595.34	503.95	995.0	988.12	490.14	1175.27	1104.13	954.43	1044.52	2148.82	2075.59	2895.31	2502.97	1896.65	1437.15
NAA10	3303.0	2956.17	2816.11	2335.28	3443.31	5441.3	2485.67	2271.4	3303.0	5954.47	5633.22	3564.78	1909.85	2104.58	1322.37	2224.63	1044.52	1233.75	1286.18	1183.45	2047.0	1340.84	1216.75	1340.84	1651.0	1806.78	934.76	1369.04	1081.39	1037.29	1242.34	974.5	995.0	1417.35	728.11	1183.45	1304.15	1685.71	1662.49	1044.52	1259.69	1819.35	1447.15	1350.18	2485.67	1427.22	2090.03	1151.06	1135.2	1407.55	2319.15	1277.29	1167.14	1001.93	1467.37	1250.98	2627.46	2209.26	2367.9	2701.35	2875.3	2627.46	2720.15	3768.09	3768.09	4607.24	7966.99	3443.31	4388.98
NAT10	1295.13	842.36	532.74	503.95	708.18	848.22	860.08	500.46	1225.22	1081.39	1119.56	454.09	392.44	470.14	371.22	343.89	371.22	279.14	309.83	366.09	563.18	343.89	368.65	389.72	389.72	514.56	253.23	299.25	320.8	271.48	231.32	249.73	255.0	258.57	264.03	242.88	414.87	258.57	503.95	262.2	320.8	336.79	336.79	226.54	525.39	329.84	483.38	395.18	269.6	332.14	463.65	305.55	334.46	180.02	246.28	255.0	521.76	571.05	624.99	620.67	381.68	540.19	353.59	656.11	902.89	656.11	764.36	642.59	825.0
NEDD8	7180.15	7032.37	7433.4	5791.62	5517.27	10440.2	6426.31	4836.35	5872.48	6607.01	8778.97	5995.9	4419.52	4903.87	3372.43	3716.2	3103.19	3124.78	3235.01	3467.27	3982.99	3168.41	2895.31	3515.68	4481.23	3372.43	3235.01	4481.23	2956.17	3257.52	3491.39	3349.13	2997.45	4543.8	2627.46	3665.02	4328.55	4575.41	2627.46	3564.78	4038.61	3716.2	3768.09	3901.01	4181.07	3820.7	2816.11	3928.15	3419.52	4736.79	3018.3	3280.18	4607.24	4066.71	3847.29	3146.52	5555.65	5366.37	3955.48	6337.83	5366.37	5366.37	6037.61	8134.41	5555.65	6037.61	7081.29	6250.56	6983.79
NGDN	1159.07	1044.52	941.27	1135.2	718.08	1030.12	780.44	612.11	759.08	1369.04	1909.85	1044.52	718.08	813.63	555.41	651.58	529.06	660.68	543.96	642.59	808.0	738.29	607.87	656.11	642.59	728.11	426.57	507.46	518.15	511.0	417.77	599.49	567.1	536.45	633.73	511.0	638.15	500.46	599.49	529.06	579.04	551.56	547.75	450.94	872.1	728.11	1191.69	624.99	612.11	728.11	540.19	825.0	536.45	283.05	511.0	629.35	796.86	866.07	728.11	981.29	909.17	884.29	651.58	1111.82	941.27	1216.75	1030.12	988.12	1111.82
NOL11	1417.35	1233.75	753.83	1651.0	1175.27	1242.34	1250.98	1322.37	872.1	974.5	1350.18	738.29	708.18	642.59	486.75	591.22	583.07	444.72	473.41	521.76	693.58	647.07	669.92	638.15	403.5	460.44	406.31	387.02	381.68	511.0	423.61	426.57	620.67	348.71	688.78	318.57	406.31	587.13	395.18	444.72	381.68	575.03	384.34	426.57	599.49	353.59	555.41	753.83	450.94	743.43	366.09	514.56	414.87	301.33	264.03	503.95	684.02	599.49	575.03	884.29	728.11	688.78	612.11	1015.93	1313.23	1151.06	1073.91	1001.93	1119.56
NR1H2	1183.45	1963.57	2119.22	1250.98	1991.0	1605.83	1104.13	2133.97	1832.01	2335.28	1199.98	1250.98	1508.65	902.89	1242.34	1051.79	1059.11	878.17	1159.07	860.08	1331.57	1151.06	1001.93	866.07	1001.93	1277.29	1081.39	1015.93	884.29	890.44	967.76	896.64	921.88	1286.18	884.29	1015.93	1617.0	1388.16	674.59	1081.39	947.83	1051.79	934.76	775.05	813.63	1242.34	1561.89	995.0	941.27	1066.48	819.3	796.86	764.36	1397.83	1167.14	1081.39	1540.37	1388.16	1340.84	1572.76	1617.0	1769.57	1369.04	967.76	1286.18	2193.99	1242.34	1529.73	1183.45
NR2C2AP	1417.35	860.08	785.88	915.51	1037.29	769.69	679.29	1199.98	915.51	1745.2	1936.53	620.67	353.59	356.05	242.88	218.79	122.64	149.12	224.97	148.09	346.29	180.02	167.9	202.66	273.37	299.25	147.06	260.38	113.56	175.07	223.41	83.45	129.69	291.04	131.51	122.64	98.73	145.02	205.5	119.26	158.79	226.54	255.0	201.25	316.37	241.19	251.48	211.31	94.01	348.71	198.47	169.07	157.68	72.52	103.69	151.22	567.1	536.45	486.75	651.58	669.92	551.56	397.93	1030.12	947.83	1059.11	1023.0	476.71	878.17
NSFL1C	1963.57	2133.97	1923.14	3018.3	2032.85	2104.58	2090.03	3257.52	1769.57	2502.97	2502.97	1909.85	1651.0	1651.0	1745.2	2061.24	1407.55	1183.45	1331.57	1259.69	1639.59	1242.34	1286.18	1111.82	1369.04	1540.37	1769.57	1175.27	1437.15	1051.79	1745.2	1639.59	1397.83	1350.18	1857.6	1583.71	1923.14	1857.6	1277.29	1487.87	1508.65	1225.22	1572.76	1350.18	1191.69	1639.59	1991.0	1304.15	1359.57	1857.6	1639.59	1175.27	1417.35	1066.48	1259.69	1508.65	1806.78	1794.29	1572.76	1769.57	1883.54	1857.6	1794.29	1781.89	1540.37	1950.0	2609.3	2645.74	1794.29
NSUN5	791.35	708.18	884.29	728.11	947.83	1051.79	438.59	780.44	738.29	1250.98	1233.75	728.11	438.59	813.63	358.54	373.81	224.97	239.52	339.14	256.78	642.59	368.65	293.07	253.23	343.89	525.39	204.07	258.57	232.94	255.0	307.69	183.82	269.6	293.07	167.9	267.73	218.79	320.8	299.25	221.86	241.19	358.54	262.2	234.57	406.31	351.14	476.71	248.0	277.2	297.17	336.79	307.69	249.73	119.26	265.87	329.84	785.88	665.29	718.08	796.86	684.02	624.99	417.77	660.68	830.75	1037.29	1268.46	718.08	1331.57
NUDT2	348.71	486.75	1159.07	348.71	612.11	902.89	438.59	836.53	384.34	389.72	743.43	866.07	708.18	748.61	555.41	231.32	595.34	320.8	351.14	343.89	476.71	148.09	289.02	607.87	441.64	567.1	265.87	660.68	275.28	314.17	500.46	279.14	397.93	454.09	134.3	379.04	164.42	866.07	332.14	603.67	221.86	693.58	303.44	287.01	525.39	256.78	231.32	249.73	351.14	285.03	285.03	603.67	361.04	379.04	547.75	329.84	1073.91	665.29	896.64	961.07	1806.78	1304.15	1096.5	967.76	511.0	1135.2	967.76	785.88	775.05
ORM1	1.64	3.29	6.46	258.57	1.6	0.91	0.0	12.18	0.0	0.0	2.68	459592.86	875652.15	938500.81	746611.43	636586.81	1864037.21	469249.9	839981.65	1578364.61	1524599.69	1155430.26	1916442.45	1890058.21	2156109.97	4136558.78	3676749.88	3070409.25	2691538.19	1656835.72	3156730.23	3576208.94	2767207.65	2748093.15	3313672.43	3780117.42	4165330.83	1956711.0	3313672.43	2617937.91	2654482.97	1374046.07	5572911.22	8505707.6	2825352.59	4051429.61	2965819.8	4282434.24	3028138.0	1514068.5	6183532.28	440870.9	4433454.0	4433454.0	3832885.91	3859545.74	12.36	195.72	119.26	277.2	33.3	444.72	3223059.86	0.0	2.61	161.02	115.16	15.56	58.71
ORMDL2	2104.58	1651.0	2209.26	1883.54	3018.3	1208.34	2090.03	2178.83	2090.03	1388.16	2777.33	1991.0	1832.01	1651.0	981.29	954.43	842.36	854.13	954.43	674.59	1159.07	669.92	961.07	1030.12	890.44	1583.71	1417.35	1268.46	1111.82	620.67	1001.93	1304.15	1277.29	1295.13	1605.83	1167.14	1508.65	1051.79	1216.75	1023.0	967.76	1030.12	1250.98	1073.91	1135.2	1277.29	1359.57	1073.91	860.08	1135.2	1397.83	660.68	1628.26	1008.9	1407.55	1304.15	1745.2	1781.89	1639.59	1909.85	1745.2	1844.76	1216.75	1685.71	1769.57	1674.06	1745.2	2193.99	2133.97
OTUB1	3060.45	2777.33	2090.03	2835.7	2537.92	4450.27	2591.27	2997.45	3190.46	4358.66	3955.48	1340.84	1268.46	1359.57	1277.29	1183.45	1015.93	934.76	1037.29	1081.39	1437.15	988.12	878.17	954.43	1359.57	1781.89	1051.79	1242.34	981.29	974.5	1259.69	796.86	1216.75	1286.18	974.5	1175.27	1508.65	1225.22	988.12	1023.0	1111.82	1127.35	1044.52	1216.75	1397.83	1015.93	1295.13	733.19	1044.52	1151.06	1001.93	791.35	1037.29	836.53	1313.23	1104.13	2627.46	2468.49	2061.24	2915.45	2555.58	2303.12	2178.83	2434.5	2032.85	2335.28	3168.41	2796.65	2591.27
PARL	2271.4	1781.89	1819.35	1628.26	2163.77	1605.83	2319.15	2075.59	2193.99	2255.7	2224.63	988.12	1277.29	1044.52	743.43	819.3	728.11	1008.9	854.13	981.29	1259.69	1081.39	780.44	967.76	1044.52	1044.52	921.88	1135.2	915.51	872.1	1369.04	587.13	909.17	1008.9	1119.56	825.0	1111.82	808.0	1199.98	543.96	1096.5	890.44	954.43	890.44	1594.73	1225.22	825.0	1044.52	603.67	1191.69	1119.56	836.53	988.12	884.29	884.29	620.67	1313.23	1143.1	1088.92	1697.45	1437.15	1457.23	1313.23	1529.73	1540.37	1628.26	1674.06	1313.23	1662.49
PDCD2L	376.41	346.29	236.21	265.87	299.25	220.32	312.0	186.4	283.05	271.48	242.88	226.54	172.65	339.14	136.19	123.5	115.97	100.83	108.14	82.29	181.28	127.89	140.04	115.97	113.56	132.44	171.45	154.42	212.78	73.54	126.12	70.51	148.09	109.66	143.01	118.43	193.01	77.79	194.36	185.11	127.0	66.65	156.59	141.02	248.0	163.28	167.9	137.14	114.36	151.22	293.07	70.01	94.67	70.51	96.01	144.01	297.17	208.38	336.79	223.41	289.02	205.5	153.34	283.05	343.89	325.29	316.37	336.79	466.88
PHF5A	1225.22	785.88	909.17	1008.9	679.29	1208.34	796.86	1111.82	679.29	947.83	1519.15	579.04	764.36	629.35	450.94	497.0	384.34	518.15	403.5	463.65	583.07	607.87	532.74	507.46	571.05	713.11	612.11	525.39	432.53	371.22	555.41	575.03	633.73	457.25	616.37	583.07	665.29	346.29	638.15	414.87	567.1	529.06	460.44	511.0	620.67	796.86	748.61	540.19	460.44	723.08	559.28	454.09	432.53	336.79	476.71	521.76	656.11	769.69	642.59	665.29	848.22	674.59	693.58	1806.78	1088.92	1051.79	1388.16	1030.12	1407.55
PIGC	848.22	595.34	836.53	780.44	591.22	599.49	934.76	902.89	890.44	791.35	529.06	693.58	397.93	389.72	366.09	417.77	323.03	273.37	366.09	368.65	470.14	217.27	255.0	384.34	525.39	616.37	255.0	511.0	320.8	271.48	376.41	325.29	389.72	500.46	295.11	540.19	169.07	264.03	221.86	417.77	493.56	376.41	420.68	269.6	258.57	381.68	323.03	277.2	186.4	285.03	366.09	305.55	236.21	314.17	476.71	376.41	603.67	723.08	536.45	638.15	595.34	629.35	748.61	1304.15	1001.93	974.5	713.11	842.36	819.3
PINX1	334.46	273.37	307.69	187.71	260.38	947.83	175.07	151.22	285.03	412.0	435.55	265.87	170.25	426.57	169.07	209.84	190.34	297.17	154.42	138.1	249.73	269.6	228.13	169.07	140.04	463.65	135.24	191.67	162.14	159.9	121.79	105.89	189.02	199.85	205.5	139.07	497.0	154.42	371.22	113.56	236.21	190.34	193.01	155.5	287.01	232.94	279.14	314.17	186.4	248.0	258.57	117.6	111.21	241.19	122.64	131.51	229.72	173.85	166.73	291.04	287.01	228.13	173.85	435.55	624.99	532.74	547.75	429.54	543.96
POC5	169.07	172.65	143.01	177.53	249.73	134.3	193.01	277.2	343.89	244.57	197.09	90.14	81.14	106.63	89.51	126.12	50.27	45.53	100.83	57.08	73.54	38.67	80.57	71.5	71.0	98.04	59.55	59.55	37.59	38.95	54.33	100.83	76.71	52.82	47.84	43.02	55.1	23.08	53.95	43.02	74.58	98.04	47.17	35.5	65.72	98.73	98.04	45.53	38.95	68.07	39.79	67.59	48.18	15.45	71.5	62.12	157.68	177.53	180.02	217.27	178.77	204.07	185.11	237.86	180.02	154.42	199.85	224.97	120.1
POMZP3	297.17	256.78	156.59	202.66	346.29	633.73	239.52	412.0	493.56	368.65	934.76	94.01	63.89	88.26	30.56	132.44	59.55	48.52	57.08	62.56	224.97	81.14	46.18	100.13	119.26	264.03	68.07	115.97	88.26	63.45	132.44	86.43	45.21	124.37	15.91	84.04	27.44	39.79	71.0	69.03	81.71	113.56	58.3	56.68	61.25	41.81	181.28	120.94	43.63	90.14	100.13	105.15	90.77	118.43	36.79	69.52	204.07	269.6	198.47	603.67	312.0	514.56	525.39	629.35	153.34	271.48	599.49	397.93	314.17
POP4	1674.06	1467.37	1832.01	1697.45	1651.0	2047.0	1477.58	1447.15	1304.15	1794.29	1950.0	1963.57	1457.23	1561.89	1519.15	1477.58	1295.13	1081.39	1135.2	1175.27	1594.73	981.29	1051.79	1340.84	1277.29	1757.34	1233.75	1806.78	1594.73	915.51	1540.37	1388.16	1529.73	1583.71	1819.35	1427.22	1088.92	1159.07	1242.34	1208.34	1359.57	1081.39	1498.22	1417.35	1250.98	1745.2	1191.69	1233.75	1242.34	1498.22	1583.71	878.17	1250.98	890.44	1519.15	1331.57	1745.2	1628.26	1397.83	1806.78	1651.0	1605.83	1745.2	1733.13	1437.15	1896.65	1628.26	1883.54	1594.73
PPIH	1417.35	1437.15	974.5	1594.73	1151.06	2367.9	1313.23	2133.97	1437.15	2367.9	2796.65	476.71	521.76	511.0	457.25	503.95	262.2	255.0	312.0	361.04	503.95	258.57	256.78	417.77	466.88	612.11	258.57	480.04	271.48	316.37	426.57	194.36	279.14	738.29	273.37	361.04	246.28	454.09	258.57	251.48	575.03	309.83	334.46	555.41	629.35	435.55	529.06	387.02	305.55	563.18	361.04	293.07	392.44	343.89	346.29	334.46	1167.14	1111.82	884.29	1268.46	1216.75	974.5	1407.55	1639.59	1447.15	1447.15	1832.01	1685.71	2163.77
PPP1R35	1119.56	1096.5	915.51	1015.93	1909.85	1313.23	1159.07	1487.87	1331.57	2133.97	1832.01	1286.18	476.71	866.07	450.94	543.96	242.88	249.73	373.81	246.28	647.07	341.51	384.34	301.33	387.02	312.0	262.2	316.37	267.73	314.17	253.23	189.02	316.37	287.01	141.02	212.78	281.09	450.94	215.77	199.85	218.79	447.82	249.73	242.88	497.0	265.87	420.68	518.15	279.14	403.5	157.68	432.53	303.44	387.02	334.46	361.04	713.11	684.02	669.92	947.83	1151.06	718.08	651.58	2032.85	2032.85	1477.58	1697.45	1135.2	1697.45
PRKD2	1551.09	1769.57	1191.69	2163.77	1794.29	728.11	1963.57	2351.53	2351.53	1397.83	400.71	753.83	638.15	796.86	603.67	551.56	373.81	314.17	441.64	356.05	543.96	497.0	435.55	307.69	656.11	466.88	351.14	327.56	256.78	361.04	397.93	283.05	514.56	312.0	281.09	420.68	368.65	480.04	242.88	384.34	305.55	514.56	186.4	353.59	460.44	289.02	1175.27	339.14	309.83	543.96	366.09	450.94	351.14	234.57	332.14	511.0	723.08	928.3	679.29	1191.69	1081.39	1051.79	1540.37	848.22	1081.39	1651.0	1540.37	1111.82	1322.37
PRPF6	2178.83	1397.83	1551.09	1583.71	1697.45	1639.59	1199.98	1709.26	1508.65	1331.57	1208.34	1259.69	791.35	961.07	753.83	848.22	748.61	638.15	698.41	896.64	1127.35	624.99	624.99	633.73	1277.29	1135.2	872.1	854.13	713.11	616.37	1225.22	785.88	854.13	1159.07	723.08	1066.48	656.11	674.59	808.0	988.12	1208.34	587.13	1001.93	1151.06	780.44	1191.69	902.89	543.96	780.44	836.53	1143.1	718.08	872.1	486.75	785.88	733.19	1447.15	1594.73	1508.65	1883.54	1508.65	1487.87	1529.73	1350.18	1331.57	1909.85	1639.59	1733.13	1857.6
PRR7	231.32	336.79	48.87	98.73	94.67	483.38	73.03	98.73	15.22	226.54	540.19	135.24	55.1	23.59	17.0	25.72	14.56	20.11	12.09	10.63	38.67	23.25	27.05	13.22	24.11	55.89	9.85	17.13	14.56	3.79	8.51	17.38	8.38	39.5	4.86	12.27	22.1	13.83	27.05	1.45	27.84	8.85	30.78	10.0	20.41	18.97	75.11	14.56	2.32	11.21	7.34	10.47	6.62	12.18	12.64	16.15	71.5	52.08	31.0	90.77	105.15	44.89	21.47	397.93	182.55	551.56	191.67	316.37	186.4
PSMC4	2627.46	2240.11	2537.92	2935.74	2451.44	3589.58	2075.59	2591.27	1991.0	2664.15	2664.15	2468.49	2209.26	2104.58	2451.44	2434.5	1457.23	1378.57	1417.35	1151.06	1733.13	1662.49	1594.73	1498.22	1350.18	2645.74	1794.29	1721.16	2119.22	1111.82	1540.37	2004.85	1540.37	1896.65	1991.0	1477.58	2451.44	1721.16	1991.0	1268.46	1963.57	1508.65	1572.76	1769.57	2271.4	2061.24	2451.44	1709.26	1233.75	1617.0	2163.77	1233.75	1583.71	1059.11	1757.34	1487.87	1733.13	1923.14	2032.85	1844.76	2119.22	1819.35	1963.57	2520.38	2664.15	2319.15	2193.99	2997.45	2875.3
PSMC5	4152.18	4181.07	4388.98	5594.3	4575.41	6840.04	4607.24	5672.41	4543.8	3901.01	5791.62	2935.74	3491.39	2875.3	3081.75	3395.89	2591.27	2303.12	2502.97	2758.13	3395.89	2935.74	2537.92	2835.7	2682.69	3443.31	2468.49	3820.7	3665.02	1685.71	2915.45	3349.13	3690.52	3190.46	3901.01	2502.97	2935.74	2895.31	3280.18	2682.69	4181.07	2935.74	3039.3	3614.55	5112.16	3443.31	3124.78	3280.18	2163.77	3146.52	3820.7	2682.69	2758.13	2061.24	3325.99	2796.65	4298.64	4210.15	3955.48	4937.99	4298.64	4704.07	5112.16	5219.6	4736.79	5292.48	5006.93	4607.24	5041.77
PSMD13	2976.74	3589.58	2997.45	1674.06	2104.58	4903.87	3060.45	2119.22	3018.3	3168.41	2075.59	2417.67	2609.3	1883.54	2434.5	2739.08	1651.0	1639.59	1617.0	1923.14	2384.37	1844.76	1870.53	1685.71	1950.0	2796.65	2133.97	1832.01	1617.0	1216.75	1857.6	1685.71	1721.16	2032.85	1977.24	1685.71	2816.11	1819.35	1950.0	1561.89	2047.0	2287.2	1936.53	1561.89	2915.45	2119.22	2485.67	1594.73	1605.83	2018.8	2193.99	2032.85	1896.65	1151.06	1950.0	1639.59	3443.31	4038.61	3515.68	4066.71	3443.31	3665.02	3257.52	3443.31	3874.05	4543.8	4210.15	3716.2	3257.52
PSMG3	2537.92	2193.99	1832.01	2004.85	2895.31	2351.53	1733.13	1991.0	2591.27	2485.67	2351.53	1359.57	825.0	718.08	529.06	624.99	356.05	457.25	389.72	395.18	825.0	660.68	493.56	417.77	514.56	629.35	567.1	493.56	420.68	353.59	429.54	341.51	454.09	480.04	363.56	470.14	620.67	679.29	536.45	237.86	429.54	785.88	329.84	490.14	866.07	466.88	819.3	802.41	312.0	878.17	454.09	518.15	457.25	204.07	332.14	571.05	1081.39	1008.9	1151.06	1233.75	1259.69	1001.93	1199.98	2997.45	2303.12	3443.31	2351.53	2047.0	3716.2
RAB4B	896.64	1286.18	1250.98	1242.34	1583.71	698.41	1059.11	1388.16	1427.22	1304.15	656.11	896.64	1073.91	497.0	688.78	480.04	473.41	417.77	616.37	420.68	665.29	532.74	547.75	587.13	764.36	688.78	409.15	988.12	332.14	543.96	753.83	361.04	884.29	603.67	389.72	389.72	312.0	679.29	450.94	579.04	320.8	718.08	356.05	521.76	353.59	409.15	909.17	860.08	336.79	612.11	253.23	503.95	493.56	679.29	591.22	748.61	954.43	1088.92	764.36	1059.11	854.13	1051.79	1081.39	1225.22	1159.07	1175.27	961.07	1015.93	743.43
RABGGTA	954.43	1037.29	599.49	854.13	1199.98	775.05	813.63	406.31	1397.83	1427.22	1685.71	651.58	607.87	395.18	483.38	447.82	348.71	363.56	490.14	381.68	447.82	435.55	400.71	409.15	497.0	423.61	351.14	483.38	351.14	579.04	503.95	241.19	400.71	389.72	309.83	262.2	400.71	332.14	490.14	387.02	339.14	463.65	403.5	356.05	529.06	295.11	432.53	346.29	358.54	417.77	379.04	387.02	379.04	273.37	493.56	389.72	848.22	785.88	872.1	791.35	866.07	703.28	813.63	718.08	1167.14	902.89	713.11	703.28	529.06
RAD23A	2855.44	3168.41	3325.99	3039.3	3901.01	2502.97	3515.68	4038.61	4328.55	5517.27	5791.62	2739.08	2400.97	2682.69	2303.12	2434.5	2004.85	2061.24	2555.58	1936.53	3018.3	2417.67	2004.85	2047.0	2032.85	2178.83	2271.4	1991.0	1909.85	1639.59	2319.15	1844.76	1651.0	2468.49	3146.52	2104.58	1819.35	3419.52	2104.58	1757.34	1721.16	3018.3	2104.58	2520.38	2682.69	2468.49	1498.22	1936.53	2319.15	3212.66	2502.97	1923.14	1991.0	1757.34	1685.71	2537.92	3081.75	2720.15	2400.97	2777.33	3212.66	2739.08	2502.97	4639.29	4268.94	3257.52	3280.18	2855.44	3742.05
RALY	5479.15	4239.45	3982.99	4210.15	4419.52	6699.25	3639.7	4802.93	3982.99	5112.16	4419.52	1651.0	1498.22	1407.55	1540.37	1225.22	1127.35	1051.79	1104.13	1135.2	1651.0	1119.56	1059.11	1199.98	1857.6	1487.87	1059.11	1322.37	1111.82	743.43	1540.37	1151.06	1268.46	1628.26	1199.98	1508.65	1183.45	1457.23	830.75	1159.07	1242.34	1208.34	1111.82	896.64	1417.35	1295.13	2075.59	1044.52	780.44	2018.8	915.51	860.08	728.11	896.64	1088.92	1191.69	3589.58	3039.3	2915.45	3564.78	3325.99	3372.43	2682.69	4937.99	4038.61	5076.84	4937.99	4450.27	2255.7
RARS	1277.29	1191.69	928.3	961.07	921.88	1407.55	1151.06	1397.83	902.89	669.92	1313.23	836.53	813.63	1183.45	718.08	748.61	674.59	540.19	486.75	638.15	830.75	616.37	575.03	503.95	587.13	860.08	647.07	842.36	813.63	387.02	599.49	525.39	603.67	713.11	934.76	511.0	575.03	441.64	743.43	525.39	866.07	547.75	587.13	444.72	563.18	642.59	896.64	503.95	490.14	511.0	738.29	409.15	447.82	287.01	660.68	543.96	813.63	866.07	830.75	1015.93	915.51	785.88	1001.93	785.88	1030.12	981.29	974.5	1119.56	1397.83
RBM42	1936.53	1617.0	2148.82	2047.0	2520.38	3235.01	1651.0	2271.4	1508.65	2335.28	2193.99	1936.53	1674.06	1388.16	1313.23	1350.18	866.07	819.3	921.88	854.13	1909.85	1199.98	848.22	928.3	1295.13	1437.15	974.5	1023.0	928.3	665.29	1331.57	896.64	974.5	1407.55	769.69	1277.29	679.29	1467.37	872.1	1015.93	1119.56	1242.34	866.07	954.43	1540.37	1378.57	1639.59	1127.35	703.28	1286.18	1081.39	813.63	866.07	830.75	1359.57	836.53	2032.85	1781.89	1286.18	2485.67	1806.78	2061.24	1437.15	2090.03	2104.58	2915.45	2835.7	2193.99	2664.15
RIOK2	607.87	651.58	543.96	567.1	432.53	674.59	629.35	529.06	551.56	366.09	376.41	406.31	353.59	633.73	269.6	303.44	312.0	379.04	329.84	325.29	332.14	426.57	414.87	435.55	307.69	483.38	271.48	229.72	343.89	234.57	209.84	412.0	305.55	305.55	161.02	100.13	332.14	536.45	281.09	246.28	202.66	376.41	146.03	293.07	460.44	267.73	563.18	503.95	251.48	351.14	212.78	336.79	361.04	112.77	175.07	318.57	384.34	447.82	323.03	624.99	417.77	403.5	258.57	480.04	665.29	473.41	547.75	476.71	981.29
RNF25	854.13	775.05	825.0	738.29	769.69	1030.12	854.13	555.41	1051.79	896.64	616.37	426.57	525.39	441.64	356.05	450.94	291.04	363.56	406.31	285.03	432.53	376.41	336.79	341.51	444.72	414.87	346.29	231.32	341.51	348.71	275.28	301.33	262.2	246.28	389.72	234.57	381.68	371.22	256.78	327.56	532.74	323.03	291.04	417.77	429.54	232.94	400.71	444.72	251.48	373.81	305.55	336.79	246.28	132.44	341.51	400.71	620.67	679.29	603.67	775.05	836.53	616.37	1066.48	802.41	934.76	921.88	1088.92	651.58	934.76
