	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.FD.A43Y.01A.21R.A26T.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.GC.A3RC.01A.11R.A22U.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.ZF.AA4W.01A.12R.A38B.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.JX.A3PZ.01A.11R.A32Y.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.VS.A950.01A.11R.A42T.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.Q9.A6FU.01A.11R.A31P.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.V5.A7RC.01B.11R.A406.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.CN.6992.01A.11R.1915.07	TCGA.CN.5360.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.D6.A4Z9.01A.11R.A24Z.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.HD.8634.01A.11R.2403.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.7261.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CR.7388.01A.11R.2016.07	TCGA.BA.6870.01A.11R.1873.07	TCGA.CR.7367.01A.11R.2016.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.T2.A6WX.01A.12R.A34R.07	TCGA.CR.7368.01A.11R.2132.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.A6JZ.01A.11R.A31N.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CV.7446.01A.11R.2232.07	TCGA.CR.7364.01A.11R.2016.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.A4CA.01A.11R.A24Z.07	TCGA.UF.A7J9.01A.12R.A34R.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.XC.AA0X.01A.32R.A405.07	TCGA.77.7338.01A.11R.2045.07	TCGA.56.7582.01A.11R.2045.07
USP34	603.67	854.13	713.11	647.07	796.86	791.35	748.61	728.11	848.22	669.92	669.92	890.44	961.07	738.29	988.12	1233.75	1331.57	1697.45	1745.2	1159.07	1757.34	1119.56	748.61	703.28	1096.5	848.22	848.22	698.41	638.15	665.29	769.69	1088.92	547.75	1250.98	1051.79	633.73	860.08	878.17	748.61	825.0	1127.35	620.67	1119.56	629.35	941.27	1225.22	878.17	764.36	679.29	1119.56	872.1	1135.2	603.67	698.41	1096.5	307.69	595.34	878.17	981.29	665.29	703.28	759.08	1073.91	638.15	961.07	728.11	1572.76	1096.5	713.11	1030.12	842.36	1127.35	633.73	796.86	607.87	435.55	961.07	988.12	733.19	802.41	854.13	1104.13	723.08	438.59	438.59	1350.18	1191.69	1628.26
USP46	64.8	85.22	98.04	114.36	72.52	115.16	25.54	74.06	703.28	92.7	74.06	103.69	54.72	44.25	226.54	102.97	551.56	312.0	351.14	209.84	267.73	571.05	131.51	234.57	150.17	139.07	220.32	265.87	115.16	143.01	114.36	218.79	113.56	223.41	152.28	100.13	76.17	237.86	186.4	329.84	381.68	161.02	226.54	81.71	135.24	182.55	185.11	197.09	70.01	295.11	103.69	239.52	104.42	106.63	226.54	147.06	115.97	244.57	223.41	140.04	182.55	129.69	249.73	117.6	57.08	264.03	612.11	587.13	115.16	277.2	158.79	226.54	169.07	177.53	136.19	85.22	193.01	175.07	154.42	177.53	185.11	299.25	204.07	38.67	34.51	239.52	409.15	237.86
USP53	63.0	220.32	15.45	81.71	85.82	153.34	42.71	336.79	532.74	57.89	127.89	94.01	108.14	34.02	197.09	105.89	497.0	438.59	309.83	591.22	363.56	299.25	220.32	301.33	279.14	395.18	157.68	400.71	178.77	483.38	120.94	334.46	205.5	400.71	521.76	264.03	127.89	275.28	128.79	289.02	248.0	209.84	173.85	171.45	262.2	642.59	409.15	244.57	145.02	414.87	181.28	444.72	139.07	90.77	447.82	256.78	183.82	246.28	748.61	258.57	130.6	444.72	236.21	143.01	212.78	220.32	848.22	307.69	301.33	435.55	76.17	236.21	389.72	536.45	256.78	76.17	409.15	199.85	265.87	281.09	94.01	441.64	97.36	18.29	12.83	387.02	974.5	341.51
WDFY3	78.34	107.38	102.25	137.14	106.63	190.34	65.72	80.57	251.48	78.89	94.01	173.85	157.68	58.3	178.77	169.07	346.29	334.46	423.61	316.37	423.61	325.29	156.59	269.6	191.67	205.5	366.09	275.28	154.42	118.43	110.43	279.14	145.02	295.11	197.09	201.25	113.56	215.77	309.83	368.65	205.5	186.4	323.03	122.64	183.82	336.79	228.13	334.46	126.12	363.56	162.14	397.93	102.97	132.44	409.15	145.02	134.3	234.57	373.81	208.38	172.65	307.69	249.73	111.21	98.04	285.03	723.08	579.04	98.04	265.87	107.38	301.33	293.07	251.48	244.57	119.26	267.73	332.14	155.5	187.71	142.01	351.14	177.53	28.86	82.29	279.14	371.22	244.57
ZBED6	6.41	3.29	6.73	10.63	5.54	32.36	0.72	1.89	54.72	2.63	16.03	35.25	46.5	4.74	53.57	22.59	126.12	289.02	153.34	166.73	175.07	214.27	10.55	95.34	42.11	76.17	103.69	90.14	25.17	143.01	17.0	78.34	35.76	56.28	72.52	96.01	32.36	307.69	107.38	157.68	102.25	40.93	81.71	28.65	16.15	115.16	52.45	128.79	14.03	178.77	9.56	275.28	9.63	3.79	212.78	76.17	32.13	54.72	258.57	215.77	82.29	115.16	36.53	25.91	9.2	100.83	379.04	193.01	14.56	149.12	10.55	81.71	116.78	120.94	11.73	15.91	95.34	127.89	52.45	88.88	23.08	144.01	12.09	1.0	2.12	187.71	164.42	149.12
ZBTB7C	0.0	45.53	46.5	57.89	4.17	92.7	23.93	51.35	14262.1	6.26	15.45	14.67	110.43	3.92	131.51	25.91	223.41	343.89	607.87	457.25	2163.77	1685.71	148.09	285.03	420.68	144.01	103.69	194.36	46.84	10.0	356.05	808.0	53.57	136.19	41.52	23.93	497.0	125.24	91.41	236.21	1073.91	133.36	237.86	21.47	166.73	295.11	454.09	25.17	6.26	503.95	113.56	279.14	50.27	20.26	738.29	1.91	53.19	138.1	92.05	718.08	33.78	279.14	1073.91	6.78	20.71	395.18	283.05	543.96	105.89	1088.92	24.46	934.76	208.38	116.78	131.51	18.84	217.27	19.11	115.97	67.59	348.71	389.72	536.45	2.53	0.56	346.29	447.82	642.59
ZNF217	106.63	205.5	81.14	258.57	267.73	249.73	150.17	146.03	1883.54	141.02	134.3	204.07	161.02	125.24	289.02	182.55	536.45	454.09	444.72	947.83	848.22	518.15	262.2	256.78	476.71	171.45	323.03	346.29	142.01	301.33	251.48	397.93	389.72	291.04	187.71	242.88	277.2	346.29	305.55	420.68	450.94	244.57	591.22	147.06	318.57	371.22	327.56	301.33	109.66	612.11	204.07	460.44	251.48	156.59	334.46	153.34	248.0	353.59	521.76	575.03	348.71	236.21	318.57	251.48	231.32	563.18	1044.52	848.22	152.28	1030.12	162.14	612.11	251.48	500.46	267.73	147.06	426.57	466.88	249.73	384.34	291.04	483.38	277.2	98.73	92.05	703.28	928.3	1088.92
ZNF292	30.12	23.59	26.86	87.03	66.65	127.0	39.22	63.89	193.01	44.57	56.68	79.45	79.45	39.22	158.79	127.0	208.38	229.72	150.17	218.79	189.02	279.14	73.54	102.25	98.04	104.42	98.04	73.54	80.57	99.43	49.21	112.77	84.04	109.66	82.87	105.15	70.01	140.04	81.71	111.21	190.34	78.89	101.54	46.5	69.03	69.52	111.99	88.88	46.5	223.41	59.55	175.07	61.25	47.84	186.4	109.66	46.84	62.56	128.79	146.03	124.37	80.57	80.57	56.68	85.22	95.34	295.11	201.25	72.01	171.45	45.53	190.34	70.01	120.1	53.57	82.87	98.04	113.56	60.82	155.5	133.36	142.01	53.57	15.22	51.71	142.01	182.55	351.14
ZNF322	109.66	40.36	49.21	118.43	75.11	166.73	100.83	71.0	72.01	74.58	60.82	116.78	101.54	77.79	166.73	119.26	348.71	262.2	212.78	194.36	301.33	432.53	81.14	93.35	109.66	116.78	127.0	115.97	94.01	111.21	79.45	77.25	74.58	71.5	59.97	115.16	88.88	161.02	114.36	162.14	285.03	56.68	147.06	77.79	102.25	83.45	94.67	180.02	52.45	215.77	97.36	136.19	94.01	43.94	199.85	96.68	51.35	84.04	169.07	217.27	135.24	92.7	87.65	98.04	66.65	143.01	536.45	265.87	102.25	146.03	77.25	361.04	144.01	110.43	43.32	107.38	77.25	137.14	111.99	108.14	87.03	194.36	52.08	44.57	30.12	363.56	175.07	277.2
ZNF37A	90.77	47.84	53.95	102.25	62.12	79.45	63.0	29.06	102.25	46.18	42.11	79.45	67.12	18.03	96.01	106.63	153.34	229.72	149.12	199.85	198.47	108.14	71.5	54.72	56.28	100.13	71.0	58.3	92.7	68.07	66.18	62.12	53.95	40.64	54.72	48.87	64.8	87.03	68.55	67.59	139.07	51.35	86.43	81.71	92.7	47.17	72.52	62.12	39.22	137.14	62.12	86.43	74.58	58.3	116.78	55.89	47.17	54.33	136.19	57.08	44.57	64.8	71.0	84.04	99.43	51.35	228.13	104.42	52.82	61.25	33.78	133.36	69.03	73.54	46.18	57.08	50.98	66.65	62.56	71.0	46.84	103.69	44.57	36.79	51.35	176.29	112.77	89.51
