	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.YF7O.0626.SM.4W21R	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.13N1W.0726.SM.5MR57	GTEX.13PL7.1726.SM.5J2NX	GTEX.Y3IK.0626.SM.4WWE4	GTEX.XPVG.1026.SM.4B64Y	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OXRL.0526.SM.2I3EZ	GTEX.OXRK.0926.SM.2HMKP	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.HC.7077.01A.11R.1965.07
TMEM237	0.0	0.58	299.25	253.23	551.56	336.79	236.21	269.6	249.73	305.55	339.14	178.77	217.27	237.86	332.14	164.42	277.2	289.02	457.25	381.68	312.0	151.22	379.04	708.18	145.02	281.09	285.03	316.37	221.86	381.68	260.38	144.01	460.44	197.09	262.2	376.41	154.42	264.03	400.71	154.42	127.0	165.57	187.71	234.57	198.47	171.45	214.27	86.43	190.34	144.01	164.42	205.5	242.88	205.5	152.28	121.79	131.51	136.19	283.05	204.07	159.9	211.31	193.01	199.85
TMEM40	0.0	0.64	607.87	0.31	4.78	26.28	5.87	12.64	87.03	38.67	4.28	136.19	941.27	31.45	193.01	96.01	19.68	166.73	5.06	63.89	1.0	26.86	90.14	62.56	3.17	37.05	318.57	155.5	22.1	16.03	63.45	50.27	25.17	38.12	713.11	53.19	29.7	172.65	152.28	2.76	0.0	13.03	12.45	18.7	7.11	9.85	8.06	8.71	1.68	0.0	1.01	36.27	0.0	5.92	0.0	0.35	16.88	0.0	15.34	0.36	3.14	9.48	8.99	2.92
TNS1	0.0	0.64	5711.87	967.76	7433.4	21468.49	3491.39	5183.54	2537.92	4010.71	3212.66	1277.29	7911.95	3467.27	4181.07	6337.83	5403.7	3982.99	4769.75	5041.77	5219.6	4066.71	6745.86	5219.6	3146.52	6250.56	2271.4	7589.61	2384.37	4512.4	5672.41	4802.93	429.54	5954.47	8078.22	10154.69	3257.52	3716.2	7433.4	46.18	83.45	153.34	208.38	460.44	60.39	307.69	111.99	447.82	343.89	191.67	368.65	575.03	1639.59	638.15	27.05	91.41	348.71	80.01	242.88	267.73	165.57	148.09	85.22	303.44
TPRG1	0.0	0.36	583.07	267.73	518.15	543.96	30.56	1167.14	753.83	414.87	221.86	620.67	409.15	381.68	764.36	497.0	283.05	493.56	400.71	116.78	423.61	476.71	152.28	55.1	182.55	1037.29	128.79	379.04	224.97	414.87	175.07	470.14	532.74	301.33	158.79	1467.37	358.54	285.03	679.29	12.55	5.82	10.63	10.79	18.56	9.06	9.06	7.69	27.64	9.06	13.93	3.79	15.11	25.35	20.86	5.36	3.66	8.51	2.16	15.34	14.56	6.31	25.35	13.12	12.0
TREH	0.0	0.16	19.39	6.89	8.85	4.9	9.85	15.8	21.16	21.78	11.82	31.9	7.17	5.73	23.59	8.71	13.03	9.93	36.79	11.21	8.78	4.13	8.58	33.3	7.75	55.89	6.26	9.7	9.48	7.94	30.12	11.3	14.67	8.78	2.66	0.99	2.84	11.55	3.5	0.0	0.0	3.2	2.63	3.17	2.84	5.11	1.77	1.03	0.57	0.61	0.0	2.18	1.45	2.46	1.6	0.93	2.01	1.46	2.94	0.0	0.0	3.56	1.91	0.87
TUBA4A	0.0	0.87	2240.11	660.68	988.12	1127.35	1936.53	1051.79	796.86	974.5	1111.82	2178.83	3349.13	842.36	1059.11	1963.57	1159.07	836.53	1059.11	902.89	612.11	1674.06	1529.73	1175.27	1551.09	941.27	1674.06	785.88	1233.75	995.0	2351.53	1304.15	909.17	2573.36	1685.71	1605.83	733.19	1721.16	825.0	320.8	299.25	150.17	161.02	896.64	743.43	1250.98	275.28	189.02	579.04	224.97	356.05	665.29	387.02	441.64	35.76	78.34	379.04	178.77	116.78	341.51	638.15	186.4	212.78	244.57
UNC5B	0.0	0.46	525.39	147.06	283.05	2090.03	363.56	115.16	232.94	514.56	178.77	212.78	896.64	356.05	563.18	1008.9	1119.56	307.69	117.6	265.87	173.85	177.53	336.79	149.12	130.6	1001.93	444.72	723.08	287.01	248.0	486.75	363.56	159.9	309.83	954.43	277.2	236.21	417.77	703.28	17.25	14.89	46.5	57.89	107.38	51.71	71.5	26.28	98.73	38.4	23.76	25.72	102.97	78.89	80.57	20.11	9.78	125.24	30.34	88.88	40.07	30.12	71.0	24.28	46.84
UPK3B	0.0	0.0	4388.98	8022.41	6516.03	15715.58	688.78	1331.57	13872.08	9540.5	540.19	7966.99	11424.74	4066.71	1359.57	8598.28	6037.61	9740.98	5183.54	2193.99	7433.4	6121.9	7537.18	2502.97	12244.81	3190.46	2451.44	4937.99	7803.01	2664.15	5791.62	1322.37	414.87	7280.4	7966.99	11827.67	351.14	2875.3	15075.35	2.23	29.06	43.94	1.3	23.25	4.03	17.25	10.39	31.45	3.0	10.24	9.93	11.64	2.78	35.5	4.17	7.34	8.99	7.88	30.78	27.84	7.28	13.12	1.62	6.78
VWA7	0.0	0.0	151.22	133.36	82.87	205.5	39.79	224.97	106.63	307.69	135.24	104.42	193.01	108.9	166.73	52.82	105.15	125.24	88.88	111.21	117.6	511.0	642.59	551.56	116.78	358.54	336.79	60.39	37.32	127.89	329.84	201.25	63.89	293.07	95.34	158.79	158.79	194.36	138.1	2.53	11.38	3.56	20.26	13.52	13.52	25.72	30.78	7.0	4.74	5.32	5.77	25.72	12.83	18.29	2.73	9.85	22.26	3.26	3.03	24.46	4.54	11.13	27.05	4.54
VWC2	0.0	0.0	3.14	5.73	0.0	0.92	1.36	2.46	0.84	0.89	2.61	1.33	3.5	1.89	0.88	0.85	0.39	0.88	2.43	0.85	5.23	2.56	0.39	2.34	2.43	1.95	0.89	2.94	2.78	4.06	0.41	5.19	0.91	2.39	1.97	0.45	7.88	1.41	1.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0
VWCE	0.0	0.26	14.14	5.23	8.32	4.9	50.27	22.75	16.39	10.0	35.0	6.31	6.67	3.41	6.52	6.36	3.26	14.67	15.0	2.68	18.29	11.91	13.52	75.11	30.56	31.22	40.64	17.9	9.48	18.16	13.32	2.89	18.56	3.32	6.36	15.34	37.05	39.22	14.45	2.66	3.29	16.75	9.56	11.3	16.39	6.11	3.53	4.66	5.92	5.28	4.31	12.45	2.89	2.63	6.16	6.52	5.19	4.7	9.2	7.4	6.06	5.28	7.0	4.94
WDR81	189.02	60.82	438.59	563.18	616.37	555.41	642.59	511.0	559.28	669.92	836.53	703.28	860.08	665.29	633.73	366.09	595.34	802.41	693.58	366.09	854.13	493.56	591.22	718.08	420.68	629.35	412.0	521.76	483.38	878.17	665.29	708.18	507.46	420.68	748.61	511.0	1216.75	624.99	825.0	229.72	209.84	314.17	295.11	217.27	258.57	301.33	124.37	429.54	244.57	262.2	244.57	358.54	246.28	175.07	218.79	158.79	299.25	206.94	251.48	231.32	249.73	271.48	248.0	368.65
WNT3A	0.0	0.1	115.16	98.04	368.65	1081.39	44.57	140.04	346.29	651.58	72.52	500.46	429.54	197.09	567.1	277.2	155.5	114.36	106.63	145.02	120.1	287.01	175.07	228.13	76.17	154.42	156.59	511.0	178.77	108.9	341.51	199.85	215.77	791.35	371.22	158.79	121.79	218.79	400.71	0.0	0.0	1.28	1.79	4.39	13.52	7.28	5.32	2.53	0.35	0.0	0.68	17.51	0.38	1.3	0.0	0.0	0.33	0.0	4.31	0.99	4.1	7.22	8.65	4.39
WNT7A	11.21	62.12	90.77	368.65	603.67	547.75	6.89	379.04	460.44	759.08	45.21	185.11	423.61	209.84	157.68	371.22	255.0	71.5	279.14	316.37	253.23	291.04	325.29	291.04	64.8	59.97	133.36	234.57	339.14	202.66	190.34	400.71	264.03	514.56	169.07	175.07	119.26	334.46	153.34	0.0	0.15	0.0	0.14	0.44	0.0	1.04	0.0	0.53	0.17	0.0	0.0	2.71	0.0	0.75	0.0	0.45	0.0	0.0	0.48	0.0	0.44	1.33	0.67	0.0
ZNF483	0.0	0.06	20.26	14.03	24.81	25.72	105.15	41.52	23.76	8.38	18.16	21.78	23.59	13.62	24.81	22.59	12.18	22.59	13.32	17.38	24.46	68.55	18.97	94.67	74.58	37.59	26.1	22.1	10.0	44.57	15.11	12.27	19.97	93.35	32.13	20.41	21.94	8.78	28.24	4.54	6.94	5.5	13.12	12.93	17.51	6.21	5.06	3.92	7.82	11.47	8.51	8.65	16.88	28.86	3.0	31.9	1.77	10.79	17.9	7.34	6.16	7.11	38.12	11.55
ZNF488	0.0	0.2	18.7	18.7	2.46	10.47	0.0	9.93	7.34	8.92	1.22	0.0	0.21	22.43	0.61	5.96	3.11	3.32	5.45	45.85	13.42	73.54	15.22	7.4	3.32	1.64	16.63	8.58	130.6	18.16	0.0	8.38	2.18	7.63	5.68	3.17	19.68	5.59	6.31	0.23	0.0	0.27	2.53	0.88	0.27	1.2	0.61	4.5	0.0	1.77	0.28	3.23	0.31	0.27	0.0	0.27	0.57	0.31	0.61	0.27	0.58	0.27	0.8	0.82
ZNF611	0.0	0.43	151.22	59.55	175.07	110.43	59.97	111.21	74.58	105.15	120.1	94.01	130.6	102.97	173.85	85.22	95.34	70.01	103.69	93.35	147.06	68.55	169.07	120.1	36.79	102.25	85.82	169.07	120.94	175.07	186.4	50.98	73.54	79.45	180.02	175.07	122.64	269.6	171.45	51.35	63.89	40.64	74.06	80.01	24.11	73.54	53.95	80.57	91.41	47.84	71.5	91.41	71.5	120.94	37.85	44.25	87.03	53.19	70.01	102.97	31.9	54.33	53.57	58.71
ZNF90	87.03	358.54	6.36	4.58	87.03	81.71	11.73	57.49	466.88	119.26	19.11	63.89	41.81	20.26	708.18	71.0	18.7	507.46	24.81	182.55	532.74	77.79	48.52	145.02	27.84	103.69	35.25	177.53	126.12	161.02	98.04	11.38	234.57	100.13	23.08	191.67	77.25	46.18	131.51	11.55	14.03	8.65	18.84	8.58	7.34	14.56	8.71	6.62	23.25	6.46	7.22	12.45	25.17	22.26	6.94	0.95	32.13	5.92	22.26	4.24	5.19	7.28	5.41	27.05
