	TCGA.G4.6321.01A.11R.1723.07	TCGA.CM.5344.01A.21R.1723.07	TCGA.A6.2679.11A.01R.A32Z.07	TCGA.A6.2671.11A.01R.A32Z.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.WQUQ.2526.SM.4MVNO	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.13D11.0826.SM.5KLZJ	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.QV31.0826.SM.4R1KR	GTEX.NFK9.2026.SM.3LK5K	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.WHWD.1226.SM.4OOS1	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.131XG.1826.SM.5LZV4	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.V955.1726.SM.4JBHF	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.13PL7.0526.SM.5J2MQ	GTEX.11LCK.1526.SM.5HL64	GTEX.WFJO.0426.SM.4LVM7	GTEX.XUW1.1326.SM.4BOO1	GTEX.11LCK.1626.SM.5PNYB	GTEX.XQ8I.1626.SM.4BOOI	GTEX.XBEW.1426.SM.4AT4J
SULT1B1	1216.75	6.78	323.03	371.22	299.25	493.56	3212.66	1870.53	4419.52	3280.18	2720.15	3212.66	2417.67	2591.27	2915.45	1857.6	2451.44	3847.29	3124.78	3018.3	6607.01	2915.45	4066.71	753.83	688.78	4607.24	909.17	4239.45	4181.07	2148.82	1757.34	2555.58	1104.13	3060.45	2119.22	1191.69	2645.74	4210.15	4038.61	1909.85	3614.55	3443.31	3901.01	2119.22	3443.31	1950.0	1437.15	3443.31	1183.45	2739.08	4268.94	4869.99	4358.66	3742.05	3820.7	2209.26	3614.55	2997.45	1313.23	4328.55	3349.13	3349.13	3690.52	2609.3	3847.29	4298.64	1498.22	3190.46	447.82	3515.68	2417.67	2193.99	3235.01	2855.44	3614.55	2163.77	3928.15	3060.45	2163.77	2520.38	2018.8	3168.41	3372.43	3614.55	20.26	16.15	9.34	7.0	18.43	16.39	10.47
TGFA	265.87	94.67	205.5	136.19	197.09	218.79	500.46	343.89	583.07	454.09	414.87	571.05	346.29	607.87	423.61	267.73	379.04	493.56	607.87	392.44	780.44	511.0	616.37	137.14	144.01	629.35	258.57	819.3	633.73	366.09	307.69	536.45	181.28	423.61	343.89	251.48	429.54	633.73	429.54	336.79	748.61	703.28	551.56	329.84	624.99	368.65	271.48	417.77	164.42	363.56	651.58	775.05	629.35	612.11	454.09	373.81	603.67	607.87	376.41	791.35	559.28	454.09	470.14	480.04	555.41	713.11	269.6	547.75	96.01	521.76	376.41	389.72	583.07	575.03	536.45	339.14	591.22	417.77	301.33	346.29	253.23	599.49	642.59	728.11	5.82	4.9	3.23	6.78	6.01	20.56	12.55
TM9SF2	2609.3	1769.57	1923.14	2090.03	2133.97	1794.29	3190.46	3124.78	4210.15	4210.15	3540.14	4450.27	2875.3	3467.27	3716.2	2645.74	3515.68	3716.2	3874.05	4010.71	5255.91	3235.01	4239.45	1794.29	2384.37	4769.75	1896.65	4210.15	3982.99	3614.55	2627.46	4038.61	2451.44	3820.7	3928.15	2485.67	3443.31	4802.93	4066.71	3235.01	4704.07	4836.35	4239.45	3103.19	4066.71	2701.35	2400.97	4543.8	1359.57	3901.01	4298.64	4639.29	4210.15	3982.99	4095.0	2701.35	4268.94	3639.7	2468.49	3901.01	3639.7	4268.94	4268.94	3467.27	3847.29	4181.07	2591.27	4066.71	1378.57	3768.09	2976.74	3955.48	3589.58	4095.0	4038.61	2816.11	3982.99	4298.64	3235.01	3395.89	2537.92	4095.0	3742.05	3639.7	791.35	836.53	928.3	848.22	848.22	775.05	884.29
TM9SF3	2777.33	1015.93	1529.73	1674.06	1551.09	1487.87	2255.7	1697.45	2573.36	2319.15	1923.14	2351.53	1977.24	1651.0	2090.03	1977.24	2502.97	2240.11	2240.11	2104.58	3768.09	2104.58	2451.44	1508.65	1909.85	2855.44	1199.98	2384.37	2997.45	2075.59	1923.14	2434.5	1437.15	2502.97	2224.63	1685.71	1832.01	2976.74	2739.08	1883.54	2777.33	3124.78	2956.17	1870.53	2485.67	1963.57	1551.09	2875.3	1369.04	2573.36	3103.19	3639.7	3589.58	2468.49	2816.11	1832.01	3212.66	1936.53	1583.71	2591.27	2193.99	2434.5	2609.3	2573.36	2351.53	2682.69	1991.0	2451.44	1073.91	2875.3	1857.6	2163.77	2148.82	2935.74	2895.31	1806.78	2032.85	2384.37	2367.9	2163.77	2133.97	2367.9	2224.63	2209.26	934.76	808.0	1143.1	1159.07	854.13	808.0	915.51
TMEM144	521.76	59.55	147.06	312.0	161.02	237.86	323.03	305.55	312.0	384.34	221.86	339.14	214.27	314.17	389.72	253.23	316.37	285.03	353.59	255.0	703.28	264.03	329.84	234.57	92.05	529.06	172.65	543.96	423.61	275.28	201.25	435.55	221.86	327.56	113.56	177.53	351.14	435.55	426.57	297.17	381.68	346.29	389.72	323.03	435.55	217.27	341.51	417.77	106.63	273.37	486.75	454.09	466.88	429.54	384.34	320.8	314.17	376.41	264.03	684.02	409.15	423.61	444.72	346.29	412.0	376.41	234.57	466.88	346.29	285.03	325.29	241.19	381.68	309.83	397.93	305.55	493.56	341.51	178.77	312.0	170.25	279.14	490.14	329.84	195.72	123.5	88.26	16.88	84.63	175.07	84.04
TMEM87B	587.13	381.68	389.72	463.65	351.14	389.72	713.11	567.1	902.89	728.11	674.59	764.36	579.04	733.19	723.08	571.05	679.29	723.08	728.11	688.78	1151.06	684.02	775.05	395.18	470.14	909.17	476.71	1008.9	802.41	624.99	420.68	693.58	507.46	651.58	603.67	460.44	629.35	921.88	909.17	587.13	802.41	988.12	921.88	665.29	830.75	507.46	579.04	802.41	312.0	753.83	884.29	860.08	928.3	866.07	842.36	575.03	854.13	780.44	599.49	961.07	753.83	785.88	928.3	665.29	796.86	890.44	543.96	769.69	426.57	693.58	713.11	660.68	775.05	656.11	854.13	638.15	866.07	713.11	563.18	651.58	503.95	713.11	890.44	738.29	137.14	221.86	111.99	140.04	193.01	159.9	161.02
TMEM9B	1685.71	713.11	1008.9	1322.37	1111.82	1721.16	2255.7	1806.78	2163.77	2209.26	2240.11	2591.27	1651.0	1923.14	2119.22	1745.2	1832.01	2417.67	2319.15	1870.53	3257.52	2271.4	2451.44	1295.13	1175.27	2739.08	1407.55	2739.08	2502.97	1883.54	1551.09	2816.11	1551.09	2148.82	1870.53	1369.04	2148.82	2855.44	2468.49	2119.22	2701.35	2417.67	2255.7	1883.54	2468.49	1674.06	1617.0	2384.37	1104.13	2367.9	2271.4	2555.58	2835.7	2555.58	2417.67	1896.65	2240.11	2271.4	1769.57	2627.46	2434.5	2555.58	2417.67	2271.4	2209.26	2434.5	1857.6	2400.97	988.12	2148.82	1950.0	1977.24	2468.49	2555.58	2555.58	1806.78	2417.67	2485.67	1745.2	1936.53	1540.37	1991.0	2178.83	2720.15	486.75	536.45	420.68	466.88	559.28	480.04	476.71
TMOD3	660.68	412.0	470.14	438.59	497.0	441.64	624.99	575.03	848.22	679.29	514.56	620.67	612.11	660.68	660.68	406.31	595.34	698.41	813.63	620.67	1088.92	713.11	825.0	480.04	426.57	842.36	397.93	1143.1	836.53	688.78	493.56	703.28	444.72	521.76	521.76	400.71	529.06	813.63	642.59	543.96	1001.93	1066.48	909.17	518.15	860.08	426.57	500.46	703.28	466.88	656.11	743.43	1111.82	921.88	896.64	728.11	616.37	813.63	748.61	457.25	866.07	759.08	660.68	769.69	563.18	723.08	866.07	463.65	808.0	412.0	698.41	555.41	551.56	764.36	559.28	848.22	642.59	890.44	595.34	575.03	718.08	518.15	769.69	836.53	743.43	262.2	234.57	258.57	220.32	241.19	279.14	201.25
TMX1	435.55	470.14	529.06	497.0	571.05	547.75	775.05	583.07	854.13	764.36	603.67	796.86	638.15	660.68	698.41	470.14	830.75	688.78	860.08	684.02	1322.37	769.69	878.17	567.1	595.34	902.89	373.81	995.0	890.44	728.11	599.49	796.86	483.38	591.22	791.35	624.99	536.45	1081.39	624.99	507.46	1051.79	1167.14	813.63	540.19	909.17	591.22	490.14	713.11	303.44	866.07	854.13	1008.9	1104.13	802.41	791.35	551.56	954.43	775.05	435.55	974.5	733.19	688.78	647.07	698.41	651.58	1183.45	575.03	728.11	503.95	878.17	540.19	603.67	921.88	616.37	934.76	392.44	854.13	674.59	703.28	896.64	536.45	854.13	780.44	780.44	228.13	226.54	229.72	211.31	255.0	206.94	186.4
TPMT	1208.34	525.39	651.58	500.46	483.38	612.11	1304.15	974.5	1467.37	1191.69	1359.57	1175.27	967.76	1359.57	1051.79	890.44	1119.56	1151.06	1572.76	1023.0	1923.14	1015.93	1529.73	529.06	470.14	1467.37	651.58	2319.15	1304.15	1037.29	796.86	1111.82	796.86	1051.79	802.41	769.69	995.0	1388.16	1388.16	1119.56	1781.89	1963.57	1697.45	872.1	1498.22	647.07	718.08	1583.71	521.76	1030.12	1216.75	1427.22	1388.16	1540.37	1199.98	872.1	1030.12	1313.23	974.5	1369.04	1331.57	1467.37	1250.98	1191.69	1259.69	1883.54	872.1	1397.83	406.31	1216.75	934.76	1066.48	1250.98	1225.22	1135.2	775.05	1427.22	1111.82	974.5	909.17	684.02	1467.37	1208.34	1639.59	140.04	96.68	132.44	96.68	94.01	134.3	93.35
TWF1	1388.16	1208.34	909.17	974.5	1037.29	1119.56	1313.23	1066.48	1594.73	1159.07	1127.35	1268.46	1208.34	1143.1	1225.22	1030.12	1529.73	1447.15	1447.15	1322.37	2573.36	1167.14	1685.71	1143.1	1250.98	1991.0	878.17	2855.44	1447.15	1304.15	1159.07	1277.29	1340.84	941.27	1427.22	1286.18	974.5	1697.45	1583.71	1233.75	1963.57	2032.85	1757.34	1340.84	1508.65	1066.48	974.5	1551.09	1030.12	1127.35	1923.14	2075.59	1769.57	1540.37	1359.57	1135.2	1447.15	1617.0	961.07	1651.0	1508.65	1540.37	1477.58	1143.1	1628.26	1832.01	1119.56	1572.76	967.76	1427.22	1208.34	1259.69	1561.89	1322.37	1304.15	1015.93	1721.16	1233.75	1417.35	1359.57	1331.57	1313.23	1487.87	1561.89	651.58	753.83	878.17	842.36	738.29	656.11	836.53
VDR	896.64	202.66	785.88	1250.98	237.86	511.0	2148.82	1617.0	2451.44	2004.85	2240.11	2240.11	1697.45	2319.15	2061.24	1519.15	1991.0	2271.4	2351.53	2047.0	2367.9	2047.0	2796.65	529.06	703.28	2758.13	1111.82	3103.19	2573.36	1870.53	1183.45	2384.37	1208.34	2004.85	1369.04	1277.29	1806.78	2193.99	2104.58	1709.26	2384.37	2758.13	2537.92	1540.37	2287.2	1313.23	1437.15	2032.85	1008.9	1769.57	2287.2	2417.67	2287.2	2816.11	2224.63	1572.76	2178.83	2209.26	1378.57	2816.11	2287.2	2209.26	2090.03	2018.8	2319.15	3443.31	1135.2	2591.27	551.56	2209.26	1832.01	1467.37	2133.97	1909.85	2209.26	1487.87	2573.36	1950.0	1572.76	1583.71	1208.34	1936.53	2104.58	2468.49	11.91	20.41	7.69	24.28	17.77	9.78	14.24
VPS4B	1135.2	305.55	866.07	830.75	753.83	743.43	1167.14	813.63	1781.89	1191.69	974.5	1322.37	954.43	1096.5	1340.84	981.29	1151.06	1151.06	1477.58	616.37	1909.85	1159.07	1594.73	802.41	947.83	1551.09	713.11	1477.58	1331.57	1008.9	1030.12	1233.75	1051.79	825.0	575.03	808.0	1225.22	1487.87	1295.13	947.83	1733.13	1639.59	1685.71	954.43	1388.16	988.12	808.0	1417.35	748.61	1191.69	1628.26	1487.87	1359.57	1662.49	1378.57	1233.75	1268.46	1216.75	1127.35	1617.0	1340.84	1359.57	1388.16	1268.46	1286.18	1781.89	1023.0	1313.23	591.22	1216.75	1044.52	629.35	1286.18	988.12	1477.58	921.88	1651.0	1175.27	1111.82	1111.82	1030.12	1175.27	1322.37	1340.84	432.53	426.57	551.56	500.46	447.82	423.61	409.15
WDFY1	358.54	473.41	497.0	376.41	412.0	373.81	599.49	493.56	698.41	607.87	490.14	679.29	454.09	595.34	575.03	514.56	555.41	571.05	642.59	543.96	915.51	642.59	674.59	361.04	341.51	674.59	397.93	878.17	825.0	483.38	480.04	587.13	426.57	412.0	507.46	435.55	521.76	825.0	575.03	583.07	813.63	884.29	718.08	543.96	616.37	414.87	454.09	587.13	454.09	521.76	684.02	941.27	708.18	703.28	638.15	563.18	624.99	872.1	555.41	679.29	733.19	638.15	543.96	583.07	674.59	848.22	595.34	860.08	379.04	642.59	599.49	493.56	651.58	543.96	703.28	432.53	802.41	559.28	511.0	563.18	457.25	660.68	791.35	603.67	204.07	316.37	217.27	318.57	303.44	217.27	209.84
ZDHHC13	241.19	397.93	262.2	273.37	273.37	336.79	603.67	480.04	656.11	599.49	511.0	669.92	450.94	466.88	616.37	511.0	518.15	595.34	651.58	466.88	764.36	624.99	532.74	334.46	403.5	571.05	353.59	559.28	665.29	503.95	384.34	567.1	406.31	603.67	463.65	334.46	514.56	769.69	612.11	521.76	660.68	647.07	624.99	493.56	612.11	497.0	616.37	599.49	366.09	616.37	567.1	587.13	660.68	693.58	733.19	511.0	651.58	660.68	441.64	656.11	651.58	684.02	612.11	642.59	518.15	575.03	466.88	629.35	314.17	693.58	521.76	551.56	703.28	629.35	684.02	571.05	733.19	620.67	466.88	525.39	400.71	518.15	708.18	638.15	87.03	177.53	104.42	102.25	155.5	133.36	134.3
ZNRF2	244.57	234.57	289.02	353.59	236.21	379.04	532.74	384.34	624.99	540.19	511.0	563.18	466.88	412.0	532.74	334.46	426.57	543.96	571.05	547.75	769.69	466.88	518.15	264.03	368.65	603.67	206.94	748.61	583.07	476.71	379.04	543.96	299.25	457.25	563.18	265.87	420.68	693.58	529.06	563.18	607.87	813.63	638.15	323.03	684.02	454.09	301.33	536.45	236.21	521.76	543.96	647.07	693.58	529.06	555.41	392.44	583.07	555.41	438.59	599.49	651.58	497.0	595.34	525.39	447.82	708.18	291.04	559.28	228.13	540.19	414.87	514.56	571.05	507.46	559.28	341.51	547.75	540.19	532.74	507.46	323.03	540.19	543.96	629.35	85.22	82.29	105.15	94.67	80.57	111.21	96.68
