	TCGA.LP.A5U2.01A.11R.A28H.07	TCGA.G4.6304.01A.11R.1928.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.O5YV.1026.SM.3LK72	GTEX.14DAQ.1426.SM.5RQJD	GTEX.13O1R.1326.SM.5IJF5	GTEX.13NYS.1626.SM.5J2MU	GTEX.131XW.1126.SM.5EGK4	GTEX.N7MT.0126.SM.2D7VT	GTEX.117YW.0526.SM.5H11C	GTEX.Q2AG.1026.SM.33HBW	TCGA.D1.A2G0.01A.11R.A32Y.07
TRMT6	480.04	329.84	325.29	511.0	363.56	511.0	198.47	262.2	441.64	171.45	116.78	126.12	486.75	66.18	63.89	109.66	88.26	75.11	287.01
TRMT61A	361.04	884.29	299.25	1216.75	878.17	287.01	116.78	426.57	599.49	193.01	144.01	204.07	255.0	69.52	107.38	105.15	97.36	80.57	497.0
TSR1	796.86	679.29	583.07	379.04	529.06	651.58	438.59	511.0	656.11	429.54	426.57	384.34	759.08	100.13	156.59	220.32	156.59	116.78	693.58
UTP6	2520.38	1870.53	1081.39	1277.29	1059.11	1417.35	974.5	1111.82	967.76	796.86	743.43	909.17	1359.57	753.83	954.43	896.64	848.22	490.14	1769.57
VARS	1991.0	2178.83	1350.18	2104.58	1697.45	1225.22	974.5	1216.75	1359.57	1111.82	961.07	629.35	1781.89	271.48	373.81	403.5	497.0	299.25	2119.22
WDR74	2609.3	3103.19	1023.0	2451.44	1572.76	1529.73	764.36	1135.2	1216.75	860.08	708.18	607.87	1832.01	371.22	457.25	414.87	356.05	258.57	2591.27
XPO5	802.41	733.19	647.07	624.99	660.68	669.92	486.75	703.28	540.19	470.14	376.41	607.87	1498.22	108.14	262.2	181.28	217.27	241.19	808.0
XPO6	2209.26	2061.24	2004.85	2367.9	2400.97	1909.85	1561.89	1781.89	2032.85	1359.57	1304.15	1583.71	2609.3	1104.13	1081.39	1519.15	1313.23	1001.93	3146.52
YARS	3515.68	1769.57	830.75	941.27	1313.23	1277.29	651.58	981.29	1199.98	660.68	753.83	884.29	3018.3	607.87	769.69	514.56	830.75	1001.93	1540.37
ZMYND19	1498.22	1183.45	518.15	723.08	620.67	599.49	412.0	660.68	656.11	547.75	525.39	551.56	1096.5	283.05	483.38	164.42	316.37	232.94	1322.37
