	TCGA.AK.3447.01A.01R.1766.07	GTEX.Y5LM.0426.SM.4VBRO	TCGA.V1.A9OH.01A.11R.A41O.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.KK.A6E0.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.KK.A6DY.01A.12R.A311.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.G9.6348.01A.11R.1789.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.YL.A8SK.01B.21R.A37L.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.EJ.A8FU.01A.11R.A36G.07	TCGA.V1.A9OA.01A.11R.A41O.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.YL.A8HK.01A.11R.A36G.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.YL.A8SJ.01B.11R.A37L.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.KK.A8IH.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.SU.A7E7.01A.22R.A33R.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.KK.A8IA.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A8I6.01A.11R.A36G.07	TCGA.EJ.5521.01A.01R.1580.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.VP.A87K.01A.11R.A352.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	GTEX.ZTX8.1026.SM.5EGHD
LHX4	0.0	0.0	3.32	2.56	2.68	3.69	6.57	13.42	2.41	6.62	3.96	4.21	5.68	16.03	15.34	3.69	4.17	7.34	8.92	9.27	2.66	2.23	7.22	1.28	9.34	13.83	4.17	6.52	18.03	1.85	14.14	5.68	8.65	9.06	12.09	6.21	7.63	8.78	0.88	1.41	1.73	5.77	5.23	18.03	17.38	4.46	1.33	11.47	9.93	2.2	10.96	7.69	16.39	2.29	9.93	8.32	3.29	2.36	16.63	4.58	16.63	13.62	16.39	10.24	9.34	12.83	2.05	1.3	2.29	8.45	21.94	5.92	4.39	6.41	7.4	1.75	16.27	6.21	7.69	4.5	4.86	5.92	9.85	5.92	5.73	8.92	8.78	12.83	5.41	8.58	9.13	3.72	6.73	10.0	20.26	6.26	17.9	6.73	10.79	23.25	10.24	14.89	2.2	2.29	1.77	15.0	8.85	2.66	8.71	13.03	20.86	11.21	1.71	7.28	6.52	1.35	9.34	1.83	4.24	4.86	10.55	2.23	4.21	2.29	1.35	9.2	3.66	8.0	12.64	2.2	12.93	5.82	5.87	12.45	2.81	5.92	11.3	4.28	2.76	4.54	4.39	10.24	2.25	1.35	0.87	1.41	2.66	4.5	0.84	1.45
LINC00999	0.0	3.96	25.54	14.56	33.78	35.76	61.68	68.55	12.36	60.82	25.17	27.84	36.79	76.71	68.07	22.75	54.72	62.56	44.25	43.63	48.52	15.8	58.3	31.9	43.32	57.49	31.67	53.57	58.3	37.05	47.5	50.63	46.5	55.89	87.65	73.54	44.57	33.78	14.03	38.4	13.42	50.98	43.32	76.17	69.52	35.5	35.0	41.52	63.89	55.49	66.18	24.99	56.28	25.54	76.17	44.25	49.21	34.02	67.59	30.12	52.45	52.08	80.01	52.82	68.07	47.17	10.55	11.73	20.26	65.26	76.17	62.12	21.78	33.78	34.75	17.77	52.08	33.3	29.27	14.03	31.22	37.59	36.01	47.5	52.45	62.56	60.39	56.28	53.19	31.22	49.21	36.01	53.57	62.12	79.45	59.13	73.54	58.71	34.51	71.5	106.63	64.34	19.82	20.26	34.02	58.3	75.11	24.11	59.13	48.18	76.17	32.59	27.64	59.97	50.98	53.19	50.27	34.75	25.17	42.71	48.87	23.93	24.99	27.84	23.76	82.87	30.12	70.51	64.34	31.67	75.64	38.12	44.57	39.22	25.91	42.11	37.85	37.32	56.68	47.84	52.45	92.05	22.43	28.45	33.78	34.26	27.25	29.91	19.53	24.11
LRRC37B	18.56	29.27	195.72	114.36	126.12	145.02	107.38	242.88	173.85	231.32	116.78	149.12	126.12	208.38	164.42	193.01	163.28	241.19	201.25	334.46	147.06	102.25	195.72	136.19	194.36	204.07	154.42	201.25	241.19	88.26	231.32	150.17	208.38	177.53	212.78	97.36	194.36	253.23	140.04	102.25	127.89	163.28	180.02	264.03	303.44	146.03	105.89	267.73	205.5	170.25	204.07	114.36	180.02	156.59	193.01	113.56	136.19	103.69	215.77	109.66	214.27	271.48	289.02	187.71	305.55	242.88	180.02	190.34	106.63	220.32	221.86	197.09	141.02	209.84	283.05	84.04	221.86	165.57	187.71	146.03	198.47	157.68	246.28	109.66	136.19	237.86	165.57	242.88	129.69	262.2	214.27	146.03	178.77	262.2	269.6	129.69	316.37	124.37	141.02	341.51	163.28	231.32	234.57	167.9	178.77	212.78	177.53	139.07	148.09	234.57	258.57	205.5	116.78	223.41	171.45	108.14	223.41	113.56	82.87	163.28	215.77	63.45	136.19	105.89	102.97	273.37	120.94	223.41	400.71	125.24	285.03	155.5	194.36	215.77	180.02	147.06	209.84	171.45	176.29	133.36	177.53	231.32	113.56	123.5	92.05	111.99	163.28	140.04	82.87	92.05
LUC7L3	167.9	480.04	1794.29	1447.15	1427.22	1540.37	1268.46	2591.27	1639.59	1977.24	1259.69	1870.53	1977.24	2255.7	2163.77	1769.57	1427.22	2303.12	1909.85	3419.52	2061.24	1709.26	2271.4	1008.9	1721.16	2835.7	1991.0	2148.82	2400.97	934.76	3146.52	2451.44	1909.85	1617.0	2485.67	1551.09	1909.85	2351.53	1832.01	1674.06	1242.34	1662.49	1378.57	2133.97	2591.27	1896.65	1388.16	3901.01	1896.65	1388.16	2915.45	1909.85	2701.35	1191.69	1769.57	2018.8	1175.27	1369.04	2485.67	1617.0	2956.17	3768.09	2875.3	2178.83	2178.83	2061.24	1551.09	1242.34	1447.15	1936.53	2758.13	1745.2	1561.89	1733.13	2193.99	1487.87	1977.24	1733.13	1832.01	1605.83	1806.78	1685.71	2163.77	1151.06	1477.58	2417.67	2434.5	2209.26	1167.14	2758.13	2047.0	1304.15	1225.22	2004.85	3190.46	1936.53	2351.53	1437.15	2303.12	3491.39	1923.14	2287.2	1832.01	1540.37	1745.2	2502.97	2032.85	1697.45	1963.57	2664.15	2835.7	3168.41	2047.0	1857.6	1806.78	1242.34	2434.5	1529.73	1467.37	1857.6	2367.9	981.29	1015.93	1096.5	1096.5	2758.13	1498.22	2287.2	3491.39	1639.59	2555.58	1437.15	2163.77	2835.7	1015.93	1991.0	2047.0	1304.15	1857.6	1233.75	2335.28	2434.5	1037.29	1143.1	1331.57	1617.0	1350.18	2319.15	1044.52	1059.11
LY6G5B	2.97	17.64	68.07	48.87	25.72	80.57	68.07	231.32	63.89	158.79	37.85	79.45	138.1	191.67	185.11	55.49	76.17	205.5	59.97	389.72	50.27	33.54	122.64	14.14	28.24	198.47	79.45	120.1	229.72	19.82	144.01	133.36	153.34	167.9	132.44	54.33	129.69	186.4	19.97	15.34	38.95	109.66	95.34	138.1	139.07	50.27	7.51	134.3	112.77	71.0	70.51	135.24	133.36	38.4	87.03	67.59	27.64	16.27	232.94	43.32	417.77	309.83	169.07	223.41	224.97	236.21	85.22	38.4	40.07	145.02	186.4	88.88	67.12	91.41	70.51	46.18	209.84	36.79	82.87	85.82	138.1	70.51	110.43	41.22	57.49	195.72	82.29	133.36	45.53	126.12	77.25	20.86	71.0	212.78	183.82	37.05	135.24	110.43	147.06	248.0	100.83	182.55	20.86	30.78	105.15	132.44	67.59	67.12	71.0	162.14	175.07	153.34	29.91	129.69	73.54	22.1	176.29	25.54	55.49	100.83	139.07	7.57	23.25	30.78	32.82	271.48	60.82	90.77	253.23	69.03	218.79	71.5	150.17	145.02	19.97	74.06	153.34	36.79	55.49	65.26	72.01	208.38	40.36	31.9	23.93	23.93	25.17	84.63	11.3	14.78
MAPK8IP3	18.84	35.25	381.68	264.03	202.66	281.09	409.15	1487.87	470.14	836.53	251.48	647.07	551.56	1111.82	1397.83	381.68	466.88	1059.11	473.41	1662.49	426.57	209.84	629.35	205.5	314.17	1066.48	529.06	878.17	1250.98	187.71	1242.34	713.11	743.43	1023.0	684.02	228.13	620.67	1044.52	118.43	199.85	239.52	651.58	563.18	1295.13	848.22	463.65	115.16	718.08	733.19	327.56	521.76	665.29	947.83	309.83	493.56	409.15	265.87	120.94	1447.15	220.32	1685.71	1322.37	1081.39	981.29	2193.99	878.17	460.44	237.86	281.09	1059.11	1175.27	490.14	429.54	624.99	514.56	283.05	1277.29	318.57	547.75	454.09	842.36	438.59	633.73	312.0	363.56	854.13	583.07	941.27	275.28	575.03	493.56	176.29	536.45	1233.75	1322.37	429.54	1088.92	575.03	656.11	1044.52	780.44	1268.46	246.28	154.42	486.75	928.3	587.13	438.59	579.04	1081.39	1508.65	638.15	177.53	620.67	454.09	143.01	1111.82	267.73	420.68	698.41	842.36	108.9	224.97	275.28	176.29	1030.12	299.25	620.67	1685.71	599.49	1175.27	435.55	961.07	934.76	264.03	693.58	872.1	165.57	384.34	366.09	571.05	1844.76	150.17	206.94	178.77	226.54	291.04	490.14	142.01	267.73
MAU2	37.59	83.45	450.94	336.79	457.25	555.41	457.25	743.43	343.89	624.99	460.44	521.76	579.04	796.86	791.35	395.18	555.41	723.08	547.75	890.44	441.64	371.22	647.07	412.0	575.03	708.18	441.64	660.68	825.0	473.41	748.61	567.1	587.13	607.87	759.08	483.38	543.96	642.59	346.29	470.14	327.56	587.13	595.34	708.18	854.13	414.87	470.14	454.09	587.13	409.15	525.39	426.57	836.53	693.58	567.1	547.75	525.39	361.04	842.36	521.76	780.44	728.11	703.28	718.08	934.76	703.28	341.51	336.79	403.5	674.59	902.89	529.06	406.31	532.74	540.19	353.59	703.28	532.74	616.37	397.93	587.13	555.41	536.45	540.19	607.87	703.28	555.41	708.18	624.99	521.76	454.09	567.1	514.56	738.29	1015.93	571.05	878.17	525.39	486.75	1023.0	567.1	642.59	368.65	497.0	441.64	684.02	638.15	395.18	567.1	718.08	764.36	583.07	376.41	500.46	536.45	507.46	575.03	470.14	387.02	567.1	693.58	397.93	511.0	438.59	316.37	693.58	529.06	480.04	759.08	460.44	836.53	540.19	518.15	759.08	571.05	447.82	543.96	493.56	567.1	583.07	612.11	848.22	258.57	470.14	507.46	466.88	518.15	532.74	381.68	379.04
MDM4	15.8	20.86	148.09	118.43	79.45	119.26	158.79	234.57	132.44	221.86	109.66	208.38	218.79	176.29	215.77	126.12	145.02	264.03	180.02	275.28	122.64	183.82	191.67	115.97	167.9	242.88	139.07	190.34	211.31	77.79	293.07	197.09	193.01	172.65	271.48	147.06	180.02	217.27	51.71	101.54	105.89	140.04	180.02	204.07	518.15	201.25	74.06	165.57	236.21	169.07	180.02	201.25	267.73	127.89	258.57	113.56	121.79	100.83	256.78	137.14	329.84	368.65	285.03	246.28	281.09	234.57	137.14	74.06	90.14	217.27	373.81	161.02	115.16	159.9	162.14	102.97	232.94	151.22	162.14	156.59	181.28	152.28	189.02	164.42	140.04	212.78	218.79	231.32	148.09	186.4	156.59	120.1	126.12	248.0	265.87	229.72	226.54	166.73	173.85	267.73	253.23	248.0	110.43	93.35	132.44	269.6	191.67	110.43	123.5	318.57	249.73	256.78	76.71	173.85	187.71	72.52	232.94	108.14	117.6	136.19	229.72	67.59	109.66	134.3	80.01	281.09	96.01	241.19	289.02	129.69	312.0	135.24	193.01	199.85	98.73	180.02	167.9	163.28	218.79	178.77	170.25	277.2	146.03	100.13	102.25	92.05	124.37	154.42	75.11	73.03
MLLT11	5.87	9.78	43.32	27.05	43.32	44.57	49.91	60.39	46.84	50.98	58.71	37.59	57.89	66.65	74.06	72.52	42.11	94.01	53.95	75.64	52.08	36.27	71.0	24.63	38.12	73.54	67.59	48.52	60.39	23.42	91.41	101.54	68.07	56.28	69.52	36.53	50.98	80.01	30.56	23.76	46.18	43.63	56.68	70.01	54.72	57.08	37.85	81.71	34.51	32.36	67.12	36.79	107.38	38.95	68.55	53.95	42.11	44.25	107.38	37.85	72.52	57.08	58.3	71.0	47.84	89.51	32.13	37.32	37.59	59.97	96.01	45.85	57.49	49.21	65.26	45.21	58.71	39.79	39.5	35.5	46.5	55.89	55.89	42.11	35.25	50.98	40.64	68.55	40.93	57.49	76.71	32.82	36.53	74.06	85.82	46.84	84.63	54.33	52.82	67.12	94.01	66.18	43.32	27.64	23.76	66.18	54.72	50.98	60.39	91.41	138.1	40.36	30.56	60.82	53.19	40.64	75.64	41.81	44.25	54.72	84.04	25.17	31.67	35.5	31.67	55.1	44.89	46.5	76.17	33.06	58.71	45.85	64.34	109.66	27.05	50.27	62.56	40.93	32.13	31.45	46.5	76.71	29.91	41.22	35.0	30.56	23.59	43.94	62.12	41.52
MON2	66.65	140.04	303.44	287.01	299.25	289.02	389.72	514.56	281.09	470.14	264.03	441.64	406.31	493.56	381.68	353.59	343.89	490.14	563.18	543.96	269.6	236.21	389.72	287.01	366.09	486.75	368.65	392.44	486.75	305.55	543.96	543.96	463.65	297.17	532.74	373.81	417.77	500.46	215.77	258.57	248.0	450.94	348.71	563.18	825.0	312.0	202.66	713.11	423.61	392.44	551.56	583.07	503.95	384.34	438.59	447.82	228.13	397.93	571.05	463.65	511.0	967.76	500.46	395.18	397.93	748.61	287.01	226.54	258.57	529.06	583.07	426.57	301.33	406.31	376.41	255.0	521.76	426.57	420.68	221.86	412.0	392.44	444.72	376.41	283.05	480.04	463.65	423.61	392.44	525.39	435.55	293.07	325.29	473.41	642.59	651.58	525.39	476.71	406.31	624.99	438.59	633.73	381.68	255.0	336.79	607.87	423.61	295.11	353.59	514.56	698.41	438.59	267.73	429.54	454.09	334.46	480.04	224.97	320.8	486.75	514.56	220.32	389.72	376.41	205.5	438.59	323.03	412.0	684.02	325.29	518.15	412.0	476.71	432.53	299.25	412.0	361.04	409.15	406.31	312.0	397.93	543.96	241.19	217.27	307.69	289.02	358.54	423.61	183.82	176.29
MSANTD2	19.25	19.11	113.56	90.77	69.52	84.04	85.82	182.55	114.36	161.02	97.36	102.25	129.69	162.14	157.68	105.15	99.43	193.01	138.1	323.03	110.43	84.63	113.56	40.36	117.6	152.28	124.37	155.5	166.73	48.87	189.02	132.44	189.02	151.22	155.5	75.64	120.94	204.07	58.3	84.04	89.51	102.97	112.77	120.1	161.02	72.01	52.45	176.29	140.04	95.34	127.0	150.17	149.12	65.72	132.44	86.43	54.72	59.97	209.84	54.72	249.73	236.21	214.27	153.34	177.53	164.42	105.89	78.89	71.5	124.37	218.79	111.21	106.63	117.6	112.77	37.32	152.28	103.69	88.26	106.63	159.9	106.63	161.02	57.49	69.52	193.01	127.89	159.9	68.07	167.9	135.24	57.08	86.43	140.04	217.27	75.64	140.04	108.9	141.02	209.84	118.43	189.02	78.34	64.34	119.26	165.57	108.9	104.42	100.13	129.69	206.94	128.79	61.68	151.22	80.57	54.72	182.55	67.12	81.14	119.26	148.09	48.18	51.35	61.25	78.34	232.94	69.52	152.28	249.73	137.14	224.97	90.14	161.02	154.42	53.19	111.21	159.9	73.54	98.73	96.01	151.22	206.94	86.43	90.77	61.25	63.0	65.72	146.03	83.45	54.33
NBPF11	7.11	71.0	297.17	181.28	256.78	299.25	277.2	674.59	279.14	346.29	251.48	368.65	273.37	323.03	511.0	287.01	358.54	559.28	387.02	651.58	305.55	211.31	470.14	182.55	271.48	486.75	279.14	409.15	555.41	194.36	543.96	305.55	454.09	500.46	563.18	267.73	339.14	595.34	208.38	189.02	211.31	353.59	343.89	559.28	483.38	212.78	223.41	490.14	384.34	228.13	348.71	400.71	490.14	229.72	356.05	341.51	273.37	149.12	616.37	316.37	688.78	503.95	587.13	486.75	417.77	575.03	267.73	226.54	242.88	379.04	470.14	406.31	205.5	466.88	371.22	303.44	417.77	289.02	287.01	291.04	571.05	351.14	351.14	285.03	307.69	503.95	381.68	406.31	291.04	423.61	281.09	249.73	397.93	665.29	599.49	336.79	447.82	301.33	224.97	669.92	363.56	460.44	320.8	236.21	323.03	353.59	368.65	209.84	406.31	460.44	612.11	493.56	346.29	343.89	325.29	211.31	518.15	211.31	318.57	409.15	412.0	187.71	175.07	267.73	218.79	387.02	293.07	283.05	368.65	441.64	476.71	318.57	400.71	406.31	295.11	417.77	525.39	248.0	265.87	279.14	384.34	457.25	151.22	232.94	208.38	208.38	283.05	387.02	154.42	152.28
NBPF24	0.0	0.73	2.71	8.32	11.21	14.14	38.67	51.71	0.0	25.35	7.82	17.77	20.11	22.1	30.34	20.86	12.45	32.36	41.52	34.75	4.62	8.38	38.4	2.46	34.75	51.71	25.35	29.7	53.19	7.94	27.64	28.24	32.59	39.22	44.89	23.08	29.48	72.01	12.45	4.58	4.5	20.41	29.7	48.87	63.89	25.91	8.38	56.28	24.11	27.84	43.94	15.56	48.18	20.86	47.84	29.7	19.53	8.51	81.14	37.05	40.64	31.67	51.35	33.06	47.84	53.57	6.16	2.07	9.56	26.47	61.25	12.18	11.82	30.12	17.13	16.63	45.53	18.43	22.1	7.63	12.0	25.35	31.9	30.78	28.04	55.89	30.12	28.04	37.59	58.3	19.97	8.32	26.86	33.54	56.28	22.92	24.46	50.98	13.62	59.97	25.72	33.54	9.85	3.96	6.31	12.93	34.51	7.11	27.44	58.3	53.95	23.93	18.29	20.56	23.08	6.01	29.7	3.96	20.26	25.54	33.3	4.66	25.17	10.39	6.94	39.22	16.03	39.22	40.93	9.48	52.82	26.47	13.83	33.78	15.34	15.11	18.29	28.45	24.28	12.0	21.94	42.41	10.31	11.3	13.12	11.13	27.25	22.43	5.02	8.58
NFATC2IP	50.98	141.02	325.29	205.5	271.48	329.84	332.14	497.0	318.57	457.25	275.28	258.57	389.72	514.56	708.18	316.37	346.29	493.56	389.72	656.11	312.0	314.17	412.0	202.66	307.69	493.56	348.71	432.53	521.76	237.86	466.88	363.56	420.68	414.87	559.28	361.04	397.93	583.07	283.05	301.33	260.38	387.02	358.54	414.87	547.75	273.37	289.02	555.41	403.5	368.65	423.61	323.03	521.76	327.56	412.0	450.94	334.46	249.73	612.11	363.56	629.35	486.75	376.41	486.75	547.75	540.19	283.05	279.14	255.0	403.5	651.58	332.14	241.19	376.41	329.84	212.78	563.18	412.0	420.68	228.13	356.05	376.41	400.71	334.46	346.29	423.61	373.81	444.72	327.56	332.14	332.14	295.11	334.46	547.75	616.37	361.04	412.0	403.5	470.14	507.46	438.59	529.06	251.48	275.28	291.04	441.64	450.94	260.38	346.29	603.67	457.25	343.89	285.03	373.81	373.81	285.03	490.14	185.11	318.57	353.59	460.44	297.17	368.65	314.17	241.19	480.04	297.17	400.71	607.87	346.29	493.56	384.34	361.04	450.94	329.84	381.68	395.18	309.83	339.14	318.57	409.15	532.74	191.67	293.07	314.17	287.01	320.8	323.03	229.72	260.38
NKTR	20.86	37.59	316.37	228.13	265.87	291.04	457.25	848.22	264.03	718.08	277.2	595.34	651.58	802.41	684.02	289.02	417.77	785.88	575.03	941.27	320.8	197.09	708.18	204.07	432.53	872.1	343.89	500.46	866.07	206.94	961.07	620.67	567.1	579.04	813.63	381.68	463.65	785.88	146.03	195.72	221.86	514.56	368.65	848.22	780.44	361.04	193.01	1216.75	575.03	412.0	660.68	476.71	884.29	279.14	748.61	529.06	249.73	237.86	974.5	339.14	1111.82	954.43	775.05	688.78	624.99	587.13	334.46	208.38	211.31	698.41	796.86	460.44	283.05	536.45	426.57	220.32	909.17	490.14	450.94	327.56	500.46	493.56	507.46	351.14	373.81	684.02	647.07	669.92	414.87	660.68	591.22	277.2	341.51	848.22	1388.16	587.13	791.35	497.0	540.19	967.76	738.29	791.35	327.56	155.5	307.69	854.13	688.78	283.05	540.19	981.29	796.86	503.95	234.57	532.74	536.45	251.48	860.08	236.21	341.51	417.77	571.05	165.57	327.56	251.48	182.55	633.73	241.19	638.15	1127.35	351.14	1051.79	540.19	796.86	713.11	318.57	387.02	616.37	366.09	400.71	343.89	490.14	791.35	182.55	237.86	223.41	217.27	295.11	463.65	128.79	118.43
NPHP3	31.67	28.24	114.36	96.68	92.05	140.04	148.09	329.84	180.02	253.23	94.67	224.97	275.28	289.02	251.48	127.89	164.42	323.03	246.28	420.68	204.07	81.71	273.37	84.04	101.54	273.37	164.42	214.27	376.41	79.45	297.17	239.52	309.83	157.68	343.89	127.89	194.36	273.37	50.27	92.05	92.7	202.66	214.27	287.01	387.02	198.47	47.17	358.54	248.0	139.07	202.66	237.86	423.61	116.78	220.32	162.14	77.79	88.88	346.29	120.1	392.44	518.15	318.57	260.38	320.8	289.02	126.12	89.51	71.0	244.57	334.46	191.67	172.65	158.79	189.02	96.68	318.57	125.24	180.02	166.73	187.71	166.73	248.0	117.6	114.36	299.25	234.57	199.85	127.89	186.4	209.84	105.15	180.02	224.97	363.56	555.41	211.31	191.67	172.65	309.83	164.42	303.44	107.38	50.27	133.36	329.84	199.85	142.01	157.68	293.07	371.22	303.44	75.64	232.94	209.84	96.68	256.78	63.45	116.78	154.42	205.5	50.98	101.54	112.77	79.45	318.57	115.97	234.57	460.44	159.9	376.41	201.25	307.69	211.31	84.04	197.09	256.78	134.3	154.42	201.25	205.5	351.14	123.5	113.56	71.5	130.6	162.14	199.85	73.03	92.05
