	TCGA.50.8460.01A.11R.2326.07	GTEX.W5X1.0526.SM.3GILH	GTEX.T8EM.0326.SM.3DB7F	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A25O.01A.11R.A16R.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	TCGA.EM.A22M.01A.11R.A32Y.07
RABGAP1	289.02	603.67	503.95	559.28	543.96	432.53	395.18	616.37	624.99	429.54	753.83	406.31	866.07	466.88	480.04	866.07	518.15	708.18	679.29	830.75	669.92	547.75	525.39	819.3	555.41	493.56	693.58	753.83	633.73	728.11	358.54	995.0	616.37	603.67	371.22	674.59	559.28	529.06	665.29	197.09	379.04	896.64	356.05	728.11	674.59	483.38	587.13	764.36	620.67	633.73	830.75	583.07	486.75	921.88	769.69	521.76	723.08	967.76	769.69	698.41	507.46	511.0	684.02	450.94	679.29	688.78	813.63	540.19	587.13	417.77	480.04	909.17	733.19	1015.93	629.35	665.29	532.74	728.11	620.67	521.76	896.64	665.29	708.18	836.53	665.29	612.11	723.08	473.41	490.14	796.86	447.82
RANBP2	267.73	511.0	595.34	299.25	327.56	277.2	234.57	406.31	343.89	232.94	438.59	180.02	373.81	299.25	289.02	493.56	289.02	368.65	483.38	511.0	348.71	273.37	223.41	473.41	273.37	267.73	295.11	532.74	301.33	361.04	329.84	591.22	262.2	336.79	237.86	429.54	307.69	339.14	312.0	218.79	320.8	480.04	215.77	532.74	454.09	260.38	312.0	332.14	312.0	454.09	612.11	281.09	275.28	555.41	397.93	281.09	414.87	497.0	316.37	381.68	267.73	283.05	457.25	221.86	361.04	444.72	660.68	287.01	307.69	239.52	231.32	356.05	289.02	651.58	412.0	318.57	287.01	423.61	387.02	224.97	571.05	253.23	607.87	457.25	318.57	336.79	567.1	251.48	307.69	414.87	260.38
RBL2	1037.29	995.0	813.63	842.36	947.83	514.56	379.04	866.07	878.17	540.19	988.12	444.72	884.29	698.41	624.99	1066.48	759.08	878.17	934.76	1127.35	1023.0	738.29	684.02	1183.45	738.29	688.78	947.83	1225.22	872.1	860.08	616.37	1322.37	802.41	866.07	435.55	947.83	718.08	848.22	708.18	476.71	423.61	1208.34	447.82	1175.27	1081.39	674.59	775.05	1015.93	674.59	961.07	1143.1	733.19	723.08	1143.1	1340.84	571.05	1104.13	1175.27	890.44	1088.92	480.04	785.88	934.76	599.49	1216.75	1151.06	1208.34	674.59	921.88	660.68	647.07	981.29	896.64	1697.45	860.08	878.17	723.08	1059.11	1104.13	540.19	1304.15	775.05	1143.1	1175.27	660.68	748.61	954.43	579.04	819.3	995.0	543.96
RBM27	139.07	271.48	323.03	120.1	173.85	115.16	117.6	183.82	158.79	109.66	165.57	88.26	177.53	111.21	128.79	212.78	162.14	197.09	226.54	232.94	194.36	111.99	106.63	226.54	159.9	102.25	172.65	237.86	136.19	185.11	118.43	267.73	148.09	169.07	93.35	181.28	153.34	151.22	133.36	96.01	106.63	236.21	102.25	258.57	205.5	116.78	128.79	137.14	132.44	180.02	208.38	138.1	135.24	255.0	169.07	128.79	178.77	244.57	144.01	183.82	111.99	134.3	187.71	119.26	170.25	189.02	253.23	120.94	141.02	115.97	124.37	178.77	163.28	249.73	158.79	137.14	134.3	161.02	164.42	111.99	237.86	120.1	232.94	214.27	132.44	151.22	221.86	107.38	141.02	185.11	111.99
REST	148.09	392.44	309.83	183.82	209.84	146.03	155.5	228.13	204.07	129.69	258.57	99.43	239.52	148.09	214.27	295.11	195.72	249.73	316.37	318.57	291.04	162.14	166.73	307.69	221.86	138.1	217.27	346.29	191.67	201.25	120.1	450.94	197.09	223.41	114.36	262.2	217.27	199.85	173.85	116.78	142.01	309.83	111.99	309.83	299.25	150.17	175.07	198.47	197.09	251.48	293.07	205.5	182.55	303.44	244.57	149.12	237.86	303.44	183.82	314.17	128.79	185.11	273.37	131.51	215.77	226.54	318.57	155.5	172.65	127.0	162.14	244.57	208.38	312.0	237.86	169.07	163.28	224.97	242.88	123.5	299.25	173.85	346.29	329.84	169.07	190.34	262.2	159.9	164.42	248.0	167.9
RIF1	73.54	237.86	215.77	101.54	96.68	90.77	70.01	127.0	92.7	67.12	138.1	37.32	129.69	80.57	81.14	156.59	103.69	122.64	171.45	178.77	127.0	64.34	76.71	146.03	84.63	73.54	102.97	167.9	84.04	130.6	57.08	209.84	87.65	115.16	67.12	141.02	113.56	117.6	84.04	64.34	57.49	181.28	62.56	201.25	138.1	78.89	90.14	97.36	100.83	109.66	157.68	80.57	81.71	185.11	119.26	67.12	122.64	181.28	87.65	125.24	67.59	88.88	147.06	84.63	124.37	146.03	176.29	72.01	92.7	73.03	75.64	169.07	102.97	239.52	100.83	92.7	92.7	116.78	111.99	74.06	191.67	94.67	198.47	198.47	88.26	99.43	159.9	72.52	88.26	146.03	78.89
RNF168	130.6	175.07	348.71	104.42	123.5	100.83	88.26	127.0	91.41	78.89	126.12	85.22	181.28	106.63	125.24	186.4	125.24	141.02	154.42	185.11	133.36	88.88	106.63	141.02	134.3	96.01	138.1	114.36	116.78	120.1	74.58	182.55	92.05	145.02	83.45	175.07	147.06	123.5	109.66	77.25	114.36	173.85	76.71	169.07	144.01	78.89	100.83	115.97	120.94	118.43	155.5	108.14	105.89	141.02	173.85	100.13	145.02	137.14	101.54	165.57	110.43	80.57	151.22	88.88	98.04	127.0	163.28	82.87	112.77	86.43	78.89	145.02	163.28	145.02	132.44	102.25	96.01	96.01	102.97	88.26	140.04	98.04	169.07	176.29	99.43	118.43	151.22	109.66	76.71	116.78	145.02
RNF169	69.52	180.02	316.37	55.49	79.45	39.79	43.32	85.82	69.52	45.53	88.88	50.98	92.05	47.17	56.68	122.64	63.89	98.73	125.24	130.6	100.13	42.11	50.27	110.43	63.45	43.32	87.65	143.01	72.52	98.04	35.0	147.06	71.0	81.14	28.45	110.43	76.71	88.26	72.01	28.45	42.41	143.01	32.82	134.3	127.89	44.89	63.0	65.72	64.8	89.51	128.79	57.89	43.02	134.3	93.35	49.91	113.56	150.17	73.03	98.04	47.5	55.1	110.43	38.95	80.01	127.0	162.14	54.33	62.56	41.52	36.27	98.73	83.45	164.42	84.04	63.45	56.68	81.71	77.25	45.21	153.34	57.89	147.06	128.79	59.55	65.72	136.19	49.56	39.22	113.56	43.63
RNF180	18.29	103.69	166.73	97.36	107.38	83.45	58.71	107.38	134.3	70.51	159.9	57.49	159.9	115.97	114.36	157.68	162.14	124.37	178.77	191.67	201.25	70.01	82.87	128.79	105.89	75.11	154.42	141.02	105.15	133.36	76.17	189.02	108.14	173.85	82.87	139.07	163.28	84.63	105.15	58.3	77.79	224.97	85.22	190.34	135.24	110.43	59.13	105.15	73.03	164.42	152.28	88.26	82.29	135.24	132.44	92.7	111.99	171.45	83.45	111.99	59.97	72.52	175.07	85.22	167.9	212.78	185.11	94.01	130.6	92.7	85.22	88.88	121.79	237.86	82.29	97.36	150.17	108.9	129.69	59.55	172.65	99.43	177.53	167.9	70.01	135.24	165.57	78.89	53.57	181.28	45.21
RPA3-AS1	339.14	769.69	825.0	480.04	460.44	414.87	366.09	780.44	607.87	463.65	599.49	325.29	571.05	414.87	363.56	669.92	486.75	540.19	543.96	713.11	748.61	432.53	420.68	620.67	511.0	363.56	624.99	624.99	507.46	571.05	426.57	665.29	536.45	563.18	361.04	551.56	567.1	444.72	543.96	361.04	540.19	642.59	376.41	693.58	733.19	624.99	511.0	447.82	348.71	599.49	748.61	432.53	500.46	665.29	483.38	414.87	660.68	669.92	651.58	497.0	616.37	587.13	738.29	423.61	656.11	638.15	802.41	483.38	529.06	409.15	638.15	450.94	511.0	688.78	599.49	511.0	450.94	748.61	693.58	387.02	728.11	575.03	607.87	698.41	480.04	579.04	674.59	400.71	660.68	769.69	381.68
RUFY2	150.17	281.09	253.23	163.28	147.06	147.06	122.64	206.94	185.11	138.1	237.86	87.65	205.5	172.65	154.42	223.41	140.04	191.67	232.94	221.86	201.25	175.07	163.28	170.25	134.3	165.57	153.34	231.32	166.73	163.28	116.78	208.38	171.45	177.53	108.9	156.59	242.88	173.85	108.9	151.22	82.87	273.37	157.68	218.79	182.55	163.28	151.22	178.77	186.4	176.29	221.86	165.57	221.86	198.47	217.27	145.02	209.84	194.36	169.07	159.9	90.14	177.53	208.38	154.42	194.36	205.5	194.36	125.24	146.03	164.42	150.17	209.84	172.65	275.28	193.01	144.01	189.02	212.78	201.25	159.9	205.5	178.77	255.0	224.97	170.25	165.57	214.27	137.14	169.07	236.21	173.85
SBNO1	87.03	218.79	273.37	125.24	177.53	117.6	109.66	201.25	145.02	102.25	187.71	98.04	189.02	117.6	124.37	212.78	154.42	176.29	214.27	249.73	170.25	116.78	103.69	246.28	156.59	128.79	154.42	232.94	150.17	201.25	144.01	251.48	147.06	170.25	90.77	189.02	140.04	149.12	140.04	86.43	171.45	214.27	96.68	214.27	181.28	123.5	130.6	164.42	129.69	175.07	244.57	138.1	134.3	234.57	187.71	132.44	182.55	232.94	145.02	191.67	108.14	131.51	199.85	108.9	178.77	197.09	269.6	126.12	127.89	91.41	132.44	182.55	156.59	283.05	162.14	141.02	124.37	162.14	156.59	104.42	251.48	120.1	236.21	224.97	137.14	141.02	234.57	117.6	149.12	159.9	100.13
SCAF8	339.14	718.08	693.58	318.57	379.04	297.17	264.03	371.22	363.56	246.28	412.0	204.07	423.61	291.04	348.71	490.14	368.65	381.68	426.57	463.65	426.57	301.33	248.0	444.72	358.54	275.28	389.72	493.56	327.56	358.54	297.17	575.03	334.46	397.93	194.36	392.44	406.31	293.07	305.55	229.72	211.31	463.65	237.86	497.0	395.18	273.37	309.83	366.09	361.04	379.04	444.72	348.71	327.56	511.0	480.04	293.07	392.44	463.65	379.04	412.0	262.2	316.37	387.02	258.57	381.68	423.61	532.74	309.83	327.56	232.94	267.73	392.44	395.18	651.58	432.53	329.84	295.11	379.04	361.04	237.86	500.46	251.48	514.56	466.88	291.04	366.09	414.87	256.78	283.05	389.72	293.07
SEC24B	269.6	441.64	536.45	283.05	318.57	215.77	234.57	343.89	318.57	231.32	336.79	205.5	320.8	223.41	228.13	373.81	267.73	316.37	409.15	403.5	336.79	236.21	206.94	417.77	253.23	269.6	283.05	381.68	267.73	351.14	205.5	463.65	291.04	289.02	195.72	303.44	237.86	289.02	289.02	195.72	187.71	397.93	212.78	412.0	366.09	256.78	273.37	273.37	281.09	327.56	373.81	236.21	228.13	423.61	336.79	237.86	371.22	473.41	299.25	343.89	297.17	264.03	348.71	221.86	343.89	406.31	463.65	214.27	256.78	234.57	248.0	346.29	293.07	463.65	320.8	301.33	237.86	334.46	307.69	256.78	470.14	289.02	417.77	392.44	256.78	293.07	395.18	215.77	299.25	332.14	231.32
SECISBP2L	181.28	2758.13	941.27	262.2	353.59	218.79	189.02	423.61	305.55	193.01	454.09	144.01	460.44	244.57	279.14	417.77	323.03	400.71	486.75	490.14	368.65	295.11	214.27	447.82	309.83	264.03	395.18	486.75	289.02	334.46	258.57	563.18	343.89	295.11	145.02	336.79	309.83	366.09	255.0	164.42	237.86	525.39	244.57	473.41	429.54	264.03	303.44	312.0	279.14	351.14	466.88	283.05	293.07	559.28	348.71	267.73	438.59	529.06	334.46	379.04	175.07	289.02	417.77	212.78	409.15	454.09	532.74	231.32	318.57	291.04	251.48	587.13	366.09	579.04	361.04	285.03	244.57	379.04	368.65	202.66	555.41	275.28	563.18	476.71	244.57	327.56	463.65	209.84	295.11	400.71	212.78
SENP7	102.25	438.59	206.94	201.25	193.01	161.02	106.63	208.38	183.82	135.24	291.04	65.26	283.05	199.85	214.27	320.8	217.27	305.55	329.84	329.84	229.72	171.45	173.85	251.48	214.27	164.42	246.28	332.14	165.57	201.25	149.12	323.03	234.57	241.19	94.67	242.88	224.97	197.09	127.0	118.43	120.1	348.71	120.1	251.48	273.37	163.28	209.84	314.17	236.21	209.84	295.11	228.13	267.73	253.23	351.14	171.45	275.28	271.48	244.57	249.73	70.51	198.47	191.67	143.01	305.55	258.57	295.11	158.79	232.94	183.82	181.28	264.03	226.54	529.06	202.66	172.65	195.72	303.44	267.73	155.5	327.56	197.09	234.57	343.89	228.13	198.47	237.86	102.25	181.28	305.55	135.24
SHPRH	42.41	164.42	139.07	41.22	48.87	37.59	27.84	70.01	53.57	27.05	88.88	14.45	76.71	43.02	43.63	82.29	45.85	57.49	75.11	98.73	64.8	28.65	29.27	83.45	39.79	35.0	61.68	94.67	48.87	71.5	30.56	119.26	44.89	52.82	16.15	73.03	42.41	64.34	43.94	18.56	24.63	100.13	21.94	86.43	76.71	38.12	48.18	71.5	47.5	69.52	88.88	35.0	39.79	102.25	70.01	26.86	73.54	91.41	66.18	65.26	41.22	44.25	69.52	28.45	74.58	78.89	105.89	47.5	44.57	27.64	38.67	74.06	60.39	133.36	79.45	63.0	43.94	77.25	71.5	29.27	92.7	50.27	100.83	92.7	50.98	49.56	91.41	23.08	46.5	88.88	31.45
SLC10A7	149.12	339.14	249.73	67.12	68.55	58.3	43.32	82.87	62.12	49.91	96.01	42.71	72.01	56.28	61.68	101.54	65.72	71.0	79.45	102.97	92.7	59.13	41.52	71.0	68.07	54.72	82.29	108.9	67.59	78.89	78.34	107.38	70.01	78.34	41.81	92.05	70.51	69.03	72.01	58.3	72.52	85.22	44.89	98.04	87.03	42.71	74.06	84.63	77.79	77.25	104.42	72.01	69.03	98.04	83.45	49.56	83.45	77.79	77.79	76.71	35.0	63.0	67.12	60.82	81.71	80.57	109.66	54.72	51.71	55.49	64.34	81.14	82.29	127.89	84.04	65.72	57.49	92.7	90.77	57.89	88.26	65.26	103.69	123.5	100.83	87.03	92.7	45.85	61.68	99.43	56.68
SMAD5	186.4	325.29	612.11	180.02	224.97	198.47	167.9	251.48	212.78	164.42	318.57	120.94	248.0	193.01	209.84	343.89	218.79	260.38	307.69	356.05	262.2	158.79	142.01	316.37	237.86	158.79	242.88	358.54	209.84	264.03	153.34	406.31	236.21	293.07	123.5	251.48	226.54	220.32	193.01	130.6	176.29	318.57	157.68	343.89	303.44	170.25	172.65	229.72	212.78	253.23	314.17	195.72	215.77	346.29	253.23	204.07	256.78	329.84	186.4	307.69	149.12	180.02	275.28	163.28	236.21	256.78	339.14	170.25	191.67	150.17	156.59	287.01	218.79	339.14	260.38	198.47	204.07	217.27	231.32	158.79	406.31	183.82	358.54	293.07	197.09	218.79	316.37	162.14	164.42	301.33	173.85
SMARCAD1	199.85	301.33	395.18	224.97	215.77	161.02	187.71	279.14	237.86	172.65	297.17	99.43	281.09	183.82	206.94	309.83	206.94	255.0	325.29	327.56	258.57	228.13	159.9	251.48	185.11	206.94	234.57	329.84	186.4	228.13	167.9	343.89	208.38	218.79	133.36	253.23	221.86	209.84	178.77	166.73	190.34	325.29	121.79	329.84	279.14	183.82	197.09	267.73	231.32	258.57	323.03	189.02	231.32	358.54	312.0	177.53	234.57	275.28	221.86	241.19	148.09	202.66	299.25	141.02	279.14	223.41	320.8	171.45	218.79	140.04	173.85	234.57	232.94	423.61	253.23	204.07	197.09	295.11	281.09	153.34	291.04	172.65	318.57	327.56	228.13	229.72	295.11	172.65	202.66	289.02	167.9
SMC5	153.34	435.55	466.88	273.37	295.11	226.54	189.02	353.59	299.25	177.53	363.56	100.83	303.44	220.32	211.31	389.72	224.97	325.29	397.93	384.34	248.0	229.72	204.07	376.41	239.52	248.0	249.73	412.0	236.21	279.14	128.79	435.55	255.0	237.86	147.06	271.48	237.86	279.14	209.84	109.66	204.07	476.71	147.06	460.44	309.83	205.5	241.19	303.44	295.11	325.29	429.54	234.57	241.19	414.87	373.81	234.57	332.14	423.61	264.03	255.0	181.28	262.2	363.56	212.78	400.71	363.56	376.41	194.36	283.05	204.07	201.25	327.56	237.86	563.18	293.07	260.38	253.23	376.41	351.14	190.34	429.54	281.09	392.44	384.34	244.57	281.09	373.81	214.27	267.73	384.34	177.53
SMG1	239.52	571.05	283.05	173.85	206.94	163.28	120.1	249.73	258.57	132.44	303.44	83.45	273.37	181.28	170.25	327.56	215.77	262.2	309.83	353.59	220.32	150.17	152.28	305.55	148.09	185.11	220.32	376.41	175.07	248.0	121.79	392.44	181.28	212.78	106.63	318.57	223.41	244.57	176.29	133.36	96.01	366.09	146.03	343.89	293.07	175.07	185.11	275.28	253.23	228.13	343.89	146.03	223.41	314.17	323.03	159.9	279.14	379.04	201.25	251.48	149.12	223.41	295.11	151.22	262.2	301.33	320.8	136.19	226.54	150.17	157.68	283.05	214.27	466.88	291.04	204.07	204.07	329.84	295.11	147.06	363.56	194.36	329.84	312.0	204.07	214.27	334.46	166.73	215.77	343.89	169.07
SPAG9	669.92	1191.69	1135.2	447.82	587.13	483.38	409.15	728.11	642.59	389.72	1096.5	301.33	688.78	444.72	426.57	743.43	376.41	547.75	954.43	698.41	607.87	529.06	376.41	1051.79	397.93	476.71	551.56	1066.48	693.58	688.78	529.06	995.0	514.56	473.41	403.5	563.18	612.11	607.87	612.11	366.09	379.04	698.41	441.64	915.51	848.22	507.46	551.56	679.29	567.1	703.28	1066.48	493.56	486.75	981.29	674.59	525.39	928.3	884.29	603.67	723.08	551.56	540.19	780.44	507.46	728.11	1233.75	974.5	444.72	633.73	536.45	500.46	624.99	384.34	1183.45	616.37	679.29	507.46	723.08	688.78	497.0	1143.1	599.49	1066.48	902.89	616.37	463.65	981.29	327.56	674.59	753.83	339.14
SPATA5	19.39	78.89	31.45	28.04	35.76	23.76	24.63	43.02	31.0	33.06	34.51	24.11	36.79	23.25	23.25	45.85	28.45	47.5	51.71	57.89	41.22	21.94	20.71	40.36	30.78	27.44	32.36	47.5	31.9	46.18	24.99	46.5	33.78	29.91	25.91	32.59	31.22	29.7	22.1	15.0	19.82	56.68	24.28	55.49	41.81	25.54	24.63	34.75	31.9	37.32	42.41	27.64	20.71	47.17	34.26	26.67	49.21	43.02	32.13	38.12	26.86	24.99	46.18	29.06	36.53	46.18	71.5	24.99	28.04	25.72	29.91	50.98	34.51	78.89	24.63	29.06	29.06	29.48	25.72	27.25	62.12	27.25	62.12	35.5	32.13	22.43	72.01	23.42	22.26	40.93	23.08
SPATA6	87.65	256.78	136.19	115.16	183.82	102.97	84.04	185.11	155.5	98.73	239.52	96.68	143.01	127.89	123.5	161.02	106.63	215.77	202.66	215.77	186.4	105.89	138.1	232.94	162.14	121.79	159.9	242.88	158.79	161.02	159.9	237.86	150.17	186.4	96.68	136.19	152.28	135.24	140.04	95.34	127.89	267.73	102.25	182.55	171.45	138.1	133.36	135.24	123.5	187.71	199.85	146.03	169.07	180.02	140.04	129.69	186.4	177.53	175.07	141.02	122.64	137.14	150.17	127.89	223.41	201.25	220.32	182.55	152.28	111.99	134.3	175.07	165.57	195.72	242.88	175.07	153.34	155.5	140.04	112.77	232.94	98.73	231.32	197.09	103.69	146.03	186.4	92.7	157.68	187.71	77.79
SPOPL	125.24	363.56	256.78	117.6	141.02	92.05	107.38	170.25	145.02	82.29	154.42	55.49	144.01	86.43	109.66	218.79	127.0	162.14	205.5	209.84	166.73	91.41	102.25	249.73	135.24	89.51	139.07	209.84	125.24	140.04	90.77	267.73	133.36	135.24	81.71	157.68	125.24	145.02	119.26	85.82	92.7	237.86	85.82	239.52	185.11	117.6	124.37	127.89	143.01	172.65	205.5	127.0	119.26	260.38	151.22	104.42	181.28	242.88	122.64	173.85	84.04	126.12	182.55	100.83	176.29	194.36	231.32	101.54	126.12	108.14	125.24	170.25	133.36	255.0	162.14	132.44	137.14	171.45	180.02	88.26	221.86	122.64	249.73	209.84	118.43	121.79	202.66	107.38	147.06	164.42	90.77
SPTY2D1	141.02	289.02	293.07	102.97	137.14	79.45	105.89	165.57	138.1	84.63	155.5	64.34	150.17	105.15	100.83	178.77	108.9	138.1	199.85	182.55	144.01	108.9	84.63	156.59	122.64	92.05	117.6	164.42	104.42	120.94	114.36	195.72	102.25	138.1	76.17	148.09	112.77	134.3	129.69	88.88	122.64	173.85	84.04	214.27	144.01	102.97	100.13	120.1	104.42	128.79	195.72	102.97	118.43	206.94	119.26	105.15	158.79	180.02	115.16	157.68	99.43	103.69	165.57	70.51	150.17	147.06	215.77	115.16	111.21	83.45	100.13	157.68	123.5	269.6	163.28	122.64	105.89	146.03	148.09	78.89	202.66	117.6	208.38	177.53	134.3	132.44	198.47	99.43	116.78	186.4	105.15
STK4	214.27	583.07	309.83	108.9	165.57	100.83	132.44	167.9	150.17	110.43	182.55	94.67	150.17	153.34	141.02	211.31	256.78	171.45	217.27	217.27	153.34	106.63	115.97	199.85	149.12	131.51	172.65	185.11	143.01	180.02	113.56	202.66	122.64	149.12	102.25	283.05	161.02	141.02	150.17	140.04	96.01	189.02	133.36	323.03	215.77	133.36	122.64	183.82	194.36	153.34	170.25	117.6	134.3	169.07	215.77	143.01	150.17	175.07	158.79	167.9	113.56	154.42	169.07	146.03	153.34	218.79	206.94	105.15	149.12	133.36	115.16	214.27	156.59	249.73	152.28	152.28	144.01	156.59	177.53	124.37	195.72	113.56	229.72	183.82	139.07	141.02	256.78	130.6	143.01	197.09	211.31
STXBP3	435.55	967.76	884.29	674.59	854.13	748.61	591.22	825.0	780.44	595.34	775.05	387.02	808.0	599.49	616.37	842.36	698.41	921.88	1037.29	954.43	759.08	591.22	500.46	878.17	819.3	591.22	780.44	825.0	693.58	616.37	693.58	802.41	764.36	842.36	450.94	612.11	825.0	567.1	490.14	521.76	587.13	947.83	595.34	813.63	791.35	674.59	583.07	713.11	708.18	830.75	848.22	693.58	825.0	866.07	743.43	698.41	775.05	878.17	665.29	688.78	579.04	693.58	836.53	651.58	909.17	842.36	693.58	579.04	796.86	660.68	688.78	563.18	703.28	915.51	723.08	684.02	759.08	802.41	921.88	563.18	890.44	660.68	813.63	921.88	693.58	743.43	743.43	599.49	791.35	723.08	447.82
TASP1	85.22	255.0	180.02	156.59	127.89	127.89	136.19	136.19	155.5	132.44	172.65	122.64	151.22	118.43	125.24	162.14	104.42	157.68	185.11	205.5	171.45	122.64	134.3	167.9	114.36	114.36	141.02	170.25	119.26	133.36	90.14	229.72	127.0	167.9	109.66	130.6	159.9	138.1	134.3	105.89	98.04	195.72	98.73	162.14	166.73	171.45	154.42	138.1	127.0	157.68	191.67	143.01	151.22	217.27	129.69	101.54	169.07	178.77	152.28	138.1	135.24	167.9	165.57	152.28	186.4	151.22	181.28	177.53	120.94	101.54	136.19	176.29	124.37	167.9	142.01	154.42	140.04	178.77	163.28	99.43	186.4	169.07	191.67	155.5	162.14	165.57	178.77	115.16	124.37	189.02	97.36
TBCEL	102.97	493.56	348.71	129.69	107.38	100.13	96.68	119.26	120.94	90.77	201.25	61.25	129.69	120.1	107.38	181.28	121.79	134.3	159.9	195.72	158.79	85.82	95.34	120.94	121.79	103.69	140.04	170.25	123.5	116.78	82.87	197.09	126.12	117.6	83.45	147.06	133.36	144.01	119.26	72.01	143.01	165.57	82.87	206.94	164.42	107.38	146.03	152.28	145.02	132.44	201.25	129.69	126.12	206.94	171.45	100.83	161.02	150.17	151.22	153.34	100.13	111.99	129.69	75.64	135.24	154.42	167.9	127.0	106.63	76.17	126.12	182.55	126.12	264.03	133.36	120.1	119.26	169.07	129.69	97.36	182.55	109.66	194.36	175.07	113.56	136.19	178.77	74.06	108.14	195.72	121.79
