	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.A8.A08H.01A.21R.A00Z.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.14C38.2626.SM.5RQI4	TCGA.L5.A8NN.01A.11R.A37I.31	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.GJ.A6C0.01A.12R.A311.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.05.4389.01A.01R.1206.07	TCGA.35.5375.01A.01R.1628.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.44.3918.01A.01R.A278.07	TCGA.55.7724.01A.11R.2170.07	TCGA.44.6778.01A.11R.1858.07	TCGA.44.7660.01A.11R.2066.07	TCGA.53.A4EZ.01A.12R.A24X.07	TCGA.95.7043.01A.11R.1949.07	TCGA.86.8358.01A.11R.2326.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.131XE.0726.SM.5HL9K	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.39.5011.01A.01R.1443.07	TCGA.18.3411.01A.01R.0980.07	TCGA.90.7964.01A.21R.2187.07	TCGA.22.4599.01A.01R.1443.07	TCGA.77.8007.11A.01R.2187.07	TCGA.EL.A3GP.01A.11R.A206.07	TCGA.BK.A26L.01A.11R.A277.07	TCGA.A5.A3LP.01A.11R.A22K.07
TAF2	334.46	480.04	279.14	775.05	336.79	693.58	81.14	341.51	133.36	90.77	128.79	92.05	120.94	145.02	36.53	136.19	75.64	50.98	356.05	148.09	226.54	237.86	199.85	283.05	93.35	157.68	220.32	201.25	164.42	559.28	237.86	215.77	63.0	273.37	255.0	221.86	145.02	108.14	190.34	171.45	124.37	351.14	214.27	114.36	262.2	120.1	412.0	358.54	152.28	194.36	253.23	320.8	336.79	164.42	167.9	110.43	46.18	100.83	100.83	61.25	85.22	86.43	90.14	191.67	57.49	70.01	101.54	78.34	127.0	83.45	155.5	41.52	61.68	155.5	269.6	325.29	183.82	273.37	890.44	412.0	480.04	291.04	500.46	255.0	733.19	142.01	165.57	123.5	201.25	301.33	158.79	269.6	204.07	228.13	249.73	353.59	165.57	234.57	102.25	182.55	267.73	221.86	158.79	176.29	123.5	166.73	277.2	336.79	301.33	287.01	181.28	228.13	915.51	371.22
TAF5	36.01	80.01	62.12	57.08	88.26	133.36	74.06	85.22	28.65	21.94	36.27	13.22	18.56	23.25	14.78	20.56	23.25	20.86	43.32	46.5	64.8	39.22	42.71	53.57	48.18	57.49	53.95	38.4	39.5	59.13	31.67	55.89	28.65	33.78	54.72	37.59	125.24	33.54	66.18	36.53	34.51	59.97	41.52	58.3	47.5	29.48	61.68	105.89	41.81	33.54	50.98	50.98	56.68	52.82	34.75	43.02	20.86	39.5	31.22	36.27	25.54	21.01	33.06	45.53	43.32	41.22	38.95	38.67	29.48	31.45	40.36	17.9	23.76	56.28	64.8	44.57	47.5	69.52	62.56	58.3	101.54	48.18	65.26	55.1	117.6	34.75	30.34	37.32	62.12	72.52	75.64	56.68	60.39	44.57	52.82	72.52	74.06	50.63	47.17	45.53	51.35	65.72	29.27	44.89	20.11	48.87	43.94	77.25	35.76	109.66	38.67	52.82	117.6	59.55
TAOK1	255.0	638.15	295.11	363.56	358.54	1104.13	218.79	316.37	180.02	154.42	171.45	87.65	131.51	237.86	38.12	107.38	117.6	98.73	100.13	105.15	110.43	118.43	72.01	93.35	101.54	92.7	99.43	48.52	69.03	116.78	42.71	181.28	81.71	74.58	120.1	112.77	92.05	112.77	116.78	75.11	64.8	172.65	84.63	134.3	138.1	70.51	197.09	187.71	47.17	111.99	93.35	155.5	161.02	127.89	87.65	74.06	28.65	102.25	74.06	92.05	103.69	68.07	77.25	100.83	44.57	71.5	64.34	67.12	65.72	49.91	95.34	46.18	54.72	70.01	206.94	138.1	224.97	141.02	860.08	293.07	368.65	156.59	171.45	275.28	460.44	150.17	141.02	366.09	231.32	234.57	384.34	132.44	151.22	293.07	217.27	334.46	208.38	180.02	124.37	180.02	186.4	236.21	248.0	152.28	229.72	211.31	154.42	162.14	256.78	277.2	171.45	265.87	1167.14	262.2
TOPBP1	236.21	563.18	381.68	529.06	466.88	563.18	106.63	775.05	195.72	134.3	156.59	101.54	80.01	201.25	40.64	100.13	90.14	46.18	177.53	137.14	111.21	229.72	186.4	180.02	346.29	189.02	187.71	127.89	109.66	248.0	100.13	329.84	130.6	114.36	307.69	236.21	157.68	195.72	314.17	125.24	92.05	303.44	126.12	154.42	283.05	136.19	397.93	575.03	164.42	248.0	131.51	205.5	199.85	187.71	183.82	133.36	41.22	102.25	72.01	92.05	98.04	41.22	48.18	181.28	88.26	85.22	175.07	103.69	61.25	90.77	153.34	57.49	64.34	99.43	412.0	409.15	249.73	587.13	1081.39	532.74	748.61	836.53	612.11	426.57	1498.22	167.9	148.09	166.73	212.78	343.89	271.48	209.84	140.04	454.09	426.57	486.75	217.27	175.07	176.29	265.87	209.84	232.94	208.38	136.19	279.14	579.04	251.48	423.61	361.04	1143.1	214.27	260.38	909.17	521.76
TRAPPC6B	363.56	595.34	307.69	432.53	348.71	718.08	113.56	514.56	204.07	246.28	226.54	151.22	142.01	239.52	85.82	125.24	153.34	102.25	325.29	202.66	214.27	157.68	135.24	142.01	273.37	189.02	242.88	140.04	191.67	197.09	165.57	244.57	291.04	181.28	205.5	153.34	177.53	249.73	185.11	229.72	177.53	341.51	121.79	329.84	406.31	220.32	251.48	371.22	152.28	191.67	244.57	226.54	293.07	301.33	209.84	221.86	97.36	353.59	226.54	234.57	320.8	327.56	224.97	193.01	281.09	299.25	228.13	320.8	236.21	232.94	214.27	275.28	231.32	483.38	309.83	567.1	346.29	361.04	591.22	473.41	435.55	480.04	368.65	497.0	723.08	325.29	285.03	305.55	470.14	420.68	260.38	379.04	409.15	334.46	361.04	490.14	420.68	361.04	201.25	336.79	457.25	332.14	312.0	273.37	293.07	379.04	473.41	547.75	262.2	318.57	392.44	403.5	500.46	1008.9
TRIP11	281.09	493.56	334.46	728.11	341.51	665.29	35.76	153.34	63.0	98.04	71.0	22.26	21.63	111.99	27.05	14.35	37.59	34.51	146.03	97.36	117.6	69.52	75.64	73.03	80.57	127.89	113.56	57.08	57.08	127.89	91.41	98.73	137.14	94.67	79.45	105.89	59.13	100.83	121.79	94.67	94.01	109.66	85.22	198.47	187.71	127.89	248.0	187.71	77.25	70.01	83.45	122.64	118.43	138.1	163.28	94.01	19.82	94.67	98.73	92.05	84.63	47.84	71.5	80.01	90.14	78.89	88.26	82.87	136.19	66.65	110.43	40.93	85.22	150.17	147.06	99.43	131.51	50.63	514.56	486.75	256.78	309.83	153.34	182.55	299.25	108.14	94.01	145.02	211.31	182.55	158.79	121.79	95.34	156.59	232.94	409.15	143.01	178.77	131.51	267.73	190.34	156.59	236.21	181.28	165.57	133.36	109.66	129.69	264.03	135.24	140.04	148.09	1378.57	334.46
TRMT12	194.36	273.37	241.19	389.72	209.84	283.05	59.13	223.41	144.01	182.55	202.66	149.12	214.27	164.42	150.17	162.14	127.89	170.25	202.66	94.01	127.0	176.29	186.4	129.69	154.42	140.04	180.02	212.78	127.0	334.46	152.28	149.12	127.0	195.72	226.54	197.09	96.68	77.25	146.03	124.37	170.25	169.07	246.28	142.01	131.51	74.58	223.41	208.38	248.0	202.66	194.36	191.67	246.28	167.9	211.31	141.02	74.58	78.89	92.7	130.6	90.77	146.03	114.36	128.79	90.77	95.34	100.13	102.97	112.77	79.45	153.34	68.55	61.68	152.28	217.27	237.86	114.36	267.73	341.51	223.41	202.66	183.82	325.29	234.57	341.51	186.4	159.9	175.07	151.22	204.07	165.57	239.52	186.4	143.01	185.11	251.48	248.0	197.09	131.51	265.87	183.82	237.86	144.01	228.13	109.66	232.94	229.72	323.03	146.03	239.52	201.25	194.36	454.09	343.89
TRMT13	169.07	241.19	140.04	114.36	131.51	587.13	34.26	346.29	119.26	101.54	57.08	32.36	31.0	61.68	15.0	20.56	40.64	29.48	101.54	81.71	124.37	187.71	72.01	43.63	120.94	121.79	90.77	81.71	62.12	142.01	61.68	161.02	114.36	71.0	158.79	77.79	64.34	87.65	93.35	119.26	65.72	202.66	58.3	145.02	162.14	91.41	305.55	249.73	116.78	98.04	111.21	149.12	116.78	81.71	86.43	87.65	11.55	62.12	76.17	70.51	134.3	80.57	77.25	105.89	96.01	55.89	66.65	69.52	65.26	151.22	90.77	21.01	47.17	71.5	109.66	314.17	186.4	264.03	400.71	241.19	281.09	173.85	246.28	154.42	237.86	127.0	103.69	132.44	155.5	158.79	180.02	211.31	129.69	138.1	100.83	293.07	195.72	110.43	82.29	112.77	231.32	253.23	140.04	124.37	60.82	159.9	209.84	242.88	212.78	307.69	135.24	124.37	305.55	208.38
TRMT5	135.24	351.14	277.2	291.04	231.32	358.54	65.26	153.34	103.69	104.42	117.6	92.05	105.89	159.9	59.97	94.01	56.28	75.11	153.34	82.29	111.21	70.51	111.21	84.63	92.05	112.77	76.71	71.5	105.89	103.69	68.55	114.36	66.18	61.25	94.67	75.64	64.34	115.16	100.83	66.65	69.52	177.53	61.68	199.85	67.12	93.35	171.45	187.71	58.71	137.14	76.17	120.94	120.94	84.04	120.1	82.29	54.72	85.82	69.03	67.12	124.37	112.77	82.87	170.25	85.22	43.32	121.79	48.18	87.65	115.97	98.04	34.26	76.17	117.6	329.84	287.01	108.14	154.42	571.05	307.69	224.97	277.2	255.0	262.2	532.74	161.02	102.97	135.24	150.17	122.64	104.42	119.26	108.14	94.67	166.73	171.45	127.0	144.01	79.45	117.6	124.37	103.69	183.82	186.4	74.58	129.69	295.11	341.51	229.72	320.8	127.89	131.51	540.19	297.17
TXNDC16	88.26	332.14	92.05	1313.23	123.5	728.11	146.03	137.14	46.18	27.84	67.59	26.67	25.35	50.98	16.27	36.01	40.07	39.5	58.71	57.08	47.17	45.21	56.28	61.25	50.63	65.26	94.67	45.85	44.25	47.84	29.27	75.64	81.71	41.22	68.55	92.05	88.88	38.12	49.91	74.58	33.3	152.28	43.63	88.26	105.15	48.87	150.17	94.67	24.46	94.01	68.55	91.41	56.28	127.89	47.5	48.87	29.91	61.25	63.89	111.21	39.5	29.27	90.77	55.49	69.03	38.95	57.49	36.79	64.8	115.16	74.06	80.01	28.86	49.56	111.21	197.09	73.54	40.93	150.17	133.36	143.01	130.6	125.24	96.68	262.2	81.14	72.52	44.25	72.01	36.79	170.25	40.93	94.01	128.79	108.14	67.12	80.01	53.57	30.12	108.14	58.3	81.14	75.64	89.51	181.28	97.36	65.26	65.26	97.36	85.22	77.25	62.12	293.07	94.01
UBXN4	1733.13	2351.53	1208.34	2209.26	1259.69	3018.3	1081.39	1015.93	954.43	819.3	713.11	555.41	543.96	1135.2	180.02	409.15	563.18	277.2	1015.93	1216.75	1159.07	1286.18	947.83	884.29	595.34	1208.34	848.22	633.73	796.86	1104.13	1059.11	1806.78	759.08	902.89	1733.13	1167.14	941.27	447.82	708.18	902.89	967.76	1896.65	703.28	1151.06	1127.35	1037.29	1561.89	1605.83	493.56	967.76	1216.75	1208.34	967.76	1104.13	1216.75	698.41	334.46	1322.37	896.64	780.44	1457.23	967.76	848.22	780.44	860.08	988.12	1350.18	733.19	974.5	941.27	1167.14	521.76	842.36	1286.18	1304.15	2090.03	1135.2	1628.26	2997.45	1806.78	1529.73	1417.35	2032.85	1183.45	1088.92	1340.84	1051.79	1819.35	1127.35	819.3	928.3	1159.07	848.22	1104.13	860.08	1639.59	995.0	733.19	529.06	967.76	1073.91	1030.12	1051.79	872.1	1199.98	872.1	1096.5	1477.58	1457.23	1806.78	1304.15	1350.18	2384.37	1477.58
USP1	291.04	915.51	571.05	454.09	555.41	2367.9	289.02	616.37	134.3	159.9	155.5	69.52	64.34	120.1	35.25	67.59	127.0	98.04	176.29	143.01	133.36	260.38	185.11	156.59	181.28	181.28	100.83	136.19	151.22	242.88	89.51	325.29	194.36	136.19	277.2	253.23	148.09	96.01	226.54	176.29	113.56	218.79	115.97	183.82	228.13	118.43	441.64	297.17	289.02	151.22	185.11	169.07	198.47	253.23	166.73	137.14	48.52	124.37	127.89	61.25	137.14	105.89	101.54	199.85	111.21	71.0	153.34	96.68	90.77	136.19	80.01	121.79	90.14	127.0	341.51	406.31	264.03	447.82	728.11	547.75	825.0	1066.48	336.79	307.69	1044.52	384.34	287.01	348.71	591.22	325.29	457.25	279.14	397.93	371.22	607.87	934.76	323.03	379.04	151.22	450.94	392.44	389.72	361.04	289.02	197.09	423.61	521.76	392.44	435.55	420.68	303.44	368.65	825.0	507.46
VPS26A	1313.23	1733.13	995.0	1844.76	1001.93	3060.45	2400.97	1081.39	559.28	591.22	733.19	432.53	460.44	674.59	293.07	473.41	490.14	389.72	466.88	525.39	591.22	575.03	466.88	351.14	603.67	518.15	575.03	384.34	395.18	483.38	432.53	412.0	232.94	432.53	674.59	332.14	769.69	536.45	595.34	409.15	373.81	612.11	309.83	620.67	373.81	457.25	723.08	638.15	507.46	713.11	543.96	511.0	679.29	674.59	371.22	414.87	220.32	341.51	381.68	392.44	403.5	373.81	283.05	483.38	366.09	287.01	293.07	444.72	403.5	223.41	400.71	295.11	295.11	571.05	1073.91	1088.92	896.64	921.88	1066.48	1561.89	967.76	1896.65	896.64	884.29	1268.46	1208.34	1096.5	1059.11	1111.82	890.44	1268.46	567.1	764.36	1051.79	1096.5	1685.71	836.53	1008.9	764.36	995.0	688.78	599.49	1498.22	647.07	1059.11	791.35	878.17	1030.12	961.07	723.08	1044.52	974.5	1551.09	802.41
VRK1	265.87	420.68	379.04	368.65	316.37	473.41	82.87	242.88	139.07	167.9	111.21	105.15	54.72	165.57	27.44	70.01	102.25	57.08	190.34	136.19	105.89	151.22	265.87	108.14	314.17	102.25	134.3	253.23	177.53	246.28	80.57	248.0	163.28	131.51	164.42	142.01	152.28	114.36	346.29	175.07	88.26	111.21	149.12	78.89	279.14	149.12	191.67	291.04	236.21	81.71	164.42	148.09	249.73	187.71	147.06	96.68	34.26	52.45	61.25	93.35	90.77	152.28	92.05	476.71	66.65	76.17	226.54	37.59	85.22	50.98	57.89	44.25	83.45	48.18	262.2	718.08	162.14	759.08	379.04	343.89	441.64	567.1	400.71	400.71	836.53	241.19	204.07	231.32	271.48	253.23	119.26	214.27	193.01	493.56	371.22	265.87	170.25	239.52	189.02	303.44	181.28	186.4	305.55	151.22	206.94	271.48	339.14	525.39	346.29	616.37	244.57	165.57	1073.91	775.05
VRK2	412.0	703.28	595.34	493.56	483.38	1023.0	123.5	368.65	154.42	193.01	175.07	117.6	115.16	289.02	47.84	130.6	111.99	66.65	199.85	137.14	164.42	246.28	202.66	122.64	189.02	193.01	143.01	139.07	182.55	205.5	147.06	303.44	109.66	150.17	283.05	158.79	146.03	134.3	194.36	94.01	108.9	260.38	136.19	221.86	189.02	131.51	599.49	297.17	167.9	163.28	191.67	183.82	299.25	201.25	198.47	105.15	37.32	126.12	153.34	121.79	140.04	63.0	120.94	237.86	90.14	127.0	120.1	136.19	158.79	122.64	142.01	68.55	125.24	141.02	454.09	379.04	267.73	684.02	842.36	536.45	460.44	403.5	669.92	403.5	400.71	348.71	417.77	1605.83	417.77	348.71	447.82	363.56	371.22	480.04	336.79	802.41	325.29	490.14	193.01	450.94	339.14	303.44	571.05	267.73	293.07	426.57	490.14	466.88	366.09	503.95	368.65	305.55	591.22	224.97
WDR33	493.56	884.29	555.41	532.74	432.53	1183.45	144.01	624.99	336.79	438.59	339.14	220.32	248.0	325.29	246.28	293.07	305.55	264.03	265.87	281.09	293.07	368.65	351.14	358.54	423.61	346.29	426.57	241.19	426.57	267.73	334.46	486.75	444.72	305.55	500.46	387.02	414.87	218.79	387.02	258.57	262.2	387.02	260.38	457.25	409.15	309.83	629.35	470.14	209.84	318.57	341.51	316.37	356.05	395.18	336.79	309.83	275.28	414.87	307.69	406.31	406.31	473.41	511.0	320.8	323.03	348.71	381.68	567.1	376.41	703.28	336.79	511.0	341.51	409.15	616.37	575.03	417.77	389.72	1037.29	703.28	532.74	543.96	688.78	660.68	500.46	301.33	336.79	412.0	353.59	563.18	651.58	674.59	500.46	429.54	353.59	624.99	718.08	490.14	301.33	412.0	511.0	603.67	423.61	409.15	567.1	503.95	397.93	473.41	579.04	493.56	432.53	607.87	1508.65	723.08
WDR89	204.07	363.56	221.86	305.55	183.82	500.46	151.22	117.6	115.97	99.43	133.36	62.12	90.77	124.37	32.13	84.04	90.14	81.71	171.45	112.77	152.28	84.04	88.88	118.43	84.63	120.94	137.14	105.15	124.37	122.64	76.71	111.21	103.69	97.36	94.01	102.25	63.45	90.77	138.1	132.44	82.87	110.43	88.26	123.5	87.03	127.0	157.68	182.55	94.67	83.45	116.78	116.78	127.0	93.35	99.43	111.99	41.81	143.01	138.1	129.69	228.13	80.01	79.45	85.82	105.89	122.64	95.34	193.01	129.69	121.79	108.9	46.84	154.42	149.12	169.07	136.19	143.01	100.13	376.41	258.57	258.57	251.48	198.47	262.2	320.8	156.59	92.7	134.3	202.66	161.02	183.82	153.34	109.66	140.04	159.9	323.03	197.09	132.44	100.13	154.42	224.97	214.27	190.34	209.84	49.21	130.6	177.53	191.67	202.66	212.78	128.79	167.9	265.87	236.21
ZBED5	447.82	808.0	698.41	532.74	651.58	1508.65	79.45	718.08	358.54	371.22	327.56	189.02	202.66	384.34	117.6	223.41	201.25	197.09	256.78	191.67	244.57	251.48	176.29	81.71	281.09	214.27	244.57	164.42	142.01	255.0	122.64	376.41	351.14	118.43	228.13	167.9	120.1	178.77	161.02	144.01	111.99	246.28	127.0	334.46	387.02	195.72	189.02	518.15	157.68	224.97	226.54	220.32	297.17	291.04	147.06	187.71	37.85	102.25	129.69	126.12	265.87	111.99	169.07	371.22	136.19	198.47	143.01	122.64	78.34	237.86	143.01	29.91	162.14	88.88	599.49	547.75	620.67	493.56	1617.0	688.78	890.44	775.05	555.41	529.06	1111.82	463.65	460.44	642.59	698.41	486.75	483.38	909.17	579.04	583.07	361.04	947.83	791.35	463.65	351.14	555.41	753.83	866.07	435.55	759.08	454.09	693.58	490.14	684.02	466.88	743.43	473.41	483.38	954.43	476.71
ZFP14	85.82	108.9	80.57	56.68	57.08	193.01	13.83	84.04	43.32	36.27	37.05	27.64	18.43	40.36	15.45	28.45	28.45	30.12	15.0	22.92	17.9	22.43	16.88	7.4	37.32	15.68	55.49	15.56	23.76	31.22	7.22	36.53	34.51	13.83	53.57	23.76	46.5	21.63	42.11	42.11	10.96	66.18	22.75	45.85	30.56	19.53	21.63	62.56	13.03	31.22	22.26	35.76	33.3	34.51	25.72	21.94	8.38	8.78	16.51	33.54	16.27	10.0	34.51	24.99	20.56	24.28	16.39	21.32	26.1	33.78	27.05	13.12	8.65	29.7	28.65	74.58	57.89	46.84	137.14	77.25	70.51	77.79	57.08	63.0	64.8	27.44	33.3	68.55	50.98	24.46	59.97	49.21	42.71	38.95	28.24	60.82	71.5	30.34	34.02	40.64	72.01	60.39	19.97	42.41	80.57	72.52	40.64	84.04	35.76	67.12	29.91	80.57	194.36	44.57
ZFP30	74.06	232.94	159.9	175.07	120.94	236.21	4.1	60.39	49.91	36.53	36.53	17.25	26.86	68.07	18.97	17.51	18.43	14.35	18.03	29.06	22.92	39.5	18.03	3.5	17.0	23.25	55.89	7.11	19.68	28.86	8.06	54.72	22.92	11.04	40.64	15.0	30.34	21.78	2.18	2.56	11.13	72.52	15.22	54.33	22.75	21.94	28.86	57.49	10.16	43.02	20.86	24.99	35.25	47.5	3.06	24.63	6.46	10.55	24.99	16.63	23.42	34.26	10.79	32.36	63.89	40.07	22.59	22.59	42.41	43.94	52.45	6.46	42.11	3.59	120.1	82.29	67.12	74.06	186.4	90.14	154.42	90.77	102.25	62.12	209.84	21.47	39.79	28.86	58.3	101.54	87.03	46.18	47.5	98.04	44.89	96.68	81.14	35.25	12.09	68.55	85.82	105.15	52.45	55.1	143.01	44.57	48.18	8.45	40.36	111.99	47.84	78.89	403.5	69.03
ZKSCAN4	83.45	176.29	105.89	50.98	127.89	181.28	12.93	108.9	76.17	42.71	108.14	33.54	45.21	71.5	46.18	70.51	49.91	84.04	58.3	38.67	46.84	60.39	69.03	38.4	55.1	96.68	78.89	38.67	43.94	85.22	43.32	97.36	97.36	32.13	80.57	67.59	67.12	68.07	105.89	46.84	28.86	65.72	70.51	92.7	82.87	47.17	82.87	54.33	39.5	114.36	68.55	78.89	59.13	99.43	43.63	55.49	17.9	28.86	36.01	21.78	29.27	11.91	30.12	66.18	18.7	44.25	27.44	29.7	43.94	57.08	47.84	11.21	42.11	34.26	99.43	117.6	106.63	66.18	189.02	130.6	134.3	130.6	111.21	53.95	228.13	84.63	56.68	59.97	100.13	106.63	39.79	133.36	90.77	111.99	58.3	83.45	86.43	61.68	46.84	90.77	98.73	99.43	63.45	87.65	45.53	100.83	100.83	47.5	71.0	72.52	104.42	96.68	348.71	74.58
ZMYM4	400.71	866.07	500.46	473.41	563.18	753.83	138.1	323.03	204.07	170.25	191.67	131.51	132.44	237.86	53.19	151.22	175.07	142.01	164.42	131.51	154.42	236.21	123.5	132.44	153.34	164.42	100.83	108.14	94.67	186.4	84.04	271.48	128.79	99.43	172.65	157.68	156.59	125.24	136.19	100.13	110.43	271.48	104.42	198.47	180.02	127.0	400.71	395.18	157.68	149.12	145.02	148.09	183.82	189.02	151.22	141.02	49.91	152.28	141.02	102.25	150.17	69.03	113.56	173.85	97.36	82.87	102.97	107.38	154.42	136.19	157.68	48.87	88.26	142.01	348.71	175.07	264.03	248.0	1015.93	500.46	607.87	915.51	332.14	273.37	679.29	224.97	209.84	229.72	343.89	414.87	167.9	312.0	264.03	320.8	379.04	503.95	339.14	223.41	277.2	314.17	329.84	224.97	348.71	384.34	543.96	320.8	214.27	202.66	514.56	320.8	299.25	397.93	1857.6	397.93
ZMYM5	218.79	366.09	163.28	301.33	164.42	423.61	271.48	175.07	121.79	131.51	103.69	47.5	55.89	185.11	25.54	74.06	61.68	51.71	129.69	72.52	83.45	74.58	86.43	54.72	231.32	106.63	150.17	50.63	63.89	102.97	80.57	108.9	80.57	90.77	229.72	50.63	164.42	73.54	70.01	85.82	84.04	81.71	56.28	133.36	161.02	93.35	112.77	229.72	76.17	74.06	122.64	100.13	82.29	109.66	60.82	63.89	25.35	99.43	73.54	95.34	115.16	85.82	65.72	98.04	65.72	73.54	46.84	120.1	56.28	70.01	63.0	49.91	119.26	55.89	119.26	205.5	181.28	193.01	353.59	159.9	164.42	100.83	295.11	275.28	209.84	144.01	176.29	229.72	120.94	183.82	165.57	180.02	117.6	201.25	111.21	202.66	161.02	117.6	92.05	152.28	163.28	152.28	142.01	136.19	214.27	208.38	205.5	114.36	100.83	361.04	211.31	253.23	366.09	173.85
ZNF112	54.33	100.13	81.71	37.05	46.18	144.01	0.41	71.5	25.91	26.28	26.67	10.47	19.39	40.93	12.55	20.86	14.56	12.18	9.2	15.8	11.47	24.11	15.56	5.73	27.64	20.56	25.72	10.88	6.41	19.11	5.32	22.26	21.16	4.24	23.93	9.63	46.5	7.06	24.99	14.45	9.56	37.32	7.28	34.51	14.03	10.47	10.47	3.44	12.83	23.76	23.76	14.89	18.56	20.41	4.54	16.88	3.96	8.71	13.12	19.97	28.04	8.38	19.39	12.55	13.32	26.86	13.93	12.74	14.67	20.86	25.54	1.03	7.4	12.18	38.12	24.11	38.12	10.16	52.45	65.26	39.79	34.02	38.95	42.11	53.19	22.26	25.91	45.85	75.11	50.27	43.63	44.57	52.08	33.78	38.95	63.0	74.06	33.54	27.25	46.84	75.11	76.71	33.78	52.08	12.83	66.18	16.39	12.18	56.28	68.07	37.05	59.97	234.57	42.41
