	TCGA.LL.A440.01A.11R.A24H.07	TCGA.IG.A4QT.01A.21R.A260.31	TCGA.LN.A8I1.01A.11R.A36D.31	GTEX.N7MS.1626.SM.3LK5F	TCGA.A4.8518.01A.11R.2404.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.V9.A7HT.01A.11R.A33Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.13NZ9.1326.SM.5MR3V	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.86.A4P8.01A.11R.A24X.07	TCGA.55.8510.01A.11R.2403.07	TCGA.86.8671.01A.11R.2403.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.49.AAR0.01A.21R.A39D.07	TCGA.55.7728.01A.11R.2187.07	TCGA.44.7660.01A.11R.2066.07	TCGA.86.A4P7.01A.11R.A24X.07	TCGA.97.8552.01A.11R.2403.07	TCGA.53.A4EZ.01A.12R.A24X.07	TCGA.93.A4JO.01A.21R.A24X.07	TCGA.95.7043.01A.11R.1949.07	TCGA.55.7995.01A.11R.2187.07	TCGA.97.A4M2.01A.12R.A24X.07	TCGA.38.4632.11A.01R.1755.07	GTEX.P44H.1126.SM.48TBU	GTEX.QV44.0926.SM.2S1RH	GTEX.X5EB.0426.SM.46MVY	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.PWOO.0726.SM.2I3EB	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	TCGA.22.1016.01A.01R.0692.07	TCGA.18.3411.01A.01R.0980.07	TCGA.98.A53D.01A.32R.A262.07	TCGA.90.7964.01A.21R.2187.07	TCGA.21.1081.01A.01R.0692.07	TCGA.NC.A5HE.01A.11R.A26W.07	TCGA.77.8007.11A.01R.2187.07
PNISR	1697.45	6471.02	1870.53	220.32	205.5	759.08	780.44	387.02	150.17	995.0	190.34	518.15	101.54	291.04	130.6	256.78	387.02	161.02	651.58	426.57	878.17	325.29	301.33	660.68	379.04	723.08	563.18	543.96	273.37	346.29	1143.1	819.3	748.61	366.09	273.37	693.58	1111.82	651.58	460.44	830.75	583.07	507.46	299.25	66.18	299.25	111.21	723.08	480.04	432.53	384.34	329.84	438.59	426.57	414.87	450.94	351.14	336.79	738.29	665.29	392.44	371.22	397.93	2976.74	1295.13	1519.15	1977.24	1081.39	2032.85	1819.35	1583.71	2047.0	1268.46	1844.76	909.17	1628.26	2119.22	633.73	2061.24	713.11	1277.29	1216.75	866.07	457.25	961.07	1519.15	1733.13	426.57	1963.57	1286.18	1304.15	1950.0	1088.92
POFUT2	693.58	420.68	688.78	128.79	314.17	638.15	460.44	368.65	264.03	514.56	314.17	180.02	392.44	283.05	332.14	353.59	291.04	447.82	258.57	223.41	460.44	271.48	173.85	231.32	199.85	366.09	165.57	279.14	146.03	180.02	316.37	223.41	307.69	172.65	129.69	176.29	199.85	183.82	204.07	232.94	307.69	264.03	186.4	117.6	144.01	59.13	159.9	323.03	181.28	175.07	224.97	220.32	144.01	191.67	166.73	371.22	166.73	500.46	208.38	255.0	223.41	161.02	733.19	559.28	575.03	497.0	540.19	551.56	327.56	802.41	1081.39	642.59	830.75	299.25	1135.2	748.61	264.03	813.63	595.34	884.29	283.05	256.78	483.38	379.04	376.41	503.95	264.03	934.76	444.72	802.41	384.34	450.94
POLM	480.04	791.35	320.8	128.79	137.14	674.59	397.93	392.44	162.14	447.82	215.77	283.05	255.0	169.07	329.84	438.59	420.68	379.04	329.84	273.37	262.2	248.0	236.21	287.01	242.88	441.64	341.51	368.65	143.01	171.45	525.39	285.03	312.0	307.69	249.73	301.33	198.47	269.6	307.69	289.02	258.57	226.54	201.25	131.51	124.37	63.45	205.5	178.77	145.02	241.19	201.25	186.4	182.55	181.28	204.07	183.82	136.19	381.68	157.68	176.29	218.79	127.0	669.92	603.67	536.45	429.54	397.93	633.73	547.75	429.54	616.37	336.79	647.07	218.79	305.55	587.13	170.25	543.96	511.0	638.15	423.61	299.25	412.0	466.88	260.38	301.33	161.02	400.71	420.68	463.65	480.04	239.52
PRDM15	98.04	314.17	127.0	33.78	18.56	46.5	42.11	52.45	17.51	63.89	31.0	29.06	32.36	40.93	46.18	36.79	36.53	32.36	56.68	60.39	77.79	34.51	33.06	52.45	46.84	79.45	35.25	38.12	157.68	35.5	69.03	95.34	77.25	23.76	40.64	31.22	57.49	35.0	48.52	68.55	69.52	45.85	30.34	16.15	21.78	10.55	25.91	47.17	30.56	18.84	13.12	30.34	33.54	18.03	26.28	50.98	11.38	39.22	19.11	23.59	18.97	41.22	107.38	104.42	120.94	89.51	96.68	110.43	99.43	153.34	91.41	87.65	153.34	53.57	122.64	146.03	29.48	115.16	62.12	78.34	82.29	85.82	74.58	72.01	121.79	108.14	31.67	118.43	130.6	170.25	87.65	43.94
PRPF39	507.46	909.17	718.08	96.01	96.01	264.03	255.0	115.97	60.82	412.0	75.64	191.67	33.06	165.57	45.53	106.63	125.24	74.06	334.46	155.5	239.52	123.5	126.12	246.28	156.59	318.57	199.85	182.55	143.01	143.01	260.38	176.29	202.66	140.04	111.21	212.78	244.57	120.94	195.72	251.48	244.57	135.24	134.3	27.64	115.97	47.17	140.04	144.01	111.21	150.17	134.3	104.42	84.63	127.0	136.19	161.02	73.03	211.31	144.01	142.01	103.69	92.05	559.28	647.07	514.56	466.88	371.22	563.18	599.49	555.41	429.54	921.88	473.41	325.29	511.0	500.46	201.25	348.71	320.8	329.84	518.15	177.53	214.27	264.03	303.44	420.68	287.01	616.37	329.84	351.14	361.04	271.48
PRPF4B	674.59	988.12	1030.12	248.0	183.82	343.89	356.05	325.29	127.89	579.04	138.1	327.56	59.97	332.14	120.1	211.31	293.07	173.85	353.59	264.03	460.44	376.41	190.34	271.48	400.71	285.03	224.97	232.94	285.03	180.02	595.34	343.89	406.31	246.28	287.01	356.05	679.29	212.78	536.45	353.59	417.77	351.14	295.11	85.22	202.66	171.45	279.14	327.56	346.29	237.86	435.55	185.11	194.36	339.14	241.19	260.38	178.77	529.06	297.17	249.73	167.9	242.88	884.29	567.1	629.35	698.41	616.37	497.0	679.29	802.41	688.78	651.58	693.58	540.19	775.05	802.41	457.25	1313.23	656.11	647.07	674.59	500.46	358.54	547.75	1001.93	808.0	283.05	753.83	651.58	1051.79	791.35	703.28
PRR12	371.22	497.0	444.72	107.38	111.21	185.11	122.64	246.28	140.04	212.78	166.73	152.28	229.72	165.57	237.86	190.34	256.78	234.57	116.78	100.83	167.9	111.99	90.14	94.67	156.59	126.12	80.01	87.03	62.12	59.55	116.78	120.1	133.36	105.89	77.79	150.17	197.09	45.85	144.01	87.03	156.59	123.5	84.63	53.19	67.12	32.82	70.01	49.56	40.93	80.57	62.12	81.14	49.91	74.06	50.63	80.57	129.69	70.01	108.14	75.11	36.27	64.8	392.44	275.28	353.59	220.32	186.4	316.37	379.04	339.14	269.6	209.84	361.04	392.44	281.09	297.17	94.67	295.11	312.0	587.13	301.33	212.78	277.2	260.38	255.0	363.56	130.6	140.04	536.45	514.56	260.38	148.09
QRICH1	1073.91	1487.87	884.29	395.18	507.46	842.36	743.43	518.15	575.03	872.1	503.95	587.13	507.46	591.22	764.36	612.11	693.58	723.08	559.28	466.88	583.07	575.03	400.71	536.45	698.41	629.35	429.54	507.46	423.61	412.0	647.07	507.46	802.41	503.95	473.41	780.44	802.41	460.44	813.63	555.41	684.02	429.54	511.0	358.54	353.59	346.29	373.81	473.41	638.15	295.11	460.44	295.11	414.87	429.54	301.33	447.82	325.29	583.07	356.05	320.8	417.77	289.02	1250.98	1030.12	1081.39	1059.11	813.63	1096.5	1073.91	1001.93	1119.56	921.88	1378.57	486.75	780.44	1159.07	642.59	1594.73	688.78	1081.39	651.58	921.88	854.13	1096.5	1447.15	1183.45	457.25	1037.29	872.1	1191.69	738.29	842.36
RAI1	444.72	248.0	547.75	69.52	215.77	223.41	142.01	248.0	190.34	223.41	251.48	195.72	223.41	125.24	214.27	217.27	277.2	181.28	199.85	78.89	186.4	70.51	63.45	131.51	117.6	183.82	96.01	106.63	39.5	97.36	75.11	88.88	78.89	58.71	130.6	119.26	60.82	106.63	154.42	131.51	232.94	90.77	67.59	72.52	111.21	50.63	68.07	51.35	97.36	133.36	107.38	92.7	106.63	105.89	74.58	144.01	45.21	105.15	124.37	102.25	115.16	36.79	327.56	400.71	348.71	309.83	366.09	444.72	281.09	376.41	529.06	186.4	376.41	470.14	620.67	373.81	114.36	265.87	139.07	392.44	412.0	189.02	293.07	176.29	111.99	356.05	228.13	521.76	389.72	497.0	183.82	195.72
RANBP9	551.56	743.43	974.5	381.68	320.8	303.44	239.52	379.04	264.03	336.79	246.28	287.01	181.28	406.31	309.83	239.52	397.93	191.67	301.33	329.84	450.94	473.41	269.6	384.34	529.06	176.29	215.77	299.25	371.22	381.68	356.05	435.55	371.22	348.71	435.55	379.04	529.06	236.21	392.44	353.59	348.71	332.14	303.44	194.36	241.19	429.54	265.87	423.61	249.73	358.54	258.57	281.09	358.54	253.23	395.18	376.41	309.83	255.0	412.0	381.68	309.83	406.31	529.06	490.14	525.39	521.76	536.45	400.71	507.46	819.3	507.46	674.59	563.18	525.39	785.88	599.49	507.46	1008.9	497.0	463.65	353.59	414.87	536.45	406.31	1167.14	791.35	279.14	595.34	629.35	1359.57	703.28	669.92
RASA2	191.67	490.14	195.72	31.0	44.25	88.88	88.26	89.51	45.53	110.43	29.48	64.8	19.53	43.32	47.84	34.75	104.42	36.53	59.97	39.5	58.71	51.71	26.47	60.82	44.89	49.91	28.04	42.11	27.64	24.99	45.85	38.67	40.07	32.82	23.59	75.11	77.25	30.56	55.89	76.71	83.45	61.68	28.24	18.43	42.41	41.81	75.64	67.12	50.27	40.07	62.56	40.07	52.08	35.25	63.0	66.18	34.02	91.41	62.56	55.89	66.18	38.12	218.79	176.29	204.07	194.36	85.82	224.97	208.38	185.11	137.14	249.73	175.07	88.88	334.46	195.72	140.04	387.02	128.79	124.37	162.14	111.99	87.03	119.26	175.07	181.28	59.13	363.56	115.97	271.48	182.55	135.24
RBBP6	854.13	1159.07	1447.15	209.84	214.27	376.41	647.07	371.22	303.44	591.22	205.5	400.71	231.32	215.77	169.07	299.25	316.37	236.21	323.03	395.18	368.65	361.04	323.03	277.2	435.55	277.2	283.05	231.32	373.81	218.79	432.53	323.03	348.71	277.2	265.87	447.82	748.61	218.79	423.61	358.54	366.09	470.14	249.73	133.36	305.55	351.14	387.02	376.41	384.34	373.81	249.73	336.79	371.22	275.28	423.61	185.11	279.14	728.11	395.18	432.53	260.38	283.05	642.59	457.25	688.78	599.49	842.36	567.1	624.99	748.61	660.68	599.49	447.82	583.07	988.12	743.43	400.71	743.43	417.77	591.22	473.41	409.15	251.48	483.38	1023.0	1066.48	323.03	836.53	1119.56	1143.1	896.64	514.56
RBM26	493.56	796.86	361.04	141.02	169.07	256.78	236.21	212.78	52.45	603.67	85.82	281.09	34.51	204.07	91.41	105.15	201.25	75.64	336.79	156.59	195.72	253.23	165.57	221.86	249.73	267.73	204.07	204.07	183.82	159.9	341.51	251.48	232.94	155.5	132.44	307.69	395.18	223.41	241.19	246.28	309.83	217.27	154.42	31.9	148.09	73.54	105.89	228.13	176.29	144.01	217.27	111.99	98.04	132.44	131.51	176.29	142.01	318.57	209.84	141.02	143.01	118.43	660.68	336.79	447.82	629.35	366.09	414.87	693.58	480.04	373.81	285.03	366.09	470.14	563.18	540.19	334.46	629.35	346.29	529.06	470.14	423.61	368.65	400.71	669.92	493.56	480.04	441.64	325.29	866.07	343.89	318.57
RCOR3	764.36	813.63	575.03	334.46	307.69	412.0	312.0	320.8	269.6	470.14	239.52	356.05	172.65	406.31	305.55	256.78	389.72	217.27	441.64	381.68	536.45	323.03	187.71	473.41	500.46	728.11	373.81	202.66	214.27	190.34	521.76	395.18	571.05	379.04	262.2	769.69	802.41	332.14	848.22	497.0	438.59	470.14	251.48	159.9	157.68	97.36	273.37	251.48	273.37	429.54	441.64	195.72	143.01	217.27	258.57	387.02	163.28	327.56	158.79	209.84	195.72	193.01	941.27	587.13	497.0	703.28	633.73	743.43	854.13	769.69	587.13	563.18	500.46	480.04	579.04	713.11	358.54	1286.18	309.83	669.92	493.56	454.09	432.53	532.74	854.13	785.88	532.74	371.22	620.67	842.36	1037.29	438.59
REV1	490.14	753.83	1127.35	164.42	91.41	329.84	435.55	223.41	113.56	591.22	111.21	214.27	71.0	206.94	111.21	162.14	262.2	133.36	239.52	182.55	277.2	175.07	134.3	242.88	239.52	258.57	124.37	175.07	112.77	125.24	273.37	212.78	275.28	148.09	130.6	289.02	432.53	112.77	277.2	236.21	253.23	169.07	167.9	65.72	99.43	105.89	265.87	303.44	248.0	353.59	273.37	177.53	86.43	269.6	156.59	190.34	166.73	366.09	218.79	163.28	142.01	123.5	764.36	543.96	543.96	733.19	536.45	603.67	616.37	723.08	733.19	775.05	808.0	429.54	872.1	909.17	339.14	884.29	341.51	587.13	400.71	490.14	307.69	802.41	860.08	878.17	346.29	656.11	674.59	738.29	486.75	476.71
RP11-159D12.5	100.83	138.1	126.12	12.93	29.48	64.8	138.1	38.67	13.42	156.59	43.32	60.39	23.08	22.92	8.58	52.45	20.11	23.25	77.25	14.67	43.02	14.14	15.11	51.71	59.55	11.21	82.29	76.71	52.82	78.89	67.12	75.11	66.18	31.9	60.82	4.98	131.51	97.36	65.72	62.56	68.55	41.52	49.56	8.32	14.45	8.51	32.13	27.25	45.53	28.65	57.08	50.63	37.32	15.8	33.3	24.81	12.83	104.42	18.16	7.28	42.71	7.46	67.12	120.94	69.03	152.28	182.55	273.37	185.11	107.38	104.42	96.68	201.25	201.25	239.52	127.0	28.45	234.57	115.97	193.01	65.26	46.5	145.02	30.12	373.81	138.1	13.72	141.02	281.09	139.07	132.44	93.35
RP11-231C14.4	547.75	1605.83	361.04	43.32	33.3	521.76	211.31	145.02	28.65	934.76	82.29	41.52	59.97	178.77	54.33	134.3	312.0	70.51	189.02	81.71	125.24	108.9	99.43	187.71	158.79	279.14	111.99	31.67	136.19	98.73	161.02	220.32	165.57	96.68	120.1	67.59	511.0	21.94	260.38	195.72	171.45	211.31	87.65	19.11	29.7	20.71	81.14	327.56	80.57	198.47	126.12	84.63	132.44	127.0	61.68	63.89	76.17	693.58	163.28	112.77	50.27	45.21	1304.15	1369.04	547.75	1073.91	348.71	1268.46	1081.39	1457.23	934.76	878.17	1059.11	208.38	1167.14	599.49	81.14	1175.27	563.18	954.43	536.45	253.23	629.35	525.39	486.75	591.22	181.28	555.41	830.75	1096.5	759.08	470.14
RP11-268J15.5	339.14	127.89	165.57	23.76	31.0	57.89	40.07	44.57	6.52	75.64	17.0	48.52	10.79	10.24	15.34	28.24	31.67	39.5	24.99	19.39	48.87	14.89	6.67	11.82	7.17	7.88	10.79	29.7	4.78	20.86	9.34	19.68	33.78	13.42	9.85	12.83	11.21	13.22	23.76	45.53	22.1	5.82	2.12	1.43	3.2	1.3	7.63	6.46	5.19	3.53	7.11	4.24	7.75	4.86	12.45	6.36	6.62	7.82	24.63	4.66	5.77	2.92	181.28	114.36	63.0	194.36	64.8	202.66	128.79	116.78	100.83	72.52	121.79	123.5	138.1	147.06	38.4	500.46	88.88	131.51	111.21	42.71	134.3	66.18	88.88	181.28	6.01	149.12	70.01	551.56	58.71	40.64
RP11-468E2.4	24.28	35.25	34.02	2.61	2.56	8.65	7.75	5.19	2.81	14.24	1.91	5.23	6.41	3.86	5.32	7.28	8.32	5.87	8.06	6.01	12.45	6.89	3.56	4.58	3.47	31.67	8.0	6.26	8.25	7.63	6.94	7.22	4.35	7.51	3.92	8.78	9.13	0.96	6.94	12.09	6.78	8.58	2.36	3.86	1.3	5.54	9.56	5.11	13.32	4.74	5.45	4.39	4.54	6.36	2.27	3.56	5.54	5.68	12.55	5.15	2.18	8.19	50.27	27.84	36.01	24.99	22.92	48.87	29.48	56.28	27.44	42.71	25.72	12.74	31.0	28.24	5.19	36.27	21.94	23.25	8.32	3.99	13.22	10.71	11.64	23.59	7.57	23.25	18.43	13.12	20.71	17.51
RP9	307.69	551.56	348.71	246.28	166.73	239.52	429.54	260.38	78.34	231.32	84.04	262.2	88.88	149.12	82.87	248.0	237.86	186.4	366.09	228.13	379.04	297.17	155.5	285.03	217.27	281.09	420.68	316.37	118.43	155.5	241.19	177.53	239.52	237.86	142.01	256.78	265.87	490.14	271.48	177.53	309.83	199.85	264.03	97.36	145.02	113.56	218.79	242.88	80.01	209.84	189.02	176.29	135.24	206.94	248.0	228.13	144.01	253.23	269.6	181.28	242.88	175.07	320.8	476.71	417.77	426.57	529.06	480.04	660.68	420.68	454.09	521.76	414.87	518.15	295.11	348.71	265.87	343.89	454.09	381.68	599.49	343.89	162.14	209.84	224.97	376.41	361.04	454.09	336.79	595.34	392.44	293.07
RTEL1	229.72	309.83	265.87	40.07	135.24	220.32	158.79	178.77	82.29	214.27	107.38	90.14	215.77	112.77	204.07	137.14	214.27	181.28	206.94	121.79	105.89	285.03	186.4	244.57	151.22	191.67	287.01	279.14	82.87	158.79	540.19	339.14	189.02	181.28	126.12	220.32	110.43	208.38	171.45	172.65	183.82	137.14	182.55	120.94	53.95	81.71	70.51	171.45	110.43	86.43	149.12	88.26	85.22	142.01	74.06	124.37	67.59	129.69	69.52	236.21	142.01	73.03	283.05	348.71	265.87	209.84	358.54	368.65	283.05	341.51	332.14	201.25	444.72	246.28	218.79	251.48	110.43	269.6	186.4	248.0	193.01	134.3	323.03	154.42	139.07	171.45	48.87	262.2	237.86	358.54	177.53	139.07
RTEL1-TNFRSF6B	124.37	262.2	269.6	1.64	14.67	130.6	84.63	41.52	14.24	112.77	21.32	27.05	10.47	12.09	19.97	63.0	36.27	50.27	48.52	40.64	26.28	27.44	17.25	62.12	39.5	33.78	52.82	39.5	18.03	45.53	87.65	26.67	65.72	31.45	25.35	21.63	43.02	9.78	51.71	43.94	53.57	32.36	31.22	29.48	8.71	13.03	14.78	30.34	26.47	29.06	98.73	37.32	22.75	17.64	11.13	33.54	8.78	57.49	12.0	26.67	25.17	14.03	237.86	244.57	151.22	152.28	158.79	297.17	157.68	194.36	301.33	155.5	281.09	54.72	191.67	239.52	14.56	373.81	43.32	70.01	36.27	51.71	87.65	54.72	85.82	87.03	19.39	161.02	75.11	115.97	131.51	77.79
RXRB	878.17	1143.1	1066.48	532.74	389.72	633.73	507.46	591.22	463.65	633.73	555.41	417.77	638.15	529.06	603.67	624.99	579.04	620.67	507.46	417.77	583.07	842.36	400.71	603.67	1617.0	579.04	460.44	599.49	395.18	454.09	1143.1	559.28	988.12	511.0	733.19	1127.35	1242.34	591.22	1175.27	563.18	497.0	603.67	595.34	409.15	400.71	157.68	454.09	595.34	417.77	423.61	397.93	406.31	503.95	476.71	351.14	414.87	409.15	1037.29	454.09	503.95	497.0	281.09	1191.69	941.27	1023.0	1088.92	1001.93	1051.79	785.88	1208.34	988.12	1073.91	1721.16	559.28	902.89	1167.14	543.96	1572.76	808.0	1427.22	693.58	785.88	743.43	878.17	921.88	1008.9	312.0	848.22	703.28	866.07	674.59	713.11
S100PBP	409.15	620.67	346.29	67.12	74.06	256.78	212.78	191.67	87.65	228.13	84.04	154.42	73.03	159.9	140.04	177.53	193.01	132.44	171.45	143.01	226.54	87.03	77.25	114.36	166.73	64.34	130.6	68.55	56.68	76.17	237.86	157.68	102.25	79.45	124.37	164.42	242.88	204.07	126.12	170.25	172.65	178.77	133.36	30.78	63.0	34.75	88.88	130.6	83.45	138.1	107.38	100.13	115.16	88.88	95.34	103.69	62.56	146.03	110.43	100.13	86.43	67.59	551.56	423.61	547.75	591.22	353.59	389.72	376.41	507.46	423.61	323.03	444.72	191.67	486.75	536.45	164.42	463.65	423.61	460.44	420.68	305.55	356.05	301.33	332.14	420.68	255.0	281.09	414.87	624.99	332.14	287.01
SF3A2	1508.65	3103.19	3540.14	457.25	476.71	902.89	759.08	1340.84	733.19	878.17	909.17	854.13	1175.27	728.11	854.13	1225.22	974.5	1340.84	1183.45	698.41	466.88	1059.11	1127.35	1023.0	819.3	2664.15	1023.0	1167.14	457.25	698.41	651.58	1023.0	2855.44	698.41	1304.15	967.76	1030.12	1233.75	2004.85	813.63	1151.06	1233.75	759.08	583.07	417.77	351.14	493.56	759.08	759.08	429.54	896.64	409.15	567.1	603.67	518.15	480.04	368.65	1135.2	591.22	540.19	616.37	305.55	1519.15	1508.65	1617.0	995.0	1950.0	2224.63	1794.29	1508.65	1322.37	1427.22	1936.53	902.89	1250.98	1250.98	785.88	2816.11	551.56	1540.37	1111.82	1388.16	1104.13	1096.5	1551.09	785.88	575.03	1437.15	1259.69	1551.09	1233.75	830.75
SFPQ	5633.22	5555.65	6037.61	1991.0	1477.58	3280.18	4066.71	2417.67	1340.84	4388.98	1388.16	2739.08	1216.75	3039.3	1844.76	2417.67	2209.26	2627.46	2573.36	1832.01	2935.74	2609.3	1733.13	1781.89	2816.11	1857.6	2627.46	1697.45	1369.04	1832.01	2664.15	2537.92	2119.22	1857.6	2061.24	2591.27	5183.54	4239.45	2935.74	2573.36	2701.35	1697.45	2061.24	723.08	1111.82	1769.57	4010.71	3190.46	2758.13	2075.59	2520.38	1551.09	2178.83	2319.15	1561.89	2163.77	1397.83	3146.52	1870.53	1304.15	1167.14	1175.27	5329.3	4607.24	5292.48	4802.93	6887.62	4836.35	22535.88	4869.99	5555.65	5006.93	5672.41	4268.94	3901.01	5255.91	2163.77	5791.62	2777.33	3928.15	4419.52	3103.19	2119.22	2935.74	4937.99	6561.36	3190.46	7230.1	6745.86	8363.13	5292.48	2739.08
SH3BP5L	521.76	473.41	563.18	332.14	273.37	327.56	336.79	400.71	228.13	363.56	285.03	244.57	251.48	253.23	281.09	389.72	373.81	536.45	403.5	361.04	381.68	500.46	211.31	466.88	511.0	669.92	507.46	420.68	197.09	312.0	854.13	603.67	503.95	470.14	426.57	559.28	679.29	332.14	708.18	441.64	373.81	295.11	368.65	228.13	204.07	163.28	161.02	251.48	195.72	191.67	141.02	170.25	265.87	329.84	376.41	224.97	189.02	309.83	435.55	199.85	173.85	260.38	373.81	511.0	466.88	409.15	444.72	447.82	825.0	483.38	417.77	158.79	543.96	329.84	476.71	454.09	253.23	463.65	381.68	638.15	412.0	363.56	358.54	320.8	131.51	571.05	395.18	318.57	417.77	525.39	480.04	271.48
SP140L	327.56	967.76	387.02	49.91	130.6	264.03	275.28	297.17	158.79	381.68	149.12	96.01	125.24	155.5	189.02	173.85	220.32	138.1	170.25	212.78	713.11	346.29	185.11	381.68	351.14	242.88	194.36	295.11	260.38	89.51	366.09	412.0	142.01	159.9	239.52	43.94	493.56	269.6	159.9	339.14	341.51	334.46	246.28	99.43	122.64	56.28	149.12	206.94	281.09	127.89	232.94	139.07	156.59	189.02	165.57	291.04	152.28	346.29	285.03	139.07	454.09	95.34	674.59	432.53	642.59	435.55	571.05	921.88	656.11	480.04	473.41	571.05	607.87	127.89	866.07	514.56	256.78	796.86	529.06	454.09	332.14	262.2	406.31	332.14	647.07	417.77	285.03	381.68	358.54	460.44	599.49	429.54
SPDYE1	5.36	23.08	3.53	0.0	0.84	6.26	2.43	1.71	0.0	5.96	0.47	1.3	0.0	1.71	1.87	1.38	1.89	1.04	2.51	1.38	7.06	1.71	1.36	2.29	1.83	3.11	3.82	4.78	1.36	3.63	4.54	5.59	0.79	2.2	0.0	2.39	4.28	1.04	1.6	1.95	3.92	0.0	2.89	0.88	0.97	0.44	1.53	3.72	0.36	2.07	2.48	2.34	1.46	1.71	1.28	2.23	0.06	5.36	3.2	1.64	1.62	0.14	9.06	8.06	4.35	6.01	7.0	13.62	26.86	8.13	10.24	7.46	23.42	6.78	11.21	20.56	2.46	5.96	3.5	12.09	13.93	5.5	8.51	8.38	4.74	7.82	2.27	3.32	4.13	19.11	4.62	5.23
SRRM1	1437.15	2148.82	1104.13	579.04	384.34	684.02	612.11	511.0	483.38	884.29	414.87	679.29	325.29	674.59	708.18	473.41	961.07	414.87	620.67	400.71	738.29	532.74	629.35	551.56	547.75	392.44	301.33	307.69	353.59	406.31	503.95	457.25	305.55	543.96	361.04	743.43	1313.23	470.14	400.71	583.07	454.09	483.38	426.57	403.5	486.75	483.38	454.09	514.56	500.46	460.44	1143.1	397.93	389.72	463.65	395.18	848.22	571.05	738.29	483.38	351.14	368.65	450.94	1709.26	1073.91	1277.29	981.29	974.5	1313.23	1233.75	1119.56	1769.57	1191.69	1135.2	647.07	1191.69	1096.5	698.41	1697.45	878.17	1183.45	896.64	723.08	769.69	825.0	1639.59	1870.53	624.99	1417.35	1540.37	3018.3	748.61	848.22
