	TCGA.A8.A081.01A.11R.A00Z.07	TCGA.C8.A278.01A.11R.A169.07	TCGA.BH.A0DL.01A.11R.A115.07	TCGA.AR.A1AJ.01A.21R.A12P.07	TCGA.D8.A1JG.01B.11R.A13Q.07	TCGA.A2.A0CM.01A.31R.A034.07	TCGA.XK.AAIV.01A.11R.A41O.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.YL.A9WY.01A.11R.A41O.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.V1.A9O5.01A.11R.A41O.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5751.01A.11R.1580.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.ZG.A9KY.01A.11R.A41O.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.ZG.A9L0.01A.11R.A41O.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.HC.A9TH.01A.11R.A41O.07	TCGA.CH.5754.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.ZG.A8QW.01A.11R.A37L.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.EJ.5499.01A.01R.1580.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.M7.A725.01A.12R.A32O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.CH.5769.11A.01R.1580.07	TCGA.HC.8259.11A.01R.2263.07
RRM1	1594.73	921.88	1073.91	1457.23	1427.22	961.07	890.44	490.14	587.13	954.43	503.95	466.88	698.41	896.64	563.18	642.59	514.56	567.1	591.22	836.53	642.59	587.13	518.15	559.28	521.76	540.19	559.28	595.34	532.74	373.81	575.03	521.76	476.71	543.96	543.96	708.18	759.08	466.88	511.0	633.73	444.72	738.29	941.27	536.45	503.95	599.49	679.29	679.29	470.14	426.57	819.3	599.49	559.28	620.67	854.13	629.35	511.0	848.22	486.75	638.15	543.96	738.29	738.29	563.18	579.04	1081.39	591.22	547.75	603.67	633.73	651.58	679.29	928.3	647.07	500.46	490.14	547.75	426.57	460.44	551.56	551.56	656.11	400.71	848.22	414.87	529.06	612.11	567.1	612.11	1023.0	587.13
SAMD9	409.15	376.41	1639.59	830.75	693.58	346.29	97.36	10.63	18.84	68.07	4.94	15.68	19.82	49.91	35.0	27.64	23.25	89.51	32.59	54.33	11.82	36.01	16.03	18.97	22.59	21.16	28.04	20.41	14.14	8.19	71.0	17.0	19.11	13.72	18.29	58.3	83.45	19.11	31.67	4.24	22.75	77.79	260.38	14.78	9.2	17.25	17.25	20.11	16.27	70.01	46.5	27.64	18.7	36.79	21.32	4.7	15.22	78.89	17.64	20.41	12.36	64.34	115.16	19.11	11.64	29.06	9.2	13.93	4.9	49.21	31.45	13.22	43.02	28.24	18.29	10.96	23.76	19.39	13.93	22.1	18.43	30.78	12.74	83.45	9.78	7.82	24.11	26.67	20.11	18.43	26.28
SAMD9L	403.5	392.44	733.19	1551.09	1225.22	638.15	209.84	20.56	30.34	115.16	6.94	13.52	37.05	61.25	45.21	26.67	41.52	122.64	72.52	111.21	24.46	65.26	35.0	35.25	13.22	43.32	32.36	30.78	24.81	14.14	137.14	36.27	14.03	14.03	24.81	63.89	123.5	47.84	57.89	2.01	17.77	113.56	336.79	33.3	10.0	31.45	29.27	36.53	22.75	102.97	82.29	38.67	19.53	50.27	31.67	8.58	27.84	144.01	29.48	33.78	13.62	100.13	153.34	24.63	21.63	50.98	7.82	19.68	9.85	100.13	65.72	18.56	59.97	33.06	34.75	17.64	54.72	50.98	23.93	27.25	38.4	28.65	20.26	96.01	14.14	15.8	34.51	31.9	31.9	30.56	38.4
SAMHD1	1119.56	1697.45	1277.29	2997.45	2004.85	1313.23	934.76	199.85	295.11	693.58	99.43	189.02	348.71	521.76	309.83	299.25	412.0	500.46	397.93	915.51	234.57	285.03	226.54	237.86	183.82	376.41	289.02	201.25	295.11	129.69	967.76	277.2	178.77	146.03	197.09	647.07	921.88	154.42	366.09	85.22	295.11	808.0	981.29	187.71	150.17	323.03	253.23	281.09	186.4	363.56	497.0	327.56	208.38	435.55	332.14	154.42	265.87	647.07	191.67	231.32	125.24	1183.45	1561.89	180.02	209.84	665.29	161.02	176.29	146.03	579.04	490.14	143.01	624.99	334.46	205.5	232.94	323.03	260.38	118.43	223.41	264.03	327.56	135.24	366.09	209.84	170.25	214.27	320.8	260.38	303.44	329.84
SGOL1	246.28	175.07	124.37	236.21	185.11	320.8	67.59	6.26	3.76	20.86	10.55	3.69	49.91	23.76	9.85	5.63	6.41	49.56	4.74	36.01	6.67	8.58	5.87	9.13	8.92	8.51	3.76	7.57	8.19	3.14	16.88	3.2	3.72	11.64	9.06	18.84	61.68	6.31	15.91	27.44	9.93	25.91	167.9	4.13	8.45	13.03	13.62	6.73	6.89	9.34	60.39	12.74	10.39	11.55	40.36	22.92	9.93	29.27	5.82	22.43	3.06	45.21	59.13	9.85	7.11	37.05	11.64	10.96	6.78	19.39	32.82	15.34	43.94	15.22	6.57	3.89	7.46	10.47	18.84	8.78	8.65	7.94	5.77	31.67	8.06	8.78	3.47	3.92	2.1	83.45	4.86
SGOL2	224.97	186.4	113.56	193.01	173.85	199.85	39.5	17.13	17.9	64.8	21.16	15.11	67.59	56.68	27.44	22.59	22.75	88.88	24.99	59.55	22.1	19.11	19.97	21.78	25.54	18.84	14.56	24.46	18.03	18.29	41.22	16.75	19.25	25.91	25.72	32.36	60.82	25.91	34.75	25.72	21.01	50.27	176.29	19.68	18.56	25.35	35.25	25.72	25.54	24.46	68.07	36.01	30.34	27.84	136.19	35.0	23.76	42.11	25.72	60.39	22.59	53.19	79.45	22.92	34.26	57.08	19.53	33.54	31.22	60.82	44.25	30.12	61.25	37.05	26.67	15.0	20.86	21.32	37.85	28.24	21.94	32.59	12.93	63.0	23.25	27.44	12.74	36.01	15.56	66.18	17.64
SHCBP1	163.28	125.24	241.19	356.05	309.83	242.88	161.02	6.21	6.94	23.59	13.03	3.29	59.13	28.65	10.96	8.38	13.72	49.21	7.4	65.72	13.03	6.62	10.0	10.79	9.41	10.55	12.36	13.83	11.47	10.24	32.82	7.88	6.89	7.06	8.58	20.26	123.5	20.11	28.24	50.63	11.04	37.85	108.9	18.43	5.45	9.85	17.0	13.62	13.72	14.35	77.25	12.55	12.64	18.29	37.05	53.19	11.38	39.22	14.56	19.97	4.35	57.08	80.01	11.64	13.83	57.89	16.88	13.93	12.09	23.08	78.34	26.67	55.49	21.78	13.22	8.32	8.99	14.24	24.99	10.47	5.41	15.34	3.41	77.79	18.56	13.93	2.63	6.06	0.49	81.71	6.01
SKA1	122.64	147.06	131.51	246.28	164.42	191.67	37.32	6.94	3.99	12.93	8.71	6.62	35.0	28.04	10.79	9.78	8.13	37.85	11.13	22.59	10.96	6.16	4.21	14.67	22.26	8.92	4.35	11.91	5.28	14.03	17.64	5.32	5.19	5.63	17.77	21.32	52.45	9.56	15.22	26.1	10.16	19.97	85.82	5.73	4.86	5.82	18.7	9.93	8.19	7.75	65.26	23.93	12.74	18.16	45.85	16.63	15.11	29.48	19.53	39.22	1.5	14.56	40.07	5.5	5.96	63.0	10.63	10.55	11.38	17.25	38.4	12.27	47.17	29.91	7.0	6.67	9.13	13.62	11.73	9.41	5.5	13.22	4.03	19.25	7.22	10.47	2.1	4.7	6.41	61.68	3.72
SKP2	208.38	275.28	264.03	493.56	529.06	269.6	241.19	45.85	87.03	105.15	37.05	68.07	108.9	164.42	85.82	57.08	75.64	164.42	125.24	138.1	47.84	94.01	63.45	65.26	96.68	64.8	80.01	68.55	76.17	71.5	119.26	81.71	60.39	54.72	101.54	100.13	299.25	53.19	129.69	44.25	48.18	124.37	248.0	59.55	69.52	94.67	78.89	52.45	88.26	66.18	226.54	71.5	93.35	100.13	232.94	51.71	48.52	128.79	58.71	63.45	79.45	132.44	187.71	81.14	70.01	108.9	51.71	85.82	92.7	120.94	131.51	57.89	202.66	113.56	52.82	57.08	58.71	71.0	88.88	61.68	94.67	62.12	73.54	80.57	80.01	84.63	85.22	94.01	64.34	214.27	98.73
TDP1	400.71	447.82	343.89	450.94	389.72	403.5	384.34	121.79	161.02	209.84	185.11	137.14	148.09	287.01	187.71	136.19	193.01	295.11	125.24	223.41	149.12	185.11	162.14	147.06	165.57	212.78	125.24	169.07	178.77	150.17	244.57	140.04	151.22	134.3	183.82	215.77	241.19	220.32	204.07	209.84	130.6	212.78	503.95	143.01	145.02	153.34	197.09	115.97	148.09	146.03	191.67	178.77	223.41	171.45	303.44	228.13	171.45	214.27	151.22	193.01	187.71	195.72	267.73	126.12	173.85	248.0	123.5	244.57	248.0	116.78	214.27	134.3	277.2	217.27	157.68	91.41	158.79	119.26	144.01	144.01	146.03	198.47	110.43	255.0	172.65	206.94	175.07	141.02	100.83	255.0	186.4
TICRR	49.91	49.56	127.89	137.14	98.73	125.24	37.59	3.79	6.84	16.51	1.03	4.86	43.02	21.32	8.99	9.56	15.0	29.27	5.92	46.84	5.68	14.24	9.48	9.41	13.32	12.74	4.28	17.0	17.64	4.9	21.47	9.34	2.51	5.96	7.46	9.13	44.25	12.64	19.25	24.11	9.85	27.84	58.71	3.26	7.22	8.19	20.56	14.45	10.96	9.27	70.01	9.85	11.38	7.34	31.9	12.93	8.25	16.88	4.78	17.0	2.97	32.59	66.18	11.04	18.29	20.86	9.56	6.73	12.09	11.91	21.32	14.03	19.25	12.64	6.06	5.06	8.45	8.71	17.25	8.13	20.26	15.68	5.96	25.91	11.73	12.64	5.77	3.06	5.36	38.12	12.45
TIMELESS	1225.22	305.55	480.04	438.59	612.11	309.83	463.65	155.5	172.65	208.38	162.14	145.02	293.07	273.37	180.02	156.59	212.78	209.84	195.72	299.25	171.45	177.53	165.57	153.34	232.94	142.01	120.94	212.78	190.34	143.01	287.01	161.02	140.04	114.36	177.53	229.72	368.65	87.65	323.03	223.41	158.79	293.07	348.71	115.97	156.59	208.38	299.25	171.45	170.25	176.29	429.54	178.77	228.13	212.78	320.8	175.07	162.14	197.09	165.57	241.19	145.02	234.57	358.54	153.34	197.09	307.69	151.22	237.86	223.41	237.86	197.09	166.73	303.44	228.13	152.28	151.22	144.01	157.68	260.38	139.07	136.19	201.25	148.09	366.09	237.86	201.25	118.43	74.06	98.04	305.55	141.02
TPX2	1151.06	921.88	1359.57	1508.65	1340.84	2287.2	414.87	31.0	15.91	94.67	21.78	19.97	182.55	156.59	57.08	49.21	42.71	194.36	40.64	201.25	56.68	25.54	35.5	45.85	63.89	43.94	15.68	41.52	34.26	33.78	92.05	19.97	17.51	28.86	53.95	102.25	366.09	39.5	111.21	221.86	51.71	118.43	529.06	34.51	21.63	33.06	108.9	38.12	39.5	33.54	297.17	55.49	45.21	104.42	256.78	92.7	65.26	137.14	41.81	197.09	15.34	198.47	320.8	31.67	45.21	180.02	67.12	44.25	52.82	90.14	189.02	88.88	267.73	90.14	57.08	29.06	44.25	47.84	78.34	38.4	38.95	52.82	13.72	183.82	49.56	57.49	9.48	20.86	6.94	318.57	12.74
TRIP13	279.14	444.72	503.95	507.46	423.61	435.55	323.03	27.44	19.25	63.45	63.0	23.42	137.14	49.56	27.05	32.82	46.18	90.77	47.84	111.99	25.54	29.7	22.1	43.02	46.5	38.67	9.93	33.06	41.22	26.28	38.4	23.42	25.91	25.17	30.12	55.89	241.19	41.22	82.87	109.66	34.26	83.45	212.78	20.86	22.26	24.81	34.02	24.11	42.71	33.3	198.47	34.51	48.87	41.22	149.12	52.08	31.22	152.28	53.57	54.33	44.25	108.14	159.9	37.05	29.91	118.43	44.57	52.45	105.15	75.11	126.12	32.59	99.43	42.41	30.78	21.63	39.79	23.25	27.44	26.47	34.26	27.44	11.91	78.34	33.3	52.08	18.97	23.25	9.27	128.79	21.63
TTF2	403.5	435.55	595.34	497.0	500.46	426.57	194.36	67.12	84.04	161.02	94.67	60.39	156.59	195.72	100.13	61.68	115.97	309.83	115.97	139.07	94.01	116.78	145.02	90.14	98.04	130.6	79.45	104.42	78.34	72.01	275.28	108.14	108.9	102.97	109.66	134.3	454.09	124.37	130.6	145.02	55.1	187.71	426.57	92.05	72.01	86.43	138.1	151.22	73.54	113.56	129.69	141.02	110.43	180.02	220.32	105.89	111.21	130.6	113.56	127.89	116.78	110.43	178.77	63.89	135.24	199.85	115.97	87.65	97.36	249.73	175.07	120.94	155.5	183.82	131.51	81.14	123.5	123.5	131.51	77.79	92.05	76.71	44.25	108.9	114.36	135.24	82.29	60.82	78.34	198.47	74.06
UNG	1651.0	1909.85	947.83	775.05	723.08	878.17	1023.0	432.53	423.61	567.1	432.53	414.87	642.59	575.03	571.05	366.09	493.56	547.75	555.41	518.15	447.82	409.15	414.87	444.72	389.72	426.57	466.88	450.94	457.25	547.75	629.35	363.56	387.02	368.65	563.18	638.15	660.68	403.5	665.29	642.59	432.53	603.67	842.36	423.61	571.05	358.54	551.56	688.78	480.04	387.02	1037.29	587.13	507.46	476.71	693.58	629.35	518.15	583.07	353.59	417.77	497.0	872.1	785.88	503.95	518.15	769.69	493.56	532.74	503.95	791.35	454.09	444.72	728.11	493.56	414.87	358.54	490.14	397.93	423.61	460.44	514.56	486.75	336.79	575.03	480.04	551.56	438.59	583.07	361.04	738.29	438.59
WDHD1	215.77	180.02	316.37	206.94	185.11	212.78	112.77	14.78	19.82	63.0	27.64	14.14	35.76	54.72	33.3	21.32	16.63	74.06	20.26	62.56	25.35	27.64	21.01	30.12	40.93	21.63	23.76	39.22	16.88	11.21	60.39	27.84	19.97	17.25	22.92	43.63	70.51	55.89	37.32	44.57	20.71	53.57	211.31	29.7	11.82	33.78	45.21	29.7	22.92	24.63	78.89	28.04	24.99	26.86	68.55	34.75	15.22	47.84	20.86	37.85	9.85	69.03	71.0	19.82	38.67	77.79	18.43	24.46	25.91	52.45	37.59	29.06	76.17	32.59	26.28	16.27	25.91	38.4	40.93	21.16	25.91	30.12	13.72	59.97	25.54	20.86	30.12	38.67	31.9	61.68	48.18
WDR76	269.6	159.9	299.25	224.97	217.27	153.34	163.28	35.0	30.12	64.34	21.47	26.28	85.22	66.18	47.17	41.22	32.82	66.18	33.3	88.26	35.5	41.22	22.75	38.95	38.95	49.21	31.9	49.91	21.63	20.26	82.87	32.13	24.99	35.76	60.39	56.68	78.89	28.24	45.85	86.43	39.79	74.06	153.34	35.25	31.67	39.22	58.71	32.82	26.47	35.0	119.26	58.3	25.91	53.57	69.03	75.64	31.67	67.12	30.34	56.28	9.56	81.71	124.37	38.95	45.53	127.89	43.63	35.76	21.16	51.71	66.65	39.5	81.71	57.08	26.28	32.13	41.22	20.56	42.71	27.05	41.52	38.95	21.94	62.12	36.27	25.35	50.27	87.65	36.01	108.14	41.52
XRCC2	136.19	75.64	65.26	159.9	77.79	127.0	40.07	4.31	10.71	18.56	8.99	9.2	32.13	22.43	11.13	12.27	13.52	31.45	12.74	24.46	8.92	10.08	16.15	13.22	11.91	9.41	6.41	10.0	10.55	6.57	26.47	7.63	6.78	4.66	18.43	12.0	30.78	24.63	15.68	19.97	4.46	11.73	79.45	7.17	6.46	11.64	16.39	8.25	7.75	7.22	63.0	13.62	8.38	9.85	75.64	27.25	10.08	12.93	8.85	22.59	4.5	24.28	29.06	10.39	23.76	38.12	9.06	8.92	24.11	22.75	14.78	15.22	11.64	17.38	7.75	6.73	8.0	7.63	23.93	5.82	17.9	11.04	8.58	20.11	10.88	8.65	5.87	12.0	5.45	24.63	7.28
ZBP1	68.55	190.34	258.57	348.71	209.84	103.69	126.12	7.94	10.71	18.43	3.5	7.51	34.02	10.88	29.7	12.93	17.77	43.32	9.27	81.14	2.76	18.29	2.18	22.59	3.66	6.57	8.71	2.23	10.63	1.14	82.87	6.62	3.38	3.06	4.66	29.48	57.08	42.41	11.13	0.6	11.55	21.16	149.12	31.45	3.76	7.63	3.47	10.08	9.13	50.63	60.82	11.13	3.38	9.27	3.66	1.97	11.13	74.58	14.89	7.69	7.17	85.22	163.28	12.55	3.32	45.21	9.85	6.41	3.69	31.45	18.84	6.36	7.63	6.21	5.54	3.92	8.65	6.06	14.67	33.06	11.21	14.56	10.47	48.52	13.62	8.13	3.38	3.08	4.62	6.52	8.19
ZNFX1	638.15	612.11	660.68	934.76	769.69	780.44	470.14	166.73	244.57	343.89	170.25	201.25	206.94	327.56	244.57	246.28	269.6	358.54	303.44	301.33	246.28	246.28	255.0	236.21	172.65	234.57	264.03	260.38	241.19	161.02	348.71	267.73	211.31	154.42	165.57	325.29	500.46	221.86	215.77	84.04	202.66	426.57	616.37	133.36	195.72	242.88	277.2	279.14	166.73	285.03	312.0	281.09	228.13	397.93	246.28	139.07	232.94	291.04	205.5	202.66	109.66	403.5	503.95	198.47	204.07	194.36	156.59	199.85	182.55	358.54	283.05	182.55	249.73	289.02	260.38	214.27	277.2	202.66	150.17	248.0	237.86	228.13	166.73	327.56	170.25	164.42	241.19	110.43	275.28	166.73	248.0
ZWINT	1781.89	1340.84	1073.91	1572.76	995.0	1242.34	497.0	395.18	110.43	163.28	180.02	157.68	470.14	301.33	177.53	279.14	131.51	334.46	165.57	299.25	178.77	146.03	133.36	318.57	244.57	246.28	151.22	152.28	90.77	638.15	226.54	175.07	178.77	141.02	212.78	287.01	371.22	140.04	229.72	587.13	229.72	181.28	624.99	180.02	87.03	148.09	249.73	117.6	171.45	214.27	769.69	151.22	149.12	277.2	7.57	202.66	309.83	221.86	189.02	406.31	105.89	497.0	525.39	133.36	229.72	395.18	186.4	241.19	93.35	187.71	414.87	253.23	470.14	438.59	220.32	214.27	150.17	229.72	420.68	186.4	185.11	186.4	124.37	599.49	201.25	201.25	118.43	155.5	102.25	684.02	134.3
