	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.WQUQ.2526.SM.4MVNO	GTEX.ZY6K.1226.SM.5GZYL	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.XQ8I.2126.SM.4BOOM	GTEX.OIZH.1426.SM.3NB1O	GTEX.NFK9.2026.SM.3LK5K	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.WHWD.1226.SM.4OOS1	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.139YR.2126.SM.5KM11	GTEX.OXRK.1726.SM.3NB16	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.YF7O.1726.SM.5IFJ9	GTEX.ZTSS.1126.SM.5985O	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.S4Q7.0826.SM.4AD5E	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX
PLCB1	29.7	42.41	24.11	54.33	58.3	33.78	10.16	21.78	30.12	26.86	52.08	60.39	67.59	80.01	33.06	15.56	24.28	24.28	18.56	32.36	20.86	33.3	124.37	64.8	143.01	31.0	108.9	5.45	18.29	53.95	90.77	135.24	13.62	106.63	7.94	50.98	96.01	59.55	12.83	16.15	31.9	12.36	32.13	15.0	63.45	22.92	81.71	13.83	120.1	114.36	53.19	52.45	19.97	62.12	98.04	120.94	21.78	85.22	14.24	17.9	7.4	11.04	10.47	77.79	15.8	32.59	42.41	37.85	38.67	16.03	8.65	28.86	56.68	114.36	9.2	37.59	41.22	140.04	26.1	31.45	17.0	63.89	23.93	13.62	21.32	51.35	28.65	18.97	15.68	31.9	101.54	103.69	12.27	60.82	34.51	76.17	19.25	46.18	85.22	132.44	35.5	54.72	55.89	95.34	10.79	29.27	14.56
PLD6	13.93	47.5	35.25	52.08	31.9	21.01	17.9	38.12	49.56	40.36	62.12	47.5	60.39	47.84	23.59	25.72	55.1	20.86	27.84	23.42	51.35	31.67	120.1	39.22	108.9	37.05	66.65	18.7	25.91	62.12	109.66	52.08	21.32	65.26	21.01	60.39	29.48	67.12	23.59	44.57	37.85	16.51	17.64	26.47	38.95	28.24	94.67	28.24	91.41	43.02	58.3	71.0	30.56	68.07	74.58	120.94	24.28	48.87	45.53	26.67	35.76	22.59	18.03	57.08	30.12	27.64	42.11	33.06	53.95	23.25	27.05	29.7	71.5	94.67	33.06	29.91	36.53	87.65	16.75	25.17	29.91	93.35	13.12	28.04	30.12	57.89	32.13	31.67	26.86	23.59	128.79	103.69	35.25	68.55	26.86	55.49	34.51	40.36	75.64	87.03	38.12	62.56	61.68	102.25	25.72	39.79	18.16
PPP1R12A	392.44	269.6	387.02	703.28	718.08	277.2	169.07	373.81	466.88	457.25	656.11	743.43	780.44	693.58	476.71	353.59	595.34	441.64	323.03	432.53	454.09	447.82	708.18	785.88	1216.75	490.14	921.88	299.25	432.53	547.75	1044.52	1331.57	287.01	1167.14	281.09	447.82	808.0	603.67	389.72	320.8	351.14	332.14	514.56	444.72	733.19	400.71	753.83	384.34	1359.57	854.13	559.28	497.0	358.54	764.36	723.08	1088.92	400.71	791.35	441.64	336.79	256.78	314.17	332.14	688.78	450.94	414.87	616.37	507.46	525.39	361.04	414.87	429.54	665.29	981.29	348.71	417.77	651.58	1417.35	376.41	376.41	325.29	780.44	351.14	403.5	435.55	703.28	264.03	269.6	414.87	262.2	1208.34	1081.39	368.65	633.73	356.05	813.63	438.59	497.0	1059.11	1008.9	353.59	559.28	718.08	1051.79	301.33	409.15	281.09
PRDM11	28.86	66.65	51.71	75.64	73.03	48.87	39.22	58.3	66.65	75.64	77.79	87.03	129.69	89.51	83.45	22.75	74.58	28.86	59.97	46.84	64.8	63.45	161.02	98.04	162.14	63.45	149.12	23.25	40.64	89.51	199.85	162.14	33.78	148.09	46.84	88.88	159.9	94.67	39.5	39.79	64.8	31.45	38.4	47.17	118.43	45.53	101.54	53.95	135.24	138.1	89.51	66.18	46.18	113.56	97.36	147.06	45.85	92.05	42.11	30.56	29.27	37.85	44.89	89.51	49.91	63.45	74.06	58.3	74.58	49.56	36.53	61.25	107.38	109.66	53.19	62.56	81.71	149.12	46.18	46.84	38.12	95.34	42.71	54.72	46.18	69.52	39.5	37.32	67.12	31.67	111.99	119.26	45.85	71.0	62.56	96.01	40.93	55.49	121.79	139.07	71.0	106.63	108.14	166.73	40.64	46.5	28.86
PRICKLE2	12.83	37.32	46.18	101.54	74.06	24.46	19.11	36.53	65.72	62.12	76.17	123.5	120.1	127.0	67.59	26.67	90.14	32.13	45.85	43.02	45.21	57.08	242.88	187.71	218.79	56.28	187.71	12.83	26.28	73.54	208.38	241.19	23.59	193.01	24.63	132.44	165.57	83.45	27.44	22.43	68.07	31.9	45.21	37.59	96.01	22.75	119.26	32.36	295.11	153.34	91.41	57.49	36.01	124.37	139.07	248.0	31.0	124.37	42.71	31.45	19.53	29.06	24.63	117.6	29.7	42.41	82.87	60.39	59.97	18.43	41.52	44.89	128.79	239.52	24.63	58.71	85.82	267.73	36.53	30.34	34.51	197.09	22.1	32.82	32.82	110.43	26.1	30.78	41.81	45.53	279.14	191.67	27.64	90.14	38.95	123.5	28.24	49.91	187.71	202.66	48.18	90.14	91.41	197.09	27.44	48.87	18.84
PRIMA1	20.11	79.45	82.87	151.22	99.43	49.56	17.38	61.68	80.57	180.02	114.36	199.85	271.48	127.89	180.02	26.86	169.07	47.17	108.14	95.34	126.12	177.53	476.71	190.34	483.38	209.84	387.02	29.27	58.71	223.41	277.2	738.29	74.06	551.56	56.28	170.25	518.15	172.65	68.07	42.71	169.07	50.98	77.79	32.36	371.22	44.57	183.82	45.53	429.54	242.88	285.03	81.14	55.1	209.84	229.72	267.73	91.41	162.14	53.19	30.56	34.02	40.64	22.1	208.38	43.94	83.45	166.73	102.97	90.77	57.08	51.71	97.36	244.57	269.6	46.5	62.56	157.68	376.41	55.49	66.18	44.89	187.71	46.5	47.17	63.45	185.11	45.53	32.59	62.56	48.87	255.0	353.59	39.79	177.53	76.17	293.07	44.89	108.14	236.21	339.14	67.12	158.79	275.28	351.14	36.53	55.1	35.25
PRKAA2	1.33	16.63	4.86	22.26	26.47	6.73	1.75	8.13	21.32	10.0	26.67	24.28	35.25	18.29	15.11	8.38	17.9	7.0	7.69	5.73	12.45	15.34	61.25	53.19	94.01	14.45	23.08	6.26	8.99	18.16	65.72	77.25	4.78	56.28	4.58	30.12	25.91	18.84	3.53	5.45	10.79	3.14	28.04	10.39	29.91	2.81	52.82	21.01	76.71	36.79	18.43	11.64	4.94	42.71	44.57	92.05	10.79	28.65	11.21	7.75	2.1	5.41	12.09	40.07	12.0	3.5	16.51	16.03	18.43	6.67	5.28	8.45	32.82	69.03	10.71	11.13	25.54	61.68	7.0	5.73	4.66	25.91	4.28	9.48	13.93	18.43	15.11	5.32	7.75	4.66	50.27	43.63	12.45	33.78	7.06	17.51	8.58	34.26	50.98	71.0	11.21	43.02	27.84	51.35	1.77	15.22	2.84
PRUNE2	206.94	208.38	323.03	723.08	921.88	177.53	67.59	205.5	514.56	587.13	775.05	1259.69	1286.18	848.22	518.15	142.01	616.37	158.79	218.79	417.77	603.67	420.68	2627.46	1081.39	2119.22	575.03	1757.34	115.97	217.27	890.44	1662.49	2645.74	142.01	995.0	194.36	866.07	1359.57	688.78	229.72	201.25	595.34	197.09	323.03	242.88	988.12	201.25	1322.37	214.27	2555.58	1561.89	665.29	392.44	246.28	769.69	1104.13	2739.08	176.29	1183.45	206.94	218.79	148.09	281.09	144.01	928.3	169.07	334.46	651.58	187.71	361.04	237.86	220.32	426.57	1073.91	1769.57	202.66	483.38	854.13	2075.59	206.94	295.11	224.97	1427.22	183.82	177.53	368.65	791.35	212.78	90.14	142.01	158.79	1467.37	1709.26	177.53	928.3	251.48	988.12	175.07	409.15	1487.87	1313.23	343.89	1030.12	708.18	1857.6	132.44	241.19	109.66
PSD	56.68	78.34	253.23	551.56	693.58	65.26	62.56	73.54	536.45	728.11	743.43	866.07	1268.46	713.11	507.46	69.52	785.88	45.21	67.12	392.44	406.31	476.71	1936.53	915.51	1685.71	435.55	1208.34	53.19	66.65	796.86	1417.35	1639.59	69.03	1397.83	88.26	1051.79	1199.98	743.43	77.25	94.01	595.34	41.22	206.94	144.01	1096.5	55.1	1023.0	134.3	1819.35	1304.15	723.08	480.04	101.54	624.99	1030.12	1286.18	133.36	981.29	63.0	55.1	78.89	67.12	69.52	769.69	73.54	224.97	688.78	71.5	307.69	57.89	66.65	253.23	1051.79	941.27	80.57	412.0	651.58	1378.57	262.2	79.45	105.89	1388.16	50.63	84.04	305.55	764.36	99.43	73.54	90.14	73.54	1216.75	1051.79	70.51	884.29	141.02	954.43	53.57	457.25	1447.15	1183.45	208.38	1304.15	808.0	1572.76	68.55	77.79	40.36
PTGIS	26.1	53.95	59.55	125.24	111.99	19.25	12.27	15.45	50.98	150.17	116.78	125.24	148.09	118.43	120.94	14.14	67.12	7.28	19.97	48.52	79.45	46.84	366.09	273.37	356.05	50.98	371.22	12.64	19.25	112.77	400.71	379.04	40.64	429.54	21.16	88.26	217.27	108.9	9.93	25.17	70.51	16.75	81.71	22.92	166.73	12.93	244.57	24.63	420.68	90.77	120.1	115.97	22.1	130.6	185.11	463.65	38.67	163.28	60.82	30.12	12.09	11.47	5.41	165.57	15.34	38.95	86.43	56.28	31.67	12.74	12.0	51.71	162.14	281.09	17.25	81.71	121.79	363.56	36.01	24.28	19.82	195.72	20.86	13.83	23.93	119.26	48.18	14.45	32.82	8.32	164.42	417.77	13.12	126.12	26.28	166.73	27.84	58.3	271.48	346.29	32.36	137.14	112.77	214.27	17.9	32.36	5.36
PTPN14	15.56	11.3	23.76	39.79	43.63	14.89	8.65	19.25	33.3	24.99	37.85	58.3	53.57	43.32	32.13	10.88	38.95	14.56	19.97	23.25	32.59	30.34	69.52	49.91	93.35	29.27	71.0	7.63	21.94	48.18	106.63	107.38	18.7	97.36	11.38	50.27	68.55	38.67	17.64	13.93	27.64	13.22	23.93	20.86	52.82	15.34	67.59	17.13	107.38	69.52	36.53	26.67	16.51	49.91	57.49	115.97	28.86	55.49	22.59	18.56	12.93	15.11	19.11	41.81	17.38	20.26	35.76	31.67	25.17	11.13	19.68	21.94	56.68	88.88	12.55	25.72	56.68	114.36	16.63	14.56	12.83	49.56	16.51	14.35	27.84	39.22	18.43	10.71	21.01	12.09	84.04	96.01	15.8	41.81	23.25	51.35	13.62	34.75	83.45	100.13	25.35	55.49	41.52	106.63	13.52	20.86	9.06
PYGO1	1.55	7.4	5.82	18.43	11.64	3.38	2.51	4.62	11.21	7.75	14.35	13.83	19.53	13.93	7.46	3.56	13.93	4.24	3.99	7.4	8.0	10.31	40.07	29.7	47.17	9.63	17.38	2.78	3.2	12.36	31.67	33.06	2.68	31.45	2.1	23.76	33.3	11.21	4.28	3.26	10.31	2.51	6.31	5.77	17.9	4.03	28.24	5.19	34.26	20.56	13.83	8.58	5.82	17.25	23.59	31.67	5.92	20.26	5.54	5.77	2.41	4.13	2.14	15.68	3.96	6.06	10.71	9.85	8.19	2.78	4.7	7.17	20.11	30.34	4.03	8.51	14.78	32.59	4.5	4.7	2.92	22.1	3.14	4.31	5.06	13.52	6.94	1.3	3.38	2.05	32.82	28.45	2.86	15.11	4.5	18.7	4.17	7.4	26.67	33.78	5.82	18.97	23.93	28.65	3.66	5.5	2.2
R3HCC1	392.44	733.19	518.15	642.59	493.56	476.71	470.14	348.71	575.03	612.11	525.39	620.67	642.59	599.49	457.25	395.18	518.15	361.04	555.41	412.0	444.72	493.56	909.17	591.22	728.11	444.72	830.75	316.37	447.82	607.87	808.0	733.19	476.71	703.28	500.46	563.18	651.58	651.58	435.55	497.0	612.11	249.73	314.17	435.55	775.05	409.15	665.29	490.14	890.44	769.69	532.74	579.04	423.61	656.11	633.73	836.53	450.94	612.11	412.0	490.14	406.31	414.87	409.15	674.59	432.53	412.0	575.03	376.41	447.82	363.56	486.75	441.64	587.13	738.29	460.44	551.56	473.41	830.75	384.34	497.0	432.53	665.29	368.65	460.44	476.71	587.13	429.54	529.06	389.72	417.77	669.92	718.08	460.44	651.58	466.88	603.67	450.94	583.07	819.3	743.43	376.41	674.59	500.46	743.43	351.14	473.41	371.22
RAB23	29.48	77.79	175.07	327.56	255.0	55.49	59.13	79.45	285.03	198.47	283.05	521.76	412.0	412.0	204.07	63.89	258.57	61.68	65.26	143.01	161.02	190.34	733.19	567.1	825.0	195.72	507.46	45.53	85.22	283.05	595.34	848.22	62.12	693.58	56.68	497.0	591.22	283.05	97.36	73.54	212.78	69.03	176.29	180.02	412.0	69.52	543.96	101.54	748.61	633.73	301.33	234.57	98.04	381.68	463.65	1008.9	128.79	511.0	65.72	73.03	65.26	84.63	51.71	376.41	88.26	108.14	323.03	154.42	190.34	55.49	72.52	169.07	348.71	921.88	63.0	186.4	441.64	1030.12	97.36	82.87	45.85	759.08	76.17	73.03	149.12	339.14	150.17	46.5	79.45	73.54	954.43	748.61	53.95	348.71	92.05	376.41	45.85	258.57	579.04	591.22	120.94	441.64	253.23	679.29	88.88	78.89	41.81
RARB	15.8	50.98	30.12	32.36	51.71	26.86	11.13	14.67	20.86	39.5	49.21	42.41	56.68	24.46	31.0	20.56	25.72	21.01	17.13	14.45	19.97	19.97	91.41	27.25	86.43	27.44	47.5	6.11	11.91	35.0	90.77	88.26	14.45	45.21	17.38	25.35	35.0	31.22	14.14	24.81	28.86	10.16	22.43	22.43	37.32	11.91	48.52	21.63	71.5	25.54	37.59	27.64	20.71	41.52	44.57	43.63	22.26	45.21	23.93	21.78	9.7	16.39	11.47	61.68	19.25	17.9	34.26	16.03	26.86	13.83	17.25	20.71	47.84	46.18	10.88	25.54	31.45	47.84	13.83	19.97	17.64	38.67	17.77	9.06	21.32	32.36	27.64	19.11	20.56	18.97	41.81	72.01	18.16	52.08	15.8	34.02	9.48	26.47	45.21	57.89	34.51	16.88	45.53	52.82	24.99	22.1	18.16
RASSF8	8.99	24.99	27.84	68.55	69.03	15.22	5.82	19.68	40.36	26.47	68.55	87.03	111.21	65.26	38.67	13.03	43.02	13.52	31.9	17.9	30.78	38.4	201.25	134.3	221.86	30.34	100.83	7.88	19.39	110.43	130.6	175.07	19.39	104.42	12.36	95.34	128.79	48.87	19.68	19.97	42.71	11.64	39.5	31.67	89.51	9.7	144.01	22.1	169.07	88.26	56.28	52.08	14.03	92.7	122.64	146.03	25.91	106.63	46.84	17.38	10.24	17.38	8.06	96.01	20.41	26.67	70.01	59.55	31.9	12.83	21.32	28.45	87.65	198.47	14.45	38.67	71.5	234.57	16.03	21.32	12.0	128.79	14.24	19.11	27.64	88.88	20.71	8.06	22.26	14.03	199.85	182.55	10.71	78.34	21.16	81.14	12.93	60.82	136.19	132.44	42.11	104.42	94.67	148.09	14.24	17.13	8.0
RGMA	70.01	248.0	190.34	316.37	271.48	65.72	87.65	128.79	258.57	387.02	334.46	559.28	723.08	301.33	348.71	63.89	555.41	44.57	85.82	299.25	224.97	206.94	1359.57	470.14	775.05	157.68	769.69	26.86	57.08	775.05	842.36	1259.69	138.1	830.75	144.01	896.64	848.22	325.29	23.93	70.01	267.73	100.13	133.36	127.89	555.41	100.13	450.94	50.63	988.12	447.82	251.48	211.31	67.59	283.05	559.28	733.19	105.89	384.34	108.9	76.17	57.08	126.12	39.5	412.0	65.72	118.43	293.07	153.34	158.79	55.1	70.01	166.73	547.75	514.56	108.9	155.5	395.18	928.3	118.43	65.72	119.26	486.75	75.11	59.13	126.12	379.04	316.37	40.36	149.12	30.56	540.19	915.51	78.34	432.53	70.51	493.56	68.55	190.34	616.37	733.19	133.36	1233.75	358.54	738.29	94.01	152.28	55.49
RNF150	4.58	13.22	26.86	76.17	68.07	6.46	6.73	8.58	47.84	48.18	63.89	98.73	116.78	92.7	44.25	6.21	71.0	10.24	11.3	23.25	24.28	46.18	146.03	53.57	199.85	40.36	108.14	4.43	8.06	43.02	152.28	246.28	7.4	102.97	5.77	96.01	108.14	69.52	7.94	8.25	42.71	7.46	25.72	21.47	105.89	3.99	121.79	8.71	193.01	141.02	57.89	37.59	10.24	82.87	111.99	164.42	14.35	115.16	9.63	8.65	6.01	7.75	4.5	90.14	13.42	18.56	52.08	18.7	31.45	4.9	11.55	24.81	92.05	121.79	10.71	32.59	71.0	172.65	14.35	15.8	6.67	104.42	8.25	14.56	26.28	91.41	17.0	7.63	12.45	4.24	138.1	169.07	6.26	70.01	11.13	81.71	6.11	43.02	154.42	116.78	23.08	88.26	63.89	171.45	7.51	11.47	4.31
ROR2	79.45	48.18	75.11	121.79	129.69	33.3	13.52	35.5	132.44	97.36	156.59	209.84	299.25	180.02	111.21	27.05	166.73	28.65	19.39	70.51	92.05	102.25	559.28	209.84	412.0	78.34	287.01	21.94	34.26	148.09	275.28	551.56	33.06	316.37	15.56	156.59	277.2	139.07	24.63	24.63	129.69	26.47	57.89	54.72	269.6	42.71	214.27	47.17	392.44	343.89	130.6	99.43	49.56	181.28	199.85	387.02	53.95	218.79	43.02	28.24	31.0	32.36	36.53	211.31	27.44	39.79	114.36	65.72	72.52	20.11	24.28	61.25	220.32	309.83	36.53	84.63	124.37	392.44	52.45	37.05	22.43	199.85	36.01	25.35	56.28	164.42	55.49	30.12	32.82	21.01	273.37	339.14	29.48	187.71	53.19	212.78	28.45	84.63	249.73	236.21	58.71	299.25	149.12	361.04	30.34	33.78	16.03
RP11-122A3.2	3.86	30.78	47.84	86.43	154.42	23.93	6.62	27.44	75.64	64.34	100.83	186.4	215.77	124.37	87.03	24.81	92.05	21.01	28.24	54.33	77.25	69.52	258.57	138.1	387.02	80.01	301.33	15.8	12.55	105.89	271.48	525.39	29.91	299.25	17.13	158.79	361.04	117.6	18.56	10.79	115.16	16.39	56.28	29.48	241.19	14.24	229.72	35.0	373.81	307.69	151.22	88.88	25.35	144.01	262.2	305.55	53.57	198.47	21.78	28.04	13.12	19.39	6.01	180.02	17.25	48.87	108.9	37.59	57.49	11.13	26.86	62.12	142.01	228.13	13.72	82.87	140.04	384.34	36.53	26.1	22.75	204.07	11.47	23.08	60.39	120.1	43.32	13.72	16.88	20.86	234.57	289.02	16.27	133.36	21.16	172.65	17.13	85.82	189.02	211.31	42.71	143.01	105.15	332.14	20.26	20.41	9.41
RUSC2	50.27	59.97	77.79	133.36	100.13	49.56	41.52	49.91	115.97	110.43	134.3	159.9	201.25	137.14	92.7	52.82	128.79	41.52	55.49	75.64	96.01	105.15	320.8	171.45	271.48	80.57	271.48	33.78	49.21	154.42	283.05	236.21	46.5	231.32	51.35	156.59	164.42	139.07	37.59	51.71	98.73	34.51	59.97	60.39	146.03	52.08	149.12	65.72	312.0	169.07	130.6	94.01	58.71	145.02	153.34	229.72	75.64	153.34	51.35	52.82	48.18	54.33	27.05	152.28	46.5	67.12	115.97	86.43	82.29	38.67	56.28	64.34	175.07	316.37	59.55	88.88	121.79	208.38	59.97	55.89	52.45	187.71	52.45	56.68	60.39	161.02	77.79	37.05	66.18	35.76	281.09	194.36	43.02	154.42	61.25	139.07	54.72	101.54	237.86	320.8	58.71	119.26	204.07	253.23	46.84	71.5	41.81
SCMH1	318.57	688.78	547.75	551.56	547.75	532.74	336.79	470.14	559.28	457.25	607.87	665.29	780.44	629.35	555.41	412.0	490.14	387.02	525.39	518.15	466.88	457.25	866.07	684.02	1015.93	432.53	902.89	248.0	426.57	753.83	872.1	866.07	429.54	872.1	463.65	656.11	830.75	559.28	441.64	353.59	514.56	400.71	327.56	361.04	738.29	406.31	753.83	435.55	866.07	780.44	583.07	490.14	346.29	612.11	624.99	988.12	486.75	679.29	400.71	480.04	389.72	343.89	397.93	728.11	547.75	457.25	547.75	447.82	432.53	447.82	450.94	429.54	698.41	753.83	493.56	551.56	518.15	860.08	392.44	543.96	514.56	825.0	384.34	503.95	543.96	532.74	470.14	473.41	511.0	420.68	665.29	934.76	514.56	708.18	476.71	674.59	412.0	438.59	830.75	848.22	441.64	961.07	540.19	808.0	420.68	536.45	400.71
SGCE	56.68	164.42	152.28	325.29	371.22	155.5	94.67	150.17	318.57	234.57	361.04	283.05	483.38	376.41	239.52	140.04	353.59	92.05	133.36	123.5	165.57	271.48	743.43	341.51	941.27	182.55	441.64	30.56	137.14	285.03	638.15	753.83	162.14	525.39	103.69	454.09	420.68	332.14	126.12	103.69	343.89	82.87	232.94	162.14	503.95	78.34	587.13	165.57	909.17	563.18	346.29	267.73	134.3	414.87	507.46	642.59	199.85	473.41	180.02	158.79	106.63	127.89	105.89	353.59	161.02	138.1	253.23	327.56	137.14	77.79	145.02	149.12	490.14	507.46	136.19	202.66	279.14	743.43	138.1	157.68	77.25	486.75	74.58	166.73	125.24	470.14	224.97	92.05	115.97	147.06	647.07	693.58	77.79	353.59	92.05	291.04	102.25	275.28	607.87	656.11	205.5	406.31	463.65	555.41	153.34	103.69	48.52
SHISA4	36.79	115.97	107.38	104.42	120.1	123.5	66.18	57.08	143.01	125.24	127.0	118.43	273.37	105.89	85.82	43.63	162.14	59.97	62.12	115.16	112.77	141.02	353.59	138.1	271.48	77.79	231.32	38.95	62.12	172.65	267.73	273.37	76.71	189.02	53.19	137.14	176.29	180.02	55.1	53.95	201.25	61.68	61.25	51.35	267.73	57.49	169.07	59.13	309.83	220.32	185.11	92.7	62.56	109.66	209.84	166.73	97.36	125.24	61.68	44.89	70.01	73.54	36.01	195.72	55.89	89.51	115.16	129.69	67.59	46.5	63.0	75.11	155.5	221.86	70.51	114.36	97.36	256.78	68.07	92.7	48.87	176.29	56.28	49.91	62.12	205.5	105.15	55.89	76.71	58.71	226.54	237.86	53.95	132.44	77.25	163.28	69.52	72.01	202.66	265.87	72.52	147.06	262.2	248.0	57.49	64.34	36.01
SMARCA1	26.1	55.49	53.95	124.37	81.14	39.5	26.28	37.59	97.36	102.25	116.78	118.43	155.5	133.36	94.01	28.24	131.51	42.41	40.36	53.19	49.21	85.82	214.27	164.42	301.33	57.08	143.01	13.32	40.93	108.14	217.27	267.73	34.26	193.01	26.67	108.14	228.13	89.51	32.82	31.67	75.11	36.79	63.0	49.91	171.45	27.25	163.28	39.79	265.87	170.25	102.25	68.07	46.18	137.14	135.24	262.2	58.3	145.02	33.06	33.3	27.84	31.9	21.47	120.94	59.55	43.63	90.77	77.79	51.71	19.11	43.94	52.45	114.36	223.41	31.9	65.26	101.54	253.23	36.27	59.13	25.35	183.82	25.35	42.41	48.52	122.64	53.57	33.06	39.79	30.34	251.48	215.77	32.13	111.21	39.79	117.6	28.04	85.22	194.36	215.77	63.0	172.65	131.51	209.84	30.12	39.22	19.11
SNCA	25.72	65.26	50.98	130.6	113.56	56.28	31.22	25.72	75.64	75.11	98.73	85.82	136.19	88.88	67.12	41.52	127.0	24.28	62.12	80.01	55.49	92.7	265.87	157.68	190.34	56.68	175.07	15.11	55.1	131.51	176.29	239.52	67.59	291.04	27.05	82.29	353.59	116.78	32.59	40.64	191.67	28.45	80.57	37.59	229.72	48.52	158.79	42.71	314.17	136.19	140.04	48.18	58.3	120.94	107.38	123.5	63.89	74.06	68.55	51.71	43.32	29.06	30.12	75.64	43.94	39.79	75.11	122.64	47.17	37.59	51.71	33.3	150.17	248.0	27.05	66.65	116.78	303.44	48.87	64.8	40.93	190.34	37.32	35.25	69.52	151.22	26.86	45.21	54.72	23.42	215.77	231.32	26.1	89.51	46.18	131.51	57.08	122.64	186.4	265.87	50.27	136.19	154.42	182.55	76.71	53.19	28.65
