	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.EW.A424.01A.11R.A24H.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.PE.A5DD.01A.12R.A27Q.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.E9.A1N4.11A.33R.A14M.07	TCGA.BH.A0DV.11A.22R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.1399U.1826.SM.5PNZ1	GTEX.W5X1.2326.SM.3GIL6	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.1313W.0826.SM.5EQ4T	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.TMMY.0726.SM.33HBE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13D11.1026.SM.5IJFB	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13N11.1126.SM.5KM41	GTEX.1117F.2426.SM.5EGGH
INIP	825.0	336.79	187.71	429.54	450.94	329.84	277.2	279.14	426.57	287.01	273.37	299.25	356.05	356.05	366.09	486.75	551.56	483.38	285.03	267.73	567.1	400.71	476.71	688.78	206.94	356.05	607.87	698.41	409.15	334.46	299.25	514.56	409.15	323.03	567.1	228.13	138.1	476.71	334.46	521.76	329.84	287.01	299.25	175.07	423.61	256.78	511.0	334.46	575.03	441.64	497.0	289.02	679.29	476.71	536.45	563.18	460.44	289.02	603.67	599.49	463.65	521.76	713.11	334.46	656.11	543.96	785.88	684.02	571.05	571.05	463.65	414.87	624.99	339.14	389.72	536.45	417.77	559.28	660.68	273.37	603.67	500.46	483.38	620.67	486.75	708.18	271.48	521.76	483.38	231.32	559.28	723.08	172.65	94.01	177.53	172.65	74.06	88.88	90.14	214.27	165.57
ITCH	954.43	215.77	198.47	414.87	314.17	358.54	595.34	177.53	536.45	307.69	218.79	441.64	218.79	414.87	220.32	334.46	567.1	392.44	312.0	532.74	764.36	366.09	253.23	571.05	215.77	231.32	444.72	921.88	176.29	242.88	309.83	563.18	483.38	242.88	441.64	460.44	334.46	356.05	217.27	583.07	241.19	511.0	363.56	111.99	555.41	320.8	679.29	205.5	759.08	283.05	497.0	205.5	785.88	575.03	785.88	684.02	497.0	189.02	500.46	387.02	651.58	620.67	693.58	242.88	579.04	753.83	603.67	444.72	753.83	414.87	429.54	289.02	981.29	708.18	921.88	312.0	848.22	669.92	748.61	341.51	314.17	633.73	423.61	890.44	241.19	1388.16	204.07	358.54	271.48	400.71	830.75	753.83	181.28	68.55	176.29	139.07	212.78	140.04	185.11	217.27	309.83
KIAA1143	791.35	343.89	209.84	373.81	444.72	301.33	438.59	262.2	764.36	167.9	223.41	223.41	253.23	595.34	309.83	353.59	575.03	447.82	493.56	346.29	748.61	400.71	480.04	363.56	409.15	209.84	420.68	1175.27	229.72	218.79	406.31	547.75	463.65	480.04	511.0	309.83	253.23	414.87	363.56	547.75	363.56	400.71	307.69	111.21	414.87	204.07	753.83	312.0	780.44	325.29	591.22	264.03	848.22	521.76	607.87	854.13	518.15	297.17	642.59	466.88	764.36	693.58	808.0	366.09	599.49	343.89	738.29	708.18	507.46	514.56	392.44	555.41	872.1	497.0	759.08	785.88	974.5	417.77	329.84	265.87	412.0	460.44	679.29	551.56	607.87	332.14	269.6	316.37	466.88	633.73	490.14	579.04	136.19	81.71	157.68	80.57	147.06	155.5	35.25	432.53	381.68
KIF1B	323.03	164.42	103.69	199.85	137.14	176.29	265.87	71.5	547.75	98.04	314.17	194.36	145.02	260.38	171.45	163.28	186.4	178.77	242.88	273.37	395.18	181.28	87.65	363.56	323.03	169.07	224.97	255.0	127.89	101.54	136.19	170.25	136.19	199.85	289.02	435.55	167.9	297.17	193.01	318.57	167.9	295.11	159.9	108.14	376.41	149.12	525.39	236.21	480.04	297.17	417.77	221.86	665.29	483.38	466.88	642.59	466.88	177.53	289.02	343.89	507.46	368.65	470.14	220.32	698.41	708.18	583.07	536.45	587.13	341.51	493.56	206.94	848.22	575.03	293.07	329.84	612.11	607.87	438.59	368.65	249.73	236.21	426.57	708.18	63.0	356.05	244.57	381.68	105.89	397.93	796.86	381.68	206.94	204.07	215.77	181.28	97.36	90.14	115.16	473.41	358.54
LATS1	346.29	155.5	58.71	301.33	241.19	246.28	190.34	103.69	239.52	201.25	158.79	166.73	147.06	429.54	181.28	239.52	305.55	206.94	113.56	217.27	320.8	186.4	120.94	249.73	53.57	182.55	189.02	525.39	62.12	173.85	165.57	314.17	215.77	130.6	303.44	178.77	85.22	197.09	116.78	287.01	105.15	182.55	199.85	57.08	303.44	191.67	441.64	127.0	423.61	175.07	336.79	105.89	656.11	320.8	417.77	435.55	329.84	102.25	279.14	275.28	470.14	441.64	480.04	149.12	460.44	295.11	417.77	406.31	371.22	387.02	285.03	185.11	808.0	323.03	387.02	204.07	412.0	397.93	454.09	229.72	356.05	301.33	356.05	497.0	138.1	435.55	140.04	503.95	154.42	226.54	460.44	629.35	73.54	36.53	60.39	72.52	32.36	31.0	43.02	111.99	189.02
LINS	470.14	198.47	123.5	204.07	269.6	251.48	223.41	231.32	212.78	112.77	215.77	511.0	199.85	343.89	232.94	318.57	327.56	242.88	151.22	190.34	265.87	339.14	164.42	190.34	193.01	291.04	212.78	309.83	120.94	309.83	180.02	314.17	96.01	224.97	368.65	178.77	215.77	229.72	199.85	366.09	149.12	173.85	267.73	157.68	226.54	215.77	392.44	156.59	264.03	226.54	389.72	194.36	642.59	234.57	426.57	325.29	287.01	173.85	262.2	281.09	470.14	493.56	575.03	201.25	348.71	327.56	381.68	297.17	441.64	241.19	316.37	325.29	521.76	450.94	297.17	287.01	460.44	320.8	285.03	262.2	223.41	301.33	395.18	346.29	220.32	246.28	147.06	447.82	256.78	277.2	392.44	373.81	102.25	67.12	105.15	145.02	84.63	84.63	51.71	124.37	149.12
LNPEP	698.41	112.77	78.34	128.79	118.43	152.28	435.55	71.0	147.06	70.01	52.45	175.07	88.26	141.02	102.25	102.97	181.28	241.19	260.38	260.38	323.03	241.19	130.6	265.87	76.71	80.57	212.78	373.81	54.33	59.13	264.03	309.83	157.68	120.1	172.65	94.67	36.79	187.71	76.71	231.32	91.41	480.04	150.17	58.3	414.87	228.13	395.18	80.57	395.18	135.24	249.73	94.67	460.44	297.17	540.19	406.31	267.73	119.26	223.41	194.36	314.17	253.23	358.54	108.9	271.48	351.14	373.81	246.28	314.17	242.88	297.17	193.01	406.31	199.85	157.68	387.02	392.44	295.11	161.02	165.57	149.12	158.79	406.31	414.87	41.81	466.88	71.0	234.57	113.56	409.15	493.56	303.44	58.3	40.07	85.82	60.39	41.81	30.34	21.47	94.67	92.7
LRRC40	255.0	167.9	49.91	141.02	147.06	134.3	204.07	139.07	373.81	148.09	143.01	199.85	112.77	170.25	143.01	301.33	212.78	140.04	92.05	120.1	287.01	164.42	62.12	102.25	182.55	221.86	143.01	189.02	115.97	159.9	209.84	195.72	113.56	143.01	190.34	234.57	209.84	163.28	178.77	209.84	181.28	142.01	154.42	37.59	346.29	143.01	312.0	122.64	341.51	176.29	260.38	116.78	341.51	212.78	275.28	248.0	228.13	100.13	154.42	218.79	293.07	256.78	412.0	159.9	258.57	178.77	267.73	246.28	258.57	384.34	170.25	158.79	603.67	157.68	303.44	312.0	341.51	215.77	325.29	166.73	159.9	212.78	269.6	379.04	202.66	480.04	117.6	144.01	234.57	171.45	358.54	379.04	98.73	28.24	83.45	39.22	68.07	48.52	60.82	208.38	187.71
LTN1	417.77	155.5	35.76	218.79	157.68	246.28	221.86	112.77	220.32	181.28	118.43	162.14	167.9	175.07	127.0	187.71	299.25	199.85	93.35	195.72	309.83	220.32	108.9	289.02	136.19	145.02	224.97	376.41	71.5	128.79	170.25	246.28	232.94	106.63	241.19	154.42	101.54	187.71	99.43	260.38	68.07	209.84	232.94	37.85	232.94	129.69	381.68	94.67	366.09	153.34	258.57	70.51	599.49	253.23	376.41	395.18	299.25	91.41	204.07	202.66	454.09	366.09	406.31	139.07	612.11	285.03	341.51	490.14	435.55	228.13	314.17	164.42	555.41	253.23	231.32	281.09	543.96	301.33	325.29	246.28	325.29	167.9	289.02	368.65	75.11	358.54	97.36	409.15	124.37	215.77	642.59	490.14	55.89	21.94	44.25	22.75	35.5	29.7	33.54	105.15	127.89
LYRM7	269.6	96.01	119.26	166.73	77.25	84.63	116.78	76.71	69.52	63.0	45.85	101.54	63.45	98.73	82.29	88.88	105.15	154.42	87.65	84.63	185.11	95.34	89.51	134.3	55.49	127.89	79.45	212.78	60.82	65.26	62.56	96.68	98.04	83.45	136.19	73.03	29.91	61.25	82.87	147.06	63.89	82.29	100.83	34.51	118.43	127.0	214.27	46.84	244.57	78.89	232.94	79.45	293.07	167.9	258.57	177.53	149.12	92.05	101.54	141.02	198.47	177.53	244.57	82.29	281.09	100.83	236.21	167.9	171.45	221.86	115.97	87.65	466.88	127.89	101.54	221.86	102.97	116.78	193.01	130.6	173.85	90.14	218.79	199.85	100.13	185.11	71.5	96.68	129.69	133.36	397.93	195.72	34.26	14.56	20.71	15.34	79.45	48.87	32.36	52.82	66.65
MAP3K2	518.15	140.04	52.45	248.0	212.78	320.8	285.03	156.59	457.25	231.32	124.37	229.72	146.03	236.21	150.17	226.54	329.84	314.17	223.41	384.34	406.31	277.2	129.69	429.54	120.94	161.02	191.67	532.74	39.22	147.06	185.11	389.72	191.67	193.01	239.52	262.2	98.73	202.66	133.36	289.02	120.1	314.17	242.88	75.11	291.04	126.12	432.53	118.43	454.09	172.65	255.0	115.97	447.82	275.28	417.77	389.72	303.44	108.9	249.73	237.86	339.14	327.56	397.93	155.5	406.31	341.51	444.72	384.34	429.54	265.87	387.02	146.03	665.29	371.22	466.88	246.28	616.37	307.69	291.04	190.34	242.88	183.82	412.0	624.99	80.01	444.72	135.24	299.25	163.28	191.67	463.65	426.57	81.71	43.32	88.26	77.79	99.43	73.03	43.94	118.43	275.28
MARCH7	2004.85	884.29	155.5	1617.0	1397.83	1594.73	1697.45	775.05	1378.57	1119.56	651.58	988.12	718.08	728.11	909.17	1519.15	1806.78	1369.04	1001.93	2384.37	1457.23	1427.22	669.92	1487.87	486.75	1081.39	981.29	1151.06	567.1	1225.22	1605.83	1350.18	791.35	679.29	2018.8	1397.83	559.28	967.76	728.11	1651.0	497.0	1268.46	1457.23	363.56	2047.0	785.88	1651.0	836.53	2537.92	1331.57	1950.0	575.03	3395.89	1369.04	2004.85	1991.0	1697.45	656.11	1909.85	1662.49	1936.53	2090.03	2682.69	764.36	2682.69	2209.26	1794.29	1950.0	1594.73	1295.13	1757.34	713.11	3716.2	1378.57	2434.5	1250.98	1551.09	1662.49	1977.24	1199.98	1417.35	1259.69	1709.26	1447.15	1119.56	2555.58	713.11	2451.44	954.43	1030.12	1977.24	1963.57	271.48	156.59	283.05	253.23	281.09	204.07	232.94	688.78	1304.15
MATR3	7589.61	3794.3	2271.4	5255.91	4543.8	4575.41	5954.47	3665.02	4671.57	2701.35	3742.05	4210.15	3235.01	5219.6	3847.29	6516.03	5913.33	5076.84	3955.48	5366.37	6840.04	4328.55	2720.15	5711.87	2133.97	5006.93	5633.22	6381.92	3039.3	4298.64	4937.99	5292.48	4543.8	3955.48	6699.25	3564.78	2178.83	4903.87	3820.7	6207.38	2956.17	3901.01	4450.27	1529.73	5791.62	4937.99	6381.92	3874.05	6983.79	5076.84	5954.47	2935.74	8778.97	5954.47	5594.3	7331.05	5831.91	3235.01	5403.7	6207.38	7081.29	7433.4	7230.1	4903.87	7911.95	6037.61	5995.9	7280.4	5366.37	4450.27	4972.34	3589.58	10808.41	5594.3	7803.01	5041.77	6516.03	6840.04	7280.4	4607.24	4836.35	4836.35	6471.02	7331.05	4010.71	8247.98	3212.66	5633.22	4512.4	4066.71	7589.61	6337.83	1551.09	389.72	1304.15	902.89	1096.5	1378.57	514.56	3515.68	4298.64
METTL14	429.54	214.27	165.57	341.51	363.56	339.14	323.03	218.79	312.0	258.57	195.72	194.36	248.0	346.29	269.6	376.41	409.15	325.29	368.65	323.03	423.61	265.87	208.38	283.05	98.04	358.54	318.57	543.96	187.71	269.6	241.19	358.54	343.89	265.87	429.54	202.66	153.34	361.04	226.54	435.55	156.59	244.57	341.51	117.6	463.65	234.57	555.41	256.78	480.04	295.11	395.18	194.36	620.67	400.71	435.55	543.96	423.61	353.59	476.71	466.88	567.1	532.74	591.22	363.56	723.08	327.56	518.15	595.34	500.46	432.53	403.5	325.29	830.75	511.0	389.72	420.68	612.11	466.88	441.64	368.65	356.05	226.54	525.39	579.04	299.25	466.88	194.36	476.71	307.69	371.22	780.44	521.76	117.6	74.58	112.77	108.9	141.02	114.36	151.22	232.94	193.01
MEX3C	764.36	384.34	127.89	392.44	314.17	358.54	256.78	305.55	351.14	173.85	279.14	277.2	368.65	271.48	387.02	532.74	368.65	395.18	346.29	255.0	551.56	295.11	211.31	301.33	507.46	351.14	182.55	312.0	143.01	206.94	320.8	441.64	206.94	327.56	638.15	289.02	420.68	679.29	323.03	629.35	343.89	1073.91	414.87	124.37	332.14	105.89	884.29	567.1	825.0	529.06	819.3	265.87	1111.82	612.11	733.19	909.17	842.36	325.29	748.61	764.36	567.1	764.36	830.75	500.46	902.89	808.0	1250.98	1073.91	688.78	836.53	1044.52	457.25	1001.93	493.56	1277.29	624.99	703.28	733.19	981.29	389.72	414.87	607.87	743.43	902.89	571.05	934.76	320.8	728.11	633.73	543.96	571.05	1159.07	152.28	108.9	149.12	141.02	42.11	76.71	57.49	463.65	417.77
MGP	229795.93	469249.9	275175.93	485798.0	998912.34	381149.17	1139523.1	231394.29	659036.03	593956.43	329517.51	431797.89	368165.8	502929.67	386469.83	365622.68	736332.6	623486.02	327241.36	577714.63	248002.34	309589.14	282912.21	716197.51	350728.68	462789.59	546551.29	466008.55	197294.7	489177.0	569761.05	400098.69	1196176.45	411347.03	414208.18	539026.74	443937.41	623486.02	256748.15	434801.29	402881.61	706337.4	363097.14	21768.19	459592.86	687022.54	343510.77	301123.38	171754.88	425853.18	358098.26	207103.59	110983.6	453265.5	275175.93	191899.64	462789.59	294926.33	408505.64	800198.39	175363.84	269512.87	397335.0	509950.32	358098.26	598087.73	378516.38	585779.24	1524599.69	378516.38	496005.67	282912.21	107948.72	400098.69	565825.41	422911.59	334117.42	341137.96	475800.4	370726.6	565825.41	869603.57	331809.5	187950.38	1100706.72	845824.19	267651.2	496005.67	1308968.45	358098.26	311742.51	614902.29	1331.57	14065.74	72213.45	6840.04	525.39	2240.11	387.02	301123.38	296977.71
MIB1	417.77	226.54	67.12	346.29	217.27	305.55	358.54	231.32	366.09	256.78	176.29	209.84	150.17	305.55	223.41	395.18	441.64	256.78	208.38	206.94	441.64	249.73	105.89	260.38	181.28	206.94	226.54	323.03	72.52	194.36	220.32	417.77	220.32	186.4	351.14	334.46	195.72	293.07	189.02	395.18	149.12	229.72	249.73	55.1	507.46	141.02	521.76	194.36	567.1	248.0	341.51	96.01	674.59	400.71	447.82	543.96	414.87	100.83	339.14	376.41	463.65	500.46	525.39	198.47	660.68	532.74	529.06	612.11	575.03	242.88	381.68	173.85	693.58	457.25	373.81	532.74	802.41	366.09	363.56	299.25	366.09	214.27	476.71	616.37	117.6	470.14	122.64	480.04	189.02	267.73	599.49	532.74	56.28	18.29	69.03	51.71	49.56	53.95	46.18	181.28	295.11
NAA30	389.72	172.65	133.36	248.0	297.17	215.77	183.82	99.43	289.02	128.79	138.1	353.59	142.01	269.6	186.4	269.6	316.37	237.86	134.3	423.61	343.89	211.31	115.16	366.09	137.14	208.38	181.28	358.54	106.63	148.09	171.45	191.67	273.37	236.21	334.46	154.42	123.5	236.21	178.77	275.28	142.01	209.84	234.57	63.45	273.37	201.25	400.71	185.11	363.56	193.01	316.37	136.19	532.74	323.03	376.41	403.5	234.57	149.12	201.25	299.25	376.41	303.44	470.14	209.84	559.28	384.34	323.03	480.04	373.81	356.05	253.23	195.72	785.88	239.52	457.25	305.55	312.0	403.5	293.07	265.87	214.27	181.28	265.87	414.87	226.54	728.11	130.6	305.55	206.94	209.84	381.68	543.96	128.79	78.34	118.43	147.06	137.14	104.42	115.97	158.79	183.82
NF1	514.56	220.32	102.25	297.17	320.8	384.34	438.59	197.09	269.6	323.03	260.38	239.52	201.25	460.44	249.73	275.28	417.77	312.0	269.6	316.37	476.71	249.73	147.06	316.37	92.7	265.87	384.34	665.29	111.99	170.25	353.59	500.46	376.41	236.21	361.04	253.23	154.42	441.64	142.01	450.94	234.57	392.44	299.25	124.37	384.34	217.27	656.11	201.25	642.59	279.14	351.14	169.07	769.69	551.56	579.04	665.29	457.25	186.4	575.03	395.18	559.28	507.46	525.39	246.28	743.43	1286.18	444.72	599.49	848.22	353.59	457.25	215.77	665.29	503.95	503.95	379.04	674.59	457.25	400.71	368.65	463.65	414.87	551.56	543.96	126.12	595.34	123.5	583.07	187.71	368.65	514.56	791.35	152.28	66.18	164.42	142.01	69.52	88.26	52.08	149.12	199.85
NMD3	1388.16	454.09	500.46	791.35	759.08	543.96	1427.22	543.96	1313.23	915.51	426.57	486.75	435.55	884.29	587.13	866.07	642.59	813.63	603.67	532.74	1250.98	813.63	371.22	1167.14	764.36	854.13	651.58	1561.89	363.56	521.76	738.29	698.41	785.88	825.0	1008.9	1529.73	603.67	693.58	693.58	1111.82	521.76	854.13	785.88	206.94	718.08	543.96	1175.27	674.59	1369.04	764.36	988.12	486.75	1870.53	1199.98	1151.06	1259.69	1088.92	480.04	848.22	967.76	1225.22	1159.07	1407.55	642.59	1427.22	1111.82	1001.93	967.76	1250.98	947.83	1250.98	688.78	2119.22	674.59	1397.83	909.17	1066.48	1304.15	2335.28	693.58	780.44	1183.45	1008.9	1583.71	1088.92	2133.97	583.07	1259.69	780.44	830.75	1340.84	1583.71	444.72	136.19	316.37	206.94	444.72	457.25	518.15	417.77	587.13
NSUN3	271.48	75.64	44.89	190.34	100.13	146.03	171.45	80.01	130.6	115.16	84.63	159.9	125.24	182.55	115.97	115.16	185.11	129.69	105.89	143.01	215.77	129.69	91.41	121.79	57.89	171.45	121.79	221.86	106.63	89.51	109.66	183.82	195.72	119.26	163.28	190.34	77.25	106.63	92.05	180.02	79.45	120.94	136.19	66.65	165.57	89.51	236.21	103.69	237.86	110.43	165.57	60.39	289.02	164.42	189.02	215.77	173.85	95.34	182.55	187.71	211.31	178.77	251.48	142.01	229.72	170.25	175.07	236.21	145.02	161.02	155.5	83.45	170.25	185.11	109.66	136.19	177.53	199.85	202.66	246.28	163.28	134.3	265.87	199.85	167.9	325.29	76.17	221.86	127.89	141.02	206.94	283.05	123.5	58.3	65.72	54.33	44.25	41.81	64.34	204.07	93.35
OPA1	1331.57	318.57	264.03	1159.07	486.75	733.19	842.36	307.69	3491.39	836.53	316.37	490.14	356.05	775.05	316.37	432.53	1159.07	693.58	612.11	921.88	1044.52	743.43	559.28	1378.57	612.11	460.44	693.58	2271.4	285.03	414.87	1066.48	961.07	896.64	571.05	503.95	961.07	412.0	518.15	368.65	915.51	392.44	830.75	303.44	181.28	1225.22	460.44	1001.93	379.04	1225.22	656.11	718.08	242.88	1242.34	878.17	1199.98	1286.18	753.83	368.65	1175.27	620.67	1208.34	961.07	981.29	540.19	1151.06	1457.23	1498.22	2075.59	878.17	759.08	703.28	507.46	2367.9	896.64	753.83	1191.69	1697.45	1378.57	775.05	563.18	954.43	665.29	1127.35	974.5	361.04	1268.46	193.01	995.0	351.14	371.22	1199.98	1242.34	323.03	185.11	236.21	146.03	366.09	209.84	234.57	438.59	212.78
OTUD4	480.04	195.72	84.63	329.84	262.2	348.71	356.05	194.36	438.59	248.0	140.04	204.07	229.72	269.6	241.19	289.02	366.09	400.71	293.07	353.59	493.56	267.73	111.21	205.5	159.9	199.85	241.19	423.61	92.7	163.28	297.17	336.79	299.25	217.27	441.64	312.0	145.02	336.79	241.19	397.93	170.25	518.15	232.94	84.04	325.29	171.45	642.59	189.02	629.35	269.6	406.31	144.01	842.36	483.38	567.1	642.59	480.04	141.02	351.14	356.05	620.67	567.1	575.03	195.72	624.99	587.13	543.96	429.54	460.44	329.84	486.75	217.27	915.51	457.25	633.73	332.14	518.15	713.11	981.29	343.89	381.68	603.67	412.0	620.67	163.28	780.44	220.32	536.45	189.02	397.93	559.28	432.53	129.69	51.71	145.02	130.6	61.68	87.03	102.97	206.94	295.11
OTUD6B	256.78	118.43	45.21	152.28	265.87	153.34	620.67	135.24	320.8	669.92	193.01	165.57	115.97	143.01	128.79	145.02	141.02	111.99	208.38	105.15	198.47	108.9	69.03	120.1	77.25	166.73	73.54	612.11	38.67	111.99	117.6	102.25	170.25	166.73	181.28	209.84	277.2	96.01	201.25	150.17	129.69	111.21	244.57	26.1	100.83	77.79	221.86	68.07	214.27	99.43	215.77	64.34	356.05	127.0	209.84	198.47	167.9	58.3	111.21	145.02	277.2	258.57	277.2	77.79	283.05	201.25	204.07	193.01	332.14	139.07	209.84	92.7	603.67	126.12	242.88	135.24	220.32	212.78	194.36	149.12	277.2	177.53	246.28	199.85	55.1	236.21	42.71	148.09	103.69	135.24	366.09	262.2	40.93	16.63	21.94	27.25	50.98	85.22	17.51	105.15	146.03
OXSR1	591.22	277.2	241.19	327.56	334.46	373.81	500.46	351.14	595.34	220.32	198.47	476.71	348.71	521.76	420.68	368.65	387.02	429.54	432.53	353.59	518.15	343.89	346.29	299.25	295.11	239.52	348.71	587.13	171.45	341.51	346.29	497.0	454.09	684.02	457.25	389.72	351.14	438.59	279.14	490.14	275.28	387.02	426.57	226.54	444.72	244.57	543.96	336.79	587.13	441.64	497.0	327.56	743.43	490.14	647.07	607.87	497.0	299.25	476.71	438.59	591.22	669.92	633.73	361.04	708.18	540.19	532.74	529.06	490.14	454.09	656.11	346.29	764.36	423.61	521.76	403.5	438.59	555.41	819.3	348.71	507.46	511.0	483.38	642.59	214.27	981.29	358.54	669.92	305.55	511.0	684.02	728.11	368.65	205.5	361.04	228.13	197.09	123.5	145.02	454.09	397.93
PAFAH1B1	1709.26	603.67	753.83	896.64	629.35	791.35	1216.75	819.3	3190.46	665.29	551.56	769.69	693.58	1044.52	902.89	1242.34	1051.79	1037.29	1605.83	1304.15	1883.54	902.89	748.61	1369.04	1844.76	988.12	1277.29	2875.3	860.08	947.83	954.43	1081.39	1340.84	961.07	1540.37	1594.73	1304.15	1183.45	954.43	1216.75	1457.23	1417.35	1437.15	684.02	1685.71	928.3	2061.24	819.3	2075.59	1304.15	1529.73	934.76	2224.63	1806.78	2163.77	1794.29	1583.71	954.43	1304.15	1378.57	1551.09	1721.16	2335.28	1044.52	2163.77	3018.3	1508.65	1407.55	2104.58	1870.53	2018.8	947.83	2367.9	1519.15	2047.0	1540.37	1923.14	1936.53	2400.97	1167.14	1806.78	1159.07	1508.65	1896.65	624.99	2777.33	842.36	1781.89	748.61	1159.07	1936.53	2004.85	759.08	674.59	1151.06	743.43	521.76	521.76	441.64	813.63	1467.37
PBRM1	848.22	214.27	98.04	363.56	264.03	361.04	532.74	217.27	642.59	167.9	85.22	275.28	323.03	536.45	283.05	318.57	665.29	363.56	423.61	612.11	693.58	559.28	293.07	329.84	148.09	167.9	323.03	1225.22	181.28	291.04	420.68	708.18	356.05	241.19	438.59	320.8	241.19	366.09	214.27	571.05	169.07	429.54	376.41	114.36	728.11	289.02	708.18	209.84	967.76	343.89	532.74	224.97	884.29	540.19	785.88	802.41	575.03	239.52	497.0	466.88	693.58	708.18	620.67	271.48	669.92	500.46	866.07	1044.52	591.22	447.82	656.11	314.17	1397.83	718.08	769.69	332.14	928.3	514.56	884.29	420.68	532.74	353.59	551.56	967.76	193.01	1143.1	191.67	507.46	217.27	642.59	684.02	890.44	96.68	48.87	97.36	73.54	77.25	78.34	59.55	444.72	223.41
